,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Yorke House,Arleston Way,Solihull,B90 4LH,United Kingdom,https://www.securetrustbank.com,Banks—Regional,Financial Services,"Secure Trust Bank PLC provides banking and financial products and services in the United Kingdom. It operates through four segments: Real Estate Finance, Commercial Finance, Vehicle Finance, and Retail Finance. The Real Estate Finance segment provides secured loans against property assets. The Commercial Finance segment provides invoice discounting solutions, coronavirus business interruption loan scheme, and recovery loan schemes. The Vehicle Finance segment provides hire purchase lending for used cars. The Retail Finance segment offers unsecured finance for consumer products, including bicycles, music, furniture, outdoor/leisure, electronics, dental, jewelry, home improvements, and football season tickets. It also engages in the leasing of property business. Secure Trust Bank PLC was founded in 1952 and is headquartered in Solihull, the United Kingdom.",940,"{'maxAge': 1, 'name': 'Mr. David Andrew McCreadie', 'age': 53, 'title': 'CEO & Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1060000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,1,5,1693526400,1672444800,86400,2,654.0,682.0,642.0,682.0,654.0,682.0,642.0,682.0,0.45,0.0692,1693440000,0.2997,0.876876,434.66666,2.9916492,41170,41170,45922,41138,41138,652.0,660.0,0,0,124650016,550.0,970.0,0.92333347,622.74,667.105,0.451,0.00068960246,GBp,274709344,0.19037001,15000225,18716200,0.088690005,0.81719,17.806,36.61687,1672444800,1703980800,1688083200,-0.419,20100000,1.5,217.94,0.1,2.035,LSE,EQUITY,STB.L,STB.L,SECURE TRUST BANK PLC ORD 40P,Secure Trust Bank PLC,1320220800,Europe/London,BST,3600000,652.0,1767.0,1000.0,1319.33,1314.5,1.7,buy,6,354200000,18.928,506900000,135000000,7.222,0.00601,0.062069997,132500000,-386600000,-0.417,0.039,0.0,0.0,0.22889,GBP,
1,Yorke House,Arleston Way,Solihull,B90 4LH,United Kingdom,https://www.securetrustbank.com,Banks—Regional,Financial Services,"Secure Trust Bank PLC provides banking and financial products and services in the United Kingdom. It operates through four segments: Real Estate Finance, Commercial Finance, Vehicle Finance, and Retail Finance. The Real Estate Finance segment provides secured loans against property assets. The Commercial Finance segment provides invoice discounting solutions, coronavirus business interruption loan scheme, and recovery loan schemes. The Vehicle Finance segment provides hire purchase lending for used cars. The Retail Finance segment offers unsecured finance for consumer products, including bicycles, music, furniture, outdoor/leisure, electronics, dental, jewelry, home improvements, and football season tickets. It also engages in the leasing of property business. Secure Trust Bank PLC was founded in 1952 and is headquartered in Solihull, the United Kingdom.",940,"{'maxAge': 1, 'name': 'Ms. Rachel Michelle Lawrence A.C.M.A.', 'age': 52, 'title': 'CFO & Exec. Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 687000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,1,5,1693526400,1672444800,86400,2,654.0,682.0,642.0,682.0,654.0,682.0,642.0,682.0,0.45,0.0692,1693440000,0.2997,0.876876,434.66666,2.9916492,41170,41170,45922,41138,41138,652.0,660.0,0,0,124650016,550.0,970.0,0.92333347,622.74,667.105,0.451,0.00068960246,GBp,274709344,0.19037001,15000225,18716200,0.088690005,0.81719,17.806,36.61687,1672444800,1703980800,1688083200,-0.419,20100000,1.5,217.94,0.1,2.035,LSE,EQUITY,STB.L,STB.L,SECURE TRUST BANK PLC ORD 40P,Secure Trust Bank PLC,1320220800,Europe/London,BST,3600000,652.0,1767.0,1000.0,1319.33,1314.5,1.7,buy,6,354200000,18.928,506900000,135000000,7.222,0.00601,0.062069997,132500000,-386600000,-0.417,0.039,0.0,0.0,0.22889,GBP,
2,Yorke House,Arleston Way,Solihull,B90 4LH,United Kingdom,https://www.securetrustbank.com,Banks—Regional,Financial Services,"Secure Trust Bank PLC provides banking and financial products and services in the United Kingdom. It operates through four segments: Real Estate Finance, Commercial Finance, Vehicle Finance, and Retail Finance. The Real Estate Finance segment provides secured loans against property assets. The Commercial Finance segment provides invoice discounting solutions, coronavirus business interruption loan scheme, and recovery loan schemes. The Vehicle Finance segment provides hire purchase lending for used cars. The Retail Finance segment offers unsecured finance for consumer products, including bicycles, music, furniture, outdoor/leisure, electronics, dental, jewelry, home improvements, and football season tickets. It also engages in the leasing of property business. Secure Trust Bank PLC was founded in 1952 and is headquartered in Solihull, the United Kingdom.",940,"{'maxAge': 1, 'name': 'Ms. Katie  Docherty', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,1,5,1693526400,1672444800,86400,2,654.0,682.0,642.0,682.0,654.0,682.0,642.0,682.0,0.45,0.0692,1693440000,0.2997,0.876876,434.66666,2.9916492,41170,41170,45922,41138,41138,652.0,660.0,0,0,124650016,550.0,970.0,0.92333347,622.74,667.105,0.451,0.00068960246,GBp,274709344,0.19037001,15000225,18716200,0.088690005,0.81719,17.806,36.61687,1672444800,1703980800,1688083200,-0.419,20100000,1.5,217.94,0.1,2.035,LSE,EQUITY,STB.L,STB.L,SECURE TRUST BANK PLC ORD 40P,Secure Trust Bank PLC,1320220800,Europe/London,BST,3600000,652.0,1767.0,1000.0,1319.33,1314.5,1.7,buy,6,354200000,18.928,506900000,135000000,7.222,0.00601,0.062069997,132500000,-386600000,-0.417,0.039,0.0,0.0,0.22889,GBP,
3,Yorke House,Arleston Way,Solihull,B90 4LH,United Kingdom,https://www.securetrustbank.com,Banks—Regional,Financial Services,"Secure Trust Bank PLC provides banking and financial products and services in the United Kingdom. It operates through four segments: Real Estate Finance, Commercial Finance, Vehicle Finance, and Retail Finance. The Real Estate Finance segment provides secured loans against property assets. The Commercial Finance segment provides invoice discounting solutions, coronavirus business interruption loan scheme, and recovery loan schemes. The Vehicle Finance segment provides hire purchase lending for used cars. The Retail Finance segment offers unsecured finance for consumer products, including bicycles, music, furniture, outdoor/leisure, electronics, dental, jewelry, home improvements, and football season tickets. It also engages in the leasing of property business. Secure Trust Bank PLC was founded in 1952 and is headquartered in Solihull, the United Kingdom.",940,"{'maxAge': 1, 'name': 'Mr. Charles  Mayo', 'title': 'Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,1,5,1693526400,1672444800,86400,2,654.0,682.0,642.0,682.0,654.0,682.0,642.0,682.0,0.45,0.0692,1693440000,0.2997,0.876876,434.66666,2.9916492,41170,41170,45922,41138,41138,652.0,660.0,0,0,124650016,550.0,970.0,0.92333347,622.74,667.105,0.451,0.00068960246,GBp,274709344,0.19037001,15000225,18716200,0.088690005,0.81719,17.806,36.61687,1672444800,1703980800,1688083200,-0.419,20100000,1.5,217.94,0.1,2.035,LSE,EQUITY,STB.L,STB.L,SECURE TRUST BANK PLC ORD 40P,Secure Trust Bank PLC,1320220800,Europe/London,BST,3600000,652.0,1767.0,1000.0,1319.33,1314.5,1.7,buy,6,354200000,18.928,506900000,135000000,7.222,0.00601,0.062069997,132500000,-386600000,-0.417,0.039,0.0,0.0,0.22889,GBP,
4,Yorke House,Arleston Way,Solihull,B90 4LH,United Kingdom,https://www.securetrustbank.com,Banks—Regional,Financial Services,"Secure Trust Bank PLC provides banking and financial products and services in the United Kingdom. It operates through four segments: Real Estate Finance, Commercial Finance, Vehicle Finance, and Retail Finance. The Real Estate Finance segment provides secured loans against property assets. The Commercial Finance segment provides invoice discounting solutions, coronavirus business interruption loan scheme, and recovery loan schemes. The Vehicle Finance segment provides hire purchase lending for used cars. The Retail Finance segment offers unsecured finance for consumer products, including bicycles, music, furniture, outdoor/leisure, electronics, dental, jewelry, home improvements, and football season tickets. It also engages in the leasing of property business. Secure Trust Bank PLC was founded in 1952 and is headquartered in Solihull, the United Kingdom.",940,"{'maxAge': 1, 'name': 'Ms. Anne  McKenning', 'title': 'HR Director', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,1,5,1693526400,1672444800,86400,2,654.0,682.0,642.0,682.0,654.0,682.0,642.0,682.0,0.45,0.0692,1693440000,0.2997,0.876876,434.66666,2.9916492,41170,41170,45922,41138,41138,652.0,660.0,0,0,124650016,550.0,970.0,0.92333347,622.74,667.105,0.451,0.00068960246,GBp,274709344,0.19037001,15000225,18716200,0.088690005,0.81719,17.806,36.61687,1672444800,1703980800,1688083200,-0.419,20100000,1.5,217.94,0.1,2.035,LSE,EQUITY,STB.L,STB.L,SECURE TRUST BANK PLC ORD 40P,Secure Trust Bank PLC,1320220800,Europe/London,BST,3600000,652.0,1767.0,1000.0,1319.33,1314.5,1.7,buy,6,354200000,18.928,506900000,135000000,7.222,0.00601,0.062069997,132500000,-386600000,-0.417,0.039,0.0,0.0,0.22889,GBP,
5,Yorke House,Arleston Way,Solihull,B90 4LH,United Kingdom,https://www.securetrustbank.com,Banks—Regional,Financial Services,"Secure Trust Bank PLC provides banking and financial products and services in the United Kingdom. It operates through four segments: Real Estate Finance, Commercial Finance, Vehicle Finance, and Retail Finance. The Real Estate Finance segment provides secured loans against property assets. The Commercial Finance segment provides invoice discounting solutions, coronavirus business interruption loan scheme, and recovery loan schemes. The Vehicle Finance segment provides hire purchase lending for used cars. The Retail Finance segment offers unsecured finance for consumer products, including bicycles, music, furniture, outdoor/leisure, electronics, dental, jewelry, home improvements, and football season tickets. It also engages in the leasing of property business. Secure Trust Bank PLC was founded in 1952 and is headquartered in Solihull, the United Kingdom.",940,"{'maxAge': 1, 'name': 'Mr. John  Bevan', 'title': 'Managing Director of Commercial Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,1,5,1693526400,1672444800,86400,2,654.0,682.0,642.0,682.0,654.0,682.0,642.0,682.0,0.45,0.0692,1693440000,0.2997,0.876876,434.66666,2.9916492,41170,41170,45922,41138,41138,652.0,660.0,0,0,124650016,550.0,970.0,0.92333347,622.74,667.105,0.451,0.00068960246,GBp,274709344,0.19037001,15000225,18716200,0.088690005,0.81719,17.806,36.61687,1672444800,1703980800,1688083200,-0.419,20100000,1.5,217.94,0.1,2.035,LSE,EQUITY,STB.L,STB.L,SECURE TRUST BANK PLC ORD 40P,Secure Trust Bank PLC,1320220800,Europe/London,BST,3600000,652.0,1767.0,1000.0,1319.33,1314.5,1.7,buy,6,354200000,18.928,506900000,135000000,7.222,0.00601,0.062069997,132500000,-386600000,-0.417,0.039,0.0,0.0,0.22889,GBP,
6,Yorke House,Arleston Way,Solihull,B90 4LH,United Kingdom,https://www.securetrustbank.com,Banks—Regional,Financial Services,"Secure Trust Bank PLC provides banking and financial products and services in the United Kingdom. It operates through four segments: Real Estate Finance, Commercial Finance, Vehicle Finance, and Retail Finance. The Real Estate Finance segment provides secured loans against property assets. The Commercial Finance segment provides invoice discounting solutions, coronavirus business interruption loan scheme, and recovery loan schemes. The Vehicle Finance segment provides hire purchase lending for used cars. The Retail Finance segment offers unsecured finance for consumer products, including bicycles, music, furniture, outdoor/leisure, electronics, dental, jewelry, home improvements, and football season tickets. It also engages in the leasing of property business. Secure Trust Bank PLC was founded in 1952 and is headquartered in Solihull, the United Kingdom.",940,"{'maxAge': 1, 'name': 'Mr. Nick  Davies', 'title': 'Chief Exec. Officer of Retail Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,1,5,1693526400,1672444800,86400,2,654.0,682.0,642.0,682.0,654.0,682.0,642.0,682.0,0.45,0.0692,1693440000,0.2997,0.876876,434.66666,2.9916492,41170,41170,45922,41138,41138,652.0,660.0,0,0,124650016,550.0,970.0,0.92333347,622.74,667.105,0.451,0.00068960246,GBp,274709344,0.19037001,15000225,18716200,0.088690005,0.81719,17.806,36.61687,1672444800,1703980800,1688083200,-0.419,20100000,1.5,217.94,0.1,2.035,LSE,EQUITY,STB.L,STB.L,SECURE TRUST BANK PLC ORD 40P,Secure Trust Bank PLC,1320220800,Europe/London,BST,3600000,652.0,1767.0,1000.0,1319.33,1314.5,1.7,buy,6,354200000,18.928,506900000,135000000,7.222,0.00601,0.062069997,132500000,-386600000,-0.417,0.039,0.0,0.0,0.22889,GBP,
7,Yorke House,Arleston Way,Solihull,B90 4LH,United Kingdom,https://www.securetrustbank.com,Banks—Regional,Financial Services,"Secure Trust Bank PLC provides banking and financial products and services in the United Kingdom. It operates through four segments: Real Estate Finance, Commercial Finance, Vehicle Finance, and Retail Finance. The Real Estate Finance segment provides secured loans against property assets. The Commercial Finance segment provides invoice discounting solutions, coronavirus business interruption loan scheme, and recovery loan schemes. The Vehicle Finance segment provides hire purchase lending for used cars. The Retail Finance segment offers unsecured finance for consumer products, including bicycles, music, furniture, outdoor/leisure, electronics, dental, jewelry, home improvements, and football season tickets. It also engages in the leasing of property business. Secure Trust Bank PLC was founded in 1952 and is headquartered in Solihull, the United Kingdom.",940,"{'maxAge': 1, 'name': 'Mr. Chris  Harper', 'title': 'Chief Risk Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,1,5,1693526400,1672444800,86400,2,654.0,682.0,642.0,682.0,654.0,682.0,642.0,682.0,0.45,0.0692,1693440000,0.2997,0.876876,434.66666,2.9916492,41170,41170,45922,41138,41138,652.0,660.0,0,0,124650016,550.0,970.0,0.92333347,622.74,667.105,0.451,0.00068960246,GBp,274709344,0.19037001,15000225,18716200,0.088690005,0.81719,17.806,36.61687,1672444800,1703980800,1688083200,-0.419,20100000,1.5,217.94,0.1,2.035,LSE,EQUITY,STB.L,STB.L,SECURE TRUST BANK PLC ORD 40P,Secure Trust Bank PLC,1320220800,Europe/London,BST,3600000,652.0,1767.0,1000.0,1319.33,1314.5,1.7,buy,6,354200000,18.928,506900000,135000000,7.222,0.00601,0.062069997,132500000,-386600000,-0.417,0.039,0.0,0.0,0.22889,GBP,
8,Yorke House,Arleston Way,Solihull,B90 4LH,United Kingdom,https://www.securetrustbank.com,Banks—Regional,Financial Services,"Secure Trust Bank PLC provides banking and financial products and services in the United Kingdom. It operates through four segments: Real Estate Finance, Commercial Finance, Vehicle Finance, and Retail Finance. The Real Estate Finance segment provides secured loans against property assets. The Commercial Finance segment provides invoice discounting solutions, coronavirus business interruption loan scheme, and recovery loan schemes. The Vehicle Finance segment provides hire purchase lending for used cars. The Retail Finance segment offers unsecured finance for consumer products, including bicycles, music, furniture, outdoor/leisure, electronics, dental, jewelry, home improvements, and football season tickets. It also engages in the leasing of property business. Secure Trust Bank PLC was founded in 1952 and is headquartered in Solihull, the United Kingdom.",940,"{'maxAge': 1, 'name': 'Geoff  Ray', 'title': 'Managing Director of Real Estate Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,1,5,1693526400,1672444800,86400,2,654.0,682.0,642.0,682.0,654.0,682.0,642.0,682.0,0.45,0.0692,1693440000,0.2997,0.876876,434.66666,2.9916492,41170,41170,45922,41138,41138,652.0,660.0,0,0,124650016,550.0,970.0,0.92333347,622.74,667.105,0.451,0.00068960246,GBp,274709344,0.19037001,15000225,18716200,0.088690005,0.81719,17.806,36.61687,1672444800,1703980800,1688083200,-0.419,20100000,1.5,217.94,0.1,2.035,LSE,EQUITY,STB.L,STB.L,SECURE TRUST BANK PLC ORD 40P,Secure Trust Bank PLC,1320220800,Europe/London,BST,3600000,652.0,1767.0,1000.0,1319.33,1314.5,1.7,buy,6,354200000,18.928,506900000,135000000,7.222,0.00601,0.062069997,132500000,-386600000,-0.417,0.039,0.0,0.0,0.22889,GBP,
9,Yorke House,Arleston Way,Solihull,B90 4LH,United Kingdom,https://www.securetrustbank.com,Banks—Regional,Financial Services,"Secure Trust Bank PLC provides banking and financial products and services in the United Kingdom. It operates through four segments: Real Estate Finance, Commercial Finance, Vehicle Finance, and Retail Finance. The Real Estate Finance segment provides secured loans against property assets. The Commercial Finance segment provides invoice discounting solutions, coronavirus business interruption loan scheme, and recovery loan schemes. The Vehicle Finance segment provides hire purchase lending for used cars. The Retail Finance segment offers unsecured finance for consumer products, including bicycles, music, furniture, outdoor/leisure, electronics, dental, jewelry, home improvements, and football season tickets. It also engages in the leasing of property business. Secure Trust Bank PLC was founded in 1952 and is headquartered in Solihull, the United Kingdom.",940,"{'maxAge': 1, 'name': 'Mr. Julian  Hartley', 'title': 'Managing Director Savings & Vehicle Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,6,1,5,1693526400,1672444800,86400,2,654.0,682.0,642.0,682.0,654.0,682.0,642.0,682.0,0.45,0.0692,1693440000,0.2997,0.876876,434.66666,2.9916492,41170,41170,45922,41138,41138,652.0,660.0,0,0,124650016,550.0,970.0,0.92333347,622.74,667.105,0.451,0.00068960246,GBp,274709344,0.19037001,15000225,18716200,0.088690005,0.81719,17.806,36.61687,1672444800,1703980800,1688083200,-0.419,20100000,1.5,217.94,0.1,2.035,LSE,EQUITY,STB.L,STB.L,SECURE TRUST BANK PLC ORD 40P,Secure Trust Bank PLC,1320220800,Europe/London,BST,3600000,652.0,1767.0,1000.0,1319.33,1314.5,1.7,buy,6,354200000,18.928,506900000,135000000,7.222,0.00601,0.062069997,132500000,-386600000,-0.417,0.039,0.0,0.0,0.22889,GBP,
