,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2121-11th Street West,Saskatoon,SK,S7M 1J3,Canada,306 956 6200,https://www.cameco.com,Uranium,Energy,"Cameco Corporation provides uranium for the generation of electricity. It operates through two segments, Uranium and Fuel Services. The Uranium segment is involved in the exploration for, mining, and milling, purchase, and sale of uranium concentrate. The Fuel Services segment engages in the refining, conversion, and fabrication of uranium concentrate, as well as the purchase and sale of conversion services. This segment also produces fuel bundles and assemblies, and zirconium-based reactor components for CANDU reactors. The company offers nuclear fuel processing services. It sells its uranium and fuel services to nuclear utilities in the Americas, Europe, and Asia. Cameco Corporation was incorporated in 1987 and is headquartered in Saskatoon, Canada.","{'maxAge': 1, 'name': 'Mr. Timothy S. Gitzel', 'age': 59, 'title': 'Pres, CEO & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 2081032, 'exercisedValue': 344085, 'unexercisedValue': 0}",1,4,2,7,1,1693526400,1672444800,86400,2,39.89,40.13,40.08,41.65,39.89,40.13,40.08,41.65,0.09,0.0022,1669680000,0.5455,0.48,0.939914,251.875,34.444447,9081635,9081635,4024048,4545900,4545900,40.3,40.4,900,1000,17478633472,21.02,41.65,8.397743,34.7404,28.6227,0.12,0.0030082727,USD,16115450880,0.04695,432250966,433308000,21857664,19607106,1690761600,1693440000,0.0504,0.00125,0.72365,5.37,13.787,2.9230435,1672444800,1703980800,1688083200,-0.837,97715000,0.16,1.17,1.81,2:1,1140652800,7.743,35.052,NYQ,EQUITY,CCJ,CCJ,Cameco Corporation,Cameco Corporation,826813800,America/New_York,EDT,-14400000,40.3,44.6,36.58,40.54,41.06,1.6,buy,6,2473403904,5.708,459753984,1126526976,2.806,3.64,2081348992,18.856,4.923,0.01816,0.0179,629106000,30125000,332932992,-0.857,-0.136,0.37472,0.22089,0.11201999,CAD,
1,2121-11th Street West,Saskatoon,SK,S7M 1J3,Canada,306 956 6200,https://www.cameco.com,Uranium,Energy,"Cameco Corporation provides uranium for the generation of electricity. It operates through two segments, Uranium and Fuel Services. The Uranium segment is involved in the exploration for, mining, and milling, purchase, and sale of uranium concentrate. The Fuel Services segment engages in the refining, conversion, and fabrication of uranium concentrate, as well as the purchase and sale of conversion services. This segment also produces fuel bundles and assemblies, and zirconium-based reactor components for CANDU reactors. The company offers nuclear fuel processing services. It sells its uranium and fuel services to nuclear utilities in the Americas, Europe, and Asia. Cameco Corporation was incorporated in 1987 and is headquartered in Saskatoon, Canada.","{'maxAge': 1, 'name': 'Dr. Grant E. Isaac', 'title': 'Exec. VP & CFO', 'fiscalYear': 2022, 'totalPay': 915959, 'exercisedValue': 223087, 'unexercisedValue': 0}",1,4,2,7,1,1693526400,1672444800,86400,2,39.89,40.13,40.08,41.65,39.89,40.13,40.08,41.65,0.09,0.0022,1669680000,0.5455,0.48,0.939914,251.875,34.444447,9081635,9081635,4024048,4545900,4545900,40.3,40.4,900,1000,17478633472,21.02,41.65,8.397743,34.7404,28.6227,0.12,0.0030082727,USD,16115450880,0.04695,432250966,433308000,21857664,19607106,1690761600,1693440000,0.0504,0.00125,0.72365,5.37,13.787,2.9230435,1672444800,1703980800,1688083200,-0.837,97715000,0.16,1.17,1.81,2:1,1140652800,7.743,35.052,NYQ,EQUITY,CCJ,CCJ,Cameco Corporation,Cameco Corporation,826813800,America/New_York,EDT,-14400000,40.3,44.6,36.58,40.54,41.06,1.6,buy,6,2473403904,5.708,459753984,1126526976,2.806,3.64,2081348992,18.856,4.923,0.01816,0.0179,629106000,30125000,332932992,-0.857,-0.136,0.37472,0.22089,0.11201999,CAD,
2,2121-11th Street West,Saskatoon,SK,S7M 1J3,Canada,306 956 6200,https://www.cameco.com,Uranium,Energy,"Cameco Corporation provides uranium for the generation of electricity. It operates through two segments, Uranium and Fuel Services. The Uranium segment is involved in the exploration for, mining, and milling, purchase, and sale of uranium concentrate. The Fuel Services segment engages in the refining, conversion, and fabrication of uranium concentrate, as well as the purchase and sale of conversion services. This segment also produces fuel bundles and assemblies, and zirconium-based reactor components for CANDU reactors. The company offers nuclear fuel processing services. It sells its uranium and fuel services to nuclear utilities in the Americas, Europe, and Asia. Cameco Corporation was incorporated in 1987 and is headquartered in Saskatoon, Canada.","{'maxAge': 1, 'name': 'Mr. Brian Arthur Reilly B.Sc., M.B.A., M.Sc., P.Geo.', 'title': 'Sr. VP & COO', 'fiscalYear': 2022, 'totalPay': 756517, 'exercisedValue': 46663, 'unexercisedValue': 0}",1,4,2,7,1,1693526400,1672444800,86400,2,39.89,40.13,40.08,41.65,39.89,40.13,40.08,41.65,0.09,0.0022,1669680000,0.5455,0.48,0.939914,251.875,34.444447,9081635,9081635,4024048,4545900,4545900,40.3,40.4,900,1000,17478633472,21.02,41.65,8.397743,34.7404,28.6227,0.12,0.0030082727,USD,16115450880,0.04695,432250966,433308000,21857664,19607106,1690761600,1693440000,0.0504,0.00125,0.72365,5.37,13.787,2.9230435,1672444800,1703980800,1688083200,-0.837,97715000,0.16,1.17,1.81,2:1,1140652800,7.743,35.052,NYQ,EQUITY,CCJ,CCJ,Cameco Corporation,Cameco Corporation,826813800,America/New_York,EDT,-14400000,40.3,44.6,36.58,40.54,41.06,1.6,buy,6,2473403904,5.708,459753984,1126526976,2.806,3.64,2081348992,18.856,4.923,0.01816,0.0179,629106000,30125000,332932992,-0.857,-0.136,0.37472,0.22089,0.11201999,CAD,
3,2121-11th Street West,Saskatoon,SK,S7M 1J3,Canada,306 956 6200,https://www.cameco.com,Uranium,Energy,"Cameco Corporation provides uranium for the generation of electricity. It operates through two segments, Uranium and Fuel Services. The Uranium segment is involved in the exploration for, mining, and milling, purchase, and sale of uranium concentrate. The Fuel Services segment engages in the refining, conversion, and fabrication of uranium concentrate, as well as the purchase and sale of conversion services. This segment also produces fuel bundles and assemblies, and zirconium-based reactor components for CANDU reactors. The company offers nuclear fuel processing services. It sells its uranium and fuel services to nuclear utilities in the Americas, Europe, and Asia. Cameco Corporation was incorporated in 1987 and is headquartered in Saskatoon, Canada.","{'maxAge': 1, 'name': 'Mr. Sean Anthony Quinn', 'title': 'Sr. VP, Chief Legal Officer & Corp. Sec.', 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,7,1,1693526400,1672444800,86400,2,39.89,40.13,40.08,41.65,39.89,40.13,40.08,41.65,0.09,0.0022,1669680000,0.5455,0.48,0.939914,251.875,34.444447,9081635,9081635,4024048,4545900,4545900,40.3,40.4,900,1000,17478633472,21.02,41.65,8.397743,34.7404,28.6227,0.12,0.0030082727,USD,16115450880,0.04695,432250966,433308000,21857664,19607106,1690761600,1693440000,0.0504,0.00125,0.72365,5.37,13.787,2.9230435,1672444800,1703980800,1688083200,-0.837,97715000,0.16,1.17,1.81,2:1,1140652800,7.743,35.052,NYQ,EQUITY,CCJ,CCJ,Cameco Corporation,Cameco Corporation,826813800,America/New_York,EDT,-14400000,40.3,44.6,36.58,40.54,41.06,1.6,buy,6,2473403904,5.708,459753984,1126526976,2.806,3.64,2081348992,18.856,4.923,0.01816,0.0179,629106000,30125000,332932992,-0.857,-0.136,0.37472,0.22089,0.11201999,CAD,
4,2121-11th Street West,Saskatoon,SK,S7M 1J3,Canada,306 956 6200,https://www.cameco.com,Uranium,Energy,"Cameco Corporation provides uranium for the generation of electricity. It operates through two segments, Uranium and Fuel Services. The Uranium segment is involved in the exploration for, mining, and milling, purchase, and sale of uranium concentrate. The Fuel Services segment engages in the refining, conversion, and fabrication of uranium concentrate, as well as the purchase and sale of conversion services. This segment also produces fuel bundles and assemblies, and zirconium-based reactor components for CANDU reactors. The company offers nuclear fuel processing services. It sells its uranium and fuel services to nuclear utilities in the Americas, Europe, and Asia. Cameco Corporation was incorporated in 1987 and is headquartered in Saskatoon, Canada.","{'maxAge': 1, 'name': 'Ms. Alice Louise Wong Icd.D', 'age': 62, 'title': 'Sr. VP & Chief Corp. Officer', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 668324, 'exercisedValue': 16989, 'unexercisedValue': 0}",1,4,2,7,1,1693526400,1672444800,86400,2,39.89,40.13,40.08,41.65,39.89,40.13,40.08,41.65,0.09,0.0022,1669680000,0.5455,0.48,0.939914,251.875,34.444447,9081635,9081635,4024048,4545900,4545900,40.3,40.4,900,1000,17478633472,21.02,41.65,8.397743,34.7404,28.6227,0.12,0.0030082727,USD,16115450880,0.04695,432250966,433308000,21857664,19607106,1690761600,1693440000,0.0504,0.00125,0.72365,5.37,13.787,2.9230435,1672444800,1703980800,1688083200,-0.837,97715000,0.16,1.17,1.81,2:1,1140652800,7.743,35.052,NYQ,EQUITY,CCJ,CCJ,Cameco Corporation,Cameco Corporation,826813800,America/New_York,EDT,-14400000,40.3,44.6,36.58,40.54,41.06,1.6,buy,6,2473403904,5.708,459753984,1126526976,2.806,3.64,2081348992,18.856,4.923,0.01816,0.0179,629106000,30125000,332932992,-0.857,-0.136,0.37472,0.22089,0.11201999,CAD,
5,2121-11th Street West,Saskatoon,SK,S7M 1J3,Canada,306 956 6200,https://www.cameco.com,Uranium,Energy,"Cameco Corporation provides uranium for the generation of electricity. It operates through two segments, Uranium and Fuel Services. The Uranium segment is involved in the exploration for, mining, and milling, purchase, and sale of uranium concentrate. The Fuel Services segment engages in the refining, conversion, and fabrication of uranium concentrate, as well as the purchase and sale of conversion services. This segment also produces fuel bundles and assemblies, and zirconium-based reactor components for CANDU reactors. The company offers nuclear fuel processing services. It sells its uranium and fuel services to nuclear utilities in the Americas, Europe, and Asia. Cameco Corporation was incorporated in 1987 and is headquartered in Saskatoon, Canada.","{'maxAge': 1, 'name': 'Mr. C. Scott Bishop P. Eng.', 'title': 'Director of Technical Services', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,7,1,1693526400,1672444800,86400,2,39.89,40.13,40.08,41.65,39.89,40.13,40.08,41.65,0.09,0.0022,1669680000,0.5455,0.48,0.939914,251.875,34.444447,9081635,9081635,4024048,4545900,4545900,40.3,40.4,900,1000,17478633472,21.02,41.65,8.397743,34.7404,28.6227,0.12,0.0030082727,USD,16115450880,0.04695,432250966,433308000,21857664,19607106,1690761600,1693440000,0.0504,0.00125,0.72365,5.37,13.787,2.9230435,1672444800,1703980800,1688083200,-0.837,97715000,0.16,1.17,1.81,2:1,1140652800,7.743,35.052,NYQ,EQUITY,CCJ,CCJ,Cameco Corporation,Cameco Corporation,826813800,America/New_York,EDT,-14400000,40.3,44.6,36.58,40.54,41.06,1.6,buy,6,2473403904,5.708,459753984,1126526976,2.806,3.64,2081348992,18.856,4.923,0.01816,0.0179,629106000,30125000,332932992,-0.857,-0.136,0.37472,0.22089,0.11201999,CAD,
6,2121-11th Street West,Saskatoon,SK,S7M 1J3,Canada,306 956 6200,https://www.cameco.com,Uranium,Energy,"Cameco Corporation provides uranium for the generation of electricity. It operates through two segments, Uranium and Fuel Services. The Uranium segment is involved in the exploration for, mining, and milling, purchase, and sale of uranium concentrate. The Fuel Services segment engages in the refining, conversion, and fabrication of uranium concentrate, as well as the purchase and sale of conversion services. This segment also produces fuel bundles and assemblies, and zirconium-based reactor components for CANDU reactors. The company offers nuclear fuel processing services. It sells its uranium and fuel services to nuclear utilities in the Americas, Europe, and Asia. Cameco Corporation was incorporated in 1987 and is headquartered in Saskatoon, Canada.","{'maxAge': 1, 'name': 'Ms. Rachelle  Girard', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,7,1,1693526400,1672444800,86400,2,39.89,40.13,40.08,41.65,39.89,40.13,40.08,41.65,0.09,0.0022,1669680000,0.5455,0.48,0.939914,251.875,34.444447,9081635,9081635,4024048,4545900,4545900,40.3,40.4,900,1000,17478633472,21.02,41.65,8.397743,34.7404,28.6227,0.12,0.0030082727,USD,16115450880,0.04695,432250966,433308000,21857664,19607106,1690761600,1693440000,0.0504,0.00125,0.72365,5.37,13.787,2.9230435,1672444800,1703980800,1688083200,-0.837,97715000,0.16,1.17,1.81,2:1,1140652800,7.743,35.052,NYQ,EQUITY,CCJ,CCJ,Cameco Corporation,Cameco Corporation,826813800,America/New_York,EDT,-14400000,40.3,44.6,36.58,40.54,41.06,1.6,buy,6,2473403904,5.708,459753984,1126526976,2.806,3.64,2081348992,18.856,4.923,0.01816,0.0179,629106000,30125000,332932992,-0.857,-0.136,0.37472,0.22089,0.11201999,CAD,
7,2121-11th Street West,Saskatoon,SK,S7M 1J3,Canada,306 956 6200,https://www.cameco.com,Uranium,Energy,"Cameco Corporation provides uranium for the generation of electricity. It operates through two segments, Uranium and Fuel Services. The Uranium segment is involved in the exploration for, mining, and milling, purchase, and sale of uranium concentrate. The Fuel Services segment engages in the refining, conversion, and fabrication of uranium concentrate, as well as the purchase and sale of conversion services. This segment also produces fuel bundles and assemblies, and zirconium-based reactor components for CANDU reactors. The company offers nuclear fuel processing services. It sells its uranium and fuel services to nuclear utilities in the Americas, Europe, and Asia. Cameco Corporation was incorporated in 1987 and is headquartered in Saskatoon, Canada.","{'maxAge': 1, 'name': 'Mr. Scott  McHardy', 'title': 'Director of North American Exploration & VP of Exploration', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,7,1,1693526400,1672444800,86400,2,39.89,40.13,40.08,41.65,39.89,40.13,40.08,41.65,0.09,0.0022,1669680000,0.5455,0.48,0.939914,251.875,34.444447,9081635,9081635,4024048,4545900,4545900,40.3,40.4,900,1000,17478633472,21.02,41.65,8.397743,34.7404,28.6227,0.12,0.0030082727,USD,16115450880,0.04695,432250966,433308000,21857664,19607106,1690761600,1693440000,0.0504,0.00125,0.72365,5.37,13.787,2.9230435,1672444800,1703980800,1688083200,-0.837,97715000,0.16,1.17,1.81,2:1,1140652800,7.743,35.052,NYQ,EQUITY,CCJ,CCJ,Cameco Corporation,Cameco Corporation,826813800,America/New_York,EDT,-14400000,40.3,44.6,36.58,40.54,41.06,1.6,buy,6,2473403904,5.708,459753984,1126526976,2.806,3.64,2081348992,18.856,4.923,0.01816,0.0179,629106000,30125000,332932992,-0.857,-0.136,0.37472,0.22089,0.11201999,CAD,
8,2121-11th Street West,Saskatoon,SK,S7M 1J3,Canada,306 956 6200,https://www.cameco.com,Uranium,Energy,"Cameco Corporation provides uranium for the generation of electricity. It operates through two segments, Uranium and Fuel Services. The Uranium segment is involved in the exploration for, mining, and milling, purchase, and sale of uranium concentrate. The Fuel Services segment engages in the refining, conversion, and fabrication of uranium concentrate, as well as the purchase and sale of conversion services. This segment also produces fuel bundles and assemblies, and zirconium-based reactor components for CANDU reactors. The company offers nuclear fuel processing services. It sells its uranium and fuel services to nuclear utilities in the Americas, Europe, and Asia. Cameco Corporation was incorporated in 1987 and is headquartered in Saskatoon, Canada.","{'maxAge': 1, 'name': 'Ms. Heidi  Shockey', 'title': 'Sr. VP & Deputy CFO', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,7,1,1693526400,1672444800,86400,2,39.89,40.13,40.08,41.65,39.89,40.13,40.08,41.65,0.09,0.0022,1669680000,0.5455,0.48,0.939914,251.875,34.444447,9081635,9081635,4024048,4545900,4545900,40.3,40.4,900,1000,17478633472,21.02,41.65,8.397743,34.7404,28.6227,0.12,0.0030082727,USD,16115450880,0.04695,432250966,433308000,21857664,19607106,1690761600,1693440000,0.0504,0.00125,0.72365,5.37,13.787,2.9230435,1672444800,1703980800,1688083200,-0.837,97715000,0.16,1.17,1.81,2:1,1140652800,7.743,35.052,NYQ,EQUITY,CCJ,CCJ,Cameco Corporation,Cameco Corporation,826813800,America/New_York,EDT,-14400000,40.3,44.6,36.58,40.54,41.06,1.6,buy,6,2473403904,5.708,459753984,1126526976,2.806,3.64,2081348992,18.856,4.923,0.01816,0.0179,629106000,30125000,332932992,-0.857,-0.136,0.37472,0.22089,0.11201999,CAD,
9,2121-11th Street West,Saskatoon,SK,S7M 1J3,Canada,306 956 6200,https://www.cameco.com,Uranium,Energy,"Cameco Corporation provides uranium for the generation of electricity. It operates through two segments, Uranium and Fuel Services. The Uranium segment is involved in the exploration for, mining, and milling, purchase, and sale of uranium concentrate. The Fuel Services segment engages in the refining, conversion, and fabrication of uranium concentrate, as well as the purchase and sale of conversion services. This segment also produces fuel bundles and assemblies, and zirconium-based reactor components for CANDU reactors. The company offers nuclear fuel processing services. It sells its uranium and fuel services to nuclear utilities in the Americas, Europe, and Asia. Cameco Corporation was incorporated in 1987 and is headquartered in Saskatoon, Canada.","{'maxAge': 1, 'name': 'Alain D. Renaud P.Geo.', 'title': 'Chief Geologist of Technical Services', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,7,1,1693526400,1672444800,86400,2,39.89,40.13,40.08,41.65,39.89,40.13,40.08,41.65,0.09,0.0022,1669680000,0.5455,0.48,0.939914,251.875,34.444447,9081635,9081635,4024048,4545900,4545900,40.3,40.4,900,1000,17478633472,21.02,41.65,8.397743,34.7404,28.6227,0.12,0.0030082727,USD,16115450880,0.04695,432250966,433308000,21857664,19607106,1690761600,1693440000,0.0504,0.00125,0.72365,5.37,13.787,2.9230435,1672444800,1703980800,1688083200,-0.837,97715000,0.16,1.17,1.81,2:1,1140652800,7.743,35.052,NYQ,EQUITY,CCJ,CCJ,Cameco Corporation,Cameco Corporation,826813800,America/New_York,EDT,-14400000,40.3,44.6,36.58,40.54,41.06,1.6,buy,6,2473403904,5.708,459753984,1126526976,2.806,3.64,2081348992,18.856,4.923,0.01816,0.0179,629106000,30125000,332932992,-0.857,-0.136,0.37472,0.22089,0.11201999,CAD,
