,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1055 West Georgia Street,Suite 1500,Vancouver,BC,V6E 4N7,Canada,778-870-5028,https://www.networkmediagroup.ca,Entertainment,Communication Services,"Network Media Group Inc., together with its subsidiaries, develops, produces, and exploits film and television properties. It also provides production services to third parties. The company was founded in 1999 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Derik A. Murray', 'age': 65, 'title': 'Founder, CEO & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 324388, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.05,0.05,0.055,0.05,0.05,0.05,0.055,0.0,0.604673,5.5,30000,30000,30191,81480,81480,0.05,0.055,4901792,0.03,0.095,0.33654103,0.0445,0.052875,0.0,0.0,CAD,7393470,0.06887,69384456,89123504,81,10073,1690761600,1693440000,0.0,0.21594,0.0,0.0,0.105,0.52380955,1669766400,1701302400,1685491200,1003121,0.01,0.508,5.492,VAN,EQUITY,NTE.V,NTE.V,NETWORK MEDIA GROUP INC,Network Media Group Inc.,1323873000,America/Toronto,EDT,-14400000,0.055,none,496175,0.006,1346248,2987851,0.442,0.454,14565214,31.957,0.163,0.045560002,0.117010005,1099756,4946512,1.369,0.24961,0.09243,0.099029996,CAD,
1,1055 West Georgia Street,Suite 1500,Vancouver,BC,V6E 4N7,Canada,778-870-5028,https://www.networkmediagroup.ca,Entertainment,Communication Services,"Network Media Group Inc., together with its subsidiaries, develops, produces, and exploits film and television properties. It also provides production services to third parties. The company was founded in 1999 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Darren  Battersby', 'title': 'Chief Financial Officer', 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.05,0.05,0.055,0.05,0.05,0.05,0.055,0.0,0.604673,5.5,30000,30000,30191,81480,81480,0.05,0.055,4901792,0.03,0.095,0.33654103,0.0445,0.052875,0.0,0.0,CAD,7393470,0.06887,69384456,89123504,81,10073,1690761600,1693440000,0.0,0.21594,0.0,0.0,0.105,0.52380955,1669766400,1701302400,1685491200,1003121,0.01,0.508,5.492,VAN,EQUITY,NTE.V,NTE.V,NETWORK MEDIA GROUP INC,Network Media Group Inc.,1323873000,America/Toronto,EDT,-14400000,0.055,none,496175,0.006,1346248,2987851,0.442,0.454,14565214,31.957,0.163,0.045560002,0.117010005,1099756,4946512,1.369,0.24961,0.09243,0.099029996,CAD,
2,1055 West Georgia Street,Suite 1500,Vancouver,BC,V6E 4N7,Canada,778-870-5028,https://www.networkmediagroup.ca,Entertainment,Communication Services,"Network Media Group Inc., together with its subsidiaries, develops, produces, and exploits film and television properties. It also provides production services to third parties. The company was founded in 1999 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Paul  Gertz', 'age': 65, 'title': 'COO, Corp. Sec. & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 264011, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.05,0.05,0.055,0.05,0.05,0.05,0.055,0.0,0.604673,5.5,30000,30000,30191,81480,81480,0.05,0.055,4901792,0.03,0.095,0.33654103,0.0445,0.052875,0.0,0.0,CAD,7393470,0.06887,69384456,89123504,81,10073,1690761600,1693440000,0.0,0.21594,0.0,0.0,0.105,0.52380955,1669766400,1701302400,1685491200,1003121,0.01,0.508,5.492,VAN,EQUITY,NTE.V,NTE.V,NETWORK MEDIA GROUP INC,Network Media Group Inc.,1323873000,America/Toronto,EDT,-14400000,0.055,none,496175,0.006,1346248,2987851,0.442,0.454,14565214,31.957,0.163,0.045560002,0.117010005,1099756,4946512,1.369,0.24961,0.09243,0.099029996,CAD,
3,1055 West Georgia Street,Suite 1500,Vancouver,BC,V6E 4N7,Canada,778-870-5028,https://www.networkmediagroup.ca,Entertainment,Communication Services,"Network Media Group Inc., together with its subsidiaries, develops, produces, and exploits film and television properties. It also provides production services to third parties. The company was founded in 1999 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Curtis  White', 'title': 'Pres', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.05,0.05,0.055,0.05,0.05,0.05,0.055,0.0,0.604673,5.5,30000,30000,30191,81480,81480,0.05,0.055,4901792,0.03,0.095,0.33654103,0.0445,0.052875,0.0,0.0,CAD,7393470,0.06887,69384456,89123504,81,10073,1690761600,1693440000,0.0,0.21594,0.0,0.0,0.105,0.52380955,1669766400,1701302400,1685491200,1003121,0.01,0.508,5.492,VAN,EQUITY,NTE.V,NTE.V,NETWORK MEDIA GROUP INC,Network Media Group Inc.,1323873000,America/Toronto,EDT,-14400000,0.055,none,496175,0.006,1346248,2987851,0.442,0.454,14565214,31.957,0.163,0.045560002,0.117010005,1099756,4946512,1.369,0.24961,0.09243,0.099029996,CAD,
4,1055 West Georgia Street,Suite 1500,Vancouver,BC,V6E 4N7,Canada,778-870-5028,https://www.networkmediagroup.ca,Entertainment,Communication Services,"Network Media Group Inc., together with its subsidiaries, develops, produces, and exploits film and television properties. It also provides production services to third parties. The company was founded in 1999 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Michael  Wills', 'title': 'Devel. & Sales Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.05,0.05,0.055,0.05,0.05,0.05,0.055,0.0,0.604673,5.5,30000,30000,30191,81480,81480,0.05,0.055,4901792,0.03,0.095,0.33654103,0.0445,0.052875,0.0,0.0,CAD,7393470,0.06887,69384456,89123504,81,10073,1690761600,1693440000,0.0,0.21594,0.0,0.0,0.105,0.52380955,1669766400,1701302400,1685491200,1003121,0.01,0.508,5.492,VAN,EQUITY,NTE.V,NTE.V,NETWORK MEDIA GROUP INC,Network Media Group Inc.,1323873000,America/Toronto,EDT,-14400000,0.055,none,496175,0.006,1346248,2987851,0.442,0.454,14565214,31.957,0.163,0.045560002,0.117010005,1099756,4946512,1.369,0.24961,0.09243,0.099029996,CAD,
5,1055 West Georgia Street,Suite 1500,Vancouver,BC,V6E 4N7,Canada,778-870-5028,https://www.networkmediagroup.ca,Entertainment,Communication Services,"Network Media Group Inc., together with its subsidiaries, develops, produces, and exploits film and television properties. It also provides production services to third parties. The company was founded in 1999 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Trevor  Treweeke', 'age': 32, 'title': 'Director of Capital Markets', 'yearBorn': 1990, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.05,0.05,0.055,0.05,0.05,0.05,0.055,0.0,0.604673,5.5,30000,30000,30191,81480,81480,0.05,0.055,4901792,0.03,0.095,0.33654103,0.0445,0.052875,0.0,0.0,CAD,7393470,0.06887,69384456,89123504,81,10073,1690761600,1693440000,0.0,0.21594,0.0,0.0,0.105,0.52380955,1669766400,1701302400,1685491200,1003121,0.01,0.508,5.492,VAN,EQUITY,NTE.V,NTE.V,NETWORK MEDIA GROUP INC,Network Media Group Inc.,1323873000,America/Toronto,EDT,-14400000,0.055,none,496175,0.006,1346248,2987851,0.442,0.454,14565214,31.957,0.163,0.045560002,0.117010005,1099756,4946512,1.369,0.24961,0.09243,0.099029996,CAD,
6,1055 West Georgia Street,Suite 1500,Vancouver,BC,V6E 4N7,Canada,778-870-5028,https://www.networkmediagroup.ca,Entertainment,Communication Services,"Network Media Group Inc., together with its subsidiaries, develops, produces, and exploits film and television properties. It also provides production services to third parties. The company was founded in 1999 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Brian  Gersh', 'title': 'Pres of Network Entertainment USA & Exec. Producer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.05,0.05,0.055,0.05,0.05,0.05,0.055,0.0,0.604673,5.5,30000,30000,30191,81480,81480,0.05,0.055,4901792,0.03,0.095,0.33654103,0.0445,0.052875,0.0,0.0,CAD,7393470,0.06887,69384456,89123504,81,10073,1690761600,1693440000,0.0,0.21594,0.0,0.0,0.105,0.52380955,1669766400,1701302400,1685491200,1003121,0.01,0.508,5.492,VAN,EQUITY,NTE.V,NTE.V,NETWORK MEDIA GROUP INC,Network Media Group Inc.,1323873000,America/Toronto,EDT,-14400000,0.055,none,496175,0.006,1346248,2987851,0.442,0.454,14565214,31.957,0.163,0.045560002,0.117010005,1099756,4946512,1.369,0.24961,0.09243,0.099029996,CAD,
7,1055 West Georgia Street,Suite 1500,Vancouver,BC,V6E 4N7,Canada,778-870-5028,https://www.networkmediagroup.ca,Entertainment,Communication Services,"Network Media Group Inc., together with its subsidiaries, develops, produces, and exploits film and television properties. It also provides production services to third parties. The company was founded in 1999 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Gemma  Strongman', 'title': 'Head of Devel. & Content Exec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.05,0.05,0.055,0.05,0.05,0.05,0.055,0.0,0.604673,5.5,30000,30000,30191,81480,81480,0.05,0.055,4901792,0.03,0.095,0.33654103,0.0445,0.052875,0.0,0.0,CAD,7393470,0.06887,69384456,89123504,81,10073,1690761600,1693440000,0.0,0.21594,0.0,0.0,0.105,0.52380955,1669766400,1701302400,1685491200,1003121,0.01,0.508,5.492,VAN,EQUITY,NTE.V,NTE.V,NETWORK MEDIA GROUP INC,Network Media Group Inc.,1323873000,America/Toronto,EDT,-14400000,0.055,none,496175,0.006,1346248,2987851,0.442,0.454,14565214,31.957,0.163,0.045560002,0.117010005,1099756,4946512,1.369,0.24961,0.09243,0.099029996,CAD,
8,1055 West Georgia Street,Suite 1500,Vancouver,BC,V6E 4N7,Canada,778-870-5028,https://www.networkmediagroup.ca,Entertainment,Communication Services,"Network Media Group Inc., together with its subsidiaries, develops, produces, and exploits film and television properties. It also provides production services to third parties. The company was founded in 1999 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Bianca  Cervantes', 'title': 'Head of Archival', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.05,0.05,0.055,0.05,0.05,0.05,0.055,0.0,0.604673,5.5,30000,30000,30191,81480,81480,0.05,0.055,4901792,0.03,0.095,0.33654103,0.0445,0.052875,0.0,0.0,CAD,7393470,0.06887,69384456,89123504,81,10073,1690761600,1693440000,0.0,0.21594,0.0,0.0,0.105,0.52380955,1669766400,1701302400,1685491200,1003121,0.01,0.508,5.492,VAN,EQUITY,NTE.V,NTE.V,NETWORK MEDIA GROUP INC,Network Media Group Inc.,1323873000,America/Toronto,EDT,-14400000,0.055,none,496175,0.006,1346248,2987851,0.442,0.454,14565214,31.957,0.163,0.045560002,0.117010005,1099756,4946512,1.369,0.24961,0.09243,0.099029996,CAD,
9,1055 West Georgia Street,Suite 1500,Vancouver,BC,V6E 4N7,Canada,778-870-5028,https://www.networkmediagroup.ca,Entertainment,Communication Services,"Network Media Group Inc., together with its subsidiaries, develops, produces, and exploits film and television properties. It also provides production services to third parties. The company was founded in 1999 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Julie Bannon Nunes', 'title': 'Head of Post Production', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.05,0.05,0.055,0.05,0.05,0.05,0.055,0.0,0.604673,5.5,30000,30000,30191,81480,81480,0.05,0.055,4901792,0.03,0.095,0.33654103,0.0445,0.052875,0.0,0.0,CAD,7393470,0.06887,69384456,89123504,81,10073,1690761600,1693440000,0.0,0.21594,0.0,0.0,0.105,0.52380955,1669766400,1701302400,1685491200,1003121,0.01,0.508,5.492,VAN,EQUITY,NTE.V,NTE.V,NETWORK MEDIA GROUP INC,Network Media Group Inc.,1323873000,America/Toronto,EDT,-14400000,0.055,none,496175,0.006,1346248,2987851,0.442,0.454,14565214,31.957,0.163,0.045560002,0.117010005,1099756,4946512,1.369,0.24961,0.09243,0.099029996,CAD,
