,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,6000 Westown Parkway,West Des Moines,IA,50266,United States,515 221 0002,515 226 3129,https://www.american-equity.com,Insurance—Life,Insurance—Life,Financial Services,Financial Services,"American Equity Investment Life Holding Company, through its subsidiaries, provides life insurance products in the United States. The company issues fixed index and rate annuities, as well as single premium immediate annuities. It markets its products through independent agents, including independent marketing organizations, broker/dealers, banks, and registered investment advisors. American Equity Investment Life Holding Company was incorporated in 1995 and is based in West Des Moines, Iowa.",840,"{'maxAge': 1, 'name': 'Mr. Anant  Bhalla', 'age': 44, 'title': 'Pres, CEO & Director', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 4775042, 'exercisedValue': 0, 'unexercisedValue': 3676922}",4,2,10,4,7,1693526400,1672444800,86400,2,54.1,54.0,53.915,54.18,54.1,54.0,53.915,54.18,1669334400,2.1176,1.01,0.953319,317.47058,7.776657,1704607,1704607,789146,669220,669220,53.82,54.08,900,1000,4225759488,28.05,54.44,1.5845122,53.5036,44.6375,0.36,0.006654344,USD,115937088,-0.00842,76784791,78298304,1564931,1482482,1690761600,1693440000,0.02,0.011,1.03233,3.51,0.038900003,78298304,32.953,1.6377872,1672444800,1703980800,1688083200,-0.534,-66120000,0.17,6.94,0.31,0.043,0.664,0.3945737,0.14113986,0.36,1669334400,NYQ,EQUITY,AEL,AEL,American Equity Investment Life,American Equity Investment Life Holding Company,1070548200,America/New_York,EDT,32bfedc5-4cae-3abc-a895-6d1448e6cac4,finmb_3635761,-14400000,53.97,55.0,54.0,54.83,55.0,3.0,hold,6,5000656896,63.867,174488000,867681024,0.8,1.057,2666915072,33.436,31.939,0.0014,-0.00685,-509472000,72947624,4979301888,-0.459,5.735,0.36879003,0.06543,0.06249,USD,
1,6000 Westown Parkway,West Des Moines,IA,50266,United States,515 221 0002,515 226 3129,https://www.american-equity.com,Insurance—Life,Insurance—Life,Financial Services,Financial Services,"American Equity Investment Life Holding Company, through its subsidiaries, provides life insurance products in the United States. The company issues fixed index and rate annuities, as well as single premium immediate annuities. It markets its products through independent agents, including independent marketing organizations, broker/dealers, banks, and registered investment advisors. American Equity Investment Life Holding Company was incorporated in 1995 and is based in West Des Moines, Iowa.",840,"{'maxAge': 1, 'name': 'Mr. Axel Philippe Alain Andre', 'age': 45, 'title': 'Exec. VP & CFO', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 2280021, 'exercisedValue': 0, 'unexercisedValue': 194220}",4,2,10,4,7,1693526400,1672444800,86400,2,54.1,54.0,53.915,54.18,54.1,54.0,53.915,54.18,1669334400,2.1176,1.01,0.953319,317.47058,7.776657,1704607,1704607,789146,669220,669220,53.82,54.08,900,1000,4225759488,28.05,54.44,1.5845122,53.5036,44.6375,0.36,0.006654344,USD,115937088,-0.00842,76784791,78298304,1564931,1482482,1690761600,1693440000,0.02,0.011,1.03233,3.51,0.038900003,78298304,32.953,1.6377872,1672444800,1703980800,1688083200,-0.534,-66120000,0.17,6.94,0.31,0.043,0.664,0.3945737,0.14113986,0.36,1669334400,NYQ,EQUITY,AEL,AEL,American Equity Investment Life,American Equity Investment Life Holding Company,1070548200,America/New_York,EDT,32bfedc5-4cae-3abc-a895-6d1448e6cac4,finmb_3635761,-14400000,53.97,55.0,54.0,54.83,55.0,3.0,hold,6,5000656896,63.867,174488000,867681024,0.8,1.057,2666915072,33.436,31.939,0.0014,-0.00685,-509472000,72947624,4979301888,-0.459,5.735,0.36879003,0.06543,0.06249,USD,
2,6000 Westown Parkway,West Des Moines,IA,50266,United States,515 221 0002,515 226 3129,https://www.american-equity.com,Insurance—Life,Insurance—Life,Financial Services,Financial Services,"American Equity Investment Life Holding Company, through its subsidiaries, provides life insurance products in the United States. The company issues fixed index and rate annuities, as well as single premium immediate annuities. It markets its products through independent agents, including independent marketing organizations, broker/dealers, banks, and registered investment advisors. American Equity Investment Life Holding Company was incorporated in 1995 and is based in West Des Moines, Iowa.",840,"{'maxAge': 1, 'name': 'Mr. James Louis Hamalainen', 'age': 57, 'title': 'Exec. VP & Chief Investment Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1870489, 'exercisedValue': 0, 'unexercisedValue': 1061682}",4,2,10,4,7,1693526400,1672444800,86400,2,54.1,54.0,53.915,54.18,54.1,54.0,53.915,54.18,1669334400,2.1176,1.01,0.953319,317.47058,7.776657,1704607,1704607,789146,669220,669220,53.82,54.08,900,1000,4225759488,28.05,54.44,1.5845122,53.5036,44.6375,0.36,0.006654344,USD,115937088,-0.00842,76784791,78298304,1564931,1482482,1690761600,1693440000,0.02,0.011,1.03233,3.51,0.038900003,78298304,32.953,1.6377872,1672444800,1703980800,1688083200,-0.534,-66120000,0.17,6.94,0.31,0.043,0.664,0.3945737,0.14113986,0.36,1669334400,NYQ,EQUITY,AEL,AEL,American Equity Investment Life,American Equity Investment Life Holding Company,1070548200,America/New_York,EDT,32bfedc5-4cae-3abc-a895-6d1448e6cac4,finmb_3635761,-14400000,53.97,55.0,54.0,54.83,55.0,3.0,hold,6,5000656896,63.867,174488000,867681024,0.8,1.057,2666915072,33.436,31.939,0.0014,-0.00685,-509472000,72947624,4979301888,-0.459,5.735,0.36879003,0.06543,0.06249,USD,
3,6000 Westown Parkway,West Des Moines,IA,50266,United States,515 221 0002,515 226 3129,https://www.american-equity.com,Insurance—Life,Insurance—Life,Financial Services,Financial Services,"American Equity Investment Life Holding Company, through its subsidiaries, provides life insurance products in the United States. The company issues fixed index and rate annuities, as well as single premium immediate annuities. It markets its products through independent agents, including independent marketing organizations, broker/dealers, banks, and registered investment advisors. American Equity Investment Life Holding Company was incorporated in 1995 and is based in West Des Moines, Iowa.",840,"{'maxAge': 1, 'name': 'Mr. Jeffrey David Lorenzen CFA', 'age': 56, 'title': 'Exec. VP & Chief Risk Officer', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1082873, 'exercisedValue': 0, 'unexercisedValue': 682783}",4,2,10,4,7,1693526400,1672444800,86400,2,54.1,54.0,53.915,54.18,54.1,54.0,53.915,54.18,1669334400,2.1176,1.01,0.953319,317.47058,7.776657,1704607,1704607,789146,669220,669220,53.82,54.08,900,1000,4225759488,28.05,54.44,1.5845122,53.5036,44.6375,0.36,0.006654344,USD,115937088,-0.00842,76784791,78298304,1564931,1482482,1690761600,1693440000,0.02,0.011,1.03233,3.51,0.038900003,78298304,32.953,1.6377872,1672444800,1703980800,1688083200,-0.534,-66120000,0.17,6.94,0.31,0.043,0.664,0.3945737,0.14113986,0.36,1669334400,NYQ,EQUITY,AEL,AEL,American Equity Investment Life,American Equity Investment Life Holding Company,1070548200,America/New_York,EDT,32bfedc5-4cae-3abc-a895-6d1448e6cac4,finmb_3635761,-14400000,53.97,55.0,54.0,54.83,55.0,3.0,hold,6,5000656896,63.867,174488000,867681024,0.8,1.057,2666915072,33.436,31.939,0.0014,-0.00685,-509472000,72947624,4979301888,-0.459,5.735,0.36879003,0.06543,0.06249,USD,
4,6000 Westown Parkway,West Des Moines,IA,50266,United States,515 221 0002,515 226 3129,https://www.american-equity.com,Insurance—Life,Insurance—Life,Financial Services,Financial Services,"American Equity Investment Life Holding Company, through its subsidiaries, provides life insurance products in the United States. The company issues fixed index and rate annuities, as well as single premium immediate annuities. It markets its products through independent agents, including independent marketing organizations, broker/dealers, banks, and registered investment advisors. American Equity Investment Life Holding Company was incorporated in 1995 and is based in West Des Moines, Iowa.",840,"{'maxAge': 1, 'name': 'Mr. Dewayne  Lummus', 'age': 52, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,10,4,7,1693526400,1672444800,86400,2,54.1,54.0,53.915,54.18,54.1,54.0,53.915,54.18,1669334400,2.1176,1.01,0.953319,317.47058,7.776657,1704607,1704607,789146,669220,669220,53.82,54.08,900,1000,4225759488,28.05,54.44,1.5845122,53.5036,44.6375,0.36,0.006654344,USD,115937088,-0.00842,76784791,78298304,1564931,1482482,1690761600,1693440000,0.02,0.011,1.03233,3.51,0.038900003,78298304,32.953,1.6377872,1672444800,1703980800,1688083200,-0.534,-66120000,0.17,6.94,0.31,0.043,0.664,0.3945737,0.14113986,0.36,1669334400,NYQ,EQUITY,AEL,AEL,American Equity Investment Life,American Equity Investment Life Holding Company,1070548200,America/New_York,EDT,32bfedc5-4cae-3abc-a895-6d1448e6cac4,finmb_3635761,-14400000,53.97,55.0,54.0,54.83,55.0,3.0,hold,6,5000656896,63.867,174488000,867681024,0.8,1.057,2666915072,33.436,31.939,0.0014,-0.00685,-509472000,72947624,4979301888,-0.459,5.735,0.36879003,0.06543,0.06249,USD,
5,6000 Westown Parkway,West Des Moines,IA,50266,United States,515 221 0002,515 226 3129,https://www.american-equity.com,Insurance—Life,Insurance—Life,Financial Services,Financial Services,"American Equity Investment Life Holding Company, through its subsidiaries, provides life insurance products in the United States. The company issues fixed index and rate annuities, as well as single premium immediate annuities. It markets its products through independent agents, including independent marketing organizations, broker/dealers, banks, and registered investment advisors. American Equity Investment Life Holding Company was incorporated in 1995 and is based in West Des Moines, Iowa.",840,"{'maxAge': 1, 'name': 'Mr. Nicholas P. Volpe', 'age': 46, 'title': 'Exec. VP & CTO', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,10,4,7,1693526400,1672444800,86400,2,54.1,54.0,53.915,54.18,54.1,54.0,53.915,54.18,1669334400,2.1176,1.01,0.953319,317.47058,7.776657,1704607,1704607,789146,669220,669220,53.82,54.08,900,1000,4225759488,28.05,54.44,1.5845122,53.5036,44.6375,0.36,0.006654344,USD,115937088,-0.00842,76784791,78298304,1564931,1482482,1690761600,1693440000,0.02,0.011,1.03233,3.51,0.038900003,78298304,32.953,1.6377872,1672444800,1703980800,1688083200,-0.534,-66120000,0.17,6.94,0.31,0.043,0.664,0.3945737,0.14113986,0.36,1669334400,NYQ,EQUITY,AEL,AEL,American Equity Investment Life,American Equity Investment Life Holding Company,1070548200,America/New_York,EDT,32bfedc5-4cae-3abc-a895-6d1448e6cac4,finmb_3635761,-14400000,53.97,55.0,54.0,54.83,55.0,3.0,hold,6,5000656896,63.867,174488000,867681024,0.8,1.057,2666915072,33.436,31.939,0.0014,-0.00685,-509472000,72947624,4979301888,-0.459,5.735,0.36879003,0.06543,0.06249,USD,
6,6000 Westown Parkway,West Des Moines,IA,50266,United States,515 221 0002,515 226 3129,https://www.american-equity.com,Insurance—Life,Insurance—Life,Financial Services,Financial Services,"American Equity Investment Life Holding Company, through its subsidiaries, provides life insurance products in the United States. The company issues fixed index and rate annuities, as well as single premium immediate annuities. It markets its products through independent agents, including independent marketing organizations, broker/dealers, banks, and registered investment advisors. American Equity Investment Life Holding Company was incorporated in 1995 and is based in West Des Moines, Iowa.",840,"{'maxAge': 1, 'name': 'Mr. Steven D. Schwartz C.F.A.', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,10,4,7,1693526400,1672444800,86400,2,54.1,54.0,53.915,54.18,54.1,54.0,53.915,54.18,1669334400,2.1176,1.01,0.953319,317.47058,7.776657,1704607,1704607,789146,669220,669220,53.82,54.08,900,1000,4225759488,28.05,54.44,1.5845122,53.5036,44.6375,0.36,0.006654344,USD,115937088,-0.00842,76784791,78298304,1564931,1482482,1690761600,1693440000,0.02,0.011,1.03233,3.51,0.038900003,78298304,32.953,1.6377872,1672444800,1703980800,1688083200,-0.534,-66120000,0.17,6.94,0.31,0.043,0.664,0.3945737,0.14113986,0.36,1669334400,NYQ,EQUITY,AEL,AEL,American Equity Investment Life,American Equity Investment Life Holding Company,1070548200,America/New_York,EDT,32bfedc5-4cae-3abc-a895-6d1448e6cac4,finmb_3635761,-14400000,53.97,55.0,54.0,54.83,55.0,3.0,hold,6,5000656896,63.867,174488000,867681024,0.8,1.057,2666915072,33.436,31.939,0.0014,-0.00685,-509472000,72947624,4979301888,-0.459,5.735,0.36879003,0.06543,0.06249,USD,
7,6000 Westown Parkway,West Des Moines,IA,50266,United States,515 221 0002,515 226 3129,https://www.american-equity.com,Insurance—Life,Insurance—Life,Financial Services,Financial Services,"American Equity Investment Life Holding Company, through its subsidiaries, provides life insurance products in the United States. The company issues fixed index and rate annuities, as well as single premium immediate annuities. It markets its products through independent agents, including independent marketing organizations, broker/dealers, banks, and registered investment advisors. American Equity Investment Life Holding Company was incorporated in 1995 and is based in West Des Moines, Iowa.",840,"{'maxAge': 1, 'name': 'Ms. Kate  Etinger', 'age': 46, 'title': 'Exec. VP & Chief People Officer', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,10,4,7,1693526400,1672444800,86400,2,54.1,54.0,53.915,54.18,54.1,54.0,53.915,54.18,1669334400,2.1176,1.01,0.953319,317.47058,7.776657,1704607,1704607,789146,669220,669220,53.82,54.08,900,1000,4225759488,28.05,54.44,1.5845122,53.5036,44.6375,0.36,0.006654344,USD,115937088,-0.00842,76784791,78298304,1564931,1482482,1690761600,1693440000,0.02,0.011,1.03233,3.51,0.038900003,78298304,32.953,1.6377872,1672444800,1703980800,1688083200,-0.534,-66120000,0.17,6.94,0.31,0.043,0.664,0.3945737,0.14113986,0.36,1669334400,NYQ,EQUITY,AEL,AEL,American Equity Investment Life,American Equity Investment Life Holding Company,1070548200,America/New_York,EDT,32bfedc5-4cae-3abc-a895-6d1448e6cac4,finmb_3635761,-14400000,53.97,55.0,54.0,54.83,55.0,3.0,hold,6,5000656896,63.867,174488000,867681024,0.8,1.057,2666915072,33.436,31.939,0.0014,-0.00685,-509472000,72947624,4979301888,-0.459,5.735,0.36879003,0.06543,0.06249,USD,
8,6000 Westown Parkway,West Des Moines,IA,50266,United States,515 221 0002,515 226 3129,https://www.american-equity.com,Insurance—Life,Insurance—Life,Financial Services,Financial Services,"American Equity Investment Life Holding Company, through its subsidiaries, provides life insurance products in the United States. The company issues fixed index and rate annuities, as well as single premium immediate annuities. It markets its products through independent agents, including independent marketing organizations, broker/dealers, banks, and registered investment advisors. American Equity Investment Life Holding Company was incorporated in 1995 and is based in West Des Moines, Iowa.",840,"{'maxAge': 1, 'name': 'Mr. Harley  Whitfield Jr.', 'title': 'Sr. VP of Resolutions', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,10,4,7,1693526400,1672444800,86400,2,54.1,54.0,53.915,54.18,54.1,54.0,53.915,54.18,1669334400,2.1176,1.01,0.953319,317.47058,7.776657,1704607,1704607,789146,669220,669220,53.82,54.08,900,1000,4225759488,28.05,54.44,1.5845122,53.5036,44.6375,0.36,0.006654344,USD,115937088,-0.00842,76784791,78298304,1564931,1482482,1690761600,1693440000,0.02,0.011,1.03233,3.51,0.038900003,78298304,32.953,1.6377872,1672444800,1703980800,1688083200,-0.534,-66120000,0.17,6.94,0.31,0.043,0.664,0.3945737,0.14113986,0.36,1669334400,NYQ,EQUITY,AEL,AEL,American Equity Investment Life,American Equity Investment Life Holding Company,1070548200,America/New_York,EDT,32bfedc5-4cae-3abc-a895-6d1448e6cac4,finmb_3635761,-14400000,53.97,55.0,54.0,54.83,55.0,3.0,hold,6,5000656896,63.867,174488000,867681024,0.8,1.057,2666915072,33.436,31.939,0.0014,-0.00685,-509472000,72947624,4979301888,-0.459,5.735,0.36879003,0.06543,0.06249,USD,
9,6000 Westown Parkway,West Des Moines,IA,50266,United States,515 221 0002,515 226 3129,https://www.american-equity.com,Insurance—Life,Insurance—Life,Financial Services,Financial Services,"American Equity Investment Life Holding Company, through its subsidiaries, provides life insurance products in the United States. The company issues fixed index and rate annuities, as well as single premium immediate annuities. It markets its products through independent agents, including independent marketing organizations, broker/dealers, banks, and registered investment advisors. American Equity Investment Life Holding Company was incorporated in 1995 and is based in West Des Moines, Iowa.",840,"{'maxAge': 1, 'name': 'Ms. Julie Lynne LaFollette', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,10,4,7,1693526400,1672444800,86400,2,54.1,54.0,53.915,54.18,54.1,54.0,53.915,54.18,1669334400,2.1176,1.01,0.953319,317.47058,7.776657,1704607,1704607,789146,669220,669220,53.82,54.08,900,1000,4225759488,28.05,54.44,1.5845122,53.5036,44.6375,0.36,0.006654344,USD,115937088,-0.00842,76784791,78298304,1564931,1482482,1690761600,1693440000,0.02,0.011,1.03233,3.51,0.038900003,78298304,32.953,1.6377872,1672444800,1703980800,1688083200,-0.534,-66120000,0.17,6.94,0.31,0.043,0.664,0.3945737,0.14113986,0.36,1669334400,NYQ,EQUITY,AEL,AEL,American Equity Investment Life,American Equity Investment Life Holding Company,1070548200,America/New_York,EDT,32bfedc5-4cae-3abc-a895-6d1448e6cac4,finmb_3635761,-14400000,53.97,55.0,54.0,54.83,55.0,3.0,hold,6,5000656896,63.867,174488000,867681024,0.8,1.057,2666915072,33.436,31.939,0.0014,-0.00685,-509472000,72947624,4979301888,-0.459,5.735,0.36879003,0.06543,0.06249,USD,
