,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,21 Firstfield Road,Gaithersburg,MD,20878,United States,240 268 2000,https://www.novavax.com,Biotechnology,Healthcare,"Novavax, Inc., a biotechnology company, that promotes improved health by discovering, developing, and commercializing vaccines to protect against serious infectious diseases. It offers vaccine platform that combines a recombinant protein approach, nanoparticle technology, and its patented Matrix-M adjuvant to enhance the immune response. It focuses on urgent health challenges, which is evaluating vaccines for COVID-19, influenza, and COVID-19 and influenza combined. The company is commercializing a COVID-19 vaccine, NVX-CoV2373 under the brand names of Nuvaxovid, Covovax, and Novavax COVID-19 Vaccine, Adjuvanted for adult and adolescent populations as a primary series and for both homologous and heterologous booster indications. It is also focusing on products candidates for respiratory syncytial virus and malaria. Novavax, Inc. was incorporated in 1987 and is headquartered in Gaithersburg, Maryland.",1992,"{'maxAge': 1, 'name': 'Mr. James Patrick Kelly C.F.A.', 'age': 56, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 644322, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,4,5,4,1693526400,1672444800,86400,2,7.99,7.89,7.67,8.08,7.99,7.89,7.67,8.08,0.0,1.682572,-8.115789,10295418,10295418,8912864,15443140,15443140,7.8,7.8,1800,2200,777969856,5.61,29.94,0.4870369,8.19,9.0182,0.0,0.0,USD,459272256,-0.36733,82038181,100904000,40085657,36954470,1690761600,1693440000,0.3973,0.00597,0.70606005,4.2,0.4947,-8.001,1672444800,1703980800,1688083200,-586758976,-6.89,-0.95,0.07,1:20,1557446400,0.288,-0.793,NMS,EQUITY,NVAX,NVAX,"Novavax, Inc.","Novavax, Inc.",818173800,America/New_York,EDT,-14400000,7.71,38.0,5.0,20.6,15.0,2.7,hold,5,505912000,5.359,-579000000,237328000,0.568,0.706,1597352960,19.149,-0.17806,-156045000,-273240640,-654054976,1.283,-0.084130004,-0.36247003,-0.38417998,USD,
1,21 Firstfield Road,Gaithersburg,MD,20878,United States,240 268 2000,https://www.novavax.com,Biotechnology,Healthcare,"Novavax, Inc., a biotechnology company, that promotes improved health by discovering, developing, and commercializing vaccines to protect against serious infectious diseases. It offers vaccine platform that combines a recombinant protein approach, nanoparticle technology, and its patented Matrix-M adjuvant to enhance the immune response. It focuses on urgent health challenges, which is evaluating vaccines for COVID-19, influenza, and COVID-19 and influenza combined. The company is commercializing a COVID-19 vaccine, NVX-CoV2373 under the brand names of Nuvaxovid, Covovax, and Novavax COVID-19 Vaccine, Adjuvanted for adult and adolescent populations as a primary series and for both homologous and heterologous booster indications. It is also focusing on products candidates for respiratory syncytial virus and malaria. Novavax, Inc. was incorporated in 1987 and is headquartered in Gaithersburg, Maryland.",1992,"{'maxAge': 1, 'name': 'Mr. John A. Herrmann III, J.D.', 'age': 56, 'title': 'Exec. VP & Chief Legal Officer', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 658300, 'exercisedValue': 609133, 'unexercisedValue': 151823}",6,4,4,5,4,1693526400,1672444800,86400,2,7.99,7.89,7.67,8.08,7.99,7.89,7.67,8.08,0.0,1.682572,-8.115789,10295418,10295418,8912864,15443140,15443140,7.8,7.8,1800,2200,777969856,5.61,29.94,0.4870369,8.19,9.0182,0.0,0.0,USD,459272256,-0.36733,82038181,100904000,40085657,36954470,1690761600,1693440000,0.3973,0.00597,0.70606005,4.2,0.4947,-8.001,1672444800,1703980800,1688083200,-586758976,-6.89,-0.95,0.07,1:20,1557446400,0.288,-0.793,NMS,EQUITY,NVAX,NVAX,"Novavax, Inc.","Novavax, Inc.",818173800,America/New_York,EDT,-14400000,7.71,38.0,5.0,20.6,15.0,2.7,hold,5,505912000,5.359,-579000000,237328000,0.568,0.706,1597352960,19.149,-0.17806,-156045000,-273240640,-654054976,1.283,-0.084130004,-0.36247003,-0.38417998,USD,
2,21 Firstfield Road,Gaithersburg,MD,20878,United States,240 268 2000,https://www.novavax.com,Biotechnology,Healthcare,"Novavax, Inc., a biotechnology company, that promotes improved health by discovering, developing, and commercializing vaccines to protect against serious infectious diseases. It offers vaccine platform that combines a recombinant protein approach, nanoparticle technology, and its patented Matrix-M adjuvant to enhance the immune response. It focuses on urgent health challenges, which is evaluating vaccines for COVID-19, influenza, and COVID-19 and influenza combined. The company is commercializing a COVID-19 vaccine, NVX-CoV2373 under the brand names of Nuvaxovid, Covovax, and Novavax COVID-19 Vaccine, Adjuvanted for adult and adolescent populations as a primary series and for both homologous and heterologous booster indications. It is also focusing on products candidates for respiratory syncytial virus and malaria. Novavax, Inc. was incorporated in 1987 and is headquartered in Gaithersburg, Maryland.",1992,"{'maxAge': 1, 'name': 'Mr. Stanley Charles Erck', 'age': 74, 'title': 'Advisor', 'yearBorn': 1948, 'fiscalYear': 2022, 'totalPay': 1090317, 'exercisedValue': 0, 'unexercisedValue': 487116}",6,4,4,5,4,1693526400,1672444800,86400,2,7.99,7.89,7.67,8.08,7.99,7.89,7.67,8.08,0.0,1.682572,-8.115789,10295418,10295418,8912864,15443140,15443140,7.8,7.8,1800,2200,777969856,5.61,29.94,0.4870369,8.19,9.0182,0.0,0.0,USD,459272256,-0.36733,82038181,100904000,40085657,36954470,1690761600,1693440000,0.3973,0.00597,0.70606005,4.2,0.4947,-8.001,1672444800,1703980800,1688083200,-586758976,-6.89,-0.95,0.07,1:20,1557446400,0.288,-0.793,NMS,EQUITY,NVAX,NVAX,"Novavax, Inc.","Novavax, Inc.",818173800,America/New_York,EDT,-14400000,7.71,38.0,5.0,20.6,15.0,2.7,hold,5,505912000,5.359,-579000000,237328000,0.568,0.706,1597352960,19.149,-0.17806,-156045000,-273240640,-654054976,1.283,-0.084130004,-0.36247003,-0.38417998,USD,
3,21 Firstfield Road,Gaithersburg,MD,20878,United States,240 268 2000,https://www.novavax.com,Biotechnology,Healthcare,"Novavax, Inc., a biotechnology company, that promotes improved health by discovering, developing, and commercializing vaccines to protect against serious infectious diseases. It offers vaccine platform that combines a recombinant protein approach, nanoparticle technology, and its patented Matrix-M adjuvant to enhance the immune response. It focuses on urgent health challenges, which is evaluating vaccines for COVID-19, influenza, and COVID-19 and influenza combined. The company is commercializing a COVID-19 vaccine, NVX-CoV2373 under the brand names of Nuvaxovid, Covovax, and Novavax COVID-19 Vaccine, Adjuvanted for adult and adolescent populations as a primary series and for both homologous and heterologous booster indications. It is also focusing on products candidates for respiratory syncytial virus and malaria. Novavax, Inc. was incorporated in 1987 and is headquartered in Gaithersburg, Maryland.",1992,"{'maxAge': 1, 'name': 'Mr. John Joseph Trizzino B.S., M.B.A.', 'age': 62, 'title': 'Exec. VP, Chief Commercial Officer & Chief Bus. Officer', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 641216, 'exercisedValue': 0, 'unexercisedValue': 213608}",6,4,4,5,4,1693526400,1672444800,86400,2,7.99,7.89,7.67,8.08,7.99,7.89,7.67,8.08,0.0,1.682572,-8.115789,10295418,10295418,8912864,15443140,15443140,7.8,7.8,1800,2200,777969856,5.61,29.94,0.4870369,8.19,9.0182,0.0,0.0,USD,459272256,-0.36733,82038181,100904000,40085657,36954470,1690761600,1693440000,0.3973,0.00597,0.70606005,4.2,0.4947,-8.001,1672444800,1703980800,1688083200,-586758976,-6.89,-0.95,0.07,1:20,1557446400,0.288,-0.793,NMS,EQUITY,NVAX,NVAX,"Novavax, Inc.","Novavax, Inc.",818173800,America/New_York,EDT,-14400000,7.71,38.0,5.0,20.6,15.0,2.7,hold,5,505912000,5.359,-579000000,237328000,0.568,0.706,1597352960,19.149,-0.17806,-156045000,-273240640,-654054976,1.283,-0.084130004,-0.36247003,-0.38417998,USD,
4,21 Firstfield Road,Gaithersburg,MD,20878,United States,240 268 2000,https://www.novavax.com,Biotechnology,Healthcare,"Novavax, Inc., a biotechnology company, that promotes improved health by discovering, developing, and commercializing vaccines to protect against serious infectious diseases. It offers vaccine platform that combines a recombinant protein approach, nanoparticle technology, and its patented Matrix-M adjuvant to enhance the immune response. It focuses on urgent health challenges, which is evaluating vaccines for COVID-19, influenza, and COVID-19 and influenza combined. The company is commercializing a COVID-19 vaccine, NVX-CoV2373 under the brand names of Nuvaxovid, Covovax, and Novavax COVID-19 Vaccine, Adjuvanted for adult and adolescent populations as a primary series and for both homologous and heterologous booster indications. It is also focusing on products candidates for respiratory syncytial virus and malaria. Novavax, Inc. was incorporated in 1987 and is headquartered in Gaithersburg, Maryland.",1992,"{'maxAge': 1, 'name': 'Mr. John Charles Jacobs M.B.A.', 'age': 55, 'title': 'Pres, CEO & Director', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,4,5,4,1693526400,1672444800,86400,2,7.99,7.89,7.67,8.08,7.99,7.89,7.67,8.08,0.0,1.682572,-8.115789,10295418,10295418,8912864,15443140,15443140,7.8,7.8,1800,2200,777969856,5.61,29.94,0.4870369,8.19,9.0182,0.0,0.0,USD,459272256,-0.36733,82038181,100904000,40085657,36954470,1690761600,1693440000,0.3973,0.00597,0.70606005,4.2,0.4947,-8.001,1672444800,1703980800,1688083200,-586758976,-6.89,-0.95,0.07,1:20,1557446400,0.288,-0.793,NMS,EQUITY,NVAX,NVAX,"Novavax, Inc.","Novavax, Inc.",818173800,America/New_York,EDT,-14400000,7.71,38.0,5.0,20.6,15.0,2.7,hold,5,505912000,5.359,-579000000,237328000,0.568,0.706,1597352960,19.149,-0.17806,-156045000,-273240640,-654054976,1.283,-0.084130004,-0.36247003,-0.38417998,USD,
5,21 Firstfield Road,Gaithersburg,MD,20878,United States,240 268 2000,https://www.novavax.com,Biotechnology,Healthcare,"Novavax, Inc., a biotechnology company, that promotes improved health by discovering, developing, and commercializing vaccines to protect against serious infectious diseases. It offers vaccine platform that combines a recombinant protein approach, nanoparticle technology, and its patented Matrix-M adjuvant to enhance the immune response. It focuses on urgent health challenges, which is evaluating vaccines for COVID-19, influenza, and COVID-19 and influenza combined. The company is commercializing a COVID-19 vaccine, NVX-CoV2373 under the brand names of Nuvaxovid, Covovax, and Novavax COVID-19 Vaccine, Adjuvanted for adult and adolescent populations as a primary series and for both homologous and heterologous booster indications. It is also focusing on products candidates for respiratory syncytial virus and malaria. Novavax, Inc. was incorporated in 1987 and is headquartered in Gaithersburg, Maryland.",1992,"{'maxAge': 1, 'name': 'Mr. Richard P. Crowley', 'age': 65, 'title': 'Exec. VP & COO', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,4,5,4,1693526400,1672444800,86400,2,7.99,7.89,7.67,8.08,7.99,7.89,7.67,8.08,0.0,1.682572,-8.115789,10295418,10295418,8912864,15443140,15443140,7.8,7.8,1800,2200,777969856,5.61,29.94,0.4870369,8.19,9.0182,0.0,0.0,USD,459272256,-0.36733,82038181,100904000,40085657,36954470,1690761600,1693440000,0.3973,0.00597,0.70606005,4.2,0.4947,-8.001,1672444800,1703980800,1688083200,-586758976,-6.89,-0.95,0.07,1:20,1557446400,0.288,-0.793,NMS,EQUITY,NVAX,NVAX,"Novavax, Inc.","Novavax, Inc.",818173800,America/New_York,EDT,-14400000,7.71,38.0,5.0,20.6,15.0,2.7,hold,5,505912000,5.359,-579000000,237328000,0.568,0.706,1597352960,19.149,-0.17806,-156045000,-273240640,-654054976,1.283,-0.084130004,-0.36247003,-0.38417998,USD,
6,21 Firstfield Road,Gaithersburg,MD,20878,United States,240 268 2000,https://www.novavax.com,Biotechnology,Healthcare,"Novavax, Inc., a biotechnology company, that promotes improved health by discovering, developing, and commercializing vaccines to protect against serious infectious diseases. It offers vaccine platform that combines a recombinant protein approach, nanoparticle technology, and its patented Matrix-M adjuvant to enhance the immune response. It focuses on urgent health challenges, which is evaluating vaccines for COVID-19, influenza, and COVID-19 and influenza combined. The company is commercializing a COVID-19 vaccine, NVX-CoV2373 under the brand names of Nuvaxovid, Covovax, and Novavax COVID-19 Vaccine, Adjuvanted for adult and adolescent populations as a primary series and for both homologous and heterologous booster indications. It is also focusing on products candidates for respiratory syncytial virus and malaria. Novavax, Inc. was incorporated in 1987 and is headquartered in Gaithersburg, Maryland.",1992,"{'maxAge': 1, 'name': 'Mr. Troy  Morgan Esq., J.D.', 'age': 51, 'title': 'Sr. VP & Chief Compliance Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,4,5,4,1693526400,1672444800,86400,2,7.99,7.89,7.67,8.08,7.99,7.89,7.67,8.08,0.0,1.682572,-8.115789,10295418,10295418,8912864,15443140,15443140,7.8,7.8,1800,2200,777969856,5.61,29.94,0.4870369,8.19,9.0182,0.0,0.0,USD,459272256,-0.36733,82038181,100904000,40085657,36954470,1690761600,1693440000,0.3973,0.00597,0.70606005,4.2,0.4947,-8.001,1672444800,1703980800,1688083200,-586758976,-6.89,-0.95,0.07,1:20,1557446400,0.288,-0.793,NMS,EQUITY,NVAX,NVAX,"Novavax, Inc.","Novavax, Inc.",818173800,America/New_York,EDT,-14400000,7.71,38.0,5.0,20.6,15.0,2.7,hold,5,505912000,5.359,-579000000,237328000,0.568,0.706,1597352960,19.149,-0.17806,-156045000,-273240640,-654054976,1.283,-0.084130004,-0.36247003,-0.38417998,USD,
7,21 Firstfield Road,Gaithersburg,MD,20878,United States,240 268 2000,https://www.novavax.com,Biotechnology,Healthcare,"Novavax, Inc., a biotechnology company, that promotes improved health by discovering, developing, and commercializing vaccines to protect against serious infectious diseases. It offers vaccine platform that combines a recombinant protein approach, nanoparticle technology, and its patented Matrix-M adjuvant to enhance the immune response. It focuses on urgent health challenges, which is evaluating vaccines for COVID-19, influenza, and COVID-19 and influenza combined. The company is commercializing a COVID-19 vaccine, NVX-CoV2373 under the brand names of Nuvaxovid, Covovax, and Novavax COVID-19 Vaccine, Adjuvanted for adult and adolescent populations as a primary series and for both homologous and heterologous booster indications. It is also focusing on products candidates for respiratory syncytial virus and malaria. Novavax, Inc. was incorporated in 1987 and is headquartered in Gaithersburg, Maryland.",1992,"{'maxAge': 1, 'name': 'Ms. Erika S. Trahan', 'title': 'Associate Director of Investor & PR', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,4,5,4,1693526400,1672444800,86400,2,7.99,7.89,7.67,8.08,7.99,7.89,7.67,8.08,0.0,1.682572,-8.115789,10295418,10295418,8912864,15443140,15443140,7.8,7.8,1800,2200,777969856,5.61,29.94,0.4870369,8.19,9.0182,0.0,0.0,USD,459272256,-0.36733,82038181,100904000,40085657,36954470,1690761600,1693440000,0.3973,0.00597,0.70606005,4.2,0.4947,-8.001,1672444800,1703980800,1688083200,-586758976,-6.89,-0.95,0.07,1:20,1557446400,0.288,-0.793,NMS,EQUITY,NVAX,NVAX,"Novavax, Inc.","Novavax, Inc.",818173800,America/New_York,EDT,-14400000,7.71,38.0,5.0,20.6,15.0,2.7,hold,5,505912000,5.359,-579000000,237328000,0.568,0.706,1597352960,19.149,-0.17806,-156045000,-273240640,-654054976,1.283,-0.084130004,-0.36247003,-0.38417998,USD,
8,21 Firstfield Road,Gaithersburg,MD,20878,United States,240 268 2000,https://www.novavax.com,Biotechnology,Healthcare,"Novavax, Inc., a biotechnology company, that promotes improved health by discovering, developing, and commercializing vaccines to protect against serious infectious diseases. It offers vaccine platform that combines a recombinant protein approach, nanoparticle technology, and its patented Matrix-M adjuvant to enhance the immune response. It focuses on urgent health challenges, which is evaluating vaccines for COVID-19, influenza, and COVID-19 and influenza combined. The company is commercializing a COVID-19 vaccine, NVX-CoV2373 under the brand names of Nuvaxovid, Covovax, and Novavax COVID-19 Vaccine, Adjuvanted for adult and adolescent populations as a primary series and for both homologous and heterologous booster indications. It is also focusing on products candidates for respiratory syncytial virus and malaria. Novavax, Inc. was incorporated in 1987 and is headquartered in Gaithersburg, Maryland.",1992,"{'maxAge': 1, 'name': 'Mr. Ian J. Watkins', 'age': 59, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,4,5,4,1693526400,1672444800,86400,2,7.99,7.89,7.67,8.08,7.99,7.89,7.67,8.08,0.0,1.682572,-8.115789,10295418,10295418,8912864,15443140,15443140,7.8,7.8,1800,2200,777969856,5.61,29.94,0.4870369,8.19,9.0182,0.0,0.0,USD,459272256,-0.36733,82038181,100904000,40085657,36954470,1690761600,1693440000,0.3973,0.00597,0.70606005,4.2,0.4947,-8.001,1672444800,1703980800,1688083200,-586758976,-6.89,-0.95,0.07,1:20,1557446400,0.288,-0.793,NMS,EQUITY,NVAX,NVAX,"Novavax, Inc.","Novavax, Inc.",818173800,America/New_York,EDT,-14400000,7.71,38.0,5.0,20.6,15.0,2.7,hold,5,505912000,5.359,-579000000,237328000,0.568,0.706,1597352960,19.149,-0.17806,-156045000,-273240640,-654054976,1.283,-0.084130004,-0.36247003,-0.38417998,USD,
9,21 Firstfield Road,Gaithersburg,MD,20878,United States,240 268 2000,https://www.novavax.com,Biotechnology,Healthcare,"Novavax, Inc., a biotechnology company, that promotes improved health by discovering, developing, and commercializing vaccines to protect against serious infectious diseases. It offers vaccine platform that combines a recombinant protein approach, nanoparticle technology, and its patented Matrix-M adjuvant to enhance the immune response. It focuses on urgent health challenges, which is evaluating vaccines for COVID-19, influenza, and COVID-19 and influenza combined. The company is commercializing a COVID-19 vaccine, NVX-CoV2373 under the brand names of Nuvaxovid, Covovax, and Novavax COVID-19 Vaccine, Adjuvanted for adult and adolescent populations as a primary series and for both homologous and heterologous booster indications. It is also focusing on products candidates for respiratory syncytial virus and malaria. Novavax, Inc. was incorporated in 1987 and is headquartered in Gaithersburg, Maryland.",1992,"{'maxAge': 1, 'name': 'Ms. Silvia  Taylor M.B.A., MBA', 'title': 'Exec. VP and Chief Corp. Affairs & Advocacy Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,4,5,4,1693526400,1672444800,86400,2,7.99,7.89,7.67,8.08,7.99,7.89,7.67,8.08,0.0,1.682572,-8.115789,10295418,10295418,8912864,15443140,15443140,7.8,7.8,1800,2200,777969856,5.61,29.94,0.4870369,8.19,9.0182,0.0,0.0,USD,459272256,-0.36733,82038181,100904000,40085657,36954470,1690761600,1693440000,0.3973,0.00597,0.70606005,4.2,0.4947,-8.001,1672444800,1703980800,1688083200,-586758976,-6.89,-0.95,0.07,1:20,1557446400,0.288,-0.793,NMS,EQUITY,NVAX,NVAX,"Novavax, Inc.","Novavax, Inc.",818173800,America/New_York,EDT,-14400000,7.71,38.0,5.0,20.6,15.0,2.7,hold,5,505912000,5.359,-579000000,237328000,0.568,0.706,1597352960,19.149,-0.17806,-156045000,-273240640,-654054976,1.283,-0.084130004,-0.36247003,-0.38417998,USD,
