,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,23975 Park Sorrento,Suite 400,Calabasas,CA,91302,United States,818 212 2250,https://www.marcusmillichap.com,Real Estate Services,Real Estate,"Marcus & Millichap, Inc., an investment brokerage company, provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, industrial, single-tenant net lease, seniors housing, self-storage, hospitality, medical office, and manufactured housing, as well as capital markets. It also operates as a financial intermediary that provides commercial real estate capital markets solutions, including senior debt, mezzanine debt, joint venture, and preferred equity, as well as loan sales and consultative/due diligence services to commercial real estate owners, developers, investors, and capital providers. In addition, the company provides various ancillary services, which includes opinions of value, operating and financial performance benchmarking analysis, specific asset buy-sell strategies, market and submarket analysis and ranking, portfolio strategies by property type, market strategy, development and redevelopment feasibility studies, and other services for developers, lenders, owners, real estate investment trusts, high-net-worth individuals, pension fund advisors, and other institutions. Marcus & Millichap, Inc. was founded in 1971 and is headquartered in Calabasas, California.",887,"{'maxAge': 1, 'name': 'Mr. George M. Marcus', 'age': 81, 'title': 'Founder & Chairman', 'yearBorn': 1941, 'fiscalYear': 2022, 'totalPay': 65000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,4,8,5,1693526400,1672444800,86400,2,31.64,31.42,31.14,31.69,31.64,31.42,31.14,31.69,0.5,0.015800001,1694649600,1.3514,1.087828,85.324326,19.855345,401361,401361,166550,136190,136190,30.88,33.04,1200,900,1214201088,27.49,39.45,1.3432215,34.2204,33.42905,0.5,0.015802782,USD,976940672,0.01627,23929582,38460600,1140843,1137907,1690761600,1693440000,0.0297,0.03184,0.99654,7.83,0.081599995,17.268,1.8282372,1672444800,1703980800,1688083200,14712000,0.37,1.59,-22.93,1.081,41.832,NYQ,EQUITY,MMI,MMI,"Marcus & Millichap, Inc.","Marcus & Millichap, Inc.",1383226200,America/New_York,EDT,-14400000,31.57,20.0,20.0,20.0,20.0,4.0,underperform,1,336076000,8.741,23354000,96545000,4.095,4.286,903947008,14.542,22.991,0.0070999996,0.021300001,450816000,249375,-29306000,-0.589,0.34214002,0.025829999,0.01163,USD,
1,23975 Park Sorrento,Suite 400,Calabasas,CA,91302,United States,818 212 2250,https://www.marcusmillichap.com,Real Estate Services,Real Estate,"Marcus & Millichap, Inc., an investment brokerage company, provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, industrial, single-tenant net lease, seniors housing, self-storage, hospitality, medical office, and manufactured housing, as well as capital markets. It also operates as a financial intermediary that provides commercial real estate capital markets solutions, including senior debt, mezzanine debt, joint venture, and preferred equity, as well as loan sales and consultative/due diligence services to commercial real estate owners, developers, investors, and capital providers. In addition, the company provides various ancillary services, which includes opinions of value, operating and financial performance benchmarking analysis, specific asset buy-sell strategies, market and submarket analysis and ranking, portfolio strategies by property type, market strategy, development and redevelopment feasibility studies, and other services for developers, lenders, owners, real estate investment trusts, high-net-worth individuals, pension fund advisors, and other institutions. Marcus & Millichap, Inc. was founded in 1971 and is headquartered in Calabasas, California.",887,"{'maxAge': 1, 'name': 'Mr. Hessam  Nadji', 'age': 57, 'title': 'Pres, CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 3036750, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,4,8,5,1693526400,1672444800,86400,2,31.64,31.42,31.14,31.69,31.64,31.42,31.14,31.69,0.5,0.015800001,1694649600,1.3514,1.087828,85.324326,19.855345,401361,401361,166550,136190,136190,30.88,33.04,1200,900,1214201088,27.49,39.45,1.3432215,34.2204,33.42905,0.5,0.015802782,USD,976940672,0.01627,23929582,38460600,1140843,1137907,1690761600,1693440000,0.0297,0.03184,0.99654,7.83,0.081599995,17.268,1.8282372,1672444800,1703980800,1688083200,14712000,0.37,1.59,-22.93,1.081,41.832,NYQ,EQUITY,MMI,MMI,"Marcus & Millichap, Inc.","Marcus & Millichap, Inc.",1383226200,America/New_York,EDT,-14400000,31.57,20.0,20.0,20.0,20.0,4.0,underperform,1,336076000,8.741,23354000,96545000,4.095,4.286,903947008,14.542,22.991,0.0070999996,0.021300001,450816000,249375,-29306000,-0.589,0.34214002,0.025829999,0.01163,USD,
2,23975 Park Sorrento,Suite 400,Calabasas,CA,91302,United States,818 212 2250,https://www.marcusmillichap.com,Real Estate Services,Real Estate,"Marcus & Millichap, Inc., an investment brokerage company, provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, industrial, single-tenant net lease, seniors housing, self-storage, hospitality, medical office, and manufactured housing, as well as capital markets. It also operates as a financial intermediary that provides commercial real estate capital markets solutions, including senior debt, mezzanine debt, joint venture, and preferred equity, as well as loan sales and consultative/due diligence services to commercial real estate owners, developers, investors, and capital providers. In addition, the company provides various ancillary services, which includes opinions of value, operating and financial performance benchmarking analysis, specific asset buy-sell strategies, market and submarket analysis and ranking, portfolio strategies by property type, market strategy, development and redevelopment feasibility studies, and other services for developers, lenders, owners, real estate investment trusts, high-net-worth individuals, pension fund advisors, and other institutions. Marcus & Millichap, Inc. was founded in 1971 and is headquartered in Calabasas, California.",887,"{'maxAge': 1, 'name': 'Mr. Steven F. DeGennaro', 'age': 59, 'title': 'Exec. VP & CFO', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1317125, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,4,8,5,1693526400,1672444800,86400,2,31.64,31.42,31.14,31.69,31.64,31.42,31.14,31.69,0.5,0.015800001,1694649600,1.3514,1.087828,85.324326,19.855345,401361,401361,166550,136190,136190,30.88,33.04,1200,900,1214201088,27.49,39.45,1.3432215,34.2204,33.42905,0.5,0.015802782,USD,976940672,0.01627,23929582,38460600,1140843,1137907,1690761600,1693440000,0.0297,0.03184,0.99654,7.83,0.081599995,17.268,1.8282372,1672444800,1703980800,1688083200,14712000,0.37,1.59,-22.93,1.081,41.832,NYQ,EQUITY,MMI,MMI,"Marcus & Millichap, Inc.","Marcus & Millichap, Inc.",1383226200,America/New_York,EDT,-14400000,31.57,20.0,20.0,20.0,20.0,4.0,underperform,1,336076000,8.741,23354000,96545000,4.095,4.286,903947008,14.542,22.991,0.0070999996,0.021300001,450816000,249375,-29306000,-0.589,0.34214002,0.025829999,0.01163,USD,
3,23975 Park Sorrento,Suite 400,Calabasas,CA,91302,United States,818 212 2250,https://www.marcusmillichap.com,Real Estate Services,Real Estate,"Marcus & Millichap, Inc., an investment brokerage company, provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, industrial, single-tenant net lease, seniors housing, self-storage, hospitality, medical office, and manufactured housing, as well as capital markets. It also operates as a financial intermediary that provides commercial real estate capital markets solutions, including senior debt, mezzanine debt, joint venture, and preferred equity, as well as loan sales and consultative/due diligence services to commercial real estate owners, developers, investors, and capital providers. In addition, the company provides various ancillary services, which includes opinions of value, operating and financial performance benchmarking analysis, specific asset buy-sell strategies, market and submarket analysis and ranking, portfolio strategies by property type, market strategy, development and redevelopment feasibility studies, and other services for developers, lenders, owners, real estate investment trusts, high-net-worth individuals, pension fund advisors, and other institutions. Marcus & Millichap, Inc. was founded in 1971 and is headquartered in Calabasas, California.",887,"{'maxAge': 1, 'name': 'Mr. Gregory A. LaBerge', 'age': 51, 'title': 'Sr. VP & Chief Admin. Officer', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 828125, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,4,8,5,1693526400,1672444800,86400,2,31.64,31.42,31.14,31.69,31.64,31.42,31.14,31.69,0.5,0.015800001,1694649600,1.3514,1.087828,85.324326,19.855345,401361,401361,166550,136190,136190,30.88,33.04,1200,900,1214201088,27.49,39.45,1.3432215,34.2204,33.42905,0.5,0.015802782,USD,976940672,0.01627,23929582,38460600,1140843,1137907,1690761600,1693440000,0.0297,0.03184,0.99654,7.83,0.081599995,17.268,1.8282372,1672444800,1703980800,1688083200,14712000,0.37,1.59,-22.93,1.081,41.832,NYQ,EQUITY,MMI,MMI,"Marcus & Millichap, Inc.","Marcus & Millichap, Inc.",1383226200,America/New_York,EDT,-14400000,31.57,20.0,20.0,20.0,20.0,4.0,underperform,1,336076000,8.741,23354000,96545000,4.095,4.286,903947008,14.542,22.991,0.0070999996,0.021300001,450816000,249375,-29306000,-0.589,0.34214002,0.025829999,0.01163,USD,
4,23975 Park Sorrento,Suite 400,Calabasas,CA,91302,United States,818 212 2250,https://www.marcusmillichap.com,Real Estate Services,Real Estate,"Marcus & Millichap, Inc., an investment brokerage company, provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, industrial, single-tenant net lease, seniors housing, self-storage, hospitality, medical office, and manufactured housing, as well as capital markets. It also operates as a financial intermediary that provides commercial real estate capital markets solutions, including senior debt, mezzanine debt, joint venture, and preferred equity, as well as loan sales and consultative/due diligence services to commercial real estate owners, developers, investors, and capital providers. In addition, the company provides various ancillary services, which includes opinions of value, operating and financial performance benchmarking analysis, specific asset buy-sell strategies, market and submarket analysis and ranking, portfolio strategies by property type, market strategy, development and redevelopment feasibility studies, and other services for developers, lenders, owners, real estate investment trusts, high-net-worth individuals, pension fund advisors, and other institutions. Marcus & Millichap, Inc. was founded in 1971 and is headquartered in Calabasas, California.",887,"{'maxAge': 1, 'name': 'Mr. Richard D. Matricaria', 'age': 43, 'title': 'Exec. VP & COO of Western Division', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 1859478, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,4,8,5,1693526400,1672444800,86400,2,31.64,31.42,31.14,31.69,31.64,31.42,31.14,31.69,0.5,0.015800001,1694649600,1.3514,1.087828,85.324326,19.855345,401361,401361,166550,136190,136190,30.88,33.04,1200,900,1214201088,27.49,39.45,1.3432215,34.2204,33.42905,0.5,0.015802782,USD,976940672,0.01627,23929582,38460600,1140843,1137907,1690761600,1693440000,0.0297,0.03184,0.99654,7.83,0.081599995,17.268,1.8282372,1672444800,1703980800,1688083200,14712000,0.37,1.59,-22.93,1.081,41.832,NYQ,EQUITY,MMI,MMI,"Marcus & Millichap, Inc.","Marcus & Millichap, Inc.",1383226200,America/New_York,EDT,-14400000,31.57,20.0,20.0,20.0,20.0,4.0,underperform,1,336076000,8.741,23354000,96545000,4.095,4.286,903947008,14.542,22.991,0.0070999996,0.021300001,450816000,249375,-29306000,-0.589,0.34214002,0.025829999,0.01163,USD,
5,23975 Park Sorrento,Suite 400,Calabasas,CA,91302,United States,818 212 2250,https://www.marcusmillichap.com,Real Estate Services,Real Estate,"Marcus & Millichap, Inc., an investment brokerage company, provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, industrial, single-tenant net lease, seniors housing, self-storage, hospitality, medical office, and manufactured housing, as well as capital markets. It also operates as a financial intermediary that provides commercial real estate capital markets solutions, including senior debt, mezzanine debt, joint venture, and preferred equity, as well as loan sales and consultative/due diligence services to commercial real estate owners, developers, investors, and capital providers. In addition, the company provides various ancillary services, which includes opinions of value, operating and financial performance benchmarking analysis, specific asset buy-sell strategies, market and submarket analysis and ranking, portfolio strategies by property type, market strategy, development and redevelopment feasibility studies, and other services for developers, lenders, owners, real estate investment trusts, high-net-worth individuals, pension fund advisors, and other institutions. Marcus & Millichap, Inc. was founded in 1971 and is headquartered in Calabasas, California.",887,"{'maxAge': 1, 'name': 'Mr. John David Parker', 'age': 41, 'title': 'Exec. VP & COO of Eastern Division', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 1871312, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,4,8,5,1693526400,1672444800,86400,2,31.64,31.42,31.14,31.69,31.64,31.42,31.14,31.69,0.5,0.015800001,1694649600,1.3514,1.087828,85.324326,19.855345,401361,401361,166550,136190,136190,30.88,33.04,1200,900,1214201088,27.49,39.45,1.3432215,34.2204,33.42905,0.5,0.015802782,USD,976940672,0.01627,23929582,38460600,1140843,1137907,1690761600,1693440000,0.0297,0.03184,0.99654,7.83,0.081599995,17.268,1.8282372,1672444800,1703980800,1688083200,14712000,0.37,1.59,-22.93,1.081,41.832,NYQ,EQUITY,MMI,MMI,"Marcus & Millichap, Inc.","Marcus & Millichap, Inc.",1383226200,America/New_York,EDT,-14400000,31.57,20.0,20.0,20.0,20.0,4.0,underperform,1,336076000,8.741,23354000,96545000,4.095,4.286,903947008,14.542,22.991,0.0070999996,0.021300001,450816000,249375,-29306000,-0.589,0.34214002,0.025829999,0.01163,USD,
6,23975 Park Sorrento,Suite 400,Calabasas,CA,91302,United States,818 212 2250,https://www.marcusmillichap.com,Real Estate Services,Real Estate,"Marcus & Millichap, Inc., an investment brokerage company, provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, industrial, single-tenant net lease, seniors housing, self-storage, hospitality, medical office, and manufactured housing, as well as capital markets. It also operates as a financial intermediary that provides commercial real estate capital markets solutions, including senior debt, mezzanine debt, joint venture, and preferred equity, as well as loan sales and consultative/due diligence services to commercial real estate owners, developers, investors, and capital providers. In addition, the company provides various ancillary services, which includes opinions of value, operating and financial performance benchmarking analysis, specific asset buy-sell strategies, market and submarket analysis and ranking, portfolio strategies by property type, market strategy, development and redevelopment feasibility studies, and other services for developers, lenders, owners, real estate investment trusts, high-net-worth individuals, pension fund advisors, and other institutions. Marcus & Millichap, Inc. was founded in 1971 and is headquartered in Calabasas, California.",887,"{'maxAge': 1, 'name': 'Mr. Kurt Henry Schwarz', 'age': 63, 'title': 'First VP of Fin. & Chief Accounting Officer', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,4,8,5,1693526400,1672444800,86400,2,31.64,31.42,31.14,31.69,31.64,31.42,31.14,31.69,0.5,0.015800001,1694649600,1.3514,1.087828,85.324326,19.855345,401361,401361,166550,136190,136190,30.88,33.04,1200,900,1214201088,27.49,39.45,1.3432215,34.2204,33.42905,0.5,0.015802782,USD,976940672,0.01627,23929582,38460600,1140843,1137907,1690761600,1693440000,0.0297,0.03184,0.99654,7.83,0.081599995,17.268,1.8282372,1672444800,1703980800,1688083200,14712000,0.37,1.59,-22.93,1.081,41.832,NYQ,EQUITY,MMI,MMI,"Marcus & Millichap, Inc.","Marcus & Millichap, Inc.",1383226200,America/New_York,EDT,-14400000,31.57,20.0,20.0,20.0,20.0,4.0,underperform,1,336076000,8.741,23354000,96545000,4.095,4.286,903947008,14.542,22.991,0.0070999996,0.021300001,450816000,249375,-29306000,-0.589,0.34214002,0.025829999,0.01163,USD,
7,23975 Park Sorrento,Suite 400,Calabasas,CA,91302,United States,818 212 2250,https://www.marcusmillichap.com,Real Estate Services,Real Estate,"Marcus & Millichap, Inc., an investment brokerage company, provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, industrial, single-tenant net lease, seniors housing, self-storage, hospitality, medical office, and manufactured housing, as well as capital markets. It also operates as a financial intermediary that provides commercial real estate capital markets solutions, including senior debt, mezzanine debt, joint venture, and preferred equity, as well as loan sales and consultative/due diligence services to commercial real estate owners, developers, investors, and capital providers. In addition, the company provides various ancillary services, which includes opinions of value, operating and financial performance benchmarking analysis, specific asset buy-sell strategies, market and submarket analysis and ranking, portfolio strategies by property type, market strategy, development and redevelopment feasibility studies, and other services for developers, lenders, owners, real estate investment trusts, high-net-worth individuals, pension fund advisors, and other institutions. Marcus & Millichap, Inc. was founded in 1971 and is headquartered in Calabasas, California.",887,"{'maxAge': 1, 'name': 'Mr. Ken  Sayward', 'title': 'Sr. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,4,8,5,1693526400,1672444800,86400,2,31.64,31.42,31.14,31.69,31.64,31.42,31.14,31.69,0.5,0.015800001,1694649600,1.3514,1.087828,85.324326,19.855345,401361,401361,166550,136190,136190,30.88,33.04,1200,900,1214201088,27.49,39.45,1.3432215,34.2204,33.42905,0.5,0.015802782,USD,976940672,0.01627,23929582,38460600,1140843,1137907,1690761600,1693440000,0.0297,0.03184,0.99654,7.83,0.081599995,17.268,1.8282372,1672444800,1703980800,1688083200,14712000,0.37,1.59,-22.93,1.081,41.832,NYQ,EQUITY,MMI,MMI,"Marcus & Millichap, Inc.","Marcus & Millichap, Inc.",1383226200,America/New_York,EDT,-14400000,31.57,20.0,20.0,20.0,20.0,4.0,underperform,1,336076000,8.741,23354000,96545000,4.095,4.286,903947008,14.542,22.991,0.0070999996,0.021300001,450816000,249375,-29306000,-0.589,0.34214002,0.025829999,0.01163,USD,
8,23975 Park Sorrento,Suite 400,Calabasas,CA,91302,United States,818 212 2250,https://www.marcusmillichap.com,Real Estate Services,Real Estate,"Marcus & Millichap, Inc., an investment brokerage company, provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, industrial, single-tenant net lease, seniors housing, self-storage, hospitality, medical office, and manufactured housing, as well as capital markets. It also operates as a financial intermediary that provides commercial real estate capital markets solutions, including senior debt, mezzanine debt, joint venture, and preferred equity, as well as loan sales and consultative/due diligence services to commercial real estate owners, developers, investors, and capital providers. In addition, the company provides various ancillary services, which includes opinions of value, operating and financial performance benchmarking analysis, specific asset buy-sell strategies, market and submarket analysis and ranking, portfolio strategies by property type, market strategy, development and redevelopment feasibility studies, and other services for developers, lenders, owners, real estate investment trusts, high-net-worth individuals, pension fund advisors, and other institutions. Marcus & Millichap, Inc. was founded in 1971 and is headquartered in Calabasas, California.",887,"{'maxAge': 1, 'name': 'Mr. Mark  Cortell', 'title': 'Sr. VP & Chief Legal Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,4,8,5,1693526400,1672444800,86400,2,31.64,31.42,31.14,31.69,31.64,31.42,31.14,31.69,0.5,0.015800001,1694649600,1.3514,1.087828,85.324326,19.855345,401361,401361,166550,136190,136190,30.88,33.04,1200,900,1214201088,27.49,39.45,1.3432215,34.2204,33.42905,0.5,0.015802782,USD,976940672,0.01627,23929582,38460600,1140843,1137907,1690761600,1693440000,0.0297,0.03184,0.99654,7.83,0.081599995,17.268,1.8282372,1672444800,1703980800,1688083200,14712000,0.37,1.59,-22.93,1.081,41.832,NYQ,EQUITY,MMI,MMI,"Marcus & Millichap, Inc.","Marcus & Millichap, Inc.",1383226200,America/New_York,EDT,-14400000,31.57,20.0,20.0,20.0,20.0,4.0,underperform,1,336076000,8.741,23354000,96545000,4.095,4.286,903947008,14.542,22.991,0.0070999996,0.021300001,450816000,249375,-29306000,-0.589,0.34214002,0.025829999,0.01163,USD,
9,23975 Park Sorrento,Suite 400,Calabasas,CA,91302,United States,818 212 2250,https://www.marcusmillichap.com,Real Estate Services,Real Estate,"Marcus & Millichap, Inc., an investment brokerage company, provides real estate investment brokerage and financing services to sellers and buyers of commercial real estate in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, industrial, single-tenant net lease, seniors housing, self-storage, hospitality, medical office, and manufactured housing, as well as capital markets. It also operates as a financial intermediary that provides commercial real estate capital markets solutions, including senior debt, mezzanine debt, joint venture, and preferred equity, as well as loan sales and consultative/due diligence services to commercial real estate owners, developers, investors, and capital providers. In addition, the company provides various ancillary services, which includes opinions of value, operating and financial performance benchmarking analysis, specific asset buy-sell strategies, market and submarket analysis and ranking, portfolio strategies by property type, market strategy, development and redevelopment feasibility studies, and other services for developers, lenders, owners, real estate investment trusts, high-net-worth individuals, pension fund advisors, and other institutions. Marcus & Millichap, Inc. was founded in 1971 and is headquartered in Calabasas, California.",887,"{'maxAge': 1, 'name': 'Mr. Andrew  Strockis', 'title': 'Sr. VP & Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,4,8,5,1693526400,1672444800,86400,2,31.64,31.42,31.14,31.69,31.64,31.42,31.14,31.69,0.5,0.015800001,1694649600,1.3514,1.087828,85.324326,19.855345,401361,401361,166550,136190,136190,30.88,33.04,1200,900,1214201088,27.49,39.45,1.3432215,34.2204,33.42905,0.5,0.015802782,USD,976940672,0.01627,23929582,38460600,1140843,1137907,1690761600,1693440000,0.0297,0.03184,0.99654,7.83,0.081599995,17.268,1.8282372,1672444800,1703980800,1688083200,14712000,0.37,1.59,-22.93,1.081,41.832,NYQ,EQUITY,MMI,MMI,"Marcus & Millichap, Inc.","Marcus & Millichap, Inc.",1383226200,America/New_York,EDT,-14400000,31.57,20.0,20.0,20.0,20.0,4.0,underperform,1,336076000,8.741,23354000,96545000,4.095,4.286,903947008,14.542,22.991,0.0070999996,0.021300001,450816000,249375,-29306000,-0.589,0.34214002,0.025829999,0.01163,USD,
