,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,615 861 6000,615 261 9685,https://www.acadiahealthcare.com,Medical Care Facilities,Medical Care Facilities,Healthcare,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee.",17000,"{'maxAge': 1, 'name': 'Mr. Christopher Howal Hunter', 'age': 54, 'title': 'CEO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 2310202, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,4,5,6,1693526400,1672444800,86400,2,71.35,71.56,69.05,71.2,71.35,71.56,69.05,71.2,0.0,1.326417,24.252592,18.59151,1460779,1460779,567888,519920,519920,70.6,73.25,900,800,6460321280,66.87,89.85,2.3258386,75.4778,76.2762,0.0,0.0,USD,7973277696,0.097399995,89520898,92171800,2916477,3043918,1690761600,1693440000,0.031600002,0.02772,1.02497,8.43,0.0325,92171800,32.054,2.1866224,1672444800,1703980800,1688083200,-0.097,270536992,2.89,3.77,1.73,1:4,1320105600,2.871,13.367,-0.16895896,0.14113986,NMS,EQUITY,ACHC,ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",762791400,America/New_York,EDT,5085729c-6713-3ae3-b51c-f1e9ecb5ab59,finmb_26259736,-14400000,70.09,105.0,68.0,90.75,92.5,2.1,buy,12,112173000,1.217,596467968,1534548992,1.205,1.338,2777630976,50.955,30.767,0.05895,0.096099995,1116765000,-7575625,362758016,-0.102,0.122,0.42406,0.21474001,0.17035,USD,
1,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,615 861 6000,615 261 9685,https://www.acadiahealthcare.com,Medical Care Facilities,Medical Care Facilities,Healthcare,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee.",17000,"{'maxAge': 1, 'name': 'Mr. John S. Hollinsworth', 'age': 58, 'title': 'Exec. VP of Operations', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1320657, 'exercisedValue': 0, 'unexercisedValue': 202763}",7,8,4,5,6,1693526400,1672444800,86400,2,71.35,71.56,69.05,71.2,71.35,71.56,69.05,71.2,0.0,1.326417,24.252592,18.59151,1460779,1460779,567888,519920,519920,70.6,73.25,900,800,6460321280,66.87,89.85,2.3258386,75.4778,76.2762,0.0,0.0,USD,7973277696,0.097399995,89520898,92171800,2916477,3043918,1690761600,1693440000,0.031600002,0.02772,1.02497,8.43,0.0325,92171800,32.054,2.1866224,1672444800,1703980800,1688083200,-0.097,270536992,2.89,3.77,1.73,1:4,1320105600,2.871,13.367,-0.16895896,0.14113986,NMS,EQUITY,ACHC,ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",762791400,America/New_York,EDT,5085729c-6713-3ae3-b51c-f1e9ecb5ab59,finmb_26259736,-14400000,70.09,105.0,68.0,90.75,92.5,2.1,buy,12,112173000,1.217,596467968,1534548992,1.205,1.338,2777630976,50.955,30.767,0.05895,0.096099995,1116765000,-7575625,362758016,-0.102,0.122,0.42406,0.21474001,0.17035,USD,
2,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,615 861 6000,615 261 9685,https://www.acadiahealthcare.com,Medical Care Facilities,Medical Care Facilities,Healthcare,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee.",17000,"{'maxAge': 1, 'name': 'Ms. Heather  Dixon CPA', 'age': 50, 'title': 'Chief Financial Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,4,5,6,1693526400,1672444800,86400,2,71.35,71.56,69.05,71.2,71.35,71.56,69.05,71.2,0.0,1.326417,24.252592,18.59151,1460779,1460779,567888,519920,519920,70.6,73.25,900,800,6460321280,66.87,89.85,2.3258386,75.4778,76.2762,0.0,0.0,USD,7973277696,0.097399995,89520898,92171800,2916477,3043918,1690761600,1693440000,0.031600002,0.02772,1.02497,8.43,0.0325,92171800,32.054,2.1866224,1672444800,1703980800,1688083200,-0.097,270536992,2.89,3.77,1.73,1:4,1320105600,2.871,13.367,-0.16895896,0.14113986,NMS,EQUITY,ACHC,ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",762791400,America/New_York,EDT,5085729c-6713-3ae3-b51c-f1e9ecb5ab59,finmb_26259736,-14400000,70.09,105.0,68.0,90.75,92.5,2.1,buy,12,112173000,1.217,596467968,1534548992,1.205,1.338,2777630976,50.955,30.767,0.05895,0.096099995,1116765000,-7575625,362758016,-0.102,0.122,0.42406,0.21474001,0.17035,USD,
3,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,615 861 6000,615 261 9685,https://www.acadiahealthcare.com,Medical Care Facilities,Medical Care Facilities,Healthcare,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee.",17000,"{'maxAge': 1, 'name': 'Ms. Laura  Groschen', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,4,5,6,1693526400,1672444800,86400,2,71.35,71.56,69.05,71.2,71.35,71.56,69.05,71.2,0.0,1.326417,24.252592,18.59151,1460779,1460779,567888,519920,519920,70.6,73.25,900,800,6460321280,66.87,89.85,2.3258386,75.4778,76.2762,0.0,0.0,USD,7973277696,0.097399995,89520898,92171800,2916477,3043918,1690761600,1693440000,0.031600002,0.02772,1.02497,8.43,0.0325,92171800,32.054,2.1866224,1672444800,1703980800,1688083200,-0.097,270536992,2.89,3.77,1.73,1:4,1320105600,2.871,13.367,-0.16895896,0.14113986,NMS,EQUITY,ACHC,ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",762791400,America/New_York,EDT,5085729c-6713-3ae3-b51c-f1e9ecb5ab59,finmb_26259736,-14400000,70.09,105.0,68.0,90.75,92.5,2.1,buy,12,112173000,1.217,596467968,1534548992,1.205,1.338,2777630976,50.955,30.767,0.05895,0.096099995,1116765000,-7575625,362758016,-0.102,0.122,0.42406,0.21474001,0.17035,USD,
4,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,615 861 6000,615 261 9685,https://www.acadiahealthcare.com,Medical Care Facilities,Medical Care Facilities,Healthcare,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee.",17000,"{'maxAge': 1, 'name': 'Gretchen  Hommrich', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,4,5,6,1693526400,1672444800,86400,2,71.35,71.56,69.05,71.2,71.35,71.56,69.05,71.2,0.0,1.326417,24.252592,18.59151,1460779,1460779,567888,519920,519920,70.6,73.25,900,800,6460321280,66.87,89.85,2.3258386,75.4778,76.2762,0.0,0.0,USD,7973277696,0.097399995,89520898,92171800,2916477,3043918,1690761600,1693440000,0.031600002,0.02772,1.02497,8.43,0.0325,92171800,32.054,2.1866224,1672444800,1703980800,1688083200,-0.097,270536992,2.89,3.77,1.73,1:4,1320105600,2.871,13.367,-0.16895896,0.14113986,NMS,EQUITY,ACHC,ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",762791400,America/New_York,EDT,5085729c-6713-3ae3-b51c-f1e9ecb5ab59,finmb_26259736,-14400000,70.09,105.0,68.0,90.75,92.5,2.1,buy,12,112173000,1.217,596467968,1534548992,1.205,1.338,2777630976,50.955,30.767,0.05895,0.096099995,1116765000,-7575625,362758016,-0.102,0.122,0.42406,0.21474001,0.17035,USD,
5,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,615 861 6000,615 261 9685,https://www.acadiahealthcare.com,Medical Care Facilities,Medical Care Facilities,Healthcare,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee.",17000,"{'maxAge': 1, 'name': 'Mr. Bill  Priest', 'title': 'Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,4,5,6,1693526400,1672444800,86400,2,71.35,71.56,69.05,71.2,71.35,71.56,69.05,71.2,0.0,1.326417,24.252592,18.59151,1460779,1460779,567888,519920,519920,70.6,73.25,900,800,6460321280,66.87,89.85,2.3258386,75.4778,76.2762,0.0,0.0,USD,7973277696,0.097399995,89520898,92171800,2916477,3043918,1690761600,1693440000,0.031600002,0.02772,1.02497,8.43,0.0325,92171800,32.054,2.1866224,1672444800,1703980800,1688083200,-0.097,270536992,2.89,3.77,1.73,1:4,1320105600,2.871,13.367,-0.16895896,0.14113986,NMS,EQUITY,ACHC,ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",762791400,America/New_York,EDT,5085729c-6713-3ae3-b51c-f1e9ecb5ab59,finmb_26259736,-14400000,70.09,105.0,68.0,90.75,92.5,2.1,buy,12,112173000,1.217,596467968,1534548992,1.205,1.338,2777630976,50.955,30.767,0.05895,0.096099995,1116765000,-7575625,362758016,-0.102,0.122,0.42406,0.21474001,0.17035,USD,
6,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,615 861 6000,615 261 9685,https://www.acadiahealthcare.com,Medical Care Facilities,Medical Care Facilities,Healthcare,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee.",17000,"{'maxAge': 1, 'name': 'Mr. Brian P. Farley', 'age': 52, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,4,5,6,1693526400,1672444800,86400,2,71.35,71.56,69.05,71.2,71.35,71.56,69.05,71.2,0.0,1.326417,24.252592,18.59151,1460779,1460779,567888,519920,519920,70.6,73.25,900,800,6460321280,66.87,89.85,2.3258386,75.4778,76.2762,0.0,0.0,USD,7973277696,0.097399995,89520898,92171800,2916477,3043918,1690761600,1693440000,0.031600002,0.02772,1.02497,8.43,0.0325,92171800,32.054,2.1866224,1672444800,1703980800,1688083200,-0.097,270536992,2.89,3.77,1.73,1:4,1320105600,2.871,13.367,-0.16895896,0.14113986,NMS,EQUITY,ACHC,ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",762791400,America/New_York,EDT,5085729c-6713-3ae3-b51c-f1e9ecb5ab59,finmb_26259736,-14400000,70.09,105.0,68.0,90.75,92.5,2.1,buy,12,112173000,1.217,596467968,1534548992,1.205,1.338,2777630976,50.955,30.767,0.05895,0.096099995,1116765000,-7575625,362758016,-0.102,0.122,0.42406,0.21474001,0.17035,USD,
7,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,615 861 6000,615 261 9685,https://www.acadiahealthcare.com,Medical Care Facilities,Medical Care Facilities,Healthcare,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee.",17000,"{'maxAge': 1, 'name': 'Mr. Mark  Palmenter', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,4,5,6,1693526400,1672444800,86400,2,71.35,71.56,69.05,71.2,71.35,71.56,69.05,71.2,0.0,1.326417,24.252592,18.59151,1460779,1460779,567888,519920,519920,70.6,73.25,900,800,6460321280,66.87,89.85,2.3258386,75.4778,76.2762,0.0,0.0,USD,7973277696,0.097399995,89520898,92171800,2916477,3043918,1690761600,1693440000,0.031600002,0.02772,1.02497,8.43,0.0325,92171800,32.054,2.1866224,1672444800,1703980800,1688083200,-0.097,270536992,2.89,3.77,1.73,1:4,1320105600,2.871,13.367,-0.16895896,0.14113986,NMS,EQUITY,ACHC,ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",762791400,America/New_York,EDT,5085729c-6713-3ae3-b51c-f1e9ecb5ab59,finmb_26259736,-14400000,70.09,105.0,68.0,90.75,92.5,2.1,buy,12,112173000,1.217,596467968,1534548992,1.205,1.338,2777630976,50.955,30.767,0.05895,0.096099995,1116765000,-7575625,362758016,-0.102,0.122,0.42406,0.21474001,0.17035,USD,
8,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,615 861 6000,615 261 9685,https://www.acadiahealthcare.com,Medical Care Facilities,Medical Care Facilities,Healthcare,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee.",17000,"{'maxAge': 1, 'name': 'Ms. Judith  Scimone', 'title': 'Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,4,5,6,1693526400,1672444800,86400,2,71.35,71.56,69.05,71.2,71.35,71.56,69.05,71.2,0.0,1.326417,24.252592,18.59151,1460779,1460779,567888,519920,519920,70.6,73.25,900,800,6460321280,66.87,89.85,2.3258386,75.4778,76.2762,0.0,0.0,USD,7973277696,0.097399995,89520898,92171800,2916477,3043918,1690761600,1693440000,0.031600002,0.02772,1.02497,8.43,0.0325,92171800,32.054,2.1866224,1672444800,1703980800,1688083200,-0.097,270536992,2.89,3.77,1.73,1:4,1320105600,2.871,13.367,-0.16895896,0.14113986,NMS,EQUITY,ACHC,ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",762791400,America/New_York,EDT,5085729c-6713-3ae3-b51c-f1e9ecb5ab59,finmb_26259736,-14400000,70.09,105.0,68.0,90.75,92.5,2.1,buy,12,112173000,1.217,596467968,1534548992,1.205,1.338,2777630976,50.955,30.767,0.05895,0.096099995,1116765000,-7575625,362758016,-0.102,0.122,0.42406,0.21474001,0.17035,USD,
9,6100 Tower Circle,Suite 1000,Franklin,TN,37067,United States,615 861 6000,615 261 9685,https://www.acadiahealthcare.com,Medical Care Facilities,Medical Care Facilities,Healthcare,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. It offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers, eating disorder facilities, and outpatient clinics. The company was incorporated in 2005 and is headquartered in Franklin, Tennessee.",17000,"{'maxAge': 1, 'name': 'Ms. Isa  Diaz', 'title': 'Sr. VP of Strategic Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,4,5,6,1693526400,1672444800,86400,2,71.35,71.56,69.05,71.2,71.35,71.56,69.05,71.2,0.0,1.326417,24.252592,18.59151,1460779,1460779,567888,519920,519920,70.6,73.25,900,800,6460321280,66.87,89.85,2.3258386,75.4778,76.2762,0.0,0.0,USD,7973277696,0.097399995,89520898,92171800,2916477,3043918,1690761600,1693440000,0.031600002,0.02772,1.02497,8.43,0.0325,92171800,32.054,2.1866224,1672444800,1703980800,1688083200,-0.097,270536992,2.89,3.77,1.73,1:4,1320105600,2.871,13.367,-0.16895896,0.14113986,NMS,EQUITY,ACHC,ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",762791400,America/New_York,EDT,5085729c-6713-3ae3-b51c-f1e9ecb5ab59,finmb_26259736,-14400000,70.09,105.0,68.0,90.75,92.5,2.1,buy,12,112173000,1.217,596467968,1534548992,1.205,1.338,2777630976,50.955,30.767,0.05895,0.096099995,1116765000,-7575625,362758016,-0.102,0.122,0.42406,0.21474001,0.17035,USD,
