,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4464 Markham Street,Suite 1203,Victoria,BC,V8Z 7X8,Canada,250 708 4272,https://www.auriniapharma.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. The company also offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.",300,"{'maxAge': 1, 'name': 'Mr. Peter S. Greenleaf M.B.A.', 'age': 52, 'title': 'Pres, CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1335386, 'exercisedValue': 0, 'unexercisedValue': 0}",8,5,10,2,7,1693526400,1672444800,86400,2,9.08,9.08,8.83,9.12,9.08,9.08,8.83,9.12,0.0,1.24585,-26.787878,1496252,1496252,2150083,1717750,1717750,8.9,8.89,900,1000,1267850496,4.07,12.43,7.918276,10.0844,9.15405,0.0,0.0,USD,1018665600,-0.45424998,140535370,143422000,13955744,15821115,1690761600,1693440000,0.09729999,0.07027,0.38064,6.34,0.097600006,143422000,2.736,3.2309942,1672444800,1703980800,1688083200,-72733000,-0.48,-0.33,6.362,-12.502,0.15706801,0.14113986,NGM,EQUITY,AUPH,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc.,1409751000,America/New_York,EDT,6af70c53-6225-3411-b004-ce20a00fb8bf,finmb_882669,-14400000,8.84,15.0,12.0,14.0,15.0,2.1,buy,7,350395008,2.443,-81478000,101206000,5.999,6.745,160116992,25.799,1.124,-0.1019,-0.17825001,83378000,-4875750,-39408000,0.472,0.67246,-0.50886,-0.52494997,USD,
1,4464 Markham Street,Suite 1203,Victoria,BC,V8Z 7X8,Canada,250 708 4272,https://www.auriniapharma.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. The company also offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.",300,"{'maxAge': 1, 'name': 'Mr. Joseph M. Miller CPA', 'age': 48, 'title': 'Chief Financial Officer', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 791921, 'exercisedValue': 0, 'unexercisedValue': 0}",8,5,10,2,7,1693526400,1672444800,86400,2,9.08,9.08,8.83,9.12,9.08,9.08,8.83,9.12,0.0,1.24585,-26.787878,1496252,1496252,2150083,1717750,1717750,8.9,8.89,900,1000,1267850496,4.07,12.43,7.918276,10.0844,9.15405,0.0,0.0,USD,1018665600,-0.45424998,140535370,143422000,13955744,15821115,1690761600,1693440000,0.09729999,0.07027,0.38064,6.34,0.097600006,143422000,2.736,3.2309942,1672444800,1703980800,1688083200,-72733000,-0.48,-0.33,6.362,-12.502,0.15706801,0.14113986,NGM,EQUITY,AUPH,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc.,1409751000,America/New_York,EDT,6af70c53-6225-3411-b004-ce20a00fb8bf,finmb_882669,-14400000,8.84,15.0,12.0,14.0,15.0,2.1,buy,7,350395008,2.443,-81478000,101206000,5.999,6.745,160116992,25.799,1.124,-0.1019,-0.17825001,83378000,-4875750,-39408000,0.472,0.67246,-0.50886,-0.52494997,USD,
2,4464 Markham Street,Suite 1203,Victoria,BC,V8Z 7X8,Canada,250 708 4272,https://www.auriniapharma.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. The company also offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.",300,"{'maxAge': 1, 'name': 'Mr. Matthew Maxwell Donley M.B.A.', 'age': 53, 'title': 'Exec. VP of Operations & Strategy', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 811824, 'exercisedValue': 0, 'unexercisedValue': 0}",8,5,10,2,7,1693526400,1672444800,86400,2,9.08,9.08,8.83,9.12,9.08,9.08,8.83,9.12,0.0,1.24585,-26.787878,1496252,1496252,2150083,1717750,1717750,8.9,8.89,900,1000,1267850496,4.07,12.43,7.918276,10.0844,9.15405,0.0,0.0,USD,1018665600,-0.45424998,140535370,143422000,13955744,15821115,1690761600,1693440000,0.09729999,0.07027,0.38064,6.34,0.097600006,143422000,2.736,3.2309942,1672444800,1703980800,1688083200,-72733000,-0.48,-0.33,6.362,-12.502,0.15706801,0.14113986,NGM,EQUITY,AUPH,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc.,1409751000,America/New_York,EDT,6af70c53-6225-3411-b004-ce20a00fb8bf,finmb_882669,-14400000,8.84,15.0,12.0,14.0,15.0,2.1,buy,7,350395008,2.443,-81478000,101206000,5.999,6.745,160116992,25.799,1.124,-0.1019,-0.17825001,83378000,-4875750,-39408000,0.472,0.67246,-0.50886,-0.52494997,USD,
3,4464 Markham Street,Suite 1203,Victoria,BC,V8Z 7X8,Canada,250 708 4272,https://www.auriniapharma.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. The company also offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.",300,"{'maxAge': 1, 'name': 'Mr. Stephen P. Robertson', 'age': 40, 'title': 'Exec. VP, Gen. Counsel, Corp. Sec. & Chief Compliance Officer', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 739682, 'exercisedValue': 0, 'unexercisedValue': 0}",8,5,10,2,7,1693526400,1672444800,86400,2,9.08,9.08,8.83,9.12,9.08,9.08,8.83,9.12,0.0,1.24585,-26.787878,1496252,1496252,2150083,1717750,1717750,8.9,8.89,900,1000,1267850496,4.07,12.43,7.918276,10.0844,9.15405,0.0,0.0,USD,1018665600,-0.45424998,140535370,143422000,13955744,15821115,1690761600,1693440000,0.09729999,0.07027,0.38064,6.34,0.097600006,143422000,2.736,3.2309942,1672444800,1703980800,1688083200,-72733000,-0.48,-0.33,6.362,-12.502,0.15706801,0.14113986,NGM,EQUITY,AUPH,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc.,1409751000,America/New_York,EDT,6af70c53-6225-3411-b004-ce20a00fb8bf,finmb_882669,-14400000,8.84,15.0,12.0,14.0,15.0,2.1,buy,7,350395008,2.443,-81478000,101206000,5.999,6.745,160116992,25.799,1.124,-0.1019,-0.17825001,83378000,-4875750,-39408000,0.472,0.67246,-0.50886,-0.52494997,USD,
4,4464 Markham Street,Suite 1203,Victoria,BC,V8Z 7X8,Canada,250 708 4272,https://www.auriniapharma.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. The company also offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.",300,"{'maxAge': 1, 'name': 'Dr. Volker  Knappertz D.Sc., M.D.', 'age': 57, 'title': 'Exec. VP of R&D', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 742847, 'exercisedValue': 0, 'unexercisedValue': 0}",8,5,10,2,7,1693526400,1672444800,86400,2,9.08,9.08,8.83,9.12,9.08,9.08,8.83,9.12,0.0,1.24585,-26.787878,1496252,1496252,2150083,1717750,1717750,8.9,8.89,900,1000,1267850496,4.07,12.43,7.918276,10.0844,9.15405,0.0,0.0,USD,1018665600,-0.45424998,140535370,143422000,13955744,15821115,1690761600,1693440000,0.09729999,0.07027,0.38064,6.34,0.097600006,143422000,2.736,3.2309942,1672444800,1703980800,1688083200,-72733000,-0.48,-0.33,6.362,-12.502,0.15706801,0.14113986,NGM,EQUITY,AUPH,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc.,1409751000,America/New_York,EDT,6af70c53-6225-3411-b004-ce20a00fb8bf,finmb_882669,-14400000,8.84,15.0,12.0,14.0,15.0,2.1,buy,7,350395008,2.443,-81478000,101206000,5.999,6.745,160116992,25.799,1.124,-0.1019,-0.17825001,83378000,-4875750,-39408000,0.472,0.67246,-0.50886,-0.52494997,USD,
5,4464 Markham Street,Suite 1203,Victoria,BC,V8Z 7X8,Canada,250 708 4272,https://www.auriniapharma.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. The company also offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.",300,"{'maxAge': 1, 'name': 'Mr. James Archie Harrell Jr.', 'age': 52, 'title': 'Head of Investor Relations', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",8,5,10,2,7,1693526400,1672444800,86400,2,9.08,9.08,8.83,9.12,9.08,9.08,8.83,9.12,0.0,1.24585,-26.787878,1496252,1496252,2150083,1717750,1717750,8.9,8.89,900,1000,1267850496,4.07,12.43,7.918276,10.0844,9.15405,0.0,0.0,USD,1018665600,-0.45424998,140535370,143422000,13955744,15821115,1690761600,1693440000,0.09729999,0.07027,0.38064,6.34,0.097600006,143422000,2.736,3.2309942,1672444800,1703980800,1688083200,-72733000,-0.48,-0.33,6.362,-12.502,0.15706801,0.14113986,NGM,EQUITY,AUPH,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc.,1409751000,America/New_York,EDT,6af70c53-6225-3411-b004-ce20a00fb8bf,finmb_882669,-14400000,8.84,15.0,12.0,14.0,15.0,2.1,buy,7,350395008,2.443,-81478000,101206000,5.999,6.745,160116992,25.799,1.124,-0.1019,-0.17825001,83378000,-4875750,-39408000,0.472,0.67246,-0.50886,-0.52494997,USD,
6,4464 Markham Street,Suite 1203,Victoria,BC,V8Z 7X8,Canada,250 708 4272,https://www.auriniapharma.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. The company also offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.",300,"{'maxAge': 1, 'name': 'Mr. Fran  Lynch', 'title': 'VP of Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",8,5,10,2,7,1693526400,1672444800,86400,2,9.08,9.08,8.83,9.12,9.08,9.08,8.83,9.12,0.0,1.24585,-26.787878,1496252,1496252,2150083,1717750,1717750,8.9,8.89,900,1000,1267850496,4.07,12.43,7.918276,10.0844,9.15405,0.0,0.0,USD,1018665600,-0.45424998,140535370,143422000,13955744,15821115,1690761600,1693440000,0.09729999,0.07027,0.38064,6.34,0.097600006,143422000,2.736,3.2309942,1672444800,1703980800,1688083200,-72733000,-0.48,-0.33,6.362,-12.502,0.15706801,0.14113986,NGM,EQUITY,AUPH,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc.,1409751000,America/New_York,EDT,6af70c53-6225-3411-b004-ce20a00fb8bf,finmb_882669,-14400000,8.84,15.0,12.0,14.0,15.0,2.1,buy,7,350395008,2.443,-81478000,101206000,5.999,6.745,160116992,25.799,1.124,-0.1019,-0.17825001,83378000,-4875750,-39408000,0.472,0.67246,-0.50886,-0.52494997,USD,
7,4464 Markham Street,Suite 1203,Victoria,BC,V8Z 7X8,Canada,250 708 4272,https://www.auriniapharma.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. The company also offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.",300,"{'maxAge': 1, 'name': 'Mr. Michael R. Martin', 'age': 50, 'title': 'Chief Bus. Officer', 'yearBorn': 1972, 'fiscalYear': 2018, 'exercisedValue': 0, 'unexercisedValue': 0}",8,5,10,2,7,1693526400,1672444800,86400,2,9.08,9.08,8.83,9.12,9.08,9.08,8.83,9.12,0.0,1.24585,-26.787878,1496252,1496252,2150083,1717750,1717750,8.9,8.89,900,1000,1267850496,4.07,12.43,7.918276,10.0844,9.15405,0.0,0.0,USD,1018665600,-0.45424998,140535370,143422000,13955744,15821115,1690761600,1693440000,0.09729999,0.07027,0.38064,6.34,0.097600006,143422000,2.736,3.2309942,1672444800,1703980800,1688083200,-72733000,-0.48,-0.33,6.362,-12.502,0.15706801,0.14113986,NGM,EQUITY,AUPH,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc.,1409751000,America/New_York,EDT,6af70c53-6225-3411-b004-ce20a00fb8bf,finmb_882669,-14400000,8.84,15.0,12.0,14.0,15.0,2.1,buy,7,350395008,2.443,-81478000,101206000,5.999,6.745,160116992,25.799,1.124,-0.1019,-0.17825001,83378000,-4875750,-39408000,0.472,0.67246,-0.50886,-0.52494997,USD,
8,4464 Markham Street,Suite 1203,Victoria,BC,V8Z 7X8,Canada,250 708 4272,https://www.auriniapharma.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. The company also offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.",300,"{'maxAge': 1, 'name': 'Ms. Sue  Evans', 'title': 'Sr. VP of Global Regulatory Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",8,5,10,2,7,1693526400,1672444800,86400,2,9.08,9.08,8.83,9.12,9.08,9.08,8.83,9.12,0.0,1.24585,-26.787878,1496252,1496252,2150083,1717750,1717750,8.9,8.89,900,1000,1267850496,4.07,12.43,7.918276,10.0844,9.15405,0.0,0.0,USD,1018665600,-0.45424998,140535370,143422000,13955744,15821115,1690761600,1693440000,0.09729999,0.07027,0.38064,6.34,0.097600006,143422000,2.736,3.2309942,1672444800,1703980800,1688083200,-72733000,-0.48,-0.33,6.362,-12.502,0.15706801,0.14113986,NGM,EQUITY,AUPH,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc.,1409751000,America/New_York,EDT,6af70c53-6225-3411-b004-ce20a00fb8bf,finmb_882669,-14400000,8.84,15.0,12.0,14.0,15.0,2.1,buy,7,350395008,2.443,-81478000,101206000,5.999,6.745,160116992,25.799,1.124,-0.1019,-0.17825001,83378000,-4875750,-39408000,0.472,0.67246,-0.50886,-0.52494997,USD,
9,4464 Markham Street,Suite 1203,Victoria,BC,V8Z 7X8,Canada,250 708 4272,https://www.auriniapharma.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"Aurinia Pharmaceuticals Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies to treat various diseases with unmet medical need in the United States. The company also offers LUPKYNIS for the treatment of adult patients with active lupus nephritis. It has a collaboration and license agreement with Otsuka Pharmaceutical Co., Ltd. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.",300,"{'maxAge': 1, 'name': 'Mr. Scott  Habig', 'age': 62, 'title': 'Chief Commercial Officer', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",8,5,10,2,7,1693526400,1672444800,86400,2,9.08,9.08,8.83,9.12,9.08,9.08,8.83,9.12,0.0,1.24585,-26.787878,1496252,1496252,2150083,1717750,1717750,8.9,8.89,900,1000,1267850496,4.07,12.43,7.918276,10.0844,9.15405,0.0,0.0,USD,1018665600,-0.45424998,140535370,143422000,13955744,15821115,1690761600,1693440000,0.09729999,0.07027,0.38064,6.34,0.097600006,143422000,2.736,3.2309942,1672444800,1703980800,1688083200,-72733000,-0.48,-0.33,6.362,-12.502,0.15706801,0.14113986,NGM,EQUITY,AUPH,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc.,1409751000,America/New_York,EDT,6af70c53-6225-3411-b004-ce20a00fb8bf,finmb_882669,-14400000,8.84,15.0,12.0,14.0,15.0,2.1,buy,7,350395008,2.443,-81478000,101206000,5.999,6.745,160116992,25.799,1.124,-0.1019,-0.17825001,83378000,-4875750,-39408000,0.472,0.67246,-0.50886,-0.52494997,USD,
