,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10624 S. Eastern Avenue,Ste. A-614,Henderson,NV,89052,United States,310 477 0354,https://www.researchsolutions.com,Software—Application,Technology,"Research Solutions, Inc., through its subsidiaries, provides cloud-based software-as-a-service research platform. The company is also involved in the transactional sale of published scientific, technical, and medical (STM) content managed, sourced, and delivered through the Transactions platform. Its solutions enable life science and other research intensive organizations to accelerate their research and development activities with access and management STM articles used throughout the intellectual property development lifecycle. The company was formerly known as Derycz Scientific, Inc. and changed its name to Research Solutions, Inc. in March 2013. Research Solutions, Inc. was incorporated in 2006 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Mr. Peter Victor Derycz', 'age': 60, 'title': 'Founder & Exec. Chairman', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 513965, 'exercisedValue': 0, 'unexercisedValue': 16960}",1672444800,86400,4,2.54,2.65,2.4614,2.65,2.54,2.65,2.4614,2.65,0.0,Infinity,256.0,38406,38406,24256,29740,29740,2.52,2.75,1000,2900,75522048,1.8,2.65,2.003054,2.1824,2.113,0.0,0.0,USD,61942688,0.01516,17246654,29500800,9674,5525,1690761600,1693440000,0.00029999999,0.36029,0.32705003,0.33,0.0004,0.249,10.281124,1688083200,1719705600,1688083200,571623,0.0,0.01,-1.69,1.643,212.674,NCM,EQUITY,RSSS,RSSS,"Research Solutions, Inc","Research Solutions, Inc.",1289831400,America/New_York,EDT,-14400000,2.56,5.0,4.35,4.67,4.67,2.0,buy,2,13545333,0.459,291257,0,1.358,1.469,37703452,1.404,0.00767,0.0936,14700891,836944,3383847,0.163,0.38991,0.00772,0.0063300002,USD,
1,10624 S. Eastern Avenue,Ste. A-614,Henderson,NV,89052,United States,310 477 0354,https://www.researchsolutions.com,Software—Application,Technology,"Research Solutions, Inc., through its subsidiaries, provides cloud-based software-as-a-service research platform. The company is also involved in the transactional sale of published scientific, technical, and medical (STM) content managed, sourced, and delivered through the Transactions platform. Its solutions enable life science and other research intensive organizations to accelerate their research and development activities with access and management STM articles used throughout the intellectual property development lifecycle. The company was formerly known as Derycz Scientific, Inc. and changed its name to Research Solutions, Inc. in March 2013. Research Solutions, Inc. was incorporated in 2006 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Mr. Roy W. Olivier', 'age': 63, 'title': 'Pres, CEO & Director', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 381040, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.54,2.65,2.4614,2.65,2.54,2.65,2.4614,2.65,0.0,Infinity,256.0,38406,38406,24256,29740,29740,2.52,2.75,1000,2900,75522048,1.8,2.65,2.003054,2.1824,2.113,0.0,0.0,USD,61942688,0.01516,17246654,29500800,9674,5525,1690761600,1693440000,0.00029999999,0.36029,0.32705003,0.33,0.0004,0.249,10.281124,1688083200,1719705600,1688083200,571623,0.0,0.01,-1.69,1.643,212.674,NCM,EQUITY,RSSS,RSSS,"Research Solutions, Inc","Research Solutions, Inc.",1289831400,America/New_York,EDT,-14400000,2.56,5.0,4.35,4.67,4.67,2.0,buy,2,13545333,0.459,291257,0,1.358,1.469,37703452,1.404,0.00767,0.0936,14700891,836944,3383847,0.163,0.38991,0.00772,0.0063300002,USD,
2,10624 S. Eastern Avenue,Ste. A-614,Henderson,NV,89052,United States,310 477 0354,https://www.researchsolutions.com,Software—Application,Technology,"Research Solutions, Inc., through its subsidiaries, provides cloud-based software-as-a-service research platform. The company is also involved in the transactional sale of published scientific, technical, and medical (STM) content managed, sourced, and delivered through the Transactions platform. Its solutions enable life science and other research intensive organizations to accelerate their research and development activities with access and management STM articles used throughout the intellectual property development lifecycle. The company was formerly known as Derycz Scientific, Inc. and changed its name to Research Solutions, Inc. in March 2013. Research Solutions, Inc. was incorporated in 2006 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Mr. William A. Nurthen', 'age': 49, 'title': 'CFO & Sec.', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 372556, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.54,2.65,2.4614,2.65,2.54,2.65,2.4614,2.65,0.0,Infinity,256.0,38406,38406,24256,29740,29740,2.52,2.75,1000,2900,75522048,1.8,2.65,2.003054,2.1824,2.113,0.0,0.0,USD,61942688,0.01516,17246654,29500800,9674,5525,1690761600,1693440000,0.00029999999,0.36029,0.32705003,0.33,0.0004,0.249,10.281124,1688083200,1719705600,1688083200,571623,0.0,0.01,-1.69,1.643,212.674,NCM,EQUITY,RSSS,RSSS,"Research Solutions, Inc","Research Solutions, Inc.",1289831400,America/New_York,EDT,-14400000,2.56,5.0,4.35,4.67,4.67,2.0,buy,2,13545333,0.459,291257,0,1.358,1.469,37703452,1.404,0.00767,0.0936,14700891,836944,3383847,0.163,0.38991,0.00772,0.0063300002,USD,
3,10624 S. Eastern Avenue,Ste. A-614,Henderson,NV,89052,United States,310 477 0354,https://www.researchsolutions.com,Software—Application,Technology,"Research Solutions, Inc., through its subsidiaries, provides cloud-based software-as-a-service research platform. The company is also involved in the transactional sale of published scientific, technical, and medical (STM) content managed, sourced, and delivered through the Transactions platform. Its solutions enable life science and other research intensive organizations to accelerate their research and development activities with access and management STM articles used throughout the intellectual property development lifecycle. The company was formerly known as Derycz Scientific, Inc. and changed its name to Research Solutions, Inc. in March 2013. Research Solutions, Inc. was incorporated in 2006 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Mr. Scott  Ahlberg', 'age': 59, 'title': 'Chief Operating Officer', 'yearBorn': 1963, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.54,2.65,2.4614,2.65,2.54,2.65,2.4614,2.65,0.0,Infinity,256.0,38406,38406,24256,29740,29740,2.52,2.75,1000,2900,75522048,1.8,2.65,2.003054,2.1824,2.113,0.0,0.0,USD,61942688,0.01516,17246654,29500800,9674,5525,1690761600,1693440000,0.00029999999,0.36029,0.32705003,0.33,0.0004,0.249,10.281124,1688083200,1719705600,1688083200,571623,0.0,0.01,-1.69,1.643,212.674,NCM,EQUITY,RSSS,RSSS,"Research Solutions, Inc","Research Solutions, Inc.",1289831400,America/New_York,EDT,-14400000,2.56,5.0,4.35,4.67,4.67,2.0,buy,2,13545333,0.459,291257,0,1.358,1.469,37703452,1.404,0.00767,0.0936,14700891,836944,3383847,0.163,0.38991,0.00772,0.0063300002,USD,
4,10624 S. Eastern Avenue,Ste. A-614,Henderson,NV,89052,United States,310 477 0354,https://www.researchsolutions.com,Software—Application,Technology,"Research Solutions, Inc., through its subsidiaries, provides cloud-based software-as-a-service research platform. The company is also involved in the transactional sale of published scientific, technical, and medical (STM) content managed, sourced, and delivered through the Transactions platform. Its solutions enable life science and other research intensive organizations to accelerate their research and development activities with access and management STM articles used throughout the intellectual property development lifecycle. The company was formerly known as Derycz Scientific, Inc. and changed its name to Research Solutions, Inc. in March 2013. Research Solutions, Inc. was incorporated in 2006 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Mr. Frank  Buckley', 'title': 'Account Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.54,2.65,2.4614,2.65,2.54,2.65,2.4614,2.65,0.0,Infinity,256.0,38406,38406,24256,29740,29740,2.52,2.75,1000,2900,75522048,1.8,2.65,2.003054,2.1824,2.113,0.0,0.0,USD,61942688,0.01516,17246654,29500800,9674,5525,1690761600,1693440000,0.00029999999,0.36029,0.32705003,0.33,0.0004,0.249,10.281124,1688083200,1719705600,1688083200,571623,0.0,0.01,-1.69,1.643,212.674,NCM,EQUITY,RSSS,RSSS,"Research Solutions, Inc","Research Solutions, Inc.",1289831400,America/New_York,EDT,-14400000,2.56,5.0,4.35,4.67,4.67,2.0,buy,2,13545333,0.459,291257,0,1.358,1.469,37703452,1.404,0.00767,0.0936,14700891,836944,3383847,0.163,0.38991,0.00772,0.0063300002,USD,
5,10624 S. Eastern Avenue,Ste. A-614,Henderson,NV,89052,United States,310 477 0354,https://www.researchsolutions.com,Software—Application,Technology,"Research Solutions, Inc., through its subsidiaries, provides cloud-based software-as-a-service research platform. The company is also involved in the transactional sale of published scientific, technical, and medical (STM) content managed, sourced, and delivered through the Transactions platform. Its solutions enable life science and other research intensive organizations to accelerate their research and development activities with access and management STM articles used throughout the intellectual property development lifecycle. The company was formerly known as Derycz Scientific, Inc. and changed its name to Research Solutions, Inc. in March 2013. Research Solutions, Inc. was incorporated in 2006 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Mr. Rick  Salloum', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.54,2.65,2.4614,2.65,2.54,2.65,2.4614,2.65,0.0,Infinity,256.0,38406,38406,24256,29740,29740,2.52,2.75,1000,2900,75522048,1.8,2.65,2.003054,2.1824,2.113,0.0,0.0,USD,61942688,0.01516,17246654,29500800,9674,5525,1690761600,1693440000,0.00029999999,0.36029,0.32705003,0.33,0.0004,0.249,10.281124,1688083200,1719705600,1688083200,571623,0.0,0.01,-1.69,1.643,212.674,NCM,EQUITY,RSSS,RSSS,"Research Solutions, Inc","Research Solutions, Inc.",1289831400,America/New_York,EDT,-14400000,2.56,5.0,4.35,4.67,4.67,2.0,buy,2,13545333,0.459,291257,0,1.358,1.469,37703452,1.404,0.00767,0.0936,14700891,836944,3383847,0.163,0.38991,0.00772,0.0063300002,USD,
6,10624 S. Eastern Avenue,Ste. A-614,Henderson,NV,89052,United States,310 477 0354,https://www.researchsolutions.com,Software—Application,Technology,"Research Solutions, Inc., through its subsidiaries, provides cloud-based software-as-a-service research platform. The company is also involved in the transactional sale of published scientific, technical, and medical (STM) content managed, sourced, and delivered through the Transactions platform. Its solutions enable life science and other research intensive organizations to accelerate their research and development activities with access and management STM articles used throughout the intellectual property development lifecycle. The company was formerly known as Derycz Scientific, Inc. and changed its name to Research Solutions, Inc. in March 2013. Research Solutions, Inc. was incorporated in 2006 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Mr. Tedd  Adams', 'title': 'Director of Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.54,2.65,2.4614,2.65,2.54,2.65,2.4614,2.65,0.0,Infinity,256.0,38406,38406,24256,29740,29740,2.52,2.75,1000,2900,75522048,1.8,2.65,2.003054,2.1824,2.113,0.0,0.0,USD,61942688,0.01516,17246654,29500800,9674,5525,1690761600,1693440000,0.00029999999,0.36029,0.32705003,0.33,0.0004,0.249,10.281124,1688083200,1719705600,1688083200,571623,0.0,0.01,-1.69,1.643,212.674,NCM,EQUITY,RSSS,RSSS,"Research Solutions, Inc","Research Solutions, Inc.",1289831400,America/New_York,EDT,-14400000,2.56,5.0,4.35,4.67,4.67,2.0,buy,2,13545333,0.459,291257,0,1.358,1.469,37703452,1.404,0.00767,0.0936,14700891,836944,3383847,0.163,0.38991,0.00772,0.0063300002,USD,
7,10624 S. Eastern Avenue,Ste. A-614,Henderson,NV,89052,United States,310 477 0354,https://www.researchsolutions.com,Software—Application,Technology,"Research Solutions, Inc., through its subsidiaries, provides cloud-based software-as-a-service research platform. The company is also involved in the transactional sale of published scientific, technical, and medical (STM) content managed, sourced, and delivered through the Transactions platform. Its solutions enable life science and other research intensive organizations to accelerate their research and development activities with access and management STM articles used throughout the intellectual property development lifecycle. The company was formerly known as Derycz Scientific, Inc. and changed its name to Research Solutions, Inc. in March 2013. Research Solutions, Inc. was incorporated in 2006 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Mr. Alan Louis Urban CPA', 'age': 54, 'title': 'Exec. Officer', 'yearBorn': 1968, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.54,2.65,2.4614,2.65,2.54,2.65,2.4614,2.65,0.0,Infinity,256.0,38406,38406,24256,29740,29740,2.52,2.75,1000,2900,75522048,1.8,2.65,2.003054,2.1824,2.113,0.0,0.0,USD,61942688,0.01516,17246654,29500800,9674,5525,1690761600,1693440000,0.00029999999,0.36029,0.32705003,0.33,0.0004,0.249,10.281124,1688083200,1719705600,1688083200,571623,0.0,0.01,-1.69,1.643,212.674,NCM,EQUITY,RSSS,RSSS,"Research Solutions, Inc","Research Solutions, Inc.",1289831400,America/New_York,EDT,-14400000,2.56,5.0,4.35,4.67,4.67,2.0,buy,2,13545333,0.459,291257,0,1.358,1.469,37703452,1.404,0.00767,0.0936,14700891,836944,3383847,0.163,0.38991,0.00772,0.0063300002,USD,
8,10624 S. Eastern Avenue,Ste. A-614,Henderson,NV,89052,United States,310 477 0354,https://www.researchsolutions.com,Software—Application,Technology,"Research Solutions, Inc., through its subsidiaries, provides cloud-based software-as-a-service research platform. The company is also involved in the transactional sale of published scientific, technical, and medical (STM) content managed, sourced, and delivered through the Transactions platform. Its solutions enable life science and other research intensive organizations to accelerate their research and development activities with access and management STM articles used throughout the intellectual property development lifecycle. The company was formerly known as Derycz Scientific, Inc. and changed its name to Research Solutions, Inc. in March 2013. Research Solutions, Inc. was incorporated in 2006 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Mr. Shane Alan Hunt', 'age': 44, 'title': 'Chief Revenue Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.54,2.65,2.4614,2.65,2.54,2.65,2.4614,2.65,0.0,Infinity,256.0,38406,38406,24256,29740,29740,2.52,2.75,1000,2900,75522048,1.8,2.65,2.003054,2.1824,2.113,0.0,0.0,USD,61942688,0.01516,17246654,29500800,9674,5525,1690761600,1693440000,0.00029999999,0.36029,0.32705003,0.33,0.0004,0.249,10.281124,1688083200,1719705600,1688083200,571623,0.0,0.01,-1.69,1.643,212.674,NCM,EQUITY,RSSS,RSSS,"Research Solutions, Inc","Research Solutions, Inc.",1289831400,America/New_York,EDT,-14400000,2.56,5.0,4.35,4.67,4.67,2.0,buy,2,13545333,0.459,291257,0,1.358,1.469,37703452,1.404,0.00767,0.0936,14700891,836944,3383847,0.163,0.38991,0.00772,0.0063300002,USD,
9,10624 S. Eastern Avenue,Ste. A-614,Henderson,NV,89052,United States,310 477 0354,https://www.researchsolutions.com,Software—Application,Technology,"Research Solutions, Inc., through its subsidiaries, provides cloud-based software-as-a-service research platform. The company is also involved in the transactional sale of published scientific, technical, and medical (STM) content managed, sourced, and delivered through the Transactions platform. Its solutions enable life science and other research intensive organizations to accelerate their research and development activities with access and management STM articles used throughout the intellectual property development lifecycle. The company was formerly known as Derycz Scientific, Inc. and changed its name to Research Solutions, Inc. in March 2013. Research Solutions, Inc. was incorporated in 2006 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Mr. Michiel  van der Heijden', 'age': 51, 'title': 'Chief Product Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.54,2.65,2.4614,2.65,2.54,2.65,2.4614,2.65,0.0,Infinity,256.0,38406,38406,24256,29740,29740,2.52,2.75,1000,2900,75522048,1.8,2.65,2.003054,2.1824,2.113,0.0,0.0,USD,61942688,0.01516,17246654,29500800,9674,5525,1690761600,1693440000,0.00029999999,0.36029,0.32705003,0.33,0.0004,0.249,10.281124,1688083200,1719705600,1688083200,571623,0.0,0.01,-1.69,1.643,212.674,NCM,EQUITY,RSSS,RSSS,"Research Solutions, Inc","Research Solutions, Inc.",1289831400,America/New_York,EDT,-14400000,2.56,5.0,4.35,4.67,4.67,2.0,buy,2,13545333,0.459,291257,0,1.358,1.469,37703452,1.404,0.00767,0.0936,14700891,836944,3383847,0.163,0.38991,0.00772,0.0063300002,USD,
