,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,314 Main Street,Suite 04-200,Cambridge,MA,02142,United States,857 400 9491,https://theseusrx.com,Biotechnology,Healthcare,"Theseus Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of targeted therapies for the treatment of cancer patients. Its lead product candidate is THE-630, a pan-KIT inhibitor for the treatment of gastrointestinal stromal tumors. The company also develops THE-349, a fourth-generation selective epidermal growth factor receptor inhibitor to address C797X-mediated resistance to first- or later-line osimertinib treatment in patients with non-small cell lung cancer. Its development programs address drug resistance mutations in key driver oncogenes, which are mutated genes that cause cancer. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",38,"{'maxAge': 1, 'name': 'Dr. Iain D. Dukes D.Phil., DPHIL, M.A.', 'age': 64, 'title': 'Co-Founder & Chairman', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 67285, 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,9,8,8,1693526400,1672444800,86400,4,2.93,2.93,2.865,2.93,2.93,2.93,2.865,2.93,0.0,-1.9266667,157731,157731,670069,98610,98610,2.89,2.92,800,4000,126013832,2.62,14.767,3.8111,7.84235,0.0,0.0,USD,-78881480,0.0,16843121,43603400,1002809,1067794,1690761600,1693440000,0.023,0.026199998,0.97056,3.98,0.05,5.388,0.53637713,1672444800,1703980800,1688083200,-57853000,-1.4,-1.5,1.195,NMS,EQUITY,THRX,THRX,"Theseus Pharmaceuticals, Inc.","Theseus Pharmaceuticals, Inc.",1633613400,America/New_York,EDT,-14400000,2.89,10.0,3.5,6.75,7.0,1.9,buy,6,208204992,4.792,-65990000,3768000,27.103,27.825,1.61,-0.17086,-0.24986,-28218124,-45832000,0.0,0.0,0.0,USD,
1,314 Main Street,Suite 04-200,Cambridge,MA,02142,United States,857 400 9491,https://theseusrx.com,Biotechnology,Healthcare,"Theseus Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of targeted therapies for the treatment of cancer patients. Its lead product candidate is THE-630, a pan-KIT inhibitor for the treatment of gastrointestinal stromal tumors. The company also develops THE-349, a fourth-generation selective epidermal growth factor receptor inhibitor to address C797X-mediated resistance to first- or later-line osimertinib treatment in patients with non-small cell lung cancer. Its development programs address drug resistance mutations in key driver oncogenes, which are mutated genes that cause cancer. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",38,"{'maxAge': 1, 'name': 'Dr. Timothy P. Clackson Ph.D.', 'age': 57, 'title': 'CEO, Pres & Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 900290, 'exercisedValue': 0, 'unexercisedValue': 452454}",2,9,9,8,8,1693526400,1672444800,86400,4,2.93,2.93,2.865,2.93,2.93,2.93,2.865,2.93,0.0,-1.9266667,157731,157731,670069,98610,98610,2.89,2.92,800,4000,126013832,2.62,14.767,3.8111,7.84235,0.0,0.0,USD,-78881480,0.0,16843121,43603400,1002809,1067794,1690761600,1693440000,0.023,0.026199998,0.97056,3.98,0.05,5.388,0.53637713,1672444800,1703980800,1688083200,-57853000,-1.4,-1.5,1.195,NMS,EQUITY,THRX,THRX,"Theseus Pharmaceuticals, Inc.","Theseus Pharmaceuticals, Inc.",1633613400,America/New_York,EDT,-14400000,2.89,10.0,3.5,6.75,7.0,1.9,buy,6,208204992,4.792,-65990000,3768000,27.103,27.825,1.61,-0.17086,-0.24986,-28218124,-45832000,0.0,0.0,0.0,USD,
2,314 Main Street,Suite 04-200,Cambridge,MA,02142,United States,857 400 9491,https://theseusrx.com,Biotechnology,Healthcare,"Theseus Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of targeted therapies for the treatment of cancer patients. Its lead product candidate is THE-630, a pan-KIT inhibitor for the treatment of gastrointestinal stromal tumors. The company also develops THE-349, a fourth-generation selective epidermal growth factor receptor inhibitor to address C797X-mediated resistance to first- or later-line osimertinib treatment in patients with non-small cell lung cancer. Its development programs address drug resistance mutations in key driver oncogenes, which are mutated genes that cause cancer. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",38,"{'maxAge': 1, 'name': 'Dr. William C. Shakespeare Ph.D.', 'age': 58, 'title': 'Co-Founder and Pres of R&D', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 666685, 'exercisedValue': 0, 'unexercisedValue': 475398}",2,9,9,8,8,1693526400,1672444800,86400,4,2.93,2.93,2.865,2.93,2.93,2.93,2.865,2.93,0.0,-1.9266667,157731,157731,670069,98610,98610,2.89,2.92,800,4000,126013832,2.62,14.767,3.8111,7.84235,0.0,0.0,USD,-78881480,0.0,16843121,43603400,1002809,1067794,1690761600,1693440000,0.023,0.026199998,0.97056,3.98,0.05,5.388,0.53637713,1672444800,1703980800,1688083200,-57853000,-1.4,-1.5,1.195,NMS,EQUITY,THRX,THRX,"Theseus Pharmaceuticals, Inc.","Theseus Pharmaceuticals, Inc.",1633613400,America/New_York,EDT,-14400000,2.89,10.0,3.5,6.75,7.0,1.9,buy,6,208204992,4.792,-65990000,3768000,27.103,27.825,1.61,-0.17086,-0.24986,-28218124,-45832000,0.0,0.0,0.0,USD,
3,314 Main Street,Suite 04-200,Cambridge,MA,02142,United States,857 400 9491,https://theseusrx.com,Biotechnology,Healthcare,"Theseus Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of targeted therapies for the treatment of cancer patients. Its lead product candidate is THE-630, a pan-KIT inhibitor for the treatment of gastrointestinal stromal tumors. The company also develops THE-349, a fourth-generation selective epidermal growth factor receptor inhibitor to address C797X-mediated resistance to first- or later-line osimertinib treatment in patients with non-small cell lung cancer. Its development programs address drug resistance mutations in key driver oncogenes, which are mutated genes that cause cancer. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",38,"{'maxAge': 1, 'name': 'Dr. David P. Kerstein M.D.', 'age': 40, 'title': 'Chief Medical Officer', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 667790, 'exercisedValue': 0, 'unexercisedValue': 756432}",2,9,9,8,8,1693526400,1672444800,86400,4,2.93,2.93,2.865,2.93,2.93,2.93,2.865,2.93,0.0,-1.9266667,157731,157731,670069,98610,98610,2.89,2.92,800,4000,126013832,2.62,14.767,3.8111,7.84235,0.0,0.0,USD,-78881480,0.0,16843121,43603400,1002809,1067794,1690761600,1693440000,0.023,0.026199998,0.97056,3.98,0.05,5.388,0.53637713,1672444800,1703980800,1688083200,-57853000,-1.4,-1.5,1.195,NMS,EQUITY,THRX,THRX,"Theseus Pharmaceuticals, Inc.","Theseus Pharmaceuticals, Inc.",1633613400,America/New_York,EDT,-14400000,2.89,10.0,3.5,6.75,7.0,1.9,buy,6,208204992,4.792,-65990000,3768000,27.103,27.825,1.61,-0.17086,-0.24986,-28218124,-45832000,0.0,0.0,0.0,USD,
4,314 Main Street,Suite 04-200,Cambridge,MA,02142,United States,857 400 9491,https://theseusrx.com,Biotechnology,Healthcare,"Theseus Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of targeted therapies for the treatment of cancer patients. Its lead product candidate is THE-630, a pan-KIT inhibitor for the treatment of gastrointestinal stromal tumors. The company also develops THE-349, a fourth-generation selective epidermal growth factor receptor inhibitor to address C797X-mediated resistance to first- or later-line osimertinib treatment in patients with non-small cell lung cancer. Its development programs address drug resistance mutations in key driver oncogenes, which are mutated genes that cause cancer. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",38,"{'maxAge': 1, 'name': 'Dr. Victor M. Rivera Ph.D.', 'age': 58, 'title': 'Co-Founder, Sr. VP & Chief Scientific Officer', 'yearBorn': 1964, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,9,8,8,1693526400,1672444800,86400,4,2.93,2.93,2.865,2.93,2.93,2.93,2.865,2.93,0.0,-1.9266667,157731,157731,670069,98610,98610,2.89,2.92,800,4000,126013832,2.62,14.767,3.8111,7.84235,0.0,0.0,USD,-78881480,0.0,16843121,43603400,1002809,1067794,1690761600,1693440000,0.023,0.026199998,0.97056,3.98,0.05,5.388,0.53637713,1672444800,1703980800,1688083200,-57853000,-1.4,-1.5,1.195,NMS,EQUITY,THRX,THRX,"Theseus Pharmaceuticals, Inc.","Theseus Pharmaceuticals, Inc.",1633613400,America/New_York,EDT,-14400000,2.89,10.0,3.5,6.75,7.0,1.9,buy,6,208204992,4.792,-65990000,3768000,27.103,27.825,1.61,-0.17086,-0.24986,-28218124,-45832000,0.0,0.0,0.0,USD,
5,314 Main Street,Suite 04-200,Cambridge,MA,02142,United States,857 400 9491,https://theseusrx.com,Biotechnology,Healthcare,"Theseus Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of targeted therapies for the treatment of cancer patients. Its lead product candidate is THE-630, a pan-KIT inhibitor for the treatment of gastrointestinal stromal tumors. The company also develops THE-349, a fourth-generation selective epidermal growth factor receptor inhibitor to address C797X-mediated resistance to first- or later-line osimertinib treatment in patients with non-small cell lung cancer. Its development programs address drug resistance mutations in key driver oncogenes, which are mutated genes that cause cancer. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",38,"{'maxAge': 1, 'name': 'Mr. Wei-Sheng  Huang Ph.D.', 'title': 'Co-Founder & Sr. VP of Chemistry', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,9,8,8,1693526400,1672444800,86400,4,2.93,2.93,2.865,2.93,2.93,2.93,2.865,2.93,0.0,-1.9266667,157731,157731,670069,98610,98610,2.89,2.92,800,4000,126013832,2.62,14.767,3.8111,7.84235,0.0,0.0,USD,-78881480,0.0,16843121,43603400,1002809,1067794,1690761600,1693440000,0.023,0.026199998,0.97056,3.98,0.05,5.388,0.53637713,1672444800,1703980800,1688083200,-57853000,-1.4,-1.5,1.195,NMS,EQUITY,THRX,THRX,"Theseus Pharmaceuticals, Inc.","Theseus Pharmaceuticals, Inc.",1633613400,America/New_York,EDT,-14400000,2.89,10.0,3.5,6.75,7.0,1.9,buy,6,208204992,4.792,-65990000,3768000,27.103,27.825,1.61,-0.17086,-0.24986,-28218124,-45832000,0.0,0.0,0.0,USD,
6,314 Main Street,Suite 04-200,Cambridge,MA,02142,United States,857 400 9491,https://theseusrx.com,Biotechnology,Healthcare,"Theseus Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of targeted therapies for the treatment of cancer patients. Its lead product candidate is THE-630, a pan-KIT inhibitor for the treatment of gastrointestinal stromal tumors. The company also develops THE-349, a fourth-generation selective epidermal growth factor receptor inhibitor to address C797X-mediated resistance to first- or later-line osimertinib treatment in patients with non-small cell lung cancer. Its development programs address drug resistance mutations in key driver oncogenes, which are mutated genes that cause cancer. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",38,"{'maxAge': 1, 'name': 'Mr. Bradford D. Dahms', 'age': 33, 'title': 'Chief Financial officer', 'yearBorn': 1989, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,9,8,8,1693526400,1672444800,86400,4,2.93,2.93,2.865,2.93,2.93,2.93,2.865,2.93,0.0,-1.9266667,157731,157731,670069,98610,98610,2.89,2.92,800,4000,126013832,2.62,14.767,3.8111,7.84235,0.0,0.0,USD,-78881480,0.0,16843121,43603400,1002809,1067794,1690761600,1693440000,0.023,0.026199998,0.97056,3.98,0.05,5.388,0.53637713,1672444800,1703980800,1688083200,-57853000,-1.4,-1.5,1.195,NMS,EQUITY,THRX,THRX,"Theseus Pharmaceuticals, Inc.","Theseus Pharmaceuticals, Inc.",1633613400,America/New_York,EDT,-14400000,2.89,10.0,3.5,6.75,7.0,1.9,buy,6,208204992,4.792,-65990000,3768000,27.103,27.825,1.61,-0.17086,-0.24986,-28218124,-45832000,0.0,0.0,0.0,USD,
7,314 Main Street,Suite 04-200,Cambridge,MA,02142,United States,857 400 9491,https://theseusrx.com,Biotechnology,Healthcare,"Theseus Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of targeted therapies for the treatment of cancer patients. Its lead product candidate is THE-630, a pan-KIT inhibitor for the treatment of gastrointestinal stromal tumors. The company also develops THE-349, a fourth-generation selective epidermal growth factor receptor inhibitor to address C797X-mediated resistance to first- or later-line osimertinib treatment in patients with non-small cell lung cancer. Its development programs address drug resistance mutations in key driver oncogenes, which are mutated genes that cause cancer. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",38,"{'maxAge': 1, 'name': 'Mr. Benjamin D. Enerson', 'title': 'VP of Legal Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,9,8,8,1693526400,1672444800,86400,4,2.93,2.93,2.865,2.93,2.93,2.93,2.865,2.93,0.0,-1.9266667,157731,157731,670069,98610,98610,2.89,2.92,800,4000,126013832,2.62,14.767,3.8111,7.84235,0.0,0.0,USD,-78881480,0.0,16843121,43603400,1002809,1067794,1690761600,1693440000,0.023,0.026199998,0.97056,3.98,0.05,5.388,0.53637713,1672444800,1703980800,1688083200,-57853000,-1.4,-1.5,1.195,NMS,EQUITY,THRX,THRX,"Theseus Pharmaceuticals, Inc.","Theseus Pharmaceuticals, Inc.",1633613400,America/New_York,EDT,-14400000,2.89,10.0,3.5,6.75,7.0,1.9,buy,6,208204992,4.792,-65990000,3768000,27.103,27.825,1.61,-0.17086,-0.24986,-28218124,-45832000,0.0,0.0,0.0,USD,
8,314 Main Street,Suite 04-200,Cambridge,MA,02142,United States,857 400 9491,https://theseusrx.com,Biotechnology,Healthcare,"Theseus Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of targeted therapies for the treatment of cancer patients. Its lead product candidate is THE-630, a pan-KIT inhibitor for the treatment of gastrointestinal stromal tumors. The company also develops THE-349, a fourth-generation selective epidermal growth factor receptor inhibitor to address C797X-mediated resistance to first- or later-line osimertinib treatment in patients with non-small cell lung cancer. Its development programs address drug resistance mutations in key driver oncogenes, which are mutated genes that cause cancer. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",38,"{'maxAge': 1, 'name': 'Dr. Nachu  Narasimhan Ph.D.', 'title': 'Sr. VP of Drug Metabolism & Preclinical Safety', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,9,8,8,1693526400,1672444800,86400,4,2.93,2.93,2.865,2.93,2.93,2.93,2.865,2.93,0.0,-1.9266667,157731,157731,670069,98610,98610,2.89,2.92,800,4000,126013832,2.62,14.767,3.8111,7.84235,0.0,0.0,USD,-78881480,0.0,16843121,43603400,1002809,1067794,1690761600,1693440000,0.023,0.026199998,0.97056,3.98,0.05,5.388,0.53637713,1672444800,1703980800,1688083200,-57853000,-1.4,-1.5,1.195,NMS,EQUITY,THRX,THRX,"Theseus Pharmaceuticals, Inc.","Theseus Pharmaceuticals, Inc.",1633613400,America/New_York,EDT,-14400000,2.89,10.0,3.5,6.75,7.0,1.9,buy,6,208204992,4.792,-65990000,3768000,27.103,27.825,1.61,-0.17086,-0.24986,-28218124,-45832000,0.0,0.0,0.0,USD,
9,314 Main Street,Suite 04-200,Cambridge,MA,02142,United States,857 400 9491,https://theseusrx.com,Biotechnology,Healthcare,"Theseus Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of targeted therapies for the treatment of cancer patients. Its lead product candidate is THE-630, a pan-KIT inhibitor for the treatment of gastrointestinal stromal tumors. The company also develops THE-349, a fourth-generation selective epidermal growth factor receptor inhibitor to address C797X-mediated resistance to first- or later-line osimertinib treatment in patients with non-small cell lung cancer. Its development programs address drug resistance mutations in key driver oncogenes, which are mutated genes that cause cancer. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",38,"{'maxAge': 1, 'name': 'Mr. Len  Rozamus', 'title': 'Sr. VP of Technical Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,9,8,8,1693526400,1672444800,86400,4,2.93,2.93,2.865,2.93,2.93,2.93,2.865,2.93,0.0,-1.9266667,157731,157731,670069,98610,98610,2.89,2.92,800,4000,126013832,2.62,14.767,3.8111,7.84235,0.0,0.0,USD,-78881480,0.0,16843121,43603400,1002809,1067794,1690761600,1693440000,0.023,0.026199998,0.97056,3.98,0.05,5.388,0.53637713,1672444800,1703980800,1688083200,-57853000,-1.4,-1.5,1.195,NMS,EQUITY,THRX,THRX,"Theseus Pharmaceuticals, Inc.","Theseus Pharmaceuticals, Inc.",1633613400,America/New_York,EDT,-14400000,2.89,10.0,3.5,6.75,7.0,1.9,buy,6,208204992,4.792,-65990000,3768000,27.103,27.825,1.61,-0.17086,-0.24986,-28218124,-45832000,0.0,0.0,0.0,USD,
