,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,13355 Noel Road,Suite 400,Dallas,TX,75240,United States,972 788 1000,https://aecom.com,Engineering & Construction,Engineering & Construction,Industrials,Industrials,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide. It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered in Dallas, Texas.",50000,"{'maxAge': 1, 'name': 'Mr. W. Troy Rudd', 'age': 57, 'title': 'CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 3219785, 'exercisedValue': 0, 'unexercisedValue': 3148682}",6,2,1,3,2,1693526400,1672444800,86400,2,84.0,83.52,83.09,84.48,84.0,83.52,83.09,84.48,0.72,0.0086,1696377600,0.4964,1.298409,60.81884,19.1621,1495558,1495558,682100,735580,735580,83.54,83.56,800,1000,11643358208,66.47,92.16,0.8339207,86.9188,84.87175,0.69,0.008214286,USD,13472429056,0.0097,138047031,138727008,1480199,1630164,1690761600,1693440000,0.0107,0.0070499997,0.90417,2.19,0.0126,138727008,17.724,4.735387,1664496000,1696032000,1688083200,195567008,1.38,4.38,1.74,0.965,14.45,0.1590941,0.14113986,0.18,1688515200,NYQ,EQUITY,ACM,ACM,AECOM,AECOM,1178803800,America/New_York,EDT,0d8f9808-0295-3b40-88fa-9e3d5de6d587,finmb_701179,-14400000,83.93,105.0,90.0,99.8,100.0,1.6,buy,10,1275630976,9.195,932369984,2937159936,0.956,1.097,13962188800,112.006,100.451,0.042,0.08889,847974000,512928512,726364032,0.13,0.06521,0.06678,0.054569997,USD,1.1863
1,13355 Noel Road,Suite 400,Dallas,TX,75240,United States,972 788 1000,https://aecom.com,Engineering & Construction,Engineering & Construction,Industrials,Industrials,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide. It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered in Dallas, Texas.",50000,"{'maxAge': 1, 'name': 'Ms. Lara  Poloni', 'age': 53, 'title': 'Pres', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1746099, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,3,2,1693526400,1672444800,86400,2,84.0,83.52,83.09,84.48,84.0,83.52,83.09,84.48,0.72,0.0086,1696377600,0.4964,1.298409,60.81884,19.1621,1495558,1495558,682100,735580,735580,83.54,83.56,800,1000,11643358208,66.47,92.16,0.8339207,86.9188,84.87175,0.69,0.008214286,USD,13472429056,0.0097,138047031,138727008,1480199,1630164,1690761600,1693440000,0.0107,0.0070499997,0.90417,2.19,0.0126,138727008,17.724,4.735387,1664496000,1696032000,1688083200,195567008,1.38,4.38,1.74,0.965,14.45,0.1590941,0.14113986,0.18,1688515200,NYQ,EQUITY,ACM,ACM,AECOM,AECOM,1178803800,America/New_York,EDT,0d8f9808-0295-3b40-88fa-9e3d5de6d587,finmb_701179,-14400000,83.93,105.0,90.0,99.8,100.0,1.6,buy,10,1275630976,9.195,932369984,2937159936,0.956,1.097,13962188800,112.006,100.451,0.042,0.08889,847974000,512928512,726364032,0.13,0.06521,0.06678,0.054569997,USD,1.1863
2,13355 Noel Road,Suite 400,Dallas,TX,75240,United States,972 788 1000,https://aecom.com,Engineering & Construction,Engineering & Construction,Industrials,Industrials,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide. It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered in Dallas, Texas.",50000,"{'maxAge': 1, 'name': 'Mr. Gaurav  Kapoor', 'age': 45, 'title': 'Chief Financial Officer', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1555957, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,3,2,1693526400,1672444800,86400,2,84.0,83.52,83.09,84.48,84.0,83.52,83.09,84.48,0.72,0.0086,1696377600,0.4964,1.298409,60.81884,19.1621,1495558,1495558,682100,735580,735580,83.54,83.56,800,1000,11643358208,66.47,92.16,0.8339207,86.9188,84.87175,0.69,0.008214286,USD,13472429056,0.0097,138047031,138727008,1480199,1630164,1690761600,1693440000,0.0107,0.0070499997,0.90417,2.19,0.0126,138727008,17.724,4.735387,1664496000,1696032000,1688083200,195567008,1.38,4.38,1.74,0.965,14.45,0.1590941,0.14113986,0.18,1688515200,NYQ,EQUITY,ACM,ACM,AECOM,AECOM,1178803800,America/New_York,EDT,0d8f9808-0295-3b40-88fa-9e3d5de6d587,finmb_701179,-14400000,83.93,105.0,90.0,99.8,100.0,1.6,buy,10,1275630976,9.195,932369984,2937159936,0.956,1.097,13962188800,112.006,100.451,0.042,0.08889,847974000,512928512,726364032,0.13,0.06521,0.06678,0.054569997,USD,1.1863
3,13355 Noel Road,Suite 400,Dallas,TX,75240,United States,972 788 1000,https://aecom.com,Engineering & Construction,Engineering & Construction,Industrials,Industrials,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide. It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered in Dallas, Texas.",50000,"{'maxAge': 1, 'name': 'Mr. David Y. Gan', 'age': 49, 'title': 'Exec. VP & Chief Legal Officer', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1226954, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,3,2,1693526400,1672444800,86400,2,84.0,83.52,83.09,84.48,84.0,83.52,83.09,84.48,0.72,0.0086,1696377600,0.4964,1.298409,60.81884,19.1621,1495558,1495558,682100,735580,735580,83.54,83.56,800,1000,11643358208,66.47,92.16,0.8339207,86.9188,84.87175,0.69,0.008214286,USD,13472429056,0.0097,138047031,138727008,1480199,1630164,1690761600,1693440000,0.0107,0.0070499997,0.90417,2.19,0.0126,138727008,17.724,4.735387,1664496000,1696032000,1688083200,195567008,1.38,4.38,1.74,0.965,14.45,0.1590941,0.14113986,0.18,1688515200,NYQ,EQUITY,ACM,ACM,AECOM,AECOM,1178803800,America/New_York,EDT,0d8f9808-0295-3b40-88fa-9e3d5de6d587,finmb_701179,-14400000,83.93,105.0,90.0,99.8,100.0,1.6,buy,10,1275630976,9.195,932369984,2937159936,0.956,1.097,13962188800,112.006,100.451,0.042,0.08889,847974000,512928512,726364032,0.13,0.06521,0.06678,0.054569997,USD,1.1863
4,13355 Noel Road,Suite 400,Dallas,TX,75240,United States,972 788 1000,https://aecom.com,Engineering & Construction,Engineering & Construction,Industrials,Industrials,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide. It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered in Dallas, Texas.",50000,"{'maxAge': 1, 'name': 'Mr. Todd Edward Battley', 'age': 48, 'title': 'Chief Strategy Officer', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 990661, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,3,2,1693526400,1672444800,86400,2,84.0,83.52,83.09,84.48,84.0,83.52,83.09,84.48,0.72,0.0086,1696377600,0.4964,1.298409,60.81884,19.1621,1495558,1495558,682100,735580,735580,83.54,83.56,800,1000,11643358208,66.47,92.16,0.8339207,86.9188,84.87175,0.69,0.008214286,USD,13472429056,0.0097,138047031,138727008,1480199,1630164,1690761600,1693440000,0.0107,0.0070499997,0.90417,2.19,0.0126,138727008,17.724,4.735387,1664496000,1696032000,1688083200,195567008,1.38,4.38,1.74,0.965,14.45,0.1590941,0.14113986,0.18,1688515200,NYQ,EQUITY,ACM,ACM,AECOM,AECOM,1178803800,America/New_York,EDT,0d8f9808-0295-3b40-88fa-9e3d5de6d587,finmb_701179,-14400000,83.93,105.0,90.0,99.8,100.0,1.6,buy,10,1275630976,9.195,932369984,2937159936,0.956,1.097,13962188800,112.006,100.451,0.042,0.08889,847974000,512928512,726364032,0.13,0.06521,0.06678,0.054569997,USD,1.1863
5,13355 Noel Road,Suite 400,Dallas,TX,75240,United States,972 788 1000,https://aecom.com,Engineering & Construction,Engineering & Construction,Industrials,Industrials,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide. It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered in Dallas, Texas.",50000,"{'maxAge': 1, 'name': 'Mr. Giles  Price', 'title': 'Chief Technical Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,3,2,1693526400,1672444800,86400,2,84.0,83.52,83.09,84.48,84.0,83.52,83.09,84.48,0.72,0.0086,1696377600,0.4964,1.298409,60.81884,19.1621,1495558,1495558,682100,735580,735580,83.54,83.56,800,1000,11643358208,66.47,92.16,0.8339207,86.9188,84.87175,0.69,0.008214286,USD,13472429056,0.0097,138047031,138727008,1480199,1630164,1690761600,1693440000,0.0107,0.0070499997,0.90417,2.19,0.0126,138727008,17.724,4.735387,1664496000,1696032000,1688083200,195567008,1.38,4.38,1.74,0.965,14.45,0.1590941,0.14113986,0.18,1688515200,NYQ,EQUITY,ACM,ACM,AECOM,AECOM,1178803800,America/New_York,EDT,0d8f9808-0295-3b40-88fa-9e3d5de6d587,finmb_701179,-14400000,83.93,105.0,90.0,99.8,100.0,1.6,buy,10,1275630976,9.195,932369984,2937159936,0.956,1.097,13962188800,112.006,100.451,0.042,0.08889,847974000,512928512,726364032,0.13,0.06521,0.06678,0.054569997,USD,1.1863
6,13355 Noel Road,Suite 400,Dallas,TX,75240,United States,972 788 1000,https://aecom.com,Engineering & Construction,Engineering & Construction,Industrials,Industrials,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide. It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered in Dallas, Texas.",50000,"{'maxAge': 1, 'name': 'Ms. Sarah  Urbanowicz', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,3,2,1693526400,1672444800,86400,2,84.0,83.52,83.09,84.48,84.0,83.52,83.09,84.48,0.72,0.0086,1696377600,0.4964,1.298409,60.81884,19.1621,1495558,1495558,682100,735580,735580,83.54,83.56,800,1000,11643358208,66.47,92.16,0.8339207,86.9188,84.87175,0.69,0.008214286,USD,13472429056,0.0097,138047031,138727008,1480199,1630164,1690761600,1693440000,0.0107,0.0070499997,0.90417,2.19,0.0126,138727008,17.724,4.735387,1664496000,1696032000,1688083200,195567008,1.38,4.38,1.74,0.965,14.45,0.1590941,0.14113986,0.18,1688515200,NYQ,EQUITY,ACM,ACM,AECOM,AECOM,1178803800,America/New_York,EDT,0d8f9808-0295-3b40-88fa-9e3d5de6d587,finmb_701179,-14400000,83.93,105.0,90.0,99.8,100.0,1.6,buy,10,1275630976,9.195,932369984,2937159936,0.956,1.097,13962188800,112.006,100.451,0.042,0.08889,847974000,512928512,726364032,0.13,0.06521,0.06678,0.054569997,USD,1.1863
7,13355 Noel Road,Suite 400,Dallas,TX,75240,United States,972 788 1000,https://aecom.com,Engineering & Construction,Engineering & Construction,Industrials,Industrials,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide. It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered in Dallas, Texas.",50000,"{'maxAge': 1, 'name': 'Mr. William  Gabrielski', 'title': 'Sr. VP of Fin. & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,3,2,1693526400,1672444800,86400,2,84.0,83.52,83.09,84.48,84.0,83.52,83.09,84.48,0.72,0.0086,1696377600,0.4964,1.298409,60.81884,19.1621,1495558,1495558,682100,735580,735580,83.54,83.56,800,1000,11643358208,66.47,92.16,0.8339207,86.9188,84.87175,0.69,0.008214286,USD,13472429056,0.0097,138047031,138727008,1480199,1630164,1690761600,1693440000,0.0107,0.0070499997,0.90417,2.19,0.0126,138727008,17.724,4.735387,1664496000,1696032000,1688083200,195567008,1.38,4.38,1.74,0.965,14.45,0.1590941,0.14113986,0.18,1688515200,NYQ,EQUITY,ACM,ACM,AECOM,AECOM,1178803800,America/New_York,EDT,0d8f9808-0295-3b40-88fa-9e3d5de6d587,finmb_701179,-14400000,83.93,105.0,90.0,99.8,100.0,1.6,buy,10,1275630976,9.195,932369984,2937159936,0.956,1.097,13962188800,112.006,100.451,0.042,0.08889,847974000,512928512,726364032,0.13,0.06521,0.06678,0.054569997,USD,1.1863
8,13355 Noel Road,Suite 400,Dallas,TX,75240,United States,972 788 1000,https://aecom.com,Engineering & Construction,Engineering & Construction,Industrials,Industrials,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide. It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered in Dallas, Texas.",50000,"{'maxAge': 1, 'name': 'Mr. Brendan  Ranson-Walsh', 'title': 'VP of Global Communications & Corp. Responsibility', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,3,2,1693526400,1672444800,86400,2,84.0,83.52,83.09,84.48,84.0,83.52,83.09,84.48,0.72,0.0086,1696377600,0.4964,1.298409,60.81884,19.1621,1495558,1495558,682100,735580,735580,83.54,83.56,800,1000,11643358208,66.47,92.16,0.8339207,86.9188,84.87175,0.69,0.008214286,USD,13472429056,0.0097,138047031,138727008,1480199,1630164,1690761600,1693440000,0.0107,0.0070499997,0.90417,2.19,0.0126,138727008,17.724,4.735387,1664496000,1696032000,1688083200,195567008,1.38,4.38,1.74,0.965,14.45,0.1590941,0.14113986,0.18,1688515200,NYQ,EQUITY,ACM,ACM,AECOM,AECOM,1178803800,America/New_York,EDT,0d8f9808-0295-3b40-88fa-9e3d5de6d587,finmb_701179,-14400000,83.93,105.0,90.0,99.8,100.0,1.6,buy,10,1275630976,9.195,932369984,2937159936,0.956,1.097,13962188800,112.006,100.451,0.042,0.08889,847974000,512928512,726364032,0.13,0.06521,0.06678,0.054569997,USD,1.1863
9,13355 Noel Road,Suite 400,Dallas,TX,75240,United States,972 788 1000,https://aecom.com,Engineering & Construction,Engineering & Construction,Industrials,Industrials,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide. It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered in Dallas, Texas.",50000,"{'maxAge': 1, 'name': 'Ms. Shirley A. Adams', 'age': 62, 'title': 'Chief HR Officer', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,3,2,1693526400,1672444800,86400,2,84.0,83.52,83.09,84.48,84.0,83.52,83.09,84.48,0.72,0.0086,1696377600,0.4964,1.298409,60.81884,19.1621,1495558,1495558,682100,735580,735580,83.54,83.56,800,1000,11643358208,66.47,92.16,0.8339207,86.9188,84.87175,0.69,0.008214286,USD,13472429056,0.0097,138047031,138727008,1480199,1630164,1690761600,1693440000,0.0107,0.0070499997,0.90417,2.19,0.0126,138727008,17.724,4.735387,1664496000,1696032000,1688083200,195567008,1.38,4.38,1.74,0.965,14.45,0.1590941,0.14113986,0.18,1688515200,NYQ,EQUITY,ACM,ACM,AECOM,AECOM,1178803800,America/New_York,EDT,0d8f9808-0295-3b40-88fa-9e3d5de6d587,finmb_701179,-14400000,83.93,105.0,90.0,99.8,100.0,1.6,buy,10,1275630976,9.195,932369984,2937159936,0.956,1.097,13962188800,112.006,100.451,0.042,0.08889,847974000,512928512,726364032,0.13,0.06521,0.06678,0.054569997,USD,1.1863
