,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,100 Centerview Drive,Suite 300,Nashville,TN,37214,United States,615 320 9800,https://www.hireright.com,Staffing & Employment Services,Staffing & Employment Services,Industrials,Industrials,"HireRight Holdings Corporation provides technology-driven workforce risk management and compliance solutions worldwide. The company offers background screening, verification, identification, monitoring, and drug and health screening services for customers. It provides its services through software and data platform that integrates into its customers' human capital management systems enabling workflows for workforce hiring, onboarding, and monitoring. HireRight Holdings Corporation was incorporated in 1990 and is based in Nashville, Tennessee.",3078,"{'maxAge': 1, 'name': 'Mr. Guy P. Abramo', 'age': 60, 'title': 'CEO, Pres & Director', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1349402, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,7,7,1693526400,1672444800,86400,2,10.13,10.12,9.5,10.12,10.13,10.12,9.5,10.12,0.0,6.3642383,7.2803025,565191,565191,281180,277280,277280,3.88,9.67,1000,1100,669770880,6.876,16.99,0.8891913,10.4522,10.9,0.0,0.0,USD,1330656896,0.13696,11700423,69695200,1254054,1575907,1690761600,1693440000,0.018,0.09939,0.9277,4.82,0.1237,69695200,6.916,1.3895315,1672444800,1703980800,1688083200,-0.897,103165000,1.51,1.32,2.45,1.767,9.572,-0.40347612,0.14113986,NYQ,EQUITY,HRT,HRT,HireRight Holdings Corporation,HireRight Holdings Corporation,1635514200,America/New_York,EDT,46344379-7f63-3b8b-841e-f04e88a89c0c,finmb_1684484084,-14400000,9.61,15.0,10.0,12.16,12.0,2.4,buy,9,77492000,1.112,139014000,702137024,1.528,1.661,753235968,144.354,9.757,0.027,0.21384001,370928000,133038128,84434000,-0.903,-0.136,0.46846,0.18456,0.0876,USD,
1,100 Centerview Drive,Suite 300,Nashville,TN,37214,United States,615 320 9800,https://www.hireright.com,Staffing & Employment Services,Staffing & Employment Services,Industrials,Industrials,"HireRight Holdings Corporation provides technology-driven workforce risk management and compliance solutions worldwide. The company offers background screening, verification, identification, monitoring, and drug and health screening services for customers. It provides its services through software and data platform that integrates into its customers' human capital management systems enabling workflows for workforce hiring, onboarding, and monitoring. HireRight Holdings Corporation was incorporated in 1990 and is based in Nashville, Tennessee.",3078,"{'maxAge': 1, 'name': 'Mr. Thomas M. Spaeth', 'age': 55, 'title': 'Chief Financial Officer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 800700, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,7,7,1693526400,1672444800,86400,2,10.13,10.12,9.5,10.12,10.13,10.12,9.5,10.12,0.0,6.3642383,7.2803025,565191,565191,281180,277280,277280,3.88,9.67,1000,1100,669770880,6.876,16.99,0.8891913,10.4522,10.9,0.0,0.0,USD,1330656896,0.13696,11700423,69695200,1254054,1575907,1690761600,1693440000,0.018,0.09939,0.9277,4.82,0.1237,69695200,6.916,1.3895315,1672444800,1703980800,1688083200,-0.897,103165000,1.51,1.32,2.45,1.767,9.572,-0.40347612,0.14113986,NYQ,EQUITY,HRT,HRT,HireRight Holdings Corporation,HireRight Holdings Corporation,1635514200,America/New_York,EDT,46344379-7f63-3b8b-841e-f04e88a89c0c,finmb_1684484084,-14400000,9.61,15.0,10.0,12.16,12.0,2.4,buy,9,77492000,1.112,139014000,702137024,1.528,1.661,753235968,144.354,9.757,0.027,0.21384001,370928000,133038128,84434000,-0.903,-0.136,0.46846,0.18456,0.0876,USD,
2,100 Centerview Drive,Suite 300,Nashville,TN,37214,United States,615 320 9800,https://www.hireright.com,Staffing & Employment Services,Staffing & Employment Services,Industrials,Industrials,"HireRight Holdings Corporation provides technology-driven workforce risk management and compliance solutions worldwide. The company offers background screening, verification, identification, monitoring, and drug and health screening services for customers. It provides its services through software and data platform that integrates into its customers' human capital management systems enabling workflows for workforce hiring, onboarding, and monitoring. HireRight Holdings Corporation was incorporated in 1990 and is based in Nashville, Tennessee.",3078,"{'maxAge': 1, 'name': 'Mike  Ensor', 'title': 'Head of Global Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,7,7,1693526400,1672444800,86400,2,10.13,10.12,9.5,10.12,10.13,10.12,9.5,10.12,0.0,6.3642383,7.2803025,565191,565191,281180,277280,277280,3.88,9.67,1000,1100,669770880,6.876,16.99,0.8891913,10.4522,10.9,0.0,0.0,USD,1330656896,0.13696,11700423,69695200,1254054,1575907,1690761600,1693440000,0.018,0.09939,0.9277,4.82,0.1237,69695200,6.916,1.3895315,1672444800,1703980800,1688083200,-0.897,103165000,1.51,1.32,2.45,1.767,9.572,-0.40347612,0.14113986,NYQ,EQUITY,HRT,HRT,HireRight Holdings Corporation,HireRight Holdings Corporation,1635514200,America/New_York,EDT,46344379-7f63-3b8b-841e-f04e88a89c0c,finmb_1684484084,-14400000,9.61,15.0,10.0,12.16,12.0,2.4,buy,9,77492000,1.112,139014000,702137024,1.528,1.661,753235968,144.354,9.757,0.027,0.21384001,370928000,133038128,84434000,-0.903,-0.136,0.46846,0.18456,0.0876,USD,
3,100 Centerview Drive,Suite 300,Nashville,TN,37214,United States,615 320 9800,https://www.hireright.com,Staffing & Employment Services,Staffing & Employment Services,Industrials,Industrials,"HireRight Holdings Corporation provides technology-driven workforce risk management and compliance solutions worldwide. The company offers background screening, verification, identification, monitoring, and drug and health screening services for customers. It provides its services through software and data platform that integrates into its customers' human capital management systems enabling workflows for workforce hiring, onboarding, and monitoring. HireRight Holdings Corporation was incorporated in 1990 and is based in Nashville, Tennessee.",3078,"{'maxAge': 1, 'name': 'Ms. Laurie J. Blanton', 'age': 68, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,7,7,1693526400,1672444800,86400,2,10.13,10.12,9.5,10.12,10.13,10.12,9.5,10.12,0.0,6.3642383,7.2803025,565191,565191,281180,277280,277280,3.88,9.67,1000,1100,669770880,6.876,16.99,0.8891913,10.4522,10.9,0.0,0.0,USD,1330656896,0.13696,11700423,69695200,1254054,1575907,1690761600,1693440000,0.018,0.09939,0.9277,4.82,0.1237,69695200,6.916,1.3895315,1672444800,1703980800,1688083200,-0.897,103165000,1.51,1.32,2.45,1.767,9.572,-0.40347612,0.14113986,NYQ,EQUITY,HRT,HRT,HireRight Holdings Corporation,HireRight Holdings Corporation,1635514200,America/New_York,EDT,46344379-7f63-3b8b-841e-f04e88a89c0c,finmb_1684484084,-14400000,9.61,15.0,10.0,12.16,12.0,2.4,buy,9,77492000,1.112,139014000,702137024,1.528,1.661,753235968,144.354,9.757,0.027,0.21384001,370928000,133038128,84434000,-0.903,-0.136,0.46846,0.18456,0.0876,USD,
4,100 Centerview Drive,Suite 300,Nashville,TN,37214,United States,615 320 9800,https://www.hireright.com,Staffing & Employment Services,Staffing & Employment Services,Industrials,Industrials,"HireRight Holdings Corporation provides technology-driven workforce risk management and compliance solutions worldwide. The company offers background screening, verification, identification, monitoring, and drug and health screening services for customers. It provides its services through software and data platform that integrates into its customers' human capital management systems enabling workflows for workforce hiring, onboarding, and monitoring. HireRight Holdings Corporation was incorporated in 1990 and is based in Nashville, Tennessee.",3078,"{'maxAge': 1, 'name': 'Mr. Brian W. Copple', 'age': 61, 'title': 'Gen. Counsel & Sec.', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,7,7,1693526400,1672444800,86400,2,10.13,10.12,9.5,10.12,10.13,10.12,9.5,10.12,0.0,6.3642383,7.2803025,565191,565191,281180,277280,277280,3.88,9.67,1000,1100,669770880,6.876,16.99,0.8891913,10.4522,10.9,0.0,0.0,USD,1330656896,0.13696,11700423,69695200,1254054,1575907,1690761600,1693440000,0.018,0.09939,0.9277,4.82,0.1237,69695200,6.916,1.3895315,1672444800,1703980800,1688083200,-0.897,103165000,1.51,1.32,2.45,1.767,9.572,-0.40347612,0.14113986,NYQ,EQUITY,HRT,HRT,HireRight Holdings Corporation,HireRight Holdings Corporation,1635514200,America/New_York,EDT,46344379-7f63-3b8b-841e-f04e88a89c0c,finmb_1684484084,-14400000,9.61,15.0,10.0,12.16,12.0,2.4,buy,9,77492000,1.112,139014000,702137024,1.528,1.661,753235968,144.354,9.757,0.027,0.21384001,370928000,133038128,84434000,-0.903,-0.136,0.46846,0.18456,0.0876,USD,
5,100 Centerview Drive,Suite 300,Nashville,TN,37214,United States,615 320 9800,https://www.hireright.com,Staffing & Employment Services,Staffing & Employment Services,Industrials,Industrials,"HireRight Holdings Corporation provides technology-driven workforce risk management and compliance solutions worldwide. The company offers background screening, verification, identification, monitoring, and drug and health screening services for customers. It provides its services through software and data platform that integrates into its customers' human capital management systems enabling workflows for workforce hiring, onboarding, and monitoring. HireRight Holdings Corporation was incorporated in 1990 and is based in Nashville, Tennessee.",3078,"{'maxAge': 1, 'name': 'Ms. Ann  Losiewski', 'title': 'Head of Global Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,7,7,1693526400,1672444800,86400,2,10.13,10.12,9.5,10.12,10.13,10.12,9.5,10.12,0.0,6.3642383,7.2803025,565191,565191,281180,277280,277280,3.88,9.67,1000,1100,669770880,6.876,16.99,0.8891913,10.4522,10.9,0.0,0.0,USD,1330656896,0.13696,11700423,69695200,1254054,1575907,1690761600,1693440000,0.018,0.09939,0.9277,4.82,0.1237,69695200,6.916,1.3895315,1672444800,1703980800,1688083200,-0.897,103165000,1.51,1.32,2.45,1.767,9.572,-0.40347612,0.14113986,NYQ,EQUITY,HRT,HRT,HireRight Holdings Corporation,HireRight Holdings Corporation,1635514200,America/New_York,EDT,46344379-7f63-3b8b-841e-f04e88a89c0c,finmb_1684484084,-14400000,9.61,15.0,10.0,12.16,12.0,2.4,buy,9,77492000,1.112,139014000,702137024,1.528,1.661,753235968,144.354,9.757,0.027,0.21384001,370928000,133038128,84434000,-0.903,-0.136,0.46846,0.18456,0.0876,USD,
6,100 Centerview Drive,Suite 300,Nashville,TN,37214,United States,615 320 9800,https://www.hireright.com,Staffing & Employment Services,Staffing & Employment Services,Industrials,Industrials,"HireRight Holdings Corporation provides technology-driven workforce risk management and compliance solutions worldwide. The company offers background screening, verification, identification, monitoring, and drug and health screening services for customers. It provides its services through software and data platform that integrates into its customers' human capital management systems enabling workflows for workforce hiring, onboarding, and monitoring. HireRight Holdings Corporation was incorporated in 1990 and is based in Nashville, Tennessee.",3078,"{'maxAge': 1, 'name': 'Ms. Julie  Romero', 'age': 47, 'title': 'Chief HR Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,7,7,1693526400,1672444800,86400,2,10.13,10.12,9.5,10.12,10.13,10.12,9.5,10.12,0.0,6.3642383,7.2803025,565191,565191,281180,277280,277280,3.88,9.67,1000,1100,669770880,6.876,16.99,0.8891913,10.4522,10.9,0.0,0.0,USD,1330656896,0.13696,11700423,69695200,1254054,1575907,1690761600,1693440000,0.018,0.09939,0.9277,4.82,0.1237,69695200,6.916,1.3895315,1672444800,1703980800,1688083200,-0.897,103165000,1.51,1.32,2.45,1.767,9.572,-0.40347612,0.14113986,NYQ,EQUITY,HRT,HRT,HireRight Holdings Corporation,HireRight Holdings Corporation,1635514200,America/New_York,EDT,46344379-7f63-3b8b-841e-f04e88a89c0c,finmb_1684484084,-14400000,9.61,15.0,10.0,12.16,12.0,2.4,buy,9,77492000,1.112,139014000,702137024,1.528,1.661,753235968,144.354,9.757,0.027,0.21384001,370928000,133038128,84434000,-0.903,-0.136,0.46846,0.18456,0.0876,USD,
7,100 Centerview Drive,Suite 300,Nashville,TN,37214,United States,615 320 9800,https://www.hireright.com,Staffing & Employment Services,Staffing & Employment Services,Industrials,Industrials,"HireRight Holdings Corporation provides technology-driven workforce risk management and compliance solutions worldwide. The company offers background screening, verification, identification, monitoring, and drug and health screening services for customers. It provides its services through software and data platform that integrates into its customers' human capital management systems enabling workflows for workforce hiring, onboarding, and monitoring. HireRight Holdings Corporation was incorporated in 1990 and is based in Nashville, Tennessee.",3078,"{'maxAge': 1, 'name': 'Mr. Stephen R. Girdler', 'age': 58, 'title': 'Global Managing Director', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,7,7,1693526400,1672444800,86400,2,10.13,10.12,9.5,10.12,10.13,10.12,9.5,10.12,0.0,6.3642383,7.2803025,565191,565191,281180,277280,277280,3.88,9.67,1000,1100,669770880,6.876,16.99,0.8891913,10.4522,10.9,0.0,0.0,USD,1330656896,0.13696,11700423,69695200,1254054,1575907,1690761600,1693440000,0.018,0.09939,0.9277,4.82,0.1237,69695200,6.916,1.3895315,1672444800,1703980800,1688083200,-0.897,103165000,1.51,1.32,2.45,1.767,9.572,-0.40347612,0.14113986,NYQ,EQUITY,HRT,HRT,HireRight Holdings Corporation,HireRight Holdings Corporation,1635514200,America/New_York,EDT,46344379-7f63-3b8b-841e-f04e88a89c0c,finmb_1684484084,-14400000,9.61,15.0,10.0,12.16,12.0,2.4,buy,9,77492000,1.112,139014000,702137024,1.528,1.661,753235968,144.354,9.757,0.027,0.21384001,370928000,133038128,84434000,-0.903,-0.136,0.46846,0.18456,0.0876,USD,
8,100 Centerview Drive,Suite 300,Nashville,TN,37214,United States,615 320 9800,https://www.hireright.com,Staffing & Employment Services,Staffing & Employment Services,Industrials,Industrials,"HireRight Holdings Corporation provides technology-driven workforce risk management and compliance solutions worldwide. The company offers background screening, verification, identification, monitoring, and drug and health screening services for customers. It provides its services through software and data platform that integrates into its customers' human capital management systems enabling workflows for workforce hiring, onboarding, and monitoring. HireRight Holdings Corporation was incorporated in 1990 and is based in Nashville, Tennessee.",3078,"{'maxAge': 1, 'name': 'Ms. Jill  Boardman', 'title': 'Sr. VP of Revenue Operations & Enablement', 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,7,7,1693526400,1672444800,86400,2,10.13,10.12,9.5,10.12,10.13,10.12,9.5,10.12,0.0,6.3642383,7.2803025,565191,565191,281180,277280,277280,3.88,9.67,1000,1100,669770880,6.876,16.99,0.8891913,10.4522,10.9,0.0,0.0,USD,1330656896,0.13696,11700423,69695200,1254054,1575907,1690761600,1693440000,0.018,0.09939,0.9277,4.82,0.1237,69695200,6.916,1.3895315,1672444800,1703980800,1688083200,-0.897,103165000,1.51,1.32,2.45,1.767,9.572,-0.40347612,0.14113986,NYQ,EQUITY,HRT,HRT,HireRight Holdings Corporation,HireRight Holdings Corporation,1635514200,America/New_York,EDT,46344379-7f63-3b8b-841e-f04e88a89c0c,finmb_1684484084,-14400000,9.61,15.0,10.0,12.16,12.0,2.4,buy,9,77492000,1.112,139014000,702137024,1.528,1.661,753235968,144.354,9.757,0.027,0.21384001,370928000,133038128,84434000,-0.903,-0.136,0.46846,0.18456,0.0876,USD,
9,100 Centerview Drive,Suite 300,Nashville,TN,37214,United States,615 320 9800,https://www.hireright.com,Staffing & Employment Services,Staffing & Employment Services,Industrials,Industrials,"HireRight Holdings Corporation provides technology-driven workforce risk management and compliance solutions worldwide. The company offers background screening, verification, identification, monitoring, and drug and health screening services for customers. It provides its services through software and data platform that integrates into its customers' human capital management systems enabling workflows for workforce hiring, onboarding, and monitoring. HireRight Holdings Corporation was incorporated in 1990 and is based in Nashville, Tennessee.",3078,"{'maxAge': 1, 'name': 'Mr. Jim  Daxner', 'title': 'Chief Digital Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,7,7,1693526400,1672444800,86400,2,10.13,10.12,9.5,10.12,10.13,10.12,9.5,10.12,0.0,6.3642383,7.2803025,565191,565191,281180,277280,277280,3.88,9.67,1000,1100,669770880,6.876,16.99,0.8891913,10.4522,10.9,0.0,0.0,USD,1330656896,0.13696,11700423,69695200,1254054,1575907,1690761600,1693440000,0.018,0.09939,0.9277,4.82,0.1237,69695200,6.916,1.3895315,1672444800,1703980800,1688083200,-0.897,103165000,1.51,1.32,2.45,1.767,9.572,-0.40347612,0.14113986,NYQ,EQUITY,HRT,HRT,HireRight Holdings Corporation,HireRight Holdings Corporation,1635514200,America/New_York,EDT,46344379-7f63-3b8b-841e-f04e88a89c0c,finmb_1684484084,-14400000,9.61,15.0,10.0,12.16,12.0,2.4,buy,9,77492000,1.112,139014000,702137024,1.528,1.661,753235968,144.354,9.757,0.027,0.21384001,370928000,133038128,84434000,-0.903,-0.136,0.46846,0.18456,0.0876,USD,
