,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3190,United States,516 466 3100,516 466 3132,https://www.brtapartments.com,REIT—Residential,Real Estate,"BRT is a real estate investment trust that owns, operates and, to a lesser extent, holds interests in joint ventures that own multi-family properties. As of June 30, 2023, BRT owns or has interests in 28 multi-family properties with 7,707 units in 11 states.",10,"{'maxAge': 1, 'name': 'Mr. Israel  Rosenzweig', 'age': 75, 'title': 'Exec. Chairman', 'yearBorn': 1947, 'fiscalYear': 2022, 'totalPay': 282225, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,3,6,6,1693526400,1672444800,86400,2,18.47,18.36,18.36,18.59,18.47,18.36,18.36,18.59,1.0,0.0541,1687478400,2.0,5.51,1.106154,36.98,-47.41026,59313,59313,46650,45270,45270,17.88,18.8,1000,800,348728800,16.43,22.69,6.3254576,19.0852,19.4269,1.0,0.054141853,USD,797947200,0.18037,12751733,18860400,120190,114514,1690761600,1693440000,0.0064,0.2029,0.48224,3.12,0.0104,13.022,1.4199047,1672444800,1703980800,1688083200,-0.685,9477000,0.5,-0.39,1:3,525312000,14.474,5284.419,NYQ,EQUITY,BRT,BRT,BRT Apartments Corp. (MD),BRT Apartments Corp.,105283800,America/New_York,EDT,-14400000,18.49,25.0,22.0,23.5,23.5,2.0,buy,2,31336000,1.582,151000,462910016,1.636,1.68,55131000,188.369,3.056,-0.02963,0.04077,41864000,8323875,19106000,-0.696,-0.296,0.26649,0.00274,-0.57311,USD,
1,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3190,United States,516 466 3100,516 466 3132,https://www.brtapartments.com,REIT—Residential,Real Estate,"BRT is a real estate investment trust that owns, operates and, to a lesser extent, holds interests in joint ventures that own multi-family properties. As of June 30, 2023, BRT owns or has interests in 28 multi-family properties with 7,707 units in 11 states.",10,"{'maxAge': 1, 'name': 'Mr. Jeffrey Alan Gould', 'age': 56, 'title': 'Pres, CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1251605, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,3,6,6,1693526400,1672444800,86400,2,18.47,18.36,18.36,18.59,18.47,18.36,18.36,18.59,1.0,0.0541,1687478400,2.0,5.51,1.106154,36.98,-47.41026,59313,59313,46650,45270,45270,17.88,18.8,1000,800,348728800,16.43,22.69,6.3254576,19.0852,19.4269,1.0,0.054141853,USD,797947200,0.18037,12751733,18860400,120190,114514,1690761600,1693440000,0.0064,0.2029,0.48224,3.12,0.0104,13.022,1.4199047,1672444800,1703980800,1688083200,-0.685,9477000,0.5,-0.39,1:3,525312000,14.474,5284.419,NYQ,EQUITY,BRT,BRT,BRT Apartments Corp. (MD),BRT Apartments Corp.,105283800,America/New_York,EDT,-14400000,18.49,25.0,22.0,23.5,23.5,2.0,buy,2,31336000,1.582,151000,462910016,1.636,1.68,55131000,188.369,3.056,-0.02963,0.04077,41864000,8323875,19106000,-0.696,-0.296,0.26649,0.00274,-0.57311,USD,
2,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3190,United States,516 466 3100,516 466 3132,https://www.brtapartments.com,REIT—Residential,Real Estate,"BRT is a real estate investment trust that owns, operates and, to a lesser extent, holds interests in joint ventures that own multi-family properties. As of June 30, 2023, BRT owns or has interests in 28 multi-family properties with 7,707 units in 11 states.",10,"{'maxAge': 1, 'name': 'Mr. George E. Zweier', 'age': 58, 'title': 'VP & CFO', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 433441, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,3,6,6,1693526400,1672444800,86400,2,18.47,18.36,18.36,18.59,18.47,18.36,18.36,18.59,1.0,0.0541,1687478400,2.0,5.51,1.106154,36.98,-47.41026,59313,59313,46650,45270,45270,17.88,18.8,1000,800,348728800,16.43,22.69,6.3254576,19.0852,19.4269,1.0,0.054141853,USD,797947200,0.18037,12751733,18860400,120190,114514,1690761600,1693440000,0.0064,0.2029,0.48224,3.12,0.0104,13.022,1.4199047,1672444800,1703980800,1688083200,-0.685,9477000,0.5,-0.39,1:3,525312000,14.474,5284.419,NYQ,EQUITY,BRT,BRT,BRT Apartments Corp. (MD),BRT Apartments Corp.,105283800,America/New_York,EDT,-14400000,18.49,25.0,22.0,23.5,23.5,2.0,buy,2,31336000,1.582,151000,462910016,1.636,1.68,55131000,188.369,3.056,-0.02963,0.04077,41864000,8323875,19106000,-0.696,-0.296,0.26649,0.00274,-0.57311,USD,
3,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3190,United States,516 466 3100,516 466 3132,https://www.brtapartments.com,REIT—Residential,Real Estate,"BRT is a real estate investment trust that owns, operates and, to a lesser extent, holds interests in joint ventures that own multi-family properties. As of June 30, 2023, BRT owns or has interests in 28 multi-family properties with 7,707 units in 11 states.",10,"{'maxAge': 1, 'name': 'Mr. David W. Kalish', 'age': 75, 'title': 'Sr. VP of Fin.', 'yearBorn': 1947, 'fiscalYear': 2022, 'totalPay': 511253, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,3,6,6,1693526400,1672444800,86400,2,18.47,18.36,18.36,18.59,18.47,18.36,18.36,18.59,1.0,0.0541,1687478400,2.0,5.51,1.106154,36.98,-47.41026,59313,59313,46650,45270,45270,17.88,18.8,1000,800,348728800,16.43,22.69,6.3254576,19.0852,19.4269,1.0,0.054141853,USD,797947200,0.18037,12751733,18860400,120190,114514,1690761600,1693440000,0.0064,0.2029,0.48224,3.12,0.0104,13.022,1.4199047,1672444800,1703980800,1688083200,-0.685,9477000,0.5,-0.39,1:3,525312000,14.474,5284.419,NYQ,EQUITY,BRT,BRT,BRT Apartments Corp. (MD),BRT Apartments Corp.,105283800,America/New_York,EDT,-14400000,18.49,25.0,22.0,23.5,23.5,2.0,buy,2,31336000,1.582,151000,462910016,1.636,1.68,55131000,188.369,3.056,-0.02963,0.04077,41864000,8323875,19106000,-0.696,-0.296,0.26649,0.00274,-0.57311,USD,
4,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3190,United States,516 466 3100,516 466 3132,https://www.brtapartments.com,REIT—Residential,Real Estate,"BRT is a real estate investment trust that owns, operates and, to a lesser extent, holds interests in joint ventures that own multi-family properties. As of June 30, 2023, BRT owns or has interests in 28 multi-family properties with 7,707 units in 11 states.",10,"{'maxAge': 1, 'name': 'Mr. Matthew J. Gould J.D.', 'age': 62, 'title': 'Sr. VP & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 255256, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,3,6,6,1693526400,1672444800,86400,2,18.47,18.36,18.36,18.59,18.47,18.36,18.36,18.59,1.0,0.0541,1687478400,2.0,5.51,1.106154,36.98,-47.41026,59313,59313,46650,45270,45270,17.88,18.8,1000,800,348728800,16.43,22.69,6.3254576,19.0852,19.4269,1.0,0.054141853,USD,797947200,0.18037,12751733,18860400,120190,114514,1690761600,1693440000,0.0064,0.2029,0.48224,3.12,0.0104,13.022,1.4199047,1672444800,1703980800,1688083200,-0.685,9477000,0.5,-0.39,1:3,525312000,14.474,5284.419,NYQ,EQUITY,BRT,BRT,BRT Apartments Corp. (MD),BRT Apartments Corp.,105283800,America/New_York,EDT,-14400000,18.49,25.0,22.0,23.5,23.5,2.0,buy,2,31336000,1.582,151000,462910016,1.636,1.68,55131000,188.369,3.056,-0.02963,0.04077,41864000,8323875,19106000,-0.696,-0.296,0.26649,0.00274,-0.57311,USD,
5,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3190,United States,516 466 3100,516 466 3132,https://www.brtapartments.com,REIT—Residential,Real Estate,"BRT is a real estate investment trust that owns, operates and, to a lesser extent, holds interests in joint ventures that own multi-family properties. As of June 30, 2023, BRT owns or has interests in 28 multi-family properties with 7,707 units in 11 states.",10,"{'maxAge': 1, 'name': 'Mr. Mitchell K. Gould', 'age': 50, 'title': 'Exec. VP', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 638226, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,3,6,6,1693526400,1672444800,86400,2,18.47,18.36,18.36,18.59,18.47,18.36,18.36,18.59,1.0,0.0541,1687478400,2.0,5.51,1.106154,36.98,-47.41026,59313,59313,46650,45270,45270,17.88,18.8,1000,800,348728800,16.43,22.69,6.3254576,19.0852,19.4269,1.0,0.054141853,USD,797947200,0.18037,12751733,18860400,120190,114514,1690761600,1693440000,0.0064,0.2029,0.48224,3.12,0.0104,13.022,1.4199047,1672444800,1703980800,1688083200,-0.685,9477000,0.5,-0.39,1:3,525312000,14.474,5284.419,NYQ,EQUITY,BRT,BRT,BRT Apartments Corp. (MD),BRT Apartments Corp.,105283800,America/New_York,EDT,-14400000,18.49,25.0,22.0,23.5,23.5,2.0,buy,2,31336000,1.582,151000,462910016,1.636,1.68,55131000,188.369,3.056,-0.02963,0.04077,41864000,8323875,19106000,-0.696,-0.296,0.26649,0.00274,-0.57311,USD,
6,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3190,United States,516 466 3100,516 466 3132,https://www.brtapartments.com,REIT—Residential,Real Estate,"BRT is a real estate investment trust that owns, operates and, to a lesser extent, holds interests in joint ventures that own multi-family properties. As of June 30, 2023, BRT owns or has interests in 28 multi-family properties with 7,707 units in 11 states.",10,"{'maxAge': 1, 'name': 'Mr. Ryan  Baltimore', 'age': 30, 'title': 'Chief Operating Officer', 'yearBorn': 1992, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,3,6,6,1693526400,1672444800,86400,2,18.47,18.36,18.36,18.59,18.47,18.36,18.36,18.59,1.0,0.0541,1687478400,2.0,5.51,1.106154,36.98,-47.41026,59313,59313,46650,45270,45270,17.88,18.8,1000,800,348728800,16.43,22.69,6.3254576,19.0852,19.4269,1.0,0.054141853,USD,797947200,0.18037,12751733,18860400,120190,114514,1690761600,1693440000,0.0064,0.2029,0.48224,3.12,0.0104,13.022,1.4199047,1672444800,1703980800,1688083200,-0.685,9477000,0.5,-0.39,1:3,525312000,14.474,5284.419,NYQ,EQUITY,BRT,BRT,BRT Apartments Corp. (MD),BRT Apartments Corp.,105283800,America/New_York,EDT,-14400000,18.49,25.0,22.0,23.5,23.5,2.0,buy,2,31336000,1.582,151000,462910016,1.636,1.68,55131000,188.369,3.056,-0.02963,0.04077,41864000,8323875,19106000,-0.696,-0.296,0.26649,0.00274,-0.57311,USD,
7,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3190,United States,516 466 3100,516 466 3132,https://www.brtapartments.com,REIT—Residential,Real Estate,"BRT is a real estate investment trust that owns, operates and, to a lesser extent, holds interests in joint ventures that own multi-family properties. As of June 30, 2023, BRT owns or has interests in 28 multi-family properties with 7,707 units in 11 states.",10,"{'maxAge': 1, 'name': 'Mr. Mark H. Lundy J.D.', 'age': 60, 'title': 'Sr. VP & Counsel', 'yearBorn': 1962, 'fiscalYear': 2011, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,3,6,6,1693526400,1672444800,86400,2,18.47,18.36,18.36,18.59,18.47,18.36,18.36,18.59,1.0,0.0541,1687478400,2.0,5.51,1.106154,36.98,-47.41026,59313,59313,46650,45270,45270,17.88,18.8,1000,800,348728800,16.43,22.69,6.3254576,19.0852,19.4269,1.0,0.054141853,USD,797947200,0.18037,12751733,18860400,120190,114514,1690761600,1693440000,0.0064,0.2029,0.48224,3.12,0.0104,13.022,1.4199047,1672444800,1703980800,1688083200,-0.685,9477000,0.5,-0.39,1:3,525312000,14.474,5284.419,NYQ,EQUITY,BRT,BRT,BRT Apartments Corp. (MD),BRT Apartments Corp.,105283800,America/New_York,EDT,-14400000,18.49,25.0,22.0,23.5,23.5,2.0,buy,2,31336000,1.582,151000,462910016,1.636,1.68,55131000,188.369,3.056,-0.02963,0.04077,41864000,8323875,19106000,-0.696,-0.296,0.26649,0.00274,-0.57311,USD,
8,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3190,United States,516 466 3100,516 466 3132,https://www.brtapartments.com,REIT—Residential,Real Estate,"BRT is a real estate investment trust that owns, operates and, to a lesser extent, holds interests in joint ventures that own multi-family properties. As of June 30, 2023, BRT owns or has interests in 28 multi-family properties with 7,707 units in 11 states.",10,"{'maxAge': 1, 'name': 'Mr. Steven Israel Rosenzweig', 'age': 47, 'title': 'Sr. VP of Legal', 'yearBorn': 1975, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,3,6,6,1693526400,1672444800,86400,2,18.47,18.36,18.36,18.59,18.47,18.36,18.36,18.59,1.0,0.0541,1687478400,2.0,5.51,1.106154,36.98,-47.41026,59313,59313,46650,45270,45270,17.88,18.8,1000,800,348728800,16.43,22.69,6.3254576,19.0852,19.4269,1.0,0.054141853,USD,797947200,0.18037,12751733,18860400,120190,114514,1690761600,1693440000,0.0064,0.2029,0.48224,3.12,0.0104,13.022,1.4199047,1672444800,1703980800,1688083200,-0.685,9477000,0.5,-0.39,1:3,525312000,14.474,5284.419,NYQ,EQUITY,BRT,BRT,BRT Apartments Corp. (MD),BRT Apartments Corp.,105283800,America/New_York,EDT,-14400000,18.49,25.0,22.0,23.5,23.5,2.0,buy,2,31336000,1.582,151000,462910016,1.636,1.68,55131000,188.369,3.056,-0.02963,0.04077,41864000,8323875,19106000,-0.696,-0.296,0.26649,0.00274,-0.57311,USD,
9,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3190,United States,516 466 3100,516 466 3132,https://www.brtapartments.com,REIT—Residential,Real Estate,"BRT is a real estate investment trust that owns, operates and, to a lesser extent, holds interests in joint ventures that own multi-family properties. As of June 30, 2023, BRT owns or has interests in 28 multi-family properties with 7,707 units in 11 states.",10,"{'maxAge': 1, 'name': 'Mr. Isaac David Kalish', 'age': 47, 'title': 'Sr. VP & Treasurer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,3,6,6,1693526400,1672444800,86400,2,18.47,18.36,18.36,18.59,18.47,18.36,18.36,18.59,1.0,0.0541,1687478400,2.0,5.51,1.106154,36.98,-47.41026,59313,59313,46650,45270,45270,17.88,18.8,1000,800,348728800,16.43,22.69,6.3254576,19.0852,19.4269,1.0,0.054141853,USD,797947200,0.18037,12751733,18860400,120190,114514,1690761600,1693440000,0.0064,0.2029,0.48224,3.12,0.0104,13.022,1.4199047,1672444800,1703980800,1688083200,-0.685,9477000,0.5,-0.39,1:3,525312000,14.474,5284.419,NYQ,EQUITY,BRT,BRT,BRT Apartments Corp. (MD),BRT Apartments Corp.,105283800,America/New_York,EDT,-14400000,18.49,25.0,22.0,23.5,23.5,2.0,buy,2,31336000,1.582,151000,462910016,1.636,1.68,55131000,188.369,3.056,-0.02963,0.04077,41864000,8323875,19106000,-0.696,-0.296,0.26649,0.00274,-0.57311,USD,
