,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Level 2, KPMG Centre",18 Viaduct Harbour Avenue,Auckland,1142,New Zealand,64 9 375 6060,64 9 375 6061,https://nz.goodman.com/,REIT—Industrial,Real Estate,"GMT is an externally managed unit trust, listed on the NZX. It has a market capitalisation of around $3.0 billion, ranking it in the top 20 of all listed investment vehicles. The Trust is New Zealand's leading warehouse and logistics space provider. It has a substantial property portfolio, with a value of $4.8 billion at 31 March 2023. The Trust also holds an investment grade credit rating of BBB from S&P Global Ratings. The Manager of the Trust is Goodman (NZ) Limited, a subsidiary of the ASX listed Goodman Group. Goodman Group is a A$80.7 billion specialist global manager of warehouse and logistics real estate.","{'maxAge': 1, 'name': 'Mr. James  Spence', 'title': 'Chief Exec. Officer', 'fiscalYear': 2023, 'totalPay': 403000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.12,2.125,2.08,2.15,2.12,2.125,2.08,2.15,0.06,0.0294,1694995200,2.89,0.286036,23.444443,1682670,1682670,705229,879631,879631,2.11,1.885,2974994176,1.9,2.285,13.914846,2.215,2.137675,0.059,0.027830191,NZD,4289867008,-0.6333,1119684843,1403250048,0.25474,0.17895001,2.452,0.86052203,1680220800,1711843200,1680220800,-135400000,-0.1,0.09,16.36,20.065,NZE,EQUITY,GMT.NZ,GMT.NZ,Goodman Property Trust (NS) Ord,Goodman Property Trust,1168203600,Pacific/Auckland,NZST,43200000,2.11,2.44,2.03,2.17,2.1,3.2,hold,5,6600000,0.005,1335600000,0.087,0.112,213800000,38.818,0.152,0.02017,-0.03815,159400000,70575000,91200000,0.165,0.74556,0.0,0.72964996,NZD,
1,"Level 2, KPMG Centre",18 Viaduct Harbour Avenue,Auckland,1142,New Zealand,64 9 375 6060,64 9 375 6061,https://nz.goodman.com/,REIT—Industrial,Real Estate,"GMT is an externally managed unit trust, listed on the NZX. It has a market capitalisation of around $3.0 billion, ranking it in the top 20 of all listed investment vehicles. The Trust is New Zealand's leading warehouse and logistics space provider. It has a substantial property portfolio, with a value of $4.8 billion at 31 March 2023. The Trust also holds an investment grade credit rating of BBB from S&P Global Ratings. The Manager of the Trust is Goodman (NZ) Limited, a subsidiary of the ASX listed Goodman Group. Goodman Group is a A$80.7 billion specialist global manager of warehouse and logistics real estate.","{'maxAge': 1, 'name': 'Mr. John Morton Dakin', 'age': 56, 'title': 'Exec. Director', 'yearBorn': 1966, 'fiscalYear': 2023, 'totalPay': 1284013, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.12,2.125,2.08,2.15,2.12,2.125,2.08,2.15,0.06,0.0294,1694995200,2.89,0.286036,23.444443,1682670,1682670,705229,879631,879631,2.11,1.885,2974994176,1.9,2.285,13.914846,2.215,2.137675,0.059,0.027830191,NZD,4289867008,-0.6333,1119684843,1403250048,0.25474,0.17895001,2.452,0.86052203,1680220800,1711843200,1680220800,-135400000,-0.1,0.09,16.36,20.065,NZE,EQUITY,GMT.NZ,GMT.NZ,Goodman Property Trust (NS) Ord,Goodman Property Trust,1168203600,Pacific/Auckland,NZST,43200000,2.11,2.44,2.03,2.17,2.1,3.2,hold,5,6600000,0.005,1335600000,0.087,0.112,213800000,38.818,0.152,0.02017,-0.03815,159400000,70575000,91200000,0.165,0.74556,0.0,0.72964996,NZD,
2,"Level 2, KPMG Centre",18 Viaduct Harbour Avenue,Auckland,1142,New Zealand,64 9 375 6060,64 9 375 6061,https://nz.goodman.com/,REIT—Industrial,Real Estate,"GMT is an externally managed unit trust, listed on the NZX. It has a market capitalisation of around $3.0 billion, ranking it in the top 20 of all listed investment vehicles. The Trust is New Zealand's leading warehouse and logistics space provider. It has a substantial property portfolio, with a value of $4.8 billion at 31 March 2023. The Trust also holds an investment grade credit rating of BBB from S&P Global Ratings. The Manager of the Trust is Goodman (NZ) Limited, a subsidiary of the ASX listed Goodman Group. Goodman Group is a A$80.7 billion specialist global manager of warehouse and logistics real estate.","{'maxAge': 1, 'name': 'Mr. Andrew Jonathan Eakin', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.12,2.125,2.08,2.15,2.12,2.125,2.08,2.15,0.06,0.0294,1694995200,2.89,0.286036,23.444443,1682670,1682670,705229,879631,879631,2.11,1.885,2974994176,1.9,2.285,13.914846,2.215,2.137675,0.059,0.027830191,NZD,4289867008,-0.6333,1119684843,1403250048,0.25474,0.17895001,2.452,0.86052203,1680220800,1711843200,1680220800,-135400000,-0.1,0.09,16.36,20.065,NZE,EQUITY,GMT.NZ,GMT.NZ,Goodman Property Trust (NS) Ord,Goodman Property Trust,1168203600,Pacific/Auckland,NZST,43200000,2.11,2.44,2.03,2.17,2.1,3.2,hold,5,6600000,0.005,1335600000,0.087,0.112,213800000,38.818,0.152,0.02017,-0.03815,159400000,70575000,91200000,0.165,0.74556,0.0,0.72964996,NZD,
3,"Level 2, KPMG Centre",18 Viaduct Harbour Avenue,Auckland,1142,New Zealand,64 9 375 6060,64 9 375 6061,https://nz.goodman.com/,REIT—Industrial,Real Estate,"GMT is an externally managed unit trust, listed on the NZX. It has a market capitalisation of around $3.0 billion, ranking it in the top 20 of all listed investment vehicles. The Trust is New Zealand's leading warehouse and logistics space provider. It has a substantial property portfolio, with a value of $4.8 billion at 31 March 2023. The Trust also holds an investment grade credit rating of BBB from S&P Global Ratings. The Manager of the Trust is Goodman (NZ) Limited, a subsidiary of the ASX listed Goodman Group. Goodman Group is a A$80.7 billion specialist global manager of warehouse and logistics real estate.","{'maxAge': 1, 'name': 'Ms. Kimberley  Richards', 'title': 'Director of Investment Management & Capital Transactions', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.12,2.125,2.08,2.15,2.12,2.125,2.08,2.15,0.06,0.0294,1694995200,2.89,0.286036,23.444443,1682670,1682670,705229,879631,879631,2.11,1.885,2974994176,1.9,2.285,13.914846,2.215,2.137675,0.059,0.027830191,NZD,4289867008,-0.6333,1119684843,1403250048,0.25474,0.17895001,2.452,0.86052203,1680220800,1711843200,1680220800,-135400000,-0.1,0.09,16.36,20.065,NZE,EQUITY,GMT.NZ,GMT.NZ,Goodman Property Trust (NS) Ord,Goodman Property Trust,1168203600,Pacific/Auckland,NZST,43200000,2.11,2.44,2.03,2.17,2.1,3.2,hold,5,6600000,0.005,1335600000,0.087,0.112,213800000,38.818,0.152,0.02017,-0.03815,159400000,70575000,91200000,0.165,0.74556,0.0,0.72964996,NZD,
4,"Level 2, KPMG Centre",18 Viaduct Harbour Avenue,Auckland,1142,New Zealand,64 9 375 6060,64 9 375 6061,https://nz.goodman.com/,REIT—Industrial,Real Estate,"GMT is an externally managed unit trust, listed on the NZX. It has a market capitalisation of around $3.0 billion, ranking it in the top 20 of all listed investment vehicles. The Trust is New Zealand's leading warehouse and logistics space provider. It has a substantial property portfolio, with a value of $4.8 billion at 31 March 2023. The Trust also holds an investment grade credit rating of BBB from S&P Global Ratings. The Manager of the Trust is Goodman (NZ) Limited, a subsidiary of the ASX listed Goodman Group. Goodman Group is a A$80.7 billion specialist global manager of warehouse and logistics real estate.","{'maxAge': 1, 'name': 'Mr. Anton  Shead', 'title': 'Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.12,2.125,2.08,2.15,2.12,2.125,2.08,2.15,0.06,0.0294,1694995200,2.89,0.286036,23.444443,1682670,1682670,705229,879631,879631,2.11,1.885,2974994176,1.9,2.285,13.914846,2.215,2.137675,0.059,0.027830191,NZD,4289867008,-0.6333,1119684843,1403250048,0.25474,0.17895001,2.452,0.86052203,1680220800,1711843200,1680220800,-135400000,-0.1,0.09,16.36,20.065,NZE,EQUITY,GMT.NZ,GMT.NZ,Goodman Property Trust (NS) Ord,Goodman Property Trust,1168203600,Pacific/Auckland,NZST,43200000,2.11,2.44,2.03,2.17,2.1,3.2,hold,5,6600000,0.005,1335600000,0.087,0.112,213800000,38.818,0.152,0.02017,-0.03815,159400000,70575000,91200000,0.165,0.74556,0.0,0.72964996,NZD,
5,"Level 2, KPMG Centre",18 Viaduct Harbour Avenue,Auckland,1142,New Zealand,64 9 375 6060,64 9 375 6061,https://nz.goodman.com/,REIT—Industrial,Real Estate,"GMT is an externally managed unit trust, listed on the NZX. It has a market capitalisation of around $3.0 billion, ranking it in the top 20 of all listed investment vehicles. The Trust is New Zealand's leading warehouse and logistics space provider. It has a substantial property portfolio, with a value of $4.8 billion at 31 March 2023. The Trust also holds an investment grade credit rating of BBB from S&P Global Ratings. The Manager of the Trust is Goodman (NZ) Limited, a subsidiary of the ASX listed Goodman Group. Goodman Group is a A$80.7 billion specialist global manager of warehouse and logistics real estate.","{'maxAge': 1, 'name': 'Mr. Jonathan  Simpson', 'title': 'Head of Corp. Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.12,2.125,2.08,2.15,2.12,2.125,2.08,2.15,0.06,0.0294,1694995200,2.89,0.286036,23.444443,1682670,1682670,705229,879631,879631,2.11,1.885,2974994176,1.9,2.285,13.914846,2.215,2.137675,0.059,0.027830191,NZD,4289867008,-0.6333,1119684843,1403250048,0.25474,0.17895001,2.452,0.86052203,1680220800,1711843200,1680220800,-135400000,-0.1,0.09,16.36,20.065,NZE,EQUITY,GMT.NZ,GMT.NZ,Goodman Property Trust (NS) Ord,Goodman Property Trust,1168203600,Pacific/Auckland,NZST,43200000,2.11,2.44,2.03,2.17,2.1,3.2,hold,5,6600000,0.005,1335600000,0.087,0.112,213800000,38.818,0.152,0.02017,-0.03815,159400000,70575000,91200000,0.165,0.74556,0.0,0.72964996,NZD,
6,"Level 2, KPMG Centre",18 Viaduct Harbour Avenue,Auckland,1142,New Zealand,64 9 375 6060,64 9 375 6061,https://nz.goodman.com/,REIT—Industrial,Real Estate,"GMT is an externally managed unit trust, listed on the NZX. It has a market capitalisation of around $3.0 billion, ranking it in the top 20 of all listed investment vehicles. The Trust is New Zealand's leading warehouse and logistics space provider. It has a substantial property portfolio, with a value of $4.8 billion at 31 March 2023. The Trust also holds an investment grade credit rating of BBB from S&P Global Ratings. The Manager of the Trust is Goodman (NZ) Limited, a subsidiary of the ASX listed Goodman Group. Goodman Group is a A$80.7 billion specialist global manager of warehouse and logistics real estate.","{'maxAge': 1, 'name': 'Ms. Mandy  Waldin', 'title': 'Marketing Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.12,2.125,2.08,2.15,2.12,2.125,2.08,2.15,0.06,0.0294,1694995200,2.89,0.286036,23.444443,1682670,1682670,705229,879631,879631,2.11,1.885,2974994176,1.9,2.285,13.914846,2.215,2.137675,0.059,0.027830191,NZD,4289867008,-0.6333,1119684843,1403250048,0.25474,0.17895001,2.452,0.86052203,1680220800,1711843200,1680220800,-135400000,-0.1,0.09,16.36,20.065,NZE,EQUITY,GMT.NZ,GMT.NZ,Goodman Property Trust (NS) Ord,Goodman Property Trust,1168203600,Pacific/Auckland,NZST,43200000,2.11,2.44,2.03,2.17,2.1,3.2,hold,5,6600000,0.005,1335600000,0.087,0.112,213800000,38.818,0.152,0.02017,-0.03815,159400000,70575000,91200000,0.165,0.74556,0.0,0.72964996,NZD,
7,"Level 2, KPMG Centre",18 Viaduct Harbour Avenue,Auckland,1142,New Zealand,64 9 375 6060,64 9 375 6061,https://nz.goodman.com/,REIT—Industrial,Real Estate,"GMT is an externally managed unit trust, listed on the NZX. It has a market capitalisation of around $3.0 billion, ranking it in the top 20 of all listed investment vehicles. The Trust is New Zealand's leading warehouse and logistics space provider. It has a substantial property portfolio, with a value of $4.8 billion at 31 March 2023. The Trust also holds an investment grade credit rating of BBB from S&P Global Ratings. The Manager of the Trust is Goodman (NZ) Limited, a subsidiary of the ASX listed Goodman Group. Goodman Group is a A$80.7 billion specialist global manager of warehouse and logistics real estate.","{'maxAge': 1, 'name': 'Sophie  Bowden', 'title': 'HR Bus. Partner', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.12,2.125,2.08,2.15,2.12,2.125,2.08,2.15,0.06,0.0294,1694995200,2.89,0.286036,23.444443,1682670,1682670,705229,879631,879631,2.11,1.885,2974994176,1.9,2.285,13.914846,2.215,2.137675,0.059,0.027830191,NZD,4289867008,-0.6333,1119684843,1403250048,0.25474,0.17895001,2.452,0.86052203,1680220800,1711843200,1680220800,-135400000,-0.1,0.09,16.36,20.065,NZE,EQUITY,GMT.NZ,GMT.NZ,Goodman Property Trust (NS) Ord,Goodman Property Trust,1168203600,Pacific/Auckland,NZST,43200000,2.11,2.44,2.03,2.17,2.1,3.2,hold,5,6600000,0.005,1335600000,0.087,0.112,213800000,38.818,0.152,0.02017,-0.03815,159400000,70575000,91200000,0.165,0.74556,0.0,0.72964996,NZD,
8,"Level 2, KPMG Centre",18 Viaduct Harbour Avenue,Auckland,1142,New Zealand,64 9 375 6060,64 9 375 6061,https://nz.goodman.com/,REIT—Industrial,Real Estate,"GMT is an externally managed unit trust, listed on the NZX. It has a market capitalisation of around $3.0 billion, ranking it in the top 20 of all listed investment vehicles. The Trust is New Zealand's leading warehouse and logistics space provider. It has a substantial property portfolio, with a value of $4.8 billion at 31 March 2023. The Trust also holds an investment grade credit rating of BBB from S&P Global Ratings. The Manager of the Trust is Goodman (NZ) Limited, a subsidiary of the ASX listed Goodman Group. Goodman Group is a A$80.7 billion specialist global manager of warehouse and logistics real estate.","{'maxAge': 1, 'name': 'Mr. Paul William McGarry', 'age': 46, 'title': 'Head of Asia', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.12,2.125,2.08,2.15,2.12,2.125,2.08,2.15,0.06,0.0294,1694995200,2.89,0.286036,23.444443,1682670,1682670,705229,879631,879631,2.11,1.885,2974994176,1.9,2.285,13.914846,2.215,2.137675,0.059,0.027830191,NZD,4289867008,-0.6333,1119684843,1403250048,0.25474,0.17895001,2.452,0.86052203,1680220800,1711843200,1680220800,-135400000,-0.1,0.09,16.36,20.065,NZE,EQUITY,GMT.NZ,GMT.NZ,Goodman Property Trust (NS) Ord,Goodman Property Trust,1168203600,Pacific/Auckland,NZST,43200000,2.11,2.44,2.03,2.17,2.1,3.2,hold,5,6600000,0.005,1335600000,0.087,0.112,213800000,38.818,0.152,0.02017,-0.03815,159400000,70575000,91200000,0.165,0.74556,0.0,0.72964996,NZD,
9,"Level 2, KPMG Centre",18 Viaduct Harbour Avenue,Auckland,1142,New Zealand,64 9 375 6060,64 9 375 6061,https://nz.goodman.com/,REIT—Industrial,Real Estate,"GMT is an externally managed unit trust, listed on the NZX. It has a market capitalisation of around $3.0 billion, ranking it in the top 20 of all listed investment vehicles. The Trust is New Zealand's leading warehouse and logistics space provider. It has a substantial property portfolio, with a value of $4.8 billion at 31 March 2023. The Trust also holds an investment grade credit rating of BBB from S&P Global Ratings. The Manager of the Trust is Goodman (NZ) Limited, a subsidiary of the ASX listed Goodman Group. Goodman Group is a A$80.7 billion specialist global manager of warehouse and logistics real estate.","{'maxAge': 1, 'name': 'Mr. Angus  Brooks', 'age': 45, 'title': 'Chief Exec. Officer of Japan', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.12,2.125,2.08,2.15,2.12,2.125,2.08,2.15,0.06,0.0294,1694995200,2.89,0.286036,23.444443,1682670,1682670,705229,879631,879631,2.11,1.885,2974994176,1.9,2.285,13.914846,2.215,2.137675,0.059,0.027830191,NZD,4289867008,-0.6333,1119684843,1403250048,0.25474,0.17895001,2.452,0.86052203,1680220800,1711843200,1680220800,-135400000,-0.1,0.09,16.36,20.065,NZE,EQUITY,GMT.NZ,GMT.NZ,Goodman Property Trust (NS) Ord,Goodman Property Trust,1168203600,Pacific/Auckland,NZST,43200000,2.11,2.44,2.03,2.17,2.1,3.2,hold,5,6600000,0.005,1335600000,0.087,0.112,213800000,38.818,0.152,0.02017,-0.03815,159400000,70575000,91200000,0.165,0.74556,0.0,0.72964996,NZD,
