,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,trailingEps,forwardEps,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
0,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,AZ,85258-2034,United States,480-477-3000,480-477-2744,https://investments.voya.com/Investor/Products/Closed-End-Funds/Profile/index.htm?psc=739&p=148&tab=Overview,Asset Management,Asset Management,Financial Services,Financial Services,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Stanley David Vyner', 'age': 71, 'title': 'Chief Investment Risk Officer and Exec. VP', 'yearBorn': 1951, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.93,5.94,5.94,5.99,5.93,5.94,5.94,5.99,0.75,0.1282,1688342400,10.91,54.454544,56724,56724,31366,41820,41820,5.8,5.97,900,800,67631288,5.46,7.02,6.042,6.255,0.0,0.0,USD,0.0,11290700,4527,1566,1690761600,1693440000,0.0004,0.0,0.41551,0.15,11290700,-0.79,0.11,-0.07131785,0.14113986,0.16,1688342400,NYQ,EQUITY,IAE,IAE,Voya Asia Pacific High Dividend,Voya Asia Pacific High Dividend Equity Income Fund,1175088600,America/New_York,EDT,0bbd0864-eddb-34a2-ada3-737e6d569d5c,finmb_31211709,-14400000,5.99,none,0.0,0.0,0.0,
1,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,AZ,85258-2034,United States,480-477-3000,480-477-2744,https://investments.voya.com/Investor/Products/Closed-End-Funds/Profile/index.htm?psc=739&p=148&tab=Overview,Asset Management,Asset Management,Financial Services,Financial Services,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Dr. Teik  Cheah CFA', 'title': 'Regional Head of Quantitative Resources & Investment Risk', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.93,5.94,5.94,5.99,5.93,5.94,5.94,5.99,0.75,0.1282,1688342400,10.91,54.454544,56724,56724,31366,41820,41820,5.8,5.97,900,800,67631288,5.46,7.02,6.042,6.255,0.0,0.0,USD,0.0,11290700,4527,1566,1690761600,1693440000,0.0004,0.0,0.41551,0.15,11290700,-0.79,0.11,-0.07131785,0.14113986,0.16,1688342400,NYQ,EQUITY,IAE,IAE,Voya Asia Pacific High Dividend,Voya Asia Pacific High Dividend Equity Income Fund,1175088600,America/New_York,EDT,0bbd0864-eddb-34a2-ada3-737e6d569d5c,finmb_31211709,-14400000,5.99,none,0.0,0.0,0.0,
2,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,AZ,85258-2034,United States,480-477-3000,480-477-2744,https://investments.voya.com/Investor/Products/Closed-End-Funds/Profile/index.htm?psc=739&p=148&tab=Overview,Asset Management,Asset Management,Financial Services,Financial Services,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Bratin  Sanyal', 'title': 'Head of Asian Equity Investments', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.93,5.94,5.94,5.99,5.93,5.94,5.94,5.99,0.75,0.1282,1688342400,10.91,54.454544,56724,56724,31366,41820,41820,5.8,5.97,900,800,67631288,5.46,7.02,6.042,6.255,0.0,0.0,USD,0.0,11290700,4527,1566,1690761600,1693440000,0.0004,0.0,0.41551,0.15,11290700,-0.79,0.11,-0.07131785,0.14113986,0.16,1688342400,NYQ,EQUITY,IAE,IAE,Voya Asia Pacific High Dividend,Voya Asia Pacific High Dividend Equity Income Fund,1175088600,America/New_York,EDT,0bbd0864-eddb-34a2-ada3-737e6d569d5c,finmb_31211709,-14400000,5.99,none,0.0,0.0,0.0,
3,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,AZ,85258-2034,United States,480-477-3000,480-477-2744,https://investments.voya.com/Investor/Products/Closed-End-Funds/Profile/index.htm?psc=739&p=148&tab=Overview,Asset Management,Asset Management,Financial Services,Financial Services,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Nicholas  Toovey CFA', 'title': 'Regional Head of Equities for Asia Pacific and Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.93,5.94,5.94,5.99,5.93,5.94,5.94,5.99,0.75,0.1282,1688342400,10.91,54.454544,56724,56724,31366,41820,41820,5.8,5.97,900,800,67631288,5.46,7.02,6.042,6.255,0.0,0.0,USD,0.0,11290700,4527,1566,1690761600,1693440000,0.0004,0.0,0.41551,0.15,11290700,-0.79,0.11,-0.07131785,0.14113986,0.16,1688342400,NYQ,EQUITY,IAE,IAE,Voya Asia Pacific High Dividend,Voya Asia Pacific High Dividend Equity Income Fund,1175088600,America/New_York,EDT,0bbd0864-eddb-34a2-ada3-737e6d569d5c,finmb_31211709,-14400000,5.99,none,0.0,0.0,0.0,
4,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,AZ,85258-2034,United States,480-477-3000,480-477-2744,https://investments.voya.com/Investor/Products/Closed-End-Funds/Profile/index.htm?psc=739&p=148&tab=Overview,Asset Management,Asset Management,Financial Services,Financial Services,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Willem  van Dommelen', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.93,5.94,5.94,5.99,5.93,5.94,5.94,5.99,0.75,0.1282,1688342400,10.91,54.454544,56724,56724,31366,41820,41820,5.8,5.97,900,800,67631288,5.46,7.02,6.042,6.255,0.0,0.0,USD,0.0,11290700,4527,1566,1690761600,1693440000,0.0004,0.0,0.41551,0.15,11290700,-0.79,0.11,-0.07131785,0.14113986,0.16,1688342400,NYQ,EQUITY,IAE,IAE,Voya Asia Pacific High Dividend,Voya Asia Pacific High Dividend Equity Income Fund,1175088600,America/New_York,EDT,0bbd0864-eddb-34a2-ada3-737e6d569d5c,finmb_31211709,-14400000,5.99,none,0.0,0.0,0.0,
5,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,AZ,85258-2034,United States,480-477-3000,480-477-2744,https://investments.voya.com/Investor/Products/Closed-End-Funds/Profile/index.htm?psc=739&p=148&tab=Overview,Asset Management,Asset Management,Financial Services,Financial Services,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Edwin  Cuppen', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.93,5.94,5.94,5.99,5.93,5.94,5.94,5.99,0.75,0.1282,1688342400,10.91,54.454544,56724,56724,31366,41820,41820,5.8,5.97,900,800,67631288,5.46,7.02,6.042,6.255,0.0,0.0,USD,0.0,11290700,4527,1566,1690761600,1693440000,0.0004,0.0,0.41551,0.15,11290700,-0.79,0.11,-0.07131785,0.14113986,0.16,1688342400,NYQ,EQUITY,IAE,IAE,Voya Asia Pacific High Dividend,Voya Asia Pacific High Dividend Equity Income Fund,1175088600,America/New_York,EDT,0bbd0864-eddb-34a2-ada3-737e6d569d5c,finmb_31211709,-14400000,5.99,none,0.0,0.0,0.0,
6,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,AZ,85258-2034,United States,480-477-3000,480-477-2744,https://investments.voya.com/Investor/Products/Closed-End-Funds/Profile/index.htm?psc=739&p=148&tab=Overview,Asset Management,Asset Management,Financial Services,Financial Services,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Wai Cheng  Lam', 'title': 'Sr. Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.93,5.94,5.94,5.99,5.93,5.94,5.94,5.99,0.75,0.1282,1688342400,10.91,54.454544,56724,56724,31366,41820,41820,5.8,5.97,900,800,67631288,5.46,7.02,6.042,6.255,0.0,0.0,USD,0.0,11290700,4527,1566,1690761600,1693440000,0.0004,0.0,0.41551,0.15,11290700,-0.79,0.11,-0.07131785,0.14113986,0.16,1688342400,NYQ,EQUITY,IAE,IAE,Voya Asia Pacific High Dividend,Voya Asia Pacific High Dividend Equity Income Fund,1175088600,America/New_York,EDT,0bbd0864-eddb-34a2-ada3-737e6d569d5c,finmb_31211709,-14400000,5.99,none,0.0,0.0,0.0,
7,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,AZ,85258-2034,United States,480-477-3000,480-477-2744,https://investments.voya.com/Investor/Products/Closed-End-Funds/Profile/index.htm?psc=739&p=148&tab=Overview,Asset Management,Asset Management,Financial Services,Financial Services,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Manu  Vandenbulck', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.93,5.94,5.94,5.99,5.93,5.94,5.94,5.99,0.75,0.1282,1688342400,10.91,54.454544,56724,56724,31366,41820,41820,5.8,5.97,900,800,67631288,5.46,7.02,6.042,6.255,0.0,0.0,USD,0.0,11290700,4527,1566,1690761600,1693440000,0.0004,0.0,0.41551,0.15,11290700,-0.79,0.11,-0.07131785,0.14113986,0.16,1688342400,NYQ,EQUITY,IAE,IAE,Voya Asia Pacific High Dividend,Voya Asia Pacific High Dividend Equity Income Fund,1175088600,America/New_York,EDT,0bbd0864-eddb-34a2-ada3-737e6d569d5c,finmb_31211709,-14400000,5.99,none,0.0,0.0,0.0,
8,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,AZ,85258-2034,United States,480-477-3000,480-477-2744,https://investments.voya.com/Investor/Products/Closed-End-Funds/Profile/index.htm?psc=739&p=148&tab=Overview,Asset Management,Asset Management,Financial Services,Financial Services,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Robert  Davis', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.93,5.94,5.94,5.99,5.93,5.94,5.94,5.99,0.75,0.1282,1688342400,10.91,54.454544,56724,56724,31366,41820,41820,5.8,5.97,900,800,67631288,5.46,7.02,6.042,6.255,0.0,0.0,USD,0.0,11290700,4527,1566,1690761600,1693440000,0.0004,0.0,0.41551,0.15,11290700,-0.79,0.11,-0.07131785,0.14113986,0.16,1688342400,NYQ,EQUITY,IAE,IAE,Voya Asia Pacific High Dividend,Voya Asia Pacific High Dividend Equity Income Fund,1175088600,America/New_York,EDT,0bbd0864-eddb-34a2-ada3-737e6d569d5c,finmb_31211709,-14400000,5.99,none,0.0,0.0,0.0,
9,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,AZ,85258-2034,United States,480-477-3000,480-477-2744,https://investments.voya.com/Investor/Products/Closed-End-Funds/Profile/index.htm?psc=739&p=148&tab=Overview,Asset Management,Asset Management,Financial Services,Financial Services,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Nicolas  Simar', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.93,5.94,5.94,5.99,5.93,5.94,5.94,5.99,0.75,0.1282,1688342400,10.91,54.454544,56724,56724,31366,41820,41820,5.8,5.97,900,800,67631288,5.46,7.02,6.042,6.255,0.0,0.0,USD,0.0,11290700,4527,1566,1690761600,1693440000,0.0004,0.0,0.41551,0.15,11290700,-0.79,0.11,-0.07131785,0.14113986,0.16,1688342400,NYQ,EQUITY,IAE,IAE,Voya Asia Pacific High Dividend,Voya Asia Pacific High Dividend Equity Income Fund,1175088600,America/New_York,EDT,0bbd0864-eddb-34a2-ada3-737e6d569d5c,finmb_31211709,-14400000,5.99,none,0.0,0.0,0.0,
