,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,200 King Street West,Suite 600,Toronto,ON,M5H 3T4,Canada,416 572 4880,416 598 4142,https://www.mcanmortgage.com,Mortgage Finance,Financial Services,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company engages in the real estate lending and investing activities, including residential mortgage, residential construction, non-residential construction, and commercial loans, as well as portfolio of real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",138,"{'maxAge': 1, 'name': 'Mr. Derek G. Sutherland C.A., CPA, CBV', 'age': 51, 'title': 'Chairman, Interim Pres & CEO', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 117000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,16.35,16.24,16.24,16.35,16.35,16.24,16.24,16.35,1.52,0.0934,1694649600,0.63560003,8.75,0.962327,7.2035403,6.1666665,11398,11398,18382,29910,29910,16.27,16.35,0,0,570905408,14.0,16.9,4.828769,16.2272,15.75265,1.44,0.088073395,CAD,2334412288,0.63353,33487436,35067900,960761,952229,1690761600,1693440000,0.0274,0.15603,0.00636,68.14,14.733,1.1050024,1672444800,1703980800,1688083200,2.84,74902000,2.26,2.64,19.745,TOR,EQUITY,MKP.TO,MKP.TO,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,839943000,America/Toronto,EDT,-14400000,16.28,19.0,19.0,19.0,19.0,3.0,hold,1,116588000,3.325,1880093952,1.866,1.886,118230000,363.902,3.551,0.01764,0.15651,83913000,-2583000,2.472,1.04,0.90659,0.0,0.6397,CAD,
1,200 King Street West,Suite 600,Toronto,ON,M5H 3T4,Canada,416 572 4880,416 598 4142,https://www.mcanmortgage.com,Mortgage Finance,Financial Services,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company engages in the real estate lending and investing activities, including residential mortgage, residential construction, non-residential construction, and commercial loans, as well as portfolio of real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",138,"{'maxAge': 1, 'name': 'Ms. Floriana  Cipollone B.Comm., C.A', 'age': 55, 'title': 'Sr. VP & CFO', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 664000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,16.35,16.24,16.24,16.35,16.35,16.24,16.24,16.35,1.52,0.0934,1694649600,0.63560003,8.75,0.962327,7.2035403,6.1666665,11398,11398,18382,29910,29910,16.27,16.35,0,0,570905408,14.0,16.9,4.828769,16.2272,15.75265,1.44,0.088073395,CAD,2334412288,0.63353,33487436,35067900,960761,952229,1690761600,1693440000,0.0274,0.15603,0.00636,68.14,14.733,1.1050024,1672444800,1703980800,1688083200,2.84,74902000,2.26,2.64,19.745,TOR,EQUITY,MKP.TO,MKP.TO,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,839943000,America/Toronto,EDT,-14400000,16.28,19.0,19.0,19.0,19.0,3.0,hold,1,116588000,3.325,1880093952,1.866,1.886,118230000,363.902,3.551,0.01764,0.15651,83913000,-2583000,2.472,1.04,0.90659,0.0,0.6397,CAD,
2,200 King Street West,Suite 600,Toronto,ON,M5H 3T4,Canada,416 572 4880,416 598 4142,https://www.mcanmortgage.com,Mortgage Finance,Financial Services,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company engages in the real estate lending and investing activities, including residential mortgage, residential construction, non-residential construction, and commercial loans, as well as portfolio of real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",138,"{'maxAge': 1, 'name': 'Mr. Avish  Buck', 'title': 'Sr. VP & COO', 'fiscalYear': 2022, 'totalPay': 594251, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,16.35,16.24,16.24,16.35,16.35,16.24,16.24,16.35,1.52,0.0934,1694649600,0.63560003,8.75,0.962327,7.2035403,6.1666665,11398,11398,18382,29910,29910,16.27,16.35,0,0,570905408,14.0,16.9,4.828769,16.2272,15.75265,1.44,0.088073395,CAD,2334412288,0.63353,33487436,35067900,960761,952229,1690761600,1693440000,0.0274,0.15603,0.00636,68.14,14.733,1.1050024,1672444800,1703980800,1688083200,2.84,74902000,2.26,2.64,19.745,TOR,EQUITY,MKP.TO,MKP.TO,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,839943000,America/Toronto,EDT,-14400000,16.28,19.0,19.0,19.0,19.0,3.0,hold,1,116588000,3.325,1880093952,1.866,1.886,118230000,363.902,3.551,0.01764,0.15651,83913000,-2583000,2.472,1.04,0.90659,0.0,0.6397,CAD,
3,200 King Street West,Suite 600,Toronto,ON,M5H 3T4,Canada,416 572 4880,416 598 4142,https://www.mcanmortgage.com,Mortgage Finance,Financial Services,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company engages in the real estate lending and investing activities, including residential mortgage, residential construction, non-residential construction, and commercial loans, as well as portfolio of real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",138,"{'maxAge': 1, 'name': 'Mr. Carl Scott Brown', 'title': 'Sr. VP of Investments & Corp. Devel.', 'fiscalYear': 2022, 'totalPay': 565922, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,16.35,16.24,16.24,16.35,16.35,16.24,16.24,16.35,1.52,0.0934,1694649600,0.63560003,8.75,0.962327,7.2035403,6.1666665,11398,11398,18382,29910,29910,16.27,16.35,0,0,570905408,14.0,16.9,4.828769,16.2272,15.75265,1.44,0.088073395,CAD,2334412288,0.63353,33487436,35067900,960761,952229,1690761600,1693440000,0.0274,0.15603,0.00636,68.14,14.733,1.1050024,1672444800,1703980800,1688083200,2.84,74902000,2.26,2.64,19.745,TOR,EQUITY,MKP.TO,MKP.TO,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,839943000,America/Toronto,EDT,-14400000,16.28,19.0,19.0,19.0,19.0,3.0,hold,1,116588000,3.325,1880093952,1.866,1.886,118230000,363.902,3.551,0.01764,0.15651,83913000,-2583000,2.472,1.04,0.90659,0.0,0.6397,CAD,
4,200 King Street West,Suite 600,Toronto,ON,M5H 3T4,Canada,416 572 4880,416 598 4142,https://www.mcanmortgage.com,Mortgage Finance,Financial Services,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company engages in the real estate lending and investing activities, including residential mortgage, residential construction, non-residential construction, and commercial loans, as well as portfolio of real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",138,"{'maxAge': 1, 'name': 'Ms. Karen H. Weaver CPA, ICD.D', 'age': 63, 'title': 'Consultant', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 1242124, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,16.35,16.24,16.24,16.35,16.35,16.24,16.24,16.35,1.52,0.0934,1694649600,0.63560003,8.75,0.962327,7.2035403,6.1666665,11398,11398,18382,29910,29910,16.27,16.35,0,0,570905408,14.0,16.9,4.828769,16.2272,15.75265,1.44,0.088073395,CAD,2334412288,0.63353,33487436,35067900,960761,952229,1690761600,1693440000,0.0274,0.15603,0.00636,68.14,14.733,1.1050024,1672444800,1703980800,1688083200,2.84,74902000,2.26,2.64,19.745,TOR,EQUITY,MKP.TO,MKP.TO,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,839943000,America/Toronto,EDT,-14400000,16.28,19.0,19.0,19.0,19.0,3.0,hold,1,116588000,3.325,1880093952,1.866,1.886,118230000,363.902,3.551,0.01764,0.15651,83913000,-2583000,2.472,1.04,0.90659,0.0,0.6397,CAD,
5,200 King Street West,Suite 600,Toronto,ON,M5H 3T4,Canada,416 572 4880,416 598 4142,https://www.mcanmortgage.com,Mortgage Finance,Financial Services,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company engages in the real estate lending and investing activities, including residential mortgage, residential construction, non-residential construction, and commercial loans, as well as portfolio of real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",138,"{'maxAge': 1, 'name': 'Mr. Aaron John Corr', 'title': 'VP & Chief Risk Officer', 'fiscalYear': 2022, 'totalPay': 318389, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,16.35,16.24,16.24,16.35,16.35,16.24,16.24,16.35,1.52,0.0934,1694649600,0.63560003,8.75,0.962327,7.2035403,6.1666665,11398,11398,18382,29910,29910,16.27,16.35,0,0,570905408,14.0,16.9,4.828769,16.2272,15.75265,1.44,0.088073395,CAD,2334412288,0.63353,33487436,35067900,960761,952229,1690761600,1693440000,0.0274,0.15603,0.00636,68.14,14.733,1.1050024,1672444800,1703980800,1688083200,2.84,74902000,2.26,2.64,19.745,TOR,EQUITY,MKP.TO,MKP.TO,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,839943000,America/Toronto,EDT,-14400000,16.28,19.0,19.0,19.0,19.0,3.0,hold,1,116588000,3.325,1880093952,1.866,1.886,118230000,363.902,3.551,0.01764,0.15651,83913000,-2583000,2.472,1.04,0.90659,0.0,0.6397,CAD,
6,200 King Street West,Suite 600,Toronto,ON,M5H 3T4,Canada,416 572 4880,416 598 4142,https://www.mcanmortgage.com,Mortgage Finance,Financial Services,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company engages in the real estate lending and investing activities, including residential mortgage, residential construction, non-residential construction, and commercial loans, as well as portfolio of real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",138,"{'maxAge': 1, 'name': 'Michelle  Liotta', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,16.35,16.24,16.24,16.35,16.35,16.24,16.24,16.35,1.52,0.0934,1694649600,0.63560003,8.75,0.962327,7.2035403,6.1666665,11398,11398,18382,29910,29910,16.27,16.35,0,0,570905408,14.0,16.9,4.828769,16.2272,15.75265,1.44,0.088073395,CAD,2334412288,0.63353,33487436,35067900,960761,952229,1690761600,1693440000,0.0274,0.15603,0.00636,68.14,14.733,1.1050024,1672444800,1703980800,1688083200,2.84,74902000,2.26,2.64,19.745,TOR,EQUITY,MKP.TO,MKP.TO,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,839943000,America/Toronto,EDT,-14400000,16.28,19.0,19.0,19.0,19.0,3.0,hold,1,116588000,3.325,1880093952,1.866,1.886,118230000,363.902,3.551,0.01764,0.15651,83913000,-2583000,2.472,1.04,0.90659,0.0,0.6397,CAD,
7,200 King Street West,Suite 600,Toronto,ON,M5H 3T4,Canada,416 572 4880,416 598 4142,https://www.mcanmortgage.com,Mortgage Finance,Financial Services,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company engages in the real estate lending and investing activities, including residential mortgage, residential construction, non-residential construction, and commercial loans, as well as portfolio of real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",138,"{'maxAge': 1, 'name': 'Mr. Allan Dale Klein', 'age': 59, 'title': 'Chief Exec. Officer of Canada ICI Capital Corp.', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,16.35,16.24,16.24,16.35,16.35,16.24,16.24,16.35,1.52,0.0934,1694649600,0.63560003,8.75,0.962327,7.2035403,6.1666665,11398,11398,18382,29910,29910,16.27,16.35,0,0,570905408,14.0,16.9,4.828769,16.2272,15.75265,1.44,0.088073395,CAD,2334412288,0.63353,33487436,35067900,960761,952229,1690761600,1693440000,0.0274,0.15603,0.00636,68.14,14.733,1.1050024,1672444800,1703980800,1688083200,2.84,74902000,2.26,2.64,19.745,TOR,EQUITY,MKP.TO,MKP.TO,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,839943000,America/Toronto,EDT,-14400000,16.28,19.0,19.0,19.0,19.0,3.0,hold,1,116588000,3.325,1880093952,1.866,1.886,118230000,363.902,3.551,0.01764,0.15651,83913000,-2583000,2.472,1.04,0.90659,0.0,0.6397,CAD,
8,200 King Street West,Suite 600,Toronto,ON,M5H 3T4,Canada,416 572 4880,416 598 4142,https://www.mcanmortgage.com,Mortgage Finance,Financial Services,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company engages in the real estate lending and investing activities, including residential mortgage, residential construction, non-residential construction, and commercial loans, as well as portfolio of real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",138,"{'maxAge': 1, 'name': 'Peter  Ryan', 'title': 'VP & Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,16.35,16.24,16.24,16.35,16.35,16.24,16.24,16.35,1.52,0.0934,1694649600,0.63560003,8.75,0.962327,7.2035403,6.1666665,11398,11398,18382,29910,29910,16.27,16.35,0,0,570905408,14.0,16.9,4.828769,16.2272,15.75265,1.44,0.088073395,CAD,2334412288,0.63353,33487436,35067900,960761,952229,1690761600,1693440000,0.0274,0.15603,0.00636,68.14,14.733,1.1050024,1672444800,1703980800,1688083200,2.84,74902000,2.26,2.64,19.745,TOR,EQUITY,MKP.TO,MKP.TO,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,839943000,America/Toronto,EDT,-14400000,16.28,19.0,19.0,19.0,19.0,3.0,hold,1,116588000,3.325,1880093952,1.866,1.886,118230000,363.902,3.551,0.01764,0.15651,83913000,-2583000,2.472,1.04,0.90659,0.0,0.6397,CAD,
9,200 King Street West,Suite 600,Toronto,ON,M5H 3T4,Canada,416 572 4880,416 598 4142,https://www.mcanmortgage.com,Mortgage Finance,Financial Services,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company engages in the real estate lending and investing activities, including residential mortgage, residential construction, non-residential construction, and commercial loans, as well as portfolio of real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",138,"{'maxAge': 1, 'name': 'Justin  Silva', 'title': 'VP & Treasurer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,16.35,16.24,16.24,16.35,16.35,16.24,16.24,16.35,1.52,0.0934,1694649600,0.63560003,8.75,0.962327,7.2035403,6.1666665,11398,11398,18382,29910,29910,16.27,16.35,0,0,570905408,14.0,16.9,4.828769,16.2272,15.75265,1.44,0.088073395,CAD,2334412288,0.63353,33487436,35067900,960761,952229,1690761600,1693440000,0.0274,0.15603,0.00636,68.14,14.733,1.1050024,1672444800,1703980800,1688083200,2.84,74902000,2.26,2.64,19.745,TOR,EQUITY,MKP.TO,MKP.TO,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,839943000,America/Toronto,EDT,-14400000,16.28,19.0,19.0,19.0,19.0,3.0,hold,1,116588000,3.325,1880093952,1.866,1.886,118230000,363.902,3.551,0.01764,0.15651,83913000,-2583000,2.472,1.04,0.90659,0.0,0.6397,CAD,
