,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,9 Pine Street,New York,NY,10005,United States,212-227-2120,212-267-8696,https://www.sadlier.com,Publishing,Communication Services,"William H. Sadlier, Inc. publishes print, digital, and online educational materials for public and nonpublic schools. It also publishes catechetical materials for catholic schools, parishes, and families. The company was founded in 1832 and is based in New York, New York.",157,"{'maxAge': 1, 'name': 'Mr. Joseph F. Brophy', 'age': 82, 'title': 'Exec. VP of Sales', 'yearBorn': 1940, 'fiscalYear': 1995, 'totalPay': 163237, 'exercisedValue': 0, 'unexercisedValue': 0}",820368000,86400,2,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.15,0.061300002,1683763200,0.493775,20.718233,400,400,19,0,0,13589700,18.4,23.0,0.5251246,18.666,20.27525,0.2,0.010666667,USD,19594784,0.03126,836062,724785,0.0,0.02605,15.218,1.2320936,820368000,851990400,844041600,0.104,808902,0.905,0.757,4.176,PNK,EQUITY,SADL,SADL,SADLIER(WILLIAM H.) INC,"William H. Sadlier, Inc.",925738200,America/New_York,EDT,-14400000,18.75,none,2181303,2.456,4692371,5125000,1.147,1.549,25879000,37.923,28.94,0.0505,0.06126,12209961,3467860,3241121,0.105,0.122,0.55081004,0.18132,0.07434,USD,
1,9 Pine Street,New York,NY,10005,United States,212-227-2120,212-267-8696,https://www.sadlier.com,Publishing,Communication Services,"William H. Sadlier, Inc. publishes print, digital, and online educational materials for public and nonpublic schools. It also publishes catechetical materials for catholic schools, parishes, and families. The company was founded in 1832 and is based in New York, New York.",157,"{'maxAge': 1, 'name': 'Mr. Henry E. Christel', 'age': 76, 'title': 'VP and Director', 'yearBorn': 1946, 'fiscalYear': 1995, 'totalPay': 146968, 'exercisedValue': 0, 'unexercisedValue': 0}",820368000,86400,2,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.15,0.061300002,1683763200,0.493775,20.718233,400,400,19,0,0,13589700,18.4,23.0,0.5251246,18.666,20.27525,0.2,0.010666667,USD,19594784,0.03126,836062,724785,0.0,0.02605,15.218,1.2320936,820368000,851990400,844041600,0.104,808902,0.905,0.757,4.176,PNK,EQUITY,SADL,SADL,SADLIER(WILLIAM H.) INC,"William H. Sadlier, Inc.",925738200,America/New_York,EDT,-14400000,18.75,none,2181303,2.456,4692371,5125000,1.147,1.549,25879000,37.923,28.94,0.0505,0.06126,12209961,3467860,3241121,0.105,0.122,0.55081004,0.18132,0.07434,USD,
2,9 Pine Street,New York,NY,10005,United States,212-227-2120,212-267-8696,https://www.sadlier.com,Publishing,Communication Services,"William H. Sadlier, Inc. publishes print, digital, and online educational materials for public and nonpublic schools. It also publishes catechetical materials for catholic schools, parishes, and families. The company was founded in 1832 and is based in New York, New York.",157,"{'maxAge': 1, 'name': 'Ms. Theresa  Thompson', 'title': 'Pres & CEO', 'exercisedValue': 0, 'unexercisedValue': 0}",820368000,86400,2,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.15,0.061300002,1683763200,0.493775,20.718233,400,400,19,0,0,13589700,18.4,23.0,0.5251246,18.666,20.27525,0.2,0.010666667,USD,19594784,0.03126,836062,724785,0.0,0.02605,15.218,1.2320936,820368000,851990400,844041600,0.104,808902,0.905,0.757,4.176,PNK,EQUITY,SADL,SADL,SADLIER(WILLIAM H.) INC,"William H. Sadlier, Inc.",925738200,America/New_York,EDT,-14400000,18.75,none,2181303,2.456,4692371,5125000,1.147,1.549,25879000,37.923,28.94,0.0505,0.06126,12209961,3467860,3241121,0.105,0.122,0.55081004,0.18132,0.07434,USD,
3,9 Pine Street,New York,NY,10005,United States,212-227-2120,212-267-8696,https://www.sadlier.com,Publishing,Communication Services,"William H. Sadlier, Inc. publishes print, digital, and online educational materials for public and nonpublic schools. It also publishes catechetical materials for catholic schools, parishes, and families. The company was founded in 1832 and is based in New York, New York.",157,"{'maxAge': 1, 'name': 'Mr. Moya  Gullage', 'age': 91, 'title': 'Editor-in-Chief and VP', 'yearBorn': 1931, 'exercisedValue': 0, 'unexercisedValue': 0}",820368000,86400,2,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.15,0.061300002,1683763200,0.493775,20.718233,400,400,19,0,0,13589700,18.4,23.0,0.5251246,18.666,20.27525,0.2,0.010666667,USD,19594784,0.03126,836062,724785,0.0,0.02605,15.218,1.2320936,820368000,851990400,844041600,0.104,808902,0.905,0.757,4.176,PNK,EQUITY,SADL,SADL,SADLIER(WILLIAM H.) INC,"William H. Sadlier, Inc.",925738200,America/New_York,EDT,-14400000,18.75,none,2181303,2.456,4692371,5125000,1.147,1.549,25879000,37.923,28.94,0.0505,0.06126,12209961,3467860,3241121,0.105,0.122,0.55081004,0.18132,0.07434,USD,
4,9 Pine Street,New York,NY,10005,United States,212-227-2120,212-267-8696,https://www.sadlier.com,Publishing,Communication Services,"William H. Sadlier, Inc. publishes print, digital, and online educational materials for public and nonpublic schools. It also publishes catechetical materials for catholic schools, parishes, and families. The company was founded in 1832 and is based in New York, New York.",157,"{'maxAge': 1, 'name': 'Mr. Thomas M. Allen', 'title': 'Sr. VP, Treasurer, Chief Financial & Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",820368000,86400,2,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.15,0.061300002,1683763200,0.493775,20.718233,400,400,19,0,0,13589700,18.4,23.0,0.5251246,18.666,20.27525,0.2,0.010666667,USD,19594784,0.03126,836062,724785,0.0,0.02605,15.218,1.2320936,820368000,851990400,844041600,0.104,808902,0.905,0.757,4.176,PNK,EQUITY,SADL,SADL,SADLIER(WILLIAM H.) INC,"William H. Sadlier, Inc.",925738200,America/New_York,EDT,-14400000,18.75,none,2181303,2.456,4692371,5125000,1.147,1.549,25879000,37.923,28.94,0.0505,0.06126,12209961,3467860,3241121,0.105,0.122,0.55081004,0.18132,0.07434,USD,
5,9 Pine Street,New York,NY,10005,United States,212-227-2120,212-267-8696,https://www.sadlier.com,Publishing,Communication Services,"William H. Sadlier, Inc. publishes print, digital, and online educational materials for public and nonpublic schools. It also publishes catechetical materials for catholic schools, parishes, and families. The company was founded in 1832 and is based in New York, New York.",157,"{'maxAge': 1, 'name': 'Ms. Angela B. Dinger', 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",820368000,86400,2,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.15,0.061300002,1683763200,0.493775,20.718233,400,400,19,0,0,13589700,18.4,23.0,0.5251246,18.666,20.27525,0.2,0.010666667,USD,19594784,0.03126,836062,724785,0.0,0.02605,15.218,1.2320936,820368000,851990400,844041600,0.104,808902,0.905,0.757,4.176,PNK,EQUITY,SADL,SADL,SADLIER(WILLIAM H.) INC,"William H. Sadlier, Inc.",925738200,America/New_York,EDT,-14400000,18.75,none,2181303,2.456,4692371,5125000,1.147,1.549,25879000,37.923,28.94,0.0505,0.06126,12209961,3467860,3241121,0.105,0.122,0.55081004,0.18132,0.07434,USD,
6,9 Pine Street,New York,NY,10005,United States,212-227-2120,212-267-8696,https://www.sadlier.com,Publishing,Communication Services,"William H. Sadlier, Inc. publishes print, digital, and online educational materials for public and nonpublic schools. It also publishes catechetical materials for catholic schools, parishes, and families. The company was founded in 1832 and is based in New York, New York.",157,"{'maxAge': 1, 'name': 'Jeanine  Ferrara', 'title': 'Sr. VP of Publisher & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",820368000,86400,2,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.15,0.061300002,1683763200,0.493775,20.718233,400,400,19,0,0,13589700,18.4,23.0,0.5251246,18.666,20.27525,0.2,0.010666667,USD,19594784,0.03126,836062,724785,0.0,0.02605,15.218,1.2320936,820368000,851990400,844041600,0.104,808902,0.905,0.757,4.176,PNK,EQUITY,SADL,SADL,SADLIER(WILLIAM H.) INC,"William H. Sadlier, Inc.",925738200,America/New_York,EDT,-14400000,18.75,none,2181303,2.456,4692371,5125000,1.147,1.549,25879000,37.923,28.94,0.0505,0.06126,12209961,3467860,3241121,0.105,0.122,0.55081004,0.18132,0.07434,USD,
7,9 Pine Street,New York,NY,10005,United States,212-227-2120,212-267-8696,https://www.sadlier.com,Publishing,Communication Services,"William H. Sadlier, Inc. publishes print, digital, and online educational materials for public and nonpublic schools. It also publishes catechetical materials for catholic schools, parishes, and families. The company was founded in 1832 and is based in New York, New York.",157,"{'maxAge': 1, 'name': 'Mr. David  Konis', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",820368000,86400,2,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.15,0.061300002,1683763200,0.493775,20.718233,400,400,19,0,0,13589700,18.4,23.0,0.5251246,18.666,20.27525,0.2,0.010666667,USD,19594784,0.03126,836062,724785,0.0,0.02605,15.218,1.2320936,820368000,851990400,844041600,0.104,808902,0.905,0.757,4.176,PNK,EQUITY,SADL,SADL,SADLIER(WILLIAM H.) INC,"William H. Sadlier, Inc.",925738200,America/New_York,EDT,-14400000,18.75,none,2181303,2.456,4692371,5125000,1.147,1.549,25879000,37.923,28.94,0.0505,0.06126,12209961,3467860,3241121,0.105,0.122,0.55081004,0.18132,0.07434,USD,
8,9 Pine Street,New York,NY,10005,United States,212-227-2120,212-267-8696,https://www.sadlier.com,Publishing,Communication Services,"William H. Sadlier, Inc. publishes print, digital, and online educational materials for public and nonpublic schools. It also publishes catechetical materials for catholic schools, parishes, and families. The company was founded in 1832 and is based in New York, New York.",157,"{'maxAge': 1, 'name': ""Mr. Kevin  O'Donnell"", 'title': 'Sr. VP & Corp. Strategy Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",820368000,86400,2,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.15,0.061300002,1683763200,0.493775,20.718233,400,400,19,0,0,13589700,18.4,23.0,0.5251246,18.666,20.27525,0.2,0.010666667,USD,19594784,0.03126,836062,724785,0.0,0.02605,15.218,1.2320936,820368000,851990400,844041600,0.104,808902,0.905,0.757,4.176,PNK,EQUITY,SADL,SADL,SADLIER(WILLIAM H.) INC,"William H. Sadlier, Inc.",925738200,America/New_York,EDT,-14400000,18.75,none,2181303,2.456,4692371,5125000,1.147,1.549,25879000,37.923,28.94,0.0505,0.06126,12209961,3467860,3241121,0.105,0.122,0.55081004,0.18132,0.07434,USD,
9,9 Pine Street,New York,NY,10005,United States,212-227-2120,212-267-8696,https://www.sadlier.com,Publishing,Communication Services,"William H. Sadlier, Inc. publishes print, digital, and online educational materials for public and nonpublic schools. It also publishes catechetical materials for catholic schools, parishes, and families. The company was founded in 1832 and is based in New York, New York.",157,"{'maxAge': 1, 'name': 'Ms. Dulce M. Jiménez-Abreu', 'title': 'Director of Spanish Programs', 'exercisedValue': 0, 'unexercisedValue': 0}",820368000,86400,2,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.15,0.061300002,1683763200,0.493775,20.718233,400,400,19,0,0,13589700,18.4,23.0,0.5251246,18.666,20.27525,0.2,0.010666667,USD,19594784,0.03126,836062,724785,0.0,0.02605,15.218,1.2320936,820368000,851990400,844041600,0.104,808902,0.905,0.757,4.176,PNK,EQUITY,SADL,SADL,SADLIER(WILLIAM H.) INC,"William H. Sadlier, Inc.",925738200,America/New_York,EDT,-14400000,18.75,none,2181303,2.456,4692371,5125000,1.147,1.549,25879000,37.923,28.94,0.0505,0.06126,12209961,3467860,3241121,0.105,0.122,0.55081004,0.18132,0.07434,USD,
