,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"2882 Sand Hill Road, Suite 106",Menlo Park,Cambridge,MA,94025,United States,650 460 8308,https://www.summittxinc.com,Biotechnology,Healthcare,"Summit Therapeutics Inc., a biopharmaceutical company, research and develops primarily oncology therapies in the United States, and the United Kingdom. The company's product pipeline includes SMT-738, a novel class of precision antibiotics for treatment which is in preclinical stage for the treatment of multidrug resistant infections, which primarily includes carbapenem-resistant Enterobacteriaceae infections. It has a collaboration and license agreement with Akeso, Inc. for research and develop Ivonescimab (AK112) and SMT112, a bispecific antibody for immunotherapy through blockade of PD-1 with the anti-angiogenesis. The company was founded in 2003 and is headquartered in Cambridge, Massachusetts.",76,"{'maxAge': 1, 'name': 'Mr. Robert W. Duggan', 'age': 77, 'title': 'CEO & Exec. Chairman', 'yearBorn': 1945, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.91,1.91,1.815,1.98,1.91,1.91,1.815,1.98,0.0,-0.838865,-1.7314814,1988410,1988410,1590301,1161450,1161450,1.81,1.96,1400,1300,1304670976,0.66,5.78,5930.3228,1.8901,2.277875,0.0,0.0,USD,1196916608,0.0,114580867,697684992,10530266,10823625,1690761600,1693440000,0.0150999995,0.29614002,0.032679997,9.16,0.0919,0.171,10.935673,1672444800,1703980800,1688083200,-597707008,-1.16,-1.08,5440.53,-19.52,NGM,EQUITY,SMMT,SMMT,Summit Therapeutics Inc.,Summit Therapeutics Inc.,1425565800,America/New_York,EDT,-14400000,1.87,1.0,strong_buy,215014000,0.308,-61318000,107259000,18.408,19.068,220000,89.682,0.001,-0.23292999,-6.99416,705000,-31509876,-45768000,1.0,0.0,-282.1318,USD,
1,"2882 Sand Hill Road, Suite 106",Menlo Park,Cambridge,MA,94025,United States,650 460 8308,https://www.summittxinc.com,Biotechnology,Healthcare,"Summit Therapeutics Inc., a biopharmaceutical company, research and develops primarily oncology therapies in the United States, and the United Kingdom. The company's product pipeline includes SMT-738, a novel class of precision antibiotics for treatment which is in preclinical stage for the treatment of multidrug resistant infections, which primarily includes carbapenem-resistant Enterobacteriaceae infections. It has a collaboration and license agreement with Akeso, Inc. for research and develop Ivonescimab (AK112) and SMT112, a bispecific antibody for immunotherapy through blockade of PD-1 with the anti-angiogenesis. The company was founded in 2003 and is headquartered in Cambridge, Massachusetts.",76,"{'maxAge': 1, 'name': 'Dr. Mahkam  Zanganeh D.D.S., M.B.A., MBA', 'age': 52, 'title': 'CEO, Pres & Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 934849, 'exercisedValue': 0, 'unexercisedValue': 55794}",1672444800,86400,4,1.91,1.91,1.815,1.98,1.91,1.91,1.815,1.98,0.0,-0.838865,-1.7314814,1988410,1988410,1590301,1161450,1161450,1.81,1.96,1400,1300,1304670976,0.66,5.78,5930.3228,1.8901,2.277875,0.0,0.0,USD,1196916608,0.0,114580867,697684992,10530266,10823625,1690761600,1693440000,0.0150999995,0.29614002,0.032679997,9.16,0.0919,0.171,10.935673,1672444800,1703980800,1688083200,-597707008,-1.16,-1.08,5440.53,-19.52,NGM,EQUITY,SMMT,SMMT,Summit Therapeutics Inc.,Summit Therapeutics Inc.,1425565800,America/New_York,EDT,-14400000,1.87,1.0,strong_buy,215014000,0.308,-61318000,107259000,18.408,19.068,220000,89.682,0.001,-0.23292999,-6.99416,705000,-31509876,-45768000,1.0,0.0,-282.1318,USD,
2,"2882 Sand Hill Road, Suite 106",Menlo Park,Cambridge,MA,94025,United States,650 460 8308,https://www.summittxinc.com,Biotechnology,Healthcare,"Summit Therapeutics Inc., a biopharmaceutical company, research and develops primarily oncology therapies in the United States, and the United Kingdom. The company's product pipeline includes SMT-738, a novel class of precision antibiotics for treatment which is in preclinical stage for the treatment of multidrug resistant infections, which primarily includes carbapenem-resistant Enterobacteriaceae infections. It has a collaboration and license agreement with Akeso, Inc. for research and develop Ivonescimab (AK112) and SMT112, a bispecific antibody for immunotherapy through blockade of PD-1 with the anti-angiogenesis. The company was founded in 2003 and is headquartered in Cambridge, Massachusetts.",76,"{'maxAge': 1, 'name': 'Mr. Ankur  Dhingra', 'age': 46, 'title': 'Chief Financial Officer', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 668386, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.91,1.91,1.815,1.98,1.91,1.91,1.815,1.98,0.0,-0.838865,-1.7314814,1988410,1988410,1590301,1161450,1161450,1.81,1.96,1400,1300,1304670976,0.66,5.78,5930.3228,1.8901,2.277875,0.0,0.0,USD,1196916608,0.0,114580867,697684992,10530266,10823625,1690761600,1693440000,0.0150999995,0.29614002,0.032679997,9.16,0.0919,0.171,10.935673,1672444800,1703980800,1688083200,-597707008,-1.16,-1.08,5440.53,-19.52,NGM,EQUITY,SMMT,SMMT,Summit Therapeutics Inc.,Summit Therapeutics Inc.,1425565800,America/New_York,EDT,-14400000,1.87,1.0,strong_buy,215014000,0.308,-61318000,107259000,18.408,19.068,220000,89.682,0.001,-0.23292999,-6.99416,705000,-31509876,-45768000,1.0,0.0,-282.1318,USD,
3,"2882 Sand Hill Road, Suite 106",Menlo Park,Cambridge,MA,94025,United States,650 460 8308,https://www.summittxinc.com,Biotechnology,Healthcare,"Summit Therapeutics Inc., a biopharmaceutical company, research and develops primarily oncology therapies in the United States, and the United Kingdom. The company's product pipeline includes SMT-738, a novel class of precision antibiotics for treatment which is in preclinical stage for the treatment of multidrug resistant infections, which primarily includes carbapenem-resistant Enterobacteriaceae infections. It has a collaboration and license agreement with Akeso, Inc. for research and develop Ivonescimab (AK112) and SMT112, a bispecific antibody for immunotherapy through blockade of PD-1 with the anti-angiogenesis. The company was founded in 2003 and is headquartered in Cambridge, Massachusetts.",76,"{'maxAge': 1, 'name': 'Dr. Urte  Gayko Ph.D.', 'age': 51, 'title': 'Head of Regulatory Affairs, Quality Assurance & Safety', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.91,1.91,1.815,1.98,1.91,1.91,1.815,1.98,0.0,-0.838865,-1.7314814,1988410,1988410,1590301,1161450,1161450,1.81,1.96,1400,1300,1304670976,0.66,5.78,5930.3228,1.8901,2.277875,0.0,0.0,USD,1196916608,0.0,114580867,697684992,10530266,10823625,1690761600,1693440000,0.0150999995,0.29614002,0.032679997,9.16,0.0919,0.171,10.935673,1672444800,1703980800,1688083200,-597707008,-1.16,-1.08,5440.53,-19.52,NGM,EQUITY,SMMT,SMMT,Summit Therapeutics Inc.,Summit Therapeutics Inc.,1425565800,America/New_York,EDT,-14400000,1.87,1.0,strong_buy,215014000,0.308,-61318000,107259000,18.408,19.068,220000,89.682,0.001,-0.23292999,-6.99416,705000,-31509876,-45768000,1.0,0.0,-282.1318,USD,
4,"2882 Sand Hill Road, Suite 106",Menlo Park,Cambridge,MA,94025,United States,650 460 8308,https://www.summittxinc.com,Biotechnology,Healthcare,"Summit Therapeutics Inc., a biopharmaceutical company, research and develops primarily oncology therapies in the United States, and the United Kingdom. The company's product pipeline includes SMT-738, a novel class of precision antibiotics for treatment which is in preclinical stage for the treatment of multidrug resistant infections, which primarily includes carbapenem-resistant Enterobacteriaceae infections. It has a collaboration and license agreement with Akeso, Inc. for research and develop Ivonescimab (AK112) and SMT112, a bispecific antibody for immunotherapy through blockade of PD-1 with the anti-angiogenesis. The company was founded in 2003 and is headquartered in Cambridge, Massachusetts.",76,"{'maxAge': 1, 'name': 'Prof. Dame Kay Davies DBE, FRS CBE', 'age': 71, 'title': 'Co-Founder, Chairman of Scientific Advisory Board and Scientific Advisor', 'yearBorn': 1951, 'fiscalYear': 2005, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.91,1.91,1.815,1.98,1.91,1.91,1.815,1.98,0.0,-0.838865,-1.7314814,1988410,1988410,1590301,1161450,1161450,1.81,1.96,1400,1300,1304670976,0.66,5.78,5930.3228,1.8901,2.277875,0.0,0.0,USD,1196916608,0.0,114580867,697684992,10530266,10823625,1690761600,1693440000,0.0150999995,0.29614002,0.032679997,9.16,0.0919,0.171,10.935673,1672444800,1703980800,1688083200,-597707008,-1.16,-1.08,5440.53,-19.52,NGM,EQUITY,SMMT,SMMT,Summit Therapeutics Inc.,Summit Therapeutics Inc.,1425565800,America/New_York,EDT,-14400000,1.87,1.0,strong_buy,215014000,0.308,-61318000,107259000,18.408,19.068,220000,89.682,0.001,-0.23292999,-6.99416,705000,-31509876,-45768000,1.0,0.0,-282.1318,USD,
5,"2882 Sand Hill Road, Suite 106",Menlo Park,Cambridge,MA,94025,United States,650 460 8308,https://www.summittxinc.com,Biotechnology,Healthcare,"Summit Therapeutics Inc., a biopharmaceutical company, research and develops primarily oncology therapies in the United States, and the United Kingdom. The company's product pipeline includes SMT-738, a novel class of precision antibiotics for treatment which is in preclinical stage for the treatment of multidrug resistant infections, which primarily includes carbapenem-resistant Enterobacteriaceae infections. It has a collaboration and license agreement with Akeso, Inc. for research and develop Ivonescimab (AK112) and SMT112, a bispecific antibody for immunotherapy through blockade of PD-1 with the anti-angiogenesis. The company was founded in 2003 and is headquartered in Cambridge, Massachusetts.",76,"{'maxAge': 1, 'name': 'Dr. Elaine Carla Stracker J.D., Ph.D.', 'age': 61, 'title': 'Head of Compliance? & Gen. Counsel', 'yearBorn': 1961, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.91,1.91,1.815,1.98,1.91,1.91,1.815,1.98,0.0,-0.838865,-1.7314814,1988410,1988410,1590301,1161450,1161450,1.81,1.96,1400,1300,1304670976,0.66,5.78,5930.3228,1.8901,2.277875,0.0,0.0,USD,1196916608,0.0,114580867,697684992,10530266,10823625,1690761600,1693440000,0.0150999995,0.29614002,0.032679997,9.16,0.0919,0.171,10.935673,1672444800,1703980800,1688083200,-597707008,-1.16,-1.08,5440.53,-19.52,NGM,EQUITY,SMMT,SMMT,Summit Therapeutics Inc.,Summit Therapeutics Inc.,1425565800,America/New_York,EDT,-14400000,1.87,1.0,strong_buy,215014000,0.308,-61318000,107259000,18.408,19.068,220000,89.682,0.001,-0.23292999,-6.99416,705000,-31509876,-45768000,1.0,0.0,-282.1318,USD,
6,"2882 Sand Hill Road, Suite 106",Menlo Park,Cambridge,MA,94025,United States,650 460 8308,https://www.summittxinc.com,Biotechnology,Healthcare,"Summit Therapeutics Inc., a biopharmaceutical company, research and develops primarily oncology therapies in the United States, and the United Kingdom. The company's product pipeline includes SMT-738, a novel class of precision antibiotics for treatment which is in preclinical stage for the treatment of multidrug resistant infections, which primarily includes carbapenem-resistant Enterobacteriaceae infections. It has a collaboration and license agreement with Akeso, Inc. for research and develop Ivonescimab (AK112) and SMT112, a bispecific antibody for immunotherapy through blockade of PD-1 with the anti-angiogenesis. The company was founded in 2003 and is headquartered in Cambridge, Massachusetts.",76,"{'maxAge': 1, 'name': 'Ms. Shelley D. Spray', 'age': 57, 'title': 'Head of Corp. Education, Communications & Creative?', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.91,1.91,1.815,1.98,1.91,1.91,1.815,1.98,0.0,-0.838865,-1.7314814,1988410,1988410,1590301,1161450,1161450,1.81,1.96,1400,1300,1304670976,0.66,5.78,5930.3228,1.8901,2.277875,0.0,0.0,USD,1196916608,0.0,114580867,697684992,10530266,10823625,1690761600,1693440000,0.0150999995,0.29614002,0.032679997,9.16,0.0919,0.171,10.935673,1672444800,1703980800,1688083200,-597707008,-1.16,-1.08,5440.53,-19.52,NGM,EQUITY,SMMT,SMMT,Summit Therapeutics Inc.,Summit Therapeutics Inc.,1425565800,America/New_York,EDT,-14400000,1.87,1.0,strong_buy,215014000,0.308,-61318000,107259000,18.408,19.068,220000,89.682,0.001,-0.23292999,-6.99416,705000,-31509876,-45768000,1.0,0.0,-282.1318,USD,
7,"2882 Sand Hill Road, Suite 106",Menlo Park,Cambridge,MA,94025,United States,650 460 8308,https://www.summittxinc.com,Biotechnology,Healthcare,"Summit Therapeutics Inc., a biopharmaceutical company, research and develops primarily oncology therapies in the United States, and the United Kingdom. The company's product pipeline includes SMT-738, a novel class of precision antibiotics for treatment which is in preclinical stage for the treatment of multidrug resistant infections, which primarily includes carbapenem-resistant Enterobacteriaceae infections. It has a collaboration and license agreement with Akeso, Inc. for research and develop Ivonescimab (AK112) and SMT112, a bispecific antibody for immunotherapy through blockade of PD-1 with the anti-angiogenesis. The company was founded in 2003 and is headquartered in Cambridge, Massachusetts.",76,"{'maxAge': 1, 'name': 'Ms. Abby Guzman Murphy', 'title': 'Head of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.91,1.91,1.815,1.98,1.91,1.91,1.815,1.98,0.0,-0.838865,-1.7314814,1988410,1988410,1590301,1161450,1161450,1.81,1.96,1400,1300,1304670976,0.66,5.78,5930.3228,1.8901,2.277875,0.0,0.0,USD,1196916608,0.0,114580867,697684992,10530266,10823625,1690761600,1693440000,0.0150999995,0.29614002,0.032679997,9.16,0.0919,0.171,10.935673,1672444800,1703980800,1688083200,-597707008,-1.16,-1.08,5440.53,-19.52,NGM,EQUITY,SMMT,SMMT,Summit Therapeutics Inc.,Summit Therapeutics Inc.,1425565800,America/New_York,EDT,-14400000,1.87,1.0,strong_buy,215014000,0.308,-61318000,107259000,18.408,19.068,220000,89.682,0.001,-0.23292999,-6.99416,705000,-31509876,-45768000,1.0,0.0,-282.1318,USD,
8,"2882 Sand Hill Road, Suite 106",Menlo Park,Cambridge,MA,94025,United States,650 460 8308,https://www.summittxinc.com,Biotechnology,Healthcare,"Summit Therapeutics Inc., a biopharmaceutical company, research and develops primarily oncology therapies in the United States, and the United Kingdom. The company's product pipeline includes SMT-738, a novel class of precision antibiotics for treatment which is in preclinical stage for the treatment of multidrug resistant infections, which primarily includes carbapenem-resistant Enterobacteriaceae infections. It has a collaboration and license agreement with Akeso, Inc. for research and develop Ivonescimab (AK112) and SMT112, a bispecific antibody for immunotherapy through blockade of PD-1 with the anti-angiogenesis. The company was founded in 2003 and is headquartered in Cambridge, Massachusetts.",76,"{'maxAge': 1, 'name': 'Ms. Divya  Chari', 'age': 54, 'title': 'Head of Global Clinical Operations', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.91,1.91,1.815,1.98,1.91,1.91,1.815,1.98,0.0,-0.838865,-1.7314814,1988410,1988410,1590301,1161450,1161450,1.81,1.96,1400,1300,1304670976,0.66,5.78,5930.3228,1.8901,2.277875,0.0,0.0,USD,1196916608,0.0,114580867,697684992,10530266,10823625,1690761600,1693440000,0.0150999995,0.29614002,0.032679997,9.16,0.0919,0.171,10.935673,1672444800,1703980800,1688083200,-597707008,-1.16,-1.08,5440.53,-19.52,NGM,EQUITY,SMMT,SMMT,Summit Therapeutics Inc.,Summit Therapeutics Inc.,1425565800,America/New_York,EDT,-14400000,1.87,1.0,strong_buy,215014000,0.308,-61318000,107259000,18.408,19.068,220000,89.682,0.001,-0.23292999,-6.99416,705000,-31509876,-45768000,1.0,0.0,-282.1318,USD,
9,"2882 Sand Hill Road, Suite 106",Menlo Park,Cambridge,MA,94025,United States,650 460 8308,https://www.summittxinc.com,Biotechnology,Healthcare,"Summit Therapeutics Inc., a biopharmaceutical company, research and develops primarily oncology therapies in the United States, and the United Kingdom. The company's product pipeline includes SMT-738, a novel class of precision antibiotics for treatment which is in preclinical stage for the treatment of multidrug resistant infections, which primarily includes carbapenem-resistant Enterobacteriaceae infections. It has a collaboration and license agreement with Akeso, Inc. for research and develop Ivonescimab (AK112) and SMT112, a bispecific antibody for immunotherapy through blockade of PD-1 with the anti-angiogenesis. The company was founded in 2003 and is headquartered in Cambridge, Massachusetts.",76,"{'maxAge': 1, 'name': 'Mr. Dave  Gancarz', 'title': 'Sr. VP of Stakeholder Relations, Bus. Devel. & Corp. Strategy?', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.91,1.91,1.815,1.98,1.91,1.91,1.815,1.98,0.0,-0.838865,-1.7314814,1988410,1988410,1590301,1161450,1161450,1.81,1.96,1400,1300,1304670976,0.66,5.78,5930.3228,1.8901,2.277875,0.0,0.0,USD,1196916608,0.0,114580867,697684992,10530266,10823625,1690761600,1693440000,0.0150999995,0.29614002,0.032679997,9.16,0.0919,0.171,10.935673,1672444800,1703980800,1688083200,-597707008,-1.16,-1.08,5440.53,-19.52,NGM,EQUITY,SMMT,SMMT,Summit Therapeutics Inc.,Summit Therapeutics Inc.,1425565800,America/New_York,EDT,-14400000,1.87,1.0,strong_buy,215014000,0.308,-61318000,107259000,18.408,19.068,220000,89.682,0.001,-0.23292999,-6.99416,705000,-31509876,-45768000,1.0,0.0,-282.1318,USD,
