,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 8607,https://www.mapletreeindustrialtrust.com,REIT—Industrial,Real Estate,"Mapletree Industrial Trust is a real estate investment trust (REIT) listed on the Main Board of Singapore Exchange. Its principal investment strategy is to invest in a diversified portfolio of income-producing real estate used primarily for industrial purposes in Singapore and income producing real estate used primarily as data centres worldwide beyond Singapore, as well as real estate-related assets. As at 30 June 2023, MIT's total assets under management was S$8.8 billion, which comprised 85 properties in Singapore and 56 properties in North America (including 13 data centres held through the joint venture with Mapletree Investments Pte Ltd). MIT's property portfolio includes Data Centres, Hi-Tech Buildings, Business Park Buildings, Flatted Factories, Stack-up/Rampup Buildings and Light Industrial Buildings. MIT is managed by Mapletree Industrial Trust Management Ltd. and sponsored by Mapletree Investments Pte Ltd.",186,"{'maxAge': 1, 'name': 'Mr. Kuo Wei  Tham', 'age': 53, 'title': 'CEO & Exec. Director of Mapletree Industrial Trust Management Ltd.', 'yearBorn': 1969, 'fiscalYear': 2023, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.27,2.27,2.27,2.32,2.27,2.27,2.27,2.32,0.1,0.044499997,1690934400,1.6082001,4.61,0.311186,23.0,16.428572,12862500,12862500,4314919,5250330,5250330,2.29,2.3,6517003776,2.12,2.58,9.480037,2.2476,2.2855,0.135,0.05947137,SGD,9040148480,0.41323003,2120313368,2833479936,0.0068,0.47065,1.852,1.2419007,1680220800,1711843200,1688083200,-0.07,274624992,0.1,0.14,-2.95,13.15,20.002,SES,EQUITY,ME8U.SI,ME8U.SI,Mapletree Ind Tr,Mapletree Industrial Trust,1287622800,Asia/Singapore,SGT,28800000,2.3,2.89,2.21,2.52,2.6,2.4,buy,15,519873984,0.184,451952992,3122939904,1.0,1.102,687444992,56.257,0.252,0.05246,466530000,454875008,-0.1,0.015,0.67963,0.65744,0.65736,SGD,3.2938
1,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 8607,https://www.mapletreeindustrialtrust.com,REIT—Industrial,Real Estate,"Mapletree Industrial Trust is a real estate investment trust (REIT) listed on the Main Board of Singapore Exchange. Its principal investment strategy is to invest in a diversified portfolio of income-producing real estate used primarily for industrial purposes in Singapore and income producing real estate used primarily as data centres worldwide beyond Singapore, as well as real estate-related assets. As at 30 June 2023, MIT's total assets under management was S$8.8 billion, which comprised 85 properties in Singapore and 56 properties in North America (including 13 data centres held through the joint venture with Mapletree Investments Pte Ltd). MIT's property portfolio includes Data Centres, Hi-Tech Buildings, Business Park Buildings, Flatted Factories, Stack-up/Rampup Buildings and Light Industrial Buildings. MIT is managed by Mapletree Industrial Trust Management Ltd. and sponsored by Mapletree Investments Pte Ltd.",186,"{'maxAge': 1, 'name': 'Ms. Lily  Ler C.F.A.', 'age': 50, 'title': 'Chief Financial Officer - Mapletree Industrial Trust Management Ltd.', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.27,2.27,2.27,2.32,2.27,2.27,2.27,2.32,0.1,0.044499997,1690934400,1.6082001,4.61,0.311186,23.0,16.428572,12862500,12862500,4314919,5250330,5250330,2.29,2.3,6517003776,2.12,2.58,9.480037,2.2476,2.2855,0.135,0.05947137,SGD,9040148480,0.41323003,2120313368,2833479936,0.0068,0.47065,1.852,1.2419007,1680220800,1711843200,1688083200,-0.07,274624992,0.1,0.14,-2.95,13.15,20.002,SES,EQUITY,ME8U.SI,ME8U.SI,Mapletree Ind Tr,Mapletree Industrial Trust,1287622800,Asia/Singapore,SGT,28800000,2.3,2.89,2.21,2.52,2.6,2.4,buy,15,519873984,0.184,451952992,3122939904,1.0,1.102,687444992,56.257,0.252,0.05246,466530000,454875008,-0.1,0.015,0.67963,0.65744,0.65736,SGD,3.2938
2,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 8607,https://www.mapletreeindustrialtrust.com,REIT—Industrial,Real Estate,"Mapletree Industrial Trust is a real estate investment trust (REIT) listed on the Main Board of Singapore Exchange. Its principal investment strategy is to invest in a diversified portfolio of income-producing real estate used primarily for industrial purposes in Singapore and income producing real estate used primarily as data centres worldwide beyond Singapore, as well as real estate-related assets. As at 30 June 2023, MIT's total assets under management was S$8.8 billion, which comprised 85 properties in Singapore and 56 properties in North America (including 13 data centres held through the joint venture with Mapletree Investments Pte Ltd). MIT's property portfolio includes Data Centres, Hi-Tech Buildings, Business Park Buildings, Flatted Factories, Stack-up/Rampup Buildings and Light Industrial Buildings. MIT is managed by Mapletree Industrial Trust Management Ltd. and sponsored by Mapletree Investments Pte Ltd.",186,"{'maxAge': 1, 'name': 'Mr. Che Heng Tan', 'title': 'Head of Investment - Mapletree Industrial Trust Management Ltd.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.27,2.27,2.27,2.32,2.27,2.27,2.27,2.32,0.1,0.044499997,1690934400,1.6082001,4.61,0.311186,23.0,16.428572,12862500,12862500,4314919,5250330,5250330,2.29,2.3,6517003776,2.12,2.58,9.480037,2.2476,2.2855,0.135,0.05947137,SGD,9040148480,0.41323003,2120313368,2833479936,0.0068,0.47065,1.852,1.2419007,1680220800,1711843200,1688083200,-0.07,274624992,0.1,0.14,-2.95,13.15,20.002,SES,EQUITY,ME8U.SI,ME8U.SI,Mapletree Ind Tr,Mapletree Industrial Trust,1287622800,Asia/Singapore,SGT,28800000,2.3,2.89,2.21,2.52,2.6,2.4,buy,15,519873984,0.184,451952992,3122939904,1.0,1.102,687444992,56.257,0.252,0.05246,466530000,454875008,-0.1,0.015,0.67963,0.65744,0.65736,SGD,3.2938
3,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 8607,https://www.mapletreeindustrialtrust.com,REIT—Industrial,Real Estate,"Mapletree Industrial Trust is a real estate investment trust (REIT) listed on the Main Board of Singapore Exchange. Its principal investment strategy is to invest in a diversified portfolio of income-producing real estate used primarily for industrial purposes in Singapore and income producing real estate used primarily as data centres worldwide beyond Singapore, as well as real estate-related assets. As at 30 June 2023, MIT's total assets under management was S$8.8 billion, which comprised 85 properties in Singapore and 56 properties in North America (including 13 data centres held through the joint venture with Mapletree Investments Pte Ltd). MIT's property portfolio includes Data Centres, Hi-Tech Buildings, Business Park Buildings, Flatted Factories, Stack-up/Rampup Buildings and Light Industrial Buildings. MIT is managed by Mapletree Industrial Trust Management Ltd. and sponsored by Mapletree Investments Pte Ltd.",186,"{'maxAge': 1, 'name': 'Ms. Hwei Leng  Tan', 'title': 'Director of Investor Relations - Mapletree Industrial Trust Management Ltd.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.27,2.27,2.27,2.32,2.27,2.27,2.27,2.32,0.1,0.044499997,1690934400,1.6082001,4.61,0.311186,23.0,16.428572,12862500,12862500,4314919,5250330,5250330,2.29,2.3,6517003776,2.12,2.58,9.480037,2.2476,2.2855,0.135,0.05947137,SGD,9040148480,0.41323003,2120313368,2833479936,0.0068,0.47065,1.852,1.2419007,1680220800,1711843200,1688083200,-0.07,274624992,0.1,0.14,-2.95,13.15,20.002,SES,EQUITY,ME8U.SI,ME8U.SI,Mapletree Ind Tr,Mapletree Industrial Trust,1287622800,Asia/Singapore,SGT,28800000,2.3,2.89,2.21,2.52,2.6,2.4,buy,15,519873984,0.184,451952992,3122939904,1.0,1.102,687444992,56.257,0.252,0.05246,466530000,454875008,-0.1,0.015,0.67963,0.65744,0.65736,SGD,3.2938
4,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 8607,https://www.mapletreeindustrialtrust.com,REIT—Industrial,Real Estate,"Mapletree Industrial Trust is a real estate investment trust (REIT) listed on the Main Board of Singapore Exchange. Its principal investment strategy is to invest in a diversified portfolio of income-producing real estate used primarily for industrial purposes in Singapore and income producing real estate used primarily as data centres worldwide beyond Singapore, as well as real estate-related assets. As at 30 June 2023, MIT's total assets under management was S$8.8 billion, which comprised 85 properties in Singapore and 56 properties in North America (including 13 data centres held through the joint venture with Mapletree Investments Pte Ltd). MIT's property portfolio includes Data Centres, Hi-Tech Buildings, Business Park Buildings, Flatted Factories, Stack-up/Rampup Buildings and Light Industrial Buildings. MIT is managed by Mapletree Industrial Trust Management Ltd. and sponsored by Mapletree Investments Pte Ltd.",186,"{'maxAge': 1, 'name': 'Ms. Mei Fong Tam', 'age': 45, 'title': 'Head of Asset Management - Mapletree Industrial Trust Management Ltd.', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.27,2.27,2.27,2.32,2.27,2.27,2.27,2.32,0.1,0.044499997,1690934400,1.6082001,4.61,0.311186,23.0,16.428572,12862500,12862500,4314919,5250330,5250330,2.29,2.3,6517003776,2.12,2.58,9.480037,2.2476,2.2855,0.135,0.05947137,SGD,9040148480,0.41323003,2120313368,2833479936,0.0068,0.47065,1.852,1.2419007,1680220800,1711843200,1688083200,-0.07,274624992,0.1,0.14,-2.95,13.15,20.002,SES,EQUITY,ME8U.SI,ME8U.SI,Mapletree Ind Tr,Mapletree Industrial Trust,1287622800,Asia/Singapore,SGT,28800000,2.3,2.89,2.21,2.52,2.6,2.4,buy,15,519873984,0.184,451952992,3122939904,1.0,1.102,687444992,56.257,0.252,0.05246,466530000,454875008,-0.1,0.015,0.67963,0.65744,0.65736,SGD,3.2938
5,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 8607,https://www.mapletreeindustrialtrust.com,REIT—Industrial,Real Estate,"Mapletree Industrial Trust is a real estate investment trust (REIT) listed on the Main Board of Singapore Exchange. Its principal investment strategy is to invest in a diversified portfolio of income-producing real estate used primarily for industrial purposes in Singapore and income producing real estate used primarily as data centres worldwide beyond Singapore, as well as real estate-related assets. As at 30 June 2023, MIT's total assets under management was S$8.8 billion, which comprised 85 properties in Singapore and 56 properties in North America (including 13 data centres held through the joint venture with Mapletree Investments Pte Ltd). MIT's property portfolio includes Data Centres, Hi-Tech Buildings, Business Park Buildings, Flatted Factories, Stack-up/Rampup Buildings and Light Industrial Buildings. MIT is managed by Mapletree Industrial Trust Management Ltd. and sponsored by Mapletree Investments Pte Ltd.",186,"{'maxAge': 1, 'name': 'Ms. Siok Khim Chng', 'title': 'Head of Marketing - Singapore - Mapletree Industrial Trust Management Ltd.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.27,2.27,2.27,2.32,2.27,2.27,2.27,2.32,0.1,0.044499997,1690934400,1.6082001,4.61,0.311186,23.0,16.428572,12862500,12862500,4314919,5250330,5250330,2.29,2.3,6517003776,2.12,2.58,9.480037,2.2476,2.2855,0.135,0.05947137,SGD,9040148480,0.41323003,2120313368,2833479936,0.0068,0.47065,1.852,1.2419007,1680220800,1711843200,1688083200,-0.07,274624992,0.1,0.14,-2.95,13.15,20.002,SES,EQUITY,ME8U.SI,ME8U.SI,Mapletree Ind Tr,Mapletree Industrial Trust,1287622800,Asia/Singapore,SGT,28800000,2.3,2.89,2.21,2.52,2.6,2.4,buy,15,519873984,0.184,451952992,3122939904,1.0,1.102,687444992,56.257,0.252,0.05246,466530000,454875008,-0.1,0.015,0.67963,0.65744,0.65736,SGD,3.2938
6,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 8607,https://www.mapletreeindustrialtrust.com,REIT—Industrial,Real Estate,"Mapletree Industrial Trust is a real estate investment trust (REIT) listed on the Main Board of Singapore Exchange. Its principal investment strategy is to invest in a diversified portfolio of income-producing real estate used primarily for industrial purposes in Singapore and income producing real estate used primarily as data centres worldwide beyond Singapore, as well as real estate-related assets. As at 30 June 2023, MIT's total assets under management was S$8.8 billion, which comprised 85 properties in Singapore and 56 properties in North America (including 13 data centres held through the joint venture with Mapletree Investments Pte Ltd). MIT's property portfolio includes Data Centres, Hi-Tech Buildings, Business Park Buildings, Flatted Factories, Stack-up/Rampup Buildings and Light Industrial Buildings. MIT is managed by Mapletree Industrial Trust Management Ltd. and sponsored by Mapletree Investments Pte Ltd.",186,"{'maxAge': 1, 'name': 'Mr. Tzyy Woon Tan', 'title': 'Head of Property Management - Mapletree Industrial Trust Management Ltd.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.27,2.27,2.27,2.32,2.27,2.27,2.27,2.32,0.1,0.044499997,1690934400,1.6082001,4.61,0.311186,23.0,16.428572,12862500,12862500,4314919,5250330,5250330,2.29,2.3,6517003776,2.12,2.58,9.480037,2.2476,2.2855,0.135,0.05947137,SGD,9040148480,0.41323003,2120313368,2833479936,0.0068,0.47065,1.852,1.2419007,1680220800,1711843200,1688083200,-0.07,274624992,0.1,0.14,-2.95,13.15,20.002,SES,EQUITY,ME8U.SI,ME8U.SI,Mapletree Ind Tr,Mapletree Industrial Trust,1287622800,Asia/Singapore,SGT,28800000,2.3,2.89,2.21,2.52,2.6,2.4,buy,15,519873984,0.184,451952992,3122939904,1.0,1.102,687444992,56.257,0.252,0.05246,466530000,454875008,-0.1,0.015,0.67963,0.65744,0.65736,SGD,3.2938
7,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 8607,https://www.mapletreeindustrialtrust.com,REIT—Industrial,Real Estate,"Mapletree Industrial Trust is a real estate investment trust (REIT) listed on the Main Board of Singapore Exchange. Its principal investment strategy is to invest in a diversified portfolio of income-producing real estate used primarily for industrial purposes in Singapore and income producing real estate used primarily as data centres worldwide beyond Singapore, as well as real estate-related assets. As at 30 June 2023, MIT's total assets under management was S$8.8 billion, which comprised 85 properties in Singapore and 56 properties in North America (including 13 data centres held through the joint venture with Mapletree Investments Pte Ltd). MIT's property portfolio includes Data Centres, Hi-Tech Buildings, Business Park Buildings, Flatted Factories, Stack-up/Rampup Buildings and Light Industrial Buildings. MIT is managed by Mapletree Industrial Trust Management Ltd. and sponsored by Mapletree Investments Pte Ltd.",186,"{'maxAge': 1, 'name': 'Mr. Paul Tan Tzyy  Woon', 'title': 'Head of Property Management - Singapore - Mapletree Industrial Trust Management Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.27,2.27,2.27,2.32,2.27,2.27,2.27,2.32,0.1,0.044499997,1690934400,1.6082001,4.61,0.311186,23.0,16.428572,12862500,12862500,4314919,5250330,5250330,2.29,2.3,6517003776,2.12,2.58,9.480037,2.2476,2.2855,0.135,0.05947137,SGD,9040148480,0.41323003,2120313368,2833479936,0.0068,0.47065,1.852,1.2419007,1680220800,1711843200,1688083200,-0.07,274624992,0.1,0.14,-2.95,13.15,20.002,SES,EQUITY,ME8U.SI,ME8U.SI,Mapletree Ind Tr,Mapletree Industrial Trust,1287622800,Asia/Singapore,SGT,28800000,2.3,2.89,2.21,2.52,2.6,2.4,buy,15,519873984,0.184,451952992,3122939904,1.0,1.102,687444992,56.257,0.252,0.05246,466530000,454875008,-0.1,0.015,0.67963,0.65744,0.65736,SGD,3.2938
8,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 8607,https://www.mapletreeindustrialtrust.com,REIT—Industrial,Real Estate,"Mapletree Industrial Trust is a real estate investment trust (REIT) listed on the Main Board of Singapore Exchange. Its principal investment strategy is to invest in a diversified portfolio of income-producing real estate used primarily for industrial purposes in Singapore and income producing real estate used primarily as data centres worldwide beyond Singapore, as well as real estate-related assets. As at 30 June 2023, MIT's total assets under management was S$8.8 billion, which comprised 85 properties in Singapore and 56 properties in North America (including 13 data centres held through the joint venture with Mapletree Investments Pte Ltd). MIT's property portfolio includes Data Centres, Hi-Tech Buildings, Business Park Buildings, Flatted Factories, Stack-up/Rampup Buildings and Light Industrial Buildings. MIT is managed by Mapletree Industrial Trust Management Ltd. and sponsored by Mapletree Investments Pte Ltd.",186,"{'maxAge': 1, 'name': 'Ms. Ann  Shell-Johnson', 'title': 'Head of Property Management - United States - Mapletree Industrial Trust Management Ltd.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.27,2.27,2.27,2.32,2.27,2.27,2.27,2.32,0.1,0.044499997,1690934400,1.6082001,4.61,0.311186,23.0,16.428572,12862500,12862500,4314919,5250330,5250330,2.29,2.3,6517003776,2.12,2.58,9.480037,2.2476,2.2855,0.135,0.05947137,SGD,9040148480,0.41323003,2120313368,2833479936,0.0068,0.47065,1.852,1.2419007,1680220800,1711843200,1688083200,-0.07,274624992,0.1,0.14,-2.95,13.15,20.002,SES,EQUITY,ME8U.SI,ME8U.SI,Mapletree Ind Tr,Mapletree Industrial Trust,1287622800,Asia/Singapore,SGT,28800000,2.3,2.89,2.21,2.52,2.6,2.4,buy,15,519873984,0.184,451952992,3122939904,1.0,1.102,687444992,56.257,0.252,0.05246,466530000,454875008,-0.1,0.015,0.67963,0.65744,0.65736,SGD,3.2938
9,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 8607,https://www.mapletreeindustrialtrust.com,REIT—Industrial,Real Estate,"Mapletree Industrial Trust is a real estate investment trust (REIT) listed on the Main Board of Singapore Exchange. Its principal investment strategy is to invest in a diversified portfolio of income-producing real estate used primarily for industrial purposes in Singapore and income producing real estate used primarily as data centres worldwide beyond Singapore, as well as real estate-related assets. As at 30 June 2023, MIT's total assets under management was S$8.8 billion, which comprised 85 properties in Singapore and 56 properties in North America (including 13 data centres held through the joint venture with Mapletree Investments Pte Ltd). MIT's property portfolio includes Data Centres, Hi-Tech Buildings, Business Park Buildings, Flatted Factories, Stack-up/Rampup Buildings and Light Industrial Buildings. MIT is managed by Mapletree Industrial Trust Management Ltd. and sponsored by Mapletree Investments Pte Ltd.",186,"{'maxAge': 1, 'name': 'Mr. Chin Voon Woon', 'age': 48, 'title': 'Group Chief Devel. Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.27,2.27,2.27,2.32,2.27,2.27,2.27,2.32,0.1,0.044499997,1690934400,1.6082001,4.61,0.311186,23.0,16.428572,12862500,12862500,4314919,5250330,5250330,2.29,2.3,6517003776,2.12,2.58,9.480037,2.2476,2.2855,0.135,0.05947137,SGD,9040148480,0.41323003,2120313368,2833479936,0.0068,0.47065,1.852,1.2419007,1680220800,1711843200,1688083200,-0.07,274624992,0.1,0.14,-2.95,13.15,20.002,SES,EQUITY,ME8U.SI,ME8U.SI,Mapletree Ind Tr,Mapletree Industrial Trust,1287622800,Asia/Singapore,SGT,28800000,2.3,2.89,2.21,2.52,2.6,2.4,buy,15,519873984,0.184,451952992,3122939904,1.0,1.102,687444992,56.257,0.252,0.05246,466530000,454875008,-0.1,0.015,0.67963,0.65744,0.65736,SGD,3.2938
