,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,39 Wynford Drive,Suite 200,Toronto,ON,M3C 3K5,Canada,416 380 7500,https://www.bridgemarq.com,Real Estate Services,Real Estate,"Bridgemarq Real Estate Services Inc. provides various services to residential real estate brokers and REALTORS in Canada. It offers information, tools, and services that assist its customers in the delivery of real estate services. The company provides its services under the Royal LePage, Via Capitale, and Johnston and Daniel brand names. The company was formerly known as Brookfield Real Estate Services Inc. and changed its name to Bridgemarq Real Estate Services Inc. in May 2019. Bridgemarq Real Estate Services Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Philip  Soper', 'title': 'Pres & CEO', 'fiscalYear': 2022, 'totalPay': 443485, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,10,10,1693526400,1672444800,86400,2,13.95,13.98,13.9,14.0,13.95,13.98,13.9,14.0,1.35,0.0968,1693353600,22.5,9.31,1.187887,231.83334,4681,4681,6529,5800,5800,13.92,13.97,0,0,131920352,12.54,15.93,2.7783818,15.1004,14.2566,1.35,0.0967742,CAD,192553712,0.02833,9454545,9483850,7859,5770,1690761600,1693440000,0.0008,0.0052,0.0068300003,1.66,-6.145,1672444800,1703980800,1688083200,-0.9,1345000,0.06,4.055,7.622,TOR,EQUITY,BRE.TO,BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Bridgemarq Real Estate Services Inc.,1216819800,America/Toronto,EDT,-14400000,13.91,none,6772000,0.714,25262000,67026000,3.237,3.339,47481000,5.007,0.15586,48664000,12175875,13310000,-0.671,-0.069,0.97391,0.53204,0.38447,CAD,
1,39 Wynford Drive,Suite 200,Toronto,ON,M3C 3K5,Canada,416 380 7500,https://www.bridgemarq.com,Real Estate Services,Real Estate,"Bridgemarq Real Estate Services Inc. provides various services to residential real estate brokers and REALTORS in Canada. It offers information, tools, and services that assist its customers in the delivery of real estate services. The company provides its services under the Royal LePage, Via Capitale, and Johnston and Daniel brand names. The company was formerly known as Brookfield Real Estate Services Inc. and changed its name to Bridgemarq Real Estate Services Inc. in May 2019. Bridgemarq Real Estate Services Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Glen  McMillan', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 343402, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,10,10,1693526400,1672444800,86400,2,13.95,13.98,13.9,14.0,13.95,13.98,13.9,14.0,1.35,0.0968,1693353600,22.5,9.31,1.187887,231.83334,4681,4681,6529,5800,5800,13.92,13.97,0,0,131920352,12.54,15.93,2.7783818,15.1004,14.2566,1.35,0.0967742,CAD,192553712,0.02833,9454545,9483850,7859,5770,1690761600,1693440000,0.0008,0.0052,0.0068300003,1.66,-6.145,1672444800,1703980800,1688083200,-0.9,1345000,0.06,4.055,7.622,TOR,EQUITY,BRE.TO,BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Bridgemarq Real Estate Services Inc.,1216819800,America/Toronto,EDT,-14400000,13.91,none,6772000,0.714,25262000,67026000,3.237,3.339,47481000,5.007,0.15586,48664000,12175875,13310000,-0.671,-0.069,0.97391,0.53204,0.38447,CAD,
2,39 Wynford Drive,Suite 200,Toronto,ON,M3C 3K5,Canada,416 380 7500,https://www.bridgemarq.com,Real Estate Services,Real Estate,"Bridgemarq Real Estate Services Inc. provides various services to residential real estate brokers and REALTORS in Canada. It offers information, tools, and services that assist its customers in the delivery of real estate services. The company provides its services under the Royal LePage, Via Capitale, and Johnston and Daniel brand names. The company was formerly known as Brookfield Real Estate Services Inc. and changed its name to Bridgemarq Real Estate Services Inc. in May 2019. Bridgemarq Real Estate Services Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Carolyn  Cheng', 'title': 'Chief Operating & Technology Officer - Bridgemarq Real Estate Services Mang. Limited', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,10,10,1693526400,1672444800,86400,2,13.95,13.98,13.9,14.0,13.95,13.98,13.9,14.0,1.35,0.0968,1693353600,22.5,9.31,1.187887,231.83334,4681,4681,6529,5800,5800,13.92,13.97,0,0,131920352,12.54,15.93,2.7783818,15.1004,14.2566,1.35,0.0967742,CAD,192553712,0.02833,9454545,9483850,7859,5770,1690761600,1693440000,0.0008,0.0052,0.0068300003,1.66,-6.145,1672444800,1703980800,1688083200,-0.9,1345000,0.06,4.055,7.622,TOR,EQUITY,BRE.TO,BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Bridgemarq Real Estate Services Inc.,1216819800,America/Toronto,EDT,-14400000,13.91,none,6772000,0.714,25262000,67026000,3.237,3.339,47481000,5.007,0.15586,48664000,12175875,13310000,-0.671,-0.069,0.97391,0.53204,0.38447,CAD,
3,39 Wynford Drive,Suite 200,Toronto,ON,M3C 3K5,Canada,416 380 7500,https://www.bridgemarq.com,Real Estate Services,Real Estate,"Bridgemarq Real Estate Services Inc. provides various services to residential real estate brokers and REALTORS in Canada. It offers information, tools, and services that assist its customers in the delivery of real estate services. The company provides its services under the Royal LePage, Via Capitale, and Johnston and Daniel brand names. The company was formerly known as Brookfield Real Estate Services Inc. and changed its name to Bridgemarq Real Estate Services Inc. in May 2019. Bridgemarq Real Estate Services Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Sarah Louise Gardiner', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,10,10,1693526400,1672444800,86400,2,13.95,13.98,13.9,14.0,13.95,13.98,13.9,14.0,1.35,0.0968,1693353600,22.5,9.31,1.187887,231.83334,4681,4681,6529,5800,5800,13.92,13.97,0,0,131920352,12.54,15.93,2.7783818,15.1004,14.2566,1.35,0.0967742,CAD,192553712,0.02833,9454545,9483850,7859,5770,1690761600,1693440000,0.0008,0.0052,0.0068300003,1.66,-6.145,1672444800,1703980800,1688083200,-0.9,1345000,0.06,4.055,7.622,TOR,EQUITY,BRE.TO,BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Bridgemarq Real Estate Services Inc.,1216819800,America/Toronto,EDT,-14400000,13.91,none,6772000,0.714,25262000,67026000,3.237,3.339,47481000,5.007,0.15586,48664000,12175875,13310000,-0.671,-0.069,0.97391,0.53204,0.38447,CAD,
4,39 Wynford Drive,Suite 200,Toronto,ON,M3C 3K5,Canada,416 380 7500,https://www.bridgemarq.com,Real Estate Services,Real Estate,"Bridgemarq Real Estate Services Inc. provides various services to residential real estate brokers and REALTORS in Canada. It offers information, tools, and services that assist its customers in the delivery of real estate services. The company provides its services under the Royal LePage, Via Capitale, and Johnston and Daniel brand names. The company was formerly known as Brookfield Real Estate Services Inc. and changed its name to Bridgemarq Real Estate Services Inc. in May 2019. Bridgemarq Real Estate Services Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Paul  Zappala', 'title': 'Exec. VP & Gen. Counsel - Bridgemarq Real Estate Services Mang. Limited', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,10,10,1693526400,1672444800,86400,2,13.95,13.98,13.9,14.0,13.95,13.98,13.9,14.0,1.35,0.0968,1693353600,22.5,9.31,1.187887,231.83334,4681,4681,6529,5800,5800,13.92,13.97,0,0,131920352,12.54,15.93,2.7783818,15.1004,14.2566,1.35,0.0967742,CAD,192553712,0.02833,9454545,9483850,7859,5770,1690761600,1693440000,0.0008,0.0052,0.0068300003,1.66,-6.145,1672444800,1703980800,1688083200,-0.9,1345000,0.06,4.055,7.622,TOR,EQUITY,BRE.TO,BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Bridgemarq Real Estate Services Inc.,1216819800,America/Toronto,EDT,-14400000,13.91,none,6772000,0.714,25262000,67026000,3.237,3.339,47481000,5.007,0.15586,48664000,12175875,13310000,-0.671,-0.069,0.97391,0.53204,0.38447,CAD,
5,39 Wynford Drive,Suite 200,Toronto,ON,M3C 3K5,Canada,416 380 7500,https://www.bridgemarq.com,Real Estate Services,Real Estate,"Bridgemarq Real Estate Services Inc. provides various services to residential real estate brokers and REALTORS in Canada. It offers information, tools, and services that assist its customers in the delivery of real estate services. The company provides its services under the Royal LePage, Via Capitale, and Johnston and Daniel brand names. The company was formerly known as Brookfield Real Estate Services Inc. and changed its name to Bridgemarq Real Estate Services Inc. in May 2019. Bridgemarq Real Estate Services Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Sandra  Webb', 'title': 'Sr. VP of Marketing & Comms. - Bridgemarq Real Estate Services Mang. Ltd.', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,10,10,1693526400,1672444800,86400,2,13.95,13.98,13.9,14.0,13.95,13.98,13.9,14.0,1.35,0.0968,1693353600,22.5,9.31,1.187887,231.83334,4681,4681,6529,5800,5800,13.92,13.97,0,0,131920352,12.54,15.93,2.7783818,15.1004,14.2566,1.35,0.0967742,CAD,192553712,0.02833,9454545,9483850,7859,5770,1690761600,1693440000,0.0008,0.0052,0.0068300003,1.66,-6.145,1672444800,1703980800,1688083200,-0.9,1345000,0.06,4.055,7.622,TOR,EQUITY,BRE.TO,BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Bridgemarq Real Estate Services Inc.,1216819800,America/Toronto,EDT,-14400000,13.91,none,6772000,0.714,25262000,67026000,3.237,3.339,47481000,5.007,0.15586,48664000,12175875,13310000,-0.671,-0.069,0.97391,0.53204,0.38447,CAD,
6,39 Wynford Drive,Suite 200,Toronto,ON,M3C 3K5,Canada,416 380 7500,https://www.bridgemarq.com,Real Estate Services,Real Estate,"Bridgemarq Real Estate Services Inc. provides various services to residential real estate brokers and REALTORS in Canada. It offers information, tools, and services that assist its customers in the delivery of real estate services. The company provides its services under the Royal LePage, Via Capitale, and Johnston and Daniel brand names. The company was formerly known as Brookfield Real Estate Services Inc. and changed its name to Bridgemarq Real Estate Services Inc. in May 2019. Bridgemarq Real Estate Services Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. David William Levi CFA', 'age': 51, 'title': 'Managing Partner & CEO of Public Services', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,10,10,1693526400,1672444800,86400,2,13.95,13.98,13.9,14.0,13.95,13.98,13.9,14.0,1.35,0.0968,1693353600,22.5,9.31,1.187887,231.83334,4681,4681,6529,5800,5800,13.92,13.97,0,0,131920352,12.54,15.93,2.7783818,15.1004,14.2566,1.35,0.0967742,CAD,192553712,0.02833,9454545,9483850,7859,5770,1690761600,1693440000,0.0008,0.0052,0.0068300003,1.66,-6.145,1672444800,1703980800,1688083200,-0.9,1345000,0.06,4.055,7.622,TOR,EQUITY,BRE.TO,BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Bridgemarq Real Estate Services Inc.,1216819800,America/Toronto,EDT,-14400000,13.91,none,6772000,0.714,25262000,67026000,3.237,3.339,47481000,5.007,0.15586,48664000,12175875,13310000,-0.671,-0.069,0.97391,0.53204,0.38447,CAD,
7,39 Wynford Drive,Suite 200,Toronto,ON,M3C 3K5,Canada,416 380 7500,https://www.bridgemarq.com,Real Estate Services,Real Estate,"Bridgemarq Real Estate Services Inc. provides various services to residential real estate brokers and REALTORS in Canada. It offers information, tools, and services that assist its customers in the delivery of real estate services. The company provides its services under the Royal LePage, Via Capitale, and Johnston and Daniel brand names. The company was formerly known as Brookfield Real Estate Services Inc. and changed its name to Bridgemarq Real Estate Services Inc. in May 2019. Bridgemarq Real Estate Services Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Craig W. A. Noble C.F.A., CFA', 'age': 48, 'title': 'Managing Partner & CEO of Alternative Investments', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,10,10,1693526400,1672444800,86400,2,13.95,13.98,13.9,14.0,13.95,13.98,13.9,14.0,1.35,0.0968,1693353600,22.5,9.31,1.187887,231.83334,4681,4681,6529,5800,5800,13.92,13.97,0,0,131920352,12.54,15.93,2.7783818,15.1004,14.2566,1.35,0.0967742,CAD,192553712,0.02833,9454545,9483850,7859,5770,1690761600,1693440000,0.0008,0.0052,0.0068300003,1.66,-6.145,1672444800,1703980800,1688083200,-0.9,1345000,0.06,4.055,7.622,TOR,EQUITY,BRE.TO,BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Bridgemarq Real Estate Services Inc.,1216819800,America/Toronto,EDT,-14400000,13.91,none,6772000,0.714,25262000,67026000,3.237,3.339,47481000,5.007,0.15586,48664000,12175875,13310000,-0.671,-0.069,0.97391,0.53204,0.38447,CAD,
8,39 Wynford Drive,Suite 200,Toronto,ON,M3C 3K5,Canada,416 380 7500,https://www.bridgemarq.com,Real Estate Services,Real Estate,"Bridgemarq Real Estate Services Inc. provides various services to residential real estate brokers and REALTORS in Canada. It offers information, tools, and services that assist its customers in the delivery of real estate services. The company provides its services under the Royal LePage, Via Capitale, and Johnston and Daniel brand names. The company was formerly known as Brookfield Real Estate Services Inc. and changed its name to Bridgemarq Real Estate Services Inc. in May 2019. Bridgemarq Real Estate Services Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Karen  Yolevski', 'title': 'Chief Operating Officer of Corp. Brokerages - Bridgemarq Real Estate Services Mang. Limited', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,10,10,1693526400,1672444800,86400,2,13.95,13.98,13.9,14.0,13.95,13.98,13.9,14.0,1.35,0.0968,1693353600,22.5,9.31,1.187887,231.83334,4681,4681,6529,5800,5800,13.92,13.97,0,0,131920352,12.54,15.93,2.7783818,15.1004,14.2566,1.35,0.0967742,CAD,192553712,0.02833,9454545,9483850,7859,5770,1690761600,1693440000,0.0008,0.0052,0.0068300003,1.66,-6.145,1672444800,1703980800,1688083200,-0.9,1345000,0.06,4.055,7.622,TOR,EQUITY,BRE.TO,BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Bridgemarq Real Estate Services Inc.,1216819800,America/Toronto,EDT,-14400000,13.91,none,6772000,0.714,25262000,67026000,3.237,3.339,47481000,5.007,0.15586,48664000,12175875,13310000,-0.671,-0.069,0.97391,0.53204,0.38447,CAD,
9,39 Wynford Drive,Suite 200,Toronto,ON,M3C 3K5,Canada,416 380 7500,https://www.bridgemarq.com,Real Estate Services,Real Estate,"Bridgemarq Real Estate Services Inc. provides various services to residential real estate brokers and REALTORS in Canada. It offers information, tools, and services that assist its customers in the delivery of real estate services. The company provides its services under the Royal LePage, Via Capitale, and Johnston and Daniel brand names. The company was formerly known as Brookfield Real Estate Services Inc. and changed its name to Bridgemarq Real Estate Services Inc. in May 2019. Bridgemarq Real Estate Services Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Courtney  Hindorff', 'title': 'Sr. VP of Bus. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,8,10,10,1693526400,1672444800,86400,2,13.95,13.98,13.9,14.0,13.95,13.98,13.9,14.0,1.35,0.0968,1693353600,22.5,9.31,1.187887,231.83334,4681,4681,6529,5800,5800,13.92,13.97,0,0,131920352,12.54,15.93,2.7783818,15.1004,14.2566,1.35,0.0967742,CAD,192553712,0.02833,9454545,9483850,7859,5770,1690761600,1693440000,0.0008,0.0052,0.0068300003,1.66,-6.145,1672444800,1703980800,1688083200,-0.9,1345000,0.06,4.055,7.622,TOR,EQUITY,BRE.TO,BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Bridgemarq Real Estate Services Inc.,1216819800,America/Toronto,EDT,-14400000,13.91,none,6772000,0.714,25262000,67026000,3.237,3.339,47481000,5.007,0.15586,48664000,12175875,13310000,-0.671,-0.069,0.97391,0.53204,0.38447,CAD,
