,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2000 Avenue of the Stars,12th Floor,Los Angeles,CA,90067-4733,United States,310 201 4100,310 432 8632,https://www.arescapitalcorp.com,Asset Management,Asset Management,Financial Services,Financial Services,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies.","{'maxAge': 1, 'name': 'Mr. Michael J. Arougheti', 'age': 50, 'title': 'Co-Chairman & Exec. VP', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",7,10,5,6,8,1693526400,1672444800,86400,2,19.3,19.24,19.24,19.32,19.3,19.24,19.24,19.32,1.92,0.0995,1694649600,1.1402,9.17,1.03769,11.75,8.451755,3538673,3538673,2827785,2632800,2632800,19.27,19.3,1800,2200,10740694016,16.53,20.17,4.4218583,19.4234,18.88815,1.87,0.096891195,USD,21817411584,0.36516997,557379008,17887660,18900510,1690761600,1693440000,0.0321,0.01123,0.31182,6.77,0.0323,557379008,18.589,1.0366346,1672444800,1703980800,1688083200,1.982,887000000,1.64,2.28,-9.2,8.982,0.015814424,0.14113986,0.48,1694649600,NGM,EQUITY,ARCC,ARCC,Ares Capital Corporation - Clos,Ares Capital Corporation,1096983000,America/New_York,EDT,b5ecd6c1-82ff-3676-876d-1f35fcecacda,finmb_9771238,-14400000,19.27,24.0,19.75,20.95,21.0,1.7,buy,14,411000000,0.737,11470999552,1.446,1.547,2428999936,110.788,4.627,0.05252,0.090100005,2096000000,757374976,484000000,1.641,0.324,1.0,0.0,0.76163,USD,
1,2000 Avenue of the Stars,12th Floor,Los Angeles,CA,90067-4733,United States,310 201 4100,310 432 8632,https://www.arescapitalcorp.com,Asset Management,Asset Management,Financial Services,Financial Services,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies.","{'maxAge': 1, 'name': 'Mr. Bennett  Rosenthal', 'age': 59, 'title': 'Co-Founder & Co-Chairman', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",7,10,5,6,8,1693526400,1672444800,86400,2,19.3,19.24,19.24,19.32,19.3,19.24,19.24,19.32,1.92,0.0995,1694649600,1.1402,9.17,1.03769,11.75,8.451755,3538673,3538673,2827785,2632800,2632800,19.27,19.3,1800,2200,10740694016,16.53,20.17,4.4218583,19.4234,18.88815,1.87,0.096891195,USD,21817411584,0.36516997,557379008,17887660,18900510,1690761600,1693440000,0.0321,0.01123,0.31182,6.77,0.0323,557379008,18.589,1.0366346,1672444800,1703980800,1688083200,1.982,887000000,1.64,2.28,-9.2,8.982,0.015814424,0.14113986,0.48,1694649600,NGM,EQUITY,ARCC,ARCC,Ares Capital Corporation - Clos,Ares Capital Corporation,1096983000,America/New_York,EDT,b5ecd6c1-82ff-3676-876d-1f35fcecacda,finmb_9771238,-14400000,19.27,24.0,19.75,20.95,21.0,1.7,buy,14,411000000,0.737,11470999552,1.446,1.547,2428999936,110.788,4.627,0.05252,0.090100005,2096000000,757374976,484000000,1.641,0.324,1.0,0.0,0.76163,USD,
2,2000 Avenue of the Stars,12th Floor,Los Angeles,CA,90067-4733,United States,310 201 4100,310 432 8632,https://www.arescapitalcorp.com,Asset Management,Asset Management,Financial Services,Financial Services,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies.","{'maxAge': 1, 'name': 'Mr. Robert Kipp DeVeer III', 'age': 49, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",7,10,5,6,8,1693526400,1672444800,86400,2,19.3,19.24,19.24,19.32,19.3,19.24,19.24,19.32,1.92,0.0995,1694649600,1.1402,9.17,1.03769,11.75,8.451755,3538673,3538673,2827785,2632800,2632800,19.27,19.3,1800,2200,10740694016,16.53,20.17,4.4218583,19.4234,18.88815,1.87,0.096891195,USD,21817411584,0.36516997,557379008,17887660,18900510,1690761600,1693440000,0.0321,0.01123,0.31182,6.77,0.0323,557379008,18.589,1.0366346,1672444800,1703980800,1688083200,1.982,887000000,1.64,2.28,-9.2,8.982,0.015814424,0.14113986,0.48,1694649600,NGM,EQUITY,ARCC,ARCC,Ares Capital Corporation - Clos,Ares Capital Corporation,1096983000,America/New_York,EDT,b5ecd6c1-82ff-3676-876d-1f35fcecacda,finmb_9771238,-14400000,19.27,24.0,19.75,20.95,21.0,1.7,buy,14,411000000,0.737,11470999552,1.446,1.547,2428999936,110.788,4.627,0.05252,0.090100005,2096000000,757374976,484000000,1.641,0.324,1.0,0.0,0.76163,USD,
3,2000 Avenue of the Stars,12th Floor,Los Angeles,CA,90067-4733,United States,310 201 4100,310 432 8632,https://www.arescapitalcorp.com,Asset Management,Asset Management,Financial Services,Financial Services,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies.","{'maxAge': 1, 'name': 'Mr. Mitchell S. Goldstein C.P.A., CPA', 'age': 55, 'title': 'Co-Pres', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",7,10,5,6,8,1693526400,1672444800,86400,2,19.3,19.24,19.24,19.32,19.3,19.24,19.24,19.32,1.92,0.0995,1694649600,1.1402,9.17,1.03769,11.75,8.451755,3538673,3538673,2827785,2632800,2632800,19.27,19.3,1800,2200,10740694016,16.53,20.17,4.4218583,19.4234,18.88815,1.87,0.096891195,USD,21817411584,0.36516997,557379008,17887660,18900510,1690761600,1693440000,0.0321,0.01123,0.31182,6.77,0.0323,557379008,18.589,1.0366346,1672444800,1703980800,1688083200,1.982,887000000,1.64,2.28,-9.2,8.982,0.015814424,0.14113986,0.48,1694649600,NGM,EQUITY,ARCC,ARCC,Ares Capital Corporation - Clos,Ares Capital Corporation,1096983000,America/New_York,EDT,b5ecd6c1-82ff-3676-876d-1f35fcecacda,finmb_9771238,-14400000,19.27,24.0,19.75,20.95,21.0,1.7,buy,14,411000000,0.737,11470999552,1.446,1.547,2428999936,110.788,4.627,0.05252,0.090100005,2096000000,757374976,484000000,1.641,0.324,1.0,0.0,0.76163,USD,
4,2000 Avenue of the Stars,12th Floor,Los Angeles,CA,90067-4733,United States,310 201 4100,310 432 8632,https://www.arescapitalcorp.com,Asset Management,Asset Management,Financial Services,Financial Services,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies.","{'maxAge': 1, 'name': 'Mr. Kort  Schnabel', 'age': 45, 'title': 'Co-Pres, Partner & Co-Head of U.S. Direct Lending', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",7,10,5,6,8,1693526400,1672444800,86400,2,19.3,19.24,19.24,19.32,19.3,19.24,19.24,19.32,1.92,0.0995,1694649600,1.1402,9.17,1.03769,11.75,8.451755,3538673,3538673,2827785,2632800,2632800,19.27,19.3,1800,2200,10740694016,16.53,20.17,4.4218583,19.4234,18.88815,1.87,0.096891195,USD,21817411584,0.36516997,557379008,17887660,18900510,1690761600,1693440000,0.0321,0.01123,0.31182,6.77,0.0323,557379008,18.589,1.0366346,1672444800,1703980800,1688083200,1.982,887000000,1.64,2.28,-9.2,8.982,0.015814424,0.14113986,0.48,1694649600,NGM,EQUITY,ARCC,ARCC,Ares Capital Corporation - Clos,Ares Capital Corporation,1096983000,America/New_York,EDT,b5ecd6c1-82ff-3676-876d-1f35fcecacda,finmb_9771238,-14400000,19.27,24.0,19.75,20.95,21.0,1.7,buy,14,411000000,0.737,11470999552,1.446,1.547,2428999936,110.788,4.627,0.05252,0.090100005,2096000000,757374976,484000000,1.641,0.324,1.0,0.0,0.76163,USD,
5,2000 Avenue of the Stars,12th Floor,Los Angeles,CA,90067-4733,United States,310 201 4100,310 432 8632,https://www.arescapitalcorp.com,Asset Management,Asset Management,Financial Services,Financial Services,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies.","{'maxAge': 1, 'name': 'Ms. Penelope F. Roll', 'age': 56, 'title': 'Chief Financial Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",7,10,5,6,8,1693526400,1672444800,86400,2,19.3,19.24,19.24,19.32,19.3,19.24,19.24,19.32,1.92,0.0995,1694649600,1.1402,9.17,1.03769,11.75,8.451755,3538673,3538673,2827785,2632800,2632800,19.27,19.3,1800,2200,10740694016,16.53,20.17,4.4218583,19.4234,18.88815,1.87,0.096891195,USD,21817411584,0.36516997,557379008,17887660,18900510,1690761600,1693440000,0.0321,0.01123,0.31182,6.77,0.0323,557379008,18.589,1.0366346,1672444800,1703980800,1688083200,1.982,887000000,1.64,2.28,-9.2,8.982,0.015814424,0.14113986,0.48,1694649600,NGM,EQUITY,ARCC,ARCC,Ares Capital Corporation - Clos,Ares Capital Corporation,1096983000,America/New_York,EDT,b5ecd6c1-82ff-3676-876d-1f35fcecacda,finmb_9771238,-14400000,19.27,24.0,19.75,20.95,21.0,1.7,buy,14,411000000,0.737,11470999552,1.446,1.547,2428999936,110.788,4.627,0.05252,0.090100005,2096000000,757374976,484000000,1.641,0.324,1.0,0.0,0.76163,USD,
6,2000 Avenue of the Stars,12th Floor,Los Angeles,CA,90067-4733,United States,310 201 4100,310 432 8632,https://www.arescapitalcorp.com,Asset Management,Asset Management,Financial Services,Financial Services,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies.","{'maxAge': 1, 'name': 'Ms. Jana  Markowicz', 'age': 41, 'title': 'Chief Operating Officer', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",7,10,5,6,8,1693526400,1672444800,86400,2,19.3,19.24,19.24,19.32,19.3,19.24,19.24,19.32,1.92,0.0995,1694649600,1.1402,9.17,1.03769,11.75,8.451755,3538673,3538673,2827785,2632800,2632800,19.27,19.3,1800,2200,10740694016,16.53,20.17,4.4218583,19.4234,18.88815,1.87,0.096891195,USD,21817411584,0.36516997,557379008,17887660,18900510,1690761600,1693440000,0.0321,0.01123,0.31182,6.77,0.0323,557379008,18.589,1.0366346,1672444800,1703980800,1688083200,1.982,887000000,1.64,2.28,-9.2,8.982,0.015814424,0.14113986,0.48,1694649600,NGM,EQUITY,ARCC,ARCC,Ares Capital Corporation - Clos,Ares Capital Corporation,1096983000,America/New_York,EDT,b5ecd6c1-82ff-3676-876d-1f35fcecacda,finmb_9771238,-14400000,19.27,24.0,19.75,20.95,21.0,1.7,buy,14,411000000,0.737,11470999552,1.446,1.547,2428999936,110.788,4.627,0.05252,0.090100005,2096000000,757374976,484000000,1.641,0.324,1.0,0.0,0.76163,USD,
7,2000 Avenue of the Stars,12th Floor,Los Angeles,CA,90067-4733,United States,310 201 4100,310 432 8632,https://www.arescapitalcorp.com,Asset Management,Asset Management,Financial Services,Financial Services,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies.","{'maxAge': 1, 'name': 'Mr. Scott C. Lem', 'age': 44, 'title': 'Chief Accounting Officer, VP & Treasurer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",7,10,5,6,8,1693526400,1672444800,86400,2,19.3,19.24,19.24,19.32,19.3,19.24,19.24,19.32,1.92,0.0995,1694649600,1.1402,9.17,1.03769,11.75,8.451755,3538673,3538673,2827785,2632800,2632800,19.27,19.3,1800,2200,10740694016,16.53,20.17,4.4218583,19.4234,18.88815,1.87,0.096891195,USD,21817411584,0.36516997,557379008,17887660,18900510,1690761600,1693440000,0.0321,0.01123,0.31182,6.77,0.0323,557379008,18.589,1.0366346,1672444800,1703980800,1688083200,1.982,887000000,1.64,2.28,-9.2,8.982,0.015814424,0.14113986,0.48,1694649600,NGM,EQUITY,ARCC,ARCC,Ares Capital Corporation - Clos,Ares Capital Corporation,1096983000,America/New_York,EDT,b5ecd6c1-82ff-3676-876d-1f35fcecacda,finmb_9771238,-14400000,19.27,24.0,19.75,20.95,21.0,1.7,buy,14,411000000,0.737,11470999552,1.446,1.547,2428999936,110.788,4.627,0.05252,0.090100005,2096000000,757374976,484000000,1.641,0.324,1.0,0.0,0.76163,USD,
8,2000 Avenue of the Stars,12th Floor,Los Angeles,CA,90067-4733,United States,310 201 4100,310 432 8632,https://www.arescapitalcorp.com,Asset Management,Asset Management,Financial Services,Financial Services,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies.","{'maxAge': 1, 'name': 'Mr. John W. Stilmar', 'title': 'MD of Public Investor Relations & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",7,10,5,6,8,1693526400,1672444800,86400,2,19.3,19.24,19.24,19.32,19.3,19.24,19.24,19.32,1.92,0.0995,1694649600,1.1402,9.17,1.03769,11.75,8.451755,3538673,3538673,2827785,2632800,2632800,19.27,19.3,1800,2200,10740694016,16.53,20.17,4.4218583,19.4234,18.88815,1.87,0.096891195,USD,21817411584,0.36516997,557379008,17887660,18900510,1690761600,1693440000,0.0321,0.01123,0.31182,6.77,0.0323,557379008,18.589,1.0366346,1672444800,1703980800,1688083200,1.982,887000000,1.64,2.28,-9.2,8.982,0.015814424,0.14113986,0.48,1694649600,NGM,EQUITY,ARCC,ARCC,Ares Capital Corporation - Clos,Ares Capital Corporation,1096983000,America/New_York,EDT,b5ecd6c1-82ff-3676-876d-1f35fcecacda,finmb_9771238,-14400000,19.27,24.0,19.75,20.95,21.0,1.7,buy,14,411000000,0.737,11470999552,1.446,1.547,2428999936,110.788,4.627,0.05252,0.090100005,2096000000,757374976,484000000,1.641,0.324,1.0,0.0,0.76163,USD,
9,2000 Avenue of the Stars,12th Floor,Los Angeles,CA,90067-4733,United States,310 201 4100,310 432 8632,https://www.arescapitalcorp.com,Asset Management,Asset Management,Financial Services,Financial Services,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also consider investments in industries such as restaurants, retail, oil and gas, and technology sectors. It focuses on investments in Northeast, Mid-Atlantic, Southeast and Southwest regions from its New York office, the Midwest region, from the Chicago office, and the Western region from the Los Angeles office. The fund typically invests between $20 million and $200 million and a maximum of $400 million in companies with an EBITDA between $10 million and $250 million. It makes debt investments between $10 million and $100 million The fund invests through revolvers, first lien loans, warrants, unitranche structures, second lien loans, mezzanine debt, private high yield, junior capital, subordinated debt, and non-control preferred and common equity. The fund also selectively considers third-party-led senior and subordinated debt financings and opportunistically considers the purchase of stressed and discounted debt positions. The fund prefers to be an agent and/or lead the transactions in which it invests. The fund also seeks board representation in its portfolio companies.","{'maxAge': 1, 'name': 'Ms. Lisa A. Morgan', 'age': 45, 'title': 'Chief Compliance Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",7,10,5,6,8,1693526400,1672444800,86400,2,19.3,19.24,19.24,19.32,19.3,19.24,19.24,19.32,1.92,0.0995,1694649600,1.1402,9.17,1.03769,11.75,8.451755,3538673,3538673,2827785,2632800,2632800,19.27,19.3,1800,2200,10740694016,16.53,20.17,4.4218583,19.4234,18.88815,1.87,0.096891195,USD,21817411584,0.36516997,557379008,17887660,18900510,1690761600,1693440000,0.0321,0.01123,0.31182,6.77,0.0323,557379008,18.589,1.0366346,1672444800,1703980800,1688083200,1.982,887000000,1.64,2.28,-9.2,8.982,0.015814424,0.14113986,0.48,1694649600,NGM,EQUITY,ARCC,ARCC,Ares Capital Corporation - Clos,Ares Capital Corporation,1096983000,America/New_York,EDT,b5ecd6c1-82ff-3676-876d-1f35fcecacda,finmb_9771238,-14400000,19.27,24.0,19.75,20.95,21.0,1.7,buy,14,411000000,0.737,11470999552,1.446,1.547,2428999936,110.788,4.627,0.05252,0.090100005,2096000000,757374976,484000000,1.641,0.324,1.0,0.0,0.76163,USD,
