,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1800 El Camino Real,Suite D,Menlo Park,CA,94027,United States,650 331 9090,https://www.an2therapeutics.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California.",35,"{'maxAge': 1, 'name': 'Mr. Joseph S. Zakrzewski', 'age': 60, 'title': 'Co-founder & Chairman', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 77576, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,14.47,14.37,14.27,14.97,14.47,14.37,14.27,14.97,0.0,-4.546296,295795,295795,104158,75830,75830,14.94,14.82,1100,800,437572320,4.87,21.04,10.847,9.597475,0.0,0.0,USD,227761104,0.0,11611554,29706200,153704,135683,1690761600,1693440000,0.0052,0.39963,0.54717,3.38,0.0075,29706200,4.002,3.6806598,1672444800,1703980800,1688083200,-54308000,-3.35,-3.24,0.5327784,0.14113986,NMS,EQUITY,ANTX,ANTX,"AN2 Therapeutics, Inc.","AN2 Therapeutics, Inc.",1648215000,America/New_York,EDT,fa00a21b-8695-3bf1-94dc-fb69ab804327,finmb_645116379,-14400000,14.73,27.0,23.0,25.0,25.0,1.5,strong_buy,3,95258000,4.344,13000,8.535,8.799,0.015,-0.32478002,-0.53341,-21290750,-41545000,0.0,0.0,0.0,USD,
1,1800 El Camino Real,Suite D,Menlo Park,CA,94027,United States,650 331 9090,https://www.an2therapeutics.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California.",35,"{'maxAge': 1, 'name': 'Mr. Eric E. Easom', 'age': 54, 'title': 'Co-founder, CEO, Pres & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 697718, 'exercisedValue': 0, 'unexercisedValue': 305206}",1672444800,86400,2,14.47,14.37,14.27,14.97,14.47,14.37,14.27,14.97,0.0,-4.546296,295795,295795,104158,75830,75830,14.94,14.82,1100,800,437572320,4.87,21.04,10.847,9.597475,0.0,0.0,USD,227761104,0.0,11611554,29706200,153704,135683,1690761600,1693440000,0.0052,0.39963,0.54717,3.38,0.0075,29706200,4.002,3.6806598,1672444800,1703980800,1688083200,-54308000,-3.35,-3.24,0.5327784,0.14113986,NMS,EQUITY,ANTX,ANTX,"AN2 Therapeutics, Inc.","AN2 Therapeutics, Inc.",1648215000,America/New_York,EDT,fa00a21b-8695-3bf1-94dc-fb69ab804327,finmb_645116379,-14400000,14.73,27.0,23.0,25.0,25.0,1.5,strong_buy,3,95258000,4.344,13000,8.535,8.799,0.015,-0.32478002,-0.53341,-21290750,-41545000,0.0,0.0,0.0,USD,
2,1800 El Camino Real,Suite D,Menlo Park,CA,94027,United States,650 331 9090,https://www.an2therapeutics.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California.",35,"{'maxAge': 1, 'name': 'Mr. Joshua  Eizen J.D.', 'age': 44, 'title': 'Chief Legal Officer & Sec.', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 439118, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,14.47,14.37,14.27,14.97,14.47,14.37,14.27,14.97,0.0,-4.546296,295795,295795,104158,75830,75830,14.94,14.82,1100,800,437572320,4.87,21.04,10.847,9.597475,0.0,0.0,USD,227761104,0.0,11611554,29706200,153704,135683,1690761600,1693440000,0.0052,0.39963,0.54717,3.38,0.0075,29706200,4.002,3.6806598,1672444800,1703980800,1688083200,-54308000,-3.35,-3.24,0.5327784,0.14113986,NMS,EQUITY,ANTX,ANTX,"AN2 Therapeutics, Inc.","AN2 Therapeutics, Inc.",1648215000,America/New_York,EDT,fa00a21b-8695-3bf1-94dc-fb69ab804327,finmb_645116379,-14400000,14.73,27.0,23.0,25.0,25.0,1.5,strong_buy,3,95258000,4.344,13000,8.535,8.799,0.015,-0.32478002,-0.53341,-21290750,-41545000,0.0,0.0,0.0,USD,
3,1800 El Camino Real,Suite D,Menlo Park,CA,94027,United States,650 331 9090,https://www.an2therapeutics.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California.",35,"{'maxAge': 1, 'name': 'Dr. Paul  Eckburg M.D.', 'age': 52, 'title': 'Chief Medical Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 581263, 'exercisedValue': 0, 'unexercisedValue': 185523}",1672444800,86400,2,14.47,14.37,14.27,14.97,14.47,14.37,14.27,14.97,0.0,-4.546296,295795,295795,104158,75830,75830,14.94,14.82,1100,800,437572320,4.87,21.04,10.847,9.597475,0.0,0.0,USD,227761104,0.0,11611554,29706200,153704,135683,1690761600,1693440000,0.0052,0.39963,0.54717,3.38,0.0075,29706200,4.002,3.6806598,1672444800,1703980800,1688083200,-54308000,-3.35,-3.24,0.5327784,0.14113986,NMS,EQUITY,ANTX,ANTX,"AN2 Therapeutics, Inc.","AN2 Therapeutics, Inc.",1648215000,America/New_York,EDT,fa00a21b-8695-3bf1-94dc-fb69ab804327,finmb_645116379,-14400000,14.73,27.0,23.0,25.0,25.0,1.5,strong_buy,3,95258000,4.344,13000,8.535,8.799,0.015,-0.32478002,-0.53341,-21290750,-41545000,0.0,0.0,0.0,USD,
4,1800 El Camino Real,Suite D,Menlo Park,CA,94027,United States,650 331 9090,https://www.an2therapeutics.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California.",35,"{'maxAge': 1, 'name': 'Dr. George Harrison Talbot FACP, M.D.', 'age': 74, 'title': 'Co-Founder & Sr. Clinical Advisor', 'yearBorn': 1948, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,14.47,14.37,14.27,14.97,14.47,14.37,14.27,14.97,0.0,-4.546296,295795,295795,104158,75830,75830,14.94,14.82,1100,800,437572320,4.87,21.04,10.847,9.597475,0.0,0.0,USD,227761104,0.0,11611554,29706200,153704,135683,1690761600,1693440000,0.0052,0.39963,0.54717,3.38,0.0075,29706200,4.002,3.6806598,1672444800,1703980800,1688083200,-54308000,-3.35,-3.24,0.5327784,0.14113986,NMS,EQUITY,ANTX,ANTX,"AN2 Therapeutics, Inc.","AN2 Therapeutics, Inc.",1648215000,America/New_York,EDT,fa00a21b-8695-3bf1-94dc-fb69ab804327,finmb_645116379,-14400000,14.73,27.0,23.0,25.0,25.0,1.5,strong_buy,3,95258000,4.344,13000,8.535,8.799,0.015,-0.32478002,-0.53341,-21290750,-41545000,0.0,0.0,0.0,USD,
5,1800 El Camino Real,Suite D,Menlo Park,CA,94027,United States,650 331 9090,https://www.an2therapeutics.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California.",35,"{'maxAge': 1, 'name': 'Dr. Michael R. K. Alley Ph.D.', 'title': 'Co-Founder & Head of Biology', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,14.47,14.37,14.27,14.97,14.47,14.37,14.27,14.97,0.0,-4.546296,295795,295795,104158,75830,75830,14.94,14.82,1100,800,437572320,4.87,21.04,10.847,9.597475,0.0,0.0,USD,227761104,0.0,11611554,29706200,153704,135683,1690761600,1693440000,0.0052,0.39963,0.54717,3.38,0.0075,29706200,4.002,3.6806598,1672444800,1703980800,1688083200,-54308000,-3.35,-3.24,0.5327784,0.14113986,NMS,EQUITY,ANTX,ANTX,"AN2 Therapeutics, Inc.","AN2 Therapeutics, Inc.",1648215000,America/New_York,EDT,fa00a21b-8695-3bf1-94dc-fb69ab804327,finmb_645116379,-14400000,14.73,27.0,23.0,25.0,25.0,1.5,strong_buy,3,95258000,4.344,13000,8.535,8.799,0.015,-0.32478002,-0.53341,-21290750,-41545000,0.0,0.0,0.0,USD,
6,1800 El Camino Real,Suite D,Menlo Park,CA,94027,United States,650 331 9090,https://www.an2therapeutics.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California.",35,"{'maxAge': 1, 'name': 'Ms. Lucy O. Day CPA', 'age': 63, 'title': 'CFO, Principal Financial Officer & Principal Accounting Officer', 'yearBorn': 1959, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,14.47,14.37,14.27,14.97,14.47,14.37,14.27,14.97,0.0,-4.546296,295795,295795,104158,75830,75830,14.94,14.82,1100,800,437572320,4.87,21.04,10.847,9.597475,0.0,0.0,USD,227761104,0.0,11611554,29706200,153704,135683,1690761600,1693440000,0.0052,0.39963,0.54717,3.38,0.0075,29706200,4.002,3.6806598,1672444800,1703980800,1688083200,-54308000,-3.35,-3.24,0.5327784,0.14113986,NMS,EQUITY,ANTX,ANTX,"AN2 Therapeutics, Inc.","AN2 Therapeutics, Inc.",1648215000,America/New_York,EDT,fa00a21b-8695-3bf1-94dc-fb69ab804327,finmb_645116379,-14400000,14.73,27.0,23.0,25.0,25.0,1.5,strong_buy,3,95258000,4.344,13000,8.535,8.799,0.015,-0.32478002,-0.53341,-21290750,-41545000,0.0,0.0,0.0,USD,
7,1800 El Camino Real,Suite D,Menlo Park,CA,94027,United States,650 331 9090,https://www.an2therapeutics.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California.",35,"{'maxAge': 1, 'name': 'Dr. Sanjay  Chanda Ph.D.', 'age': 57, 'title': 'Chief Devel. Officer', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,14.47,14.37,14.27,14.97,14.47,14.37,14.27,14.97,0.0,-4.546296,295795,295795,104158,75830,75830,14.94,14.82,1100,800,437572320,4.87,21.04,10.847,9.597475,0.0,0.0,USD,227761104,0.0,11611554,29706200,153704,135683,1690761600,1693440000,0.0052,0.39963,0.54717,3.38,0.0075,29706200,4.002,3.6806598,1672444800,1703980800,1688083200,-54308000,-3.35,-3.24,0.5327784,0.14113986,NMS,EQUITY,ANTX,ANTX,"AN2 Therapeutics, Inc.","AN2 Therapeutics, Inc.",1648215000,America/New_York,EDT,fa00a21b-8695-3bf1-94dc-fb69ab804327,finmb_645116379,-14400000,14.73,27.0,23.0,25.0,25.0,1.5,strong_buy,3,95258000,4.344,13000,8.535,8.799,0.015,-0.32478002,-0.53341,-21290750,-41545000,0.0,0.0,0.0,USD,
8,1800 El Camino Real,Suite D,Menlo Park,CA,94027,United States,650 331 9090,https://www.an2therapeutics.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California.",35,"{'maxAge': 1, 'name': 'Mr. Kevin  Krause B.S., M.B.A.', 'age': 47, 'title': 'Chief Strategy Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,14.47,14.37,14.27,14.97,14.47,14.37,14.27,14.97,0.0,-4.546296,295795,295795,104158,75830,75830,14.94,14.82,1100,800,437572320,4.87,21.04,10.847,9.597475,0.0,0.0,USD,227761104,0.0,11611554,29706200,153704,135683,1690761600,1693440000,0.0052,0.39963,0.54717,3.38,0.0075,29706200,4.002,3.6806598,1672444800,1703980800,1688083200,-54308000,-3.35,-3.24,0.5327784,0.14113986,NMS,EQUITY,ANTX,ANTX,"AN2 Therapeutics, Inc.","AN2 Therapeutics, Inc.",1648215000,America/New_York,EDT,fa00a21b-8695-3bf1-94dc-fb69ab804327,finmb_645116379,-14400000,14.73,27.0,23.0,25.0,25.0,1.5,strong_buy,3,95258000,4.344,13000,8.535,8.799,0.015,-0.32478002,-0.53341,-21290750,-41545000,0.0,0.0,0.0,USD,
9,1800 El Camino Real,Suite D,Menlo Park,CA,94027,United States,650 331 9090,https://www.an2therapeutics.com,Biotechnology,Biotechnology,Healthcare,Healthcare,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California.",35,"{'maxAge': 1, 'name': 'Ms. Jennifer  Huber', 'title': 'Sr. VP of Regulatory Affairs & Quality', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,14.47,14.37,14.27,14.97,14.47,14.37,14.27,14.97,0.0,-4.546296,295795,295795,104158,75830,75830,14.94,14.82,1100,800,437572320,4.87,21.04,10.847,9.597475,0.0,0.0,USD,227761104,0.0,11611554,29706200,153704,135683,1690761600,1693440000,0.0052,0.39963,0.54717,3.38,0.0075,29706200,4.002,3.6806598,1672444800,1703980800,1688083200,-54308000,-3.35,-3.24,0.5327784,0.14113986,NMS,EQUITY,ANTX,ANTX,"AN2 Therapeutics, Inc.","AN2 Therapeutics, Inc.",1648215000,America/New_York,EDT,fa00a21b-8695-3bf1-94dc-fb69ab804327,finmb_645116379,-14400000,14.73,27.0,23.0,25.0,25.0,1.5,strong_buy,3,95258000,4.344,13000,8.535,8.799,0.015,-0.32478002,-0.53341,-21290750,-41545000,0.0,0.0,0.0,USD,
