,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Paseo de los Tamarindos 90 Tower 2,28th Floor Cuajimalpa de Morelos Bosques De Las Lomas,Mexico City,DF,05120,Mexico,52 55 5950 0070,https://www.vesta.com.mx,Real Estate—Diversified,Real Estate,"Corporación Inmobiliaria Vesta, S.A.B. de C.V., together with its subsidiaries, acquires, develops, manages, operates, and leases industrial buildings and distribution centers in Mexico. The company was incorporated in 1998 and is headquartered in Mexico City, Mexico.",87,"{'maxAge': 1, 'name': 'Mr. Lorenzo Manuel Berho Corona', 'age': 61, 'title': 'Exec. Chairman', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,62.43,62.44,61.17,62.58,62.43,62.44,61.17,62.58,1.87,0.0304,1689206400,0.2895,4.18,0.470412,10.043831,20.218954,4521551,4521551,2601891,2656331,2656331,61.62,61.6,640000,408200,51204169728,36.79,65.21,262.5037,60.6862,54.92615,0.088,0.0014095787,MXN,42675445760,1.4954,595624586,827609024,0.11083999,0.53411996,2.602,23.777863,1672444800,1703980800,1688083200,0.786,291690560,6.16,3.06,0.0,218.78,275.866,MEX,EQUITY,VESTA.MX,VESTA.MX,CORPORACION INMOBILIARIA VESTA ,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",1342787400,America/Mexico_City,CDT,-18000000,61.87,71.33,50.81,65.69,67.91,2.1,buy,15,50402928,0.075,154696096,930097344,0.906,1.249,195060768,53.402,0.286,0.03293,0.18053,166602067,90745144,104501320,0.781,0.205,0.92710996,0.79307,0.78949,USD,
1,Paseo de los Tamarindos 90 Tower 2,28th Floor Cuajimalpa de Morelos Bosques De Las Lomas,Mexico City,DF,05120,Mexico,52 55 5950 0070,https://www.vesta.com.mx,Real Estate—Diversified,Real Estate,"Corporación Inmobiliaria Vesta, S.A.B. de C.V., together with its subsidiaries, acquires, develops, manages, operates, and leases industrial buildings and distribution centers in Mexico. The company was incorporated in 1998 and is headquartered in Mexico City, Mexico.",87,"{'maxAge': 1, 'name': 'Mr. Lorenzo Dominique Berho Carranza', 'age': 39, 'title': 'Chief Exec. Officer', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,62.43,62.44,61.17,62.58,62.43,62.44,61.17,62.58,1.87,0.0304,1689206400,0.2895,4.18,0.470412,10.043831,20.218954,4521551,4521551,2601891,2656331,2656331,61.62,61.6,640000,408200,51204169728,36.79,65.21,262.5037,60.6862,54.92615,0.088,0.0014095787,MXN,42675445760,1.4954,595624586,827609024,0.11083999,0.53411996,2.602,23.777863,1672444800,1703980800,1688083200,0.786,291690560,6.16,3.06,0.0,218.78,275.866,MEX,EQUITY,VESTA.MX,VESTA.MX,CORPORACION INMOBILIARIA VESTA ,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",1342787400,America/Mexico_City,CDT,-18000000,61.87,71.33,50.81,65.69,67.91,2.1,buy,15,50402928,0.075,154696096,930097344,0.906,1.249,195060768,53.402,0.286,0.03293,0.18053,166602067,90745144,104501320,0.781,0.205,0.92710996,0.79307,0.78949,USD,
2,Paseo de los Tamarindos 90 Tower 2,28th Floor Cuajimalpa de Morelos Bosques De Las Lomas,Mexico City,DF,05120,Mexico,52 55 5950 0070,https://www.vesta.com.mx,Real Estate—Diversified,Real Estate,"Corporación Inmobiliaria Vesta, S.A.B. de C.V., together with its subsidiaries, acquires, develops, manages, operates, and leases industrial buildings and distribution centers in Mexico. The company was incorporated in 1998 and is headquartered in Mexico City, Mexico.",87,"{'maxAge': 1, 'name': 'Mr. Juan Felipe  Sottil Achutegui', 'age': 61, 'title': 'Chief Financial Officer', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,62.43,62.44,61.17,62.58,62.43,62.44,61.17,62.58,1.87,0.0304,1689206400,0.2895,4.18,0.470412,10.043831,20.218954,4521551,4521551,2601891,2656331,2656331,61.62,61.6,640000,408200,51204169728,36.79,65.21,262.5037,60.6862,54.92615,0.088,0.0014095787,MXN,42675445760,1.4954,595624586,827609024,0.11083999,0.53411996,2.602,23.777863,1672444800,1703980800,1688083200,0.786,291690560,6.16,3.06,0.0,218.78,275.866,MEX,EQUITY,VESTA.MX,VESTA.MX,CORPORACION INMOBILIARIA VESTA ,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",1342787400,America/Mexico_City,CDT,-18000000,61.87,71.33,50.81,65.69,67.91,2.1,buy,15,50402928,0.075,154696096,930097344,0.906,1.249,195060768,53.402,0.286,0.03293,0.18053,166602067,90745144,104501320,0.781,0.205,0.92710996,0.79307,0.78949,USD,
3,Paseo de los Tamarindos 90 Tower 2,28th Floor Cuajimalpa de Morelos Bosques De Las Lomas,Mexico City,DF,05120,Mexico,52 55 5950 0070,https://www.vesta.com.mx,Real Estate—Diversified,Real Estate,"Corporación Inmobiliaria Vesta, S.A.B. de C.V., together with its subsidiaries, acquires, develops, manages, operates, and leases industrial buildings and distribution centers in Mexico. The company was incorporated in 1998 and is headquartered in Mexico City, Mexico.",87,"{'maxAge': 1, 'name': 'Mr. Guillermo Díaz Cupido', 'age': 68, 'title': 'Chief Investment Officer', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,62.43,62.44,61.17,62.58,62.43,62.44,61.17,62.58,1.87,0.0304,1689206400,0.2895,4.18,0.470412,10.043831,20.218954,4521551,4521551,2601891,2656331,2656331,61.62,61.6,640000,408200,51204169728,36.79,65.21,262.5037,60.6862,54.92615,0.088,0.0014095787,MXN,42675445760,1.4954,595624586,827609024,0.11083999,0.53411996,2.602,23.777863,1672444800,1703980800,1688083200,0.786,291690560,6.16,3.06,0.0,218.78,275.866,MEX,EQUITY,VESTA.MX,VESTA.MX,CORPORACION INMOBILIARIA VESTA ,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",1342787400,America/Mexico_City,CDT,-18000000,61.87,71.33,50.81,65.69,67.91,2.1,buy,15,50402928,0.075,154696096,930097344,0.906,1.249,195060768,53.402,0.286,0.03293,0.18053,166602067,90745144,104501320,0.781,0.205,0.92710996,0.79307,0.78949,USD,
4,Paseo de los Tamarindos 90 Tower 2,28th Floor Cuajimalpa de Morelos Bosques De Las Lomas,Mexico City,DF,05120,Mexico,52 55 5950 0070,https://www.vesta.com.mx,Real Estate—Diversified,Real Estate,"Corporación Inmobiliaria Vesta, S.A.B. de C.V., together with its subsidiaries, acquires, develops, manages, operates, and leases industrial buildings and distribution centers in Mexico. The company was incorporated in 1998 and is headquartered in Mexico City, Mexico.",87,"{'maxAge': 1, 'name': 'Ms. Maria Fernanda Bettinger Davo', 'age': 29, 'title': 'Director of Investor Relations', 'yearBorn': 1993, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,62.43,62.44,61.17,62.58,62.43,62.44,61.17,62.58,1.87,0.0304,1689206400,0.2895,4.18,0.470412,10.043831,20.218954,4521551,4521551,2601891,2656331,2656331,61.62,61.6,640000,408200,51204169728,36.79,65.21,262.5037,60.6862,54.92615,0.088,0.0014095787,MXN,42675445760,1.4954,595624586,827609024,0.11083999,0.53411996,2.602,23.777863,1672444800,1703980800,1688083200,0.786,291690560,6.16,3.06,0.0,218.78,275.866,MEX,EQUITY,VESTA.MX,VESTA.MX,CORPORACION INMOBILIARIA VESTA ,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",1342787400,America/Mexico_City,CDT,-18000000,61.87,71.33,50.81,65.69,67.91,2.1,buy,15,50402928,0.075,154696096,930097344,0.906,1.249,195060768,53.402,0.286,0.03293,0.18053,166602067,90745144,104501320,0.781,0.205,0.92710996,0.79307,0.78949,USD,
5,Paseo de los Tamarindos 90 Tower 2,28th Floor Cuajimalpa de Morelos Bosques De Las Lomas,Mexico City,DF,05120,Mexico,52 55 5950 0070,https://www.vesta.com.mx,Real Estate—Diversified,Real Estate,"Corporación Inmobiliaria Vesta, S.A.B. de C.V., together with its subsidiaries, acquires, develops, manages, operates, and leases industrial buildings and distribution centers in Mexico. The company was incorporated in 1998 and is headquartered in Mexico City, Mexico.",87,"{'maxAge': 1, 'name': 'Mr. Alejandro  Pucheu Romero', 'age': 47, 'title': 'Gen. Counsel & Sec.', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,62.43,62.44,61.17,62.58,62.43,62.44,61.17,62.58,1.87,0.0304,1689206400,0.2895,4.18,0.470412,10.043831,20.218954,4521551,4521551,2601891,2656331,2656331,61.62,61.6,640000,408200,51204169728,36.79,65.21,262.5037,60.6862,54.92615,0.088,0.0014095787,MXN,42675445760,1.4954,595624586,827609024,0.11083999,0.53411996,2.602,23.777863,1672444800,1703980800,1688083200,0.786,291690560,6.16,3.06,0.0,218.78,275.866,MEX,EQUITY,VESTA.MX,VESTA.MX,CORPORACION INMOBILIARIA VESTA ,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",1342787400,America/Mexico_City,CDT,-18000000,61.87,71.33,50.81,65.69,67.91,2.1,buy,15,50402928,0.075,154696096,930097344,0.906,1.249,195060768,53.402,0.286,0.03293,0.18053,166602067,90745144,104501320,0.781,0.205,0.92710996,0.79307,0.78949,USD,
6,Paseo de los Tamarindos 90 Tower 2,28th Floor Cuajimalpa de Morelos Bosques De Las Lomas,Mexico City,DF,05120,Mexico,52 55 5950 0070,https://www.vesta.com.mx,Real Estate—Diversified,Real Estate,"Corporación Inmobiliaria Vesta, S.A.B. de C.V., together with its subsidiaries, acquires, develops, manages, operates, and leases industrial buildings and distribution centers in Mexico. The company was incorporated in 1998 and is headquartered in Mexico City, Mexico.",87,"{'maxAge': 1, 'name': 'Mr. Rodolfo Gerardo Balmaceda García', 'title': 'Sales Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,62.43,62.44,61.17,62.58,62.43,62.44,61.17,62.58,1.87,0.0304,1689206400,0.2895,4.18,0.470412,10.043831,20.218954,4521551,4521551,2601891,2656331,2656331,61.62,61.6,640000,408200,51204169728,36.79,65.21,262.5037,60.6862,54.92615,0.088,0.0014095787,MXN,42675445760,1.4954,595624586,827609024,0.11083999,0.53411996,2.602,23.777863,1672444800,1703980800,1688083200,0.786,291690560,6.16,3.06,0.0,218.78,275.866,MEX,EQUITY,VESTA.MX,VESTA.MX,CORPORACION INMOBILIARIA VESTA ,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",1342787400,America/Mexico_City,CDT,-18000000,61.87,71.33,50.81,65.69,67.91,2.1,buy,15,50402928,0.075,154696096,930097344,0.906,1.249,195060768,53.402,0.286,0.03293,0.18053,166602067,90745144,104501320,0.781,0.205,0.92710996,0.79307,0.78949,USD,
7,Paseo de los Tamarindos 90 Tower 2,28th Floor Cuajimalpa de Morelos Bosques De Las Lomas,Mexico City,DF,05120,Mexico,52 55 5950 0070,https://www.vesta.com.mx,Real Estate—Diversified,Real Estate,"Corporación Inmobiliaria Vesta, S.A.B. de C.V., together with its subsidiaries, acquires, develops, manages, operates, and leases industrial buildings and distribution centers in Mexico. The company was incorporated in 1998 and is headquartered in Mexico City, Mexico.",87,"{'maxAge': 1, 'name': 'Mr. Alfredo Marcos Paredes Calderon', 'age': 48, 'title': 'Chief HR & Integrity Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,62.43,62.44,61.17,62.58,62.43,62.44,61.17,62.58,1.87,0.0304,1689206400,0.2895,4.18,0.470412,10.043831,20.218954,4521551,4521551,2601891,2656331,2656331,61.62,61.6,640000,408200,51204169728,36.79,65.21,262.5037,60.6862,54.92615,0.088,0.0014095787,MXN,42675445760,1.4954,595624586,827609024,0.11083999,0.53411996,2.602,23.777863,1672444800,1703980800,1688083200,0.786,291690560,6.16,3.06,0.0,218.78,275.866,MEX,EQUITY,VESTA.MX,VESTA.MX,CORPORACION INMOBILIARIA VESTA ,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",1342787400,America/Mexico_City,CDT,-18000000,61.87,71.33,50.81,65.69,67.91,2.1,buy,15,50402928,0.075,154696096,930097344,0.906,1.249,195060768,53.402,0.286,0.03293,0.18053,166602067,90745144,104501320,0.781,0.205,0.92710996,0.79307,0.78949,USD,
8,Paseo de los Tamarindos 90 Tower 2,28th Floor Cuajimalpa de Morelos Bosques De Las Lomas,Mexico City,DF,05120,Mexico,52 55 5950 0070,https://www.vesta.com.mx,Real Estate—Diversified,Real Estate,"Corporación Inmobiliaria Vesta, S.A.B. de C.V., together with its subsidiaries, acquires, develops, manages, operates, and leases industrial buildings and distribution centers in Mexico. The company was incorporated in 1998 and is headquartered in Mexico City, Mexico.",87,"{'maxAge': 1, 'name': 'Mr. Diego  Berho Carranza', 'age': 34, 'title': 'Chief Portfolio Officer', 'yearBorn': 1988, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,62.43,62.44,61.17,62.58,62.43,62.44,61.17,62.58,1.87,0.0304,1689206400,0.2895,4.18,0.470412,10.043831,20.218954,4521551,4521551,2601891,2656331,2656331,61.62,61.6,640000,408200,51204169728,36.79,65.21,262.5037,60.6862,54.92615,0.088,0.0014095787,MXN,42675445760,1.4954,595624586,827609024,0.11083999,0.53411996,2.602,23.777863,1672444800,1703980800,1688083200,0.786,291690560,6.16,3.06,0.0,218.78,275.866,MEX,EQUITY,VESTA.MX,VESTA.MX,CORPORACION INMOBILIARIA VESTA ,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",1342787400,America/Mexico_City,CDT,-18000000,61.87,71.33,50.81,65.69,67.91,2.1,buy,15,50402928,0.075,154696096,930097344,0.906,1.249,195060768,53.402,0.286,0.03293,0.18053,166602067,90745144,104501320,0.781,0.205,0.92710996,0.79307,0.78949,USD,
9,Paseo de los Tamarindos 90 Tower 2,28th Floor Cuajimalpa de Morelos Bosques De Las Lomas,Mexico City,DF,05120,Mexico,52 55 5950 0070,https://www.vesta.com.mx,Real Estate—Diversified,Real Estate,"Corporación Inmobiliaria Vesta, S.A.B. de C.V., together with its subsidiaries, acquires, develops, manages, operates, and leases industrial buildings and distribution centers in Mexico. The company was incorporated in 1998 and is headquartered in Mexico City, Mexico.",87,"{'maxAge': 1, 'name': 'Mr. Francisco Eduardo Estrada Gomez Pezuela', 'age': 57, 'title': 'Exec. Regional VP \x96 Bajío and Central Region', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,62.43,62.44,61.17,62.58,62.43,62.44,61.17,62.58,1.87,0.0304,1689206400,0.2895,4.18,0.470412,10.043831,20.218954,4521551,4521551,2601891,2656331,2656331,61.62,61.6,640000,408200,51204169728,36.79,65.21,262.5037,60.6862,54.92615,0.088,0.0014095787,MXN,42675445760,1.4954,595624586,827609024,0.11083999,0.53411996,2.602,23.777863,1672444800,1703980800,1688083200,0.786,291690560,6.16,3.06,0.0,218.78,275.866,MEX,EQUITY,VESTA.MX,VESTA.MX,CORPORACION INMOBILIARIA VESTA ,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",1342787400,America/Mexico_City,CDT,-18000000,61.87,71.33,50.81,65.69,67.91,2.1,buy,15,50402928,0.075,154696096,930097344,0.906,1.249,195060768,53.402,0.286,0.03293,0.18053,166602067,90745144,104501320,0.781,0.205,0.92710996,0.79307,0.78949,USD,
