,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Fabianinkatu 27,Helsinki,00100,Finland,358 1051 60100,https://www.sampo.com,Insurance—Diversified,Financial Services,"Sampo Oyj, through its subsidiaries, provides life and non-life insurance products and services in Finland, Sweden, Norway, Denmark, and the Baltic countries. It operates through If, Topdanmark, Hastings, Mandatum, and Holding segments. The company offers household, homeowner, motor, accident, travel, boat, forest, livestock, property, casualty, liability, car, van, bike, and cargo insurance. It also provides life, individual and group pension, home and content, illness, animal, electronics, change of ownership, workers' compensation, rewards, marine, aviation, and transport insurance, as well as wealth management and asset management services. The company was founded in 1909 and is based in Helsinki, Finland.",13272,"{'maxAge': 1, 'name': 'Mr. Torbjorn  Magnusson', 'age': 59, 'title': 'Group CEO & Chairman of Group Exec. Committee', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,5,7,1,1693526400,1104451200,86400,2,43.459793,43.4598,43.4598,43.4598,43.459793,43.4598,43.4598,43.4598,1.93,0.0444,1684454400,1.2661,0.74587,28.405094,15.977865,629,629,827,520,520,0.0,0.0,0,0,22529904640,40.96,53.26,2.5816321,43.5788,47.68215,1.8,0.04141759,USD,8866499584,0.039419997,443683153,501596992,0.082440004,0.45801,16.449,2.6420934,1672444800,1703980800,1688083200,-0.657,715000000,1.53,2.72,-0.98,1.016,4.052,PNK,EQUITY,SAXPF,SAXPF,SAMPO PLC,Sampo Oyj,1276090200,America/New_York,EDT,-14400000,43.459793,47.15,47.15,47.15,47.15,2.0,buy,1,16533000192,32.773,2188000000,3064000000,1.185,2.461,8727000064,35.182,16.91,0.02707,0.08958,3797000000,-29469499392,1522000000,-0.641,0.073,0.45308,0.25072,0.23582001,EUR,36.0314
1,Fabianinkatu 27,Helsinki,00100,Finland,358 1051 60100,https://www.sampo.com,Insurance—Diversified,Financial Services,"Sampo Oyj, through its subsidiaries, provides life and non-life insurance products and services in Finland, Sweden, Norway, Denmark, and the Baltic countries. It operates through If, Topdanmark, Hastings, Mandatum, and Holding segments. The company offers household, homeowner, motor, accident, travel, boat, forest, livestock, property, casualty, liability, car, van, bike, and cargo insurance. It also provides life, individual and group pension, home and content, illness, animal, electronics, change of ownership, workers' compensation, rewards, marine, aviation, and transport insurance, as well as wealth management and asset management services. The company was founded in 1909 and is based in Helsinki, Finland.",13272,"{'maxAge': 1, 'name': 'Mr. Knut-Arne  Alsaker', 'age': 49, 'title': 'CFO & Member of Group Exec. Committee', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,5,7,1,1693526400,1104451200,86400,2,43.459793,43.4598,43.4598,43.4598,43.459793,43.4598,43.4598,43.4598,1.93,0.0444,1684454400,1.2661,0.74587,28.405094,15.977865,629,629,827,520,520,0.0,0.0,0,0,22529904640,40.96,53.26,2.5816321,43.5788,47.68215,1.8,0.04141759,USD,8866499584,0.039419997,443683153,501596992,0.082440004,0.45801,16.449,2.6420934,1672444800,1703980800,1688083200,-0.657,715000000,1.53,2.72,-0.98,1.016,4.052,PNK,EQUITY,SAXPF,SAXPF,SAMPO PLC,Sampo Oyj,1276090200,America/New_York,EDT,-14400000,43.459793,47.15,47.15,47.15,47.15,2.0,buy,1,16533000192,32.773,2188000000,3064000000,1.185,2.461,8727000064,35.182,16.91,0.02707,0.08958,3797000000,-29469499392,1522000000,-0.641,0.073,0.45308,0.25072,0.23582001,EUR,36.0314
2,Fabianinkatu 27,Helsinki,00100,Finland,358 1051 60100,https://www.sampo.com,Insurance—Diversified,Financial Services,"Sampo Oyj, through its subsidiaries, provides life and non-life insurance products and services in Finland, Sweden, Norway, Denmark, and the Baltic countries. It operates through If, Topdanmark, Hastings, Mandatum, and Holding segments. The company offers household, homeowner, motor, accident, travel, boat, forest, livestock, property, casualty, liability, car, van, bike, and cargo insurance. It also provides life, individual and group pension, home and content, illness, animal, electronics, change of ownership, workers' compensation, rewards, marine, aviation, and transport insurance, as well as wealth management and asset management services. The company was founded in 1909 and is based in Helsinki, Finland.",13272,"{'maxAge': 1, 'name': 'Mr. Petri Kalervo Niemisvirta LL.M.', 'age': 52, 'title': 'Member of Group Exec. Committee', 'yearBorn': 1970, 'fiscalYear': 2004, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,5,7,1,1693526400,1104451200,86400,2,43.459793,43.4598,43.4598,43.4598,43.459793,43.4598,43.4598,43.4598,1.93,0.0444,1684454400,1.2661,0.74587,28.405094,15.977865,629,629,827,520,520,0.0,0.0,0,0,22529904640,40.96,53.26,2.5816321,43.5788,47.68215,1.8,0.04141759,USD,8866499584,0.039419997,443683153,501596992,0.082440004,0.45801,16.449,2.6420934,1672444800,1703980800,1688083200,-0.657,715000000,1.53,2.72,-0.98,1.016,4.052,PNK,EQUITY,SAXPF,SAXPF,SAMPO PLC,Sampo Oyj,1276090200,America/New_York,EDT,-14400000,43.459793,47.15,47.15,47.15,47.15,2.0,buy,1,16533000192,32.773,2188000000,3064000000,1.185,2.461,8727000064,35.182,16.91,0.02707,0.08958,3797000000,-29469499392,1522000000,-0.641,0.073,0.45308,0.25072,0.23582001,EUR,36.0314
3,Fabianinkatu 27,Helsinki,00100,Finland,358 1051 60100,https://www.sampo.com,Insurance—Diversified,Financial Services,"Sampo Oyj, through its subsidiaries, provides life and non-life insurance products and services in Finland, Sweden, Norway, Denmark, and the Baltic countries. It operates through If, Topdanmark, Hastings, Mandatum, and Holding segments. The company offers household, homeowner, motor, accident, travel, boat, forest, livestock, property, casualty, liability, car, van, bike, and cargo insurance. It also provides life, individual and group pension, home and content, illness, animal, electronics, change of ownership, workers' compensation, rewards, marine, aviation, and transport insurance, as well as wealth management and asset management services. The company was founded in 1909 and is based in Helsinki, Finland.",13272,"{'maxAge': 1, 'name': 'Mr. John Patrick Sture Lapvetelainen', 'age': 56, 'title': 'Chief Investment Officer & Member of the Group Exec. Committee', 'yearBorn': 1966, 'fiscalYear': 2004, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,5,7,1,1693526400,1104451200,86400,2,43.459793,43.4598,43.4598,43.4598,43.459793,43.4598,43.4598,43.4598,1.93,0.0444,1684454400,1.2661,0.74587,28.405094,15.977865,629,629,827,520,520,0.0,0.0,0,0,22529904640,40.96,53.26,2.5816321,43.5788,47.68215,1.8,0.04141759,USD,8866499584,0.039419997,443683153,501596992,0.082440004,0.45801,16.449,2.6420934,1672444800,1703980800,1688083200,-0.657,715000000,1.53,2.72,-0.98,1.016,4.052,PNK,EQUITY,SAXPF,SAXPF,SAMPO PLC,Sampo Oyj,1276090200,America/New_York,EDT,-14400000,43.459793,47.15,47.15,47.15,47.15,2.0,buy,1,16533000192,32.773,2188000000,3064000000,1.185,2.461,8727000064,35.182,16.91,0.02707,0.08958,3797000000,-29469499392,1522000000,-0.641,0.073,0.45308,0.25072,0.23582001,EUR,36.0314
4,Fabianinkatu 27,Helsinki,00100,Finland,358 1051 60100,https://www.sampo.com,Insurance—Diversified,Financial Services,"Sampo Oyj, through its subsidiaries, provides life and non-life insurance products and services in Finland, Sweden, Norway, Denmark, and the Baltic countries. It operates through If, Topdanmark, Hastings, Mandatum, and Holding segments. The company offers household, homeowner, motor, accident, travel, boat, forest, livestock, property, casualty, liability, car, van, bike, and cargo insurance. It also provides life, individual and group pension, home and content, illness, animal, electronics, change of ownership, workers' compensation, rewards, marine, aviation, and transport insurance, as well as wealth management and asset management services. The company was founded in 1909 and is based in Helsinki, Finland.",13272,"{'maxAge': 1, 'name': 'Mr. A. Ricard Wennerklint', 'age': 53, 'title': 'Chief of Strategy & Member of Group Exec. Committee', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,5,7,1,1693526400,1104451200,86400,2,43.459793,43.4598,43.4598,43.4598,43.459793,43.4598,43.4598,43.4598,1.93,0.0444,1684454400,1.2661,0.74587,28.405094,15.977865,629,629,827,520,520,0.0,0.0,0,0,22529904640,40.96,53.26,2.5816321,43.5788,47.68215,1.8,0.04141759,USD,8866499584,0.039419997,443683153,501596992,0.082440004,0.45801,16.449,2.6420934,1672444800,1703980800,1688083200,-0.657,715000000,1.53,2.72,-0.98,1.016,4.052,PNK,EQUITY,SAXPF,SAXPF,SAMPO PLC,Sampo Oyj,1276090200,America/New_York,EDT,-14400000,43.459793,47.15,47.15,47.15,47.15,2.0,buy,1,16533000192,32.773,2188000000,3064000000,1.185,2.461,8727000064,35.182,16.91,0.02707,0.08958,3797000000,-29469499392,1522000000,-0.641,0.073,0.45308,0.25072,0.23582001,EUR,36.0314
5,Fabianinkatu 27,Helsinki,00100,Finland,358 1051 60100,https://www.sampo.com,Insurance—Diversified,Financial Services,"Sampo Oyj, through its subsidiaries, provides life and non-life insurance products and services in Finland, Sweden, Norway, Denmark, and the Baltic countries. It operates through If, Topdanmark, Hastings, Mandatum, and Holding segments. The company offers household, homeowner, motor, accident, travel, boat, forest, livestock, property, casualty, liability, car, van, bike, and cargo insurance. It also provides life, individual and group pension, home and content, illness, animal, electronics, change of ownership, workers' compensation, rewards, marine, aviation, and transport insurance, as well as wealth management and asset management services. The company was founded in 1909 and is based in Helsinki, Finland.",13272,"{'maxAge': 1, 'name': 'Mr. Morten  Thorsrud', 'age': 51, 'title': 'Member of Group Exec. Committee', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,5,7,1,1693526400,1104451200,86400,2,43.459793,43.4598,43.4598,43.4598,43.459793,43.4598,43.4598,43.4598,1.93,0.0444,1684454400,1.2661,0.74587,28.405094,15.977865,629,629,827,520,520,0.0,0.0,0,0,22529904640,40.96,53.26,2.5816321,43.5788,47.68215,1.8,0.04141759,USD,8866499584,0.039419997,443683153,501596992,0.082440004,0.45801,16.449,2.6420934,1672444800,1703980800,1688083200,-0.657,715000000,1.53,2.72,-0.98,1.016,4.052,PNK,EQUITY,SAXPF,SAXPF,SAMPO PLC,Sampo Oyj,1276090200,America/New_York,EDT,-14400000,43.459793,47.15,47.15,47.15,47.15,2.0,buy,1,16533000192,32.773,2188000000,3064000000,1.185,2.461,8727000064,35.182,16.91,0.02707,0.08958,3797000000,-29469499392,1522000000,-0.641,0.073,0.45308,0.25072,0.23582001,EUR,36.0314
6,Fabianinkatu 27,Helsinki,00100,Finland,358 1051 60100,https://www.sampo.com,Insurance—Diversified,Financial Services,"Sampo Oyj, through its subsidiaries, provides life and non-life insurance products and services in Finland, Sweden, Norway, Denmark, and the Baltic countries. It operates through If, Topdanmark, Hastings, Mandatum, and Holding segments. The company offers household, homeowner, motor, accident, travel, boat, forest, livestock, property, casualty, liability, car, van, bike, and cargo insurance. It also provides life, individual and group pension, home and content, illness, animal, electronics, change of ownership, workers' compensation, rewards, marine, aviation, and transport insurance, as well as wealth management and asset management services. The company was founded in 1909 and is based in Helsinki, Finland.",13272,"{'maxAge': 1, 'name': 'Ms. Ingrid Janbu Holthe', 'age': 40, 'title': 'Member of the Group Exec. Committee', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,5,7,1,1693526400,1104451200,86400,2,43.459793,43.4598,43.4598,43.4598,43.459793,43.4598,43.4598,43.4598,1.93,0.0444,1684454400,1.2661,0.74587,28.405094,15.977865,629,629,827,520,520,0.0,0.0,0,0,22529904640,40.96,53.26,2.5816321,43.5788,47.68215,1.8,0.04141759,USD,8866499584,0.039419997,443683153,501596992,0.082440004,0.45801,16.449,2.6420934,1672444800,1703980800,1688083200,-0.657,715000000,1.53,2.72,-0.98,1.016,4.052,PNK,EQUITY,SAXPF,SAXPF,SAMPO PLC,Sampo Oyj,1276090200,America/New_York,EDT,-14400000,43.459793,47.15,47.15,47.15,47.15,2.0,buy,1,16533000192,32.773,2188000000,3064000000,1.185,2.461,8727000064,35.182,16.91,0.02707,0.08958,3797000000,-29469499392,1522000000,-0.641,0.073,0.45308,0.25072,0.23582001,EUR,36.0314
7,Fabianinkatu 27,Helsinki,00100,Finland,358 1051 60100,https://www.sampo.com,Insurance—Diversified,Financial Services,"Sampo Oyj, through its subsidiaries, provides life and non-life insurance products and services in Finland, Sweden, Norway, Denmark, and the Baltic countries. It operates through If, Topdanmark, Hastings, Mandatum, and Holding segments. The company offers household, homeowner, motor, accident, travel, boat, forest, livestock, property, casualty, liability, car, van, bike, and cargo insurance. It also provides life, individual and group pension, home and content, illness, animal, electronics, change of ownership, workers' compensation, rewards, marine, aviation, and transport insurance, as well as wealth management and asset management services. The company was founded in 1909 and is based in Helsinki, Finland.",13272,"{'maxAge': 1, 'name': 'Mr. Sami  Taipalus', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,5,7,1,1693526400,1104451200,86400,2,43.459793,43.4598,43.4598,43.4598,43.459793,43.4598,43.4598,43.4598,1.93,0.0444,1684454400,1.2661,0.74587,28.405094,15.977865,629,629,827,520,520,0.0,0.0,0,0,22529904640,40.96,53.26,2.5816321,43.5788,47.68215,1.8,0.04141759,USD,8866499584,0.039419997,443683153,501596992,0.082440004,0.45801,16.449,2.6420934,1672444800,1703980800,1688083200,-0.657,715000000,1.53,2.72,-0.98,1.016,4.052,PNK,EQUITY,SAXPF,SAXPF,SAMPO PLC,Sampo Oyj,1276090200,America/New_York,EDT,-14400000,43.459793,47.15,47.15,47.15,47.15,2.0,buy,1,16533000192,32.773,2188000000,3064000000,1.185,2.461,8727000064,35.182,16.91,0.02707,0.08958,3797000000,-29469499392,1522000000,-0.641,0.073,0.45308,0.25072,0.23582001,EUR,36.0314
8,Fabianinkatu 27,Helsinki,00100,Finland,358 1051 60100,https://www.sampo.com,Insurance—Diversified,Financial Services,"Sampo Oyj, through its subsidiaries, provides life and non-life insurance products and services in Finland, Sweden, Norway, Denmark, and the Baltic countries. It operates through If, Topdanmark, Hastings, Mandatum, and Holding segments. The company offers household, homeowner, motor, accident, travel, boat, forest, livestock, property, casualty, liability, car, van, bike, and cargo insurance. It also provides life, individual and group pension, home and content, illness, animal, electronics, change of ownership, workers' compensation, rewards, marine, aviation, and transport insurance, as well as wealth management and asset management services. The company was founded in 1909 and is based in Helsinki, Finland.",13272,"{'maxAge': 1, 'name': 'Maria  Silander', 'title': 'Communications Mang., Media Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,5,7,1,1693526400,1104451200,86400,2,43.459793,43.4598,43.4598,43.4598,43.459793,43.4598,43.4598,43.4598,1.93,0.0444,1684454400,1.2661,0.74587,28.405094,15.977865,629,629,827,520,520,0.0,0.0,0,0,22529904640,40.96,53.26,2.5816321,43.5788,47.68215,1.8,0.04141759,USD,8866499584,0.039419997,443683153,501596992,0.082440004,0.45801,16.449,2.6420934,1672444800,1703980800,1688083200,-0.657,715000000,1.53,2.72,-0.98,1.016,4.052,PNK,EQUITY,SAXPF,SAXPF,SAMPO PLC,Sampo Oyj,1276090200,America/New_York,EDT,-14400000,43.459793,47.15,47.15,47.15,47.15,2.0,buy,1,16533000192,32.773,2188000000,3064000000,1.185,2.461,8727000064,35.182,16.91,0.02707,0.08958,3797000000,-29469499392,1522000000,-0.641,0.073,0.45308,0.25072,0.23582001,EUR,36.0314
9,Fabianinkatu 27,Helsinki,00100,Finland,358 1051 60100,https://www.sampo.com,Insurance—Diversified,Financial Services,"Sampo Oyj, through its subsidiaries, provides life and non-life insurance products and services in Finland, Sweden, Norway, Denmark, and the Baltic countries. It operates through If, Topdanmark, Hastings, Mandatum, and Holding segments. The company offers household, homeowner, motor, accident, travel, boat, forest, livestock, property, casualty, liability, car, van, bike, and cargo insurance. It also provides life, individual and group pension, home and content, illness, animal, electronics, change of ownership, workers' compensation, rewards, marine, aviation, and transport insurance, as well as wealth management and asset management services. The company was founded in 1909 and is based in Helsinki, Finland.",13272,"{'maxAge': 1, 'name': 'Mr. Johan  Börjesson', 'age': 55, 'title': 'Group Head of HR', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,5,7,1,1693526400,1104451200,86400,2,43.459793,43.4598,43.4598,43.4598,43.459793,43.4598,43.4598,43.4598,1.93,0.0444,1684454400,1.2661,0.74587,28.405094,15.977865,629,629,827,520,520,0.0,0.0,0,0,22529904640,40.96,53.26,2.5816321,43.5788,47.68215,1.8,0.04141759,USD,8866499584,0.039419997,443683153,501596992,0.082440004,0.45801,16.449,2.6420934,1672444800,1703980800,1688083200,-0.657,715000000,1.53,2.72,-0.98,1.016,4.052,PNK,EQUITY,SAXPF,SAXPF,SAMPO PLC,Sampo Oyj,1276090200,America/New_York,EDT,-14400000,43.459793,47.15,47.15,47.15,47.15,2.0,buy,1,16533000192,32.773,2188000000,3064000000,1.185,2.461,8727000064,35.182,16.91,0.02707,0.08958,3797000000,-29469499392,1522000000,-0.641,0.073,0.45308,0.25072,0.23582001,EUR,36.0314
