,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Level 8,130 Pitt Street,Sydney,NSW,NSW 2000,Australia,61 2 7229 0499,61 2 6201 1987,https://www.australianethical.com.au,Asset Management,Financial Services,"Australian Ethical Investment Ltd is a publicly owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm invests in education, energy, electricity transmission & distribution, government, health & wellbeing, food production, telecommunications, transport, recycling and waste management, sustainable products & materials, Information technology, software and professional services, media, property, recreation financial services. The firm employs fundamental analysis to create its portfolios. Australian Ethical Investment Ltd was founded in 1986 and is based in Sydney, Australia.",118,"{'maxAge': 1, 'name': 'Mr. John Paul McMurdo M.B.A.', 'title': 'CEO, MD & Director', 'fiscalYear': 2023, 'totalPay': 815959, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,5,1,2,1693526400,1703980800,86400,4,4.37,4.4,4.35,4.76,4.37,4.4,4.35,4.76,0.1,0.021,1693958400,0.85620004,1.33,1.396771,79.333336,252887,252887,161848,157660,157660,4.76,4.77,0,0,536842336,2.51,5.71,6.6198373,4.031,3.7069,0.07,0.016018307,AUD,506310560,0.08109,87477143,112782000,0.24516001,0.07074,0.237,20.084389,1688083200,1719705600,1688083200,0.393,6576000,0.06,100:1,1544659200,6.243,27.249,ASX,EQUITY,AEF.AX,AEF.AX,A ETHICAL FPO,Australian Ethical Investment Limited,1039993200,Australia/Sydney,AEST,36000000,4.76,none,32734000,0.29,18581000,2202000,1.962,2.046,81096000,8.23,0.727,0.25378,0.25577998,53642000,16847376,16204000,0.38,0.252,0.66146004,0.22912,0.22343001,AUD,
1,Level 8,130 Pitt Street,Sydney,NSW,NSW 2000,Australia,61 2 7229 0499,61 2 6201 1987,https://www.australianethical.com.au,Asset Management,Financial Services,"Australian Ethical Investment Ltd is a publicly owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm invests in education, energy, electricity transmission & distribution, government, health & wellbeing, food production, telecommunications, transport, recycling and waste management, sustainable products & materials, Information technology, software and professional services, media, property, recreation financial services. The firm employs fundamental analysis to create its portfolios. Australian Ethical Investment Ltd was founded in 1986 and is based in Sydney, Australia.",118,"{'maxAge': 1, 'name': 'Mr. Mark  Simons', 'title': 'Chief Financial Officer', 'fiscalYear': 2023, 'totalPay': 530363, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,5,1,2,1693526400,1703980800,86400,4,4.37,4.4,4.35,4.76,4.37,4.4,4.35,4.76,0.1,0.021,1693958400,0.85620004,1.33,1.396771,79.333336,252887,252887,161848,157660,157660,4.76,4.77,0,0,536842336,2.51,5.71,6.6198373,4.031,3.7069,0.07,0.016018307,AUD,506310560,0.08109,87477143,112782000,0.24516001,0.07074,0.237,20.084389,1688083200,1719705600,1688083200,0.393,6576000,0.06,100:1,1544659200,6.243,27.249,ASX,EQUITY,AEF.AX,AEF.AX,A ETHICAL FPO,Australian Ethical Investment Limited,1039993200,Australia/Sydney,AEST,36000000,4.76,none,32734000,0.29,18581000,2202000,1.962,2.046,81096000,8.23,0.727,0.25378,0.25577998,53642000,16847376,16204000,0.38,0.252,0.66146004,0.22912,0.22343001,AUD,
2,Level 8,130 Pitt Street,Sydney,NSW,NSW 2000,Australia,61 2 7229 0499,61 2 6201 1987,https://www.australianethical.com.au,Asset Management,Financial Services,"Australian Ethical Investment Ltd is a publicly owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm invests in education, energy, electricity transmission & distribution, government, health & wellbeing, food production, telecommunications, transport, recycling and waste management, sustainable products & materials, Information technology, software and professional services, media, property, recreation financial services. The firm employs fundamental analysis to create its portfolios. Australian Ethical Investment Ltd was founded in 1986 and is based in Sydney, Australia.",118,"{'maxAge': 1, 'name': 'Mr. Ludovic  Theau', 'title': 'Chief Investment Officer', 'fiscalYear': 2023, 'totalPay': 310340, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,5,1,2,1693526400,1703980800,86400,4,4.37,4.4,4.35,4.76,4.37,4.4,4.35,4.76,0.1,0.021,1693958400,0.85620004,1.33,1.396771,79.333336,252887,252887,161848,157660,157660,4.76,4.77,0,0,536842336,2.51,5.71,6.6198373,4.031,3.7069,0.07,0.016018307,AUD,506310560,0.08109,87477143,112782000,0.24516001,0.07074,0.237,20.084389,1688083200,1719705600,1688083200,0.393,6576000,0.06,100:1,1544659200,6.243,27.249,ASX,EQUITY,AEF.AX,AEF.AX,A ETHICAL FPO,Australian Ethical Investment Limited,1039993200,Australia/Sydney,AEST,36000000,4.76,none,32734000,0.29,18581000,2202000,1.962,2.046,81096000,8.23,0.727,0.25378,0.25577998,53642000,16847376,16204000,0.38,0.252,0.66146004,0.22912,0.22343001,AUD,
3,Level 8,130 Pitt Street,Sydney,NSW,NSW 2000,Australia,61 2 7229 0499,61 2 6201 1987,https://www.australianethical.com.au,Asset Management,Financial Services,"Australian Ethical Investment Ltd is a publicly owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm invests in education, energy, electricity transmission & distribution, government, health & wellbeing, food production, telecommunications, transport, recycling and waste management, sustainable products & materials, Information technology, software and professional services, media, property, recreation financial services. The firm employs fundamental analysis to create its portfolios. Australian Ethical Investment Ltd was founded in 1986 and is based in Sydney, Australia.",118,"{'maxAge': 1, 'name': 'Eveline  Moos B.Com.', 'title': 'Chief People & Culture Officer', 'fiscalYear': 2023, 'totalPay': 413639, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,5,1,2,1693526400,1703980800,86400,4,4.37,4.4,4.35,4.76,4.37,4.4,4.35,4.76,0.1,0.021,1693958400,0.85620004,1.33,1.396771,79.333336,252887,252887,161848,157660,157660,4.76,4.77,0,0,536842336,2.51,5.71,6.6198373,4.031,3.7069,0.07,0.016018307,AUD,506310560,0.08109,87477143,112782000,0.24516001,0.07074,0.237,20.084389,1688083200,1719705600,1688083200,0.393,6576000,0.06,100:1,1544659200,6.243,27.249,ASX,EQUITY,AEF.AX,AEF.AX,A ETHICAL FPO,Australian Ethical Investment Limited,1039993200,Australia/Sydney,AEST,36000000,4.76,none,32734000,0.29,18581000,2202000,1.962,2.046,81096000,8.23,0.727,0.25378,0.25577998,53642000,16847376,16204000,0.38,0.252,0.66146004,0.22912,0.22343001,AUD,
4,Level 8,130 Pitt Street,Sydney,NSW,NSW 2000,Australia,61 2 7229 0499,61 2 6201 1987,https://www.australianethical.com.au,Asset Management,Financial Services,"Australian Ethical Investment Ltd is a publicly owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm invests in education, energy, electricity transmission & distribution, government, health & wellbeing, food production, telecommunications, transport, recycling and waste management, sustainable products & materials, Information technology, software and professional services, media, property, recreation financial services. The firm employs fundamental analysis to create its portfolios. Australian Ethical Investment Ltd was founded in 1986 and is based in Sydney, Australia.",118,"{'maxAge': 1, 'name': 'Ms. Maria  Loyez', 'title': 'Chief Customer Officer', 'fiscalYear': 2023, 'totalPay': 484997, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,5,1,2,1693526400,1703980800,86400,4,4.37,4.4,4.35,4.76,4.37,4.4,4.35,4.76,0.1,0.021,1693958400,0.85620004,1.33,1.396771,79.333336,252887,252887,161848,157660,157660,4.76,4.77,0,0,536842336,2.51,5.71,6.6198373,4.031,3.7069,0.07,0.016018307,AUD,506310560,0.08109,87477143,112782000,0.24516001,0.07074,0.237,20.084389,1688083200,1719705600,1688083200,0.393,6576000,0.06,100:1,1544659200,6.243,27.249,ASX,EQUITY,AEF.AX,AEF.AX,A ETHICAL FPO,Australian Ethical Investment Limited,1039993200,Australia/Sydney,AEST,36000000,4.76,none,32734000,0.29,18581000,2202000,1.962,2.046,81096000,8.23,0.727,0.25378,0.25577998,53642000,16847376,16204000,0.38,0.252,0.66146004,0.22912,0.22343001,AUD,
5,Level 8,130 Pitt Street,Sydney,NSW,NSW 2000,Australia,61 2 7229 0499,61 2 6201 1987,https://www.australianethical.com.au,Asset Management,Financial Services,"Australian Ethical Investment Ltd is a publicly owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm invests in education, energy, electricity transmission & distribution, government, health & wellbeing, food production, telecommunications, transport, recycling and waste management, sustainable products & materials, Information technology, software and professional services, media, property, recreation financial services. The firm employs fundamental analysis to create its portfolios. Australian Ethical Investment Ltd was founded in 1986 and is based in Sydney, Australia.",118,"{'maxAge': 1, 'name': 'Ms. Marion  Enander B.Com., M.B.A.', 'title': 'Chief Strategy & Innovation Officer', 'fiscalYear': 2023, 'totalPay': 440810, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,5,1,2,1693526400,1703980800,86400,4,4.37,4.4,4.35,4.76,4.37,4.4,4.35,4.76,0.1,0.021,1693958400,0.85620004,1.33,1.396771,79.333336,252887,252887,161848,157660,157660,4.76,4.77,0,0,536842336,2.51,5.71,6.6198373,4.031,3.7069,0.07,0.016018307,AUD,506310560,0.08109,87477143,112782000,0.24516001,0.07074,0.237,20.084389,1688083200,1719705600,1688083200,0.393,6576000,0.06,100:1,1544659200,6.243,27.249,ASX,EQUITY,AEF.AX,AEF.AX,A ETHICAL FPO,Australian Ethical Investment Limited,1039993200,Australia/Sydney,AEST,36000000,4.76,none,32734000,0.29,18581000,2202000,1.962,2.046,81096000,8.23,0.727,0.25378,0.25577998,53642000,16847376,16204000,0.38,0.252,0.66146004,0.22912,0.22343001,AUD,
6,Level 8,130 Pitt Street,Sydney,NSW,NSW 2000,Australia,61 2 7229 0499,61 2 6201 1987,https://www.australianethical.com.au,Asset Management,Financial Services,"Australian Ethical Investment Ltd is a publicly owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm invests in education, energy, electricity transmission & distribution, government, health & wellbeing, food production, telecommunications, transport, recycling and waste management, sustainable products & materials, Information technology, software and professional services, media, property, recreation financial services. The firm employs fundamental analysis to create its portfolios. Australian Ethical Investment Ltd was founded in 1986 and is based in Sydney, Australia.",118,"{'maxAge': 1, 'name': 'Mr. Ross  Piper B.Sc., M.B.A.', 'title': 'Chief Exec. of Superannuation', 'fiscalYear': 2023, 'totalPay': 493518, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,5,1,2,1693526400,1703980800,86400,4,4.37,4.4,4.35,4.76,4.37,4.4,4.35,4.76,0.1,0.021,1693958400,0.85620004,1.33,1.396771,79.333336,252887,252887,161848,157660,157660,4.76,4.77,0,0,536842336,2.51,5.71,6.6198373,4.031,3.7069,0.07,0.016018307,AUD,506310560,0.08109,87477143,112782000,0.24516001,0.07074,0.237,20.084389,1688083200,1719705600,1688083200,0.393,6576000,0.06,100:1,1544659200,6.243,27.249,ASX,EQUITY,AEF.AX,AEF.AX,A ETHICAL FPO,Australian Ethical Investment Limited,1039993200,Australia/Sydney,AEST,36000000,4.76,none,32734000,0.29,18581000,2202000,1.962,2.046,81096000,8.23,0.727,0.25378,0.25577998,53642000,16847376,16204000,0.38,0.252,0.66146004,0.22912,0.22343001,AUD,
7,Level 8,130 Pitt Street,Sydney,NSW,NSW 2000,Australia,61 2 7229 0499,61 2 6201 1987,https://www.australianethical.com.au,Asset Management,Financial Services,"Australian Ethical Investment Ltd is a publicly owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm invests in education, energy, electricity transmission & distribution, government, health & wellbeing, food production, telecommunications, transport, recycling and waste management, sustainable products & materials, Information technology, software and professional services, media, property, recreation financial services. The firm employs fundamental analysis to create its portfolios. Australian Ethical Investment Ltd was founded in 1986 and is based in Sydney, Australia.",118,"{'maxAge': 1, 'name': 'Ms. Karen  Hughes A.C.A., B.Sc.', 'title': 'Chief Risk Officer & Company Sec.', 'fiscalYear': 2023, 'totalPay': 392718, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,5,1,2,1693526400,1703980800,86400,4,4.37,4.4,4.35,4.76,4.37,4.4,4.35,4.76,0.1,0.021,1693958400,0.85620004,1.33,1.396771,79.333336,252887,252887,161848,157660,157660,4.76,4.77,0,0,536842336,2.51,5.71,6.6198373,4.031,3.7069,0.07,0.016018307,AUD,506310560,0.08109,87477143,112782000,0.24516001,0.07074,0.237,20.084389,1688083200,1719705600,1688083200,0.393,6576000,0.06,100:1,1544659200,6.243,27.249,ASX,EQUITY,AEF.AX,AEF.AX,A ETHICAL FPO,Australian Ethical Investment Limited,1039993200,Australia/Sydney,AEST,36000000,4.76,none,32734000,0.29,18581000,2202000,1.962,2.046,81096000,8.23,0.727,0.25378,0.25577998,53642000,16847376,16204000,0.38,0.252,0.66146004,0.22912,0.22343001,AUD,
8,Level 8,130 Pitt Street,Sydney,NSW,NSW 2000,Australia,61 2 7229 0499,61 2 6201 1987,https://www.australianethical.com.au,Asset Management,Financial Services,"Australian Ethical Investment Ltd is a publicly owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm invests in education, energy, electricity transmission & distribution, government, health & wellbeing, food production, telecommunications, transport, recycling and waste management, sustainable products & materials, Information technology, software and professional services, media, property, recreation financial services. The firm employs fundamental analysis to create its portfolios. Australian Ethical Investment Ltd was founded in 1986 and is based in Sydney, Australia.",118,"{'maxAge': 1, 'name': 'Mr. Kwong Yue Tsang', 'age': 50, 'title': 'Chief Technology Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,5,1,2,1693526400,1703980800,86400,4,4.37,4.4,4.35,4.76,4.37,4.4,4.35,4.76,0.1,0.021,1693958400,0.85620004,1.33,1.396771,79.333336,252887,252887,161848,157660,157660,4.76,4.77,0,0,536842336,2.51,5.71,6.6198373,4.031,3.7069,0.07,0.016018307,AUD,506310560,0.08109,87477143,112782000,0.24516001,0.07074,0.237,20.084389,1688083200,1719705600,1688083200,0.393,6576000,0.06,100:1,1544659200,6.243,27.249,ASX,EQUITY,AEF.AX,AEF.AX,A ETHICAL FPO,Australian Ethical Investment Limited,1039993200,Australia/Sydney,AEST,36000000,4.76,none,32734000,0.29,18581000,2202000,1.962,2.046,81096000,8.23,0.727,0.25378,0.25577998,53642000,16847376,16204000,0.38,0.252,0.66146004,0.22912,0.22343001,AUD,
9,Level 8,130 Pitt Street,Sydney,NSW,NSW 2000,Australia,61 2 7229 0499,61 2 6201 1987,https://www.australianethical.com.au,Asset Management,Financial Services,"Australian Ethical Investment Ltd is a publicly owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity and fixed income markets across the globe. The firm invests in education, energy, electricity transmission & distribution, government, health & wellbeing, food production, telecommunications, transport, recycling and waste management, sustainable products & materials, Information technology, software and professional services, media, property, recreation financial services. The firm employs fundamental analysis to create its portfolios. Australian Ethical Investment Ltd was founded in 1986 and is based in Sydney, Australia.",118,"{'maxAge': 1, 'name': 'Mr. Michael  Murray', 'title': 'Head of Domestic Equities', 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,5,1,2,1693526400,1703980800,86400,4,4.37,4.4,4.35,4.76,4.37,4.4,4.35,4.76,0.1,0.021,1693958400,0.85620004,1.33,1.396771,79.333336,252887,252887,161848,157660,157660,4.76,4.77,0,0,536842336,2.51,5.71,6.6198373,4.031,3.7069,0.07,0.016018307,AUD,506310560,0.08109,87477143,112782000,0.24516001,0.07074,0.237,20.084389,1688083200,1719705600,1688083200,0.393,6576000,0.06,100:1,1544659200,6.243,27.249,ASX,EQUITY,AEF.AX,AEF.AX,A ETHICAL FPO,Australian Ethical Investment Limited,1039993200,Australia/Sydney,AEST,36000000,4.76,none,32734000,0.29,18581000,2202000,1.962,2.046,81096000,8.23,0.727,0.25378,0.25577998,53642000,16847376,16204000,0.38,0.252,0.66146004,0.22912,0.22343001,AUD,
