,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Mr. Nicholas John Roberts', 'age': 54, 'title': 'CEO & Exec. Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 745000, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,830.4,833.2,831.8,846.0,830.4,833.2,831.8,846.0,0.39,0.047,1696464000,0.5718,1.475225,1223.2352,10.575969,642658,642658,520665,386647,386647,825.8,834.6,0,0,1803841408,707.8,1082.5,0.3657127,850.972,916.863,0.39,0.00046965314,GBp,2620378880,0.029660001,205890164,212508992,0.0317,0.84932,10.029,82.93947,1672444800,1703980800,1688083200,-0.433,146300000,0.68,78.65,-10.85,0:1,1619654400,0.531,8.388,LSE,EQUITY,TPK.L,TPK.L,TRAVIS PERKINS PLC,Travis Perkins plc,583743600,Europe/London,BST,3600000,831.8,1200.0,780.0,931.5,902.5,2.9,hold,18,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
1,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Mr. Alan R. Williams ACMA, AMCT, BA Hons, CGMA', 'age': 53, 'title': 'CFO & Exec. Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 652000, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,830.4,833.2,831.8,846.0,830.4,833.2,831.8,846.0,0.39,0.047,1696464000,0.5718,1.475225,1223.2352,10.575969,642658,642658,520665,386647,386647,825.8,834.6,0,0,1803841408,707.8,1082.5,0.3657127,850.972,916.863,0.39,0.00046965314,GBp,2620378880,0.029660001,205890164,212508992,0.0317,0.84932,10.029,82.93947,1672444800,1703980800,1688083200,-0.433,146300000,0.68,78.65,-10.85,0:1,1619654400,0.531,8.388,LSE,EQUITY,TPK.L,TPK.L,TRAVIS PERKINS PLC,Travis Perkins plc,583743600,Europe/London,BST,3600000,831.8,1200.0,780.0,931.5,902.5,2.9,hold,18,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
2,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Mr. Frank M. Elkins', 'age': 55, 'title': 'Group Chief Operating Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,830.4,833.2,831.8,846.0,830.4,833.2,831.8,846.0,0.39,0.047,1696464000,0.5718,1.475225,1223.2352,10.575969,642658,642658,520665,386647,386647,825.8,834.6,0,0,1803841408,707.8,1082.5,0.3657127,850.972,916.863,0.39,0.00046965314,GBp,2620378880,0.029660001,205890164,212508992,0.0317,0.84932,10.029,82.93947,1672444800,1703980800,1688083200,-0.433,146300000,0.68,78.65,-10.85,0:1,1619654400,0.531,8.388,LSE,EQUITY,TPK.L,TPK.L,TRAVIS PERKINS PLC,Travis Perkins plc,583743600,Europe/London,BST,3600000,831.8,1200.0,780.0,931.5,902.5,2.9,hold,18,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
3,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Phil  Tenney', 'title': 'Group Chief Information & Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,830.4,833.2,831.8,846.0,830.4,833.2,831.8,846.0,0.39,0.047,1696464000,0.5718,1.475225,1223.2352,10.575969,642658,642658,520665,386647,386647,825.8,834.6,0,0,1803841408,707.8,1082.5,0.3657127,850.972,916.863,0.39,0.00046965314,GBp,2620378880,0.029660001,205890164,212508992,0.0317,0.84932,10.029,82.93947,1672444800,1703980800,1688083200,-0.433,146300000,0.68,78.65,-10.85,0:1,1619654400,0.531,8.388,LSE,EQUITY,TPK.L,TPK.L,TRAVIS PERKINS PLC,Travis Perkins plc,583743600,Europe/London,BST,3600000,831.8,1200.0,780.0,931.5,902.5,2.9,hold,18,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
4,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Mr. Heinrich  Richter', 'title': 'Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,830.4,833.2,831.8,846.0,830.4,833.2,831.8,846.0,0.39,0.047,1696464000,0.5718,1.475225,1223.2352,10.575969,642658,642658,520665,386647,386647,825.8,834.6,0,0,1803841408,707.8,1082.5,0.3657127,850.972,916.863,0.39,0.00046965314,GBp,2620378880,0.029660001,205890164,212508992,0.0317,0.84932,10.029,82.93947,1672444800,1703980800,1688083200,-0.433,146300000,0.68,78.65,-10.85,0:1,1619654400,0.531,8.388,LSE,EQUITY,TPK.L,TPK.L,TRAVIS PERKINS PLC,Travis Perkins plc,583743600,Europe/London,BST,3600000,831.8,1200.0,780.0,931.5,902.5,2.9,hold,18,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
5,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Mr. Robin  Miller', 'age': 51, 'title': 'Company Sec. & Gen. Counsel', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,830.4,833.2,831.8,846.0,830.4,833.2,831.8,846.0,0.39,0.047,1696464000,0.5718,1.475225,1223.2352,10.575969,642658,642658,520665,386647,386647,825.8,834.6,0,0,1803841408,707.8,1082.5,0.3657127,850.972,916.863,0.39,0.00046965314,GBp,2620378880,0.029660001,205890164,212508992,0.0317,0.84932,10.029,82.93947,1672444800,1703980800,1688083200,-0.433,146300000,0.68,78.65,-10.85,0:1,1619654400,0.531,8.388,LSE,EQUITY,TPK.L,TPK.L,TRAVIS PERKINS PLC,Travis Perkins plc,583743600,Europe/London,BST,3600000,831.8,1200.0,780.0,931.5,902.5,2.9,hold,18,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
6,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Emma  Rose', 'title': 'Group HR Director', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,830.4,833.2,831.8,846.0,830.4,833.2,831.8,846.0,0.39,0.047,1696464000,0.5718,1.475225,1223.2352,10.575969,642658,642658,520665,386647,386647,825.8,834.6,0,0,1803841408,707.8,1082.5,0.3657127,850.972,916.863,0.39,0.00046965314,GBp,2620378880,0.029660001,205890164,212508992,0.0317,0.84932,10.029,82.93947,1672444800,1703980800,1688083200,-0.433,146300000,0.68,78.65,-10.85,0:1,1619654400,0.531,8.388,LSE,EQUITY,TPK.L,TPK.L,TRAVIS PERKINS PLC,Travis Perkins plc,583743600,Europe/London,BST,3600000,831.8,1200.0,780.0,931.5,902.5,2.9,hold,18,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
7,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Ms. Catherine  Gibson', 'title': 'Managing Director of CCF', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,830.4,833.2,831.8,846.0,830.4,833.2,831.8,846.0,0.39,0.047,1696464000,0.5718,1.475225,1223.2352,10.575969,642658,642658,520665,386647,386647,825.8,834.6,0,0,1803841408,707.8,1082.5,0.3657127,850.972,916.863,0.39,0.00046965314,GBp,2620378880,0.029660001,205890164,212508992,0.0317,0.84932,10.029,82.93947,1672444800,1703980800,1688083200,-0.433,146300000,0.68,78.65,-10.85,0:1,1619654400,0.531,8.388,LSE,EQUITY,TPK.L,TPK.L,TRAVIS PERKINS PLC,Travis Perkins plc,583743600,Europe/London,BST,3600000,831.8,1200.0,780.0,931.5,902.5,2.9,hold,18,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
8,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Dean  Pinner', 'title': 'Managing Director of Keyline', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,830.4,833.2,831.8,846.0,830.4,833.2,831.8,846.0,0.39,0.047,1696464000,0.5718,1.475225,1223.2352,10.575969,642658,642658,520665,386647,386647,825.8,834.6,0,0,1803841408,707.8,1082.5,0.3657127,850.972,916.863,0.39,0.00046965314,GBp,2620378880,0.029660001,205890164,212508992,0.0317,0.84932,10.029,82.93947,1672444800,1703980800,1688083200,-0.433,146300000,0.68,78.65,-10.85,0:1,1619654400,0.531,8.388,LSE,EQUITY,TPK.L,TPK.L,TRAVIS PERKINS PLC,Travis Perkins plc,583743600,Europe/London,BST,3600000,831.8,1200.0,780.0,931.5,902.5,2.9,hold,18,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
9,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Megan  Adlen', 'title': 'Group Sustainability Director', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,830.4,833.2,831.8,846.0,830.4,833.2,831.8,846.0,0.39,0.047,1696464000,0.5718,1.475225,1223.2352,10.575969,642658,642658,520665,386647,386647,825.8,834.6,0,0,1803841408,707.8,1082.5,0.3657127,850.972,916.863,0.39,0.00046965314,GBp,2620378880,0.029660001,205890164,212508992,0.0317,0.84932,10.029,82.93947,1672444800,1703980800,1688083200,-0.433,146300000,0.68,78.65,-10.85,0:1,1619654400,0.531,8.388,LSE,EQUITY,TPK.L,TPK.L,TRAVIS PERKINS PLC,Travis Perkins plc,583743600,Europe/London,BST,3600000,831.8,1200.0,780.0,931.5,902.5,2.9,hold,18,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
