,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MCR-mfs-charter-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Charter Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets across the globe. It invests primarily in corporate bonds of U.S. or foreign issuers, U.S. Government securities, foreign government securities, mortgage-backed, and other asset-backed securities of U.S. or foreign issuers, or debt instruments of issuers located in emerging market countries. The fund employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. It seeks to benchmarks the performance of its portfolio against a combination of the Barclays U.S. High-Yield Corporate Bond 2% Issuer Capped Index, MFS Charter Income Trust Blended Index, Barclays U.S. Credit Bond Index, Barclays U.S. Government/Mortgage Bond Index, Citigroup World Government Bond Non-Dollar Hedged Index, and JPMorgan Emerging Markets Bond Index Global. MFS Charter Income Trust was formed on July 20, 1989 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Robin Ann Stelmach', 'age': 61, 'title': 'Pres and Interested Trustee', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.96,5.98,5.97,6.0,5.96,5.98,5.97,6.0,0.54,0.09060001,1694476800,8.78,0.617219,28.57143,112790,112790,84503,88100,88100,5.91,5.98,1000,1300,260639392,5.81,6.98,12.100967,6.1476,6.3092,0.548,0.091946304,USD,351484608,-0.01597,43439900,13052,12284,1690761600,1693440000,0.00029999999,0.0,0.30166,0.16,6.745,0.8895478,1669766400,1701302400,1685491200,-343901,-0.01,0.21,16.319,NYQ,EQUITY,MCR,MCR,MFS Charter Income Trust,MFS Charter Income Trust,617031000,America/New_York,EDT,-14400000,6.0,none,4155049,0.096,95000000,0.115,0.144,21538724,32.421,0.496,0.02922,-0.00112,19287970,7651053,38611576,0.258,1.0,0.0,0.89332,USD,
1,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MCR-mfs-charter-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Charter Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets across the globe. It invests primarily in corporate bonds of U.S. or foreign issuers, U.S. Government securities, foreign government securities, mortgage-backed, and other asset-backed securities of U.S. or foreign issuers, or debt instruments of issuers located in emerging market countries. The fund employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. It seeks to benchmarks the performance of its portfolio against a combination of the Barclays U.S. High-Yield Corporate Bond 2% Issuer Capped Index, MFS Charter Income Trust Blended Index, Barclays U.S. Credit Bond Index, Barclays U.S. Government/Mortgage Bond Index, Citigroup World Government Bond Non-Dollar Hedged Index, and JPMorgan Emerging Markets Bond Index Global. MFS Charter Income Trust was formed on July 20, 1989 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Frank L. Tarantino', 'age': 78, 'title': 'Independent Chief Compliance Officer', 'yearBorn': 1944, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.96,5.98,5.97,6.0,5.96,5.98,5.97,6.0,0.54,0.09060001,1694476800,8.78,0.617219,28.57143,112790,112790,84503,88100,88100,5.91,5.98,1000,1300,260639392,5.81,6.98,12.100967,6.1476,6.3092,0.548,0.091946304,USD,351484608,-0.01597,43439900,13052,12284,1690761600,1693440000,0.00029999999,0.0,0.30166,0.16,6.745,0.8895478,1669766400,1701302400,1685491200,-343901,-0.01,0.21,16.319,NYQ,EQUITY,MCR,MCR,MFS Charter Income Trust,MFS Charter Income Trust,617031000,America/New_York,EDT,-14400000,6.0,none,4155049,0.096,95000000,0.115,0.144,21538724,32.421,0.496,0.02922,-0.00112,19287970,7651053,38611576,0.258,1.0,0.0,0.89332,USD,
2,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MCR-mfs-charter-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Charter Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets across the globe. It invests primarily in corporate bonds of U.S. or foreign issuers, U.S. Government securities, foreign government securities, mortgage-backed, and other asset-backed securities of U.S. or foreign issuers, or debt instruments of issuers located in emerging market countries. The fund employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. It seeks to benchmarks the performance of its portfolio against a combination of the Barclays U.S. High-Yield Corporate Bond 2% Issuer Capped Index, MFS Charter Income Trust Blended Index, Barclays U.S. Credit Bond Index, Barclays U.S. Government/Mortgage Bond Index, Citigroup World Government Bond Non-Dollar Hedged Index, and JPMorgan Emerging Markets Bond Index Global. MFS Charter Income Trust was formed on July 20, 1989 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Richard S. Weitzel', 'age': 52, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.96,5.98,5.97,6.0,5.96,5.98,5.97,6.0,0.54,0.09060001,1694476800,8.78,0.617219,28.57143,112790,112790,84503,88100,88100,5.91,5.98,1000,1300,260639392,5.81,6.98,12.100967,6.1476,6.3092,0.548,0.091946304,USD,351484608,-0.01597,43439900,13052,12284,1690761600,1693440000,0.00029999999,0.0,0.30166,0.16,6.745,0.8895478,1669766400,1701302400,1685491200,-343901,-0.01,0.21,16.319,NYQ,EQUITY,MCR,MCR,MFS Charter Income Trust,MFS Charter Income Trust,617031000,America/New_York,EDT,-14400000,6.0,none,4155049,0.096,95000000,0.115,0.144,21538724,32.421,0.496,0.02922,-0.00112,19287970,7651053,38611576,0.258,1.0,0.0,0.89332,USD,
3,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MCR-mfs-charter-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Charter Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets across the globe. It invests primarily in corporate bonds of U.S. or foreign issuers, U.S. Government securities, foreign government securities, mortgage-backed, and other asset-backed securities of U.S. or foreign issuers, or debt instruments of issuers located in emerging market countries. The fund employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. It seeks to benchmarks the performance of its portfolio against a combination of the Barclays U.S. High-Yield Corporate Bond 2% Issuer Capped Index, MFS Charter Income Trust Blended Index, Barclays U.S. Credit Bond Index, Barclays U.S. Government/Mortgage Bond Index, Citigroup World Government Bond Non-Dollar Hedged Index, and JPMorgan Emerging Markets Bond Index Global. MFS Charter Income Trust was formed on July 20, 1989 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Kasey L. Philips', 'age': 51, 'title': 'Assistant Treasurer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.96,5.98,5.97,6.0,5.96,5.98,5.97,6.0,0.54,0.09060001,1694476800,8.78,0.617219,28.57143,112790,112790,84503,88100,88100,5.91,5.98,1000,1300,260639392,5.81,6.98,12.100967,6.1476,6.3092,0.548,0.091946304,USD,351484608,-0.01597,43439900,13052,12284,1690761600,1693440000,0.00029999999,0.0,0.30166,0.16,6.745,0.8895478,1669766400,1701302400,1685491200,-343901,-0.01,0.21,16.319,NYQ,EQUITY,MCR,MCR,MFS Charter Income Trust,MFS Charter Income Trust,617031000,America/New_York,EDT,-14400000,6.0,none,4155049,0.096,95000000,0.115,0.144,21538724,32.421,0.496,0.02922,-0.00112,19287970,7651053,38611576,0.258,1.0,0.0,0.89332,USD,
4,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MCR-mfs-charter-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Charter Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets across the globe. It invests primarily in corporate bonds of U.S. or foreign issuers, U.S. Government securities, foreign government securities, mortgage-backed, and other asset-backed securities of U.S. or foreign issuers, or debt instruments of issuers located in emerging market countries. The fund employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. It seeks to benchmarks the performance of its portfolio against a combination of the Barclays U.S. High-Yield Corporate Bond 2% Issuer Capped Index, MFS Charter Income Trust Blended Index, Barclays U.S. Credit Bond Index, Barclays U.S. Government/Mortgage Bond Index, Citigroup World Government Bond Non-Dollar Hedged Index, and JPMorgan Emerging Markets Bond Index Global. MFS Charter Income Trust was formed on July 20, 1989 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Brian E. Langenfeld', 'age': 49, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.96,5.98,5.97,6.0,5.96,5.98,5.97,6.0,0.54,0.09060001,1694476800,8.78,0.617219,28.57143,112790,112790,84503,88100,88100,5.91,5.98,1000,1300,260639392,5.81,6.98,12.100967,6.1476,6.3092,0.548,0.091946304,USD,351484608,-0.01597,43439900,13052,12284,1690761600,1693440000,0.00029999999,0.0,0.30166,0.16,6.745,0.8895478,1669766400,1701302400,1685491200,-343901,-0.01,0.21,16.319,NYQ,EQUITY,MCR,MCR,MFS Charter Income Trust,MFS Charter Income Trust,617031000,America/New_York,EDT,-14400000,6.0,none,4155049,0.096,95000000,0.115,0.144,21538724,32.421,0.496,0.02922,-0.00112,19287970,7651053,38611576,0.258,1.0,0.0,0.89332,USD,
5,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MCR-mfs-charter-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Charter Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets across the globe. It invests primarily in corporate bonds of U.S. or foreign issuers, U.S. Government securities, foreign government securities, mortgage-backed, and other asset-backed securities of U.S. or foreign issuers, or debt instruments of issuers located in emerging market countries. The fund employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. It seeks to benchmarks the performance of its portfolio against a combination of the Barclays U.S. High-Yield Corporate Bond 2% Issuer Capped Index, MFS Charter Income Trust Blended Index, Barclays U.S. Credit Bond Index, Barclays U.S. Government/Mortgage Bond Index, Citigroup World Government Bond Non-Dollar Hedged Index, and JPMorgan Emerging Markets Bond Index Global. MFS Charter Income Trust was formed on July 20, 1989 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Susan A. Pereira', 'age': 51, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.96,5.98,5.97,6.0,5.96,5.98,5.97,6.0,0.54,0.09060001,1694476800,8.78,0.617219,28.57143,112790,112790,84503,88100,88100,5.91,5.98,1000,1300,260639392,5.81,6.98,12.100967,6.1476,6.3092,0.548,0.091946304,USD,351484608,-0.01597,43439900,13052,12284,1690761600,1693440000,0.00029999999,0.0,0.30166,0.16,6.745,0.8895478,1669766400,1701302400,1685491200,-343901,-0.01,0.21,16.319,NYQ,EQUITY,MCR,MCR,MFS Charter Income Trust,MFS Charter Income Trust,617031000,America/New_York,EDT,-14400000,6.0,none,4155049,0.096,95000000,0.115,0.144,21538724,32.421,0.496,0.02922,-0.00112,19287970,7651053,38611576,0.258,1.0,0.0,0.89332,USD,
6,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MCR-mfs-charter-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Charter Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets across the globe. It invests primarily in corporate bonds of U.S. or foreign issuers, U.S. Government securities, foreign government securities, mortgage-backed, and other asset-backed securities of U.S. or foreign issuers, or debt instruments of issuers located in emerging market countries. The fund employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. It seeks to benchmarks the performance of its portfolio against a combination of the Barclays U.S. High-Yield Corporate Bond 2% Issuer Capped Index, MFS Charter Income Trust Blended Index, Barclays U.S. Credit Bond Index, Barclays U.S. Government/Mortgage Bond Index, Citigroup World Government Bond Non-Dollar Hedged Index, and JPMorgan Emerging Markets Bond Index Global. MFS Charter Income Trust was formed on July 20, 1989 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Ethan D. Corey', 'age': 58, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.96,5.98,5.97,6.0,5.96,5.98,5.97,6.0,0.54,0.09060001,1694476800,8.78,0.617219,28.57143,112790,112790,84503,88100,88100,5.91,5.98,1000,1300,260639392,5.81,6.98,12.100967,6.1476,6.3092,0.548,0.091946304,USD,351484608,-0.01597,43439900,13052,12284,1690761600,1693440000,0.00029999999,0.0,0.30166,0.16,6.745,0.8895478,1669766400,1701302400,1685491200,-343901,-0.01,0.21,16.319,NYQ,EQUITY,MCR,MCR,MFS Charter Income Trust,MFS Charter Income Trust,617031000,America/New_York,EDT,-14400000,6.0,none,4155049,0.096,95000000,0.115,0.144,21538724,32.421,0.496,0.02922,-0.00112,19287970,7651053,38611576,0.258,1.0,0.0,0.89332,USD,
7,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MCR-mfs-charter-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Charter Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets across the globe. It invests primarily in corporate bonds of U.S. or foreign issuers, U.S. Government securities, foreign government securities, mortgage-backed, and other asset-backed securities of U.S. or foreign issuers, or debt instruments of issuers located in emerging market countries. The fund employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. It seeks to benchmarks the performance of its portfolio against a combination of the Barclays U.S. High-Yield Corporate Bond 2% Issuer Capped Index, MFS Charter Income Trust Blended Index, Barclays U.S. Credit Bond Index, Barclays U.S. Government/Mortgage Bond Index, Citigroup World Government Bond Non-Dollar Hedged Index, and JPMorgan Emerging Markets Bond Index Global. MFS Charter Income Trust was formed on July 20, 1989 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Thomas H. Connors', 'age': 62, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.96,5.98,5.97,6.0,5.96,5.98,5.97,6.0,0.54,0.09060001,1694476800,8.78,0.617219,28.57143,112790,112790,84503,88100,88100,5.91,5.98,1000,1300,260639392,5.81,6.98,12.100967,6.1476,6.3092,0.548,0.091946304,USD,351484608,-0.01597,43439900,13052,12284,1690761600,1693440000,0.00029999999,0.0,0.30166,0.16,6.745,0.8895478,1669766400,1701302400,1685491200,-343901,-0.01,0.21,16.319,NYQ,EQUITY,MCR,MCR,MFS Charter Income Trust,MFS Charter Income Trust,617031000,America/New_York,EDT,-14400000,6.0,none,4155049,0.096,95000000,0.115,0.144,21538724,32.421,0.496,0.02922,-0.00112,19287970,7651053,38611576,0.258,1.0,0.0,0.89332,USD,
8,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MCR-mfs-charter-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Charter Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets across the globe. It invests primarily in corporate bonds of U.S. or foreign issuers, U.S. Government securities, foreign government securities, mortgage-backed, and other asset-backed securities of U.S. or foreign issuers, or debt instruments of issuers located in emerging market countries. The fund employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. It seeks to benchmarks the performance of its portfolio against a combination of the Barclays U.S. High-Yield Corporate Bond 2% Issuer Capped Index, MFS Charter Income Trust Blended Index, Barclays U.S. Credit Bond Index, Barclays U.S. Government/Mortgage Bond Index, Citigroup World Government Bond Non-Dollar Hedged Index, and JPMorgan Emerging Markets Bond Index Global. MFS Charter Income Trust was formed on July 20, 1989 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Christopher R. Bohane', 'age': 48, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.96,5.98,5.97,6.0,5.96,5.98,5.97,6.0,0.54,0.09060001,1694476800,8.78,0.617219,28.57143,112790,112790,84503,88100,88100,5.91,5.98,1000,1300,260639392,5.81,6.98,12.100967,6.1476,6.3092,0.548,0.091946304,USD,351484608,-0.01597,43439900,13052,12284,1690761600,1693440000,0.00029999999,0.0,0.30166,0.16,6.745,0.8895478,1669766400,1701302400,1685491200,-343901,-0.01,0.21,16.319,NYQ,EQUITY,MCR,MCR,MFS Charter Income Trust,MFS Charter Income Trust,617031000,America/New_York,EDT,-14400000,6.0,none,4155049,0.096,95000000,0.115,0.144,21538724,32.421,0.496,0.02922,-0.00112,19287970,7651053,38611576,0.258,1.0,0.0,0.89332,USD,
9,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MCR-mfs-charter-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Charter Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets across the globe. It invests primarily in corporate bonds of U.S. or foreign issuers, U.S. Government securities, foreign government securities, mortgage-backed, and other asset-backed securities of U.S. or foreign issuers, or debt instruments of issuers located in emerging market countries. The fund employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. It seeks to benchmarks the performance of its portfolio against a combination of the Barclays U.S. High-Yield Corporate Bond 2% Issuer Capped Index, MFS Charter Income Trust Blended Index, Barclays U.S. Credit Bond Index, Barclays U.S. Government/Mortgage Bond Index, Citigroup World Government Bond Non-Dollar Hedged Index, and JPMorgan Emerging Markets Bond Index Global. MFS Charter Income Trust was formed on July 20, 1989 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Matthew W. Ryan CFA', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.96,5.98,5.97,6.0,5.96,5.98,5.97,6.0,0.54,0.09060001,1694476800,8.78,0.617219,28.57143,112790,112790,84503,88100,88100,5.91,5.98,1000,1300,260639392,5.81,6.98,12.100967,6.1476,6.3092,0.548,0.091946304,USD,351484608,-0.01597,43439900,13052,12284,1690761600,1693440000,0.00029999999,0.0,0.30166,0.16,6.745,0.8895478,1669766400,1701302400,1685491200,-343901,-0.01,0.21,16.319,NYQ,EQUITY,MCR,MCR,MFS Charter Income Trust,MFS Charter Income Trust,617031000,America/New_York,EDT,-14400000,6.0,none,4155049,0.096,95000000,0.115,0.144,21538724,32.421,0.496,0.02922,-0.00112,19287970,7651053,38611576,0.258,1.0,0.0,0.89332,USD,
