,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"8-2, Kyutaromachi 1-chome",Chuo-ku,Osaka,541-8564,Japan,81 6 6263 5670,https://www.ono-pharma.com,Drug Manufacturers—General,Healthcare,"Ono Pharmaceutical Co., Ltd., together with its subsidiaries, produces, purchases, and sells pharmaceuticals and diagnostic reagents worldwide. It offers Opdivo Intravenous Infusion and Kyprolis Intravenous Injection for malignant tumors; Emend capsules/Proemend intravenous injections for chemotherapy-induced nausea and vomiting; Demser capsules for the symptoms in patients with pheochromocytoma; and Mektovi, Velexbru, and Braftovi capsules for malignant tumors, as well as ADLUMIZ tablets for cancer cachexia. The company also provides Glactiv tablets for type 2 diabetes; Forxiga tablets for diabetes; Onoact Intravenous Infusion for tachyarrhythmia; Opalmon tablets to treat peripheral circulatory disorder; Coralan for chronic heart failure; Orencia injections for rheumatoid arthritis; Rivastach patches for Alzheimer's disease; Ongentys tablets for Parkinson's disease; Parsabiv, an intravenous infusion for dialysis patients; Staybla tablets for overactive bladder; Onon capsules and Dry Syrups for bronchial asthma and allergic rhinitis; and JOYCLU intra-articular injection for the improvement of joint function, as well as Recalbon tablets for osteoporosis. In addition, it develops products for hepatocellular and urothelial carcinoma; ovarian, bladder, prostate, pancreatic, gastric, esophageal, colorectal, thyroid, cell lung, and breast cancer; acute myeloid leukemia; solid tumors; myelodysplastic syndrome; melanoma; T-cell lymphoma; tachyarrhythmia; pemphigus; scleroderma; seizures; diabetic polyneuropathy; neurodegenerative diseases; autoimmune diseases; narcolepsy; and thrombosis. The company was founded in 1717 and is headquartered in Osaka, Japan.",3761,"{'maxAge': 1, 'name': 'Mr. Gyo  Sagara', 'age': 64, 'title': 'CEO, Pres & Representative Director', 'yearBorn': 1958, 'fiscalYear': 2023, 'totalPay': 928860, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,2,3,1693526400,1703980800,86400,2,17.3,17.7,17.7,17.7,17.3,17.7,17.7,17.7,0.54,0.0311,1695859200,0.29709998,1.99,0.352852,11.879195,600,600,21,60,60,17.6,19.7,0,0,8997087232,15.1,24.2,0.019538455,16.43,18.152,70.0,4.046243,EUR,-104997822464,0.24988002,398807697,480607008,0.15984,0.46058998,1561.405,0.011335945,1680220800,1711843200,1688083200,0.079,115063996416,1.49,5:1,1459209600,-0.228,-0.614,MUN,EQUITY,ON4.MU,ON4.MU,ONO PHARMACEUT.,"Ono Pharmaceutical Co., Ltd.",959148000,Europe/Berlin,CEST,7200000,17.7,none,128794001408,263.742,170909007872,9386999808,2.757,3.564,460481003520,1.222,942.986,0.11707,0.15932,89763495936,116893999104,0.079,0.125,0.75396,0.37115002,0.33276,JPY,
1,"8-2, Kyutaromachi 1-chome",Chuo-ku,Osaka,541-8564,Japan,81 6 6263 5670,https://www.ono-pharma.com,Drug Manufacturers—General,Healthcare,"Ono Pharmaceutical Co., Ltd., together with its subsidiaries, produces, purchases, and sells pharmaceuticals and diagnostic reagents worldwide. It offers Opdivo Intravenous Infusion and Kyprolis Intravenous Injection for malignant tumors; Emend capsules/Proemend intravenous injections for chemotherapy-induced nausea and vomiting; Demser capsules for the symptoms in patients with pheochromocytoma; and Mektovi, Velexbru, and Braftovi capsules for malignant tumors, as well as ADLUMIZ tablets for cancer cachexia. The company also provides Glactiv tablets for type 2 diabetes; Forxiga tablets for diabetes; Onoact Intravenous Infusion for tachyarrhythmia; Opalmon tablets to treat peripheral circulatory disorder; Coralan for chronic heart failure; Orencia injections for rheumatoid arthritis; Rivastach patches for Alzheimer's disease; Ongentys tablets for Parkinson's disease; Parsabiv, an intravenous infusion for dialysis patients; Staybla tablets for overactive bladder; Onon capsules and Dry Syrups for bronchial asthma and allergic rhinitis; and JOYCLU intra-articular injection for the improvement of joint function, as well as Recalbon tablets for osteoporosis. In addition, it develops products for hepatocellular and urothelial carcinoma; ovarian, bladder, prostate, pancreatic, gastric, esophageal, colorectal, thyroid, cell lung, and breast cancer; acute myeloid leukemia; solid tumors; myelodysplastic syndrome; melanoma; T-cell lymphoma; tachyarrhythmia; pemphigus; scleroderma; seizures; diabetic polyneuropathy; neurodegenerative diseases; autoimmune diseases; narcolepsy; and thrombosis. The company was founded in 1717 and is headquartered in Osaka, Japan.",3761,"{'maxAge': 1, 'name': 'Mr. Masaki  Ito', 'title': 'Corp. Offcr. and Div. Dir. of Corp. Strategy & Planning, Bus. Mgmt., Fin. & Acc. Dept. and Corp. Tax', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,2,3,1693526400,1703980800,86400,2,17.3,17.7,17.7,17.7,17.3,17.7,17.7,17.7,0.54,0.0311,1695859200,0.29709998,1.99,0.352852,11.879195,600,600,21,60,60,17.6,19.7,0,0,8997087232,15.1,24.2,0.019538455,16.43,18.152,70.0,4.046243,EUR,-104997822464,0.24988002,398807697,480607008,0.15984,0.46058998,1561.405,0.011335945,1680220800,1711843200,1688083200,0.079,115063996416,1.49,5:1,1459209600,-0.228,-0.614,MUN,EQUITY,ON4.MU,ON4.MU,ONO PHARMACEUT.,"Ono Pharmaceutical Co., Ltd.",959148000,Europe/Berlin,CEST,7200000,17.7,none,128794001408,263.742,170909007872,9386999808,2.757,3.564,460481003520,1.222,942.986,0.11707,0.15932,89763495936,116893999104,0.079,0.125,0.75396,0.37115002,0.33276,JPY,
2,"8-2, Kyutaromachi 1-chome",Chuo-ku,Osaka,541-8564,Japan,81 6 6263 5670,https://www.ono-pharma.com,Drug Manufacturers—General,Healthcare,"Ono Pharmaceutical Co., Ltd., together with its subsidiaries, produces, purchases, and sells pharmaceuticals and diagnostic reagents worldwide. It offers Opdivo Intravenous Infusion and Kyprolis Intravenous Injection for malignant tumors; Emend capsules/Proemend intravenous injections for chemotherapy-induced nausea and vomiting; Demser capsules for the symptoms in patients with pheochromocytoma; and Mektovi, Velexbru, and Braftovi capsules for malignant tumors, as well as ADLUMIZ tablets for cancer cachexia. The company also provides Glactiv tablets for type 2 diabetes; Forxiga tablets for diabetes; Onoact Intravenous Infusion for tachyarrhythmia; Opalmon tablets to treat peripheral circulatory disorder; Coralan for chronic heart failure; Orencia injections for rheumatoid arthritis; Rivastach patches for Alzheimer's disease; Ongentys tablets for Parkinson's disease; Parsabiv, an intravenous infusion for dialysis patients; Staybla tablets for overactive bladder; Onon capsules and Dry Syrups for bronchial asthma and allergic rhinitis; and JOYCLU intra-articular injection for the improvement of joint function, as well as Recalbon tablets for osteoporosis. In addition, it develops products for hepatocellular and urothelial carcinoma; ovarian, bladder, prostate, pancreatic, gastric, esophageal, colorectal, thyroid, cell lung, and breast cancer; acute myeloid leukemia; solid tumors; myelodysplastic syndrome; melanoma; T-cell lymphoma; tachyarrhythmia; pemphigus; scleroderma; seizures; diabetic polyneuropathy; neurodegenerative diseases; autoimmune diseases; narcolepsy; and thrombosis. The company was founded in 1717 and is headquartered in Osaka, Japan.",3761,"{'maxAge': 1, 'name': 'Takehiro  Yamada', 'title': 'Corp. Officer & Sr. Director of Compliance Management Department', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,2,3,1693526400,1703980800,86400,2,17.3,17.7,17.7,17.7,17.3,17.7,17.7,17.7,0.54,0.0311,1695859200,0.29709998,1.99,0.352852,11.879195,600,600,21,60,60,17.6,19.7,0,0,8997087232,15.1,24.2,0.019538455,16.43,18.152,70.0,4.046243,EUR,-104997822464,0.24988002,398807697,480607008,0.15984,0.46058998,1561.405,0.011335945,1680220800,1711843200,1688083200,0.079,115063996416,1.49,5:1,1459209600,-0.228,-0.614,MUN,EQUITY,ON4.MU,ON4.MU,ONO PHARMACEUT.,"Ono Pharmaceutical Co., Ltd.",959148000,Europe/Berlin,CEST,7200000,17.7,none,128794001408,263.742,170909007872,9386999808,2.757,3.564,460481003520,1.222,942.986,0.11707,0.15932,89763495936,116893999104,0.079,0.125,0.75396,0.37115002,0.33276,JPY,
3,"8-2, Kyutaromachi 1-chome",Chuo-ku,Osaka,541-8564,Japan,81 6 6263 5670,https://www.ono-pharma.com,Drug Manufacturers—General,Healthcare,"Ono Pharmaceutical Co., Ltd., together with its subsidiaries, produces, purchases, and sells pharmaceuticals and diagnostic reagents worldwide. It offers Opdivo Intravenous Infusion and Kyprolis Intravenous Injection for malignant tumors; Emend capsules/Proemend intravenous injections for chemotherapy-induced nausea and vomiting; Demser capsules for the symptoms in patients with pheochromocytoma; and Mektovi, Velexbru, and Braftovi capsules for malignant tumors, as well as ADLUMIZ tablets for cancer cachexia. The company also provides Glactiv tablets for type 2 diabetes; Forxiga tablets for diabetes; Onoact Intravenous Infusion for tachyarrhythmia; Opalmon tablets to treat peripheral circulatory disorder; Coralan for chronic heart failure; Orencia injections for rheumatoid arthritis; Rivastach patches for Alzheimer's disease; Ongentys tablets for Parkinson's disease; Parsabiv, an intravenous infusion for dialysis patients; Staybla tablets for overactive bladder; Onon capsules and Dry Syrups for bronchial asthma and allergic rhinitis; and JOYCLU intra-articular injection for the improvement of joint function, as well as Recalbon tablets for osteoporosis. In addition, it develops products for hepatocellular and urothelial carcinoma; ovarian, bladder, prostate, pancreatic, gastric, esophageal, colorectal, thyroid, cell lung, and breast cancer; acute myeloid leukemia; solid tumors; myelodysplastic syndrome; melanoma; T-cell lymphoma; tachyarrhythmia; pemphigus; scleroderma; seizures; diabetic polyneuropathy; neurodegenerative diseases; autoimmune diseases; narcolepsy; and thrombosis. The company was founded in 1717 and is headquartered in Osaka, Japan.",3761,"{'maxAge': 1, 'name': 'Masayuki  Tanigawa', 'title': 'Corp. Officer & Exec. Director of Corp. Devel. & Strategy, International Bus.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,2,3,1693526400,1703980800,86400,2,17.3,17.7,17.7,17.7,17.3,17.7,17.7,17.7,0.54,0.0311,1695859200,0.29709998,1.99,0.352852,11.879195,600,600,21,60,60,17.6,19.7,0,0,8997087232,15.1,24.2,0.019538455,16.43,18.152,70.0,4.046243,EUR,-104997822464,0.24988002,398807697,480607008,0.15984,0.46058998,1561.405,0.011335945,1680220800,1711843200,1688083200,0.079,115063996416,1.49,5:1,1459209600,-0.228,-0.614,MUN,EQUITY,ON4.MU,ON4.MU,ONO PHARMACEUT.,"Ono Pharmaceutical Co., Ltd.",959148000,Europe/Berlin,CEST,7200000,17.7,none,128794001408,263.742,170909007872,9386999808,2.757,3.564,460481003520,1.222,942.986,0.11707,0.15932,89763495936,116893999104,0.079,0.125,0.75396,0.37115002,0.33276,JPY,
4,"8-2, Kyutaromachi 1-chome",Chuo-ku,Osaka,541-8564,Japan,81 6 6263 5670,https://www.ono-pharma.com,Drug Manufacturers—General,Healthcare,"Ono Pharmaceutical Co., Ltd., together with its subsidiaries, produces, purchases, and sells pharmaceuticals and diagnostic reagents worldwide. It offers Opdivo Intravenous Infusion and Kyprolis Intravenous Injection for malignant tumors; Emend capsules/Proemend intravenous injections for chemotherapy-induced nausea and vomiting; Demser capsules for the symptoms in patients with pheochromocytoma; and Mektovi, Velexbru, and Braftovi capsules for malignant tumors, as well as ADLUMIZ tablets for cancer cachexia. The company also provides Glactiv tablets for type 2 diabetes; Forxiga tablets for diabetes; Onoact Intravenous Infusion for tachyarrhythmia; Opalmon tablets to treat peripheral circulatory disorder; Coralan for chronic heart failure; Orencia injections for rheumatoid arthritis; Rivastach patches for Alzheimer's disease; Ongentys tablets for Parkinson's disease; Parsabiv, an intravenous infusion for dialysis patients; Staybla tablets for overactive bladder; Onon capsules and Dry Syrups for bronchial asthma and allergic rhinitis; and JOYCLU intra-articular injection for the improvement of joint function, as well as Recalbon tablets for osteoporosis. In addition, it develops products for hepatocellular and urothelial carcinoma; ovarian, bladder, prostate, pancreatic, gastric, esophageal, colorectal, thyroid, cell lung, and breast cancer; acute myeloid leukemia; solid tumors; myelodysplastic syndrome; melanoma; T-cell lymphoma; tachyarrhythmia; pemphigus; scleroderma; seizures; diabetic polyneuropathy; neurodegenerative diseases; autoimmune diseases; narcolepsy; and thrombosis. The company was founded in 1717 and is headquartered in Osaka, Japan.",3761,"{'maxAge': 1, 'name': 'Mr. Toichi  Takino Ph.D.', 'age': 54, 'title': 'Sr. Managing Exec. Officer, Head of Research Division & Director', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,2,3,1693526400,1703980800,86400,2,17.3,17.7,17.7,17.7,17.3,17.7,17.7,17.7,0.54,0.0311,1695859200,0.29709998,1.99,0.352852,11.879195,600,600,21,60,60,17.6,19.7,0,0,8997087232,15.1,24.2,0.019538455,16.43,18.152,70.0,4.046243,EUR,-104997822464,0.24988002,398807697,480607008,0.15984,0.46058998,1561.405,0.011335945,1680220800,1711843200,1688083200,0.079,115063996416,1.49,5:1,1459209600,-0.228,-0.614,MUN,EQUITY,ON4.MU,ON4.MU,ONO PHARMACEUT.,"Ono Pharmaceutical Co., Ltd.",959148000,Europe/Berlin,CEST,7200000,17.7,none,128794001408,263.742,170909007872,9386999808,2.757,3.564,460481003520,1.222,942.986,0.11707,0.15932,89763495936,116893999104,0.079,0.125,0.75396,0.37115002,0.33276,JPY,
5,"8-2, Kyutaromachi 1-chome",Chuo-ku,Osaka,541-8564,Japan,81 6 6263 5670,https://www.ono-pharma.com,Drug Manufacturers—General,Healthcare,"Ono Pharmaceutical Co., Ltd., together with its subsidiaries, produces, purchases, and sells pharmaceuticals and diagnostic reagents worldwide. It offers Opdivo Intravenous Infusion and Kyprolis Intravenous Injection for malignant tumors; Emend capsules/Proemend intravenous injections for chemotherapy-induced nausea and vomiting; Demser capsules for the symptoms in patients with pheochromocytoma; and Mektovi, Velexbru, and Braftovi capsules for malignant tumors, as well as ADLUMIZ tablets for cancer cachexia. The company also provides Glactiv tablets for type 2 diabetes; Forxiga tablets for diabetes; Onoact Intravenous Infusion for tachyarrhythmia; Opalmon tablets to treat peripheral circulatory disorder; Coralan for chronic heart failure; Orencia injections for rheumatoid arthritis; Rivastach patches for Alzheimer's disease; Ongentys tablets for Parkinson's disease; Parsabiv, an intravenous infusion for dialysis patients; Staybla tablets for overactive bladder; Onon capsules and Dry Syrups for bronchial asthma and allergic rhinitis; and JOYCLU intra-articular injection for the improvement of joint function, as well as Recalbon tablets for osteoporosis. In addition, it develops products for hepatocellular and urothelial carcinoma; ovarian, bladder, prostate, pancreatic, gastric, esophageal, colorectal, thyroid, cell lung, and breast cancer; acute myeloid leukemia; solid tumors; myelodysplastic syndrome; melanoma; T-cell lymphoma; tachyarrhythmia; pemphigus; scleroderma; seizures; diabetic polyneuropathy; neurodegenerative diseases; autoimmune diseases; narcolepsy; and thrombosis. The company was founded in 1717 and is headquartered in Osaka, Japan.",3761,"{'maxAge': 1, 'name': 'Mr. Toshihiro  Tsujinaka', 'age': 58, 'title': 'Sr. EO, Exec. Director of Sustainability Promotion Corp. Strategy & Planning and Director', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,2,3,1693526400,1703980800,86400,2,17.3,17.7,17.7,17.7,17.3,17.7,17.7,17.7,0.54,0.0311,1695859200,0.29709998,1.99,0.352852,11.879195,600,600,21,60,60,17.6,19.7,0,0,8997087232,15.1,24.2,0.019538455,16.43,18.152,70.0,4.046243,EUR,-104997822464,0.24988002,398807697,480607008,0.15984,0.46058998,1561.405,0.011335945,1680220800,1711843200,1688083200,0.079,115063996416,1.49,5:1,1459209600,-0.228,-0.614,MUN,EQUITY,ON4.MU,ON4.MU,ONO PHARMACEUT.,"Ono Pharmaceutical Co., Ltd.",959148000,Europe/Berlin,CEST,7200000,17.7,none,128794001408,263.742,170909007872,9386999808,2.757,3.564,460481003520,1.222,942.986,0.11707,0.15932,89763495936,116893999104,0.079,0.125,0.75396,0.37115002,0.33276,JPY,
6,"8-2, Kyutaromachi 1-chome",Chuo-ku,Osaka,541-8564,Japan,81 6 6263 5670,https://www.ono-pharma.com,Drug Manufacturers—General,Healthcare,"Ono Pharmaceutical Co., Ltd., together with its subsidiaries, produces, purchases, and sells pharmaceuticals and diagnostic reagents worldwide. It offers Opdivo Intravenous Infusion and Kyprolis Intravenous Injection for malignant tumors; Emend capsules/Proemend intravenous injections for chemotherapy-induced nausea and vomiting; Demser capsules for the symptoms in patients with pheochromocytoma; and Mektovi, Velexbru, and Braftovi capsules for malignant tumors, as well as ADLUMIZ tablets for cancer cachexia. The company also provides Glactiv tablets for type 2 diabetes; Forxiga tablets for diabetes; Onoact Intravenous Infusion for tachyarrhythmia; Opalmon tablets to treat peripheral circulatory disorder; Coralan for chronic heart failure; Orencia injections for rheumatoid arthritis; Rivastach patches for Alzheimer's disease; Ongentys tablets for Parkinson's disease; Parsabiv, an intravenous infusion for dialysis patients; Staybla tablets for overactive bladder; Onon capsules and Dry Syrups for bronchial asthma and allergic rhinitis; and JOYCLU intra-articular injection for the improvement of joint function, as well as Recalbon tablets for osteoporosis. In addition, it develops products for hepatocellular and urothelial carcinoma; ovarian, bladder, prostate, pancreatic, gastric, esophageal, colorectal, thyroid, cell lung, and breast cancer; acute myeloid leukemia; solid tumors; myelodysplastic syndrome; melanoma; T-cell lymphoma; tachyarrhythmia; pemphigus; scleroderma; seizures; diabetic polyneuropathy; neurodegenerative diseases; autoimmune diseases; narcolepsy; and thrombosis. The company was founded in 1717 and is headquartered in Osaka, Japan.",3761,"{'maxAge': 1, 'name': 'Hiromu  Habashita Ph.D.', 'title': 'Corp. Officer, Dep. Exec. Dir. of Discovery & Research and Research Center of Immunology', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,2,3,1693526400,1703980800,86400,2,17.3,17.7,17.7,17.7,17.3,17.7,17.7,17.7,0.54,0.0311,1695859200,0.29709998,1.99,0.352852,11.879195,600,600,21,60,60,17.6,19.7,0,0,8997087232,15.1,24.2,0.019538455,16.43,18.152,70.0,4.046243,EUR,-104997822464,0.24988002,398807697,480607008,0.15984,0.46058998,1561.405,0.011335945,1680220800,1711843200,1688083200,0.079,115063996416,1.49,5:1,1459209600,-0.228,-0.614,MUN,EQUITY,ON4.MU,ON4.MU,ONO PHARMACEUT.,"Ono Pharmaceutical Co., Ltd.",959148000,Europe/Berlin,CEST,7200000,17.7,none,128794001408,263.742,170909007872,9386999808,2.757,3.564,460481003520,1.222,942.986,0.11707,0.15932,89763495936,116893999104,0.079,0.125,0.75396,0.37115002,0.33276,JPY,
7,"8-2, Kyutaromachi 1-chome",Chuo-ku,Osaka,541-8564,Japan,81 6 6263 5670,https://www.ono-pharma.com,Drug Manufacturers—General,Healthcare,"Ono Pharmaceutical Co., Ltd., together with its subsidiaries, produces, purchases, and sells pharmaceuticals and diagnostic reagents worldwide. It offers Opdivo Intravenous Infusion and Kyprolis Intravenous Injection for malignant tumors; Emend capsules/Proemend intravenous injections for chemotherapy-induced nausea and vomiting; Demser capsules for the symptoms in patients with pheochromocytoma; and Mektovi, Velexbru, and Braftovi capsules for malignant tumors, as well as ADLUMIZ tablets for cancer cachexia. The company also provides Glactiv tablets for type 2 diabetes; Forxiga tablets for diabetes; Onoact Intravenous Infusion for tachyarrhythmia; Opalmon tablets to treat peripheral circulatory disorder; Coralan for chronic heart failure; Orencia injections for rheumatoid arthritis; Rivastach patches for Alzheimer's disease; Ongentys tablets for Parkinson's disease; Parsabiv, an intravenous infusion for dialysis patients; Staybla tablets for overactive bladder; Onon capsules and Dry Syrups for bronchial asthma and allergic rhinitis; and JOYCLU intra-articular injection for the improvement of joint function, as well as Recalbon tablets for osteoporosis. In addition, it develops products for hepatocellular and urothelial carcinoma; ovarian, bladder, prostate, pancreatic, gastric, esophageal, colorectal, thyroid, cell lung, and breast cancer; acute myeloid leukemia; solid tumors; myelodysplastic syndrome; melanoma; T-cell lymphoma; tachyarrhythmia; pemphigus; scleroderma; seizures; diabetic polyneuropathy; neurodegenerative diseases; autoimmune diseases; narcolepsy; and thrombosis. The company was founded in 1717 and is headquartered in Osaka, Japan.",3761,"{'maxAge': 1, 'name': 'Kiyoaki  Idemitsu', 'age': 58, 'title': 'Managing Exec. Officer, GM of Devel. Division & Director', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,2,3,1693526400,1703980800,86400,2,17.3,17.7,17.7,17.7,17.3,17.7,17.7,17.7,0.54,0.0311,1695859200,0.29709998,1.99,0.352852,11.879195,600,600,21,60,60,17.6,19.7,0,0,8997087232,15.1,24.2,0.019538455,16.43,18.152,70.0,4.046243,EUR,-104997822464,0.24988002,398807697,480607008,0.15984,0.46058998,1561.405,0.011335945,1680220800,1711843200,1688083200,0.079,115063996416,1.49,5:1,1459209600,-0.228,-0.614,MUN,EQUITY,ON4.MU,ON4.MU,ONO PHARMACEUT.,"Ono Pharmaceutical Co., Ltd.",959148000,Europe/Berlin,CEST,7200000,17.7,none,128794001408,263.742,170909007872,9386999808,2.757,3.564,460481003520,1.222,942.986,0.11707,0.15932,89763495936,116893999104,0.079,0.125,0.75396,0.37115002,0.33276,JPY,
8,"8-2, Kyutaromachi 1-chome",Chuo-ku,Osaka,541-8564,Japan,81 6 6263 5670,https://www.ono-pharma.com,Drug Manufacturers—General,Healthcare,"Ono Pharmaceutical Co., Ltd., together with its subsidiaries, produces, purchases, and sells pharmaceuticals and diagnostic reagents worldwide. It offers Opdivo Intravenous Infusion and Kyprolis Intravenous Injection for malignant tumors; Emend capsules/Proemend intravenous injections for chemotherapy-induced nausea and vomiting; Demser capsules for the symptoms in patients with pheochromocytoma; and Mektovi, Velexbru, and Braftovi capsules for malignant tumors, as well as ADLUMIZ tablets for cancer cachexia. The company also provides Glactiv tablets for type 2 diabetes; Forxiga tablets for diabetes; Onoact Intravenous Infusion for tachyarrhythmia; Opalmon tablets to treat peripheral circulatory disorder; Coralan for chronic heart failure; Orencia injections for rheumatoid arthritis; Rivastach patches for Alzheimer's disease; Ongentys tablets for Parkinson's disease; Parsabiv, an intravenous infusion for dialysis patients; Staybla tablets for overactive bladder; Onon capsules and Dry Syrups for bronchial asthma and allergic rhinitis; and JOYCLU intra-articular injection for the improvement of joint function, as well as Recalbon tablets for osteoporosis. In addition, it develops products for hepatocellular and urothelial carcinoma; ovarian, bladder, prostate, pancreatic, gastric, esophageal, colorectal, thyroid, cell lung, and breast cancer; acute myeloid leukemia; solid tumors; myelodysplastic syndrome; melanoma; T-cell lymphoma; tachyarrhythmia; pemphigus; scleroderma; seizures; diabetic polyneuropathy; neurodegenerative diseases; autoimmune diseases; narcolepsy; and thrombosis. The company was founded in 1717 and is headquartered in Osaka, Japan.",3761,"{'maxAge': 1, 'name': 'Shinji  Takai M.D., Ph.D.', 'title': 'Corp. Officer & Head of Medical Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,2,3,1693526400,1703980800,86400,2,17.3,17.7,17.7,17.7,17.3,17.7,17.7,17.7,0.54,0.0311,1695859200,0.29709998,1.99,0.352852,11.879195,600,600,21,60,60,17.6,19.7,0,0,8997087232,15.1,24.2,0.019538455,16.43,18.152,70.0,4.046243,EUR,-104997822464,0.24988002,398807697,480607008,0.15984,0.46058998,1561.405,0.011335945,1680220800,1711843200,1688083200,0.079,115063996416,1.49,5:1,1459209600,-0.228,-0.614,MUN,EQUITY,ON4.MU,ON4.MU,ONO PHARMACEUT.,"Ono Pharmaceutical Co., Ltd.",959148000,Europe/Berlin,CEST,7200000,17.7,none,128794001408,263.742,170909007872,9386999808,2.757,3.564,460481003520,1.222,942.986,0.11707,0.15932,89763495936,116893999104,0.079,0.125,0.75396,0.37115002,0.33276,JPY,
9,"8-2, Kyutaromachi 1-chome",Chuo-ku,Osaka,541-8564,Japan,81 6 6263 5670,https://www.ono-pharma.com,Drug Manufacturers—General,Healthcare,"Ono Pharmaceutical Co., Ltd., together with its subsidiaries, produces, purchases, and sells pharmaceuticals and diagnostic reagents worldwide. It offers Opdivo Intravenous Infusion and Kyprolis Intravenous Injection for malignant tumors; Emend capsules/Proemend intravenous injections for chemotherapy-induced nausea and vomiting; Demser capsules for the symptoms in patients with pheochromocytoma; and Mektovi, Velexbru, and Braftovi capsules for malignant tumors, as well as ADLUMIZ tablets for cancer cachexia. The company also provides Glactiv tablets for type 2 diabetes; Forxiga tablets for diabetes; Onoact Intravenous Infusion for tachyarrhythmia; Opalmon tablets to treat peripheral circulatory disorder; Coralan for chronic heart failure; Orencia injections for rheumatoid arthritis; Rivastach patches for Alzheimer's disease; Ongentys tablets for Parkinson's disease; Parsabiv, an intravenous infusion for dialysis patients; Staybla tablets for overactive bladder; Onon capsules and Dry Syrups for bronchial asthma and allergic rhinitis; and JOYCLU intra-articular injection for the improvement of joint function, as well as Recalbon tablets for osteoporosis. In addition, it develops products for hepatocellular and urothelial carcinoma; ovarian, bladder, prostate, pancreatic, gastric, esophageal, colorectal, thyroid, cell lung, and breast cancer; acute myeloid leukemia; solid tumors; myelodysplastic syndrome; melanoma; T-cell lymphoma; tachyarrhythmia; pemphigus; scleroderma; seizures; diabetic polyneuropathy; neurodegenerative diseases; autoimmune diseases; narcolepsy; and thrombosis. The company was founded in 1717 and is headquartered in Osaka, Japan.",3761,"{'maxAge': 1, 'name': 'Satoshi  Takahagi', 'title': 'Corp. Officer and Exec. Director of Sales, Marketing & Primary Care Bus. Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,2,3,1693526400,1703980800,86400,2,17.3,17.7,17.7,17.7,17.3,17.7,17.7,17.7,0.54,0.0311,1695859200,0.29709998,1.99,0.352852,11.879195,600,600,21,60,60,17.6,19.7,0,0,8997087232,15.1,24.2,0.019538455,16.43,18.152,70.0,4.046243,EUR,-104997822464,0.24988002,398807697,480607008,0.15984,0.46058998,1561.405,0.011335945,1680220800,1711843200,1688083200,0.079,115063996416,1.49,5:1,1459209600,-0.228,-0.614,MUN,EQUITY,ON4.MU,ON4.MU,ONO PHARMACEUT.,"Ono Pharmaceutical Co., Ltd.",959148000,Europe/Berlin,CEST,7200000,17.7,none,128794001408,263.742,170909007872,9386999808,2.757,3.564,460481003520,1.222,942.986,0.11707,0.15932,89763495936,116893999104,0.079,0.125,0.75396,0.37115002,0.33276,JPY,
