,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1451 East Battlefield,Springfield,MO,65804,United States,417 887 4400,https://www.greatsouthernbank.com,Banks—Regional,Financial Services,"Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States. Its deposit products include regular savings accounts, checking accounts, money market accounts, fixed interest rate certificates with varying maturities, certificates of deposit, brokered certificates, and individual retirement accounts. The company's loan portfolio comprises residential and commercial real estate loans, construction loans, commercial business loans, home improvement loans, and unsecured consumer loans, as well as secured consumer loans, such as automobile loans, boat loans, home equity loans, and loans secured by savings deposits. It also provides insurance and merchant banking services. The company was founded in 1923 and is headquartered in Springfield, Missouri.",914,"{'maxAge': 1, 'name': 'Mr. Joseph William Turner J.D.', 'age': 57, 'title': 'Pres, CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,5,7,7,1693526400,1672444800,86400,2,50.42,50.42,49.85,50.85,50.42,50.42,49.85,50.85,1.6,0.0317,1688083200,0.2469,2.62,0.756915,7.7175922,9.883399,56996,56996,23893,27130,27130,50.23,80.12,900,1100,597784512,45.39,64.16,2.5229468,52.7974,54.33855,1.6,0.031733442,USD,669040512,0.33558,8847088,11953300,144341,144991,1690761600,1693440000,0.0121,0.27571,0.42558998,6.9,0.0164,45.643,1.0956773,1672444800,1703980800,1688083200,0.005,79513000,6.48,5.06,1.51,2:1,1086134400,2.824,NMS,EQUITY,GSBC,GSBC,"Great Southern Bancorp, Inc.","Great Southern Bancorp, Inc.",629735400,America/New_York,EDT,-14400000,50.01,55.0,54.0,54.33,54.0,3.0,hold,3,213728000,17.88,280084992,236939008,19.443,0.01411,0.1451,227568000,77423000,0.056,0.029,0.0,0.0,0.43508998,USD,
1,1451 East Battlefield,Springfield,MO,65804,United States,417 887 4400,https://www.greatsouthernbank.com,Banks—Regional,Financial Services,"Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States. Its deposit products include regular savings accounts, checking accounts, money market accounts, fixed interest rate certificates with varying maturities, certificates of deposit, brokered certificates, and individual retirement accounts. The company's loan portfolio comprises residential and commercial real estate loans, construction loans, commercial business loans, home improvement loans, and unsecured consumer loans, as well as secured consumer loans, such as automobile loans, boat loans, home equity loans, and loans secured by savings deposits. It also provides insurance and merchant banking services. The company was founded in 1923 and is headquartered in Springfield, Missouri.",914,"{'maxAge': 1, 'name': 'Mr. Rex A. Copeland', 'age': 57, 'title': 'CFO & Treasurer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 517238, 'exercisedValue': 126002, 'unexercisedValue': 178004}",7,8,5,7,7,1693526400,1672444800,86400,2,50.42,50.42,49.85,50.85,50.42,50.42,49.85,50.85,1.6,0.0317,1688083200,0.2469,2.62,0.756915,7.7175922,9.883399,56996,56996,23893,27130,27130,50.23,80.12,900,1100,597784512,45.39,64.16,2.5229468,52.7974,54.33855,1.6,0.031733442,USD,669040512,0.33558,8847088,11953300,144341,144991,1690761600,1693440000,0.0121,0.27571,0.42558998,6.9,0.0164,45.643,1.0956773,1672444800,1703980800,1688083200,0.005,79513000,6.48,5.06,1.51,2:1,1086134400,2.824,NMS,EQUITY,GSBC,GSBC,"Great Southern Bancorp, Inc.","Great Southern Bancorp, Inc.",629735400,America/New_York,EDT,-14400000,50.01,55.0,54.0,54.33,54.0,3.0,hold,3,213728000,17.88,280084992,236939008,19.443,0.01411,0.1451,227568000,77423000,0.056,0.029,0.0,0.0,0.43508998,USD,
2,1451 East Battlefield,Springfield,MO,65804,United States,417 887 4400,https://www.greatsouthernbank.com,Banks—Regional,Financial Services,"Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States. Its deposit products include regular savings accounts, checking accounts, money market accounts, fixed interest rate certificates with varying maturities, certificates of deposit, brokered certificates, and individual retirement accounts. The company's loan portfolio comprises residential and commercial real estate loans, construction loans, commercial business loans, home improvement loans, and unsecured consumer loans, as well as secured consumer loans, such as automobile loans, boat loans, home equity loans, and loans secured by savings deposits. It also provides insurance and merchant banking services. The company was founded in 1923 and is headquartered in Springfield, Missouri.",914,"{'maxAge': 1, 'name': 'Mr. Kevin L. Baker', 'age': 54, 'title': 'Chief Credit Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 479033, 'exercisedValue': 0, 'unexercisedValue': 136405}",7,8,5,7,7,1693526400,1672444800,86400,2,50.42,50.42,49.85,50.85,50.42,50.42,49.85,50.85,1.6,0.0317,1688083200,0.2469,2.62,0.756915,7.7175922,9.883399,56996,56996,23893,27130,27130,50.23,80.12,900,1100,597784512,45.39,64.16,2.5229468,52.7974,54.33855,1.6,0.031733442,USD,669040512,0.33558,8847088,11953300,144341,144991,1690761600,1693440000,0.0121,0.27571,0.42558998,6.9,0.0164,45.643,1.0956773,1672444800,1703980800,1688083200,0.005,79513000,6.48,5.06,1.51,2:1,1086134400,2.824,NMS,EQUITY,GSBC,GSBC,"Great Southern Bancorp, Inc.","Great Southern Bancorp, Inc.",629735400,America/New_York,EDT,-14400000,50.01,55.0,54.0,54.33,54.0,3.0,hold,3,213728000,17.88,280084992,236939008,19.443,0.01411,0.1451,227568000,77423000,0.056,0.029,0.0,0.0,0.43508998,USD,
3,1451 East Battlefield,Springfield,MO,65804,United States,417 887 4400,https://www.greatsouthernbank.com,Banks—Regional,Financial Services,"Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States. Its deposit products include regular savings accounts, checking accounts, money market accounts, fixed interest rate certificates with varying maturities, certificates of deposit, brokered certificates, and individual retirement accounts. The company's loan portfolio comprises residential and commercial real estate loans, construction loans, commercial business loans, home improvement loans, and unsecured consumer loans, as well as secured consumer loans, such as automobile loans, boat loans, home equity loans, and loans secured by savings deposits. It also provides insurance and merchant banking services. The company was founded in 1923 and is headquartered in Springfield, Missouri.",914,"{'maxAge': 1, 'name': 'Mr. John M. Bugh', 'age': 54, 'title': 'Chief Lending Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 503288, 'exercisedValue': 56068, 'unexercisedValue': 204857}",7,8,5,7,7,1693526400,1672444800,86400,2,50.42,50.42,49.85,50.85,50.42,50.42,49.85,50.85,1.6,0.0317,1688083200,0.2469,2.62,0.756915,7.7175922,9.883399,56996,56996,23893,27130,27130,50.23,80.12,900,1100,597784512,45.39,64.16,2.5229468,52.7974,54.33855,1.6,0.031733442,USD,669040512,0.33558,8847088,11953300,144341,144991,1690761600,1693440000,0.0121,0.27571,0.42558998,6.9,0.0164,45.643,1.0956773,1672444800,1703980800,1688083200,0.005,79513000,6.48,5.06,1.51,2:1,1086134400,2.824,NMS,EQUITY,GSBC,GSBC,"Great Southern Bancorp, Inc.","Great Southern Bancorp, Inc.",629735400,America/New_York,EDT,-14400000,50.01,55.0,54.0,54.33,54.0,3.0,hold,3,213728000,17.88,280084992,236939008,19.443,0.01411,0.1451,227568000,77423000,0.056,0.029,0.0,0.0,0.43508998,USD,
4,1451 East Battlefield,Springfield,MO,65804,United States,417 887 4400,https://www.greatsouthernbank.com,Banks—Regional,Financial Services,"Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States. Its deposit products include regular savings accounts, checking accounts, money market accounts, fixed interest rate certificates with varying maturities, certificates of deposit, brokered certificates, and individual retirement accounts. The company's loan portfolio comprises residential and commercial real estate loans, construction loans, commercial business loans, home improvement loans, and unsecured consumer loans, as well as secured consumer loans, such as automobile loans, boat loans, home equity loans, and loans secured by savings deposits. It also provides insurance and merchant banking services. The company was founded in 1923 and is headquartered in Springfield, Missouri.",914,"{'maxAge': 1, 'name': 'Mark A. Maples', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,5,7,7,1693526400,1672444800,86400,2,50.42,50.42,49.85,50.85,50.42,50.42,49.85,50.85,1.6,0.0317,1688083200,0.2469,2.62,0.756915,7.7175922,9.883399,56996,56996,23893,27130,27130,50.23,80.12,900,1100,597784512,45.39,64.16,2.5229468,52.7974,54.33855,1.6,0.031733442,USD,669040512,0.33558,8847088,11953300,144341,144991,1690761600,1693440000,0.0121,0.27571,0.42558998,6.9,0.0164,45.643,1.0956773,1672444800,1703980800,1688083200,0.005,79513000,6.48,5.06,1.51,2:1,1086134400,2.824,NMS,EQUITY,GSBC,GSBC,"Great Southern Bancorp, Inc.","Great Southern Bancorp, Inc.",629735400,America/New_York,EDT,-14400000,50.01,55.0,54.0,54.33,54.0,3.0,hold,3,213728000,17.88,280084992,236939008,19.443,0.01411,0.1451,227568000,77423000,0.056,0.029,0.0,0.0,0.43508998,USD,
5,1451 East Battlefield,Springfield,MO,65804,United States,417 887 4400,https://www.greatsouthernbank.com,Banks—Regional,Financial Services,"Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States. Its deposit products include regular savings accounts, checking accounts, money market accounts, fixed interest rate certificates with varying maturities, certificates of deposit, brokered certificates, and individual retirement accounts. The company's loan portfolio comprises residential and commercial real estate loans, construction loans, commercial business loans, home improvement loans, and unsecured consumer loans, as well as secured consumer loans, such as automobile loans, boat loans, home equity loans, and loans secured by savings deposits. It also provides insurance and merchant banking services. The company was founded in 1923 and is headquartered in Springfield, Missouri.",914,"{'maxAge': 1, 'name': 'Mr. Eric  Johnson', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,5,7,7,1693526400,1672444800,86400,2,50.42,50.42,49.85,50.85,50.42,50.42,49.85,50.85,1.6,0.0317,1688083200,0.2469,2.62,0.756915,7.7175922,9.883399,56996,56996,23893,27130,27130,50.23,80.12,900,1100,597784512,45.39,64.16,2.5229468,52.7974,54.33855,1.6,0.031733442,USD,669040512,0.33558,8847088,11953300,144341,144991,1690761600,1693440000,0.0121,0.27571,0.42558998,6.9,0.0164,45.643,1.0956773,1672444800,1703980800,1688083200,0.005,79513000,6.48,5.06,1.51,2:1,1086134400,2.824,NMS,EQUITY,GSBC,GSBC,"Great Southern Bancorp, Inc.","Great Southern Bancorp, Inc.",629735400,America/New_York,EDT,-14400000,50.01,55.0,54.0,54.33,54.0,3.0,hold,3,213728000,17.88,280084992,236939008,19.443,0.01411,0.1451,227568000,77423000,0.056,0.029,0.0,0.0,0.43508998,USD,
6,1451 East Battlefield,Springfield,MO,65804,United States,417 887 4400,https://www.greatsouthernbank.com,Banks—Regional,Financial Services,"Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States. Its deposit products include regular savings accounts, checking accounts, money market accounts, fixed interest rate certificates with varying maturities, certificates of deposit, brokered certificates, and individual retirement accounts. The company's loan portfolio comprises residential and commercial real estate loans, construction loans, commercial business loans, home improvement loans, and unsecured consumer loans, as well as secured consumer loans, such as automobile loans, boat loans, home equity loans, and loans secured by savings deposits. It also provides insurance and merchant banking services. The company was founded in 1923 and is headquartered in Springfield, Missouri.",914,"{'maxAge': 1, 'name': 'Ms. Kelly A. Polonus', 'title': 'Chief Communications & Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,5,7,7,1693526400,1672444800,86400,2,50.42,50.42,49.85,50.85,50.42,50.42,49.85,50.85,1.6,0.0317,1688083200,0.2469,2.62,0.756915,7.7175922,9.883399,56996,56996,23893,27130,27130,50.23,80.12,900,1100,597784512,45.39,64.16,2.5229468,52.7974,54.33855,1.6,0.031733442,USD,669040512,0.33558,8847088,11953300,144341,144991,1690761600,1693440000,0.0121,0.27571,0.42558998,6.9,0.0164,45.643,1.0956773,1672444800,1703980800,1688083200,0.005,79513000,6.48,5.06,1.51,2:1,1086134400,2.824,NMS,EQUITY,GSBC,GSBC,"Great Southern Bancorp, Inc.","Great Southern Bancorp, Inc.",629735400,America/New_York,EDT,-14400000,50.01,55.0,54.0,54.33,54.0,3.0,hold,3,213728000,17.88,280084992,236939008,19.443,0.01411,0.1451,227568000,77423000,0.056,0.029,0.0,0.0,0.43508998,USD,
7,1451 East Battlefield,Springfield,MO,65804,United States,417 887 4400,https://www.greatsouthernbank.com,Banks—Regional,Financial Services,"Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States. Its deposit products include regular savings accounts, checking accounts, money market accounts, fixed interest rate certificates with varying maturities, certificates of deposit, brokered certificates, and individual retirement accounts. The company's loan portfolio comprises residential and commercial real estate loans, construction loans, commercial business loans, home improvement loans, and unsecured consumer loans, as well as secured consumer loans, such as automobile loans, boat loans, home equity loans, and loans secured by savings deposits. It also provides insurance and merchant banking services. The company was founded in 1923 and is headquartered in Springfield, Missouri.",914,"{'maxAge': 1, 'name': 'Mr. Matt  Snyder', 'title': 'Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,5,7,7,1693526400,1672444800,86400,2,50.42,50.42,49.85,50.85,50.42,50.42,49.85,50.85,1.6,0.0317,1688083200,0.2469,2.62,0.756915,7.7175922,9.883399,56996,56996,23893,27130,27130,50.23,80.12,900,1100,597784512,45.39,64.16,2.5229468,52.7974,54.33855,1.6,0.031733442,USD,669040512,0.33558,8847088,11953300,144341,144991,1690761600,1693440000,0.0121,0.27571,0.42558998,6.9,0.0164,45.643,1.0956773,1672444800,1703980800,1688083200,0.005,79513000,6.48,5.06,1.51,2:1,1086134400,2.824,NMS,EQUITY,GSBC,GSBC,"Great Southern Bancorp, Inc.","Great Southern Bancorp, Inc.",629735400,America/New_York,EDT,-14400000,50.01,55.0,54.0,54.33,54.0,3.0,hold,3,213728000,17.88,280084992,236939008,19.443,0.01411,0.1451,227568000,77423000,0.056,0.029,0.0,0.0,0.43508998,USD,
8,1451 East Battlefield,Springfield,MO,65804,United States,417 887 4400,https://www.greatsouthernbank.com,Banks—Regional,Financial Services,"Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States. Its deposit products include regular savings accounts, checking accounts, money market accounts, fixed interest rate certificates with varying maturities, certificates of deposit, brokered certificates, and individual retirement accounts. The company's loan portfolio comprises residential and commercial real estate loans, construction loans, commercial business loans, home improvement loans, and unsecured consumer loans, as well as secured consumer loans, such as automobile loans, boat loans, home equity loans, and loans secured by savings deposits. It also provides insurance and merchant banking services. The company was founded in 1923 and is headquartered in Springfield, Missouri.",914,"{'maxAge': 1, 'name': 'Mr. Kris  Conley', 'title': 'Chief Retail Banking Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,5,7,7,1693526400,1672444800,86400,2,50.42,50.42,49.85,50.85,50.42,50.42,49.85,50.85,1.6,0.0317,1688083200,0.2469,2.62,0.756915,7.7175922,9.883399,56996,56996,23893,27130,27130,50.23,80.12,900,1100,597784512,45.39,64.16,2.5229468,52.7974,54.33855,1.6,0.031733442,USD,669040512,0.33558,8847088,11953300,144341,144991,1690761600,1693440000,0.0121,0.27571,0.42558998,6.9,0.0164,45.643,1.0956773,1672444800,1703980800,1688083200,0.005,79513000,6.48,5.06,1.51,2:1,1086134400,2.824,NMS,EQUITY,GSBC,GSBC,"Great Southern Bancorp, Inc.","Great Southern Bancorp, Inc.",629735400,America/New_York,EDT,-14400000,50.01,55.0,54.0,54.33,54.0,3.0,hold,3,213728000,17.88,280084992,236939008,19.443,0.01411,0.1451,227568000,77423000,0.056,0.029,0.0,0.0,0.43508998,USD,
9,1451 East Battlefield,Springfield,MO,65804,United States,417 887 4400,https://www.greatsouthernbank.com,Banks—Regional,Financial Services,"Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States. Its deposit products include regular savings accounts, checking accounts, money market accounts, fixed interest rate certificates with varying maturities, certificates of deposit, brokered certificates, and individual retirement accounts. The company's loan portfolio comprises residential and commercial real estate loans, construction loans, commercial business loans, home improvement loans, and unsecured consumer loans, as well as secured consumer loans, such as automobile loans, boat loans, home equity loans, and loans secured by savings deposits. It also provides insurance and merchant banking services. The company was founded in 1923 and is headquartered in Springfield, Missouri.",914,"{'maxAge': 1, 'name': 'Mr. Bryan  Tiede', 'title': 'Chief Risk Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,5,7,7,1693526400,1672444800,86400,2,50.42,50.42,49.85,50.85,50.42,50.42,49.85,50.85,1.6,0.0317,1688083200,0.2469,2.62,0.756915,7.7175922,9.883399,56996,56996,23893,27130,27130,50.23,80.12,900,1100,597784512,45.39,64.16,2.5229468,52.7974,54.33855,1.6,0.031733442,USD,669040512,0.33558,8847088,11953300,144341,144991,1690761600,1693440000,0.0121,0.27571,0.42558998,6.9,0.0164,45.643,1.0956773,1672444800,1703980800,1688083200,0.005,79513000,6.48,5.06,1.51,2:1,1086134400,2.824,NMS,EQUITY,GSBC,GSBC,"Great Southern Bancorp, Inc.","Great Southern Bancorp, Inc.",629735400,America/New_York,EDT,-14400000,50.01,55.0,54.0,54.33,54.0,3.0,hold,3,213728000,17.88,280084992,236939008,19.443,0.01411,0.1451,227568000,77423000,0.056,0.029,0.0,0.0,0.43508998,USD,
