,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 2281,https://www.mapletreelogisticstrust.com,REIT—Industrial,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST Main Board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 30 June 2023, it has a portfolio of 193 properties in Singapore, Australia, China, Hong Kong SAR, India, Japan, Malaysia, South Korea and Vietnam with assets under management of S$13.5 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",345,"{'maxAge': 1, 'name': 'Ms. Kiat  Ng', 'age': 52, 'title': 'CEO & Exec. Director of Mapletree Logistics Trust Management Ltd.', 'yearBorn': 1970, 'fiscalYear': 2023, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.69,1.69,1.68,1.73,1.69,1.69,1.68,1.73,0.09,0.052399997,1690848000,0.82839996,4.47,0.53566,15.636364,21.5,25804300,25804300,12020309,9565890,9565890,1.73,1.73,0,0,8525369344,1.41,1.8,11.756438,1.6698,1.67045,0.09,0.053254437,SGD,13881295872,0.77215,3377408140,4956610048,0.00329,0.57265,1.42,1.2112677,1680220800,1711843200,1688083200,-0.067,537734016,0.11,0.08,-5.15,19.142,26.29,SES,EQUITY,M44U.SI,M44U.SI,Mapletree Log Tr,Mapletree Logistics Trust,1194310800,Asia/Singapore,SGT,28800000,1.72,2.05,1.66,1.82,1.81,2.0,buy,15,307318016,0.062,527996992,5653504000,0.33,0.392,725166016,74.054,0.15,0.02341,0.07361,255931008,560744000,-0.103,-0.029,0.746,0.72810996,0.72220004,SGD,4.4967
1,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 2281,https://www.mapletreelogisticstrust.com,REIT—Industrial,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST Main Board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 30 June 2023, it has a portfolio of 193 properties in Singapore, Australia, China, Hong Kong SAR, India, Japan, Malaysia, South Korea and Vietnam with assets under management of S$13.5 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",345,"{'maxAge': 1, 'name': 'Ms. Sheh Min  Lum', 'title': 'Chief Financial Officer of Mapletree Logistics Trust Management Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.69,1.69,1.68,1.73,1.69,1.69,1.68,1.73,0.09,0.052399997,1690848000,0.82839996,4.47,0.53566,15.636364,21.5,25804300,25804300,12020309,9565890,9565890,1.73,1.73,0,0,8525369344,1.41,1.8,11.756438,1.6698,1.67045,0.09,0.053254437,SGD,13881295872,0.77215,3377408140,4956610048,0.00329,0.57265,1.42,1.2112677,1680220800,1711843200,1688083200,-0.067,537734016,0.11,0.08,-5.15,19.142,26.29,SES,EQUITY,M44U.SI,M44U.SI,Mapletree Log Tr,Mapletree Logistics Trust,1194310800,Asia/Singapore,SGT,28800000,1.72,2.05,1.66,1.82,1.81,2.0,buy,15,307318016,0.062,527996992,5653504000,0.33,0.392,725166016,74.054,0.15,0.02341,0.07361,255931008,560744000,-0.103,-0.029,0.746,0.72810996,0.72220004,SGD,4.4967
2,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 2281,https://www.mapletreelogisticstrust.com,REIT—Industrial,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST Main Board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 30 June 2023, it has a portfolio of 193 properties in Singapore, Australia, China, Hong Kong SAR, India, Japan, Malaysia, South Korea and Vietnam with assets under management of S$13.5 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",345,"{'maxAge': 1, 'name': 'Ms. Jean  Kam', 'title': 'Head of Investment - Mapletree Logistics Trust Management Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.69,1.69,1.68,1.73,1.69,1.69,1.68,1.73,0.09,0.052399997,1690848000,0.82839996,4.47,0.53566,15.636364,21.5,25804300,25804300,12020309,9565890,9565890,1.73,1.73,0,0,8525369344,1.41,1.8,11.756438,1.6698,1.67045,0.09,0.053254437,SGD,13881295872,0.77215,3377408140,4956610048,0.00329,0.57265,1.42,1.2112677,1680220800,1711843200,1688083200,-0.067,537734016,0.11,0.08,-5.15,19.142,26.29,SES,EQUITY,M44U.SI,M44U.SI,Mapletree Log Tr,Mapletree Logistics Trust,1194310800,Asia/Singapore,SGT,28800000,1.72,2.05,1.66,1.82,1.81,2.0,buy,15,307318016,0.062,527996992,5653504000,0.33,0.392,725166016,74.054,0.15,0.02341,0.07361,255931008,560744000,-0.103,-0.029,0.746,0.72810996,0.72220004,SGD,4.4967
3,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 2281,https://www.mapletreelogisticstrust.com,REIT—Industrial,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST Main Board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 30 June 2023, it has a portfolio of 193 properties in Singapore, Australia, China, Hong Kong SAR, India, Japan, Malaysia, South Korea and Vietnam with assets under management of S$13.5 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",345,"{'maxAge': 1, 'name': 'Ms. Lum Yuen  May', 'title': 'Head of Investor Relations - Mapletree Logistics Trust Management Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.69,1.69,1.68,1.73,1.69,1.69,1.68,1.73,0.09,0.052399997,1690848000,0.82839996,4.47,0.53566,15.636364,21.5,25804300,25804300,12020309,9565890,9565890,1.73,1.73,0,0,8525369344,1.41,1.8,11.756438,1.6698,1.67045,0.09,0.053254437,SGD,13881295872,0.77215,3377408140,4956610048,0.00329,0.57265,1.42,1.2112677,1680220800,1711843200,1688083200,-0.067,537734016,0.11,0.08,-5.15,19.142,26.29,SES,EQUITY,M44U.SI,M44U.SI,Mapletree Log Tr,Mapletree Logistics Trust,1194310800,Asia/Singapore,SGT,28800000,1.72,2.05,1.66,1.82,1.81,2.0,buy,15,307318016,0.062,527996992,5653504000,0.33,0.392,725166016,74.054,0.15,0.02341,0.07361,255931008,560744000,-0.103,-0.029,0.746,0.72810996,0.72220004,SGD,4.4967
4,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 2281,https://www.mapletreelogisticstrust.com,REIT—Industrial,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST Main Board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 30 June 2023, it has a portfolio of 193 properties in Singapore, Australia, China, Hong Kong SAR, India, Japan, Malaysia, South Korea and Vietnam with assets under management of S$13.5 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",345,"{'maxAge': 1, 'name': 'Mr. Jimmy  Chia', 'title': 'Head of International Marketing - Mapletree Logistics Trust Management Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.69,1.69,1.68,1.73,1.69,1.69,1.68,1.73,0.09,0.052399997,1690848000,0.82839996,4.47,0.53566,15.636364,21.5,25804300,25804300,12020309,9565890,9565890,1.73,1.73,0,0,8525369344,1.41,1.8,11.756438,1.6698,1.67045,0.09,0.053254437,SGD,13881295872,0.77215,3377408140,4956610048,0.00329,0.57265,1.42,1.2112677,1680220800,1711843200,1688083200,-0.067,537734016,0.11,0.08,-5.15,19.142,26.29,SES,EQUITY,M44U.SI,M44U.SI,Mapletree Log Tr,Mapletree Logistics Trust,1194310800,Asia/Singapore,SGT,28800000,1.72,2.05,1.66,1.82,1.81,2.0,buy,15,307318016,0.062,527996992,5653504000,0.33,0.392,725166016,74.054,0.15,0.02341,0.07361,255931008,560744000,-0.103,-0.029,0.746,0.72810996,0.72220004,SGD,4.4967
5,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 2281,https://www.mapletreelogisticstrust.com,REIT—Industrial,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST Main Board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 30 June 2023, it has a portfolio of 193 properties in Singapore, Australia, China, Hong Kong SAR, India, Japan, Malaysia, South Korea and Vietnam with assets under management of S$13.5 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",345,"{'maxAge': 1, 'name': 'Mr. James  Sung', 'title': 'Head of Asset Management & Marketing - Mapletree Logistics Trust Management Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.69,1.69,1.68,1.73,1.69,1.69,1.68,1.73,0.09,0.052399997,1690848000,0.82839996,4.47,0.53566,15.636364,21.5,25804300,25804300,12020309,9565890,9565890,1.73,1.73,0,0,8525369344,1.41,1.8,11.756438,1.6698,1.67045,0.09,0.053254437,SGD,13881295872,0.77215,3377408140,4956610048,0.00329,0.57265,1.42,1.2112677,1680220800,1711843200,1688083200,-0.067,537734016,0.11,0.08,-5.15,19.142,26.29,SES,EQUITY,M44U.SI,M44U.SI,Mapletree Log Tr,Mapletree Logistics Trust,1194310800,Asia/Singapore,SGT,28800000,1.72,2.05,1.66,1.82,1.81,2.0,buy,15,307318016,0.062,527996992,5653504000,0.33,0.392,725166016,74.054,0.15,0.02341,0.07361,255931008,560744000,-0.103,-0.029,0.746,0.72810996,0.72220004,SGD,4.4967
6,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 2281,https://www.mapletreelogisticstrust.com,REIT—Industrial,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST Main Board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 30 June 2023, it has a portfolio of 193 properties in Singapore, Australia, China, Hong Kong SAR, India, Japan, Malaysia, South Korea and Vietnam with assets under management of S$13.5 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",345,"{'maxAge': 1, 'name': 'Mr. Victor  Liu', 'title': 'Head of Technical Services of Mapletree Logistics Trust Management Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.69,1.69,1.68,1.73,1.69,1.69,1.68,1.73,0.09,0.052399997,1690848000,0.82839996,4.47,0.53566,15.636364,21.5,25804300,25804300,12020309,9565890,9565890,1.73,1.73,0,0,8525369344,1.41,1.8,11.756438,1.6698,1.67045,0.09,0.053254437,SGD,13881295872,0.77215,3377408140,4956610048,0.00329,0.57265,1.42,1.2112677,1680220800,1711843200,1688083200,-0.067,537734016,0.11,0.08,-5.15,19.142,26.29,SES,EQUITY,M44U.SI,M44U.SI,Mapletree Log Tr,Mapletree Logistics Trust,1194310800,Asia/Singapore,SGT,28800000,1.72,2.05,1.66,1.82,1.81,2.0,buy,15,307318016,0.062,527996992,5653504000,0.33,0.392,725166016,74.054,0.15,0.02341,0.07361,255931008,560744000,-0.103,-0.029,0.746,0.72810996,0.72220004,SGD,4.4967
7,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 2281,https://www.mapletreelogisticstrust.com,REIT—Industrial,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST Main Board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 30 June 2023, it has a portfolio of 193 properties in Singapore, Australia, China, Hong Kong SAR, India, Japan, Malaysia, South Korea and Vietnam with assets under management of S$13.5 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",345,"{'maxAge': 1, 'name': 'Mr. Wee Seng  Tan', 'title': 'Group Chief Devel. Officer of Mapletree Investments Pte Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.69,1.69,1.68,1.73,1.69,1.69,1.68,1.73,0.09,0.052399997,1690848000,0.82839996,4.47,0.53566,15.636364,21.5,25804300,25804300,12020309,9565890,9565890,1.73,1.73,0,0,8525369344,1.41,1.8,11.756438,1.6698,1.67045,0.09,0.053254437,SGD,13881295872,0.77215,3377408140,4956610048,0.00329,0.57265,1.42,1.2112677,1680220800,1711843200,1688083200,-0.067,537734016,0.11,0.08,-5.15,19.142,26.29,SES,EQUITY,M44U.SI,M44U.SI,Mapletree Log Tr,Mapletree Logistics Trust,1194310800,Asia/Singapore,SGT,28800000,1.72,2.05,1.66,1.82,1.81,2.0,buy,15,307318016,0.062,527996992,5653504000,0.33,0.392,725166016,74.054,0.15,0.02341,0.07361,255931008,560744000,-0.103,-0.029,0.746,0.72810996,0.72220004,SGD,4.4967
8,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 2281,https://www.mapletreelogisticstrust.com,REIT—Industrial,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST Main Board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 30 June 2023, it has a portfolio of 193 properties in Singapore, Australia, China, Hong Kong SAR, India, Japan, Malaysia, South Korea and Vietnam with assets under management of S$13.5 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",345,"{'maxAge': 1, 'name': 'Mr. Say Chiang  Foo', 'title': 'Head of Group Property Management - Mapletree Investments Pte Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.69,1.69,1.68,1.73,1.69,1.69,1.68,1.73,0.09,0.052399997,1690848000,0.82839996,4.47,0.53566,15.636364,21.5,25804300,25804300,12020309,9565890,9565890,1.73,1.73,0,0,8525369344,1.41,1.8,11.756438,1.6698,1.67045,0.09,0.053254437,SGD,13881295872,0.77215,3377408140,4956610048,0.00329,0.57265,1.42,1.2112677,1680220800,1711843200,1688083200,-0.067,537734016,0.11,0.08,-5.15,19.142,26.29,SES,EQUITY,M44U.SI,M44U.SI,Mapletree Log Tr,Mapletree Logistics Trust,1194310800,Asia/Singapore,SGT,28800000,1.72,2.05,1.66,1.82,1.81,2.0,buy,15,307318016,0.062,527996992,5653504000,0.33,0.392,725166016,74.054,0.15,0.02341,0.07361,255931008,560744000,-0.103,-0.029,0.746,0.72810996,0.72220004,SGD,4.4967
9,10 Pasir Panjang Road,#13-01 Mapletree Business City,Singapore,117438,Singapore,65 6377 6111,65 6273 2281,https://www.mapletreelogisticstrust.com,REIT—Industrial,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST Main Board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 30 June 2023, it has a portfolio of 193 properties in Singapore, Australia, China, Hong Kong SAR, India, Japan, Malaysia, South Korea and Vietnam with assets under management of S$13.5 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",345,"{'maxAge': 1, 'name': 'Mr. Kwong Weng  Wan', 'title': 'Joint Company Sec. of Mapletree Logistics Trust Management Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.69,1.69,1.68,1.73,1.69,1.69,1.68,1.73,0.09,0.052399997,1690848000,0.82839996,4.47,0.53566,15.636364,21.5,25804300,25804300,12020309,9565890,9565890,1.73,1.73,0,0,8525369344,1.41,1.8,11.756438,1.6698,1.67045,0.09,0.053254437,SGD,13881295872,0.77215,3377408140,4956610048,0.00329,0.57265,1.42,1.2112677,1680220800,1711843200,1688083200,-0.067,537734016,0.11,0.08,-5.15,19.142,26.29,SES,EQUITY,M44U.SI,M44U.SI,Mapletree Log Tr,Mapletree Logistics Trust,1194310800,Asia/Singapore,SGT,28800000,1.72,2.05,1.66,1.82,1.81,2.0,buy,15,307318016,0.062,527996992,5653504000,0.33,0.392,725166016,74.054,0.15,0.02341,0.07361,255931008,560744000,-0.103,-0.029,0.746,0.72810996,0.72220004,SGD,4.4967
