,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,6500 Transcanada hwy,Suite 400,Pointe-Claire,QC,H9R 0A5,Canada,514-928-7368,https://wuhn.org,Drug Manufacturers—Specialty & Generic,Healthcare,"Wuhan General Group (China), Inc., through its subsidiaries, researches, develops, and commercializes a range of cannabidiol (CBD)-based products under the Dr. AnnaRx brand for pharmacies. It also focuses on exploring and developing other indications for psilocybin new therapies that will enable patients who suffer from mental illness. The company offers its products for medical applications, including cancer, mental disorders, chronic pain, and others. Wuhan General Group (China), Inc. is headquartered in Pointe-Claire, Canada.",700,"{'maxAge': 1, 'name': 'Ms. Carol  Pan', 'age': 38, 'title': 'Principal Financial Officer, Principal Accounting Officer and Treasurer', 'yearBorn': 1984, 'fiscalYear': 2012, 'totalPay': 60000, 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,1.635892,100,100,3556,11,11,0.0,0.0,0,0,3053388,0.0004,0.06,0.037988447,0.00041,0.014824,0.0,0.0,USD,131285120,-0.13175,11796599,33926500,12623,4700,1335744000,1338422400,0.0004,0.0,4.0000003e-05,0.15,0.001,2.34,0.00017094017,1356912000,1388448000,1356912000,-10605073,-0.0,1:2000,1167264000,1.633,345.564,PNK,EQUITY,WUHN,WUHN,WUHAN GENERAL GROUP CHINA INC,"Wuhan General Group (China), Inc.",1145453400,America/New_York,EDT,-14400000,0.0004,none,18793684,0.554,379915,118797992,0.586,1.101,80376752,110.683,2.473,-0.00497,-0.08781999,14541550,-37940804,-21859288,0.18091999,0.0047299997,-0.027679998,USD,
1,6500 Transcanada hwy,Suite 400,Pointe-Claire,QC,H9R 0A5,Canada,514-928-7368,https://wuhn.org,Drug Manufacturers—Specialty & Generic,Healthcare,"Wuhan General Group (China), Inc., through its subsidiaries, researches, develops, and commercializes a range of cannabidiol (CBD)-based products under the Dr. AnnaRx brand for pharmacies. It also focuses on exploring and developing other indications for psilocybin new therapies that will enable patients who suffer from mental illness. The company offers its products for medical applications, including cancer, mental disorders, chronic pain, and others. Wuhan General Group (China), Inc. is headquartered in Pointe-Claire, Canada.",700,"{'maxAge': 1, 'name': 'Mr. Jeffrey  Robinson', 'title': 'Founder, Chairman & CEO', 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,1.635892,100,100,3556,11,11,0.0,0.0,0,0,3053388,0.0004,0.06,0.037988447,0.00041,0.014824,0.0,0.0,USD,131285120,-0.13175,11796599,33926500,12623,4700,1335744000,1338422400,0.0004,0.0,4.0000003e-05,0.15,0.001,2.34,0.00017094017,1356912000,1388448000,1356912000,-10605073,-0.0,1:2000,1167264000,1.633,345.564,PNK,EQUITY,WUHN,WUHN,WUHAN GENERAL GROUP CHINA INC,"Wuhan General Group (China), Inc.",1145453400,America/New_York,EDT,-14400000,0.0004,none,18793684,0.554,379915,118797992,0.586,1.101,80376752,110.683,2.473,-0.00497,-0.08781999,14541550,-37940804,-21859288,0.18091999,0.0047299997,-0.027679998,USD,
2,6500 Transcanada hwy,Suite 400,Pointe-Claire,QC,H9R 0A5,Canada,514-928-7368,https://wuhn.org,Drug Manufacturers—Specialty & Generic,Healthcare,"Wuhan General Group (China), Inc., through its subsidiaries, researches, develops, and commercializes a range of cannabidiol (CBD)-based products under the Dr. AnnaRx brand for pharmacies. It also focuses on exploring and developing other indications for psilocybin new therapies that will enable patients who suffer from mental illness. The company offers its products for medical applications, including cancer, mental disorders, chronic pain, and others. Wuhan General Group (China), Inc. is headquartered in Pointe-Claire, Canada.",700,"{'maxAge': 1, 'name': 'Mr. Willem  Jonker', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,1.635892,100,100,3556,11,11,0.0,0.0,0,0,3053388,0.0004,0.06,0.037988447,0.00041,0.014824,0.0,0.0,USD,131285120,-0.13175,11796599,33926500,12623,4700,1335744000,1338422400,0.0004,0.0,4.0000003e-05,0.15,0.001,2.34,0.00017094017,1356912000,1388448000,1356912000,-10605073,-0.0,1:2000,1167264000,1.633,345.564,PNK,EQUITY,WUHN,WUHN,WUHAN GENERAL GROUP CHINA INC,"Wuhan General Group (China), Inc.",1145453400,America/New_York,EDT,-14400000,0.0004,none,18793684,0.554,379915,118797992,0.586,1.101,80376752,110.683,2.473,-0.00497,-0.08781999,14541550,-37940804,-21859288,0.18091999,0.0047299997,-0.027679998,USD,
3,6500 Transcanada hwy,Suite 400,Pointe-Claire,QC,H9R 0A5,Canada,514-928-7368,https://wuhn.org,Drug Manufacturers—Specialty & Generic,Healthcare,"Wuhan General Group (China), Inc., through its subsidiaries, researches, develops, and commercializes a range of cannabidiol (CBD)-based products under the Dr. AnnaRx brand for pharmacies. It also focuses on exploring and developing other indications for psilocybin new therapies that will enable patients who suffer from mental illness. The company offers its products for medical applications, including cancer, mental disorders, chronic pain, and others. Wuhan General Group (China), Inc. is headquartered in Pointe-Claire, Canada.",700,"{'maxAge': 1, 'name': 'Dr. Hyder Ali Khoja A.Ag., M.Sc., Ph.D.', 'title': 'Chief Scientific Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,1.635892,100,100,3556,11,11,0.0,0.0,0,0,3053388,0.0004,0.06,0.037988447,0.00041,0.014824,0.0,0.0,USD,131285120,-0.13175,11796599,33926500,12623,4700,1335744000,1338422400,0.0004,0.0,4.0000003e-05,0.15,0.001,2.34,0.00017094017,1356912000,1388448000,1356912000,-10605073,-0.0,1:2000,1167264000,1.633,345.564,PNK,EQUITY,WUHN,WUHN,WUHAN GENERAL GROUP CHINA INC,"Wuhan General Group (China), Inc.",1145453400,America/New_York,EDT,-14400000,0.0004,none,18793684,0.554,379915,118797992,0.586,1.101,80376752,110.683,2.473,-0.00497,-0.08781999,14541550,-37940804,-21859288,0.18091999,0.0047299997,-0.027679998,USD,
4,6500 Transcanada hwy,Suite 400,Pointe-Claire,QC,H9R 0A5,Canada,514-928-7368,https://wuhn.org,Drug Manufacturers—Specialty & Generic,Healthcare,"Wuhan General Group (China), Inc., through its subsidiaries, researches, develops, and commercializes a range of cannabidiol (CBD)-based products under the Dr. AnnaRx brand for pharmacies. It also focuses on exploring and developing other indications for psilocybin new therapies that will enable patients who suffer from mental illness. The company offers its products for medical applications, including cancer, mental disorders, chronic pain, and others. Wuhan General Group (China), Inc. is headquartered in Pointe-Claire, Canada.",700,"{'maxAge': 1, 'name': 'Ms. Shivani  Subudhi', 'title': 'Head of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,1.635892,100,100,3556,11,11,0.0,0.0,0,0,3053388,0.0004,0.06,0.037988447,0.00041,0.014824,0.0,0.0,USD,131285120,-0.13175,11796599,33926500,12623,4700,1335744000,1338422400,0.0004,0.0,4.0000003e-05,0.15,0.001,2.34,0.00017094017,1356912000,1388448000,1356912000,-10605073,-0.0,1:2000,1167264000,1.633,345.564,PNK,EQUITY,WUHN,WUHN,WUHAN GENERAL GROUP CHINA INC,"Wuhan General Group (China), Inc.",1145453400,America/New_York,EDT,-14400000,0.0004,none,18793684,0.554,379915,118797992,0.586,1.101,80376752,110.683,2.473,-0.00497,-0.08781999,14541550,-37940804,-21859288,0.18091999,0.0047299997,-0.027679998,USD,
5,6500 Transcanada hwy,Suite 400,Pointe-Claire,QC,H9R 0A5,Canada,514-928-7368,https://wuhn.org,Drug Manufacturers—Specialty & Generic,Healthcare,"Wuhan General Group (China), Inc., through its subsidiaries, researches, develops, and commercializes a range of cannabidiol (CBD)-based products under the Dr. AnnaRx brand for pharmacies. It also focuses on exploring and developing other indications for psilocybin new therapies that will enable patients who suffer from mental illness. The company offers its products for medical applications, including cancer, mental disorders, chronic pain, and others. Wuhan General Group (China), Inc. is headquartered in Pointe-Claire, Canada.",700,"{'maxAge': 1, 'name': 'Mr. Huang  Zhaoqi', 'age': 60, 'title': 'Vice Gen. Mang. of Turbine and Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,1.635892,100,100,3556,11,11,0.0,0.0,0,0,3053388,0.0004,0.06,0.037988447,0.00041,0.014824,0.0,0.0,USD,131285120,-0.13175,11796599,33926500,12623,4700,1335744000,1338422400,0.0004,0.0,4.0000003e-05,0.15,0.001,2.34,0.00017094017,1356912000,1388448000,1356912000,-10605073,-0.0,1:2000,1167264000,1.633,345.564,PNK,EQUITY,WUHN,WUHN,WUHAN GENERAL GROUP CHINA INC,"Wuhan General Group (China), Inc.",1145453400,America/New_York,EDT,-14400000,0.0004,none,18793684,0.554,379915,118797992,0.586,1.101,80376752,110.683,2.473,-0.00497,-0.08781999,14541550,-37940804,-21859288,0.18091999,0.0047299997,-0.027679998,USD,
6,6500 Transcanada hwy,Suite 400,Pointe-Claire,QC,H9R 0A5,Canada,514-928-7368,https://wuhn.org,Drug Manufacturers—Specialty & Generic,Healthcare,"Wuhan General Group (China), Inc., through its subsidiaries, researches, develops, and commercializes a range of cannabidiol (CBD)-based products under the Dr. AnnaRx brand for pharmacies. It also focuses on exploring and developing other indications for psilocybin new therapies that will enable patients who suffer from mental illness. The company offers its products for medical applications, including cancer, mental disorders, chronic pain, and others. Wuhan General Group (China), Inc. is headquartered in Pointe-Claire, Canada.",700,"{'maxAge': 1, 'name': 'Dr. Anna  Leralta Morera', 'title': 'Chief Medical Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,1.635892,100,100,3556,11,11,0.0,0.0,0,0,3053388,0.0004,0.06,0.037988447,0.00041,0.014824,0.0,0.0,USD,131285120,-0.13175,11796599,33926500,12623,4700,1335744000,1338422400,0.0004,0.0,4.0000003e-05,0.15,0.001,2.34,0.00017094017,1356912000,1388448000,1356912000,-10605073,-0.0,1:2000,1167264000,1.633,345.564,PNK,EQUITY,WUHN,WUHN,WUHAN GENERAL GROUP CHINA INC,"Wuhan General Group (China), Inc.",1145453400,America/New_York,EDT,-14400000,0.0004,none,18793684,0.554,379915,118797992,0.586,1.101,80376752,110.683,2.473,-0.00497,-0.08781999,14541550,-37940804,-21859288,0.18091999,0.0047299997,-0.027679998,USD,
7,6500 Transcanada hwy,Suite 400,Pointe-Claire,QC,H9R 0A5,Canada,514-928-7368,https://wuhn.org,Drug Manufacturers—Specialty & Generic,Healthcare,"Wuhan General Group (China), Inc., through its subsidiaries, researches, develops, and commercializes a range of cannabidiol (CBD)-based products under the Dr. AnnaRx brand for pharmacies. It also focuses on exploring and developing other indications for psilocybin new therapies that will enable patients who suffer from mental illness. The company offers its products for medical applications, including cancer, mental disorders, chronic pain, and others. Wuhan General Group (China), Inc. is headquartered in Pointe-Claire, Canada.",700,"{'maxAge': 1, 'name': 'Mr. Samuel  Williams', 'title': 'Head of Food Formulations & Functional Foods', 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,1.635892,100,100,3556,11,11,0.0,0.0,0,0,3053388,0.0004,0.06,0.037988447,0.00041,0.014824,0.0,0.0,USD,131285120,-0.13175,11796599,33926500,12623,4700,1335744000,1338422400,0.0004,0.0,4.0000003e-05,0.15,0.001,2.34,0.00017094017,1356912000,1388448000,1356912000,-10605073,-0.0,1:2000,1167264000,1.633,345.564,PNK,EQUITY,WUHN,WUHN,WUHAN GENERAL GROUP CHINA INC,"Wuhan General Group (China), Inc.",1145453400,America/New_York,EDT,-14400000,0.0004,none,18793684,0.554,379915,118797992,0.586,1.101,80376752,110.683,2.473,-0.00497,-0.08781999,14541550,-37940804,-21859288,0.18091999,0.0047299997,-0.027679998,USD,
8,6500 Transcanada hwy,Suite 400,Pointe-Claire,QC,H9R 0A5,Canada,514-928-7368,https://wuhn.org,Drug Manufacturers—Specialty & Generic,Healthcare,"Wuhan General Group (China), Inc., through its subsidiaries, researches, develops, and commercializes a range of cannabidiol (CBD)-based products under the Dr. AnnaRx brand for pharmacies. It also focuses on exploring and developing other indications for psilocybin new therapies that will enable patients who suffer from mental illness. The company offers its products for medical applications, including cancer, mental disorders, chronic pain, and others. Wuhan General Group (China), Inc. is headquartered in Pointe-Claire, Canada.",700,"{'maxAge': 1, 'name': 'Ms. Clementine  Toto', 'title': 'Head of African Aromatherapy', 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,1.635892,100,100,3556,11,11,0.0,0.0,0,0,3053388,0.0004,0.06,0.037988447,0.00041,0.014824,0.0,0.0,USD,131285120,-0.13175,11796599,33926500,12623,4700,1335744000,1338422400,0.0004,0.0,4.0000003e-05,0.15,0.001,2.34,0.00017094017,1356912000,1388448000,1356912000,-10605073,-0.0,1:2000,1167264000,1.633,345.564,PNK,EQUITY,WUHN,WUHN,WUHAN GENERAL GROUP CHINA INC,"Wuhan General Group (China), Inc.",1145453400,America/New_York,EDT,-14400000,0.0004,none,18793684,0.554,379915,118797992,0.586,1.101,80376752,110.683,2.473,-0.00497,-0.08781999,14541550,-37940804,-21859288,0.18091999,0.0047299997,-0.027679998,USD,
9,6500 Transcanada hwy,Suite 400,Pointe-Claire,QC,H9R 0A5,Canada,514-928-7368,https://wuhn.org,Drug Manufacturers—Specialty & Generic,Healthcare,"Wuhan General Group (China), Inc., through its subsidiaries, researches, develops, and commercializes a range of cannabidiol (CBD)-based products under the Dr. AnnaRx brand for pharmacies. It also focuses on exploring and developing other indications for psilocybin new therapies that will enable patients who suffer from mental illness. The company offers its products for medical applications, including cancer, mental disorders, chronic pain, and others. Wuhan General Group (China), Inc. is headquartered in Pointe-Claire, Canada.",700,"{'maxAge': 1, 'name': 'Nicola  Royce', 'title': 'Managing Director of M2Biome', 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0,1.635892,100,100,3556,11,11,0.0,0.0,0,0,3053388,0.0004,0.06,0.037988447,0.00041,0.014824,0.0,0.0,USD,131285120,-0.13175,11796599,33926500,12623,4700,1335744000,1338422400,0.0004,0.0,4.0000003e-05,0.15,0.001,2.34,0.00017094017,1356912000,1388448000,1356912000,-10605073,-0.0,1:2000,1167264000,1.633,345.564,PNK,EQUITY,WUHN,WUHN,WUHAN GENERAL GROUP CHINA INC,"Wuhan General Group (China), Inc.",1145453400,America/New_York,EDT,-14400000,0.0004,none,18793684,0.554,379915,118797992,0.586,1.101,80376752,110.683,2.473,-0.00497,-0.08781999,14541550,-37940804,-21859288,0.18091999,0.0047299997,-0.027679998,USD,
