,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1 World Trade Center,Suite 1500,Long Beach,CA,90831,United States,888 848 4754,https://www.crc.com,Oil & Gas E&P,Energy,"California Resources Corporation operates as an independent oil and natural gas exploration and production company in the United States. The company explores, produces, and markets crude oil, natural gas, and natural gas liquids for marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It also engages in the generation and sale of electricity to the local utility and the grid. The company was incorporated in 2014 and is based in Long Beach, California.",1060,"{'maxAge': 1, 'name': 'Mr. Francisco J. Leon', 'age': 45, 'title': 'CEO, Pres & Director', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1402757, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,7,4,4,1693526400,1672444800,86400,2,58.0,57.36,56.8,57.805,58.0,57.36,56.8,57.805,1.13,0.0198,1693440000,0.0846,1.68482,4.75478,10.437956,2297904,2297904,704833,747810,747810,56.03,57.67,800,1000,3944637952,34.02,58.15,1.2334702,53.0726,44.29225,1.018,0.017551724,USD,4169638912,0.28361,65071372,68962200,6194431,6280473,1690761600,1693440000,0.08979999,0.00677,1.0028,11.2,0.1005,30.596,1.8695254,1672444800,1703980800,1688083200,-0.489,907000000,12.03,5.48,1.67,1:10,1464739200,1.304,4.195,NYQ,EQUITY,CRC,CRC,California Resources Corporatio,California Resources Corporation,1603891800,America/New_York,EDT,-14400000,57.2,68.0,56.0,63.0,64.0,1.5,strong_buy,6,448000000,6.496,994000000,673000000,1.196,1.49,3198000128,31.896,44.448,0.12329,0.50014,1943000000,-52125000,767000000,-0.44,-0.339,0.55597,0.31082,0.24422,USD,
1,1 World Trade Center,Suite 1500,Long Beach,CA,90831,United States,888 848 4754,https://www.crc.com,Oil & Gas E&P,Energy,"California Resources Corporation operates as an independent oil and natural gas exploration and production company in the United States. The company explores, produces, and markets crude oil, natural gas, and natural gas liquids for marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It also engages in the generation and sale of electricity to the local utility and the grid. The company was incorporated in 2014 and is based in Long Beach, California.",1060,"{'maxAge': 1, 'name': 'Mr. Michael L. Preston', 'age': 57, 'title': 'Exec. VP, Chief Strategy Officer & Gen. Counsel', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1377757, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,7,4,4,1693526400,1672444800,86400,2,58.0,57.36,56.8,57.805,58.0,57.36,56.8,57.805,1.13,0.0198,1693440000,0.0846,1.68482,4.75478,10.437956,2297904,2297904,704833,747810,747810,56.03,57.67,800,1000,3944637952,34.02,58.15,1.2334702,53.0726,44.29225,1.018,0.017551724,USD,4169638912,0.28361,65071372,68962200,6194431,6280473,1690761600,1693440000,0.08979999,0.00677,1.0028,11.2,0.1005,30.596,1.8695254,1672444800,1703980800,1688083200,-0.489,907000000,12.03,5.48,1.67,1:10,1464739200,1.304,4.195,NYQ,EQUITY,CRC,CRC,California Resources Corporatio,California Resources Corporation,1603891800,America/New_York,EDT,-14400000,57.2,68.0,56.0,63.0,64.0,1.5,strong_buy,6,448000000,6.496,994000000,673000000,1.196,1.49,3198000128,31.896,44.448,0.12329,0.50014,1943000000,-52125000,767000000,-0.44,-0.339,0.55597,0.31082,0.24422,USD,
2,1 World Trade Center,Suite 1500,Long Beach,CA,90831,United States,888 848 4754,https://www.crc.com,Oil & Gas E&P,Energy,"California Resources Corporation operates as an independent oil and natural gas exploration and production company in the United States. The company explores, produces, and markets crude oil, natural gas, and natural gas liquids for marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It also engages in the generation and sale of electricity to the local utility and the grid. The company was incorporated in 2014 and is based in Long Beach, California.",1060,"{'maxAge': 1, 'name': 'Mr. Jay A. Bys', 'age': 56, 'title': 'Exec. VP & Chief Commercial Officer', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1341888, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,7,4,4,1693526400,1672444800,86400,2,58.0,57.36,56.8,57.805,58.0,57.36,56.8,57.805,1.13,0.0198,1693440000,0.0846,1.68482,4.75478,10.437956,2297904,2297904,704833,747810,747810,56.03,57.67,800,1000,3944637952,34.02,58.15,1.2334702,53.0726,44.29225,1.018,0.017551724,USD,4169638912,0.28361,65071372,68962200,6194431,6280473,1690761600,1693440000,0.08979999,0.00677,1.0028,11.2,0.1005,30.596,1.8695254,1672444800,1703980800,1688083200,-0.489,907000000,12.03,5.48,1.67,1:10,1464739200,1.304,4.195,NYQ,EQUITY,CRC,CRC,California Resources Corporatio,California Resources Corporation,1603891800,America/New_York,EDT,-14400000,57.2,68.0,56.0,63.0,64.0,1.5,strong_buy,6,448000000,6.496,994000000,673000000,1.196,1.49,3198000128,31.896,44.448,0.12329,0.50014,1943000000,-52125000,767000000,-0.44,-0.339,0.55597,0.31082,0.24422,USD,
3,1 World Trade Center,Suite 1500,Long Beach,CA,90831,United States,888 848 4754,https://www.crc.com,Oil & Gas E&P,Energy,"California Resources Corporation operates as an independent oil and natural gas exploration and production company in the United States. The company explores, produces, and markets crude oil, natural gas, and natural gas liquids for marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It also engages in the generation and sale of electricity to the local utility and the grid. The company was incorporated in 2014 and is based in Long Beach, California.",1060,"{'maxAge': 1, 'name': 'Mr. Manuela  Molina', 'title': 'Exec. VP & CFO', 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,7,4,4,1693526400,1672444800,86400,2,58.0,57.36,56.8,57.805,58.0,57.36,56.8,57.805,1.13,0.0198,1693440000,0.0846,1.68482,4.75478,10.437956,2297904,2297904,704833,747810,747810,56.03,57.67,800,1000,3944637952,34.02,58.15,1.2334702,53.0726,44.29225,1.018,0.017551724,USD,4169638912,0.28361,65071372,68962200,6194431,6280473,1690761600,1693440000,0.08979999,0.00677,1.0028,11.2,0.1005,30.596,1.8695254,1672444800,1703980800,1688083200,-0.489,907000000,12.03,5.48,1.67,1:10,1464739200,1.304,4.195,NYQ,EQUITY,CRC,CRC,California Resources Corporatio,California Resources Corporation,1603891800,America/New_York,EDT,-14400000,57.2,68.0,56.0,63.0,64.0,1.5,strong_buy,6,448000000,6.496,994000000,673000000,1.196,1.49,3198000128,31.896,44.448,0.12329,0.50014,1943000000,-52125000,767000000,-0.44,-0.339,0.55597,0.31082,0.24422,USD,
4,1 World Trade Center,Suite 1500,Long Beach,CA,90831,United States,888 848 4754,https://www.crc.com,Oil & Gas E&P,Energy,"California Resources Corporation operates as an independent oil and natural gas exploration and production company in the United States. The company explores, produces, and markets crude oil, natural gas, and natural gas liquids for marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It also engages in the generation and sale of electricity to the local utility and the grid. The company was incorporated in 2014 and is based in Long Beach, California.",1060,"{'maxAge': 1, 'name': 'Mr. Omar  Hayat', 'age': 46, 'title': 'Exec. VP of Operations', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,7,4,4,1693526400,1672444800,86400,2,58.0,57.36,56.8,57.805,58.0,57.36,56.8,57.805,1.13,0.0198,1693440000,0.0846,1.68482,4.75478,10.437956,2297904,2297904,704833,747810,747810,56.03,57.67,800,1000,3944637952,34.02,58.15,1.2334702,53.0726,44.29225,1.018,0.017551724,USD,4169638912,0.28361,65071372,68962200,6194431,6280473,1690761600,1693440000,0.08979999,0.00677,1.0028,11.2,0.1005,30.596,1.8695254,1672444800,1703980800,1688083200,-0.489,907000000,12.03,5.48,1.67,1:10,1464739200,1.304,4.195,NYQ,EQUITY,CRC,CRC,California Resources Corporatio,California Resources Corporation,1603891800,America/New_York,EDT,-14400000,57.2,68.0,56.0,63.0,64.0,1.5,strong_buy,6,448000000,6.496,994000000,673000000,1.196,1.49,3198000128,31.896,44.448,0.12329,0.50014,1943000000,-52125000,767000000,-0.44,-0.339,0.55597,0.31082,0.24422,USD,
5,1 World Trade Center,Suite 1500,Long Beach,CA,90831,United States,888 848 4754,https://www.crc.com,Oil & Gas E&P,Energy,"California Resources Corporation operates as an independent oil and natural gas exploration and production company in the United States. The company explores, produces, and markets crude oil, natural gas, and natural gas liquids for marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It also engages in the generation and sale of electricity to the local utility and the grid. The company was incorporated in 2014 and is based in Long Beach, California.",1060,"{'maxAge': 1, 'name': 'Ms. Noelle M. Repetti', 'age': 52, 'title': 'Sr. VP, Controller & Principal Accounting Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,7,4,4,1693526400,1672444800,86400,2,58.0,57.36,56.8,57.805,58.0,57.36,56.8,57.805,1.13,0.0198,1693440000,0.0846,1.68482,4.75478,10.437956,2297904,2297904,704833,747810,747810,56.03,57.67,800,1000,3944637952,34.02,58.15,1.2334702,53.0726,44.29225,1.018,0.017551724,USD,4169638912,0.28361,65071372,68962200,6194431,6280473,1690761600,1693440000,0.08979999,0.00677,1.0028,11.2,0.1005,30.596,1.8695254,1672444800,1703980800,1688083200,-0.489,907000000,12.03,5.48,1.67,1:10,1464739200,1.304,4.195,NYQ,EQUITY,CRC,CRC,California Resources Corporatio,California Resources Corporation,1603891800,America/New_York,EDT,-14400000,57.2,68.0,56.0,63.0,64.0,1.5,strong_buy,6,448000000,6.496,994000000,673000000,1.196,1.49,3198000128,31.896,44.448,0.12329,0.50014,1943000000,-52125000,767000000,-0.44,-0.339,0.55597,0.31082,0.24422,USD,
6,1 World Trade Center,Suite 1500,Long Beach,CA,90831,United States,888 848 4754,https://www.crc.com,Oil & Gas E&P,Energy,"California Resources Corporation operates as an independent oil and natural gas exploration and production company in the United States. The company explores, produces, and markets crude oil, natural gas, and natural gas liquids for marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It also engages in the generation and sale of electricity to the local utility and the grid. The company was incorporated in 2014 and is based in Long Beach, California.",1060,"{'maxAge': 1, 'name': 'Cynthia J. Johnson', 'title': 'Chief Information Officer & VP', 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,7,4,4,1693526400,1672444800,86400,2,58.0,57.36,56.8,57.805,58.0,57.36,56.8,57.805,1.13,0.0198,1693440000,0.0846,1.68482,4.75478,10.437956,2297904,2297904,704833,747810,747810,56.03,57.67,800,1000,3944637952,34.02,58.15,1.2334702,53.0726,44.29225,1.018,0.017551724,USD,4169638912,0.28361,65071372,68962200,6194431,6280473,1690761600,1693440000,0.08979999,0.00677,1.0028,11.2,0.1005,30.596,1.8695254,1672444800,1703980800,1688083200,-0.489,907000000,12.03,5.48,1.67,1:10,1464739200,1.304,4.195,NYQ,EQUITY,CRC,CRC,California Resources Corporatio,California Resources Corporation,1603891800,America/New_York,EDT,-14400000,57.2,68.0,56.0,63.0,64.0,1.5,strong_buy,6,448000000,6.496,994000000,673000000,1.196,1.49,3198000128,31.896,44.448,0.12329,0.50014,1943000000,-52125000,767000000,-0.44,-0.339,0.55597,0.31082,0.24422,USD,
7,1 World Trade Center,Suite 1500,Long Beach,CA,90831,United States,888 848 4754,https://www.crc.com,Oil & Gas E&P,Energy,"California Resources Corporation operates as an independent oil and natural gas exploration and production company in the United States. The company explores, produces, and markets crude oil, natural gas, and natural gas liquids for marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It also engages in the generation and sale of electricity to the local utility and the grid. The company was incorporated in 2014 and is based in Long Beach, California.",1060,"{'maxAge': 1, 'name': 'Joanna  Park', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,7,4,4,1693526400,1672444800,86400,2,58.0,57.36,56.8,57.805,58.0,57.36,56.8,57.805,1.13,0.0198,1693440000,0.0846,1.68482,4.75478,10.437956,2297904,2297904,704833,747810,747810,56.03,57.67,800,1000,3944637952,34.02,58.15,1.2334702,53.0726,44.29225,1.018,0.017551724,USD,4169638912,0.28361,65071372,68962200,6194431,6280473,1690761600,1693440000,0.08979999,0.00677,1.0028,11.2,0.1005,30.596,1.8695254,1672444800,1703980800,1688083200,-0.489,907000000,12.03,5.48,1.67,1:10,1464739200,1.304,4.195,NYQ,EQUITY,CRC,CRC,California Resources Corporatio,California Resources Corporation,1603891800,America/New_York,EDT,-14400000,57.2,68.0,56.0,63.0,64.0,1.5,strong_buy,6,448000000,6.496,994000000,673000000,1.196,1.49,3198000128,31.896,44.448,0.12329,0.50014,1943000000,-52125000,767000000,-0.44,-0.339,0.55597,0.31082,0.24422,USD,
8,1 World Trade Center,Suite 1500,Long Beach,CA,90831,United States,888 848 4754,https://www.crc.com,Oil & Gas E&P,Energy,"California Resources Corporation operates as an independent oil and natural gas exploration and production company in the United States. The company explores, produces, and markets crude oil, natural gas, and natural gas liquids for marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It also engages in the generation and sale of electricity to the local utility and the grid. The company was incorporated in 2014 and is based in Long Beach, California.",1060,"{'maxAge': 1, 'name': 'Richard  Venn', 'title': 'Director of Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,7,4,4,1693526400,1672444800,86400,2,58.0,57.36,56.8,57.805,58.0,57.36,56.8,57.805,1.13,0.0198,1693440000,0.0846,1.68482,4.75478,10.437956,2297904,2297904,704833,747810,747810,56.03,57.67,800,1000,3944637952,34.02,58.15,1.2334702,53.0726,44.29225,1.018,0.017551724,USD,4169638912,0.28361,65071372,68962200,6194431,6280473,1690761600,1693440000,0.08979999,0.00677,1.0028,11.2,0.1005,30.596,1.8695254,1672444800,1703980800,1688083200,-0.489,907000000,12.03,5.48,1.67,1:10,1464739200,1.304,4.195,NYQ,EQUITY,CRC,CRC,California Resources Corporatio,California Resources Corporation,1603891800,America/New_York,EDT,-14400000,57.2,68.0,56.0,63.0,64.0,1.5,strong_buy,6,448000000,6.496,994000000,673000000,1.196,1.49,3198000128,31.896,44.448,0.12329,0.50014,1943000000,-52125000,767000000,-0.44,-0.339,0.55597,0.31082,0.24422,USD,
9,1 World Trade Center,Suite 1500,Long Beach,CA,90831,United States,888 848 4754,https://www.crc.com,Oil & Gas E&P,Energy,"California Resources Corporation operates as an independent oil and natural gas exploration and production company in the United States. The company explores, produces, and markets crude oil, natural gas, and natural gas liquids for marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It also engages in the generation and sale of electricity to the local utility and the grid. The company was incorporated in 2014 and is based in Long Beach, California.",1060,"{'maxAge': 1, 'name': 'Ms. Alana A. Sotiri', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,7,4,4,1693526400,1672444800,86400,2,58.0,57.36,56.8,57.805,58.0,57.36,56.8,57.805,1.13,0.0198,1693440000,0.0846,1.68482,4.75478,10.437956,2297904,2297904,704833,747810,747810,56.03,57.67,800,1000,3944637952,34.02,58.15,1.2334702,53.0726,44.29225,1.018,0.017551724,USD,4169638912,0.28361,65071372,68962200,6194431,6280473,1690761600,1693440000,0.08979999,0.00677,1.0028,11.2,0.1005,30.596,1.8695254,1672444800,1703980800,1688083200,-0.489,907000000,12.03,5.48,1.67,1:10,1464739200,1.304,4.195,NYQ,EQUITY,CRC,CRC,California Resources Corporatio,California Resources Corporation,1603891800,America/New_York,EDT,-14400000,57.2,68.0,56.0,63.0,64.0,1.5,strong_buy,6,448000000,6.496,994000000,673000000,1.196,1.49,3198000128,31.896,44.448,0.12329,0.50014,1943000000,-52125000,767000000,-0.44,-0.339,0.55597,0.31082,0.24422,USD,
