,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,303 International Circle,Suite 200,Hunt Valley,MD,21030-1394,United States,410 427 1700,410 427 8800,https://www.omegahealthcare.com,REIT—Healthcare Facilities,Real Estate,"Omega is a REIT that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the U.S., as well as in the U.K.",52,"{'maxAge': 1, 'name': 'Mr. C. Taylor Pickett CPA', 'age': 60, 'title': 'CEO & Director', 'yearBorn': 1962, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,5,1,1693526400,1672444800,86400,2,33.3,33.19,32.79,33.43,33.3,33.19,32.79,33.43,2.68,0.0802,1690502400,2.6019,8.16,0.957814,32.427185,22.721088,3859662,3859662,1688972,2364670,2364670,32.73,33.4,800,900,8411622912,25.61,33.57,9.86505,31.7432,29.3193,2.68,0.080480486,USD,13303400448,0.28575,244027665,244872000,18680283,17309996,1690761600,1693440000,0.0763,0.0030500002,0.682,14.76,0.103199996,15.038,2.22104,1672444800,1703980800,1688083200,-0.331,243651008,1.03,1.47,-5.41,15.602,19.783,NYQ,EQUITY,OHI,OHI,"Omega Healthcare Investors, Inc","Omega Healthcare Investors, Inc.",713194200,America/New_York,EDT,-14400000,33.4,36.0,28.0,32.61,33.0,2.7,hold,14,350691008,1.432,672481024,5286878208,0.89,0.942,852668992,138.669,3.625,0.02329,0.06452,794081000,692389888,602267008,-0.337,0.023,0.89044,0.78867996,0.41361,USD,
1,303 International Circle,Suite 200,Hunt Valley,MD,21030-1394,United States,410 427 1700,410 427 8800,https://www.omegahealthcare.com,REIT—Healthcare Facilities,Real Estate,"Omega is a REIT that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the U.S., as well as in the U.K.",52,"{'maxAge': 1, 'name': 'Mr. Robert O. Stephenson', 'age': 58, 'title': 'CFO, Treasurer & Assistant Sec.', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 952111, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,5,1,1693526400,1672444800,86400,2,33.3,33.19,32.79,33.43,33.3,33.19,32.79,33.43,2.68,0.0802,1690502400,2.6019,8.16,0.957814,32.427185,22.721088,3859662,3859662,1688972,2364670,2364670,32.73,33.4,800,900,8411622912,25.61,33.57,9.86505,31.7432,29.3193,2.68,0.080480486,USD,13303400448,0.28575,244027665,244872000,18680283,17309996,1690761600,1693440000,0.0763,0.0030500002,0.682,14.76,0.103199996,15.038,2.22104,1672444800,1703980800,1688083200,-0.331,243651008,1.03,1.47,-5.41,15.602,19.783,NYQ,EQUITY,OHI,OHI,"Omega Healthcare Investors, Inc","Omega Healthcare Investors, Inc.",713194200,America/New_York,EDT,-14400000,33.4,36.0,28.0,32.61,33.0,2.7,hold,14,350691008,1.432,672481024,5286878208,0.89,0.942,852668992,138.669,3.625,0.02329,0.06452,794081000,692389888,602267008,-0.337,0.023,0.89044,0.78867996,0.41361,USD,
2,303 International Circle,Suite 200,Hunt Valley,MD,21030-1394,United States,410 427 1700,410 427 8800,https://www.omegahealthcare.com,REIT—Healthcare Facilities,Real Estate,"Omega is a REIT that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the U.S., as well as in the U.K.",52,"{'maxAge': 1, 'name': 'Mr. Daniel J. Booth', 'age': 59, 'title': 'Sec. & COO', 'yearBorn': 1963, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,5,1,1693526400,1672444800,86400,2,33.3,33.19,32.79,33.43,33.3,33.19,32.79,33.43,2.68,0.0802,1690502400,2.6019,8.16,0.957814,32.427185,22.721088,3859662,3859662,1688972,2364670,2364670,32.73,33.4,800,900,8411622912,25.61,33.57,9.86505,31.7432,29.3193,2.68,0.080480486,USD,13303400448,0.28575,244027665,244872000,18680283,17309996,1690761600,1693440000,0.0763,0.0030500002,0.682,14.76,0.103199996,15.038,2.22104,1672444800,1703980800,1688083200,-0.331,243651008,1.03,1.47,-5.41,15.602,19.783,NYQ,EQUITY,OHI,OHI,"Omega Healthcare Investors, Inc","Omega Healthcare Investors, Inc.",713194200,America/New_York,EDT,-14400000,33.4,36.0,28.0,32.61,33.0,2.7,hold,14,350691008,1.432,672481024,5286878208,0.89,0.942,852668992,138.669,3.625,0.02329,0.06452,794081000,692389888,602267008,-0.337,0.023,0.89044,0.78867996,0.41361,USD,
3,303 International Circle,Suite 200,Hunt Valley,MD,21030-1394,United States,410 427 1700,410 427 8800,https://www.omegahealthcare.com,REIT—Healthcare Facilities,Real Estate,"Omega is a REIT that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the U.S., as well as in the U.K.",52,"{'maxAge': 1, 'name': 'Ms. Gail Dave Makode', 'age': 47, 'title': 'Chief Legal Officer & Gen. Counsel', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 802500, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,5,1,1693526400,1672444800,86400,2,33.3,33.19,32.79,33.43,33.3,33.19,32.79,33.43,2.68,0.0802,1690502400,2.6019,8.16,0.957814,32.427185,22.721088,3859662,3859662,1688972,2364670,2364670,32.73,33.4,800,900,8411622912,25.61,33.57,9.86505,31.7432,29.3193,2.68,0.080480486,USD,13303400448,0.28575,244027665,244872000,18680283,17309996,1690761600,1693440000,0.0763,0.0030500002,0.682,14.76,0.103199996,15.038,2.22104,1672444800,1703980800,1688083200,-0.331,243651008,1.03,1.47,-5.41,15.602,19.783,NYQ,EQUITY,OHI,OHI,"Omega Healthcare Investors, Inc","Omega Healthcare Investors, Inc.",713194200,America/New_York,EDT,-14400000,33.4,36.0,28.0,32.61,33.0,2.7,hold,14,350691008,1.432,672481024,5286878208,0.89,0.942,852668992,138.669,3.625,0.02329,0.06452,794081000,692389888,602267008,-0.337,0.023,0.89044,0.78867996,0.41361,USD,
4,303 International Circle,Suite 200,Hunt Valley,MD,21030-1394,United States,410 427 1700,410 427 8800,https://www.omegahealthcare.com,REIT—Healthcare Facilities,Real Estate,"Omega is a REIT that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the U.S., as well as in the U.K.",52,"{'maxAge': 1, 'name': 'Mr. Neal Alexander Ballew', 'age': 37, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1985, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,5,1,1693526400,1672444800,86400,2,33.3,33.19,32.79,33.43,33.3,33.19,32.79,33.43,2.68,0.0802,1690502400,2.6019,8.16,0.957814,32.427185,22.721088,3859662,3859662,1688972,2364670,2364670,32.73,33.4,800,900,8411622912,25.61,33.57,9.86505,31.7432,29.3193,2.68,0.080480486,USD,13303400448,0.28575,244027665,244872000,18680283,17309996,1690761600,1693440000,0.0763,0.0030500002,0.682,14.76,0.103199996,15.038,2.22104,1672444800,1703980800,1688083200,-0.331,243651008,1.03,1.47,-5.41,15.602,19.783,NYQ,EQUITY,OHI,OHI,"Omega Healthcare Investors, Inc","Omega Healthcare Investors, Inc.",713194200,America/New_York,EDT,-14400000,33.4,36.0,28.0,32.61,33.0,2.7,hold,14,350691008,1.432,672481024,5286878208,0.89,0.942,852668992,138.669,3.625,0.02329,0.06452,794081000,692389888,602267008,-0.337,0.023,0.89044,0.78867996,0.41361,USD,
5,303 International Circle,Suite 200,Hunt Valley,MD,21030-1394,United States,410 427 1700,410 427 8800,https://www.omegahealthcare.com,REIT—Healthcare Facilities,Real Estate,"Omega is a REIT that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the U.S., as well as in the U.K.",52,"{'maxAge': 1, 'name': 'Mr. Matthew P. Gourmand', 'age': 46, 'title': 'Sr. VP of Corp. Strategy & Investor Relations', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,5,1,1693526400,1672444800,86400,2,33.3,33.19,32.79,33.43,33.3,33.19,32.79,33.43,2.68,0.0802,1690502400,2.6019,8.16,0.957814,32.427185,22.721088,3859662,3859662,1688972,2364670,2364670,32.73,33.4,800,900,8411622912,25.61,33.57,9.86505,31.7432,29.3193,2.68,0.080480486,USD,13303400448,0.28575,244027665,244872000,18680283,17309996,1690761600,1693440000,0.0763,0.0030500002,0.682,14.76,0.103199996,15.038,2.22104,1672444800,1703980800,1688083200,-0.331,243651008,1.03,1.47,-5.41,15.602,19.783,NYQ,EQUITY,OHI,OHI,"Omega Healthcare Investors, Inc","Omega Healthcare Investors, Inc.",713194200,America/New_York,EDT,-14400000,33.4,36.0,28.0,32.61,33.0,2.7,hold,14,350691008,1.432,672481024,5286878208,0.89,0.942,852668992,138.669,3.625,0.02329,0.06452,794081000,692389888,602267008,-0.337,0.023,0.89044,0.78867996,0.41361,USD,
6,303 International Circle,Suite 200,Hunt Valley,MD,21030-1394,United States,410 427 1700,410 427 8800,https://www.omegahealthcare.com,REIT—Healthcare Facilities,Real Estate,"Omega is a REIT that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the U.S., as well as in the U.K.",52,"{'maxAge': 1, 'name': 'Mr. Samuel H. Kovitz', 'age': 59, 'title': 'Exec. VP, Sr. Transaction Officer & Assistant Sec.', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,5,1,1693526400,1672444800,86400,2,33.3,33.19,32.79,33.43,33.3,33.19,32.79,33.43,2.68,0.0802,1690502400,2.6019,8.16,0.957814,32.427185,22.721088,3859662,3859662,1688972,2364670,2364670,32.73,33.4,800,900,8411622912,25.61,33.57,9.86505,31.7432,29.3193,2.68,0.080480486,USD,13303400448,0.28575,244027665,244872000,18680283,17309996,1690761600,1693440000,0.0763,0.0030500002,0.682,14.76,0.103199996,15.038,2.22104,1672444800,1703980800,1688083200,-0.331,243651008,1.03,1.47,-5.41,15.602,19.783,NYQ,EQUITY,OHI,OHI,"Omega Healthcare Investors, Inc","Omega Healthcare Investors, Inc.",713194200,America/New_York,EDT,-14400000,33.4,36.0,28.0,32.61,33.0,2.7,hold,14,350691008,1.432,672481024,5286878208,0.89,0.942,852668992,138.669,3.625,0.02329,0.06452,794081000,692389888,602267008,-0.337,0.023,0.89044,0.78867996,0.41361,USD,
7,303 International Circle,Suite 200,Hunt Valley,MD,21030-1394,United States,410 427 1700,410 427 8800,https://www.omegahealthcare.com,REIT—Healthcare Facilities,Real Estate,"Omega is a REIT that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the U.S., as well as in the U.K.",52,"{'maxAge': 1, 'name': 'Ms. Megan M. Krull', 'age': 44, 'title': 'Sr. VP of Operations', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,5,1,1693526400,1672444800,86400,2,33.3,33.19,32.79,33.43,33.3,33.19,32.79,33.43,2.68,0.0802,1690502400,2.6019,8.16,0.957814,32.427185,22.721088,3859662,3859662,1688972,2364670,2364670,32.73,33.4,800,900,8411622912,25.61,33.57,9.86505,31.7432,29.3193,2.68,0.080480486,USD,13303400448,0.28575,244027665,244872000,18680283,17309996,1690761600,1693440000,0.0763,0.0030500002,0.682,14.76,0.103199996,15.038,2.22104,1672444800,1703980800,1688083200,-0.331,243651008,1.03,1.47,-5.41,15.602,19.783,NYQ,EQUITY,OHI,OHI,"Omega Healthcare Investors, Inc","Omega Healthcare Investors, Inc.",713194200,America/New_York,EDT,-14400000,33.4,36.0,28.0,32.61,33.0,2.7,hold,14,350691008,1.432,672481024,5286878208,0.89,0.942,852668992,138.669,3.625,0.02329,0.06452,794081000,692389888,602267008,-0.337,0.023,0.89044,0.78867996,0.41361,USD,
8,303 International Circle,Suite 200,Hunt Valley,MD,21030-1394,United States,410 427 1700,410 427 8800,https://www.omegahealthcare.com,REIT—Healthcare Facilities,Real Estate,"Omega is a REIT that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the U.S., as well as in the U.K.",52,"{'maxAge': 1, 'name': 'Michele  Reber', 'title': 'Sr. Director of Asset Management', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,5,1,1693526400,1672444800,86400,2,33.3,33.19,32.79,33.43,33.3,33.19,32.79,33.43,2.68,0.0802,1690502400,2.6019,8.16,0.957814,32.427185,22.721088,3859662,3859662,1688972,2364670,2364670,32.73,33.4,800,900,8411622912,25.61,33.57,9.86505,31.7432,29.3193,2.68,0.080480486,USD,13303400448,0.28575,244027665,244872000,18680283,17309996,1690761600,1693440000,0.0763,0.0030500002,0.682,14.76,0.103199996,15.038,2.22104,1672444800,1703980800,1688083200,-0.331,243651008,1.03,1.47,-5.41,15.602,19.783,NYQ,EQUITY,OHI,OHI,"Omega Healthcare Investors, Inc","Omega Healthcare Investors, Inc.",713194200,America/New_York,EDT,-14400000,33.4,36.0,28.0,32.61,33.0,2.7,hold,14,350691008,1.432,672481024,5286878208,0.89,0.942,852668992,138.669,3.625,0.02329,0.06452,794081000,692389888,602267008,-0.337,0.023,0.89044,0.78867996,0.41361,USD,
9,303 International Circle,Suite 200,Hunt Valley,MD,21030-1394,United States,410 427 1700,410 427 8800,https://www.omegahealthcare.com,REIT—Healthcare Facilities,Real Estate,"Omega is a REIT that invests in the long-term healthcare industry, primarily in skilled nursing and assisted living facilities. Its portfolio of assets is operated by a diverse group of healthcare companies, predominantly in a triple-net lease structure. The assets span all regions within the U.S., as well as in the U.K.",52,"{'maxAge': 1, 'name': 'Mr. Vikas  Gupta', 'age': 40, 'title': 'Sr. VP of Acquisitions & Devel.', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,5,1,1693526400,1672444800,86400,2,33.3,33.19,32.79,33.43,33.3,33.19,32.79,33.43,2.68,0.0802,1690502400,2.6019,8.16,0.957814,32.427185,22.721088,3859662,3859662,1688972,2364670,2364670,32.73,33.4,800,900,8411622912,25.61,33.57,9.86505,31.7432,29.3193,2.68,0.080480486,USD,13303400448,0.28575,244027665,244872000,18680283,17309996,1690761600,1693440000,0.0763,0.0030500002,0.682,14.76,0.103199996,15.038,2.22104,1672444800,1703980800,1688083200,-0.331,243651008,1.03,1.47,-5.41,15.602,19.783,NYQ,EQUITY,OHI,OHI,"Omega Healthcare Investors, Inc","Omega Healthcare Investors, Inc.",713194200,America/New_York,EDT,-14400000,33.4,36.0,28.0,32.61,33.0,2.7,hold,14,350691008,1.432,672481024,5286878208,0.89,0.942,852668992,138.669,3.625,0.02329,0.06452,794081000,692389888,602267008,-0.337,0.023,0.89044,0.78867996,0.41361,USD,
