,address1,city,zip,country,phone,fax,website,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,80 Robinson Road No. 02-00,Singapore,068898,Singapore,65 6557 2477,65 6438 3164,https://www.rexih.com,"Rex International Holding Limited, an investment holding company, operates as an oil exploration and production company. Its Oil and Gas segment is involved in oil and gas exploration and production with concessions located in Oman and Norway. The company's Non-Oil and Gas segment offers Rex Virtual Drilling technology, which pinpoints the location of oil reservoirs in the sub-surface using seismic data. The company also holds interests in PL838, PL338C, and PL263D/E licenses located on the Halten Terrace in the Norwegian Sea. Rex International Holding Limited was incorporated in 2013 and is headquartered in Singapore.",46,"{'maxAge': 1, 'name': 'Mr. Dan  Broström', 'age': 79, 'title': 'Exec. Chairman', 'yearBorn': 1943, 'fiscalYear': 2022, 'totalPay': 110019, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.956081,5.769231,125000,125000,7779,0,0,0.08,0.3,0.09709091,0.08895238,0.004,0.013333334,USD,441153312,-0.01568,711939816,0.4584,0.00278,0.133,2.255639,1672444800,1703980800,1688083200,-0.369,-2787000,0.052,2.482,7.131,PNK,EQUITY,REXHF,REXHF,REX INTERNATIONAL HOLDING LTD,Rex International Holding Limited,1392215400,America/New_York,EDT,-14400000,0.3,none,75715000,0.058,61861000,113860000,1.8,1.947,177720992,61.257,0.136,0.0068,-0.01036,95518000,-52931752,63498000,-0.379,0.075,0.52402,0.34807998,0.03518,USD,
1,80 Robinson Road No. 02-00,Singapore,068898,Singapore,65 6557 2477,65 6438 3164,https://www.rexih.com,"Rex International Holding Limited, an investment holding company, operates as an oil exploration and production company. Its Oil and Gas segment is involved in oil and gas exploration and production with concessions located in Oman and Norway. The company's Non-Oil and Gas segment offers Rex Virtual Drilling technology, which pinpoints the location of oil reservoirs in the sub-surface using seismic data. The company also holds interests in PL838, PL338C, and PL263D/E licenses located on the Halten Terrace in the Norwegian Sea. Rex International Holding Limited was incorporated in 2013 and is headquartered in Singapore.",46,"{'maxAge': 1, 'name': ""Mr. John Gerard Nicholas  d'Abo"", 'age': 52, 'title': 'Exec. Vice Chairman', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 138944, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.956081,5.769231,125000,125000,7779,0,0,0.08,0.3,0.09709091,0.08895238,0.004,0.013333334,USD,441153312,-0.01568,711939816,0.4584,0.00278,0.133,2.255639,1672444800,1703980800,1688083200,-0.369,-2787000,0.052,2.482,7.131,PNK,EQUITY,REXHF,REXHF,REX INTERNATIONAL HOLDING LTD,Rex International Holding Limited,1392215400,America/New_York,EDT,-14400000,0.3,none,75715000,0.058,61861000,113860000,1.8,1.947,177720992,61.257,0.136,0.0068,-0.01036,95518000,-52931752,63498000,-0.379,0.075,0.52402,0.34807998,0.03518,USD,
2,80 Robinson Road No. 02-00,Singapore,068898,Singapore,65 6557 2477,65 6438 3164,https://www.rexih.com,"Rex International Holding Limited, an investment holding company, operates as an oil exploration and production company. Its Oil and Gas segment is involved in oil and gas exploration and production with concessions located in Oman and Norway. The company's Non-Oil and Gas segment offers Rex Virtual Drilling technology, which pinpoints the location of oil reservoirs in the sub-surface using seismic data. The company also holds interests in PL838, PL338C, and PL263D/E licenses located on the Halten Terrace in the Norwegian Sea. Rex International Holding Limited was incorporated in 2013 and is headquartered in Singapore.",46,"{'maxAge': 1, 'name': 'Dr. Karl Helge Tore  Lidgren', 'age': 75, 'title': 'Exec. Director', 'yearBorn': 1947, 'fiscalYear': 2022, 'totalPay': 49685, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.956081,5.769231,125000,125000,7779,0,0,0.08,0.3,0.09709091,0.08895238,0.004,0.013333334,USD,441153312,-0.01568,711939816,0.4584,0.00278,0.133,2.255639,1672444800,1703980800,1688083200,-0.369,-2787000,0.052,2.482,7.131,PNK,EQUITY,REXHF,REXHF,REX INTERNATIONAL HOLDING LTD,Rex International Holding Limited,1392215400,America/New_York,EDT,-14400000,0.3,none,75715000,0.058,61861000,113860000,1.8,1.947,177720992,61.257,0.136,0.0068,-0.01036,95518000,-52931752,63498000,-0.379,0.075,0.52402,0.34807998,0.03518,USD,
3,80 Robinson Road No. 02-00,Singapore,068898,Singapore,65 6557 2477,65 6438 3164,https://www.rexih.com,"Rex International Holding Limited, an investment holding company, operates as an oil exploration and production company. Its Oil and Gas segment is involved in oil and gas exploration and production with concessions located in Oman and Norway. The company's Non-Oil and Gas segment offers Rex Virtual Drilling technology, which pinpoints the location of oil reservoirs in the sub-surface using seismic data. The company also holds interests in PL838, PL338C, and PL263D/E licenses located on the Halten Terrace in the Norwegian Sea. Rex International Holding Limited was incorporated in 2013 and is headquartered in Singapore.",46,"{'maxAge': 1, 'name': 'Mr. Måns  Lidgren', 'age': 45, 'title': 'CEO & Chief Sustainability Officer', 'yearBorn': 1977, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.956081,5.769231,125000,125000,7779,0,0,0.08,0.3,0.09709091,0.08895238,0.004,0.013333334,USD,441153312,-0.01568,711939816,0.4584,0.00278,0.133,2.255639,1672444800,1703980800,1688083200,-0.369,-2787000,0.052,2.482,7.131,PNK,EQUITY,REXHF,REXHF,REX INTERNATIONAL HOLDING LTD,Rex International Holding Limited,1392215400,America/New_York,EDT,-14400000,0.3,none,75715000,0.058,61861000,113860000,1.8,1.947,177720992,61.257,0.136,0.0068,-0.01036,95518000,-52931752,63498000,-0.379,0.075,0.52402,0.34807998,0.03518,USD,
4,80 Robinson Road No. 02-00,Singapore,068898,Singapore,65 6557 2477,65 6438 3164,https://www.rexih.com,"Rex International Holding Limited, an investment holding company, operates as an oil exploration and production company. Its Oil and Gas segment is involved in oil and gas exploration and production with concessions located in Oman and Norway. The company's Non-Oil and Gas segment offers Rex Virtual Drilling technology, which pinpoints the location of oil reservoirs in the sub-surface using seismic data. The company also holds interests in PL838, PL338C, and PL263D/E licenses located on the Halten Terrace in the Norwegian Sea. Rex International Holding Limited was incorporated in 2013 and is headquartered in Singapore.",46,"{'maxAge': 1, 'name': 'Mr. Per Arne  Lind', 'age': 49, 'title': 'Chief Financial Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.956081,5.769231,125000,125000,7779,0,0,0.08,0.3,0.09709091,0.08895238,0.004,0.013333334,USD,441153312,-0.01568,711939816,0.4584,0.00278,0.133,2.255639,1672444800,1703980800,1688083200,-0.369,-2787000,0.052,2.482,7.131,PNK,EQUITY,REXHF,REXHF,REX INTERNATIONAL HOLDING LTD,Rex International Holding Limited,1392215400,America/New_York,EDT,-14400000,0.3,none,75715000,0.058,61861000,113860000,1.8,1.947,177720992,61.257,0.136,0.0068,-0.01036,95518000,-52931752,63498000,-0.379,0.075,0.52402,0.34807998,0.03518,USD,
5,80 Robinson Road No. 02-00,Singapore,068898,Singapore,65 6557 2477,65 6438 3164,https://www.rexih.com,"Rex International Holding Limited, an investment holding company, operates as an oil exploration and production company. Its Oil and Gas segment is involved in oil and gas exploration and production with concessions located in Oman and Norway. The company's Non-Oil and Gas segment offers Rex Virtual Drilling technology, which pinpoints the location of oil reservoirs in the sub-surface using seismic data. The company also holds interests in PL838, PL338C, and PL263D/E licenses located on the Halten Terrace in the Norwegian Sea. Rex International Holding Limited was incorporated in 2013 and is headquartered in Singapore.",46,"{'maxAge': 1, 'name': 'Mr. Svein Helge  Kjellesvik', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.956081,5.769231,125000,125000,7779,0,0,0.08,0.3,0.09709091,0.08895238,0.004,0.013333334,USD,441153312,-0.01568,711939816,0.4584,0.00278,0.133,2.255639,1672444800,1703980800,1688083200,-0.369,-2787000,0.052,2.482,7.131,PNK,EQUITY,REXHF,REXHF,REX INTERNATIONAL HOLDING LTD,Rex International Holding Limited,1392215400,America/New_York,EDT,-14400000,0.3,none,75715000,0.058,61861000,113860000,1.8,1.947,177720992,61.257,0.136,0.0068,-0.01036,95518000,-52931752,63498000,-0.379,0.075,0.52402,0.34807998,0.03518,USD,
6,80 Robinson Road No. 02-00,Singapore,068898,Singapore,65 6557 2477,65 6438 3164,https://www.rexih.com,"Rex International Holding Limited, an investment holding company, operates as an oil exploration and production company. Its Oil and Gas segment is involved in oil and gas exploration and production with concessions located in Oman and Norway. The company's Non-Oil and Gas segment offers Rex Virtual Drilling technology, which pinpoints the location of oil reservoirs in the sub-surface using seismic data. The company also holds interests in PL838, PL338C, and PL263D/E licenses located on the Halten Terrace in the Norwegian Sea. Rex International Holding Limited was incorporated in 2013 and is headquartered in Singapore.",46,"{'maxAge': 1, 'name': 'Ms. Lina  Berntsen', 'age': 44, 'title': 'Chief Technology Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.956081,5.769231,125000,125000,7779,0,0,0.08,0.3,0.09709091,0.08895238,0.004,0.013333334,USD,441153312,-0.01568,711939816,0.4584,0.00278,0.133,2.255639,1672444800,1703980800,1688083200,-0.369,-2787000,0.052,2.482,7.131,PNK,EQUITY,REXHF,REXHF,REX INTERNATIONAL HOLDING LTD,Rex International Holding Limited,1392215400,America/New_York,EDT,-14400000,0.3,none,75715000,0.058,61861000,113860000,1.8,1.947,177720992,61.257,0.136,0.0068,-0.01036,95518000,-52931752,63498000,-0.379,0.075,0.52402,0.34807998,0.03518,USD,
7,80 Robinson Road No. 02-00,Singapore,068898,Singapore,65 6557 2477,65 6438 3164,https://www.rexih.com,"Rex International Holding Limited, an investment holding company, operates as an oil exploration and production company. Its Oil and Gas segment is involved in oil and gas exploration and production with concessions located in Oman and Norway. The company's Non-Oil and Gas segment offers Rex Virtual Drilling technology, which pinpoints the location of oil reservoirs in the sub-surface using seismic data. The company also holds interests in PL838, PL338C, and PL263D/E licenses located on the Halten Terrace in the Norwegian Sea. Rex International Holding Limited was incorporated in 2013 and is headquartered in Singapore.",46,"{'maxAge': 1, 'name': 'Ms. Lai Siong  Mok', 'title': 'Chief Communications Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.956081,5.769231,125000,125000,7779,0,0,0.08,0.3,0.09709091,0.08895238,0.004,0.013333334,USD,441153312,-0.01568,711939816,0.4584,0.00278,0.133,2.255639,1672444800,1703980800,1688083200,-0.369,-2787000,0.052,2.482,7.131,PNK,EQUITY,REXHF,REXHF,REX INTERNATIONAL HOLDING LTD,Rex International Holding Limited,1392215400,America/New_York,EDT,-14400000,0.3,none,75715000,0.058,61861000,113860000,1.8,1.947,177720992,61.257,0.136,0.0068,-0.01036,95518000,-52931752,63498000,-0.379,0.075,0.52402,0.34807998,0.03518,USD,
8,80 Robinson Road No. 02-00,Singapore,068898,Singapore,65 6557 2477,65 6438 3164,https://www.rexih.com,"Rex International Holding Limited, an investment holding company, operates as an oil exploration and production company. Its Oil and Gas segment is involved in oil and gas exploration and production with concessions located in Oman and Norway. The company's Non-Oil and Gas segment offers Rex Virtual Drilling technology, which pinpoints the location of oil reservoirs in the sub-surface using seismic data. The company also holds interests in PL838, PL338C, and PL263D/E licenses located on the Halten Terrace in the Norwegian Sea. Rex International Holding Limited was incorporated in 2013 and is headquartered in Singapore.",46,"{'maxAge': 1, 'name': 'Ms. Wei Fung  Kong', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.956081,5.769231,125000,125000,7779,0,0,0.08,0.3,0.09709091,0.08895238,0.004,0.013333334,USD,441153312,-0.01568,711939816,0.4584,0.00278,0.133,2.255639,1672444800,1703980800,1688083200,-0.369,-2787000,0.052,2.482,7.131,PNK,EQUITY,REXHF,REXHF,REX INTERNATIONAL HOLDING LTD,Rex International Holding Limited,1392215400,America/New_York,EDT,-14400000,0.3,none,75715000,0.058,61861000,113860000,1.8,1.947,177720992,61.257,0.136,0.0068,-0.01036,95518000,-52931752,63498000,-0.379,0.075,0.52402,0.34807998,0.03518,USD,
9,80 Robinson Road No. 02-00,Singapore,068898,Singapore,65 6557 2477,65 6438 3164,https://www.rexih.com,"Rex International Holding Limited, an investment holding company, operates as an oil exploration and production company. Its Oil and Gas segment is involved in oil and gas exploration and production with concessions located in Oman and Norway. The company's Non-Oil and Gas segment offers Rex Virtual Drilling technology, which pinpoints the location of oil reservoirs in the sub-surface using seismic data. The company also holds interests in PL838, PL338C, and PL263D/E licenses located on the Halten Terrace in the Norwegian Sea. Rex International Holding Limited was incorporated in 2013 and is headquartered in Singapore.",46,"{'maxAge': 1, 'name': 'Ms. Hui Yee  Cheok', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.956081,5.769231,125000,125000,7779,0,0,0.08,0.3,0.09709091,0.08895238,0.004,0.013333334,USD,441153312,-0.01568,711939816,0.4584,0.00278,0.133,2.255639,1672444800,1703980800,1688083200,-0.369,-2787000,0.052,2.482,7.131,PNK,EQUITY,REXHF,REXHF,REX INTERNATIONAL HOLDING LTD,Rex International Holding Limited,1392215400,America/New_York,EDT,-14400000,0.3,none,75715000,0.058,61861000,113860000,1.8,1.947,177720992,61.257,0.136,0.0068,-0.01036,95518000,-52931752,63498000,-0.379,0.075,0.52402,0.34807998,0.03518,USD,
