,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,The Zig Zag Building,70 Victoria Street,London,SW1E 6SQ,United Kingdom,44 20 3817 1000,https://www.jupiteram.com/en/Jupiter-Fund-Management-plc,Asset Management,Financial Services,"Jupiter Fund Management Plc is a publicly owned investment manager. The firm manages mutual funds, hedge funds, client focused portfolios, and multi-manager products for its clients. It invests in the public equity markets across U.K., Europe and global emerging markets. The firm also invests in fixed income markets, fund of funds products, hedge funds, and absolute return funds. Jupiter Fund Management Plc was founded in 1985 and is based in London, United Kingdom.",521,"{'maxAge': 1, 'name': 'Mr. Matthew Charles Beesley CFA', 'age': 47, 'title': 'CEO & Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 502000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,99.65,97.25,97.05,101.7,99.65,97.25,97.05,101.7,0.04,0.04,1691020800,0.77059996,7.62,1.401651,908.1818,1127252,1127252,973967,759294,759294,96.25,102.0,0,0,544455040,82.2,158.3,1.448404,101.89,122.68025,0.04,0.0004014049,GBp,106092896,0.15323,419042085,545000000,0.29906,0.52765,1.674,59.677418,1672444800,1703980800,1688083200,0.669,57600000,0.11,0.282,1.062,LSE,EQUITY,JUP.L,JUP.L,JUPITER FUND MANAGEMENT PLC ORD,Jupiter Fund Management Plc,1276671600,Europe/London,BST,3600000,99.9,180.0,95.0,130.0,120.0,3.1,hold,12,450600000,0.889,99900000,49600000,1.996,1.996,375900000,5.841,0.714,0.03608,0.06753,397300000,78937504,94600000,0.84,-0.106,1.0,0.26576,0.21176,GBP,
1,The Zig Zag Building,70 Victoria Street,London,SW1E 6SQ,United Kingdom,44 20 3817 1000,https://www.jupiteram.com/en/Jupiter-Fund-Management-plc,Asset Management,Financial Services,"Jupiter Fund Management Plc is a publicly owned investment manager. The firm manages mutual funds, hedge funds, client focused portfolios, and multi-manager products for its clients. It invests in the public equity markets across U.K., Europe and global emerging markets. The firm also invests in fixed income markets, fund of funds products, hedge funds, and absolute return funds. Jupiter Fund Management Plc was founded in 1985 and is based in London, United Kingdom.",521,"{'maxAge': 1, 'name': 'Mr. Wayne  Mepham', 'age': 49, 'title': 'CFO & Exec. Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 671000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,99.65,97.25,97.05,101.7,99.65,97.25,97.05,101.7,0.04,0.04,1691020800,0.77059996,7.62,1.401651,908.1818,1127252,1127252,973967,759294,759294,96.25,102.0,0,0,544455040,82.2,158.3,1.448404,101.89,122.68025,0.04,0.0004014049,GBp,106092896,0.15323,419042085,545000000,0.29906,0.52765,1.674,59.677418,1672444800,1703980800,1688083200,0.669,57600000,0.11,0.282,1.062,LSE,EQUITY,JUP.L,JUP.L,JUPITER FUND MANAGEMENT PLC ORD,Jupiter Fund Management Plc,1276671600,Europe/London,BST,3600000,99.9,180.0,95.0,130.0,120.0,3.1,hold,12,450600000,0.889,99900000,49600000,1.996,1.996,375900000,5.841,0.714,0.03608,0.06753,397300000,78937504,94600000,0.84,-0.106,1.0,0.26576,0.21176,GBP,
2,The Zig Zag Building,70 Victoria Street,London,SW1E 6SQ,United Kingdom,44 20 3817 1000,https://www.jupiteram.com/en/Jupiter-Fund-Management-plc,Asset Management,Financial Services,"Jupiter Fund Management Plc is a publicly owned investment manager. The firm manages mutual funds, hedge funds, client focused portfolios, and multi-manager products for its clients. It invests in the public equity markets across U.K., Europe and global emerging markets. The firm also invests in fixed income markets, fund of funds products, hedge funds, and absolute return funds. Jupiter Fund Management Plc was founded in 1985 and is based in London, United Kingdom.",521,"{'maxAge': 1, 'name': 'Ms. Paula  Moore', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,99.65,97.25,97.05,101.7,99.65,97.25,97.05,101.7,0.04,0.04,1691020800,0.77059996,7.62,1.401651,908.1818,1127252,1127252,973967,759294,759294,96.25,102.0,0,0,544455040,82.2,158.3,1.448404,101.89,122.68025,0.04,0.0004014049,GBp,106092896,0.15323,419042085,545000000,0.29906,0.52765,1.674,59.677418,1672444800,1703980800,1688083200,0.669,57600000,0.11,0.282,1.062,LSE,EQUITY,JUP.L,JUP.L,JUPITER FUND MANAGEMENT PLC ORD,Jupiter Fund Management Plc,1276671600,Europe/London,BST,3600000,99.9,180.0,95.0,130.0,120.0,3.1,hold,12,450600000,0.889,99900000,49600000,1.996,1.996,375900000,5.841,0.714,0.03608,0.06753,397300000,78937504,94600000,0.84,-0.106,1.0,0.26576,0.21176,GBP,
3,The Zig Zag Building,70 Victoria Street,London,SW1E 6SQ,United Kingdom,44 20 3817 1000,https://www.jupiteram.com/en/Jupiter-Fund-Management-plc,Asset Management,Financial Services,"Jupiter Fund Management Plc is a publicly owned investment manager. The firm manages mutual funds, hedge funds, client focused portfolios, and multi-manager products for its clients. It invests in the public equity markets across U.K., Europe and global emerging markets. The firm also invests in fixed income markets, fund of funds products, hedge funds, and absolute return funds. Jupiter Fund Management Plc was founded in 1985 and is based in London, United Kingdom.",521,"{'maxAge': 1, 'name': 'Mr. Jasveer  Singh', 'title': 'Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,99.65,97.25,97.05,101.7,99.65,97.25,97.05,101.7,0.04,0.04,1691020800,0.77059996,7.62,1.401651,908.1818,1127252,1127252,973967,759294,759294,96.25,102.0,0,0,544455040,82.2,158.3,1.448404,101.89,122.68025,0.04,0.0004014049,GBp,106092896,0.15323,419042085,545000000,0.29906,0.52765,1.674,59.677418,1672444800,1703980800,1688083200,0.669,57600000,0.11,0.282,1.062,LSE,EQUITY,JUP.L,JUP.L,JUPITER FUND MANAGEMENT PLC ORD,Jupiter Fund Management Plc,1276671600,Europe/London,BST,3600000,99.9,180.0,95.0,130.0,120.0,3.1,hold,12,450600000,0.889,99900000,49600000,1.996,1.996,375900000,5.841,0.714,0.03608,0.06753,397300000,78937504,94600000,0.84,-0.106,1.0,0.26576,0.21176,GBP,
4,The Zig Zag Building,70 Victoria Street,London,SW1E 6SQ,United Kingdom,44 20 3817 1000,https://www.jupiteram.com/en/Jupiter-Fund-Management-plc,Asset Management,Financial Services,"Jupiter Fund Management Plc is a publicly owned investment manager. The firm manages mutual funds, hedge funds, client focused portfolios, and multi-manager products for its clients. It invests in the public equity markets across U.K., Europe and global emerging markets. The firm also invests in fixed income markets, fund of funds products, hedge funds, and absolute return funds. Jupiter Fund Management Plc was founded in 1985 and is based in London, United Kingdom.",521,"{'maxAge': 1, 'name': 'Mr. Minesh  Patel', 'title': 'Head of Strategy & Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,99.65,97.25,97.05,101.7,99.65,97.25,97.05,101.7,0.04,0.04,1691020800,0.77059996,7.62,1.401651,908.1818,1127252,1127252,973967,759294,759294,96.25,102.0,0,0,544455040,82.2,158.3,1.448404,101.89,122.68025,0.04,0.0004014049,GBp,106092896,0.15323,419042085,545000000,0.29906,0.52765,1.674,59.677418,1672444800,1703980800,1688083200,0.669,57600000,0.11,0.282,1.062,LSE,EQUITY,JUP.L,JUP.L,JUPITER FUND MANAGEMENT PLC ORD,Jupiter Fund Management Plc,1276671600,Europe/London,BST,3600000,99.9,180.0,95.0,130.0,120.0,3.1,hold,12,450600000,0.889,99900000,49600000,1.996,1.996,375900000,5.841,0.714,0.03608,0.06753,397300000,78937504,94600000,0.84,-0.106,1.0,0.26576,0.21176,GBP,
5,The Zig Zag Building,70 Victoria Street,London,SW1E 6SQ,United Kingdom,44 20 3817 1000,https://www.jupiteram.com/en/Jupiter-Fund-Management-plc,Asset Management,Financial Services,"Jupiter Fund Management Plc is a publicly owned investment manager. The firm manages mutual funds, hedge funds, client focused portfolios, and multi-manager products for its clients. It invests in the public equity markets across U.K., Europe and global emerging markets. The firm also invests in fixed income markets, fund of funds products, hedge funds, and absolute return funds. Jupiter Fund Management Plc was founded in 1985 and is based in London, United Kingdom.",521,"{'maxAge': 1, 'name': 'Mr. David  Rowe', 'title': 'Global Head of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,99.65,97.25,97.05,101.7,99.65,97.25,97.05,101.7,0.04,0.04,1691020800,0.77059996,7.62,1.401651,908.1818,1127252,1127252,973967,759294,759294,96.25,102.0,0,0,544455040,82.2,158.3,1.448404,101.89,122.68025,0.04,0.0004014049,GBp,106092896,0.15323,419042085,545000000,0.29906,0.52765,1.674,59.677418,1672444800,1703980800,1688083200,0.669,57600000,0.11,0.282,1.062,LSE,EQUITY,JUP.L,JUP.L,JUPITER FUND MANAGEMENT PLC ORD,Jupiter Fund Management Plc,1276671600,Europe/London,BST,3600000,99.9,180.0,95.0,130.0,120.0,3.1,hold,12,450600000,0.889,99900000,49600000,1.996,1.996,375900000,5.841,0.714,0.03608,0.06753,397300000,78937504,94600000,0.84,-0.106,1.0,0.26576,0.21176,GBP,
6,The Zig Zag Building,70 Victoria Street,London,SW1E 6SQ,United Kingdom,44 20 3817 1000,https://www.jupiteram.com/en/Jupiter-Fund-Management-plc,Asset Management,Financial Services,"Jupiter Fund Management Plc is a publicly owned investment manager. The firm manages mutual funds, hedge funds, client focused portfolios, and multi-manager products for its clients. It invests in the public equity markets across U.K., Europe and global emerging markets. The firm also invests in fixed income markets, fund of funds products, hedge funds, and absolute return funds. Jupiter Fund Management Plc was founded in 1985 and is based in London, United Kingdom.",521,"{'maxAge': 1, 'name': 'Ms. Tracey  Kinsella', 'title': 'HR Director', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,99.65,97.25,97.05,101.7,99.65,97.25,97.05,101.7,0.04,0.04,1691020800,0.77059996,7.62,1.401651,908.1818,1127252,1127252,973967,759294,759294,96.25,102.0,0,0,544455040,82.2,158.3,1.448404,101.89,122.68025,0.04,0.0004014049,GBp,106092896,0.15323,419042085,545000000,0.29906,0.52765,1.674,59.677418,1672444800,1703980800,1688083200,0.669,57600000,0.11,0.282,1.062,LSE,EQUITY,JUP.L,JUP.L,JUPITER FUND MANAGEMENT PLC ORD,Jupiter Fund Management Plc,1276671600,Europe/London,BST,3600000,99.9,180.0,95.0,130.0,120.0,3.1,hold,12,450600000,0.889,99900000,49600000,1.996,1.996,375900000,5.841,0.714,0.03608,0.06753,397300000,78937504,94600000,0.84,-0.106,1.0,0.26576,0.21176,GBP,
7,The Zig Zag Building,70 Victoria Street,London,SW1E 6SQ,United Kingdom,44 20 3817 1000,https://www.jupiteram.com/en/Jupiter-Fund-Management-plc,Asset Management,Financial Services,"Jupiter Fund Management Plc is a publicly owned investment manager. The firm manages mutual funds, hedge funds, client focused portfolios, and multi-manager products for its clients. It invests in the public equity markets across U.K., Europe and global emerging markets. The firm also invests in fixed income markets, fund of funds products, hedge funds, and absolute return funds. Jupiter Fund Management Plc was founded in 1985 and is based in London, United Kingdom.",521,"{'maxAge': 1, 'name': 'Mr. John H. Chatfeild-Roberts', 'age': 59, 'title': 'Head of Strategy - Independent Funds', 'yearBorn': 1963, 'fiscalYear': 2011, 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,99.65,97.25,97.05,101.7,99.65,97.25,97.05,101.7,0.04,0.04,1691020800,0.77059996,7.62,1.401651,908.1818,1127252,1127252,973967,759294,759294,96.25,102.0,0,0,544455040,82.2,158.3,1.448404,101.89,122.68025,0.04,0.0004014049,GBp,106092896,0.15323,419042085,545000000,0.29906,0.52765,1.674,59.677418,1672444800,1703980800,1688083200,0.669,57600000,0.11,0.282,1.062,LSE,EQUITY,JUP.L,JUP.L,JUPITER FUND MANAGEMENT PLC ORD,Jupiter Fund Management Plc,1276671600,Europe/London,BST,3600000,99.9,180.0,95.0,130.0,120.0,3.1,hold,12,450600000,0.889,99900000,49600000,1.996,1.996,375900000,5.841,0.714,0.03608,0.06753,397300000,78937504,94600000,0.84,-0.106,1.0,0.26576,0.21176,GBP,
8,The Zig Zag Building,70 Victoria Street,London,SW1E 6SQ,United Kingdom,44 20 3817 1000,https://www.jupiteram.com/en/Jupiter-Fund-Management-plc,Asset Management,Financial Services,"Jupiter Fund Management Plc is a publicly owned investment manager. The firm manages mutual funds, hedge funds, client focused portfolios, and multi-manager products for its clients. It invests in the public equity markets across U.K., Europe and global emerging markets. The firm also invests in fixed income markets, fund of funds products, hedge funds, and absolute return funds. Jupiter Fund Management Plc was founded in 1985 and is based in London, United Kingdom.",521,"{'maxAge': 1, 'name': 'Mr. Martin  Harris', 'title': 'Head of Institutional Bus.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,99.65,97.25,97.05,101.7,99.65,97.25,97.05,101.7,0.04,0.04,1691020800,0.77059996,7.62,1.401651,908.1818,1127252,1127252,973967,759294,759294,96.25,102.0,0,0,544455040,82.2,158.3,1.448404,101.89,122.68025,0.04,0.0004014049,GBp,106092896,0.15323,419042085,545000000,0.29906,0.52765,1.674,59.677418,1672444800,1703980800,1688083200,0.669,57600000,0.11,0.282,1.062,LSE,EQUITY,JUP.L,JUP.L,JUPITER FUND MANAGEMENT PLC ORD,Jupiter Fund Management Plc,1276671600,Europe/London,BST,3600000,99.9,180.0,95.0,130.0,120.0,3.1,hold,12,450600000,0.889,99900000,49600000,1.996,1.996,375900000,5.841,0.714,0.03608,0.06753,397300000,78937504,94600000,0.84,-0.106,1.0,0.26576,0.21176,GBP,
9,The Zig Zag Building,70 Victoria Street,London,SW1E 6SQ,United Kingdom,44 20 3817 1000,https://www.jupiteram.com/en/Jupiter-Fund-Management-plc,Asset Management,Financial Services,"Jupiter Fund Management Plc is a publicly owned investment manager. The firm manages mutual funds, hedge funds, client focused portfolios, and multi-manager products for its clients. It invests in the public equity markets across U.K., Europe and global emerging markets. The firm also invests in fixed income markets, fund of funds products, hedge funds, and absolute return funds. Jupiter Fund Management Plc was founded in 1985 and is based in London, United Kingdom.",521,"{'maxAge': 1, 'name': 'Mr. Ross  Teverson CFA', 'title': 'Head of Strategy for Emerging Markets', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,99.65,97.25,97.05,101.7,99.65,97.25,97.05,101.7,0.04,0.04,1691020800,0.77059996,7.62,1.401651,908.1818,1127252,1127252,973967,759294,759294,96.25,102.0,0,0,544455040,82.2,158.3,1.448404,101.89,122.68025,0.04,0.0004014049,GBp,106092896,0.15323,419042085,545000000,0.29906,0.52765,1.674,59.677418,1672444800,1703980800,1688083200,0.669,57600000,0.11,0.282,1.062,LSE,EQUITY,JUP.L,JUP.L,JUPITER FUND MANAGEMENT PLC ORD,Jupiter Fund Management Plc,1276671600,Europe/London,BST,3600000,99.9,180.0,95.0,130.0,120.0,3.1,hold,12,450600000,0.889,99900000,49600000,1.996,1.996,375900000,5.841,0.714,0.03608,0.06753,397300000,78937504,94600000,0.84,-0.106,1.0,0.26576,0.21176,GBP,
