,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,610 East River Road,Suite 200,New Glasgow,NS,B2H 3S2,Canada,902 755 8100,902 755 6477,https://www.crombie.ca,REIT—Diversified,Real Estate,"Crombie invests in real estate that enriches local communities and enables long-term sustainable growth. As one of the country's leading owners, operators, and developers of quality real estate, Crombie's portfolio primarily includes grocery-anchored retail, retail-related industrial, and mixed-used residential properties in Canada's top urban and suburban markets. As at June 30, 2023, our portfolio contains 293 income-producing properties comprising approximately 18.6 million square feet, and a significant pipeline of future development projects.",303,"{'maxAge': 1, 'name': 'Mr. Clinton David Keay C.A., CPA, CA, CPA', 'age': 56, 'title': 'CFO & Sec.', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 672796, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,4,3,3,1693526400,1672444800,86400,2,13.78,13.84,13.6,13.94,13.78,13.84,13.6,13.94,0.89,0.0644,1693353600,55.3921,5.91,0.860753,691.5,21.952381,569344,569344,162062,183770,183770,13.8,13.8,0,0,2487671296,12.66,17.07,5.804112,13.5684,15.0,0.885,0.06422351,CAD,4625341440,0.37063998,104845346,106198000,506611,450867,1690761600,1693440000,0.0028,0.012510001,0.23429,3.67,10.224,1.3526995,1672444800,1703980800,1688083200,-0.312,158858000,0.02,0.63,10.792,16.648,TOR,EQUITY,CRR-UN.TO,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT ,Crombie Real Estate Investment Trust,1143124200,America/Toronto,EDT,-14400000,13.83,18.25,15.0,16.89,17.0,2.3,buy,7,4650000,0.026,277828992,2142324992,0.08,0.175,428604992,116.646,2.386,0.02668,0.087510005,279797000,217646624,244371008,-0.321,0.07,0.66258,0.64822,0.41175997,CAD,
1,610 East River Road,Suite 200,New Glasgow,NS,B2H 3S2,Canada,902 755 8100,902 755 6477,https://www.crombie.ca,REIT—Diversified,Real Estate,"Crombie invests in real estate that enriches local communities and enables long-term sustainable growth. As one of the country's leading owners, operators, and developers of quality real estate, Crombie's portfolio primarily includes grocery-anchored retail, retail-related industrial, and mixed-used residential properties in Canada's top urban and suburban markets. As at June 30, 2023, our portfolio contains 293 income-producing properties comprising approximately 18.6 million square feet, and a significant pipeline of future development projects.",303,"{'maxAge': 1, 'name': 'Mr. John Thomas Barnoski', 'age': 49, 'title': 'Exec. VP of Corp. Devel.', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 546525, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,4,3,3,1693526400,1672444800,86400,2,13.78,13.84,13.6,13.94,13.78,13.84,13.6,13.94,0.89,0.0644,1693353600,55.3921,5.91,0.860753,691.5,21.952381,569344,569344,162062,183770,183770,13.8,13.8,0,0,2487671296,12.66,17.07,5.804112,13.5684,15.0,0.885,0.06422351,CAD,4625341440,0.37063998,104845346,106198000,506611,450867,1690761600,1693440000,0.0028,0.012510001,0.23429,3.67,10.224,1.3526995,1672444800,1703980800,1688083200,-0.312,158858000,0.02,0.63,10.792,16.648,TOR,EQUITY,CRR-UN.TO,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT ,Crombie Real Estate Investment Trust,1143124200,America/Toronto,EDT,-14400000,13.83,18.25,15.0,16.89,17.0,2.3,buy,7,4650000,0.026,277828992,2142324992,0.08,0.175,428604992,116.646,2.386,0.02668,0.087510005,279797000,217646624,244371008,-0.321,0.07,0.66258,0.64822,0.41175997,CAD,
2,610 East River Road,Suite 200,New Glasgow,NS,B2H 3S2,Canada,902 755 8100,902 755 6477,https://www.crombie.ca,REIT—Diversified,Real Estate,"Crombie invests in real estate that enriches local communities and enables long-term sustainable growth. As one of the country's leading owners, operators, and developers of quality real estate, Crombie's portfolio primarily includes grocery-anchored retail, retail-related industrial, and mixed-used residential properties in Canada's top urban and suburban markets. As at June 30, 2023, our portfolio contains 293 income-producing properties comprising approximately 18.6 million square feet, and a significant pipeline of future development projects.",303,"{'maxAge': 1, 'name': 'Mr. Donald E. Clow F.C.A., FCA, FCPA', 'age': 60, 'title': 'Strategic Advisor', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1607263, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,4,3,3,1693526400,1672444800,86400,2,13.78,13.84,13.6,13.94,13.78,13.84,13.6,13.94,0.89,0.0644,1693353600,55.3921,5.91,0.860753,691.5,21.952381,569344,569344,162062,183770,183770,13.8,13.8,0,0,2487671296,12.66,17.07,5.804112,13.5684,15.0,0.885,0.06422351,CAD,4625341440,0.37063998,104845346,106198000,506611,450867,1690761600,1693440000,0.0028,0.012510001,0.23429,3.67,10.224,1.3526995,1672444800,1703980800,1688083200,-0.312,158858000,0.02,0.63,10.792,16.648,TOR,EQUITY,CRR-UN.TO,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT ,Crombie Real Estate Investment Trust,1143124200,America/Toronto,EDT,-14400000,13.83,18.25,15.0,16.89,17.0,2.3,buy,7,4650000,0.026,277828992,2142324992,0.08,0.175,428604992,116.646,2.386,0.02668,0.087510005,279797000,217646624,244371008,-0.321,0.07,0.66258,0.64822,0.41175997,CAD,
3,610 East River Road,Suite 200,New Glasgow,NS,B2H 3S2,Canada,902 755 8100,902 755 6477,https://www.crombie.ca,REIT—Diversified,Real Estate,"Crombie invests in real estate that enriches local communities and enables long-term sustainable growth. As one of the country's leading owners, operators, and developers of quality real estate, Crombie's portfolio primarily includes grocery-anchored retail, retail-related industrial, and mixed-used residential properties in Canada's top urban and suburban markets. As at June 30, 2023, our portfolio contains 293 income-producing properties comprising approximately 18.6 million square feet, and a significant pipeline of future development projects.",303,"{'maxAge': 1, 'name': 'Mr. Trevor  Lee', 'age': 54, 'title': 'Exec. VP of Devel. & Construction', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 483130, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,4,3,3,1693526400,1672444800,86400,2,13.78,13.84,13.6,13.94,13.78,13.84,13.6,13.94,0.89,0.0644,1693353600,55.3921,5.91,0.860753,691.5,21.952381,569344,569344,162062,183770,183770,13.8,13.8,0,0,2487671296,12.66,17.07,5.804112,13.5684,15.0,0.885,0.06422351,CAD,4625341440,0.37063998,104845346,106198000,506611,450867,1690761600,1693440000,0.0028,0.012510001,0.23429,3.67,10.224,1.3526995,1672444800,1703980800,1688083200,-0.312,158858000,0.02,0.63,10.792,16.648,TOR,EQUITY,CRR-UN.TO,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT ,Crombie Real Estate Investment Trust,1143124200,America/Toronto,EDT,-14400000,13.83,18.25,15.0,16.89,17.0,2.3,buy,7,4650000,0.026,277828992,2142324992,0.08,0.175,428604992,116.646,2.386,0.02668,0.087510005,279797000,217646624,244371008,-0.321,0.07,0.66258,0.64822,0.41175997,CAD,
4,610 East River Road,Suite 200,New Glasgow,NS,B2H 3S2,Canada,902 755 8100,902 755 6477,https://www.crombie.ca,REIT—Diversified,Real Estate,"Crombie invests in real estate that enriches local communities and enables long-term sustainable growth. As one of the country's leading owners, operators, and developers of quality real estate, Crombie's portfolio primarily includes grocery-anchored retail, retail-related industrial, and mixed-used residential properties in Canada's top urban and suburban markets. As at June 30, 2023, our portfolio contains 293 income-producing properties comprising approximately 18.6 million square feet, and a significant pipeline of future development projects.",303,"{'maxAge': 1, 'name': 'Mr. Arie  Bitton', 'age': 41, 'title': 'Exec. VP of Leasing & Operations', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 500587, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,4,3,3,1693526400,1672444800,86400,2,13.78,13.84,13.6,13.94,13.78,13.84,13.6,13.94,0.89,0.0644,1693353600,55.3921,5.91,0.860753,691.5,21.952381,569344,569344,162062,183770,183770,13.8,13.8,0,0,2487671296,12.66,17.07,5.804112,13.5684,15.0,0.885,0.06422351,CAD,4625341440,0.37063998,104845346,106198000,506611,450867,1690761600,1693440000,0.0028,0.012510001,0.23429,3.67,10.224,1.3526995,1672444800,1703980800,1688083200,-0.312,158858000,0.02,0.63,10.792,16.648,TOR,EQUITY,CRR-UN.TO,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT ,Crombie Real Estate Investment Trust,1143124200,America/Toronto,EDT,-14400000,13.83,18.25,15.0,16.89,17.0,2.3,buy,7,4650000,0.026,277828992,2142324992,0.08,0.175,428604992,116.646,2.386,0.02668,0.087510005,279797000,217646624,244371008,-0.321,0.07,0.66258,0.64822,0.41175997,CAD,
5,610 East River Road,Suite 200,New Glasgow,NS,B2H 3S2,Canada,902 755 8100,902 755 6477,https://www.crombie.ca,REIT—Diversified,Real Estate,"Crombie invests in real estate that enriches local communities and enables long-term sustainable growth. As one of the country's leading owners, operators, and developers of quality real estate, Crombie's portfolio primarily includes grocery-anchored retail, retail-related industrial, and mixed-used residential properties in Canada's top urban and suburban markets. As at June 30, 2023, our portfolio contains 293 income-producing properties comprising approximately 18.6 million square feet, and a significant pipeline of future development projects.",303,"{'maxAge': 1, 'name': 'Mr. Mark  Holly', 'age': 45, 'title': 'Pres, CEO & Trustee', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,4,3,3,1693526400,1672444800,86400,2,13.78,13.84,13.6,13.94,13.78,13.84,13.6,13.94,0.89,0.0644,1693353600,55.3921,5.91,0.860753,691.5,21.952381,569344,569344,162062,183770,183770,13.8,13.8,0,0,2487671296,12.66,17.07,5.804112,13.5684,15.0,0.885,0.06422351,CAD,4625341440,0.37063998,104845346,106198000,506611,450867,1690761600,1693440000,0.0028,0.012510001,0.23429,3.67,10.224,1.3526995,1672444800,1703980800,1688083200,-0.312,158858000,0.02,0.63,10.792,16.648,TOR,EQUITY,CRR-UN.TO,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT ,Crombie Real Estate Investment Trust,1143124200,America/Toronto,EDT,-14400000,13.83,18.25,15.0,16.89,17.0,2.3,buy,7,4650000,0.026,277828992,2142324992,0.08,0.175,428604992,116.646,2.386,0.02668,0.087510005,279797000,217646624,244371008,-0.321,0.07,0.66258,0.64822,0.41175997,CAD,
6,610 East River Road,Suite 200,New Glasgow,NS,B2H 3S2,Canada,902 755 8100,902 755 6477,https://www.crombie.ca,REIT—Diversified,Real Estate,"Crombie invests in real estate that enriches local communities and enables long-term sustainable growth. As one of the country's leading owners, operators, and developers of quality real estate, Crombie's portfolio primarily includes grocery-anchored retail, retail-related industrial, and mixed-used residential properties in Canada's top urban and suburban markets. As at June 30, 2023, our portfolio contains 293 income-producing properties comprising approximately 18.6 million square feet, and a significant pipeline of future development projects.",303,"{'maxAge': 1, 'name': 'Ms. Jennifer  Sieber', 'title': 'VP of Investments', 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,4,3,3,1693526400,1672444800,86400,2,13.78,13.84,13.6,13.94,13.78,13.84,13.6,13.94,0.89,0.0644,1693353600,55.3921,5.91,0.860753,691.5,21.952381,569344,569344,162062,183770,183770,13.8,13.8,0,0,2487671296,12.66,17.07,5.804112,13.5684,15.0,0.885,0.06422351,CAD,4625341440,0.37063998,104845346,106198000,506611,450867,1690761600,1693440000,0.0028,0.012510001,0.23429,3.67,10.224,1.3526995,1672444800,1703980800,1688083200,-0.312,158858000,0.02,0.63,10.792,16.648,TOR,EQUITY,CRR-UN.TO,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT ,Crombie Real Estate Investment Trust,1143124200,America/Toronto,EDT,-14400000,13.83,18.25,15.0,16.89,17.0,2.3,buy,7,4650000,0.026,277828992,2142324992,0.08,0.175,428604992,116.646,2.386,0.02668,0.087510005,279797000,217646624,244371008,-0.321,0.07,0.66258,0.64822,0.41175997,CAD,
7,610 East River Road,Suite 200,New Glasgow,NS,B2H 3S2,Canada,902 755 8100,902 755 6477,https://www.crombie.ca,REIT—Diversified,Real Estate,"Crombie invests in real estate that enriches local communities and enables long-term sustainable growth. As one of the country's leading owners, operators, and developers of quality real estate, Crombie's portfolio primarily includes grocery-anchored retail, retail-related industrial, and mixed-used residential properties in Canada's top urban and suburban markets. As at June 30, 2023, our portfolio contains 293 income-producing properties comprising approximately 18.6 million square feet, and a significant pipeline of future development projects.",303,"{'maxAge': 1, 'name': 'Ms. Kara  Cameron', 'title': 'VP of Accounting & Financial Reporting', 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,4,3,3,1693526400,1672444800,86400,2,13.78,13.84,13.6,13.94,13.78,13.84,13.6,13.94,0.89,0.0644,1693353600,55.3921,5.91,0.860753,691.5,21.952381,569344,569344,162062,183770,183770,13.8,13.8,0,0,2487671296,12.66,17.07,5.804112,13.5684,15.0,0.885,0.06422351,CAD,4625341440,0.37063998,104845346,106198000,506611,450867,1690761600,1693440000,0.0028,0.012510001,0.23429,3.67,10.224,1.3526995,1672444800,1703980800,1688083200,-0.312,158858000,0.02,0.63,10.792,16.648,TOR,EQUITY,CRR-UN.TO,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT ,Crombie Real Estate Investment Trust,1143124200,America/Toronto,EDT,-14400000,13.83,18.25,15.0,16.89,17.0,2.3,buy,7,4650000,0.026,277828992,2142324992,0.08,0.175,428604992,116.646,2.386,0.02668,0.087510005,279797000,217646624,244371008,-0.321,0.07,0.66258,0.64822,0.41175997,CAD,
8,610 East River Road,Suite 200,New Glasgow,NS,B2H 3S2,Canada,902 755 8100,902 755 6477,https://www.crombie.ca,REIT—Diversified,Real Estate,"Crombie invests in real estate that enriches local communities and enables long-term sustainable growth. As one of the country's leading owners, operators, and developers of quality real estate, Crombie's portfolio primarily includes grocery-anchored retail, retail-related industrial, and mixed-used residential properties in Canada's top urban and suburban markets. As at June 30, 2023, our portfolio contains 293 income-producing properties comprising approximately 18.6 million square feet, and a significant pipeline of future development projects.",303,"{'maxAge': 1, 'name': 'Ms. Ruth  Martin C.A., CPA', 'title': 'Director of Investor Relations & Financial Analysis', 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,4,3,3,1693526400,1672444800,86400,2,13.78,13.84,13.6,13.94,13.78,13.84,13.6,13.94,0.89,0.0644,1693353600,55.3921,5.91,0.860753,691.5,21.952381,569344,569344,162062,183770,183770,13.8,13.8,0,0,2487671296,12.66,17.07,5.804112,13.5684,15.0,0.885,0.06422351,CAD,4625341440,0.37063998,104845346,106198000,506611,450867,1690761600,1693440000,0.0028,0.012510001,0.23429,3.67,10.224,1.3526995,1672444800,1703980800,1688083200,-0.312,158858000,0.02,0.63,10.792,16.648,TOR,EQUITY,CRR-UN.TO,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT ,Crombie Real Estate Investment Trust,1143124200,America/Toronto,EDT,-14400000,13.83,18.25,15.0,16.89,17.0,2.3,buy,7,4650000,0.026,277828992,2142324992,0.08,0.175,428604992,116.646,2.386,0.02668,0.087510005,279797000,217646624,244371008,-0.321,0.07,0.66258,0.64822,0.41175997,CAD,
9,610 East River Road,Suite 200,New Glasgow,NS,B2H 3S2,Canada,902 755 8100,902 755 6477,https://www.crombie.ca,REIT—Diversified,Real Estate,"Crombie invests in real estate that enriches local communities and enables long-term sustainable growth. As one of the country's leading owners, operators, and developers of quality real estate, Crombie's portfolio primarily includes grocery-anchored retail, retail-related industrial, and mixed-used residential properties in Canada's top urban and suburban markets. As at June 30, 2023, our portfolio contains 293 income-producing properties comprising approximately 18.6 million square feet, and a significant pipeline of future development projects.",303,"{'maxAge': 1, 'name': 'Mr. Fred J. Santini', 'title': 'Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,4,3,3,1693526400,1672444800,86400,2,13.78,13.84,13.6,13.94,13.78,13.84,13.6,13.94,0.89,0.0644,1693353600,55.3921,5.91,0.860753,691.5,21.952381,569344,569344,162062,183770,183770,13.8,13.8,0,0,2487671296,12.66,17.07,5.804112,13.5684,15.0,0.885,0.06422351,CAD,4625341440,0.37063998,104845346,106198000,506611,450867,1690761600,1693440000,0.0028,0.012510001,0.23429,3.67,10.224,1.3526995,1672444800,1703980800,1688083200,-0.312,158858000,0.02,0.63,10.792,16.648,TOR,EQUITY,CRR-UN.TO,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT ,Crombie Real Estate Investment Trust,1143124200,America/Toronto,EDT,-14400000,13.83,18.25,15.0,16.89,17.0,2.3,buy,7,4650000,0.026,277828992,2142324992,0.08,0.175,428604992,116.646,2.386,0.02668,0.087510005,279797000,217646624,244371008,-0.321,0.07,0.66258,0.64822,0.41175997,CAD,
