,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10990 Wilshire Boulevard,7th Floor,Los Angeles,CA,90024,United States,310 231 4000,310 231 4222,https://www.kbhome.com,Residential Construction,Consumer Cyclical,"KB Home operates as a homebuilding company in the United States. It operates through four segments: West Coast, Southwest, Central, and Southeast. It builds and sells various homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, such as insurance products and title services. It has operations in Arizona, California, Colorado, Florida, Nevada, North Carolina, Texas, and Washington. The company was formerly known as Kaufman and Broad Home Corporation and changed its name to KB Home in January 2001. KB Home was founded in 1957 and is headquartered in Los Angeles, California.",2366,"{'maxAge': 1, 'name': 'Mr. Jeffrey T. Mezger', 'age': 66, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 8708909, 'exercisedValue': 0, 'unexercisedValue': 11872281}",2,4,5,3,3,1693526400,1672444800,86400,2,45.52,46.8,46.8,46.8,45.52,46.8,46.8,46.8,0.74,0.0162,1690934400,0.0691,1.15,1.674619,5.7849193,6.0231657,102,102,5,0,0,44.71,44.78,90000,90000,3854602240,26.375,49.9,0.5558543,47.126,39.1174,0.6,0.01318102,EUR,4825784320,0.109840006,77876429,80609904,0.13017,1.0008999,46.725,1.0016052,1669766400,1701302400,1685491200,-0.219,757134976,8.09,7.77,0.4,2:1,1114732800,0.696,4.505,FRA,EQUITY,KBH.F,KBH.F,KB HOME  DL 1,KB Home,983775600,Europe/Berlin,CEST,7200000,46.8,63.0,48.0,54.6,55.0,2.2,buy,10,557036992,6.91,1071217024,1713458048,1.044,6.942,6934555136,45.492,82.427,0.0992,0.21585,1742771000,916278016,1106960000,-0.166,0.026,0.23990999,0.15447,0.14949,USD,
1,10990 Wilshire Boulevard,7th Floor,Los Angeles,CA,90024,United States,310 231 4000,310 231 4222,https://www.kbhome.com,Residential Construction,Consumer Cyclical,"KB Home operates as a homebuilding company in the United States. It operates through four segments: West Coast, Southwest, Central, and Southeast. It builds and sells various homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, such as insurance products and title services. It has operations in Arizona, California, Colorado, Florida, Nevada, North Carolina, Texas, and Washington. The company was formerly known as Kaufman and Broad Home Corporation and changed its name to KB Home in January 2001. KB Home was founded in 1957 and is headquartered in Los Angeles, California.",2366,"{'maxAge': 1, 'name': 'Mr. Jeff J. Kaminski', 'age': 60, 'title': 'Exec. VP & CFO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 3117852, 'exercisedValue': 0, 'unexercisedValue': 4963988}",2,4,5,3,3,1693526400,1672444800,86400,2,45.52,46.8,46.8,46.8,45.52,46.8,46.8,46.8,0.74,0.0162,1690934400,0.0691,1.15,1.674619,5.7849193,6.0231657,102,102,5,0,0,44.71,44.78,90000,90000,3854602240,26.375,49.9,0.5558543,47.126,39.1174,0.6,0.01318102,EUR,4825784320,0.109840006,77876429,80609904,0.13017,1.0008999,46.725,1.0016052,1669766400,1701302400,1685491200,-0.219,757134976,8.09,7.77,0.4,2:1,1114732800,0.696,4.505,FRA,EQUITY,KBH.F,KBH.F,KB HOME  DL 1,KB Home,983775600,Europe/Berlin,CEST,7200000,46.8,63.0,48.0,54.6,55.0,2.2,buy,10,557036992,6.91,1071217024,1713458048,1.044,6.942,6934555136,45.492,82.427,0.0992,0.21585,1742771000,916278016,1106960000,-0.166,0.026,0.23990999,0.15447,0.14949,USD,
2,10990 Wilshire Boulevard,7th Floor,Los Angeles,CA,90024,United States,310 231 4000,310 231 4222,https://www.kbhome.com,Residential Construction,Consumer Cyclical,"KB Home operates as a homebuilding company in the United States. It operates through four segments: West Coast, Southwest, Central, and Southeast. It builds and sells various homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, such as insurance products and title services. It has operations in Arizona, California, Colorado, Florida, Nevada, North Carolina, Texas, and Washington. The company was formerly known as Kaufman and Broad Home Corporation and changed its name to KB Home in January 2001. KB Home was founded in 1957 and is headquartered in Los Angeles, California.",2366,"{'maxAge': 1, 'name': 'Mr. Robert V. McGibney', 'age': 47, 'title': 'Exec. VP & COO', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 4486440, 'exercisedValue': 0, 'unexercisedValue': 791484}",2,4,5,3,3,1693526400,1672444800,86400,2,45.52,46.8,46.8,46.8,45.52,46.8,46.8,46.8,0.74,0.0162,1690934400,0.0691,1.15,1.674619,5.7849193,6.0231657,102,102,5,0,0,44.71,44.78,90000,90000,3854602240,26.375,49.9,0.5558543,47.126,39.1174,0.6,0.01318102,EUR,4825784320,0.109840006,77876429,80609904,0.13017,1.0008999,46.725,1.0016052,1669766400,1701302400,1685491200,-0.219,757134976,8.09,7.77,0.4,2:1,1114732800,0.696,4.505,FRA,EQUITY,KBH.F,KBH.F,KB HOME  DL 1,KB Home,983775600,Europe/Berlin,CEST,7200000,46.8,63.0,48.0,54.6,55.0,2.2,buy,10,557036992,6.91,1071217024,1713458048,1.044,6.942,6934555136,45.492,82.427,0.0992,0.21585,1742771000,916278016,1106960000,-0.166,0.026,0.23990999,0.15447,0.14949,USD,
3,10990 Wilshire Boulevard,7th Floor,Los Angeles,CA,90024,United States,310 231 4000,310 231 4222,https://www.kbhome.com,Residential Construction,Consumer Cyclical,"KB Home operates as a homebuilding company in the United States. It operates through four segments: West Coast, Southwest, Central, and Southeast. It builds and sells various homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, such as insurance products and title services. It has operations in Arizona, California, Colorado, Florida, Nevada, North Carolina, Texas, and Washington. The company was formerly known as Kaufman and Broad Home Corporation and changed its name to KB Home in January 2001. KB Home was founded in 1957 and is headquartered in Los Angeles, California.",2366,"{'maxAge': 1, 'name': 'Mr. Brian J. Woram', 'age': 61, 'title': 'Exec. VP & Gen. Counsel', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 2192151, 'exercisedValue': 0, 'unexercisedValue': 2126269}",2,4,5,3,3,1693526400,1672444800,86400,2,45.52,46.8,46.8,46.8,45.52,46.8,46.8,46.8,0.74,0.0162,1690934400,0.0691,1.15,1.674619,5.7849193,6.0231657,102,102,5,0,0,44.71,44.78,90000,90000,3854602240,26.375,49.9,0.5558543,47.126,39.1174,0.6,0.01318102,EUR,4825784320,0.109840006,77876429,80609904,0.13017,1.0008999,46.725,1.0016052,1669766400,1701302400,1685491200,-0.219,757134976,8.09,7.77,0.4,2:1,1114732800,0.696,4.505,FRA,EQUITY,KBH.F,KBH.F,KB HOME  DL 1,KB Home,983775600,Europe/Berlin,CEST,7200000,46.8,63.0,48.0,54.6,55.0,2.2,buy,10,557036992,6.91,1071217024,1713458048,1.044,6.942,6934555136,45.492,82.427,0.0992,0.21585,1742771000,916278016,1106960000,-0.166,0.026,0.23990999,0.15447,0.14949,USD,
4,10990 Wilshire Boulevard,7th Floor,Los Angeles,CA,90024,United States,310 231 4000,310 231 4222,https://www.kbhome.com,Residential Construction,Consumer Cyclical,"KB Home operates as a homebuilding company in the United States. It operates through four segments: West Coast, Southwest, Central, and Southeast. It builds and sells various homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, such as insurance products and title services. It has operations in Arizona, California, Colorado, Florida, Nevada, North Carolina, Texas, and Washington. The company was formerly known as Kaufman and Broad Home Corporation and changed its name to KB Home in January 2001. KB Home was founded in 1957 and is headquartered in Los Angeles, California.",2366,"{'maxAge': 1, 'name': 'Mr. Albert Z. Praw', 'age': 73, 'title': 'Exec. VP of Real Estate & Bus. Devel.', 'yearBorn': 1949, 'fiscalYear': 2022, 'totalPay': 2523534, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,3,3,1693526400,1672444800,86400,2,45.52,46.8,46.8,46.8,45.52,46.8,46.8,46.8,0.74,0.0162,1690934400,0.0691,1.15,1.674619,5.7849193,6.0231657,102,102,5,0,0,44.71,44.78,90000,90000,3854602240,26.375,49.9,0.5558543,47.126,39.1174,0.6,0.01318102,EUR,4825784320,0.109840006,77876429,80609904,0.13017,1.0008999,46.725,1.0016052,1669766400,1701302400,1685491200,-0.219,757134976,8.09,7.77,0.4,2:1,1114732800,0.696,4.505,FRA,EQUITY,KBH.F,KBH.F,KB HOME  DL 1,KB Home,983775600,Europe/Berlin,CEST,7200000,46.8,63.0,48.0,54.6,55.0,2.2,buy,10,557036992,6.91,1071217024,1713458048,1.044,6.942,6934555136,45.492,82.427,0.0992,0.21585,1742771000,916278016,1106960000,-0.166,0.026,0.23990999,0.15447,0.14949,USD,
5,10990 Wilshire Boulevard,7th Floor,Los Angeles,CA,90024,United States,310 231 4000,310 231 4222,https://www.kbhome.com,Residential Construction,Consumer Cyclical,"KB Home operates as a homebuilding company in the United States. It operates through four segments: West Coast, Southwest, Central, and Southeast. It builds and sells various homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, such as insurance products and title services. It has operations in Arizona, California, Colorado, Florida, Nevada, North Carolina, Texas, and Washington. The company was formerly known as Kaufman and Broad Home Corporation and changed its name to KB Home in January 2001. KB Home was founded in 1957 and is headquartered in Los Angeles, California.",2366,"{'maxAge': 1, 'name': 'Mr. William R. Hollinger', 'age': 63, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1959, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,3,3,1693526400,1672444800,86400,2,45.52,46.8,46.8,46.8,45.52,46.8,46.8,46.8,0.74,0.0162,1690934400,0.0691,1.15,1.674619,5.7849193,6.0231657,102,102,5,0,0,44.71,44.78,90000,90000,3854602240,26.375,49.9,0.5558543,47.126,39.1174,0.6,0.01318102,EUR,4825784320,0.109840006,77876429,80609904,0.13017,1.0008999,46.725,1.0016052,1669766400,1701302400,1685491200,-0.219,757134976,8.09,7.77,0.4,2:1,1114732800,0.696,4.505,FRA,EQUITY,KBH.F,KBH.F,KB HOME  DL 1,KB Home,983775600,Europe/Berlin,CEST,7200000,46.8,63.0,48.0,54.6,55.0,2.2,buy,10,557036992,6.91,1071217024,1713458048,1.044,6.942,6934555136,45.492,82.427,0.0992,0.21585,1742771000,916278016,1106960000,-0.166,0.026,0.23990999,0.15447,0.14949,USD,
6,10990 Wilshire Boulevard,7th Floor,Los Angeles,CA,90024,United States,310 231 4000,310 231 4222,https://www.kbhome.com,Residential Construction,Consumer Cyclical,"KB Home operates as a homebuilding company in the United States. It operates through four segments: West Coast, Southwest, Central, and Southeast. It builds and sells various homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, such as insurance products and title services. It has operations in Arizona, California, Colorado, Florida, Nevada, North Carolina, Texas, and Washington. The company was formerly known as Kaufman and Broad Home Corporation and changed its name to KB Home in January 2001. KB Home was founded in 1957 and is headquartered in Los Angeles, California.",2366,"{'maxAge': 1, 'name': 'Mr. Dan  Bridleman', 'title': 'Sr. VP of Sustainability, Technology & Strategic Sourcing', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,3,3,1693526400,1672444800,86400,2,45.52,46.8,46.8,46.8,45.52,46.8,46.8,46.8,0.74,0.0162,1690934400,0.0691,1.15,1.674619,5.7849193,6.0231657,102,102,5,0,0,44.71,44.78,90000,90000,3854602240,26.375,49.9,0.5558543,47.126,39.1174,0.6,0.01318102,EUR,4825784320,0.109840006,77876429,80609904,0.13017,1.0008999,46.725,1.0016052,1669766400,1701302400,1685491200,-0.219,757134976,8.09,7.77,0.4,2:1,1114732800,0.696,4.505,FRA,EQUITY,KBH.F,KBH.F,KB HOME  DL 1,KB Home,983775600,Europe/Berlin,CEST,7200000,46.8,63.0,48.0,54.6,55.0,2.2,buy,10,557036992,6.91,1071217024,1713458048,1.044,6.942,6934555136,45.492,82.427,0.0992,0.21585,1742771000,916278016,1106960000,-0.166,0.026,0.23990999,0.15447,0.14949,USD,
7,10990 Wilshire Boulevard,7th Floor,Los Angeles,CA,90024,United States,310 231 4000,310 231 4222,https://www.kbhome.com,Residential Construction,Consumer Cyclical,"KB Home operates as a homebuilding company in the United States. It operates through four segments: West Coast, Southwest, Central, and Southeast. It builds and sells various homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, such as insurance products and title services. It has operations in Arizona, California, Colorado, Florida, Nevada, North Carolina, Texas, and Washington. The company was formerly known as Kaufman and Broad Home Corporation and changed its name to KB Home in January 2001. KB Home was founded in 1957 and is headquartered in Los Angeles, California.",2366,"{'maxAge': 1, 'name': 'Ms. Jill S. Peters', 'title': 'Sr. VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,3,3,1693526400,1672444800,86400,2,45.52,46.8,46.8,46.8,45.52,46.8,46.8,46.8,0.74,0.0162,1690934400,0.0691,1.15,1.674619,5.7849193,6.0231657,102,102,5,0,0,44.71,44.78,90000,90000,3854602240,26.375,49.9,0.5558543,47.126,39.1174,0.6,0.01318102,EUR,4825784320,0.109840006,77876429,80609904,0.13017,1.0008999,46.725,1.0016052,1669766400,1701302400,1685491200,-0.219,757134976,8.09,7.77,0.4,2:1,1114732800,0.696,4.505,FRA,EQUITY,KBH.F,KBH.F,KB HOME  DL 1,KB Home,983775600,Europe/Berlin,CEST,7200000,46.8,63.0,48.0,54.6,55.0,2.2,buy,10,557036992,6.91,1071217024,1713458048,1.044,6.942,6934555136,45.492,82.427,0.0992,0.21585,1742771000,916278016,1106960000,-0.166,0.026,0.23990999,0.15447,0.14949,USD,
8,10990 Wilshire Boulevard,7th Floor,Los Angeles,CA,90024,United States,310 231 4000,310 231 4222,https://www.kbhome.com,Residential Construction,Consumer Cyclical,"KB Home operates as a homebuilding company in the United States. It operates through four segments: West Coast, Southwest, Central, and Southeast. It builds and sells various homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, such as insurance products and title services. It has operations in Arizona, California, Colorado, Florida, Nevada, North Carolina, Texas, and Washington. The company was formerly known as Kaufman and Broad Home Corporation and changed its name to KB Home in January 2001. KB Home was founded in 1957 and is headquartered in Los Angeles, California.",2366,"{'maxAge': 1, 'name': 'Mr. Amit  Desai', 'title': 'Sr. VP & Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,3,3,1693526400,1672444800,86400,2,45.52,46.8,46.8,46.8,45.52,46.8,46.8,46.8,0.74,0.0162,1690934400,0.0691,1.15,1.674619,5.7849193,6.0231657,102,102,5,0,0,44.71,44.78,90000,90000,3854602240,26.375,49.9,0.5558543,47.126,39.1174,0.6,0.01318102,EUR,4825784320,0.109840006,77876429,80609904,0.13017,1.0008999,46.725,1.0016052,1669766400,1701302400,1685491200,-0.219,757134976,8.09,7.77,0.4,2:1,1114732800,0.696,4.505,FRA,EQUITY,KBH.F,KBH.F,KB HOME  DL 1,KB Home,983775600,Europe/Berlin,CEST,7200000,46.8,63.0,48.0,54.6,55.0,2.2,buy,10,557036992,6.91,1071217024,1713458048,1.044,6.942,6934555136,45.492,82.427,0.0992,0.21585,1742771000,916278016,1106960000,-0.166,0.026,0.23990999,0.15447,0.14949,USD,
9,10990 Wilshire Boulevard,7th Floor,Los Angeles,CA,90024,United States,310 231 4000,310 231 4222,https://www.kbhome.com,Residential Construction,Consumer Cyclical,"KB Home operates as a homebuilding company in the United States. It operates through four segments: West Coast, Southwest, Central, and Southeast. It builds and sells various homes, including attached and detached single-family residential homes, townhomes, and condominiums primarily for first-time, first move-up, second move-up, and active adult homebuyers. The company also provides financial services, such as insurance products and title services. It has operations in Arizona, California, Colorado, Florida, Nevada, North Carolina, Texas, and Washington. The company was formerly known as Kaufman and Broad Home Corporation and changed its name to KB Home in January 2001. KB Home was founded in 1957 and is headquartered in Los Angeles, California.",2366,"{'maxAge': 1, 'name': 'Mr. Thomas F. Norton', 'age': 51, 'title': 'Sr. VP of HR', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,5,3,3,1693526400,1672444800,86400,2,45.52,46.8,46.8,46.8,45.52,46.8,46.8,46.8,0.74,0.0162,1690934400,0.0691,1.15,1.674619,5.7849193,6.0231657,102,102,5,0,0,44.71,44.78,90000,90000,3854602240,26.375,49.9,0.5558543,47.126,39.1174,0.6,0.01318102,EUR,4825784320,0.109840006,77876429,80609904,0.13017,1.0008999,46.725,1.0016052,1669766400,1701302400,1685491200,-0.219,757134976,8.09,7.77,0.4,2:1,1114732800,0.696,4.505,FRA,EQUITY,KBH.F,KBH.F,KB HOME  DL 1,KB Home,983775600,Europe/Berlin,CEST,7200000,46.8,63.0,48.0,54.6,55.0,2.2,buy,10,557036992,6.91,1071217024,1713458048,1.044,6.942,6934555136,45.492,82.427,0.0992,0.21585,1742771000,916278016,1106960000,-0.166,0.026,0.23990999,0.15447,0.14949,USD,
