,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,89 Whitfield Street,London,W1T 4DE,United Kingdom,44 0 20 3328 5800,https://www.nrr.co.uk,REIT—Retail,Real Estate,"NewRiver REIT plc ('NewRiver') is a leading Real Estate Investment Trust specialising in buying, managing and developing resilient retail assets throughout the UK. Our £0.6 billion UK wide portfolio covers 7 million sq ft and comprises 26 community shopping centres and 14 conveniently located retail parks occupied by tenants predominately focused on essential goods and services. Our objective is to own and manage the most resilient retail portfolio in the UK, focused on retail parks, core shopping centres, and regeneration opportunities in order to deliver long-term attractive recurring income returns and capital growth for our shareholders. NewRiver has a Premium Listing on the Main Market of the London Stock Exchange (ticker: NRR).",51,"{'maxAge': 1, 'name': 'Mr. Allan  Lockhart', 'age': 57, 'title': 'Founder, CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 1029601, 'exercisedValue': 0, 'unexercisedValue': 101896}",1703980800,86400,2,83.7,83.45,81.5,84.3,83.7,83.45,81.5,84.3,0.07,0.082200006,1686787200,1.062312,10.382166,450454,450454,401538,269612,269612,81.5,87.8,0,0,256594592,66.699,96.0,3.4350011,83.008,84.766,0.067,0.0008004779,GBp,517809856,-0.22489999,307132246,311400992,0.10341,0.47402,1.22,66.803276,1680220800,1711843200,1680220800,-16800000,-0.05,7.85,-3.49,6.932,13.591,LSE,EQUITY,NRR.L,NRR.L,NEWRIVER REIT PLC ORD 1P,NewRiver REIT plc,1251874800,Europe/London,BST,3600000,81.5,121.0,85.0,100.6,102.0,1.5,strong_buy,5,108600000,0.35,38100000,373400000,3.95,4.134,74700000,98.626,0.241,0.02944,-0.04239,47100000,15437500,25800000,-0.068,0.66399,0.51004004,0.50469,GBP,
1,89 Whitfield Street,London,W1T 4DE,United Kingdom,44 0 20 3328 5800,https://www.nrr.co.uk,REIT—Retail,Real Estate,"NewRiver REIT plc ('NewRiver') is a leading Real Estate Investment Trust specialising in buying, managing and developing resilient retail assets throughout the UK. Our £0.6 billion UK wide portfolio covers 7 million sq ft and comprises 26 community shopping centres and 14 conveniently located retail parks occupied by tenants predominately focused on essential goods and services. Our objective is to own and manage the most resilient retail portfolio in the UK, focused on retail parks, core shopping centres, and regeneration opportunities in order to deliver long-term attractive recurring income returns and capital growth for our shareholders. NewRiver has a Premium Listing on the Main Market of the London Stock Exchange (ticker: NRR).",51,"{'maxAge': 1, 'name': 'Mr. William Thomas Hobman', 'age': 39, 'title': 'CFO & Director', 'yearBorn': 1983, 'fiscalYear': 2023, 'totalPay': 674918, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,83.7,83.45,81.5,84.3,83.7,83.45,81.5,84.3,0.07,0.082200006,1686787200,1.062312,10.382166,450454,450454,401538,269612,269612,81.5,87.8,0,0,256594592,66.699,96.0,3.4350011,83.008,84.766,0.067,0.0008004779,GBp,517809856,-0.22489999,307132246,311400992,0.10341,0.47402,1.22,66.803276,1680220800,1711843200,1680220800,-16800000,-0.05,7.85,-3.49,6.932,13.591,LSE,EQUITY,NRR.L,NRR.L,NEWRIVER REIT PLC ORD 1P,NewRiver REIT plc,1251874800,Europe/London,BST,3600000,81.5,121.0,85.0,100.6,102.0,1.5,strong_buy,5,108600000,0.35,38100000,373400000,3.95,4.134,74700000,98.626,0.241,0.02944,-0.04239,47100000,15437500,25800000,-0.068,0.66399,0.51004004,0.50469,GBP,
2,89 Whitfield Street,London,W1T 4DE,United Kingdom,44 0 20 3328 5800,https://www.nrr.co.uk,REIT—Retail,Real Estate,"NewRiver REIT plc ('NewRiver') is a leading Real Estate Investment Trust specialising in buying, managing and developing resilient retail assets throughout the UK. Our £0.6 billion UK wide portfolio covers 7 million sq ft and comprises 26 community shopping centres and 14 conveniently located retail parks occupied by tenants predominately focused on essential goods and services. Our objective is to own and manage the most resilient retail portfolio in the UK, focused on retail parks, core shopping centres, and regeneration opportunities in order to deliver long-term attractive recurring income returns and capital growth for our shareholders. NewRiver has a Premium Listing on the Main Market of the London Stock Exchange (ticker: NRR).",51,"{'maxAge': 1, 'name': 'Ms. Edith  Monfries', 'title': 'Chief Operating & People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,83.7,83.45,81.5,84.3,83.7,83.45,81.5,84.3,0.07,0.082200006,1686787200,1.062312,10.382166,450454,450454,401538,269612,269612,81.5,87.8,0,0,256594592,66.699,96.0,3.4350011,83.008,84.766,0.067,0.0008004779,GBp,517809856,-0.22489999,307132246,311400992,0.10341,0.47402,1.22,66.803276,1680220800,1711843200,1680220800,-16800000,-0.05,7.85,-3.49,6.932,13.591,LSE,EQUITY,NRR.L,NRR.L,NEWRIVER REIT PLC ORD 1P,NewRiver REIT plc,1251874800,Europe/London,BST,3600000,81.5,121.0,85.0,100.6,102.0,1.5,strong_buy,5,108600000,0.35,38100000,373400000,3.95,4.134,74700000,98.626,0.241,0.02944,-0.04239,47100000,15437500,25800000,-0.068,0.66399,0.51004004,0.50469,GBP,
3,89 Whitfield Street,London,W1T 4DE,United Kingdom,44 0 20 3328 5800,https://www.nrr.co.uk,REIT—Retail,Real Estate,"NewRiver REIT plc ('NewRiver') is a leading Real Estate Investment Trust specialising in buying, managing and developing resilient retail assets throughout the UK. Our £0.6 billion UK wide portfolio covers 7 million sq ft and comprises 26 community shopping centres and 14 conveniently located retail parks occupied by tenants predominately focused on essential goods and services. Our objective is to own and manage the most resilient retail portfolio in the UK, focused on retail parks, core shopping centres, and regeneration opportunities in order to deliver long-term attractive recurring income returns and capital growth for our shareholders. NewRiver has a Premium Listing on the Main Market of the London Stock Exchange (ticker: NRR).",51,"{'maxAge': 1, 'name': 'Mr. Lawrence  Fisher', 'title': 'Head of Corp. Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,83.7,83.45,81.5,84.3,83.7,83.45,81.5,84.3,0.07,0.082200006,1686787200,1.062312,10.382166,450454,450454,401538,269612,269612,81.5,87.8,0,0,256594592,66.699,96.0,3.4350011,83.008,84.766,0.067,0.0008004779,GBp,517809856,-0.22489999,307132246,311400992,0.10341,0.47402,1.22,66.803276,1680220800,1711843200,1680220800,-16800000,-0.05,7.85,-3.49,6.932,13.591,LSE,EQUITY,NRR.L,NRR.L,NEWRIVER REIT PLC ORD 1P,NewRiver REIT plc,1251874800,Europe/London,BST,3600000,81.5,121.0,85.0,100.6,102.0,1.5,strong_buy,5,108600000,0.35,38100000,373400000,3.95,4.134,74700000,98.626,0.241,0.02944,-0.04239,47100000,15437500,25800000,-0.068,0.66399,0.51004004,0.50469,GBP,
4,89 Whitfield Street,London,W1T 4DE,United Kingdom,44 0 20 3328 5800,https://www.nrr.co.uk,REIT—Retail,Real Estate,"NewRiver REIT plc ('NewRiver') is a leading Real Estate Investment Trust specialising in buying, managing and developing resilient retail assets throughout the UK. Our £0.6 billion UK wide portfolio covers 7 million sq ft and comprises 26 community shopping centres and 14 conveniently located retail parks occupied by tenants predominately focused on essential goods and services. Our objective is to own and manage the most resilient retail portfolio in the UK, focused on retail parks, core shopping centres, and regeneration opportunities in order to deliver long-term attractive recurring income returns and capital growth for our shareholders. NewRiver has a Premium Listing on the Main Market of the London Stock Exchange (ticker: NRR).",51,"{'maxAge': 1, 'name': 'Ms. Lucy  Mitchell', 'title': 'Director of Corp. Communications, PR & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,83.7,83.45,81.5,84.3,83.7,83.45,81.5,84.3,0.07,0.082200006,1686787200,1.062312,10.382166,450454,450454,401538,269612,269612,81.5,87.8,0,0,256594592,66.699,96.0,3.4350011,83.008,84.766,0.067,0.0008004779,GBp,517809856,-0.22489999,307132246,311400992,0.10341,0.47402,1.22,66.803276,1680220800,1711843200,1680220800,-16800000,-0.05,7.85,-3.49,6.932,13.591,LSE,EQUITY,NRR.L,NRR.L,NEWRIVER REIT PLC ORD 1P,NewRiver REIT plc,1251874800,Europe/London,BST,3600000,81.5,121.0,85.0,100.6,102.0,1.5,strong_buy,5,108600000,0.35,38100000,373400000,3.95,4.134,74700000,98.626,0.241,0.02944,-0.04239,47100000,15437500,25800000,-0.068,0.66399,0.51004004,0.50469,GBP,
5,89 Whitfield Street,London,W1T 4DE,United Kingdom,44 0 20 3328 5800,https://www.nrr.co.uk,REIT—Retail,Real Estate,"NewRiver REIT plc ('NewRiver') is a leading Real Estate Investment Trust specialising in buying, managing and developing resilient retail assets throughout the UK. Our £0.6 billion UK wide portfolio covers 7 million sq ft and comprises 26 community shopping centres and 14 conveniently located retail parks occupied by tenants predominately focused on essential goods and services. Our objective is to own and manage the most resilient retail portfolio in the UK, focused on retail parks, core shopping centres, and regeneration opportunities in order to deliver long-term attractive recurring income returns and capital growth for our shareholders. NewRiver has a Premium Listing on the Main Market of the London Stock Exchange (ticker: NRR).",51,"{'maxAge': 1, 'name': 'Mr. Charles  Spooner', 'title': 'Head of Capital Markets', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,83.7,83.45,81.5,84.3,83.7,83.45,81.5,84.3,0.07,0.082200006,1686787200,1.062312,10.382166,450454,450454,401538,269612,269612,81.5,87.8,0,0,256594592,66.699,96.0,3.4350011,83.008,84.766,0.067,0.0008004779,GBp,517809856,-0.22489999,307132246,311400992,0.10341,0.47402,1.22,66.803276,1680220800,1711843200,1680220800,-16800000,-0.05,7.85,-3.49,6.932,13.591,LSE,EQUITY,NRR.L,NRR.L,NEWRIVER REIT PLC ORD 1P,NewRiver REIT plc,1251874800,Europe/London,BST,3600000,81.5,121.0,85.0,100.6,102.0,1.5,strong_buy,5,108600000,0.35,38100000,373400000,3.95,4.134,74700000,98.626,0.241,0.02944,-0.04239,47100000,15437500,25800000,-0.068,0.66399,0.51004004,0.50469,GBP,
6,89 Whitfield Street,London,W1T 4DE,United Kingdom,44 0 20 3328 5800,https://www.nrr.co.uk,REIT—Retail,Real Estate,"NewRiver REIT plc ('NewRiver') is a leading Real Estate Investment Trust specialising in buying, managing and developing resilient retail assets throughout the UK. Our £0.6 billion UK wide portfolio covers 7 million sq ft and comprises 26 community shopping centres and 14 conveniently located retail parks occupied by tenants predominately focused on essential goods and services. Our objective is to own and manage the most resilient retail portfolio in the UK, focused on retail parks, core shopping centres, and regeneration opportunities in order to deliver long-term attractive recurring income returns and capital growth for our shareholders. NewRiver has a Premium Listing on the Main Market of the London Stock Exchange (ticker: NRR).",51,"{'maxAge': 1, 'name': 'Ms. Emma  MacKenzie', 'title': 'Head of Asset Management & Head of ESG', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,83.7,83.45,81.5,84.3,83.7,83.45,81.5,84.3,0.07,0.082200006,1686787200,1.062312,10.382166,450454,450454,401538,269612,269612,81.5,87.8,0,0,256594592,66.699,96.0,3.4350011,83.008,84.766,0.067,0.0008004779,GBp,517809856,-0.22489999,307132246,311400992,0.10341,0.47402,1.22,66.803276,1680220800,1711843200,1680220800,-16800000,-0.05,7.85,-3.49,6.932,13.591,LSE,EQUITY,NRR.L,NRR.L,NEWRIVER REIT PLC ORD 1P,NewRiver REIT plc,1251874800,Europe/London,BST,3600000,81.5,121.0,85.0,100.6,102.0,1.5,strong_buy,5,108600000,0.35,38100000,373400000,3.95,4.134,74700000,98.626,0.241,0.02944,-0.04239,47100000,15437500,25800000,-0.068,0.66399,0.51004004,0.50469,GBP,
7,89 Whitfield Street,London,W1T 4DE,United Kingdom,44 0 20 3328 5800,https://www.nrr.co.uk,REIT—Retail,Real Estate,"NewRiver REIT plc ('NewRiver') is a leading Real Estate Investment Trust specialising in buying, managing and developing resilient retail assets throughout the UK. Our £0.6 billion UK wide portfolio covers 7 million sq ft and comprises 26 community shopping centres and 14 conveniently located retail parks occupied by tenants predominately focused on essential goods and services. Our objective is to own and manage the most resilient retail portfolio in the UK, focused on retail parks, core shopping centres, and regeneration opportunities in order to deliver long-term attractive recurring income returns and capital growth for our shareholders. NewRiver has a Premium Listing on the Main Market of the London Stock Exchange (ticker: NRR).",51,"{'maxAge': 1, 'name': 'Ms. Jackie  Tracey', 'title': 'Head of Commercial Partnerships', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,83.7,83.45,81.5,84.3,83.7,83.45,81.5,84.3,0.07,0.082200006,1686787200,1.062312,10.382166,450454,450454,401538,269612,269612,81.5,87.8,0,0,256594592,66.699,96.0,3.4350011,83.008,84.766,0.067,0.0008004779,GBp,517809856,-0.22489999,307132246,311400992,0.10341,0.47402,1.22,66.803276,1680220800,1711843200,1680220800,-16800000,-0.05,7.85,-3.49,6.932,13.591,LSE,EQUITY,NRR.L,NRR.L,NEWRIVER REIT PLC ORD 1P,NewRiver REIT plc,1251874800,Europe/London,BST,3600000,81.5,121.0,85.0,100.6,102.0,1.5,strong_buy,5,108600000,0.35,38100000,373400000,3.95,4.134,74700000,98.626,0.241,0.02944,-0.04239,47100000,15437500,25800000,-0.068,0.66399,0.51004004,0.50469,GBP,
8,89 Whitfield Street,London,W1T 4DE,United Kingdom,44 0 20 3328 5800,https://www.nrr.co.uk,REIT—Retail,Real Estate,"NewRiver REIT plc ('NewRiver') is a leading Real Estate Investment Trust specialising in buying, managing and developing resilient retail assets throughout the UK. Our £0.6 billion UK wide portfolio covers 7 million sq ft and comprises 26 community shopping centres and 14 conveniently located retail parks occupied by tenants predominately focused on essential goods and services. Our objective is to own and manage the most resilient retail portfolio in the UK, focused on retail parks, core shopping centres, and regeneration opportunities in order to deliver long-term attractive recurring income returns and capital growth for our shareholders. NewRiver has a Premium Listing on the Main Market of the London Stock Exchange (ticker: NRR).",51,"{'maxAge': 1, 'name': 'Mr. Adam  Connor', 'title': 'Head of FP&A', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,83.7,83.45,81.5,84.3,83.7,83.45,81.5,84.3,0.07,0.082200006,1686787200,1.062312,10.382166,450454,450454,401538,269612,269612,81.5,87.8,0,0,256594592,66.699,96.0,3.4350011,83.008,84.766,0.067,0.0008004779,GBp,517809856,-0.22489999,307132246,311400992,0.10341,0.47402,1.22,66.803276,1680220800,1711843200,1680220800,-16800000,-0.05,7.85,-3.49,6.932,13.591,LSE,EQUITY,NRR.L,NRR.L,NEWRIVER REIT PLC ORD 1P,NewRiver REIT plc,1251874800,Europe/London,BST,3600000,81.5,121.0,85.0,100.6,102.0,1.5,strong_buy,5,108600000,0.35,38100000,373400000,3.95,4.134,74700000,98.626,0.241,0.02944,-0.04239,47100000,15437500,25800000,-0.068,0.66399,0.51004004,0.50469,GBP,
9,89 Whitfield Street,London,W1T 4DE,United Kingdom,44 0 20 3328 5800,https://www.nrr.co.uk,REIT—Retail,Real Estate,"NewRiver REIT plc ('NewRiver') is a leading Real Estate Investment Trust specialising in buying, managing and developing resilient retail assets throughout the UK. Our £0.6 billion UK wide portfolio covers 7 million sq ft and comprises 26 community shopping centres and 14 conveniently located retail parks occupied by tenants predominately focused on essential goods and services. Our objective is to own and manage the most resilient retail portfolio in the UK, focused on retail parks, core shopping centres, and regeneration opportunities in order to deliver long-term attractive recurring income returns and capital growth for our shareholders. NewRiver has a Premium Listing on the Main Market of the London Stock Exchange (ticker: NRR).",51,"{'maxAge': 1, 'name': 'Ms. Annabelle  Cooper', 'title': 'Group Financial Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,83.7,83.45,81.5,84.3,83.7,83.45,81.5,84.3,0.07,0.082200006,1686787200,1.062312,10.382166,450454,450454,401538,269612,269612,81.5,87.8,0,0,256594592,66.699,96.0,3.4350011,83.008,84.766,0.067,0.0008004779,GBp,517809856,-0.22489999,307132246,311400992,0.10341,0.47402,1.22,66.803276,1680220800,1711843200,1680220800,-16800000,-0.05,7.85,-3.49,6.932,13.591,LSE,EQUITY,NRR.L,NRR.L,NEWRIVER REIT PLC ORD 1P,NewRiver REIT plc,1251874800,Europe/London,BST,3600000,81.5,121.0,85.0,100.6,102.0,1.5,strong_buy,5,108600000,0.35,38100000,373400000,3.95,4.134,74700000,98.626,0.241,0.02944,-0.04239,47100000,15437500,25800000,-0.068,0.66399,0.51004004,0.50469,GBP,
