,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=MWY5ZDg=&bid=YjUxNQ==&mid=MjJmMTI=&num=NmVjMTI=&kid=Mzc2MDA=&pid=obj&rid=111-=edoc_dnuf,Asset Management,Financial Services,"The Gabelli Equity Trust Inc. is a closed ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets of the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in preferred stock, convertible or exchangeable securities, and warrants and rights. The fund primarily invests in value stocks of companies across market capitalizations. It employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. The fund seeks to benchmarks the performance of its portfolio against the S&P 500 Index, Dow Jones Industrial Average, and Nasdaq Composite Index. The Gabelli Equity Trust Inc. was formed on August 21, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Carter W. Austin', 'age': 56, 'title': 'Sr. VP', 'yearBorn': 1966, 'fiscalYear': 2013, 'totalPay': 60000, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,5.34,5.31,5.26,5.37,5.34,5.31,5.26,5.37,0.6,0.113900006,1694649600,0.5405,10.27,0.952282,4.747748,464539,464539,453095,526530,526530,5.27,5.44,3100,4000,1576863104,4.84,6.19,46.783905,5.5304,5.63995,0.6,0.11235955,USD,1997915392,9.313661,299215008,161624,20324,1690761600,1693440000,0.0005,0.0057599996,0.07056,0.36,0.0005,5.295,0.99527854,1672444800,1703980800,1688083200,294518272,1.11,1008:1000,1509667200,59.276,NYQ,EQUITY,GAB,GAB,"Gabelli Equity Trust, Inc. (The",The Gabelli Equity Trust Inc.,524410200,America/New_York,EDT,-14400000,5.27,none,3576127,0.012,68550000,3.369,3.383,33705248,3.533,0.113,0.00403,0.16791001,31736456,4130602,155796784,0.127,1.0,0.0,0.37096,USD,
1,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=MWY5ZDg=&bid=YjUxNQ==&mid=MjJmMTI=&num=NmVjMTI=&kid=Mzc2MDA=&pid=obj&rid=111-=edoc_dnuf,Asset Management,Financial Services,"The Gabelli Equity Trust Inc. is a closed ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets of the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in preferred stock, convertible or exchangeable securities, and warrants and rights. The fund primarily invests in value stocks of companies across market capitalizations. It employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. The fund seeks to benchmarks the performance of its portfolio against the S&P 500 Index, Dow Jones Industrial Average, and Nasdaq Composite Index. The Gabelli Equity Trust Inc. was formed on August 21, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Molly A.F. Marion', 'age': 68, 'title': 'VP', 'yearBorn': 1954, 'fiscalYear': 2013, 'totalPay': 80000, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,5.34,5.31,5.26,5.37,5.34,5.31,5.26,5.37,0.6,0.113900006,1694649600,0.5405,10.27,0.952282,4.747748,464539,464539,453095,526530,526530,5.27,5.44,3100,4000,1576863104,4.84,6.19,46.783905,5.5304,5.63995,0.6,0.11235955,USD,1997915392,9.313661,299215008,161624,20324,1690761600,1693440000,0.0005,0.0057599996,0.07056,0.36,0.0005,5.295,0.99527854,1672444800,1703980800,1688083200,294518272,1.11,1008:1000,1509667200,59.276,NYQ,EQUITY,GAB,GAB,"Gabelli Equity Trust, Inc. (The",The Gabelli Equity Trust Inc.,524410200,America/New_York,EDT,-14400000,5.27,none,3576127,0.012,68550000,3.369,3.383,33705248,3.533,0.113,0.00403,0.16791001,31736456,4130602,155796784,0.127,1.0,0.0,0.37096,USD,
2,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=MWY5ZDg=&bid=YjUxNQ==&mid=MjJmMTI=&num=NmVjMTI=&kid=Mzc2MDA=&pid=obj&rid=111-=edoc_dnuf,Asset Management,Financial Services,"The Gabelli Equity Trust Inc. is a closed ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets of the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in preferred stock, convertible or exchangeable securities, and warrants and rights. The fund primarily invests in value stocks of companies across market capitalizations. It employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. The fund seeks to benchmarks the performance of its portfolio against the S&P 500 Index, Dow Jones Industrial Average, and Nasdaq Composite Index. The Gabelli Equity Trust Inc. was formed on August 21, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Mario Joseph Gabelli C.F.A., CFA', 'age': 79, 'title': 'Portfolio Mang.', 'yearBorn': 1943, 'fiscalYear': 2013, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,5.34,5.31,5.26,5.37,5.34,5.31,5.26,5.37,0.6,0.113900006,1694649600,0.5405,10.27,0.952282,4.747748,464539,464539,453095,526530,526530,5.27,5.44,3100,4000,1576863104,4.84,6.19,46.783905,5.5304,5.63995,0.6,0.11235955,USD,1997915392,9.313661,299215008,161624,20324,1690761600,1693440000,0.0005,0.0057599996,0.07056,0.36,0.0005,5.295,0.99527854,1672444800,1703980800,1688083200,294518272,1.11,1008:1000,1509667200,59.276,NYQ,EQUITY,GAB,GAB,"Gabelli Equity Trust, Inc. (The",The Gabelli Equity Trust Inc.,524410200,America/New_York,EDT,-14400000,5.27,none,3576127,0.012,68550000,3.369,3.383,33705248,3.533,0.113,0.00403,0.16791001,31736456,4130602,155796784,0.127,1.0,0.0,0.37096,USD,
3,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=MWY5ZDg=&bid=YjUxNQ==&mid=MjJmMTI=&num=NmVjMTI=&kid=Mzc2MDA=&pid=obj&rid=111-=edoc_dnuf,Asset Management,Financial Services,"The Gabelli Equity Trust Inc. is a closed ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets of the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in preferred stock, convertible or exchangeable securities, and warrants and rights. The fund primarily invests in value stocks of companies across market capitalizations. It employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. The fund seeks to benchmarks the performance of its portfolio against the S&P 500 Index, Dow Jones Industrial Average, and Nasdaq Composite Index. The Gabelli Equity Trust Inc. was formed on August 21, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Bruce N. Alpert CPA, CPA', 'age': 70, 'title': 'Principal Exec. Officer, Pres and Chief Operating Officer of Gabelli Funds Llc', 'yearBorn': 1952, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,5.34,5.31,5.26,5.37,5.34,5.31,5.26,5.37,0.6,0.113900006,1694649600,0.5405,10.27,0.952282,4.747748,464539,464539,453095,526530,526530,5.27,5.44,3100,4000,1576863104,4.84,6.19,46.783905,5.5304,5.63995,0.6,0.11235955,USD,1997915392,9.313661,299215008,161624,20324,1690761600,1693440000,0.0005,0.0057599996,0.07056,0.36,0.0005,5.295,0.99527854,1672444800,1703980800,1688083200,294518272,1.11,1008:1000,1509667200,59.276,NYQ,EQUITY,GAB,GAB,"Gabelli Equity Trust, Inc. (The",The Gabelli Equity Trust Inc.,524410200,America/New_York,EDT,-14400000,5.27,none,3576127,0.012,68550000,3.369,3.383,33705248,3.533,0.113,0.00403,0.16791001,31736456,4130602,155796784,0.127,1.0,0.0,0.37096,USD,
4,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=MWY5ZDg=&bid=YjUxNQ==&mid=MjJmMTI=&num=NmVjMTI=&kid=Mzc2MDA=&pid=obj&rid=111-=edoc_dnuf,Asset Management,Financial Services,"The Gabelli Equity Trust Inc. is a closed ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets of the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in preferred stock, convertible or exchangeable securities, and warrants and rights. The fund primarily invests in value stocks of companies across market capitalizations. It employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. The fund seeks to benchmarks the performance of its portfolio against the S&P 500 Index, Dow Jones Industrial Average, and Nasdaq Composite Index. The Gabelli Equity Trust Inc. was formed on August 21, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Douglas Richard Jamieson', 'age': 68, 'title': 'Pres of GAMCO and Chief Operating Officer of GAMCO', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,5.34,5.31,5.26,5.37,5.34,5.31,5.26,5.37,0.6,0.113900006,1694649600,0.5405,10.27,0.952282,4.747748,464539,464539,453095,526530,526530,5.27,5.44,3100,4000,1576863104,4.84,6.19,46.783905,5.5304,5.63995,0.6,0.11235955,USD,1997915392,9.313661,299215008,161624,20324,1690761600,1693440000,0.0005,0.0057599996,0.07056,0.36,0.0005,5.295,0.99527854,1672444800,1703980800,1688083200,294518272,1.11,1008:1000,1509667200,59.276,NYQ,EQUITY,GAB,GAB,"Gabelli Equity Trust, Inc. (The",The Gabelli Equity Trust Inc.,524410200,America/New_York,EDT,-14400000,5.27,none,3576127,0.012,68550000,3.369,3.383,33705248,3.533,0.113,0.00403,0.16791001,31736456,4130602,155796784,0.127,1.0,0.0,0.37096,USD,
5,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=MWY5ZDg=&bid=YjUxNQ==&mid=MjJmMTI=&num=NmVjMTI=&kid=Mzc2MDA=&pid=obj&rid=111-=edoc_dnuf,Asset Management,Financial Services,"The Gabelli Equity Trust Inc. is a closed ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets of the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in preferred stock, convertible or exchangeable securities, and warrants and rights. The fund primarily invests in value stocks of companies across market capitalizations. It employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. The fund seeks to benchmarks the performance of its portfolio against the S&P 500 Index, Dow Jones Industrial Average, and Nasdaq Composite Index. The Gabelli Equity Trust Inc. was formed on August 21, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. David I. Schachter', 'age': 69, 'title': 'VP', 'yearBorn': 1953, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,5.34,5.31,5.26,5.37,5.34,5.31,5.26,5.37,0.6,0.113900006,1694649600,0.5405,10.27,0.952282,4.747748,464539,464539,453095,526530,526530,5.27,5.44,3100,4000,1576863104,4.84,6.19,46.783905,5.5304,5.63995,0.6,0.11235955,USD,1997915392,9.313661,299215008,161624,20324,1690761600,1693440000,0.0005,0.0057599996,0.07056,0.36,0.0005,5.295,0.99527854,1672444800,1703980800,1688083200,294518272,1.11,1008:1000,1509667200,59.276,NYQ,EQUITY,GAB,GAB,"Gabelli Equity Trust, Inc. (The",The Gabelli Equity Trust Inc.,524410200,America/New_York,EDT,-14400000,5.27,none,3576127,0.012,68550000,3.369,3.383,33705248,3.533,0.113,0.00403,0.16791001,31736456,4130602,155796784,0.127,1.0,0.0,0.37096,USD,
6,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=MWY5ZDg=&bid=YjUxNQ==&mid=MjJmMTI=&num=NmVjMTI=&kid=Mzc2MDA=&pid=obj&rid=111-=edoc_dnuf,Asset Management,Financial Services,"The Gabelli Equity Trust Inc. is a closed ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets of the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in preferred stock, convertible or exchangeable securities, and warrants and rights. The fund primarily invests in value stocks of companies across market capitalizations. It employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. The fund seeks to benchmarks the performance of its portfolio against the S&P 500 Index, Dow Jones Industrial Average, and Nasdaq Composite Index. The Gabelli Equity Trust Inc. was formed on August 21, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Kevin V. Dreyer', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,5.34,5.31,5.26,5.37,5.34,5.31,5.26,5.37,0.6,0.113900006,1694649600,0.5405,10.27,0.952282,4.747748,464539,464539,453095,526530,526530,5.27,5.44,3100,4000,1576863104,4.84,6.19,46.783905,5.5304,5.63995,0.6,0.11235955,USD,1997915392,9.313661,299215008,161624,20324,1690761600,1693440000,0.0005,0.0057599996,0.07056,0.36,0.0005,5.295,0.99527854,1672444800,1703980800,1688083200,294518272,1.11,1008:1000,1509667200,59.276,NYQ,EQUITY,GAB,GAB,"Gabelli Equity Trust, Inc. (The",The Gabelli Equity Trust Inc.,524410200,America/New_York,EDT,-14400000,5.27,none,3576127,0.012,68550000,3.369,3.383,33705248,3.533,0.113,0.00403,0.16791001,31736456,4130602,155796784,0.127,1.0,0.0,0.37096,USD,
7,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=MWY5ZDg=&bid=YjUxNQ==&mid=MjJmMTI=&num=NmVjMTI=&kid=Mzc2MDA=&pid=obj&rid=111-=edoc_dnuf,Asset Management,Financial Services,"The Gabelli Equity Trust Inc. is a closed ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets of the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in preferred stock, convertible or exchangeable securities, and warrants and rights. The fund primarily invests in value stocks of companies across market capitalizations. It employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. The fund seeks to benchmarks the performance of its portfolio against the S&P 500 Index, Dow Jones Industrial Average, and Nasdaq Composite Index. The Gabelli Equity Trust Inc. was formed on August 21, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Christopher J. Marangi', 'age': 48, 'title': 'Portfolio Mang.', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,5.34,5.31,5.26,5.37,5.34,5.31,5.26,5.37,0.6,0.113900006,1694649600,0.5405,10.27,0.952282,4.747748,464539,464539,453095,526530,526530,5.27,5.44,3100,4000,1576863104,4.84,6.19,46.783905,5.5304,5.63995,0.6,0.11235955,USD,1997915392,9.313661,299215008,161624,20324,1690761600,1693440000,0.0005,0.0057599996,0.07056,0.36,0.0005,5.295,0.99527854,1672444800,1703980800,1688083200,294518272,1.11,1008:1000,1509667200,59.276,NYQ,EQUITY,GAB,GAB,"Gabelli Equity Trust, Inc. (The",The Gabelli Equity Trust Inc.,524410200,America/New_York,EDT,-14400000,5.27,none,3576127,0.012,68550000,3.369,3.383,33705248,3.533,0.113,0.00403,0.16791001,31736456,4130602,155796784,0.127,1.0,0.0,0.37096,USD,
8,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=MWY5ZDg=&bid=YjUxNQ==&mid=MjJmMTI=&num=NmVjMTI=&kid=Mzc2MDA=&pid=obj&rid=111-=edoc_dnuf,Asset Management,Financial Services,"The Gabelli Equity Trust Inc. is a closed ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets of the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in preferred stock, convertible or exchangeable securities, and warrants and rights. The fund primarily invests in value stocks of companies across market capitalizations. It employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. The fund seeks to benchmarks the performance of its portfolio against the S&P 500 Index, Dow Jones Industrial Average, and Nasdaq Composite Index. The Gabelli Equity Trust Inc. was formed on August 21, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Robert Douglas Leininger C.F.A., CFA', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,5.34,5.31,5.26,5.37,5.34,5.31,5.26,5.37,0.6,0.113900006,1694649600,0.5405,10.27,0.952282,4.747748,464539,464539,453095,526530,526530,5.27,5.44,3100,4000,1576863104,4.84,6.19,46.783905,5.5304,5.63995,0.6,0.11235955,USD,1997915392,9.313661,299215008,161624,20324,1690761600,1693440000,0.0005,0.0057599996,0.07056,0.36,0.0005,5.295,0.99527854,1672444800,1703980800,1688083200,294518272,1.11,1008:1000,1509667200,59.276,NYQ,EQUITY,GAB,GAB,"Gabelli Equity Trust, Inc. (The",The Gabelli Equity Trust Inc.,524410200,America/New_York,EDT,-14400000,5.27,none,3576127,0.012,68550000,3.369,3.383,33705248,3.533,0.113,0.00403,0.16791001,31736456,4130602,155796784,0.127,1.0,0.0,0.37096,USD,
9,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=MWY5ZDg=&bid=YjUxNQ==&mid=MjJmMTI=&num=NmVjMTI=&kid=Mzc2MDA=&pid=obj&rid=111-=edoc_dnuf,Asset Management,Financial Services,"The Gabelli Equity Trust Inc. is a closed ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets of the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in preferred stock, convertible or exchangeable securities, and warrants and rights. The fund primarily invests in value stocks of companies across market capitalizations. It employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. The fund seeks to benchmarks the performance of its portfolio against the S&P 500 Index, Dow Jones Industrial Average, and Nasdaq Composite Index. The Gabelli Equity Trust Inc. was formed on August 21, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Daniel M. Miller', 'age': 41, 'title': 'Portfolio Mang.', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",1388448000,86400,2,5.34,5.31,5.26,5.37,5.34,5.31,5.26,5.37,0.6,0.113900006,1694649600,0.5405,10.27,0.952282,4.747748,464539,464539,453095,526530,526530,5.27,5.44,3100,4000,1576863104,4.84,6.19,46.783905,5.5304,5.63995,0.6,0.11235955,USD,1997915392,9.313661,299215008,161624,20324,1690761600,1693440000,0.0005,0.0057599996,0.07056,0.36,0.0005,5.295,0.99527854,1672444800,1703980800,1688083200,294518272,1.11,1008:1000,1509667200,59.276,NYQ,EQUITY,GAB,GAB,"Gabelli Equity Trust, Inc. (The",The Gabelli Equity Trust Inc.,524410200,America/New_York,EDT,-14400000,5.27,none,3576127,0.012,68550000,3.369,3.383,33705248,3.533,0.113,0.00403,0.16791001,31736456,4130602,155796784,0.127,1.0,0.0,0.37096,USD,
