,address1,address2,city,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Professor Kohts vei 9,P.O. Box 474,Lysaker,1327,Norway,47 91 50 88 80,https://www.storebrand.no,Financial Conglomerates,Financial Conglomerates,Financial Services,Financial Services,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway, the United States, Japan, and Sweden. The company operates through four segments: Savings, Insurance, Guaranteed Pension, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, and employee-related and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined contribution pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway. Storebrand ASA operates as a subsidiary of The Storebrand Group.",2161,"{'maxAge': 1, 'name': 'Mr. Odd Arild Grefstad', 'age': 57, 'title': 'Group Chief Exec. Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 9670000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,1,1,1693526400,1672444800,86400,2,86.14,86.6,86.46,87.1,86.14,86.6,86.46,87.1,3.7,0.0434,1681430400,0.6357,1.313063,14.931272,10.64951,2525692,2525692,721227,877396,877396,86.78,86.82,115200,81400,39419146240,69.92,89.28,0.35830376,86.2236,83.7487,3.7,0.04295333,NOK,75680055296,0.02473,432248293,453615008,0.0637,0.6863,453615008,62.242,1.3961633,1672444800,1703980800,1688083200,0.718,2699000064,5.82,8.16,-9.83,0.688,0.785,0.14402318,0.14113986,3.7,1681430400,OSL,EQUITY,STB.OL,STB.OL,STOREBRAND,Storebrand ASA,946886400,Europe/Oslo,CEST,51fabac2-38a8-3ceb-a804-75f790a366ca,finmb_876161,7200000,86.9,109.0,75.0,98.56,100.0,2.0,buy,9,14030999552,30.59,96412999680,49851998208,0.67,0.818,110016004096,172.486,236.67,0.07526,0.08224,10728000000,66653999104,-3959000064,0.75,0.94478995,0.87635005,0.87342,NOK,
1,Professor Kohts vei 9,P.O. Box 474,Lysaker,1327,Norway,47 91 50 88 80,https://www.storebrand.no,Financial Conglomerates,Financial Conglomerates,Financial Services,Financial Services,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway, the United States, Japan, and Sweden. The company operates through four segments: Savings, Insurance, Guaranteed Pension, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, and employee-related and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined contribution pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway. Storebrand ASA operates as a subsidiary of The Storebrand Group.",2161,"{'maxAge': 1, 'name': 'Mr. Lars Aasulv Loddesol', 'age': 58, 'title': 'Group CFO and EVP of Fin., Strategy & Legal', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 7826000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,1,1,1693526400,1672444800,86400,2,86.14,86.6,86.46,87.1,86.14,86.6,86.46,87.1,3.7,0.0434,1681430400,0.6357,1.313063,14.931272,10.64951,2525692,2525692,721227,877396,877396,86.78,86.82,115200,81400,39419146240,69.92,89.28,0.35830376,86.2236,83.7487,3.7,0.04295333,NOK,75680055296,0.02473,432248293,453615008,0.0637,0.6863,453615008,62.242,1.3961633,1672444800,1703980800,1688083200,0.718,2699000064,5.82,8.16,-9.83,0.688,0.785,0.14402318,0.14113986,3.7,1681430400,OSL,EQUITY,STB.OL,STB.OL,STOREBRAND,Storebrand ASA,946886400,Europe/Oslo,CEST,51fabac2-38a8-3ceb-a804-75f790a366ca,finmb_876161,7200000,86.9,109.0,75.0,98.56,100.0,2.0,buy,9,14030999552,30.59,96412999680,49851998208,0.67,0.818,110016004096,172.486,236.67,0.07526,0.08224,10728000000,66653999104,-3959000064,0.75,0.94478995,0.87635005,0.87342,NOK,
2,Professor Kohts vei 9,P.O. Box 474,Lysaker,1327,Norway,47 91 50 88 80,https://www.storebrand.no,Financial Conglomerates,Financial Conglomerates,Financial Services,Financial Services,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway, the United States, Japan, and Sweden. The company operates through four segments: Savings, Insurance, Guaranteed Pension, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, and employee-related and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined contribution pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway. Storebrand ASA operates as a subsidiary of The Storebrand Group.",2161,"{'maxAge': 1, 'name': 'Ms. Karin Greve-Isdahl Flaa', 'age': 43, 'title': 'Exec. VP of Communications, Sustainability & Public Affairs', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 4083000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,1,1,1693526400,1672444800,86400,2,86.14,86.6,86.46,87.1,86.14,86.6,86.46,87.1,3.7,0.0434,1681430400,0.6357,1.313063,14.931272,10.64951,2525692,2525692,721227,877396,877396,86.78,86.82,115200,81400,39419146240,69.92,89.28,0.35830376,86.2236,83.7487,3.7,0.04295333,NOK,75680055296,0.02473,432248293,453615008,0.0637,0.6863,453615008,62.242,1.3961633,1672444800,1703980800,1688083200,0.718,2699000064,5.82,8.16,-9.83,0.688,0.785,0.14402318,0.14113986,3.7,1681430400,OSL,EQUITY,STB.OL,STB.OL,STOREBRAND,Storebrand ASA,946886400,Europe/Oslo,CEST,51fabac2-38a8-3ceb-a804-75f790a366ca,finmb_876161,7200000,86.9,109.0,75.0,98.56,100.0,2.0,buy,9,14030999552,30.59,96412999680,49851998208,0.67,0.818,110016004096,172.486,236.67,0.07526,0.08224,10728000000,66653999104,-3959000064,0.75,0.94478995,0.87635005,0.87342,NOK,
3,Professor Kohts vei 9,P.O. Box 474,Lysaker,1327,Norway,47 91 50 88 80,https://www.storebrand.no,Financial Conglomerates,Financial Conglomerates,Financial Services,Financial Services,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway, the United States, Japan, and Sweden. The company operates through four segments: Savings, Insurance, Guaranteed Pension, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, and employee-related and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined contribution pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway. Storebrand ASA operates as a subsidiary of The Storebrand Group.",2161,"{'maxAge': 1, 'name': 'Ms. Tove  Selnes', 'age': 53, 'title': 'Exec. VP of People', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 4268000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,1,1,1693526400,1672444800,86400,2,86.14,86.6,86.46,87.1,86.14,86.6,86.46,87.1,3.7,0.0434,1681430400,0.6357,1.313063,14.931272,10.64951,2525692,2525692,721227,877396,877396,86.78,86.82,115200,81400,39419146240,69.92,89.28,0.35830376,86.2236,83.7487,3.7,0.04295333,NOK,75680055296,0.02473,432248293,453615008,0.0637,0.6863,453615008,62.242,1.3961633,1672444800,1703980800,1688083200,0.718,2699000064,5.82,8.16,-9.83,0.688,0.785,0.14402318,0.14113986,3.7,1681430400,OSL,EQUITY,STB.OL,STB.OL,STOREBRAND,Storebrand ASA,946886400,Europe/Oslo,CEST,51fabac2-38a8-3ceb-a804-75f790a366ca,finmb_876161,7200000,86.9,109.0,75.0,98.56,100.0,2.0,buy,9,14030999552,30.59,96412999680,49851998208,0.67,0.818,110016004096,172.486,236.67,0.07526,0.08224,10728000000,66653999104,-3959000064,0.75,0.94478995,0.87635005,0.87342,NOK,
4,Professor Kohts vei 9,P.O. Box 474,Lysaker,1327,Norway,47 91 50 88 80,https://www.storebrand.no,Financial Conglomerates,Financial Conglomerates,Financial Services,Financial Services,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway, the United States, Japan, and Sweden. The company operates through four segments: Savings, Insurance, Guaranteed Pension, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, and employee-related and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined contribution pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway. Storebrand ASA operates as a subsidiary of The Storebrand Group.",2161,"{'maxAge': 1, 'name': 'Ms. Heidi  Skaaret', 'age': 61, 'title': 'Exec. VP of Retail', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 6520000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,1,1,1693526400,1672444800,86400,2,86.14,86.6,86.46,87.1,86.14,86.6,86.46,87.1,3.7,0.0434,1681430400,0.6357,1.313063,14.931272,10.64951,2525692,2525692,721227,877396,877396,86.78,86.82,115200,81400,39419146240,69.92,89.28,0.35830376,86.2236,83.7487,3.7,0.04295333,NOK,75680055296,0.02473,432248293,453615008,0.0637,0.6863,453615008,62.242,1.3961633,1672444800,1703980800,1688083200,0.718,2699000064,5.82,8.16,-9.83,0.688,0.785,0.14402318,0.14113986,3.7,1681430400,OSL,EQUITY,STB.OL,STB.OL,STOREBRAND,Storebrand ASA,946886400,Europe/Oslo,CEST,51fabac2-38a8-3ceb-a804-75f790a366ca,finmb_876161,7200000,86.9,109.0,75.0,98.56,100.0,2.0,buy,9,14030999552,30.59,96412999680,49851998208,0.67,0.818,110016004096,172.486,236.67,0.07526,0.08224,10728000000,66653999104,-3959000064,0.75,0.94478995,0.87635005,0.87342,NOK,
5,Professor Kohts vei 9,P.O. Box 474,Lysaker,1327,Norway,47 91 50 88 80,https://www.storebrand.no,Financial Conglomerates,Financial Conglomerates,Financial Services,Financial Services,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway, the United States, Japan, and Sweden. The company operates through four segments: Savings, Insurance, Guaranteed Pension, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, and employee-related and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined contribution pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway. Storebrand ASA operates as a subsidiary of The Storebrand Group.",2161,"{'maxAge': 1, 'name': 'Mr. Jan Erik Saugestad', 'age': 57, 'title': 'Exec. VP of Storebrand Asset Management', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 8562000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,1,1,1693526400,1672444800,86400,2,86.14,86.6,86.46,87.1,86.14,86.6,86.46,87.1,3.7,0.0434,1681430400,0.6357,1.313063,14.931272,10.64951,2525692,2525692,721227,877396,877396,86.78,86.82,115200,81400,39419146240,69.92,89.28,0.35830376,86.2236,83.7487,3.7,0.04295333,NOK,75680055296,0.02473,432248293,453615008,0.0637,0.6863,453615008,62.242,1.3961633,1672444800,1703980800,1688083200,0.718,2699000064,5.82,8.16,-9.83,0.688,0.785,0.14402318,0.14113986,3.7,1681430400,OSL,EQUITY,STB.OL,STB.OL,STOREBRAND,Storebrand ASA,946886400,Europe/Oslo,CEST,51fabac2-38a8-3ceb-a804-75f790a366ca,finmb_876161,7200000,86.9,109.0,75.0,98.56,100.0,2.0,buy,9,14030999552,30.59,96412999680,49851998208,0.67,0.818,110016004096,172.486,236.67,0.07526,0.08224,10728000000,66653999104,-3959000064,0.75,0.94478995,0.87635005,0.87342,NOK,
6,Professor Kohts vei 9,P.O. Box 474,Lysaker,1327,Norway,47 91 50 88 80,https://www.storebrand.no,Financial Conglomerates,Financial Conglomerates,Financial Services,Financial Services,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway, the United States, Japan, and Sweden. The company operates through four segments: Savings, Insurance, Guaranteed Pension, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, and employee-related and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined contribution pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway. Storebrand ASA operates as a subsidiary of The Storebrand Group.",2161,"{'maxAge': 1, 'name': 'Mr. Trygve  Hakedal', 'age': 43, 'title': 'Exec. VP of Digital', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 5114000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,1,1,1693526400,1672444800,86400,2,86.14,86.6,86.46,87.1,86.14,86.6,86.46,87.1,3.7,0.0434,1681430400,0.6357,1.313063,14.931272,10.64951,2525692,2525692,721227,877396,877396,86.78,86.82,115200,81400,39419146240,69.92,89.28,0.35830376,86.2236,83.7487,3.7,0.04295333,NOK,75680055296,0.02473,432248293,453615008,0.0637,0.6863,453615008,62.242,1.3961633,1672444800,1703980800,1688083200,0.718,2699000064,5.82,8.16,-9.83,0.688,0.785,0.14402318,0.14113986,3.7,1681430400,OSL,EQUITY,STB.OL,STB.OL,STOREBRAND,Storebrand ASA,946886400,Europe/Oslo,CEST,51fabac2-38a8-3ceb-a804-75f790a366ca,finmb_876161,7200000,86.9,109.0,75.0,98.56,100.0,2.0,buy,9,14030999552,30.59,96412999680,49851998208,0.67,0.818,110016004096,172.486,236.67,0.07526,0.08224,10728000000,66653999104,-3959000064,0.75,0.94478995,0.87635005,0.87342,NOK,
7,Professor Kohts vei 9,P.O. Box 474,Lysaker,1327,Norway,47 91 50 88 80,https://www.storebrand.no,Financial Conglomerates,Financial Conglomerates,Financial Services,Financial Services,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway, the United States, Japan, and Sweden. The company operates through four segments: Savings, Insurance, Guaranteed Pension, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, and employee-related and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined contribution pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway. Storebrand ASA operates as a subsidiary of The Storebrand Group.",2161,"{'maxAge': 1, 'name': 'Ms. Jenny  Rundbladh', 'age': 45, 'title': 'Managing Director of SPP', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 4577000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,1,1,1693526400,1672444800,86400,2,86.14,86.6,86.46,87.1,86.14,86.6,86.46,87.1,3.7,0.0434,1681430400,0.6357,1.313063,14.931272,10.64951,2525692,2525692,721227,877396,877396,86.78,86.82,115200,81400,39419146240,69.92,89.28,0.35830376,86.2236,83.7487,3.7,0.04295333,NOK,75680055296,0.02473,432248293,453615008,0.0637,0.6863,453615008,62.242,1.3961633,1672444800,1703980800,1688083200,0.718,2699000064,5.82,8.16,-9.83,0.688,0.785,0.14402318,0.14113986,3.7,1681430400,OSL,EQUITY,STB.OL,STB.OL,STOREBRAND,Storebrand ASA,946886400,Europe/Oslo,CEST,51fabac2-38a8-3ceb-a804-75f790a366ca,finmb_876161,7200000,86.9,109.0,75.0,98.56,100.0,2.0,buy,9,14030999552,30.59,96412999680,49851998208,0.67,0.818,110016004096,172.486,236.67,0.07526,0.08224,10728000000,66653999104,-3959000064,0.75,0.94478995,0.87635005,0.87342,NOK,
8,Professor Kohts vei 9,P.O. Box 474,Lysaker,1327,Norway,47 91 50 88 80,https://www.storebrand.no,Financial Conglomerates,Financial Conglomerates,Financial Services,Financial Services,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway, the United States, Japan, and Sweden. The company operates through four segments: Savings, Insurance, Guaranteed Pension, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, and employee-related and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined contribution pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway. Storebrand ASA operates as a subsidiary of The Storebrand Group.",2161,"{'maxAge': 1, 'name': 'Ms. Vivi Mahede Gevelt', 'age': 39, 'title': 'Exec. VP of Corp.', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 4826000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,1,1,1693526400,1672444800,86400,2,86.14,86.6,86.46,87.1,86.14,86.6,86.46,87.1,3.7,0.0434,1681430400,0.6357,1.313063,14.931272,10.64951,2525692,2525692,721227,877396,877396,86.78,86.82,115200,81400,39419146240,69.92,89.28,0.35830376,86.2236,83.7487,3.7,0.04295333,NOK,75680055296,0.02473,432248293,453615008,0.0637,0.6863,453615008,62.242,1.3961633,1672444800,1703980800,1688083200,0.718,2699000064,5.82,8.16,-9.83,0.688,0.785,0.14402318,0.14113986,3.7,1681430400,OSL,EQUITY,STB.OL,STB.OL,STOREBRAND,Storebrand ASA,946886400,Europe/Oslo,CEST,51fabac2-38a8-3ceb-a804-75f790a366ca,finmb_876161,7200000,86.9,109.0,75.0,98.56,100.0,2.0,buy,9,14030999552,30.59,96412999680,49851998208,0.67,0.818,110016004096,172.486,236.67,0.07526,0.08224,10728000000,66653999104,-3959000064,0.75,0.94478995,0.87635005,0.87342,NOK,
9,Professor Kohts vei 9,P.O. Box 474,Lysaker,1327,Norway,47 91 50 88 80,https://www.storebrand.no,Financial Conglomerates,Financial Conglomerates,Financial Services,Financial Services,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway, the United States, Japan, and Sweden. The company operates through four segments: Savings, Insurance, Guaranteed Pension, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, and employee-related and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined contribution pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway. Storebrand ASA operates as a subsidiary of The Storebrand Group.",2161,"{'maxAge': 1, 'name': 'Mr. Daniel  Sundahl', 'title': 'Head of Investor Relations & Rating', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,1,1,1693526400,1672444800,86400,2,86.14,86.6,86.46,87.1,86.14,86.6,86.46,87.1,3.7,0.0434,1681430400,0.6357,1.313063,14.931272,10.64951,2525692,2525692,721227,877396,877396,86.78,86.82,115200,81400,39419146240,69.92,89.28,0.35830376,86.2236,83.7487,3.7,0.04295333,NOK,75680055296,0.02473,432248293,453615008,0.0637,0.6863,453615008,62.242,1.3961633,1672444800,1703980800,1688083200,0.718,2699000064,5.82,8.16,-9.83,0.688,0.785,0.14402318,0.14113986,3.7,1681430400,OSL,EQUITY,STB.OL,STB.OL,STOREBRAND,Storebrand ASA,946886400,Europe/Oslo,CEST,51fabac2-38a8-3ceb-a804-75f790a366ca,finmb_876161,7200000,86.9,109.0,75.0,98.56,100.0,2.0,buy,9,14030999552,30.59,96412999680,49851998208,0.67,0.818,110016004096,172.486,236.67,0.07526,0.08224,10728000000,66653999104,-3959000064,0.75,0.94478995,0.87635005,0.87342,NOK,
