,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"West Tower, Saint-Charles Complex",Suite 600 1111 Saint-Charles Street West,Longueuil,QC,J4K 5G4,Canada,450 679 5450,https://www.herouxdevtek.com,Aerospace & Defense,Industrials,"Héroux-Devtek Inc. engages in the design, development, manufacture, finishing, assembling, and repair and overhaul of aircraft landing gears, hydraulic and electromechanical flight control actuators, custom ball screws, and fracture-critical components. The company serves commercial and defence sectors of the aerospace market. It operates in Canada, the United States, the United Kingdom, Rest of Europe, Spain, and internationally. The company was formerly known as Heroux Inc. and changed its name to Héroux-Devtek Inc. in 2000. Héroux-Devtek Inc. was incorporated in 1942 and is headquartered in Longueuil, Canada.","{'maxAge': 1, 'name': 'Mr. Gilles  Labbe F.C.A., FCA, FCPA', 'age': 66, 'title': 'Exec. Chairman', 'yearBorn': 1956, 'fiscalYear': 2023, 'totalPay': 720063, 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,6,2,6,1693526400,1703980800,86400,2,16.0,15.81,15.7,15.99,16.0,15.81,15.7,15.99,1355961600,0.0,1.710061,32.367344,15.86,18013,18013,17250,10030,10030,15.7,15.84,0,0,543923456,11.2,16.61,0.9538668,15.6406,14.0902,0.0,0.0,CAD,729457920,0.029509999,30571620,34005900,29684,32262,1690761600,1693440000,0.00090000004,0.098529994,0.5489,1.81,11.571,1.370668,1680220800,1711843200,1688083200,3.114,16830000,0.49,1.0,1.03,1.279,12.544,TOR,EQUITY,HRX.TO,HRX.TO,HEROUX-DEVTEK,Héroux-Devtek Inc.,830439000,America/Toronto,EDT,-14400000,15.86,21.0,18.0,19.4,19.0,2.2,buy,5,2046000,0.06,58153000,187580000,0.563,2.041,570230016,47.673,16.641,0.02399,0.04423,-47280752,5821000,3.17,0.233,0.14234,0.10198,0.05449,CAD,
1,"West Tower, Saint-Charles Complex",Suite 600 1111 Saint-Charles Street West,Longueuil,QC,J4K 5G4,Canada,450 679 5450,https://www.herouxdevtek.com,Aerospace & Defense,Industrials,"Héroux-Devtek Inc. engages in the design, development, manufacture, finishing, assembling, and repair and overhaul of aircraft landing gears, hydraulic and electromechanical flight control actuators, custom ball screws, and fracture-critical components. The company serves commercial and defence sectors of the aerospace market. It operates in Canada, the United States, the United Kingdom, Rest of Europe, Spain, and internationally. The company was formerly known as Heroux Inc. and changed its name to Héroux-Devtek Inc. in 2000. Héroux-Devtek Inc. was incorporated in 1942 and is headquartered in Longueuil, Canada.","{'maxAge': 1, 'name': 'Mr. Martin  Brassard', 'title': 'Pres, CEO & Director', 'fiscalYear': 2023, 'totalPay': 958209, 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,6,2,6,1693526400,1703980800,86400,2,16.0,15.81,15.7,15.99,16.0,15.81,15.7,15.99,1355961600,0.0,1.710061,32.367344,15.86,18013,18013,17250,10030,10030,15.7,15.84,0,0,543923456,11.2,16.61,0.9538668,15.6406,14.0902,0.0,0.0,CAD,729457920,0.029509999,30571620,34005900,29684,32262,1690761600,1693440000,0.00090000004,0.098529994,0.5489,1.81,11.571,1.370668,1680220800,1711843200,1688083200,3.114,16830000,0.49,1.0,1.03,1.279,12.544,TOR,EQUITY,HRX.TO,HRX.TO,HEROUX-DEVTEK,Héroux-Devtek Inc.,830439000,America/Toronto,EDT,-14400000,15.86,21.0,18.0,19.4,19.0,2.2,buy,5,2046000,0.06,58153000,187580000,0.563,2.041,570230016,47.673,16.641,0.02399,0.04423,-47280752,5821000,3.17,0.233,0.14234,0.10198,0.05449,CAD,
2,"West Tower, Saint-Charles Complex",Suite 600 1111 Saint-Charles Street West,Longueuil,QC,J4K 5G4,Canada,450 679 5450,https://www.herouxdevtek.com,Aerospace & Defense,Industrials,"Héroux-Devtek Inc. engages in the design, development, manufacture, finishing, assembling, and repair and overhaul of aircraft landing gears, hydraulic and electromechanical flight control actuators, custom ball screws, and fracture-critical components. The company serves commercial and defence sectors of the aerospace market. It operates in Canada, the United States, the United Kingdom, Rest of Europe, Spain, and internationally. The company was formerly known as Heroux Inc. and changed its name to Héroux-Devtek Inc. in 2000. Héroux-Devtek Inc. was incorporated in 1942 and is headquartered in Longueuil, Canada.","{'maxAge': 1, 'name': 'Mr. Stéphane  Arsenault C.A., CPA, CPA, CA', 'title': 'CFO & VP', 'fiscalYear': 2023, 'totalPay': 528256, 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,6,2,6,1693526400,1703980800,86400,2,16.0,15.81,15.7,15.99,16.0,15.81,15.7,15.99,1355961600,0.0,1.710061,32.367344,15.86,18013,18013,17250,10030,10030,15.7,15.84,0,0,543923456,11.2,16.61,0.9538668,15.6406,14.0902,0.0,0.0,CAD,729457920,0.029509999,30571620,34005900,29684,32262,1690761600,1693440000,0.00090000004,0.098529994,0.5489,1.81,11.571,1.370668,1680220800,1711843200,1688083200,3.114,16830000,0.49,1.0,1.03,1.279,12.544,TOR,EQUITY,HRX.TO,HRX.TO,HEROUX-DEVTEK,Héroux-Devtek Inc.,830439000,America/Toronto,EDT,-14400000,15.86,21.0,18.0,19.4,19.0,2.2,buy,5,2046000,0.06,58153000,187580000,0.563,2.041,570230016,47.673,16.641,0.02399,0.04423,-47280752,5821000,3.17,0.233,0.14234,0.10198,0.05449,CAD,
3,"West Tower, Saint-Charles Complex",Suite 600 1111 Saint-Charles Street West,Longueuil,QC,J4K 5G4,Canada,450 679 5450,https://www.herouxdevtek.com,Aerospace & Defense,Industrials,"Héroux-Devtek Inc. engages in the design, development, manufacture, finishing, assembling, and repair and overhaul of aircraft landing gears, hydraulic and electromechanical flight control actuators, custom ball screws, and fracture-critical components. The company serves commercial and defence sectors of the aerospace market. It operates in Canada, the United States, the United Kingdom, Rest of Europe, Spain, and internationally. The company was formerly known as Heroux Inc. and changed its name to Héroux-Devtek Inc. in 2000. Héroux-Devtek Inc. was incorporated in 1942 and is headquartered in Longueuil, Canada.","{'maxAge': 1, 'name': 'Jean-Philippe  Sanche', 'title': 'VP of Legal Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,6,2,6,1693526400,1703980800,86400,2,16.0,15.81,15.7,15.99,16.0,15.81,15.7,15.99,1355961600,0.0,1.710061,32.367344,15.86,18013,18013,17250,10030,10030,15.7,15.84,0,0,543923456,11.2,16.61,0.9538668,15.6406,14.0902,0.0,0.0,CAD,729457920,0.029509999,30571620,34005900,29684,32262,1690761600,1693440000,0.00090000004,0.098529994,0.5489,1.81,11.571,1.370668,1680220800,1711843200,1688083200,3.114,16830000,0.49,1.0,1.03,1.279,12.544,TOR,EQUITY,HRX.TO,HRX.TO,HEROUX-DEVTEK,Héroux-Devtek Inc.,830439000,America/Toronto,EDT,-14400000,15.86,21.0,18.0,19.4,19.0,2.2,buy,5,2046000,0.06,58153000,187580000,0.563,2.041,570230016,47.673,16.641,0.02399,0.04423,-47280752,5821000,3.17,0.233,0.14234,0.10198,0.05449,CAD,
4,"West Tower, Saint-Charles Complex",Suite 600 1111 Saint-Charles Street West,Longueuil,QC,J4K 5G4,Canada,450 679 5450,https://www.herouxdevtek.com,Aerospace & Defense,Industrials,"Héroux-Devtek Inc. engages in the design, development, manufacture, finishing, assembling, and repair and overhaul of aircraft landing gears, hydraulic and electromechanical flight control actuators, custom ball screws, and fracture-critical components. The company serves commercial and defence sectors of the aerospace market. It operates in Canada, the United States, the United Kingdom, Rest of Europe, Spain, and internationally. The company was formerly known as Heroux Inc. and changed its name to Héroux-Devtek Inc. in 2000. Héroux-Devtek Inc. was incorporated in 1942 and is headquartered in Longueuil, Canada.","{'maxAge': 1, 'name': 'Mr. Jean  Gravel', 'title': 'Vice-Pres of Sales & Program Management', 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,6,2,6,1693526400,1703980800,86400,2,16.0,15.81,15.7,15.99,16.0,15.81,15.7,15.99,1355961600,0.0,1.710061,32.367344,15.86,18013,18013,17250,10030,10030,15.7,15.84,0,0,543923456,11.2,16.61,0.9538668,15.6406,14.0902,0.0,0.0,CAD,729457920,0.029509999,30571620,34005900,29684,32262,1690761600,1693440000,0.00090000004,0.098529994,0.5489,1.81,11.571,1.370668,1680220800,1711843200,1688083200,3.114,16830000,0.49,1.0,1.03,1.279,12.544,TOR,EQUITY,HRX.TO,HRX.TO,HEROUX-DEVTEK,Héroux-Devtek Inc.,830439000,America/Toronto,EDT,-14400000,15.86,21.0,18.0,19.4,19.0,2.2,buy,5,2046000,0.06,58153000,187580000,0.563,2.041,570230016,47.673,16.641,0.02399,0.04423,-47280752,5821000,3.17,0.233,0.14234,0.10198,0.05449,CAD,
5,"West Tower, Saint-Charles Complex",Suite 600 1111 Saint-Charles Street West,Longueuil,QC,J4K 5G4,Canada,450 679 5450,https://www.herouxdevtek.com,Aerospace & Defense,Industrials,"Héroux-Devtek Inc. engages in the design, development, manufacture, finishing, assembling, and repair and overhaul of aircraft landing gears, hydraulic and electromechanical flight control actuators, custom ball screws, and fracture-critical components. The company serves commercial and defence sectors of the aerospace market. It operates in Canada, the United States, the United Kingdom, Rest of Europe, Spain, and internationally. The company was formerly known as Heroux Inc. and changed its name to Héroux-Devtek Inc. in 2000. Héroux-Devtek Inc. was incorporated in 1942 and is headquartered in Longueuil, Canada.","{'maxAge': 1, 'name': 'Mr. Stéphane  Rainville', 'title': 'VP of HR & Environment', 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,6,2,6,1693526400,1703980800,86400,2,16.0,15.81,15.7,15.99,16.0,15.81,15.7,15.99,1355961600,0.0,1.710061,32.367344,15.86,18013,18013,17250,10030,10030,15.7,15.84,0,0,543923456,11.2,16.61,0.9538668,15.6406,14.0902,0.0,0.0,CAD,729457920,0.029509999,30571620,34005900,29684,32262,1690761600,1693440000,0.00090000004,0.098529994,0.5489,1.81,11.571,1.370668,1680220800,1711843200,1688083200,3.114,16830000,0.49,1.0,1.03,1.279,12.544,TOR,EQUITY,HRX.TO,HRX.TO,HEROUX-DEVTEK,Héroux-Devtek Inc.,830439000,America/Toronto,EDT,-14400000,15.86,21.0,18.0,19.4,19.0,2.2,buy,5,2046000,0.06,58153000,187580000,0.563,2.041,570230016,47.673,16.641,0.02399,0.04423,-47280752,5821000,3.17,0.233,0.14234,0.10198,0.05449,CAD,
6,"West Tower, Saint-Charles Complex",Suite 600 1111 Saint-Charles Street West,Longueuil,QC,J4K 5G4,Canada,450 679 5450,https://www.herouxdevtek.com,Aerospace & Defense,Industrials,"Héroux-Devtek Inc. engages in the design, development, manufacture, finishing, assembling, and repair and overhaul of aircraft landing gears, hydraulic and electromechanical flight control actuators, custom ball screws, and fracture-critical components. The company serves commercial and defence sectors of the aerospace market. It operates in Canada, the United States, the United Kingdom, Rest of Europe, Spain, and internationally. The company was formerly known as Heroux Inc. and changed its name to Héroux-Devtek Inc. in 2000. Héroux-Devtek Inc. was incorporated in 1942 and is headquartered in Longueuil, Canada.","{'maxAge': 1, 'name': 'Mr. Gaétan  Roy', 'title': 'Managing Director of UK Runcorn - Landing Gear', 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,6,2,6,1693526400,1703980800,86400,2,16.0,15.81,15.7,15.99,16.0,15.81,15.7,15.99,1355961600,0.0,1.710061,32.367344,15.86,18013,18013,17250,10030,10030,15.7,15.84,0,0,543923456,11.2,16.61,0.9538668,15.6406,14.0902,0.0,0.0,CAD,729457920,0.029509999,30571620,34005900,29684,32262,1690761600,1693440000,0.00090000004,0.098529994,0.5489,1.81,11.571,1.370668,1680220800,1711843200,1688083200,3.114,16830000,0.49,1.0,1.03,1.279,12.544,TOR,EQUITY,HRX.TO,HRX.TO,HEROUX-DEVTEK,Héroux-Devtek Inc.,830439000,America/Toronto,EDT,-14400000,15.86,21.0,18.0,19.4,19.0,2.2,buy,5,2046000,0.06,58153000,187580000,0.563,2.041,570230016,47.673,16.641,0.02399,0.04423,-47280752,5821000,3.17,0.233,0.14234,0.10198,0.05449,CAD,
7,"West Tower, Saint-Charles Complex",Suite 600 1111 Saint-Charles Street West,Longueuil,QC,J4K 5G4,Canada,450 679 5450,https://www.herouxdevtek.com,Aerospace & Defense,Industrials,"Héroux-Devtek Inc. engages in the design, development, manufacture, finishing, assembling, and repair and overhaul of aircraft landing gears, hydraulic and electromechanical flight control actuators, custom ball screws, and fracture-critical components. The company serves commercial and defence sectors of the aerospace market. It operates in Canada, the United States, the United Kingdom, Rest of Europe, Spain, and internationally. The company was formerly known as Heroux Inc. and changed its name to Héroux-Devtek Inc. in 2000. Héroux-Devtek Inc. was incorporated in 1942 and is headquartered in Longueuil, Canada.","{'maxAge': 1, 'name': 'Guinn D. Crousen', 'title': 'Pres of Progressive Incorporated - Aerostructure Division', 'fiscalYear': 2005, 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,6,2,6,1693526400,1703980800,86400,2,16.0,15.81,15.7,15.99,16.0,15.81,15.7,15.99,1355961600,0.0,1.710061,32.367344,15.86,18013,18013,17250,10030,10030,15.7,15.84,0,0,543923456,11.2,16.61,0.9538668,15.6406,14.0902,0.0,0.0,CAD,729457920,0.029509999,30571620,34005900,29684,32262,1690761600,1693440000,0.00090000004,0.098529994,0.5489,1.81,11.571,1.370668,1680220800,1711843200,1688083200,3.114,16830000,0.49,1.0,1.03,1.279,12.544,TOR,EQUITY,HRX.TO,HRX.TO,HEROUX-DEVTEK,Héroux-Devtek Inc.,830439000,America/Toronto,EDT,-14400000,15.86,21.0,18.0,19.4,19.0,2.2,buy,5,2046000,0.06,58153000,187580000,0.563,2.041,570230016,47.673,16.641,0.02399,0.04423,-47280752,5821000,3.17,0.233,0.14234,0.10198,0.05449,CAD,
8,"West Tower, Saint-Charles Complex",Suite 600 1111 Saint-Charles Street West,Longueuil,QC,J4K 5G4,Canada,450 679 5450,https://www.herouxdevtek.com,Aerospace & Defense,Industrials,"Héroux-Devtek Inc. engages in the design, development, manufacture, finishing, assembling, and repair and overhaul of aircraft landing gears, hydraulic and electromechanical flight control actuators, custom ball screws, and fracture-critical components. The company serves commercial and defence sectors of the aerospace market. It operates in Canada, the United States, the United Kingdom, Rest of Europe, Spain, and internationally. The company was formerly known as Heroux Inc. and changed its name to Héroux-Devtek Inc. in 2000. Héroux-Devtek Inc. was incorporated in 1942 and is headquartered in Longueuil, Canada.","{'maxAge': 1, 'name': 'Mr. François  Renaud', 'title': 'Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,6,2,6,1693526400,1703980800,86400,2,16.0,15.81,15.7,15.99,16.0,15.81,15.7,15.99,1355961600,0.0,1.710061,32.367344,15.86,18013,18013,17250,10030,10030,15.7,15.84,0,0,543923456,11.2,16.61,0.9538668,15.6406,14.0902,0.0,0.0,CAD,729457920,0.029509999,30571620,34005900,29684,32262,1690761600,1693440000,0.00090000004,0.098529994,0.5489,1.81,11.571,1.370668,1680220800,1711843200,1688083200,3.114,16830000,0.49,1.0,1.03,1.279,12.544,TOR,EQUITY,HRX.TO,HRX.TO,HEROUX-DEVTEK,Héroux-Devtek Inc.,830439000,America/Toronto,EDT,-14400000,15.86,21.0,18.0,19.4,19.0,2.2,buy,5,2046000,0.06,58153000,187580000,0.563,2.041,570230016,47.673,16.641,0.02399,0.04423,-47280752,5821000,3.17,0.233,0.14234,0.10198,0.05449,CAD,
9,"West Tower, Saint-Charles Complex",Suite 600 1111 Saint-Charles Street West,Longueuil,QC,J4K 5G4,Canada,450 679 5450,https://www.herouxdevtek.com,Aerospace & Defense,Industrials,"Héroux-Devtek Inc. engages in the design, development, manufacture, finishing, assembling, and repair and overhaul of aircraft landing gears, hydraulic and electromechanical flight control actuators, custom ball screws, and fracture-critical components. The company serves commercial and defence sectors of the aerospace market. It operates in Canada, the United States, the United Kingdom, Rest of Europe, Spain, and internationally. The company was formerly known as Heroux Inc. and changed its name to Héroux-Devtek Inc. in 2000. Héroux-Devtek Inc. was incorporated in 1942 and is headquartered in Longueuil, Canada.","{'maxAge': 1, 'name': 'Patrick  Gagnon', 'title': 'VP & Corp. Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,6,2,6,1693526400,1703980800,86400,2,16.0,15.81,15.7,15.99,16.0,15.81,15.7,15.99,1355961600,0.0,1.710061,32.367344,15.86,18013,18013,17250,10030,10030,15.7,15.84,0,0,543923456,11.2,16.61,0.9538668,15.6406,14.0902,0.0,0.0,CAD,729457920,0.029509999,30571620,34005900,29684,32262,1690761600,1693440000,0.00090000004,0.098529994,0.5489,1.81,11.571,1.370668,1680220800,1711843200,1688083200,3.114,16830000,0.49,1.0,1.03,1.279,12.544,TOR,EQUITY,HRX.TO,HRX.TO,HEROUX-DEVTEK,Héroux-Devtek Inc.,830439000,America/Toronto,EDT,-14400000,15.86,21.0,18.0,19.4,19.0,2.2,buy,5,2046000,0.06,58153000,187580000,0.563,2.041,570230016,47.673,16.641,0.02399,0.04423,-47280752,5821000,3.17,0.233,0.14234,0.10198,0.05449,CAD,
