,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,321 Railroad Avenue,Greenwich,CT,06830-6389,United States,203 863 8200,203 861 6755,https://www.ubproperties.com,REIT—Retail,Real Estate,"Urstadt Biddle Properties Inc. is a self-administered equity real estate investment trust which owns or has equity interests in 77 properties containing approximately 5.3 million square feet of space. Listed on the New York Stock Exchange since 1970, it provides investors with a means of participating in ownership of income-producing properties. It has paid 213 consecutive quarters of uninterrupted dividends to its shareholders since its inception. As of August 18, 2023, Urstadt Biddle Properties Inc. operates as a subsidiary of Regency Centers Corporation.",55,"{'maxAge': 1, 'name': 'Mr. Charles D. Urstadt', 'age': 62, 'title': 'Exec. Chairman', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 128155, 'exercisedValue': 19394, 'unexercisedValue': 0}",8,9,9,10,10,1690848000,1672444800,86400,2,21.53,21.53,21.08,21.69,21.53,21.53,21.08,21.69,0.83,0.0394,1686614400,1.5984,5.26,1.122618,34.655735,17.471073,4484692,4484692,302055,647800,647800,0.0,0.0,1000,1400,832173952,15.07,23.16,5.764654,21.738,19.0627,0.975,0.045285646,USD,1397113984,0.27153,28823297,28972000,373553,365212,1688083200,1690761600,0.0095,0.02694,0.6999,2.39,0.0191,8.895,2.376616,1667174400,1698710400,1682812800,-0.182,25548000,0.61,1.21,9.678,16.383,NYQ,EQUITY,UBA,UBA,Urstadt Biddle Properties Inc.,Urstadt Biddle Properties Inc.,903360600,America/New_York,EDT,-14400000,21.14,21.0,21.0,21.0,21.0,3.0,hold,1,24125000,0.639,85276000,337660000,8.287,11.86,144358000,54.379,3.776,0.03546,0.06702,94955000,63429000,79558000,-0.246,-0.022,0.66407996,0.59072,0.38979,USD,
1,321 Railroad Avenue,Greenwich,CT,06830-6389,United States,203 863 8200,203 861 6755,https://www.ubproperties.com,REIT—Retail,Real Estate,"Urstadt Biddle Properties Inc. is a self-administered equity real estate investment trust which owns or has equity interests in 77 properties containing approximately 5.3 million square feet of space. Listed on the New York Stock Exchange since 1970, it provides investors with a means of participating in ownership of income-producing properties. It has paid 213 consecutive quarters of uninterrupted dividends to its shareholders since its inception. As of August 18, 2023, Urstadt Biddle Properties Inc. operates as a subsidiary of Regency Centers Corporation.",55,"{'maxAge': 1, 'name': 'Mr. Willing L. Biddle', 'age': 61, 'title': 'Pres, CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 566687, 'exercisedValue': 1916000, 'unexercisedValue': 0}",8,9,9,10,10,1690848000,1672444800,86400,2,21.53,21.53,21.08,21.69,21.53,21.53,21.08,21.69,0.83,0.0394,1686614400,1.5984,5.26,1.122618,34.655735,17.471073,4484692,4484692,302055,647800,647800,0.0,0.0,1000,1400,832173952,15.07,23.16,5.764654,21.738,19.0627,0.975,0.045285646,USD,1397113984,0.27153,28823297,28972000,373553,365212,1688083200,1690761600,0.0095,0.02694,0.6999,2.39,0.0191,8.895,2.376616,1667174400,1698710400,1682812800,-0.182,25548000,0.61,1.21,9.678,16.383,NYQ,EQUITY,UBA,UBA,Urstadt Biddle Properties Inc.,Urstadt Biddle Properties Inc.,903360600,America/New_York,EDT,-14400000,21.14,21.0,21.0,21.0,21.0,3.0,hold,1,24125000,0.639,85276000,337660000,8.287,11.86,144358000,54.379,3.776,0.03546,0.06702,94955000,63429000,79558000,-0.246,-0.022,0.66407996,0.59072,0.38979,USD,
2,321 Railroad Avenue,Greenwich,CT,06830-6389,United States,203 863 8200,203 861 6755,https://www.ubproperties.com,REIT—Retail,Real Estate,"Urstadt Biddle Properties Inc. is a self-administered equity real estate investment trust which owns or has equity interests in 77 properties containing approximately 5.3 million square feet of space. Listed on the New York Stock Exchange since 1970, it provides investors with a means of participating in ownership of income-producing properties. It has paid 213 consecutive quarters of uninterrupted dividends to its shareholders since its inception. As of August 18, 2023, Urstadt Biddle Properties Inc. operates as a subsidiary of Regency Centers Corporation.",55,"{'maxAge': 1, 'name': 'Mr. John T. Hayes CPA', 'age': 55, 'title': 'Sr. VP, CFO & Treasurer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 407703, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,9,10,10,1690848000,1672444800,86400,2,21.53,21.53,21.08,21.69,21.53,21.53,21.08,21.69,0.83,0.0394,1686614400,1.5984,5.26,1.122618,34.655735,17.471073,4484692,4484692,302055,647800,647800,0.0,0.0,1000,1400,832173952,15.07,23.16,5.764654,21.738,19.0627,0.975,0.045285646,USD,1397113984,0.27153,28823297,28972000,373553,365212,1688083200,1690761600,0.0095,0.02694,0.6999,2.39,0.0191,8.895,2.376616,1667174400,1698710400,1682812800,-0.182,25548000,0.61,1.21,9.678,16.383,NYQ,EQUITY,UBA,UBA,Urstadt Biddle Properties Inc.,Urstadt Biddle Properties Inc.,903360600,America/New_York,EDT,-14400000,21.14,21.0,21.0,21.0,21.0,3.0,hold,1,24125000,0.639,85276000,337660000,8.287,11.86,144358000,54.379,3.776,0.03546,0.06702,94955000,63429000,79558000,-0.246,-0.022,0.66407996,0.59072,0.38979,USD,
3,321 Railroad Avenue,Greenwich,CT,06830-6389,United States,203 863 8200,203 861 6755,https://www.ubproperties.com,REIT—Retail,Real Estate,"Urstadt Biddle Properties Inc. is a self-administered equity real estate investment trust which owns or has equity interests in 77 properties containing approximately 5.3 million square feet of space. Listed on the New York Stock Exchange since 1970, it provides investors with a means of participating in ownership of income-producing properties. It has paid 213 consecutive quarters of uninterrupted dividends to its shareholders since its inception. As of August 18, 2023, Urstadt Biddle Properties Inc. operates as a subsidiary of Regency Centers Corporation.",55,"{'maxAge': 1, 'name': 'Mr. Stephan A. Rapaglia', 'age': 51, 'title': 'Sr. VP, COO, Real Estate Counsel & Assistant Sec.', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 407703, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,9,10,10,1690848000,1672444800,86400,2,21.53,21.53,21.08,21.69,21.53,21.53,21.08,21.69,0.83,0.0394,1686614400,1.5984,5.26,1.122618,34.655735,17.471073,4484692,4484692,302055,647800,647800,0.0,0.0,1000,1400,832173952,15.07,23.16,5.764654,21.738,19.0627,0.975,0.045285646,USD,1397113984,0.27153,28823297,28972000,373553,365212,1688083200,1690761600,0.0095,0.02694,0.6999,2.39,0.0191,8.895,2.376616,1667174400,1698710400,1682812800,-0.182,25548000,0.61,1.21,9.678,16.383,NYQ,EQUITY,UBA,UBA,Urstadt Biddle Properties Inc.,Urstadt Biddle Properties Inc.,903360600,America/New_York,EDT,-14400000,21.14,21.0,21.0,21.0,21.0,3.0,hold,1,24125000,0.639,85276000,337660000,8.287,11.86,144358000,54.379,3.776,0.03546,0.06702,94955000,63429000,79558000,-0.246,-0.022,0.66407996,0.59072,0.38979,USD,
4,321 Railroad Avenue,Greenwich,CT,06830-6389,United States,203 863 8200,203 861 6755,https://www.ubproperties.com,REIT—Retail,Real Estate,"Urstadt Biddle Properties Inc. is a self-administered equity real estate investment trust which owns or has equity interests in 77 properties containing approximately 5.3 million square feet of space. Listed on the New York Stock Exchange since 1970, it provides investors with a means of participating in ownership of income-producing properties. It has paid 213 consecutive quarters of uninterrupted dividends to its shareholders since its inception. As of August 18, 2023, Urstadt Biddle Properties Inc. operates as a subsidiary of Regency Centers Corporation.",55,"{'maxAge': 1, 'name': 'Ms. Miyun  Sung J.D.', 'age': 46, 'title': 'Sr. VP, Chief Legal Officer & Sec.', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 391638, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,9,10,10,1690848000,1672444800,86400,2,21.53,21.53,21.08,21.69,21.53,21.53,21.08,21.69,0.83,0.0394,1686614400,1.5984,5.26,1.122618,34.655735,17.471073,4484692,4484692,302055,647800,647800,0.0,0.0,1000,1400,832173952,15.07,23.16,5.764654,21.738,19.0627,0.975,0.045285646,USD,1397113984,0.27153,28823297,28972000,373553,365212,1688083200,1690761600,0.0095,0.02694,0.6999,2.39,0.0191,8.895,2.376616,1667174400,1698710400,1682812800,-0.182,25548000,0.61,1.21,9.678,16.383,NYQ,EQUITY,UBA,UBA,Urstadt Biddle Properties Inc.,Urstadt Biddle Properties Inc.,903360600,America/New_York,EDT,-14400000,21.14,21.0,21.0,21.0,21.0,3.0,hold,1,24125000,0.639,85276000,337660000,8.287,11.86,144358000,54.379,3.776,0.03546,0.06702,94955000,63429000,79558000,-0.246,-0.022,0.66407996,0.59072,0.38979,USD,
5,321 Railroad Avenue,Greenwich,CT,06830-6389,United States,203 863 8200,203 861 6755,https://www.ubproperties.com,REIT—Retail,Real Estate,"Urstadt Biddle Properties Inc. is a self-administered equity real estate investment trust which owns or has equity interests in 77 properties containing approximately 5.3 million square feet of space. Listed on the New York Stock Exchange since 1970, it provides investors with a means of participating in ownership of income-producing properties. It has paid 213 consecutive quarters of uninterrupted dividends to its shareholders since its inception. As of August 18, 2023, Urstadt Biddle Properties Inc. operates as a subsidiary of Regency Centers Corporation.",55,"{'maxAge': 1, 'name': 'Kubby  Tischler', 'title': 'Assistant VP of Acquisitions & Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,9,10,10,1690848000,1672444800,86400,2,21.53,21.53,21.08,21.69,21.53,21.53,21.08,21.69,0.83,0.0394,1686614400,1.5984,5.26,1.122618,34.655735,17.471073,4484692,4484692,302055,647800,647800,0.0,0.0,1000,1400,832173952,15.07,23.16,5.764654,21.738,19.0627,0.975,0.045285646,USD,1397113984,0.27153,28823297,28972000,373553,365212,1688083200,1690761600,0.0095,0.02694,0.6999,2.39,0.0191,8.895,2.376616,1667174400,1698710400,1682812800,-0.182,25548000,0.61,1.21,9.678,16.383,NYQ,EQUITY,UBA,UBA,Urstadt Biddle Properties Inc.,Urstadt Biddle Properties Inc.,903360600,America/New_York,EDT,-14400000,21.14,21.0,21.0,21.0,21.0,3.0,hold,1,24125000,0.639,85276000,337660000,8.287,11.86,144358000,54.379,3.776,0.03546,0.06702,94955000,63429000,79558000,-0.246,-0.022,0.66407996,0.59072,0.38979,USD,
6,321 Railroad Avenue,Greenwich,CT,06830-6389,United States,203 863 8200,203 861 6755,https://www.ubproperties.com,REIT—Retail,Real Estate,"Urstadt Biddle Properties Inc. is a self-administered equity real estate investment trust which owns or has equity interests in 77 properties containing approximately 5.3 million square feet of space. Listed on the New York Stock Exchange since 1970, it provides investors with a means of participating in ownership of income-producing properties. It has paid 213 consecutive quarters of uninterrupted dividends to its shareholders since its inception. As of August 18, 2023, Urstadt Biddle Properties Inc. operates as a subsidiary of Regency Centers Corporation.",55,"{'maxAge': 1, 'name': 'Ms. Laura  Santangelo', 'title': 'Investor Relations Contact', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,9,10,10,1690848000,1672444800,86400,2,21.53,21.53,21.08,21.69,21.53,21.53,21.08,21.69,0.83,0.0394,1686614400,1.5984,5.26,1.122618,34.655735,17.471073,4484692,4484692,302055,647800,647800,0.0,0.0,1000,1400,832173952,15.07,23.16,5.764654,21.738,19.0627,0.975,0.045285646,USD,1397113984,0.27153,28823297,28972000,373553,365212,1688083200,1690761600,0.0095,0.02694,0.6999,2.39,0.0191,8.895,2.376616,1667174400,1698710400,1682812800,-0.182,25548000,0.61,1.21,9.678,16.383,NYQ,EQUITY,UBA,UBA,Urstadt Biddle Properties Inc.,Urstadt Biddle Properties Inc.,903360600,America/New_York,EDT,-14400000,21.14,21.0,21.0,21.0,21.0,3.0,hold,1,24125000,0.639,85276000,337660000,8.287,11.86,144358000,54.379,3.776,0.03546,0.06702,94955000,63429000,79558000,-0.246,-0.022,0.66407996,0.59072,0.38979,USD,
7,321 Railroad Avenue,Greenwich,CT,06830-6389,United States,203 863 8200,203 861 6755,https://www.ubproperties.com,REIT—Retail,Real Estate,"Urstadt Biddle Properties Inc. is a self-administered equity real estate investment trust which owns or has equity interests in 77 properties containing approximately 5.3 million square feet of space. Listed on the New York Stock Exchange since 1970, it provides investors with a means of participating in ownership of income-producing properties. It has paid 213 consecutive quarters of uninterrupted dividends to its shareholders since its inception. As of August 18, 2023, Urstadt Biddle Properties Inc. operates as a subsidiary of Regency Centers Corporation.",55,"{'maxAge': 1, 'name': 'Mr. James M. Aries', 'title': 'Sr. VP & Director of Acquisitions', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,9,10,10,1690848000,1672444800,86400,2,21.53,21.53,21.08,21.69,21.53,21.53,21.08,21.69,0.83,0.0394,1686614400,1.5984,5.26,1.122618,34.655735,17.471073,4484692,4484692,302055,647800,647800,0.0,0.0,1000,1400,832173952,15.07,23.16,5.764654,21.738,19.0627,0.975,0.045285646,USD,1397113984,0.27153,28823297,28972000,373553,365212,1688083200,1690761600,0.0095,0.02694,0.6999,2.39,0.0191,8.895,2.376616,1667174400,1698710400,1682812800,-0.182,25548000,0.61,1.21,9.678,16.383,NYQ,EQUITY,UBA,UBA,Urstadt Biddle Properties Inc.,Urstadt Biddle Properties Inc.,903360600,America/New_York,EDT,-14400000,21.14,21.0,21.0,21.0,21.0,3.0,hold,1,24125000,0.639,85276000,337660000,8.287,11.86,144358000,54.379,3.776,0.03546,0.06702,94955000,63429000,79558000,-0.246,-0.022,0.66407996,0.59072,0.38979,USD,
8,321 Railroad Avenue,Greenwich,CT,06830-6389,United States,203 863 8200,203 861 6755,https://www.ubproperties.com,REIT—Retail,Real Estate,"Urstadt Biddle Properties Inc. is a self-administered equity real estate investment trust which owns or has equity interests in 77 properties containing approximately 5.3 million square feet of space. Listed on the New York Stock Exchange since 1970, it provides investors with a means of participating in ownership of income-producing properties. It has paid 213 consecutive quarters of uninterrupted dividends to its shareholders since its inception. As of August 18, 2023, Urstadt Biddle Properties Inc. operates as a subsidiary of Regency Centers Corporation.",55,"{'maxAge': 1, 'name': 'Ms. Linda L. Lacey', 'title': 'Sr. VP & Director of Leasing', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,9,10,10,1690848000,1672444800,86400,2,21.53,21.53,21.08,21.69,21.53,21.53,21.08,21.69,0.83,0.0394,1686614400,1.5984,5.26,1.122618,34.655735,17.471073,4484692,4484692,302055,647800,647800,0.0,0.0,1000,1400,832173952,15.07,23.16,5.764654,21.738,19.0627,0.975,0.045285646,USD,1397113984,0.27153,28823297,28972000,373553,365212,1688083200,1690761600,0.0095,0.02694,0.6999,2.39,0.0191,8.895,2.376616,1667174400,1698710400,1682812800,-0.182,25548000,0.61,1.21,9.678,16.383,NYQ,EQUITY,UBA,UBA,Urstadt Biddle Properties Inc.,Urstadt Biddle Properties Inc.,903360600,America/New_York,EDT,-14400000,21.14,21.0,21.0,21.0,21.0,3.0,hold,1,24125000,0.639,85276000,337660000,8.287,11.86,144358000,54.379,3.776,0.03546,0.06702,94955000,63429000,79558000,-0.246,-0.022,0.66407996,0.59072,0.38979,USD,
9,321 Railroad Avenue,Greenwich,CT,06830-6389,United States,203 863 8200,203 861 6755,https://www.ubproperties.com,REIT—Retail,Real Estate,"Urstadt Biddle Properties Inc. is a self-administered equity real estate investment trust which owns or has equity interests in 77 properties containing approximately 5.3 million square feet of space. Listed on the New York Stock Exchange since 1970, it provides investors with a means of participating in ownership of income-producing properties. It has paid 213 consecutive quarters of uninterrupted dividends to its shareholders since its inception. As of August 18, 2023, Urstadt Biddle Properties Inc. operates as a subsidiary of Regency Centers Corporation.",55,"{'maxAge': 1, 'name': 'Mr. Christopher  Perez CPA', 'title': 'VP & Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,9,10,10,1690848000,1672444800,86400,2,21.53,21.53,21.08,21.69,21.53,21.53,21.08,21.69,0.83,0.0394,1686614400,1.5984,5.26,1.122618,34.655735,17.471073,4484692,4484692,302055,647800,647800,0.0,0.0,1000,1400,832173952,15.07,23.16,5.764654,21.738,19.0627,0.975,0.045285646,USD,1397113984,0.27153,28823297,28972000,373553,365212,1688083200,1690761600,0.0095,0.02694,0.6999,2.39,0.0191,8.895,2.376616,1667174400,1698710400,1682812800,-0.182,25548000,0.61,1.21,9.678,16.383,NYQ,EQUITY,UBA,UBA,Urstadt Biddle Properties Inc.,Urstadt Biddle Properties Inc.,903360600,America/New_York,EDT,-14400000,21.14,21.0,21.0,21.0,21.0,3.0,hold,1,24125000,0.639,85276000,337660000,8.287,11.86,144358000,54.379,3.776,0.03546,0.06702,94955000,63429000,79558000,-0.246,-0.022,0.66407996,0.59072,0.38979,USD,
