,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Penn Plaza,Suite 4015,New York,NY,10119-4015,United States,212 692 7200,212 594 6600,https://www.lxp.com,REIT—Industrial,Real Estate,"LXP Industrial Trust (NYSE: LXP) is a publicly traded real estate investment trust (REIT) focused on single-tenant industrial real estate investments across the United States. LXP seeks to expand its industrial portfolio through acquisitions, build-to-suit transactions, sale-leaseback transactions, development projects and other transactions.",66,"{'maxAge': 1, 'name': 'Mr. T. Wilson Eglin', 'age': 57, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 2617988, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,2,1,1693526400,1672444800,86400,2,9.74,9.68,9.605,9.76,9.74,9.68,9.605,9.76,0.5,0.0513,1695859200,2.3634,4.68,0.802904,46.142857,969.0,6152491,6152491,1869074,1978700,1978700,9.75,9.78,3000,3200,2843404288,8.81,11.92,8.530631,9.9086,10.2043,0.495,0.050821356,USD,4449561088,0.19495001,285580578,292606016,5939979,5530929,1690761600,1693440000,0.020299999,0.02283,0.95705,3.27,0.039300002,7.474,1.2964945,1672444800,1703980800,1688083200,58481000,0.21,0.01,13.349,19.112,NYQ,EQUITY,LXP,LXP,LXP Industrial Trust,LXP Industrial Trust,751296600,America/New_York,EDT,-14400000,9.69,12.0,10.0,11.0,11.0,2.7,hold,5,38429000,0.131,232812992,1506087936,1.577,2.008,333316992,64.953,1.177,0.00811,0.029409999,266375000,175364992,191706000,0.091,0.81484,0.69847,0.15602,USD,
1,One Penn Plaza,Suite 4015,New York,NY,10119-4015,United States,212 692 7200,212 594 6600,https://www.lxp.com,REIT—Industrial,Real Estate,"LXP Industrial Trust (NYSE: LXP) is a publicly traded real estate investment trust (REIT) focused on single-tenant industrial real estate investments across the United States. LXP seeks to expand its industrial portfolio through acquisitions, build-to-suit transactions, sale-leaseback transactions, development projects and other transactions.",66,"{'maxAge': 1, 'name': 'Ms. Beth  Boulerice', 'age': 57, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1038758, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,2,1,1693526400,1672444800,86400,2,9.74,9.68,9.605,9.76,9.74,9.68,9.605,9.76,0.5,0.0513,1695859200,2.3634,4.68,0.802904,46.142857,969.0,6152491,6152491,1869074,1978700,1978700,9.75,9.78,3000,3200,2843404288,8.81,11.92,8.530631,9.9086,10.2043,0.495,0.050821356,USD,4449561088,0.19495001,285580578,292606016,5939979,5530929,1690761600,1693440000,0.020299999,0.02283,0.95705,3.27,0.039300002,7.474,1.2964945,1672444800,1703980800,1688083200,58481000,0.21,0.01,13.349,19.112,NYQ,EQUITY,LXP,LXP,LXP Industrial Trust,LXP Industrial Trust,751296600,America/New_York,EDT,-14400000,9.69,12.0,10.0,11.0,11.0,2.7,hold,5,38429000,0.131,232812992,1506087936,1.577,2.008,333316992,64.953,1.177,0.00811,0.029409999,266375000,175364992,191706000,0.091,0.81484,0.69847,0.15602,USD,
2,One Penn Plaza,Suite 4015,New York,NY,10119-4015,United States,212 692 7200,212 594 6600,https://www.lxp.com,REIT—Industrial,Real Estate,"LXP Industrial Trust (NYSE: LXP) is a publicly traded real estate investment trust (REIT) focused on single-tenant industrial real estate investments across the United States. LXP seeks to expand its industrial portfolio through acquisitions, build-to-suit transactions, sale-leaseback transactions, development projects and other transactions.",66,"{'maxAge': 1, 'name': 'Mr. Joseph S. Bonventre', 'age': 46, 'title': 'COO, Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 1236813, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,2,1,1693526400,1672444800,86400,2,9.74,9.68,9.605,9.76,9.74,9.68,9.605,9.76,0.5,0.0513,1695859200,2.3634,4.68,0.802904,46.142857,969.0,6152491,6152491,1869074,1978700,1978700,9.75,9.78,3000,3200,2843404288,8.81,11.92,8.530631,9.9086,10.2043,0.495,0.050821356,USD,4449561088,0.19495001,285580578,292606016,5939979,5530929,1690761600,1693440000,0.020299999,0.02283,0.95705,3.27,0.039300002,7.474,1.2964945,1672444800,1703980800,1688083200,58481000,0.21,0.01,13.349,19.112,NYQ,EQUITY,LXP,LXP,LXP Industrial Trust,LXP Industrial Trust,751296600,America/New_York,EDT,-14400000,9.69,12.0,10.0,11.0,11.0,2.7,hold,5,38429000,0.131,232812992,1506087936,1.577,2.008,333316992,64.953,1.177,0.00811,0.029409999,266375000,175364992,191706000,0.091,0.81484,0.69847,0.15602,USD,
3,One Penn Plaza,Suite 4015,New York,NY,10119-4015,United States,212 692 7200,212 594 6600,https://www.lxp.com,REIT—Industrial,Real Estate,"LXP Industrial Trust (NYSE: LXP) is a publicly traded real estate investment trust (REIT) focused on single-tenant industrial real estate investments across the United States. LXP seeks to expand its industrial portfolio through acquisitions, build-to-suit transactions, sale-leaseback transactions, development projects and other transactions.",66,"{'maxAge': 1, 'name': 'Mr. Brendan P. Mullinix', 'age': 47, 'title': 'Chief Investment Officer & Exec. VP', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 1063161, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,2,1,1693526400,1672444800,86400,2,9.74,9.68,9.605,9.76,9.74,9.68,9.605,9.76,0.5,0.0513,1695859200,2.3634,4.68,0.802904,46.142857,969.0,6152491,6152491,1869074,1978700,1978700,9.75,9.78,3000,3200,2843404288,8.81,11.92,8.530631,9.9086,10.2043,0.495,0.050821356,USD,4449561088,0.19495001,285580578,292606016,5939979,5530929,1690761600,1693440000,0.020299999,0.02283,0.95705,3.27,0.039300002,7.474,1.2964945,1672444800,1703980800,1688083200,58481000,0.21,0.01,13.349,19.112,NYQ,EQUITY,LXP,LXP,LXP Industrial Trust,LXP Industrial Trust,751296600,America/New_York,EDT,-14400000,9.69,12.0,10.0,11.0,11.0,2.7,hold,5,38429000,0.131,232812992,1506087936,1.577,2.008,333316992,64.953,1.177,0.00811,0.029409999,266375000,175364992,191706000,0.091,0.81484,0.69847,0.15602,USD,
4,One Penn Plaza,Suite 4015,New York,NY,10119-4015,United States,212 692 7200,212 594 6600,https://www.lxp.com,REIT—Industrial,Real Estate,"LXP Industrial Trust (NYSE: LXP) is a publicly traded real estate investment trust (REIT) focused on single-tenant industrial real estate investments across the United States. LXP seeks to expand its industrial portfolio through acquisitions, build-to-suit transactions, sale-leaseback transactions, development projects and other transactions.",66,"{'maxAge': 1, 'name': 'Mr. James  Dudley', 'age': 41, 'title': 'Exec. VP & Director of Asset Management', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 855173, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,2,1,1693526400,1672444800,86400,2,9.74,9.68,9.605,9.76,9.74,9.68,9.605,9.76,0.5,0.0513,1695859200,2.3634,4.68,0.802904,46.142857,969.0,6152491,6152491,1869074,1978700,1978700,9.75,9.78,3000,3200,2843404288,8.81,11.92,8.530631,9.9086,10.2043,0.495,0.050821356,USD,4449561088,0.19495001,285580578,292606016,5939979,5530929,1690761600,1693440000,0.020299999,0.02283,0.95705,3.27,0.039300002,7.474,1.2964945,1672444800,1703980800,1688083200,58481000,0.21,0.01,13.349,19.112,NYQ,EQUITY,LXP,LXP,LXP Industrial Trust,LXP Industrial Trust,751296600,America/New_York,EDT,-14400000,9.69,12.0,10.0,11.0,11.0,2.7,hold,5,38429000,0.131,232812992,1506087936,1.577,2.008,333316992,64.953,1.177,0.00811,0.029409999,266375000,175364992,191706000,0.091,0.81484,0.69847,0.15602,USD,
5,One Penn Plaza,Suite 4015,New York,NY,10119-4015,United States,212 692 7200,212 594 6600,https://www.lxp.com,REIT—Industrial,Real Estate,"LXP Industrial Trust (NYSE: LXP) is a publicly traded real estate investment trust (REIT) focused on single-tenant industrial real estate investments across the United States. LXP seeks to expand its industrial portfolio through acquisitions, build-to-suit transactions, sale-leaseback transactions, development projects and other transactions.",66,"{'maxAge': 1, 'name': 'Mr. Mark  Cherone', 'age': 40, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,2,1,1693526400,1672444800,86400,2,9.74,9.68,9.605,9.76,9.74,9.68,9.605,9.76,0.5,0.0513,1695859200,2.3634,4.68,0.802904,46.142857,969.0,6152491,6152491,1869074,1978700,1978700,9.75,9.78,3000,3200,2843404288,8.81,11.92,8.530631,9.9086,10.2043,0.495,0.050821356,USD,4449561088,0.19495001,285580578,292606016,5939979,5530929,1690761600,1693440000,0.020299999,0.02283,0.95705,3.27,0.039300002,7.474,1.2964945,1672444800,1703980800,1688083200,58481000,0.21,0.01,13.349,19.112,NYQ,EQUITY,LXP,LXP,LXP Industrial Trust,LXP Industrial Trust,751296600,America/New_York,EDT,-14400000,9.69,12.0,10.0,11.0,11.0,2.7,hold,5,38429000,0.131,232812992,1506087936,1.577,2.008,333316992,64.953,1.177,0.00811,0.029409999,266375000,175364992,191706000,0.091,0.81484,0.69847,0.15602,USD,
6,One Penn Plaza,Suite 4015,New York,NY,10119-4015,United States,212 692 7200,212 594 6600,https://www.lxp.com,REIT—Industrial,Real Estate,"LXP Industrial Trust (NYSE: LXP) is a publicly traded real estate investment trust (REIT) focused on single-tenant industrial real estate investments across the United States. LXP seeks to expand its industrial portfolio through acquisitions, build-to-suit transactions, sale-leaseback transactions, development projects and other transactions.",66,"{'maxAge': 1, 'name': 'Ms. Heather T. Gentry', 'title': 'Sr. VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,2,1,1693526400,1672444800,86400,2,9.74,9.68,9.605,9.76,9.74,9.68,9.605,9.76,0.5,0.0513,1695859200,2.3634,4.68,0.802904,46.142857,969.0,6152491,6152491,1869074,1978700,1978700,9.75,9.78,3000,3200,2843404288,8.81,11.92,8.530631,9.9086,10.2043,0.495,0.050821356,USD,4449561088,0.19495001,285580578,292606016,5939979,5530929,1690761600,1693440000,0.020299999,0.02283,0.95705,3.27,0.039300002,7.474,1.2964945,1672444800,1703980800,1688083200,58481000,0.21,0.01,13.349,19.112,NYQ,EQUITY,LXP,LXP,LXP Industrial Trust,LXP Industrial Trust,751296600,America/New_York,EDT,-14400000,9.69,12.0,10.0,11.0,11.0,2.7,hold,5,38429000,0.131,232812992,1506087936,1.577,2.008,333316992,64.953,1.177,0.00811,0.029409999,266375000,175364992,191706000,0.091,0.81484,0.69847,0.15602,USD,
7,One Penn Plaza,Suite 4015,New York,NY,10119-4015,United States,212 692 7200,212 594 6600,https://www.lxp.com,REIT—Industrial,Real Estate,"LXP Industrial Trust (NYSE: LXP) is a publicly traded real estate investment trust (REIT) focused on single-tenant industrial real estate investments across the United States. LXP seeks to expand its industrial portfolio through acquisitions, build-to-suit transactions, sale-leaseback transactions, development projects and other transactions.",66,"{'maxAge': 1, 'name': 'Ms. Sara  Klein', 'title': 'Director of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,2,1,1693526400,1672444800,86400,2,9.74,9.68,9.605,9.76,9.74,9.68,9.605,9.76,0.5,0.0513,1695859200,2.3634,4.68,0.802904,46.142857,969.0,6152491,6152491,1869074,1978700,1978700,9.75,9.78,3000,3200,2843404288,8.81,11.92,8.530631,9.9086,10.2043,0.495,0.050821356,USD,4449561088,0.19495001,285580578,292606016,5939979,5530929,1690761600,1693440000,0.020299999,0.02283,0.95705,3.27,0.039300002,7.474,1.2964945,1672444800,1703980800,1688083200,58481000,0.21,0.01,13.349,19.112,NYQ,EQUITY,LXP,LXP,LXP Industrial Trust,LXP Industrial Trust,751296600,America/New_York,EDT,-14400000,9.69,12.0,10.0,11.0,11.0,2.7,hold,5,38429000,0.131,232812992,1506087936,1.577,2.008,333316992,64.953,1.177,0.00811,0.029409999,266375000,175364992,191706000,0.091,0.81484,0.69847,0.15602,USD,
8,One Penn Plaza,Suite 4015,New York,NY,10119-4015,United States,212 692 7200,212 594 6600,https://www.lxp.com,REIT—Industrial,Real Estate,"LXP Industrial Trust (NYSE: LXP) is a publicly traded real estate investment trust (REIT) focused on single-tenant industrial real estate investments across the United States. LXP seeks to expand its industrial portfolio through acquisitions, build-to-suit transactions, sale-leaseback transactions, development projects and other transactions.",66,"{'maxAge': 1, 'name': 'Mr. Patrick  Carroll', 'age': 58, 'title': 'Exec. VP & Chief Risk Officer', 'yearBorn': 1964, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,2,1,1693526400,1672444800,86400,2,9.74,9.68,9.605,9.76,9.74,9.68,9.605,9.76,0.5,0.0513,1695859200,2.3634,4.68,0.802904,46.142857,969.0,6152491,6152491,1869074,1978700,1978700,9.75,9.78,3000,3200,2843404288,8.81,11.92,8.530631,9.9086,10.2043,0.495,0.050821356,USD,4449561088,0.19495001,285580578,292606016,5939979,5530929,1690761600,1693440000,0.020299999,0.02283,0.95705,3.27,0.039300002,7.474,1.2964945,1672444800,1703980800,1688083200,58481000,0.21,0.01,13.349,19.112,NYQ,EQUITY,LXP,LXP,LXP Industrial Trust,LXP Industrial Trust,751296600,America/New_York,EDT,-14400000,9.69,12.0,10.0,11.0,11.0,2.7,hold,5,38429000,0.131,232812992,1506087936,1.577,2.008,333316992,64.953,1.177,0.00811,0.029409999,266375000,175364992,191706000,0.091,0.81484,0.69847,0.15602,USD,
9,One Penn Plaza,Suite 4015,New York,NY,10119-4015,United States,212 692 7200,212 594 6600,https://www.lxp.com,REIT—Industrial,Real Estate,"LXP Industrial Trust (NYSE: LXP) is a publicly traded real estate investment trust (REIT) focused on single-tenant industrial real estate investments across the United States. LXP seeks to expand its industrial portfolio through acquisitions, build-to-suit transactions, sale-leaseback transactions, development projects and other transactions.",66,"{'maxAge': 1, 'name': 'Ms. Natasha  Roberts', 'age': 55, 'title': 'Exec. VP & Director of Institutional Fund Management', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,2,2,1,1693526400,1672444800,86400,2,9.74,9.68,9.605,9.76,9.74,9.68,9.605,9.76,0.5,0.0513,1695859200,2.3634,4.68,0.802904,46.142857,969.0,6152491,6152491,1869074,1978700,1978700,9.75,9.78,3000,3200,2843404288,8.81,11.92,8.530631,9.9086,10.2043,0.495,0.050821356,USD,4449561088,0.19495001,285580578,292606016,5939979,5530929,1690761600,1693440000,0.020299999,0.02283,0.95705,3.27,0.039300002,7.474,1.2964945,1672444800,1703980800,1688083200,58481000,0.21,0.01,13.349,19.112,NYQ,EQUITY,LXP,LXP,LXP Industrial Trust,LXP Industrial Trust,751296600,America/New_York,EDT,-14400000,9.69,12.0,10.0,11.0,11.0,2.7,hold,5,38429000,0.131,232812992,1506087936,1.577,2.008,333316992,64.953,1.177,0.00811,0.029409999,266375000,175364992,191706000,0.091,0.81484,0.69847,0.15602,USD,
