,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Prudential Center, 800 Boylston Street",Suite 1900,Boston,MA,02199-8103,United States,617 236 3300,617 236 3311,https://www.bxp.com,REIT—Office,Real Estate,"BXP (NYSE: BXP) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets- Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by unconsolidated joint ventures, BXP's portfolio totals 54.1 million square feet and 191 properties, including 13 properties under construction/redevelopment.",780,"{'maxAge': 1, 'name': 'Mr. Owen David Thomas', 'age': 60, 'title': 'CEO & Chairman', 'yearBorn': 1962, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,8,8,9,1693526400,1672444800,86400,2,66.24,66.25,65.57,66.7465,66.24,66.25,65.57,66.7465,3.92,0.0591,1695859200,0.9267,4.04,1.149377,15.66903,28.69264,1775142,1775142,1590414,1400630,1400630,66.29,66.26,1000,800,10397011968,46.18,82.96,3.2804146,64.887,61.27285,3.92,0.059178747,USD,26974803968,0.20985001,156461407,156864992,8827268,10162187,1690761600,1693440000,0.0563,0.00187,1.03146,5.87,0.0769,38.508,1.7212008,1672444800,1703980800,1688083200,-0.532,664462976,4.23,2.31,3.67,8.511,14.822,NYQ,EQUITY,BXP,BXP,"Boston Properties, Inc.","Boston Properties, Inc.",866640600,America/New_York,EDT,-14400000,66.28,85.0,52.0,69.5,69.0,2.7,hold,14,1581575040,10.082,1819959040,15912904704,4.19,4.488,3169420032,192.033,20.214,0.02626,0.0996,1952127000,1157677312,1278942976,-0.535,0.054,0.62738997,0.57422,0.32215,USD,
1,"Prudential Center, 800 Boylston Street",Suite 1900,Boston,MA,02199-8103,United States,617 236 3300,617 236 3311,https://www.bxp.com,REIT—Office,Real Estate,"BXP (NYSE: BXP) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets- Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by unconsolidated joint ventures, BXP's portfolio totals 54.1 million square feet and 191 properties, including 13 properties under construction/redevelopment.",780,"{'maxAge': 1, 'name': 'Mr. Douglas T. Linde', 'age': 58, 'title': 'Pres & Director', 'yearBorn': 1964, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,8,8,9,1693526400,1672444800,86400,2,66.24,66.25,65.57,66.7465,66.24,66.25,65.57,66.7465,3.92,0.0591,1695859200,0.9267,4.04,1.149377,15.66903,28.69264,1775142,1775142,1590414,1400630,1400630,66.29,66.26,1000,800,10397011968,46.18,82.96,3.2804146,64.887,61.27285,3.92,0.059178747,USD,26974803968,0.20985001,156461407,156864992,8827268,10162187,1690761600,1693440000,0.0563,0.00187,1.03146,5.87,0.0769,38.508,1.7212008,1672444800,1703980800,1688083200,-0.532,664462976,4.23,2.31,3.67,8.511,14.822,NYQ,EQUITY,BXP,BXP,"Boston Properties, Inc.","Boston Properties, Inc.",866640600,America/New_York,EDT,-14400000,66.28,85.0,52.0,69.5,69.0,2.7,hold,14,1581575040,10.082,1819959040,15912904704,4.19,4.488,3169420032,192.033,20.214,0.02626,0.0996,1952127000,1157677312,1278942976,-0.535,0.054,0.62738997,0.57422,0.32215,USD,
2,"Prudential Center, 800 Boylston Street",Suite 1900,Boston,MA,02199-8103,United States,617 236 3300,617 236 3311,https://www.bxp.com,REIT—Office,Real Estate,"BXP (NYSE: BXP) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets- Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by unconsolidated joint ventures, BXP's portfolio totals 54.1 million square feet and 191 properties, including 13 properties under construction/redevelopment.",780,"{'maxAge': 1, 'name': 'Mr. Michael E. LaBelle', 'age': 58, 'title': 'Exec. VP, Treasurer & CFO', 'yearBorn': 1964, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,8,8,9,1693526400,1672444800,86400,2,66.24,66.25,65.57,66.7465,66.24,66.25,65.57,66.7465,3.92,0.0591,1695859200,0.9267,4.04,1.149377,15.66903,28.69264,1775142,1775142,1590414,1400630,1400630,66.29,66.26,1000,800,10397011968,46.18,82.96,3.2804146,64.887,61.27285,3.92,0.059178747,USD,26974803968,0.20985001,156461407,156864992,8827268,10162187,1690761600,1693440000,0.0563,0.00187,1.03146,5.87,0.0769,38.508,1.7212008,1672444800,1703980800,1688083200,-0.532,664462976,4.23,2.31,3.67,8.511,14.822,NYQ,EQUITY,BXP,BXP,"Boston Properties, Inc.","Boston Properties, Inc.",866640600,America/New_York,EDT,-14400000,66.28,85.0,52.0,69.5,69.0,2.7,hold,14,1581575040,10.082,1819959040,15912904704,4.19,4.488,3169420032,192.033,20.214,0.02626,0.0996,1952127000,1157677312,1278942976,-0.535,0.054,0.62738997,0.57422,0.32215,USD,
3,"Prudential Center, 800 Boylston Street",Suite 1900,Boston,MA,02199-8103,United States,617 236 3300,617 236 3311,https://www.bxp.com,REIT—Office,Real Estate,"BXP (NYSE: BXP) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets- Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by unconsolidated joint ventures, BXP's portfolio totals 54.1 million square feet and 191 properties, including 13 properties under construction/redevelopment.",780,"{'maxAge': 1, 'name': 'Mr. Raymond A. Ritchey', 'age': 71, 'title': 'Sr. Exec. VP', 'yearBorn': 1951, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,8,8,9,1693526400,1672444800,86400,2,66.24,66.25,65.57,66.7465,66.24,66.25,65.57,66.7465,3.92,0.0591,1695859200,0.9267,4.04,1.149377,15.66903,28.69264,1775142,1775142,1590414,1400630,1400630,66.29,66.26,1000,800,10397011968,46.18,82.96,3.2804146,64.887,61.27285,3.92,0.059178747,USD,26974803968,0.20985001,156461407,156864992,8827268,10162187,1690761600,1693440000,0.0563,0.00187,1.03146,5.87,0.0769,38.508,1.7212008,1672444800,1703980800,1688083200,-0.532,664462976,4.23,2.31,3.67,8.511,14.822,NYQ,EQUITY,BXP,BXP,"Boston Properties, Inc.","Boston Properties, Inc.",866640600,America/New_York,EDT,-14400000,66.28,85.0,52.0,69.5,69.0,2.7,hold,14,1581575040,10.082,1819959040,15912904704,4.19,4.488,3169420032,192.033,20.214,0.02626,0.0996,1952127000,1157677312,1278942976,-0.535,0.054,0.62738997,0.57422,0.32215,USD,
4,"Prudential Center, 800 Boylston Street",Suite 1900,Boston,MA,02199-8103,United States,617 236 3300,617 236 3311,https://www.bxp.com,REIT—Office,Real Estate,"BXP (NYSE: BXP) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets- Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by unconsolidated joint ventures, BXP's portfolio totals 54.1 million square feet and 191 properties, including 13 properties under construction/redevelopment.",780,"{'maxAge': 1, 'name': 'Mr. Bryan J. Koop', 'age': 63, 'title': 'Exec. VP of Boston Region', 'yearBorn': 1959, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,8,8,9,1693526400,1672444800,86400,2,66.24,66.25,65.57,66.7465,66.24,66.25,65.57,66.7465,3.92,0.0591,1695859200,0.9267,4.04,1.149377,15.66903,28.69264,1775142,1775142,1590414,1400630,1400630,66.29,66.26,1000,800,10397011968,46.18,82.96,3.2804146,64.887,61.27285,3.92,0.059178747,USD,26974803968,0.20985001,156461407,156864992,8827268,10162187,1690761600,1693440000,0.0563,0.00187,1.03146,5.87,0.0769,38.508,1.7212008,1672444800,1703980800,1688083200,-0.532,664462976,4.23,2.31,3.67,8.511,14.822,NYQ,EQUITY,BXP,BXP,"Boston Properties, Inc.","Boston Properties, Inc.",866640600,America/New_York,EDT,-14400000,66.28,85.0,52.0,69.5,69.0,2.7,hold,14,1581575040,10.082,1819959040,15912904704,4.19,4.488,3169420032,192.033,20.214,0.02626,0.0996,1952127000,1157677312,1278942976,-0.535,0.054,0.62738997,0.57422,0.32215,USD,
5,"Prudential Center, 800 Boylston Street",Suite 1900,Boston,MA,02199-8103,United States,617 236 3300,617 236 3311,https://www.bxp.com,REIT—Office,Real Estate,"BXP (NYSE: BXP) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets- Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by unconsolidated joint ventures, BXP's portfolio totals 54.1 million square feet and 191 properties, including 13 properties under construction/redevelopment.",780,"{'maxAge': 1, 'name': 'Mr. Mortimer B. Zuckerman', 'age': 84, 'title': 'Co-Founder & Chairman Emeritus', 'yearBorn': 1938, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,8,8,9,1693526400,1672444800,86400,2,66.24,66.25,65.57,66.7465,66.24,66.25,65.57,66.7465,3.92,0.0591,1695859200,0.9267,4.04,1.149377,15.66903,28.69264,1775142,1775142,1590414,1400630,1400630,66.29,66.26,1000,800,10397011968,46.18,82.96,3.2804146,64.887,61.27285,3.92,0.059178747,USD,26974803968,0.20985001,156461407,156864992,8827268,10162187,1690761600,1693440000,0.0563,0.00187,1.03146,5.87,0.0769,38.508,1.7212008,1672444800,1703980800,1688083200,-0.532,664462976,4.23,2.31,3.67,8.511,14.822,NYQ,EQUITY,BXP,BXP,"Boston Properties, Inc.","Boston Properties, Inc.",866640600,America/New_York,EDT,-14400000,66.28,85.0,52.0,69.5,69.0,2.7,hold,14,1581575040,10.082,1819959040,15912904704,4.19,4.488,3169420032,192.033,20.214,0.02626,0.0996,1952127000,1157677312,1278942976,-0.535,0.054,0.62738997,0.57422,0.32215,USD,
6,"Prudential Center, 800 Boylston Street",Suite 1900,Boston,MA,02199-8103,United States,617 236 3300,617 236 3311,https://www.bxp.com,REIT—Office,Real Estate,"BXP (NYSE: BXP) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets- Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by unconsolidated joint ventures, BXP's portfolio totals 54.1 million square feet and 191 properties, including 13 properties under construction/redevelopment.",780,"{'maxAge': 1, 'name': 'Mr. Michael R. Walsh', 'age': 55, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,8,8,9,1693526400,1672444800,86400,2,66.24,66.25,65.57,66.7465,66.24,66.25,65.57,66.7465,3.92,0.0591,1695859200,0.9267,4.04,1.149377,15.66903,28.69264,1775142,1775142,1590414,1400630,1400630,66.29,66.26,1000,800,10397011968,46.18,82.96,3.2804146,64.887,61.27285,3.92,0.059178747,USD,26974803968,0.20985001,156461407,156864992,8827268,10162187,1690761600,1693440000,0.0563,0.00187,1.03146,5.87,0.0769,38.508,1.7212008,1672444800,1703980800,1688083200,-0.532,664462976,4.23,2.31,3.67,8.511,14.822,NYQ,EQUITY,BXP,BXP,"Boston Properties, Inc.","Boston Properties, Inc.",866640600,America/New_York,EDT,-14400000,66.28,85.0,52.0,69.5,69.0,2.7,hold,14,1581575040,10.082,1819959040,15912904704,4.19,4.488,3169420032,192.033,20.214,0.02626,0.0996,1952127000,1157677312,1278942976,-0.535,0.054,0.62738997,0.57422,0.32215,USD,
7,"Prudential Center, 800 Boylston Street",Suite 1900,Boston,MA,02199-8103,United States,617 236 3300,617 236 3311,https://www.bxp.com,REIT—Office,Real Estate,"BXP (NYSE: BXP) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets- Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by unconsolidated joint ventures, BXP's portfolio totals 54.1 million square feet and 191 properties, including 13 properties under construction/redevelopment.",780,"{'maxAge': 1, 'name': 'Helen  Han', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,8,8,9,1693526400,1672444800,86400,2,66.24,66.25,65.57,66.7465,66.24,66.25,65.57,66.7465,3.92,0.0591,1695859200,0.9267,4.04,1.149377,15.66903,28.69264,1775142,1775142,1590414,1400630,1400630,66.29,66.26,1000,800,10397011968,46.18,82.96,3.2804146,64.887,61.27285,3.92,0.059178747,USD,26974803968,0.20985001,156461407,156864992,8827268,10162187,1690761600,1693440000,0.0563,0.00187,1.03146,5.87,0.0769,38.508,1.7212008,1672444800,1703980800,1688083200,-0.532,664462976,4.23,2.31,3.67,8.511,14.822,NYQ,EQUITY,BXP,BXP,"Boston Properties, Inc.","Boston Properties, Inc.",866640600,America/New_York,EDT,-14400000,66.28,85.0,52.0,69.5,69.0,2.7,hold,14,1581575040,10.082,1819959040,15912904704,4.19,4.488,3169420032,192.033,20.214,0.02626,0.0996,1952127000,1157677312,1278942976,-0.535,0.054,0.62738997,0.57422,0.32215,USD,
8,"Prudential Center, 800 Boylston Street",Suite 1900,Boston,MA,02199-8103,United States,617 236 3300,617 236 3311,https://www.bxp.com,REIT—Office,Real Estate,"BXP (NYSE: BXP) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets- Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by unconsolidated joint ventures, BXP's portfolio totals 54.1 million square feet and 191 properties, including 13 properties under construction/redevelopment.",780,"{'maxAge': 1, 'name': 'Mr. Eric G. Kevorkian', 'age': 50, 'title': 'Sr. VP, Chief Legal Officer & Sec.', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,8,8,9,1693526400,1672444800,86400,2,66.24,66.25,65.57,66.7465,66.24,66.25,65.57,66.7465,3.92,0.0591,1695859200,0.9267,4.04,1.149377,15.66903,28.69264,1775142,1775142,1590414,1400630,1400630,66.29,66.26,1000,800,10397011968,46.18,82.96,3.2804146,64.887,61.27285,3.92,0.059178747,USD,26974803968,0.20985001,156461407,156864992,8827268,10162187,1690761600,1693440000,0.0563,0.00187,1.03146,5.87,0.0769,38.508,1.7212008,1672444800,1703980800,1688083200,-0.532,664462976,4.23,2.31,3.67,8.511,14.822,NYQ,EQUITY,BXP,BXP,"Boston Properties, Inc.","Boston Properties, Inc.",866640600,America/New_York,EDT,-14400000,66.28,85.0,52.0,69.5,69.0,2.7,hold,14,1581575040,10.082,1819959040,15912904704,4.19,4.488,3169420032,192.033,20.214,0.02626,0.0996,1952127000,1157677312,1278942976,-0.535,0.054,0.62738997,0.57422,0.32215,USD,
9,"Prudential Center, 800 Boylston Street",Suite 1900,Boston,MA,02199-8103,United States,617 236 3300,617 236 3311,https://www.bxp.com,REIT—Office,Real Estate,"BXP (NYSE: BXP) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets- Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by unconsolidated joint ventures, BXP's portfolio totals 54.1 million square feet and 191 properties, including 13 properties under construction/redevelopment.",780,"{'maxAge': 1, 'name': 'Ms. Laura M. Sesody', 'title': 'Sr. VP of Corp. Marketing & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,8,8,9,1693526400,1672444800,86400,2,66.24,66.25,65.57,66.7465,66.24,66.25,65.57,66.7465,3.92,0.0591,1695859200,0.9267,4.04,1.149377,15.66903,28.69264,1775142,1775142,1590414,1400630,1400630,66.29,66.26,1000,800,10397011968,46.18,82.96,3.2804146,64.887,61.27285,3.92,0.059178747,USD,26974803968,0.20985001,156461407,156864992,8827268,10162187,1690761600,1693440000,0.0563,0.00187,1.03146,5.87,0.0769,38.508,1.7212008,1672444800,1703980800,1688083200,-0.532,664462976,4.23,2.31,3.67,8.511,14.822,NYQ,EQUITY,BXP,BXP,"Boston Properties, Inc.","Boston Properties, Inc.",866640600,America/New_York,EDT,-14400000,66.28,85.0,52.0,69.5,69.0,2.7,hold,14,1581575040,10.082,1819959040,15912904704,4.19,4.488,3169420032,192.033,20.214,0.02626,0.0996,1952127000,1157677312,1278942976,-0.535,0.054,0.62738997,0.57422,0.32215,USD,
