,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1800 Bridge Parkway,Redwood City,CA,94065,United States,650 251 0005,https://nevro.com,Medical Devices,Healthcare,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation system for the treatment of chronic pain, as well as Senza II and Senza Omnia SCS systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company's Senza HFX iQ IPG system includes HFX iQ implantable pulse generator, HFX trial stimulator, and HFX iQ patient remote, as well as HFX App, a patient remote control and the wireless trialing system. In addition, it offers surpass surgical and percutaneous leads. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California.",1087,"{'maxAge': 1, 'name': 'Mr. D. Keith Grossman', 'age': 62, 'title': 'Exec. Chairman', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 1748376, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,10,4,8,1693526400,1672444800,86400,2,20.61,20.59,20.085,20.59,20.61,20.59,20.085,20.59,0.0,0.881051,202.99998,-8.787879,572824,572824,501616,364210,364210,20.3,20.54,900,800,733238016,17.88,50.54,1.7481105,21.4778,30.38035,0.0,0.0,USD,603789504,0.00611,31048496,36120100,2393745,1593540,1690761600,1693440000,0.066300005,0.02815,1.02929,3.92,0.1112,8.169,2.4850042,1672444800,1703980800,1688083200,2563000,0.1,-2.31,0.02,1:24,1415232000,1.439,-6.167,NYQ,EQUITY,NVRO,NVRO,Nevro Corp.,Nevro Corp.,1415284200,America/New_York,EDT,-14400000,20.3,57.0,19.0,28.33,24.0,3.0,hold,15,329942016,9.135,-97902000,200492992,5.151,6.854,419446016,68.021,11.784,-0.119160004,0.00977,276367000,-31429250,22111000,0.044,0.67614996,-0.23341,-0.24851,USD,
1,1800 Bridge Parkway,Redwood City,CA,94065,United States,650 251 0005,https://nevro.com,Medical Devices,Healthcare,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation system for the treatment of chronic pain, as well as Senza II and Senza Omnia SCS systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company's Senza HFX iQ IPG system includes HFX iQ implantable pulse generator, HFX trial stimulator, and HFX iQ patient remote, as well as HFX App, a patient remote control and the wireless trialing system. In addition, it offers surpass surgical and percutaneous leads. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California.",1087,"{'maxAge': 1, 'name': 'Mr. Roderick H. MacLeod', 'age': 55, 'title': 'Sr. VP & CFO', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 729607, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,10,4,8,1693526400,1672444800,86400,2,20.61,20.59,20.085,20.59,20.61,20.59,20.085,20.59,0.0,0.881051,202.99998,-8.787879,572824,572824,501616,364210,364210,20.3,20.54,900,800,733238016,17.88,50.54,1.7481105,21.4778,30.38035,0.0,0.0,USD,603789504,0.00611,31048496,36120100,2393745,1593540,1690761600,1693440000,0.066300005,0.02815,1.02929,3.92,0.1112,8.169,2.4850042,1672444800,1703980800,1688083200,2563000,0.1,-2.31,0.02,1:24,1415232000,1.439,-6.167,NYQ,EQUITY,NVRO,NVRO,Nevro Corp.,Nevro Corp.,1415284200,America/New_York,EDT,-14400000,20.3,57.0,19.0,28.33,24.0,3.0,hold,15,329942016,9.135,-97902000,200492992,5.151,6.854,419446016,68.021,11.784,-0.119160004,0.00977,276367000,-31429250,22111000,0.044,0.67614996,-0.23341,-0.24851,USD,
2,1800 Bridge Parkway,Redwood City,CA,94065,United States,650 251 0005,https://nevro.com,Medical Devices,Healthcare,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation system for the treatment of chronic pain, as well as Senza II and Senza Omnia SCS systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company's Senza HFX iQ IPG system includes HFX iQ implantable pulse generator, HFX trial stimulator, and HFX iQ patient remote, as well as HFX App, a patient remote control and the wireless trialing system. In addition, it offers surpass surgical and percutaneous leads. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California.",1087,"{'maxAge': 1, 'name': 'Mr. Kashif  Rashid', 'age': 48, 'title': 'Sr. VP, Gen. Counsel, Corp. Sec. & Chief Compliance Officer', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 703353, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,10,4,8,1693526400,1672444800,86400,2,20.61,20.59,20.085,20.59,20.61,20.59,20.085,20.59,0.0,0.881051,202.99998,-8.787879,572824,572824,501616,364210,364210,20.3,20.54,900,800,733238016,17.88,50.54,1.7481105,21.4778,30.38035,0.0,0.0,USD,603789504,0.00611,31048496,36120100,2393745,1593540,1690761600,1693440000,0.066300005,0.02815,1.02929,3.92,0.1112,8.169,2.4850042,1672444800,1703980800,1688083200,2563000,0.1,-2.31,0.02,1:24,1415232000,1.439,-6.167,NYQ,EQUITY,NVRO,NVRO,Nevro Corp.,Nevro Corp.,1415284200,America/New_York,EDT,-14400000,20.3,57.0,19.0,28.33,24.0,3.0,hold,15,329942016,9.135,-97902000,200492992,5.151,6.854,419446016,68.021,11.784,-0.119160004,0.00977,276367000,-31429250,22111000,0.044,0.67614996,-0.23341,-0.24851,USD,
3,1800 Bridge Parkway,Redwood City,CA,94065,United States,650 251 0005,https://nevro.com,Medical Devices,Healthcare,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation system for the treatment of chronic pain, as well as Senza II and Senza Omnia SCS systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company's Senza HFX iQ IPG system includes HFX iQ implantable pulse generator, HFX trial stimulator, and HFX iQ patient remote, as well as HFX App, a patient remote control and the wireless trialing system. In addition, it offers surpass surgical and percutaneous leads. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California.",1087,"{'maxAge': 1, 'name': 'Mr. Kevin R. Thornal', 'age': 48, 'title': 'Pres, CEO & Director', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,10,4,8,1693526400,1672444800,86400,2,20.61,20.59,20.085,20.59,20.61,20.59,20.085,20.59,0.0,0.881051,202.99998,-8.787879,572824,572824,501616,364210,364210,20.3,20.54,900,800,733238016,17.88,50.54,1.7481105,21.4778,30.38035,0.0,0.0,USD,603789504,0.00611,31048496,36120100,2393745,1593540,1690761600,1693440000,0.066300005,0.02815,1.02929,3.92,0.1112,8.169,2.4850042,1672444800,1703980800,1688083200,2563000,0.1,-2.31,0.02,1:24,1415232000,1.439,-6.167,NYQ,EQUITY,NVRO,NVRO,Nevro Corp.,Nevro Corp.,1415284200,America/New_York,EDT,-14400000,20.3,57.0,19.0,28.33,24.0,3.0,hold,15,329942016,9.135,-97902000,200492992,5.151,6.854,419446016,68.021,11.784,-0.119160004,0.00977,276367000,-31429250,22111000,0.044,0.67614996,-0.23341,-0.24851,USD,
4,1800 Bridge Parkway,Redwood City,CA,94065,United States,650 251 0005,https://nevro.com,Medical Devices,Healthcare,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation system for the treatment of chronic pain, as well as Senza II and Senza Omnia SCS systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company's Senza HFX iQ IPG system includes HFX iQ implantable pulse generator, HFX trial stimulator, and HFX iQ patient remote, as well as HFX App, a patient remote control and the wireless trialing system. In addition, it offers surpass surgical and percutaneous leads. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California.",1087,"{'maxAge': 1, 'name': 'Mr. Richard B. Carter', 'age': 51, 'title': 'Chief Accounting Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,10,4,8,1693526400,1672444800,86400,2,20.61,20.59,20.085,20.59,20.61,20.59,20.085,20.59,0.0,0.881051,202.99998,-8.787879,572824,572824,501616,364210,364210,20.3,20.54,900,800,733238016,17.88,50.54,1.7481105,21.4778,30.38035,0.0,0.0,USD,603789504,0.00611,31048496,36120100,2393745,1593540,1690761600,1693440000,0.066300005,0.02815,1.02929,3.92,0.1112,8.169,2.4850042,1672444800,1703980800,1688083200,2563000,0.1,-2.31,0.02,1:24,1415232000,1.439,-6.167,NYQ,EQUITY,NVRO,NVRO,Nevro Corp.,Nevro Corp.,1415284200,America/New_York,EDT,-14400000,20.3,57.0,19.0,28.33,24.0,3.0,hold,15,329942016,9.135,-97902000,200492992,5.151,6.854,419446016,68.021,11.784,-0.119160004,0.00977,276367000,-31429250,22111000,0.044,0.67614996,-0.23341,-0.24851,USD,
5,1800 Bridge Parkway,Redwood City,CA,94065,United States,650 251 0005,https://nevro.com,Medical Devices,Healthcare,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation system for the treatment of chronic pain, as well as Senza II and Senza Omnia SCS systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company's Senza HFX iQ IPG system includes HFX iQ implantable pulse generator, HFX trial stimulator, and HFX iQ patient remote, as well as HFX App, a patient remote control and the wireless trialing system. In addition, it offers surpass surgical and percutaneous leads. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California.",1087,"{'maxAge': 1, 'name': 'Mr. Christofer  Christoforou', 'age': 52, 'title': 'Sr. VP of Technical Operations', 'yearBorn': 1970, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,10,4,8,1693526400,1672444800,86400,2,20.61,20.59,20.085,20.59,20.61,20.59,20.085,20.59,0.0,0.881051,202.99998,-8.787879,572824,572824,501616,364210,364210,20.3,20.54,900,800,733238016,17.88,50.54,1.7481105,21.4778,30.38035,0.0,0.0,USD,603789504,0.00611,31048496,36120100,2393745,1593540,1690761600,1693440000,0.066300005,0.02815,1.02929,3.92,0.1112,8.169,2.4850042,1672444800,1703980800,1688083200,2563000,0.1,-2.31,0.02,1:24,1415232000,1.439,-6.167,NYQ,EQUITY,NVRO,NVRO,Nevro Corp.,Nevro Corp.,1415284200,America/New_York,EDT,-14400000,20.3,57.0,19.0,28.33,24.0,3.0,hold,15,329942016,9.135,-97902000,200492992,5.151,6.854,419446016,68.021,11.784,-0.119160004,0.00977,276367000,-31429250,22111000,0.044,0.67614996,-0.23341,-0.24851,USD,
6,1800 Bridge Parkway,Redwood City,CA,94065,United States,650 251 0005,https://nevro.com,Medical Devices,Healthcare,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation system for the treatment of chronic pain, as well as Senza II and Senza Omnia SCS systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company's Senza HFX iQ IPG system includes HFX iQ implantable pulse generator, HFX trial stimulator, and HFX iQ patient remote, as well as HFX App, a patient remote control and the wireless trialing system. In addition, it offers surpass surgical and percutaneous leads. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California.",1087,"{'maxAge': 1, 'name': 'Mr. Jon R. Shear', 'title': 'Sr. VP of Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,10,4,8,1693526400,1672444800,86400,2,20.61,20.59,20.085,20.59,20.61,20.59,20.085,20.59,0.0,0.881051,202.99998,-8.787879,572824,572824,501616,364210,364210,20.3,20.54,900,800,733238016,17.88,50.54,1.7481105,21.4778,30.38035,0.0,0.0,USD,603789504,0.00611,31048496,36120100,2393745,1593540,1690761600,1693440000,0.066300005,0.02815,1.02929,3.92,0.1112,8.169,2.4850042,1672444800,1703980800,1688083200,2563000,0.1,-2.31,0.02,1:24,1415232000,1.439,-6.167,NYQ,EQUITY,NVRO,NVRO,Nevro Corp.,Nevro Corp.,1415284200,America/New_York,EDT,-14400000,20.3,57.0,19.0,28.33,24.0,3.0,hold,15,329942016,9.135,-97902000,200492992,5.151,6.854,419446016,68.021,11.784,-0.119160004,0.00977,276367000,-31429250,22111000,0.044,0.67614996,-0.23341,-0.24851,USD,
7,1800 Bridge Parkway,Redwood City,CA,94065,United States,650 251 0005,https://nevro.com,Medical Devices,Healthcare,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation system for the treatment of chronic pain, as well as Senza II and Senza Omnia SCS systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company's Senza HFX iQ IPG system includes HFX iQ implantable pulse generator, HFX trial stimulator, and HFX iQ patient remote, as well as HFX App, a patient remote control and the wireless trialing system. In addition, it offers surpass surgical and percutaneous leads. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California.",1087,"{'maxAge': 1, 'name': 'Meredith  Vornholt', 'title': 'VP of Global Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,10,4,8,1693526400,1672444800,86400,2,20.61,20.59,20.085,20.59,20.61,20.59,20.085,20.59,0.0,0.881051,202.99998,-8.787879,572824,572824,501616,364210,364210,20.3,20.54,900,800,733238016,17.88,50.54,1.7481105,21.4778,30.38035,0.0,0.0,USD,603789504,0.00611,31048496,36120100,2393745,1593540,1690761600,1693440000,0.066300005,0.02815,1.02929,3.92,0.1112,8.169,2.4850042,1672444800,1703980800,1688083200,2563000,0.1,-2.31,0.02,1:24,1415232000,1.439,-6.167,NYQ,EQUITY,NVRO,NVRO,Nevro Corp.,Nevro Corp.,1415284200,America/New_York,EDT,-14400000,20.3,57.0,19.0,28.33,24.0,3.0,hold,15,329942016,9.135,-97902000,200492992,5.151,6.854,419446016,68.021,11.784,-0.119160004,0.00977,276367000,-31429250,22111000,0.044,0.67614996,-0.23341,-0.24851,USD,
8,1800 Bridge Parkway,Redwood City,CA,94065,United States,650 251 0005,https://nevro.com,Medical Devices,Healthcare,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation system for the treatment of chronic pain, as well as Senza II and Senza Omnia SCS systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company's Senza HFX iQ IPG system includes HFX iQ implantable pulse generator, HFX trial stimulator, and HFX iQ patient remote, as well as HFX App, a patient remote control and the wireless trialing system. In addition, it offers surpass surgical and percutaneous leads. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California.",1087,"{'maxAge': 1, 'name': 'Dr. David  Caraway M.D., Ph.D.', 'age': 65, 'title': 'Sr. VP & Chief Medical Officer', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,10,4,8,1693526400,1672444800,86400,2,20.61,20.59,20.085,20.59,20.61,20.59,20.085,20.59,0.0,0.881051,202.99998,-8.787879,572824,572824,501616,364210,364210,20.3,20.54,900,800,733238016,17.88,50.54,1.7481105,21.4778,30.38035,0.0,0.0,USD,603789504,0.00611,31048496,36120100,2393745,1593540,1690761600,1693440000,0.066300005,0.02815,1.02929,3.92,0.1112,8.169,2.4850042,1672444800,1703980800,1688083200,2563000,0.1,-2.31,0.02,1:24,1415232000,1.439,-6.167,NYQ,EQUITY,NVRO,NVRO,Nevro Corp.,Nevro Corp.,1415284200,America/New_York,EDT,-14400000,20.3,57.0,19.0,28.33,24.0,3.0,hold,15,329942016,9.135,-97902000,200492992,5.151,6.854,419446016,68.021,11.784,-0.119160004,0.00977,276367000,-31429250,22111000,0.044,0.67614996,-0.23341,-0.24851,USD,
9,1800 Bridge Parkway,Redwood City,CA,94065,United States,650 251 0005,https://nevro.com,Medical Devices,Healthcare,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation system for the treatment of chronic pain, as well as Senza II and Senza Omnia SCS systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company's Senza HFX iQ IPG system includes HFX iQ implantable pulse generator, HFX trial stimulator, and HFX iQ patient remote, as well as HFX App, a patient remote control and the wireless trialing system. In addition, it offers surpass surgical and percutaneous leads. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California.",1087,"{'maxAge': 1, 'name': 'Mr. Donald A. Middlebrook', 'age': 71, 'title': 'Sr. VP of Clinical & Regulatory Affairs', 'yearBorn': 1951, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,10,4,8,1693526400,1672444800,86400,2,20.61,20.59,20.085,20.59,20.61,20.59,20.085,20.59,0.0,0.881051,202.99998,-8.787879,572824,572824,501616,364210,364210,20.3,20.54,900,800,733238016,17.88,50.54,1.7481105,21.4778,30.38035,0.0,0.0,USD,603789504,0.00611,31048496,36120100,2393745,1593540,1690761600,1693440000,0.066300005,0.02815,1.02929,3.92,0.1112,8.169,2.4850042,1672444800,1703980800,1688083200,2563000,0.1,-2.31,0.02,1:24,1415232000,1.439,-6.167,NYQ,EQUITY,NVRO,NVRO,Nevro Corp.,Nevro Corp.,1415284200,America/New_York,EDT,-14400000,20.3,57.0,19.0,28.33,24.0,3.0,hold,15,329942016,9.135,-97902000,200492992,5.151,6.854,419446016,68.021,11.784,-0.119160004,0.00977,276367000,-31429250,22111000,0.044,0.67614996,-0.23341,-0.24851,USD,
