,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Gavin Peter Griggs', 'title': 'CEO & Exec. Director', 'fiscalYear': 2022, 'totalPay': 602000, 'exercisedValue': 0, 'unexercisedValue': 46314}",10,7,6,1,7,1693526400,1672444800,86400,2,2235.0,2270.0,2227.5,2290.0,2235.0,2270.0,2227.5,2290.0,0.94,0.0421,1694044800,0.7959,2.91,1.282657,1894.0679,12.592969,24062,24062,48667,12738,12738,1752.0,2300.0,0,0,441240416,1402.0,2750.0,1.349359,2122.38,2176.635,0.94,0.00042058167,GBp,643054272,0.07095,18507243,19742300,0.10135,0.76785004,6.714,332.8865,1672444800,1703980800,1688083200,23200000,1.18,177.48,0.52,1.967,13.799,LSE,EQUITY,XPP.L,XPP.L,XP POWER LIMITED ORD 1P (DI),XP Power Limited,962780400,Europe/London,BST,3600000,2235.0,3000.0,1820.0,2564.29,2700.0,2.0,buy,7,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
1,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Andy  Sng', 'age': 52, 'title': 'Exec. VP of Asia & Exec. Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 199000, 'exercisedValue': 0, 'unexercisedValue': 17777}",10,7,6,1,7,1693526400,1672444800,86400,2,2235.0,2270.0,2227.5,2290.0,2235.0,2270.0,2227.5,2290.0,0.94,0.0421,1694044800,0.7959,2.91,1.282657,1894.0679,12.592969,24062,24062,48667,12738,12738,1752.0,2300.0,0,0,441240416,1402.0,2750.0,1.349359,2122.38,2176.635,0.94,0.00042058167,GBp,643054272,0.07095,18507243,19742300,0.10135,0.76785004,6.714,332.8865,1672444800,1703980800,1688083200,23200000,1.18,177.48,0.52,1.967,13.799,LSE,EQUITY,XPP.L,XPP.L,XP POWER LIMITED ORD 1P (DI),XP Power Limited,962780400,Europe/London,BST,3600000,2235.0,3000.0,1820.0,2564.29,2700.0,2.0,buy,7,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
2,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Matthew John Webb', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,2235.0,2270.0,2227.5,2290.0,2235.0,2270.0,2227.5,2290.0,0.94,0.0421,1694044800,0.7959,2.91,1.282657,1894.0679,12.592969,24062,24062,48667,12738,12738,1752.0,2300.0,0,0,441240416,1402.0,2750.0,1.349359,2122.38,2176.635,0.94,0.00042058167,GBp,643054272,0.07095,18507243,19742300,0.10135,0.76785004,6.714,332.8865,1672444800,1703980800,1688083200,23200000,1.18,177.48,0.52,1.967,13.799,LSE,EQUITY,XPP.L,XPP.L,XP POWER LIMITED ORD 1P (DI),XP Power Limited,962780400,Europe/London,BST,3600000,2235.0,3000.0,1820.0,2564.29,2700.0,2.0,buy,7,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
3,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Adrian  Irwin', 'title': 'Exec. VP of Global Manufacturing & Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,2235.0,2270.0,2227.5,2290.0,2235.0,2270.0,2227.5,2290.0,0.94,0.0421,1694044800,0.7959,2.91,1.282657,1894.0679,12.592969,24062,24062,48667,12738,12738,1752.0,2300.0,0,0,441240416,1402.0,2750.0,1.349359,2122.38,2176.635,0.94,0.00042058167,GBp,643054272,0.07095,18507243,19742300,0.10135,0.76785004,6.714,332.8865,1672444800,1703980800,1688083200,23200000,1.18,177.48,0.52,1.967,13.799,LSE,EQUITY,XPP.L,XPP.L,XP POWER LIMITED ORD 1P (DI),XP Power Limited,962780400,Europe/London,BST,3600000,2235.0,3000.0,1820.0,2564.29,2700.0,2.0,buy,7,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
4,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Gary  Bocock', 'title': 'Technical Director', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,2235.0,2270.0,2227.5,2290.0,2235.0,2270.0,2227.5,2290.0,0.94,0.0421,1694044800,0.7959,2.91,1.282657,1894.0679,12.592969,24062,24062,48667,12738,12738,1752.0,2300.0,0,0,441240416,1402.0,2750.0,1.349359,2122.38,2176.635,0.94,0.00042058167,GBp,643054272,0.07095,18507243,19742300,0.10135,0.76785004,6.714,332.8865,1672444800,1703980800,1688083200,23200000,1.18,177.48,0.52,1.967,13.799,LSE,EQUITY,XPP.L,XPP.L,XP POWER LIMITED ORD 1P (DI),XP Power Limited,962780400,Europe/London,BST,3600000,2235.0,3000.0,1820.0,2564.29,2700.0,2.0,buy,7,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
5,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Michael  Laver', 'age': 59, 'title': 'Pres of Corp. Devel.', 'yearBorn': 1963, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,2235.0,2270.0,2227.5,2290.0,2235.0,2270.0,2227.5,2290.0,0.94,0.0421,1694044800,0.7959,2.91,1.282657,1894.0679,12.592969,24062,24062,48667,12738,12738,1752.0,2300.0,0,0,441240416,1402.0,2750.0,1.349359,2122.38,2176.635,0.94,0.00042058167,GBp,643054272,0.07095,18507243,19742300,0.10135,0.76785004,6.714,332.8865,1672444800,1703980800,1688083200,23200000,1.18,177.48,0.52,1.967,13.799,LSE,EQUITY,XPP.L,XPP.L,XP POWER LIMITED ORD 1P (DI),XP Power Limited,962780400,Europe/London,BST,3600000,2235.0,3000.0,1820.0,2564.29,2700.0,2.0,buy,7,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
6,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Peter  Blyth', 'title': 'Exec. VP of Global Products', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,2235.0,2270.0,2227.5,2290.0,2235.0,2270.0,2227.5,2290.0,0.94,0.0421,1694044800,0.7959,2.91,1.282657,1894.0679,12.592969,24062,24062,48667,12738,12738,1752.0,2300.0,0,0,441240416,1402.0,2750.0,1.349359,2122.38,2176.635,0.94,0.00042058167,GBp,643054272,0.07095,18507243,19742300,0.10135,0.76785004,6.714,332.8865,1672444800,1703980800,1688083200,23200000,1.18,177.48,0.52,1.967,13.799,LSE,EQUITY,XPP.L,XPP.L,XP POWER LIMITED ORD 1P (DI),XP Power Limited,962780400,Europe/London,BST,3600000,2235.0,3000.0,1820.0,2564.29,2700.0,2.0,buy,7,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
7,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Jay  Warner', 'title': 'Exec. VP - N. America Sales & Engineering Services', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,2235.0,2270.0,2227.5,2290.0,2235.0,2270.0,2227.5,2290.0,0.94,0.0421,1694044800,0.7959,2.91,1.282657,1894.0679,12.592969,24062,24062,48667,12738,12738,1752.0,2300.0,0,0,441240416,1402.0,2750.0,1.349359,2122.38,2176.635,0.94,0.00042058167,GBp,643054272,0.07095,18507243,19742300,0.10135,0.76785004,6.714,332.8865,1672444800,1703980800,1688083200,23200000,1.18,177.48,0.52,1.967,13.799,LSE,EQUITY,XPP.L,XPP.L,XP POWER LIMITED ORD 1P (DI),XP Power Limited,962780400,Europe/London,BST,3600000,2235.0,3000.0,1820.0,2564.29,2700.0,2.0,buy,7,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
8,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Richard  Bartlett', 'title': 'Head of Product Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,2235.0,2270.0,2227.5,2290.0,2235.0,2270.0,2227.5,2290.0,0.94,0.0421,1694044800,0.7959,2.91,1.282657,1894.0679,12.592969,24062,24062,48667,12738,12738,1752.0,2300.0,0,0,441240416,1402.0,2750.0,1.349359,2122.38,2176.635,0.94,0.00042058167,GBp,643054272,0.07095,18507243,19742300,0.10135,0.76785004,6.714,332.8865,1672444800,1703980800,1688083200,23200000,1.18,177.48,0.52,1.967,13.799,LSE,EQUITY,XPP.L,XPP.L,XP POWER LIMITED ORD 1P (DI),XP Power Limited,962780400,Europe/London,BST,3600000,2235.0,3000.0,1820.0,2564.29,2700.0,2.0,buy,7,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
9,19 Tai Seng Avenue,No. 07-01,Singapore,534054,Singapore,65 6411 6900,65 6479 6305,https://xppower.com,Electrical Equipment & Parts,Industrials,"XP Power Limited, an investment holding company, designs and manufactures power supply solutions in Europe, North America, and Asia. The company offers AC-DC power supplies, DC-DC converters, high voltage DC-DC converters, high voltage AC-DC power supplies, RF power systems, EMI filters, custom power supplies, and 3 phase power supplies. It also offers engineering services. The company serves healthcare, industrial technology, and semiconductor equipment manufacturing industries. XP Power Limited was founded in 1988 and is based in Singapore.",2918,"{'maxAge': 1, 'name': 'Mr. Hiren  Shah', 'title': 'Exec. VP of Engineering', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,6,1,7,1693526400,1672444800,86400,2,2235.0,2270.0,2227.5,2290.0,2235.0,2270.0,2227.5,2290.0,0.94,0.0421,1694044800,0.7959,2.91,1.282657,1894.0679,12.592969,24062,24062,48667,12738,12738,1752.0,2300.0,0,0,441240416,1402.0,2750.0,1.349359,2122.38,2176.635,0.94,0.00042058167,GBp,643054272,0.07095,18507243,19742300,0.10135,0.76785004,6.714,332.8865,1672444800,1703980800,1688083200,23200000,1.18,177.48,0.52,1.967,13.799,LSE,EQUITY,XPP.L,XPP.L,XP POWER LIMITED ORD 1P (DI),XP Power Limited,962780400,Europe/London,BST,3600000,2235.0,3000.0,1820.0,2564.29,2700.0,2.0,buy,7,25500000,1.304,46600000,230600000,1.047,2.134,327000000,174.433,16.7,0.0553,0.17988001,120600000,-16975000,38600000,0.296,0.42171,0.14251,0.11743,GBP,
