,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,200 Oceangate,Suite 100,Long Beach,CA,90802,United States,562 435 3666,https://www.molinahealthcare.com,Healthcare Plans,Healthcare,"Molina Healthcare, Inc. provides managed healthcare services to low-income families and individuals under the Medicaid and Medicare programs and through the state insurance marketplaces. It operates in four segments, Medicaid, Medicare, Marketplace, and Other. The company served in across 19 states. The company was founded in 1980 and is headquartered in Long Beach, California.",15000,"{'maxAge': 1, 'name': 'Mr. Joseph Michael Zubretsky', 'age': 65, 'title': 'Pres, CEO & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 7131388, 'exercisedValue': 127159688, 'unexercisedValue': 0}",8,3,8,7,7,1693526400,1672444800,86400,2,303.0,304.0,304.0,304.0,303.0,304.0,304.0,304.0,0.0,0.649031,20.266666,18.149254,17,17,0,3,3,305.5,308.3,20000,20000,17823549440,240.0,376.0,0.55987275,282.47,274.2145,0.0,0.0,EUR,11249899520,0.028770002,57635963,58300000,0.01113,0.98663,62.431,4.8693757,1672444800,1703980800,1688083200,0.246,916000000,15.0,16.75,0.99,3:2,1306108800,0.353,6.712,FRA,EQUITY,MHG.F,MHG.F,"MOLINA HEALTHCARE DL-,001","Molina Healthcare, Inc.",1057816800,Europe/Berlin,CEST,7200000,304.0,350.0,200.0,295.13,305.0,2.4,buy,15,8796000256,150.875,1676000000,2380999936,1.483,1.518,31835000832,65.755,552.212,0.07395,0.28399,3926000000,877249984,1444999936,0.259,0.041,0.13149,0.052649997,0.04875,USD,
1,200 Oceangate,Suite 100,Long Beach,CA,90802,United States,562 435 3666,https://www.molinahealthcare.com,Healthcare Plans,Healthcare,"Molina Healthcare, Inc. provides managed healthcare services to low-income families and individuals under the Medicaid and Medicare programs and through the state insurance marketplaces. It operates in four segments, Medicaid, Medicare, Marketplace, and Other. The company served in across 19 states. The company was founded in 1980 and is headquartered in Long Beach, California.",15000,"{'maxAge': 1, 'name': 'Mr. Mark Lowell Keim', 'age': 57, 'title': 'Sr. EVP, CFO & Treasurer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 2724929, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,8,7,7,1693526400,1672444800,86400,2,303.0,304.0,304.0,304.0,303.0,304.0,304.0,304.0,0.0,0.649031,20.266666,18.149254,17,17,0,3,3,305.5,308.3,20000,20000,17823549440,240.0,376.0,0.55987275,282.47,274.2145,0.0,0.0,EUR,11249899520,0.028770002,57635963,58300000,0.01113,0.98663,62.431,4.8693757,1672444800,1703980800,1688083200,0.246,916000000,15.0,16.75,0.99,3:2,1306108800,0.353,6.712,FRA,EQUITY,MHG.F,MHG.F,"MOLINA HEALTHCARE DL-,001","Molina Healthcare, Inc.",1057816800,Europe/Berlin,CEST,7200000,304.0,350.0,200.0,295.13,305.0,2.4,buy,15,8796000256,150.875,1676000000,2380999936,1.483,1.518,31835000832,65.755,552.212,0.07395,0.28399,3926000000,877249984,1444999936,0.259,0.041,0.13149,0.052649997,0.04875,USD,
2,200 Oceangate,Suite 100,Long Beach,CA,90802,United States,562 435 3666,https://www.molinahealthcare.com,Healthcare Plans,Healthcare,"Molina Healthcare, Inc. provides managed healthcare services to low-income families and individuals under the Medicaid and Medicare programs and through the state insurance marketplaces. It operates in four segments, Medicaid, Medicare, Marketplace, and Other. The company served in across 19 states. The company was founded in 1980 and is headquartered in Long Beach, California.",15000,"{'maxAge': 1, 'name': 'Mr. James Edwin Woys', 'age': 63, 'title': 'Sr. EVP & COO', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 2333986, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,8,7,7,1693526400,1672444800,86400,2,303.0,304.0,304.0,304.0,303.0,304.0,304.0,304.0,0.0,0.649031,20.266666,18.149254,17,17,0,3,3,305.5,308.3,20000,20000,17823549440,240.0,376.0,0.55987275,282.47,274.2145,0.0,0.0,EUR,11249899520,0.028770002,57635963,58300000,0.01113,0.98663,62.431,4.8693757,1672444800,1703980800,1688083200,0.246,916000000,15.0,16.75,0.99,3:2,1306108800,0.353,6.712,FRA,EQUITY,MHG.F,MHG.F,"MOLINA HEALTHCARE DL-,001","Molina Healthcare, Inc.",1057816800,Europe/Berlin,CEST,7200000,304.0,350.0,200.0,295.13,305.0,2.4,buy,15,8796000256,150.875,1676000000,2380999936,1.483,1.518,31835000832,65.755,552.212,0.07395,0.28399,3926000000,877249984,1444999936,0.259,0.041,0.13149,0.052649997,0.04875,USD,
3,200 Oceangate,Suite 100,Long Beach,CA,90802,United States,562 435 3666,https://www.molinahealthcare.com,Healthcare Plans,Healthcare,"Molina Healthcare, Inc. provides managed healthcare services to low-income families and individuals under the Medicaid and Medicare programs and through the state insurance marketplaces. It operates in four segments, Medicaid, Medicare, Marketplace, and Other. The company served in across 19 states. The company was founded in 1980 and is headquartered in Long Beach, California.",15000,"{'maxAge': 1, 'name': 'Mr. Jeffrey Don Barlow Esq., J.D., M.P.H.', 'age': 59, 'title': 'Chief Legal Officer & Corp. Sec.', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1999599, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,8,7,7,1693526400,1672444800,86400,2,303.0,304.0,304.0,304.0,303.0,304.0,304.0,304.0,0.0,0.649031,20.266666,18.149254,17,17,0,3,3,305.5,308.3,20000,20000,17823549440,240.0,376.0,0.55987275,282.47,274.2145,0.0,0.0,EUR,11249899520,0.028770002,57635963,58300000,0.01113,0.98663,62.431,4.8693757,1672444800,1703980800,1688083200,0.246,916000000,15.0,16.75,0.99,3:2,1306108800,0.353,6.712,FRA,EQUITY,MHG.F,MHG.F,"MOLINA HEALTHCARE DL-,001","Molina Healthcare, Inc.",1057816800,Europe/Berlin,CEST,7200000,304.0,350.0,200.0,295.13,305.0,2.4,buy,15,8796000256,150.875,1676000000,2380999936,1.483,1.518,31835000832,65.755,552.212,0.07395,0.28399,3926000000,877249984,1444999936,0.259,0.041,0.13149,0.052649997,0.04875,USD,
4,200 Oceangate,Suite 100,Long Beach,CA,90802,United States,562 435 3666,https://www.molinahealthcare.com,Healthcare Plans,Healthcare,"Molina Healthcare, Inc. provides managed healthcare services to low-income families and individuals under the Medicaid and Medicare programs and through the state insurance marketplaces. It operates in four segments, Medicaid, Medicare, Marketplace, and Other. The company served in across 19 states. The company was founded in 1980 and is headquartered in Long Beach, California.",15000,"{'maxAge': 1, 'name': 'Mr. Marc Steven Russo', 'age': 52, 'title': 'Exec. VP of Health Plans', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 2012457, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,8,7,7,1693526400,1672444800,86400,2,303.0,304.0,304.0,304.0,303.0,304.0,304.0,304.0,0.0,0.649031,20.266666,18.149254,17,17,0,3,3,305.5,308.3,20000,20000,17823549440,240.0,376.0,0.55987275,282.47,274.2145,0.0,0.0,EUR,11249899520,0.028770002,57635963,58300000,0.01113,0.98663,62.431,4.8693757,1672444800,1703980800,1688083200,0.246,916000000,15.0,16.75,0.99,3:2,1306108800,0.353,6.712,FRA,EQUITY,MHG.F,MHG.F,"MOLINA HEALTHCARE DL-,001","Molina Healthcare, Inc.",1057816800,Europe/Berlin,CEST,7200000,304.0,350.0,200.0,295.13,305.0,2.4,buy,15,8796000256,150.875,1676000000,2380999936,1.483,1.518,31835000832,65.755,552.212,0.07395,0.28399,3926000000,877249984,1444999936,0.259,0.041,0.13149,0.052649997,0.04875,USD,
5,200 Oceangate,Suite 100,Long Beach,CA,90802,United States,562 435 3666,https://www.molinahealthcare.com,Healthcare Plans,Healthcare,"Molina Healthcare, Inc. provides managed healthcare services to low-income families and individuals under the Medicaid and Medicare programs and through the state insurance marketplaces. It operates in four segments, Medicaid, Medicare, Marketplace, and Other. The company served in across 19 states. The company was founded in 1980 and is headquartered in Long Beach, California.",15000,"{'maxAge': 1, 'name': 'Mr. Maurice Sebastian Hebert CPA', 'age': 59, 'title': 'Chief Accounting Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,8,7,7,1693526400,1672444800,86400,2,303.0,304.0,304.0,304.0,303.0,304.0,304.0,304.0,0.0,0.649031,20.266666,18.149254,17,17,0,3,3,305.5,308.3,20000,20000,17823549440,240.0,376.0,0.55987275,282.47,274.2145,0.0,0.0,EUR,11249899520,0.028770002,57635963,58300000,0.01113,0.98663,62.431,4.8693757,1672444800,1703980800,1688083200,0.246,916000000,15.0,16.75,0.99,3:2,1306108800,0.353,6.712,FRA,EQUITY,MHG.F,MHG.F,"MOLINA HEALTHCARE DL-,001","Molina Healthcare, Inc.",1057816800,Europe/Berlin,CEST,7200000,304.0,350.0,200.0,295.13,305.0,2.4,buy,15,8796000256,150.875,1676000000,2380999936,1.483,1.518,31835000832,65.755,552.212,0.07395,0.28399,3926000000,877249984,1444999936,0.259,0.041,0.13149,0.052649997,0.04875,USD,
6,200 Oceangate,Suite 100,Long Beach,CA,90802,United States,562 435 3666,https://www.molinahealthcare.com,Healthcare Plans,Healthcare,"Molina Healthcare, Inc. provides managed healthcare services to low-income families and individuals under the Medicaid and Medicare programs and through the state insurance marketplaces. It operates in four segments, Medicaid, Medicare, Marketplace, and Other. The company served in across 19 states. The company was founded in 1980 and is headquartered in Long Beach, California.",15000,"{'maxAge': 1, 'name': 'Mr. Joseph F. Krocheski CFA', 'age': 52, 'title': 'Sr. VP of Investor Relations', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,8,7,7,1693526400,1672444800,86400,2,303.0,304.0,304.0,304.0,303.0,304.0,304.0,304.0,0.0,0.649031,20.266666,18.149254,17,17,0,3,3,305.5,308.3,20000,20000,17823549440,240.0,376.0,0.55987275,282.47,274.2145,0.0,0.0,EUR,11249899520,0.028770002,57635963,58300000,0.01113,0.98663,62.431,4.8693757,1672444800,1703980800,1688083200,0.246,916000000,15.0,16.75,0.99,3:2,1306108800,0.353,6.712,FRA,EQUITY,MHG.F,MHG.F,"MOLINA HEALTHCARE DL-,001","Molina Healthcare, Inc.",1057816800,Europe/Berlin,CEST,7200000,304.0,350.0,200.0,295.13,305.0,2.4,buy,15,8796000256,150.875,1676000000,2380999936,1.483,1.518,31835000832,65.755,552.212,0.07395,0.28399,3926000000,877249984,1444999936,0.259,0.041,0.13149,0.052649997,0.04875,USD,
7,200 Oceangate,Suite 100,Long Beach,CA,90802,United States,562 435 3666,https://www.molinahealthcare.com,Healthcare Plans,Healthcare,"Molina Healthcare, Inc. provides managed healthcare services to low-income families and individuals under the Medicaid and Medicare programs and through the state insurance marketplaces. It operates in four segments, Medicaid, Medicare, Marketplace, and Other. The company served in across 19 states. The company was founded in 1980 and is headquartered in Long Beach, California.",15000,"{'maxAge': 1, 'name': 'Ms. Joann  Zarza-Garrido', 'title': 'VP of Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,8,7,7,1693526400,1672444800,86400,2,303.0,304.0,304.0,304.0,303.0,304.0,304.0,304.0,0.0,0.649031,20.266666,18.149254,17,17,0,3,3,305.5,308.3,20000,20000,17823549440,240.0,376.0,0.55987275,282.47,274.2145,0.0,0.0,EUR,11249899520,0.028770002,57635963,58300000,0.01113,0.98663,62.431,4.8693757,1672444800,1703980800,1688083200,0.246,916000000,15.0,16.75,0.99,3:2,1306108800,0.353,6.712,FRA,EQUITY,MHG.F,MHG.F,"MOLINA HEALTHCARE DL-,001","Molina Healthcare, Inc.",1057816800,Europe/Berlin,CEST,7200000,304.0,350.0,200.0,295.13,305.0,2.4,buy,15,8796000256,150.875,1676000000,2380999936,1.483,1.518,31835000832,65.755,552.212,0.07395,0.28399,3926000000,877249984,1444999936,0.259,0.041,0.13149,0.052649997,0.04875,USD,
8,200 Oceangate,Suite 100,Long Beach,CA,90802,United States,562 435 3666,https://www.molinahealthcare.com,Healthcare Plans,Healthcare,"Molina Healthcare, Inc. provides managed healthcare services to low-income families and individuals under the Medicaid and Medicare programs and through the state insurance marketplaces. It operates in four segments, Medicaid, Medicare, Marketplace, and Other. The company served in across 19 states. The company was founded in 1980 and is headquartered in Long Beach, California.",15000,"{'maxAge': 1, 'name': 'Mr. Larry D. Anderson', 'title': 'Exec. VP & Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,8,7,7,1693526400,1672444800,86400,2,303.0,304.0,304.0,304.0,303.0,304.0,304.0,304.0,0.0,0.649031,20.266666,18.149254,17,17,0,3,3,305.5,308.3,20000,20000,17823549440,240.0,376.0,0.55987275,282.47,274.2145,0.0,0.0,EUR,11249899520,0.028770002,57635963,58300000,0.01113,0.98663,62.431,4.8693757,1672444800,1703980800,1688083200,0.246,916000000,15.0,16.75,0.99,3:2,1306108800,0.353,6.712,FRA,EQUITY,MHG.F,MHG.F,"MOLINA HEALTHCARE DL-,001","Molina Healthcare, Inc.",1057816800,Europe/Berlin,CEST,7200000,304.0,350.0,200.0,295.13,305.0,2.4,buy,15,8796000256,150.875,1676000000,2380999936,1.483,1.518,31835000832,65.755,552.212,0.07395,0.28399,3926000000,877249984,1444999936,0.259,0.041,0.13149,0.052649997,0.04875,USD,
9,200 Oceangate,Suite 100,Long Beach,CA,90802,United States,562 435 3666,https://www.molinahealthcare.com,Healthcare Plans,Healthcare,"Molina Healthcare, Inc. provides managed healthcare services to low-income families and individuals under the Medicaid and Medicare programs and through the state insurance marketplaces. It operates in four segments, Medicaid, Medicare, Marketplace, and Other. The company served in across 19 states. The company was founded in 1980 and is headquartered in Long Beach, California.",15000,"{'maxAge': 1, 'name': 'Dr. Keith  Wilson', 'title': 'Chief Medical Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,8,7,7,1693526400,1672444800,86400,2,303.0,304.0,304.0,304.0,303.0,304.0,304.0,304.0,0.0,0.649031,20.266666,18.149254,17,17,0,3,3,305.5,308.3,20000,20000,17823549440,240.0,376.0,0.55987275,282.47,274.2145,0.0,0.0,EUR,11249899520,0.028770002,57635963,58300000,0.01113,0.98663,62.431,4.8693757,1672444800,1703980800,1688083200,0.246,916000000,15.0,16.75,0.99,3:2,1306108800,0.353,6.712,FRA,EQUITY,MHG.F,MHG.F,"MOLINA HEALTHCARE DL-,001","Molina Healthcare, Inc.",1057816800,Europe/Berlin,CEST,7200000,304.0,350.0,200.0,295.13,305.0,2.4,buy,15,8796000256,150.875,1676000000,2380999936,1.483,1.518,31835000832,65.755,552.212,0.07395,0.28399,3926000000,877249984,1444999936,0.259,0.041,0.13149,0.052649997,0.04875,USD,
