,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,110 East 59th Street,New York,NY,10022,United States,212 883 0200,https://www.royaltypharma.com,Biotechnology,Healthcare,"Royalty Pharma plc operates as a buyer of biopharmaceutical royalties and a funder of innovations in the biopharmaceutical industry in the United States. It is also involved in the identification, evaluation, and acquisition of royalties on various biopharmaceutical therapies. In addition, the company collaborates with innovators from academic institutions, research hospitals and not-for-profits, small and mid-cap biotechnology companies, and pharmaceutical companies. Its portfolio consists of royalties on approximately 35 marketed therapies and 10 development-stage product candidates that address various therapeutic areas, such as rare disease, cancer, neurology, infectious disease, hematology, and diabetes. The company was founded in 1996 and is based in New York, New York.","{'maxAge': 1, 'name': 'Mr. Pablo Gerardo Legorreta', 'age': 58, 'title': 'Founder, Chairman & CEO', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,3,6,5,1693526400,1672444800,86400,2,28.76,28.69,28.095,28.84,28.76,28.69,28.095,28.84,0.8,0.0278,1692230400,1.4182,0.395711,51.14545,7.231362,3596335,3596335,2190788,2463610,2463610,28.01,28.15,800,2900,12628316160,28.09,44.47,5.3478456,30.2032,34.7399,0.78,0.027121,USD,21108590592,0.10795999,385448382,448927008,8550125,9342979,1690761600,1693440000,0.019,0.0383,0.68987,4.25,0.0199,13.948,2.0167766,1672444800,1703980800,1688083200,-0.252,254947008,0.55,3.89,1.41,8.939,19.989,NMS,EQUITY,RPRX,RPRX,Royalty Pharma plc,Royalty Pharma plc,1592314200,America/New_York,EDT,-14400000,28.13,60.0,40.0,48.33,47.5,1.7,buy,6,2178177024,4.852,1056028992,7126444032,2.511,2.52,2361383936,72.617,5.314,0.03776,0.04656,1332971000,-1643629184,2750412032,-0.277,0.004,0.58755,0.44721,0.44601002,USD,
1,110 East 59th Street,New York,NY,10022,United States,212 883 0200,https://www.royaltypharma.com,Biotechnology,Healthcare,"Royalty Pharma plc operates as a buyer of biopharmaceutical royalties and a funder of innovations in the biopharmaceutical industry in the United States. It is also involved in the identification, evaluation, and acquisition of royalties on various biopharmaceutical therapies. In addition, the company collaborates with innovators from academic institutions, research hospitals and not-for-profits, small and mid-cap biotechnology companies, and pharmaceutical companies. Its portfolio consists of royalties on approximately 35 marketed therapies and 10 development-stage product candidates that address various therapeutic areas, such as rare disease, cancer, neurology, infectious disease, hematology, and diabetes. The company was founded in 1996 and is based in New York, New York.","{'maxAge': 1, 'name': 'Mr. Terrance P. Coyne', 'title': 'Exec. VP & CFO', 'fiscalYear': 2022, 'totalPay': 4350000, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,3,6,5,1693526400,1672444800,86400,2,28.76,28.69,28.095,28.84,28.76,28.69,28.095,28.84,0.8,0.0278,1692230400,1.4182,0.395711,51.14545,7.231362,3596335,3596335,2190788,2463610,2463610,28.01,28.15,800,2900,12628316160,28.09,44.47,5.3478456,30.2032,34.7399,0.78,0.027121,USD,21108590592,0.10795999,385448382,448927008,8550125,9342979,1690761600,1693440000,0.019,0.0383,0.68987,4.25,0.0199,13.948,2.0167766,1672444800,1703980800,1688083200,-0.252,254947008,0.55,3.89,1.41,8.939,19.989,NMS,EQUITY,RPRX,RPRX,Royalty Pharma plc,Royalty Pharma plc,1592314200,America/New_York,EDT,-14400000,28.13,60.0,40.0,48.33,47.5,1.7,buy,6,2178177024,4.852,1056028992,7126444032,2.511,2.52,2361383936,72.617,5.314,0.03776,0.04656,1332971000,-1643629184,2750412032,-0.277,0.004,0.58755,0.44721,0.44601002,USD,
2,110 East 59th Street,New York,NY,10022,United States,212 883 0200,https://www.royaltypharma.com,Biotechnology,Healthcare,"Royalty Pharma plc operates as a buyer of biopharmaceutical royalties and a funder of innovations in the biopharmaceutical industry in the United States. It is also involved in the identification, evaluation, and acquisition of royalties on various biopharmaceutical therapies. In addition, the company collaborates with innovators from academic institutions, research hospitals and not-for-profits, small and mid-cap biotechnology companies, and pharmaceutical companies. Its portfolio consists of royalties on approximately 35 marketed therapies and 10 development-stage product candidates that address various therapeutic areas, such as rare disease, cancer, neurology, infectious disease, hematology, and diabetes. The company was founded in 1996 and is based in New York, New York.","{'maxAge': 1, 'name': 'Mr. George Wingate Lloyd', 'age': 63, 'title': 'Exec. VP of Investments & Chief Legal Officer', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 4350000, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,3,6,5,1693526400,1672444800,86400,2,28.76,28.69,28.095,28.84,28.76,28.69,28.095,28.84,0.8,0.0278,1692230400,1.4182,0.395711,51.14545,7.231362,3596335,3596335,2190788,2463610,2463610,28.01,28.15,800,2900,12628316160,28.09,44.47,5.3478456,30.2032,34.7399,0.78,0.027121,USD,21108590592,0.10795999,385448382,448927008,8550125,9342979,1690761600,1693440000,0.019,0.0383,0.68987,4.25,0.0199,13.948,2.0167766,1672444800,1703980800,1688083200,-0.252,254947008,0.55,3.89,1.41,8.939,19.989,NMS,EQUITY,RPRX,RPRX,Royalty Pharma plc,Royalty Pharma plc,1592314200,America/New_York,EDT,-14400000,28.13,60.0,40.0,48.33,47.5,1.7,buy,6,2178177024,4.852,1056028992,7126444032,2.511,2.52,2361383936,72.617,5.314,0.03776,0.04656,1332971000,-1643629184,2750412032,-0.277,0.004,0.58755,0.44721,0.44601002,USD,
3,110 East 59th Street,New York,NY,10022,United States,212 883 0200,https://www.royaltypharma.com,Biotechnology,Healthcare,"Royalty Pharma plc operates as a buyer of biopharmaceutical royalties and a funder of innovations in the biopharmaceutical industry in the United States. It is also involved in the identification, evaluation, and acquisition of royalties on various biopharmaceutical therapies. In addition, the company collaborates with innovators from academic institutions, research hospitals and not-for-profits, small and mid-cap biotechnology companies, and pharmaceutical companies. Its portfolio consists of royalties on approximately 35 marketed therapies and 10 development-stage product candidates that address various therapeutic areas, such as rare disease, cancer, neurology, infectious disease, hematology, and diabetes. The company was founded in 1996 and is based in New York, New York.","{'maxAge': 1, 'name': 'Mr. Christopher  Hite', 'age': 55, 'title': 'Vice Chairman & Exec. VP', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 4350000, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,3,6,5,1693526400,1672444800,86400,2,28.76,28.69,28.095,28.84,28.76,28.69,28.095,28.84,0.8,0.0278,1692230400,1.4182,0.395711,51.14545,7.231362,3596335,3596335,2190788,2463610,2463610,28.01,28.15,800,2900,12628316160,28.09,44.47,5.3478456,30.2032,34.7399,0.78,0.027121,USD,21108590592,0.10795999,385448382,448927008,8550125,9342979,1690761600,1693440000,0.019,0.0383,0.68987,4.25,0.0199,13.948,2.0167766,1672444800,1703980800,1688083200,-0.252,254947008,0.55,3.89,1.41,8.939,19.989,NMS,EQUITY,RPRX,RPRX,Royalty Pharma plc,Royalty Pharma plc,1592314200,America/New_York,EDT,-14400000,28.13,60.0,40.0,48.33,47.5,1.7,buy,6,2178177024,4.852,1056028992,7126444032,2.511,2.52,2361383936,72.617,5.314,0.03776,0.04656,1332971000,-1643629184,2750412032,-0.277,0.004,0.58755,0.44721,0.44601002,USD,
4,110 East 59th Street,New York,NY,10022,United States,212 883 0200,https://www.royaltypharma.com,Biotechnology,Healthcare,"Royalty Pharma plc operates as a buyer of biopharmaceutical royalties and a funder of innovations in the biopharmaceutical industry in the United States. It is also involved in the identification, evaluation, and acquisition of royalties on various biopharmaceutical therapies. In addition, the company collaborates with innovators from academic institutions, research hospitals and not-for-profits, small and mid-cap biotechnology companies, and pharmaceutical companies. Its portfolio consists of royalties on approximately 35 marketed therapies and 10 development-stage product candidates that address various therapeutic areas, such as rare disease, cancer, neurology, infectious disease, hematology, and diabetes. The company was founded in 1996 and is based in New York, New York.","{'maxAge': 1, 'name': 'Dr. Marshall  Urist M.D., Ph.D.', 'title': 'Exec. VP and Head of Research & Investments', 'fiscalYear': 2022, 'totalPay': 4350000, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,3,6,5,1693526400,1672444800,86400,2,28.76,28.69,28.095,28.84,28.76,28.69,28.095,28.84,0.8,0.0278,1692230400,1.4182,0.395711,51.14545,7.231362,3596335,3596335,2190788,2463610,2463610,28.01,28.15,800,2900,12628316160,28.09,44.47,5.3478456,30.2032,34.7399,0.78,0.027121,USD,21108590592,0.10795999,385448382,448927008,8550125,9342979,1690761600,1693440000,0.019,0.0383,0.68987,4.25,0.0199,13.948,2.0167766,1672444800,1703980800,1688083200,-0.252,254947008,0.55,3.89,1.41,8.939,19.989,NMS,EQUITY,RPRX,RPRX,Royalty Pharma plc,Royalty Pharma plc,1592314200,America/New_York,EDT,-14400000,28.13,60.0,40.0,48.33,47.5,1.7,buy,6,2178177024,4.852,1056028992,7126444032,2.511,2.52,2361383936,72.617,5.314,0.03776,0.04656,1332971000,-1643629184,2750412032,-0.277,0.004,0.58755,0.44721,0.44601002,USD,
5,110 East 59th Street,New York,NY,10022,United States,212 883 0200,https://www.royaltypharma.com,Biotechnology,Healthcare,"Royalty Pharma plc operates as a buyer of biopharmaceutical royalties and a funder of innovations in the biopharmaceutical industry in the United States. It is also involved in the identification, evaluation, and acquisition of royalties on various biopharmaceutical therapies. In addition, the company collaborates with innovators from academic institutions, research hospitals and not-for-profits, small and mid-cap biotechnology companies, and pharmaceutical companies. Its portfolio consists of royalties on approximately 35 marketed therapies and 10 development-stage product candidates that address various therapeutic areas, such as rare disease, cancer, neurology, infectious disease, hematology, and diabetes. The company was founded in 1996 and is based in New York, New York.","{'maxAge': 1, 'name': 'Mr. Arthur R. McGivern J.D.', 'title': 'Exec. VP of Investments & Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,3,6,5,1693526400,1672444800,86400,2,28.76,28.69,28.095,28.84,28.76,28.69,28.095,28.84,0.8,0.0278,1692230400,1.4182,0.395711,51.14545,7.231362,3596335,3596335,2190788,2463610,2463610,28.01,28.15,800,2900,12628316160,28.09,44.47,5.3478456,30.2032,34.7399,0.78,0.027121,USD,21108590592,0.10795999,385448382,448927008,8550125,9342979,1690761600,1693440000,0.019,0.0383,0.68987,4.25,0.0199,13.948,2.0167766,1672444800,1703980800,1688083200,-0.252,254947008,0.55,3.89,1.41,8.939,19.989,NMS,EQUITY,RPRX,RPRX,Royalty Pharma plc,Royalty Pharma plc,1592314200,America/New_York,EDT,-14400000,28.13,60.0,40.0,48.33,47.5,1.7,buy,6,2178177024,4.852,1056028992,7126444032,2.511,2.52,2361383936,72.617,5.314,0.03776,0.04656,1332971000,-1643629184,2750412032,-0.277,0.004,0.58755,0.44721,0.44601002,USD,
6,110 East 59th Street,New York,NY,10022,United States,212 883 0200,https://www.royaltypharma.com,Biotechnology,Healthcare,"Royalty Pharma plc operates as a buyer of biopharmaceutical royalties and a funder of innovations in the biopharmaceutical industry in the United States. It is also involved in the identification, evaluation, and acquisition of royalties on various biopharmaceutical therapies. In addition, the company collaborates with innovators from academic institutions, research hospitals and not-for-profits, small and mid-cap biotechnology companies, and pharmaceutical companies. Its portfolio consists of royalties on approximately 35 marketed therapies and 10 development-stage product candidates that address various therapeutic areas, such as rare disease, cancer, neurology, infectious disease, hematology, and diabetes. The company was founded in 1996 and is based in New York, New York.","{'maxAge': 1, 'name': 'Mr. Ashwin  Pai M.D.', 'title': 'Exec. VP of Investments', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,3,6,5,1693526400,1672444800,86400,2,28.76,28.69,28.095,28.84,28.76,28.69,28.095,28.84,0.8,0.0278,1692230400,1.4182,0.395711,51.14545,7.231362,3596335,3596335,2190788,2463610,2463610,28.01,28.15,800,2900,12628316160,28.09,44.47,5.3478456,30.2032,34.7399,0.78,0.027121,USD,21108590592,0.10795999,385448382,448927008,8550125,9342979,1690761600,1693440000,0.019,0.0383,0.68987,4.25,0.0199,13.948,2.0167766,1672444800,1703980800,1688083200,-0.252,254947008,0.55,3.89,1.41,8.939,19.989,NMS,EQUITY,RPRX,RPRX,Royalty Pharma plc,Royalty Pharma plc,1592314200,America/New_York,EDT,-14400000,28.13,60.0,40.0,48.33,47.5,1.7,buy,6,2178177024,4.852,1056028992,7126444032,2.511,2.52,2361383936,72.617,5.314,0.03776,0.04656,1332971000,-1643629184,2750412032,-0.277,0.004,0.58755,0.44721,0.44601002,USD,
7,110 East 59th Street,New York,NY,10022,United States,212 883 0200,https://www.royaltypharma.com,Biotechnology,Healthcare,"Royalty Pharma plc operates as a buyer of biopharmaceutical royalties and a funder of innovations in the biopharmaceutical industry in the United States. It is also involved in the identification, evaluation, and acquisition of royalties on various biopharmaceutical therapies. In addition, the company collaborates with innovators from academic institutions, research hospitals and not-for-profits, small and mid-cap biotechnology companies, and pharmaceutical companies. Its portfolio consists of royalties on approximately 35 marketed therapies and 10 development-stage product candidates that address various therapeutic areas, such as rare disease, cancer, neurology, infectious disease, hematology, and diabetes. The company was founded in 1996 and is based in New York, New York.","{'maxAge': 1, 'name': 'Ms. Kristin  Stafford', 'age': 40, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,3,6,5,1693526400,1672444800,86400,2,28.76,28.69,28.095,28.84,28.76,28.69,28.095,28.84,0.8,0.0278,1692230400,1.4182,0.395711,51.14545,7.231362,3596335,3596335,2190788,2463610,2463610,28.01,28.15,800,2900,12628316160,28.09,44.47,5.3478456,30.2032,34.7399,0.78,0.027121,USD,21108590592,0.10795999,385448382,448927008,8550125,9342979,1690761600,1693440000,0.019,0.0383,0.68987,4.25,0.0199,13.948,2.0167766,1672444800,1703980800,1688083200,-0.252,254947008,0.55,3.89,1.41,8.939,19.989,NMS,EQUITY,RPRX,RPRX,Royalty Pharma plc,Royalty Pharma plc,1592314200,America/New_York,EDT,-14400000,28.13,60.0,40.0,48.33,47.5,1.7,buy,6,2178177024,4.852,1056028992,7126444032,2.511,2.52,2361383936,72.617,5.314,0.03776,0.04656,1332971000,-1643629184,2750412032,-0.277,0.004,0.58755,0.44721,0.44601002,USD,
8,110 East 59th Street,New York,NY,10022,United States,212 883 0200,https://www.royaltypharma.com,Biotechnology,Healthcare,"Royalty Pharma plc operates as a buyer of biopharmaceutical royalties and a funder of innovations in the biopharmaceutical industry in the United States. It is also involved in the identification, evaluation, and acquisition of royalties on various biopharmaceutical therapies. In addition, the company collaborates with innovators from academic institutions, research hospitals and not-for-profits, small and mid-cap biotechnology companies, and pharmaceutical companies. Its portfolio consists of royalties on approximately 35 marketed therapies and 10 development-stage product candidates that address various therapeutic areas, such as rare disease, cancer, neurology, infectious disease, hematology, and diabetes. The company was founded in 1996 and is based in New York, New York.","{'maxAge': 1, 'name': 'Dr. James Folmar Reddoch Ph.D.', 'age': 52, 'title': 'Exec. VP of Investments & Chief Scientific Officer', 'yearBorn': 1970, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,3,6,5,1693526400,1672444800,86400,2,28.76,28.69,28.095,28.84,28.76,28.69,28.095,28.84,0.8,0.0278,1692230400,1.4182,0.395711,51.14545,7.231362,3596335,3596335,2190788,2463610,2463610,28.01,28.15,800,2900,12628316160,28.09,44.47,5.3478456,30.2032,34.7399,0.78,0.027121,USD,21108590592,0.10795999,385448382,448927008,8550125,9342979,1690761600,1693440000,0.019,0.0383,0.68987,4.25,0.0199,13.948,2.0167766,1672444800,1703980800,1688083200,-0.252,254947008,0.55,3.89,1.41,8.939,19.989,NMS,EQUITY,RPRX,RPRX,Royalty Pharma plc,Royalty Pharma plc,1592314200,America/New_York,EDT,-14400000,28.13,60.0,40.0,48.33,47.5,1.7,buy,6,2178177024,4.852,1056028992,7126444032,2.511,2.52,2361383936,72.617,5.314,0.03776,0.04656,1332971000,-1643629184,2750412032,-0.277,0.004,0.58755,0.44721,0.44601002,USD,
9,110 East 59th Street,New York,NY,10022,United States,212 883 0200,https://www.royaltypharma.com,Biotechnology,Healthcare,"Royalty Pharma plc operates as a buyer of biopharmaceutical royalties and a funder of innovations in the biopharmaceutical industry in the United States. It is also involved in the identification, evaluation, and acquisition of royalties on various biopharmaceutical therapies. In addition, the company collaborates with innovators from academic institutions, research hospitals and not-for-profits, small and mid-cap biotechnology companies, and pharmaceutical companies. Its portfolio consists of royalties on approximately 35 marketed therapies and 10 development-stage product candidates that address various therapeutic areas, such as rare disease, cancer, neurology, infectious disease, hematology, and diabetes. The company was founded in 1996 and is based in New York, New York.","{'maxAge': 1, 'name': 'Mr. George  Grofik C.F.A., CPA', 'title': 'Sr. VP and Head of Investor Relations & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,3,6,5,1693526400,1672444800,86400,2,28.76,28.69,28.095,28.84,28.76,28.69,28.095,28.84,0.8,0.0278,1692230400,1.4182,0.395711,51.14545,7.231362,3596335,3596335,2190788,2463610,2463610,28.01,28.15,800,2900,12628316160,28.09,44.47,5.3478456,30.2032,34.7399,0.78,0.027121,USD,21108590592,0.10795999,385448382,448927008,8550125,9342979,1690761600,1693440000,0.019,0.0383,0.68987,4.25,0.0199,13.948,2.0167766,1672444800,1703980800,1688083200,-0.252,254947008,0.55,3.89,1.41,8.939,19.989,NMS,EQUITY,RPRX,RPRX,Royalty Pharma plc,Royalty Pharma plc,1592314200,America/New_York,EDT,-14400000,28.13,60.0,40.0,48.33,47.5,1.7,buy,6,2178177024,4.852,1056028992,7126444032,2.511,2.52,2361383936,72.617,5.314,0.03776,0.04656,1332971000,-1643629184,2750412032,-0.277,0.004,0.58755,0.44721,0.44601002,USD,
