,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Aleja Jana Pawla II 17,Warsaw,00-854,Poland,48 61 811 9999,https://www.santander.pl,Banks—Regional,Financial Services,"Santander Bank Polska S.A. provides various banking products and services for individuals, small or medium-sized enterprises, corporate clients, and public sector institutions. It offers personal account, deposits and currencies, internet and mobile banking, and mobile contactless payments, and credit solutions. The company also provides investment advisory, structured deposits, structured certificates and bonds, and brokerage services. In addition, the company offers accounts, business loans, credits, cards and payment terminals, deposits and investments, foreign trade, financial markets, leasing, and internet banking services. Further, the company offers transaction handling, liquidity management, export, import, domestic, and foreign guarantees, working capital finance, current, and investment financing services. Additionally, the company provides foreign exchange, hedging financial risk, correspondence banking, trade finance, and trust services, as well as solutions for financial institutions and global banking transactions. Furthermore, it offers debt and rating advisory and capital market and debt capital services. The company was founded in 1857 and is headquartered in Warsaw, Poland. Santander Bank Polska S.A. operates as a subsidiary of Banco Santander S.A.",11397,"{'maxAge': 1, 'name': 'Mr. Michal  Gajewski', 'title': 'Pres of the Management Board & CEO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,76.2,75.85,75.85,75.85,76.2,75.85,75.85,75.85,1653350400,0.0,0.978723,10.291723,7,7,0,0,0,75.4,76.9,30000,30000,7795180032,39.16,92.35,84.666,71.1185,0.0,0.0,EUR,7751059456,0.28966,33289191,102189000,0.67405,0.12038,73.419,1.0331113,1672444800,1703980800,1688083200,0.721,7.37,FRA,EQUITY,BZI.F,BZI.F,SANTANDER POLSKA M  ZY 10,Santander Bank Polska S.A.,1386226800,Europe/Berlin,CEST,7200000,75.85,none,0.01423,0.1174,11326573000,0.72,0.029,0.0,0.0,0.0,PLN,
1,Aleja Jana Pawla II 17,Warsaw,00-854,Poland,48 61 811 9999,https://www.santander.pl,Banks—Regional,Financial Services,"Santander Bank Polska S.A. provides various banking products and services for individuals, small or medium-sized enterprises, corporate clients, and public sector institutions. It offers personal account, deposits and currencies, internet and mobile banking, and mobile contactless payments, and credit solutions. The company also provides investment advisory, structured deposits, structured certificates and bonds, and brokerage services. In addition, the company offers accounts, business loans, credits, cards and payment terminals, deposits and investments, foreign trade, financial markets, leasing, and internet banking services. Further, the company offers transaction handling, liquidity management, export, import, domestic, and foreign guarantees, working capital finance, current, and investment financing services. Additionally, the company provides foreign exchange, hedging financial risk, correspondence banking, trade finance, and trust services, as well as solutions for financial institutions and global banking transactions. Furthermore, it offers debt and rating advisory and capital market and debt capital services. The company was founded in 1857 and is headquartered in Warsaw, Poland. Santander Bank Polska S.A. operates as a subsidiary of Banco Santander S.A.",11397,"{'maxAge': 1, 'name': 'Mr. Andrzej  Burliga', 'age': 55, 'title': 'VP of the Management Board', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,76.2,75.85,75.85,75.85,76.2,75.85,75.85,75.85,1653350400,0.0,0.978723,10.291723,7,7,0,0,0,75.4,76.9,30000,30000,7795180032,39.16,92.35,84.666,71.1185,0.0,0.0,EUR,7751059456,0.28966,33289191,102189000,0.67405,0.12038,73.419,1.0331113,1672444800,1703980800,1688083200,0.721,7.37,FRA,EQUITY,BZI.F,BZI.F,SANTANDER POLSKA M  ZY 10,Santander Bank Polska S.A.,1386226800,Europe/Berlin,CEST,7200000,75.85,none,0.01423,0.1174,11326573000,0.72,0.029,0.0,0.0,0.0,PLN,
2,Aleja Jana Pawla II 17,Warsaw,00-854,Poland,48 61 811 9999,https://www.santander.pl,Banks—Regional,Financial Services,"Santander Bank Polska S.A. provides various banking products and services for individuals, small or medium-sized enterprises, corporate clients, and public sector institutions. It offers personal account, deposits and currencies, internet and mobile banking, and mobile contactless payments, and credit solutions. The company also provides investment advisory, structured deposits, structured certificates and bonds, and brokerage services. In addition, the company offers accounts, business loans, credits, cards and payment terminals, deposits and investments, foreign trade, financial markets, leasing, and internet banking services. Further, the company offers transaction handling, liquidity management, export, import, domestic, and foreign guarantees, working capital finance, current, and investment financing services. Additionally, the company provides foreign exchange, hedging financial risk, correspondence banking, trade finance, and trust services, as well as solutions for financial institutions and global banking transactions. Furthermore, it offers debt and rating advisory and capital market and debt capital services. The company was founded in 1857 and is headquartered in Warsaw, Poland. Santander Bank Polska S.A. operates as a subsidiary of Banco Santander S.A.",11397,"{'maxAge': 1, 'name': 'Mr. Juan  de Porras Aguirre', 'title': 'VP of the Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,76.2,75.85,75.85,75.85,76.2,75.85,75.85,75.85,1653350400,0.0,0.978723,10.291723,7,7,0,0,0,75.4,76.9,30000,30000,7795180032,39.16,92.35,84.666,71.1185,0.0,0.0,EUR,7751059456,0.28966,33289191,102189000,0.67405,0.12038,73.419,1.0331113,1672444800,1703980800,1688083200,0.721,7.37,FRA,EQUITY,BZI.F,BZI.F,SANTANDER POLSKA M  ZY 10,Santander Bank Polska S.A.,1386226800,Europe/Berlin,CEST,7200000,75.85,none,0.01423,0.1174,11326573000,0.72,0.029,0.0,0.0,0.0,PLN,
3,Aleja Jana Pawla II 17,Warsaw,00-854,Poland,48 61 811 9999,https://www.santander.pl,Banks—Regional,Financial Services,"Santander Bank Polska S.A. provides various banking products and services for individuals, small or medium-sized enterprises, corporate clients, and public sector institutions. It offers personal account, deposits and currencies, internet and mobile banking, and mobile contactless payments, and credit solutions. The company also provides investment advisory, structured deposits, structured certificates and bonds, and brokerage services. In addition, the company offers accounts, business loans, credits, cards and payment terminals, deposits and investments, foreign trade, financial markets, leasing, and internet banking services. Further, the company offers transaction handling, liquidity management, export, import, domestic, and foreign guarantees, working capital finance, current, and investment financing services. Additionally, the company provides foreign exchange, hedging financial risk, correspondence banking, trade finance, and trust services, as well as solutions for financial institutions and global banking transactions. Furthermore, it offers debt and rating advisory and capital market and debt capital services. The company was founded in 1857 and is headquartered in Warsaw, Poland. Santander Bank Polska S.A. operates as a subsidiary of Banco Santander S.A.",11397,"{'maxAge': 1, 'name': 'Mr. Arkadiusz Wiktor Przybyl', 'title': 'VP of the Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,76.2,75.85,75.85,75.85,76.2,75.85,75.85,75.85,1653350400,0.0,0.978723,10.291723,7,7,0,0,0,75.4,76.9,30000,30000,7795180032,39.16,92.35,84.666,71.1185,0.0,0.0,EUR,7751059456,0.28966,33289191,102189000,0.67405,0.12038,73.419,1.0331113,1672444800,1703980800,1688083200,0.721,7.37,FRA,EQUITY,BZI.F,BZI.F,SANTANDER POLSKA M  ZY 10,Santander Bank Polska S.A.,1386226800,Europe/Berlin,CEST,7200000,75.85,none,0.01423,0.1174,11326573000,0.72,0.029,0.0,0.0,0.0,PLN,
4,Aleja Jana Pawla II 17,Warsaw,00-854,Poland,48 61 811 9999,https://www.santander.pl,Banks—Regional,Financial Services,"Santander Bank Polska S.A. provides various banking products and services for individuals, small or medium-sized enterprises, corporate clients, and public sector institutions. It offers personal account, deposits and currencies, internet and mobile banking, and mobile contactless payments, and credit solutions. The company also provides investment advisory, structured deposits, structured certificates and bonds, and brokerage services. In addition, the company offers accounts, business loans, credits, cards and payment terminals, deposits and investments, foreign trade, financial markets, leasing, and internet banking services. Further, the company offers transaction handling, liquidity management, export, import, domestic, and foreign guarantees, working capital finance, current, and investment financing services. Additionally, the company provides foreign exchange, hedging financial risk, correspondence banking, trade finance, and trust services, as well as solutions for financial institutions and global banking transactions. Furthermore, it offers debt and rating advisory and capital market and debt capital services. The company was founded in 1857 and is headquartered in Warsaw, Poland. Santander Bank Polska S.A. operates as a subsidiary of Banco Santander S.A.",11397,"{'maxAge': 1, 'name': 'Mr. Maciej  Reluga', 'title': 'CFO, Chief Economist & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,76.2,75.85,75.85,75.85,76.2,75.85,75.85,75.85,1653350400,0.0,0.978723,10.291723,7,7,0,0,0,75.4,76.9,30000,30000,7795180032,39.16,92.35,84.666,71.1185,0.0,0.0,EUR,7751059456,0.28966,33289191,102189000,0.67405,0.12038,73.419,1.0331113,1672444800,1703980800,1688083200,0.721,7.37,FRA,EQUITY,BZI.F,BZI.F,SANTANDER POLSKA M  ZY 10,Santander Bank Polska S.A.,1386226800,Europe/Berlin,CEST,7200000,75.85,none,0.01423,0.1174,11326573000,0.72,0.029,0.0,0.0,0.0,PLN,
5,Aleja Jana Pawla II 17,Warsaw,00-854,Poland,48 61 811 9999,https://www.santander.pl,Banks—Regional,Financial Services,"Santander Bank Polska S.A. provides various banking products and services for individuals, small or medium-sized enterprises, corporate clients, and public sector institutions. It offers personal account, deposits and currencies, internet and mobile banking, and mobile contactless payments, and credit solutions. The company also provides investment advisory, structured deposits, structured certificates and bonds, and brokerage services. In addition, the company offers accounts, business loans, credits, cards and payment terminals, deposits and investments, foreign trade, financial markets, leasing, and internet banking services. Further, the company offers transaction handling, liquidity management, export, import, domestic, and foreign guarantees, working capital finance, current, and investment financing services. Additionally, the company provides foreign exchange, hedging financial risk, correspondence banking, trade finance, and trust services, as well as solutions for financial institutions and global banking transactions. Furthermore, it offers debt and rating advisory and capital market and debt capital services. The company was founded in 1857 and is headquartered in Warsaw, Poland. Santander Bank Polska S.A. operates as a subsidiary of Banco Santander S.A.",11397,"{'maxAge': 1, 'name': 'Ms. Dorota  Strojkowska', 'title': 'Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,76.2,75.85,75.85,75.85,76.2,75.85,75.85,75.85,1653350400,0.0,0.978723,10.291723,7,7,0,0,0,75.4,76.9,30000,30000,7795180032,39.16,92.35,84.666,71.1185,0.0,0.0,EUR,7751059456,0.28966,33289191,102189000,0.67405,0.12038,73.419,1.0331113,1672444800,1703980800,1688083200,0.721,7.37,FRA,EQUITY,BZI.F,BZI.F,SANTANDER POLSKA M  ZY 10,Santander Bank Polska S.A.,1386226800,Europe/Berlin,CEST,7200000,75.85,none,0.01423,0.1174,11326573000,0.72,0.029,0.0,0.0,0.0,PLN,
6,Aleja Jana Pawla II 17,Warsaw,00-854,Poland,48 61 811 9999,https://www.santander.pl,Banks—Regional,Financial Services,"Santander Bank Polska S.A. provides various banking products and services for individuals, small or medium-sized enterprises, corporate clients, and public sector institutions. It offers personal account, deposits and currencies, internet and mobile banking, and mobile contactless payments, and credit solutions. The company also provides investment advisory, structured deposits, structured certificates and bonds, and brokerage services. In addition, the company offers accounts, business loans, credits, cards and payment terminals, deposits and investments, foreign trade, financial markets, leasing, and internet banking services. Further, the company offers transaction handling, liquidity management, export, import, domestic, and foreign guarantees, working capital finance, current, and investment financing services. Additionally, the company provides foreign exchange, hedging financial risk, correspondence banking, trade finance, and trust services, as well as solutions for financial institutions and global banking transactions. Furthermore, it offers debt and rating advisory and capital market and debt capital services. The company was founded in 1857 and is headquartered in Warsaw, Poland. Santander Bank Polska S.A. operates as a subsidiary of Banco Santander S.A.",11397,"{'maxAge': 1, 'name': 'Mr. Patryk  Nowakowski', 'title': 'Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,76.2,75.85,75.85,75.85,76.2,75.85,75.85,75.85,1653350400,0.0,0.978723,10.291723,7,7,0,0,0,75.4,76.9,30000,30000,7795180032,39.16,92.35,84.666,71.1185,0.0,0.0,EUR,7751059456,0.28966,33289191,102189000,0.67405,0.12038,73.419,1.0331113,1672444800,1703980800,1688083200,0.721,7.37,FRA,EQUITY,BZI.F,BZI.F,SANTANDER POLSKA M  ZY 10,Santander Bank Polska S.A.,1386226800,Europe/Berlin,CEST,7200000,75.85,none,0.01423,0.1174,11326573000,0.72,0.029,0.0,0.0,0.0,PLN,
7,Aleja Jana Pawla II 17,Warsaw,00-854,Poland,48 61 811 9999,https://www.santander.pl,Banks—Regional,Financial Services,"Santander Bank Polska S.A. provides various banking products and services for individuals, small or medium-sized enterprises, corporate clients, and public sector institutions. It offers personal account, deposits and currencies, internet and mobile banking, and mobile contactless payments, and credit solutions. The company also provides investment advisory, structured deposits, structured certificates and bonds, and brokerage services. In addition, the company offers accounts, business loans, credits, cards and payment terminals, deposits and investments, foreign trade, financial markets, leasing, and internet banking services. Further, the company offers transaction handling, liquidity management, export, import, domestic, and foreign guarantees, working capital finance, current, and investment financing services. Additionally, the company provides foreign exchange, hedging financial risk, correspondence banking, trade finance, and trust services, as well as solutions for financial institutions and global banking transactions. Furthermore, it offers debt and rating advisory and capital market and debt capital services. The company was founded in 1857 and is headquartered in Warsaw, Poland. Santander Bank Polska S.A. operates as a subsidiary of Banco Santander S.A.",11397,"{'maxAge': 1, 'name': 'Mr. Lech  Galkowski', 'title': 'Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,76.2,75.85,75.85,75.85,76.2,75.85,75.85,75.85,1653350400,0.0,0.978723,10.291723,7,7,0,0,0,75.4,76.9,30000,30000,7795180032,39.16,92.35,84.666,71.1185,0.0,0.0,EUR,7751059456,0.28966,33289191,102189000,0.67405,0.12038,73.419,1.0331113,1672444800,1703980800,1688083200,0.721,7.37,FRA,EQUITY,BZI.F,BZI.F,SANTANDER POLSKA M  ZY 10,Santander Bank Polska S.A.,1386226800,Europe/Berlin,CEST,7200000,75.85,none,0.01423,0.1174,11326573000,0.72,0.029,0.0,0.0,0.0,PLN,
8,Aleja Jana Pawla II 17,Warsaw,00-854,Poland,48 61 811 9999,https://www.santander.pl,Banks—Regional,Financial Services,"Santander Bank Polska S.A. provides various banking products and services for individuals, small or medium-sized enterprises, corporate clients, and public sector institutions. It offers personal account, deposits and currencies, internet and mobile banking, and mobile contactless payments, and credit solutions. The company also provides investment advisory, structured deposits, structured certificates and bonds, and brokerage services. In addition, the company offers accounts, business loans, credits, cards and payment terminals, deposits and investments, foreign trade, financial markets, leasing, and internet banking services. Further, the company offers transaction handling, liquidity management, export, import, domestic, and foreign guarantees, working capital finance, current, and investment financing services. Additionally, the company provides foreign exchange, hedging financial risk, correspondence banking, trade finance, and trust services, as well as solutions for financial institutions and global banking transactions. Furthermore, it offers debt and rating advisory and capital market and debt capital services. The company was founded in 1857 and is headquartered in Warsaw, Poland. Santander Bank Polska S.A. operates as a subsidiary of Banco Santander S.A.",11397,"{'maxAge': 1, 'name': 'Ms. Maria Elena Lanciego Perez', 'title': 'Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,76.2,75.85,75.85,75.85,76.2,75.85,75.85,75.85,1653350400,0.0,0.978723,10.291723,7,7,0,0,0,75.4,76.9,30000,30000,7795180032,39.16,92.35,84.666,71.1185,0.0,0.0,EUR,7751059456,0.28966,33289191,102189000,0.67405,0.12038,73.419,1.0331113,1672444800,1703980800,1688083200,0.721,7.37,FRA,EQUITY,BZI.F,BZI.F,SANTANDER POLSKA M  ZY 10,Santander Bank Polska S.A.,1386226800,Europe/Berlin,CEST,7200000,75.85,none,0.01423,0.1174,11326573000,0.72,0.029,0.0,0.0,0.0,PLN,
9,Aleja Jana Pawla II 17,Warsaw,00-854,Poland,48 61 811 9999,https://www.santander.pl,Banks—Regional,Financial Services,"Santander Bank Polska S.A. provides various banking products and services for individuals, small or medium-sized enterprises, corporate clients, and public sector institutions. It offers personal account, deposits and currencies, internet and mobile banking, and mobile contactless payments, and credit solutions. The company also provides investment advisory, structured deposits, structured certificates and bonds, and brokerage services. In addition, the company offers accounts, business loans, credits, cards and payment terminals, deposits and investments, foreign trade, financial markets, leasing, and internet banking services. Further, the company offers transaction handling, liquidity management, export, import, domestic, and foreign guarantees, working capital finance, current, and investment financing services. Additionally, the company provides foreign exchange, hedging financial risk, correspondence banking, trade finance, and trust services, as well as solutions for financial institutions and global banking transactions. Furthermore, it offers debt and rating advisory and capital market and debt capital services. The company was founded in 1857 and is headquartered in Warsaw, Poland. Santander Bank Polska S.A. operates as a subsidiary of Banco Santander S.A.",11397,"{'maxAge': 1, 'name': 'Ms. Magdalena  Proga-Stepien', 'title': 'Head of Retail & Member of the Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,76.2,75.85,75.85,75.85,76.2,75.85,75.85,75.85,1653350400,0.0,0.978723,10.291723,7,7,0,0,0,75.4,76.9,30000,30000,7795180032,39.16,92.35,84.666,71.1185,0.0,0.0,EUR,7751059456,0.28966,33289191,102189000,0.67405,0.12038,73.419,1.0331113,1672444800,1703980800,1688083200,0.721,7.37,FRA,EQUITY,BZI.F,BZI.F,SANTANDER POLSKA M  ZY 10,Santander Bank Polska S.A.,1386226800,Europe/Berlin,CEST,7200000,75.85,none,0.01423,0.1174,11326573000,0.72,0.029,0.0,0.0,0.0,PLN,
