,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Tomtebodavägen 23 A,Solna,17165,Sweden,46 8 52 48 60 70,https://www.karolinskadevelopment.com,Biotechnology,Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden.",8,"{'maxAge': 1, 'name': 'Dr. Viktor  Drvota M.D., Ph.D.', 'age': 57, 'title': 'Chief Exec. Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 5561000, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,4,7,3,1693526400,1672444800,86400,4,1.578,1.578,1.546,1.598,1.578,1.578,1.546,1.598,0.0,0.349474,-15.679999,46102,46102,167350,128523,128523,1.558,1.568,0,0,437669568,1.418,2.5,202.81259,1.61312,1.732655,0.0,0.0,SEK,275752640,0.0,104055819,267278000,0.36995998,0.06004,4.583,0.34213394,1672444800,1703980800,1688083200,-41350000,-0.15,-0.1,127.782,-9.892,STO,EQUITY,KDEV.ST,KDEV.ST,Karolinska Development AB ser.B,Karolinska Development AB (publ),1302850800,Europe/Stockholm,CEST,7200000,1.568,none,147716000,0.547,-27876000,370000,16.414,16.606,2158000,0.03,0.008,-0.014090001,-0.03289,2300000,-28666250,-26703000,-0.161,1.0,0.0,-13.24282,SEK,
1,Tomtebodavägen 23 A,Solna,17165,Sweden,46 8 52 48 60 70,https://www.karolinskadevelopment.com,Biotechnology,Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden.",8,"{'maxAge': 1, 'name': 'Mr. Tse  Ping', 'age': 70, 'title': 'Sr. Strategic Advisor', 'yearBorn': 1952, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,4,7,3,1693526400,1672444800,86400,4,1.578,1.578,1.546,1.598,1.578,1.578,1.546,1.598,0.0,0.349474,-15.679999,46102,46102,167350,128523,128523,1.558,1.568,0,0,437669568,1.418,2.5,202.81259,1.61312,1.732655,0.0,0.0,SEK,275752640,0.0,104055819,267278000,0.36995998,0.06004,4.583,0.34213394,1672444800,1703980800,1688083200,-41350000,-0.15,-0.1,127.782,-9.892,STO,EQUITY,KDEV.ST,KDEV.ST,Karolinska Development AB ser.B,Karolinska Development AB (publ),1302850800,Europe/Stockholm,CEST,7200000,1.568,none,147716000,0.547,-27876000,370000,16.414,16.606,2158000,0.03,0.008,-0.014090001,-0.03289,2300000,-28666250,-26703000,-0.161,1.0,0.0,-13.24282,SEK,
2,Tomtebodavägen 23 A,Solna,17165,Sweden,46 8 52 48 60 70,https://www.karolinskadevelopment.com,Biotechnology,Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden.",8,"{'maxAge': 1, 'name': 'Mr. Hans Christopher Toll', 'age': 54, 'title': 'Chief Financial Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,4,7,3,1693526400,1672444800,86400,4,1.578,1.578,1.546,1.598,1.578,1.578,1.546,1.598,0.0,0.349474,-15.679999,46102,46102,167350,128523,128523,1.558,1.568,0,0,437669568,1.418,2.5,202.81259,1.61312,1.732655,0.0,0.0,SEK,275752640,0.0,104055819,267278000,0.36995998,0.06004,4.583,0.34213394,1672444800,1703980800,1688083200,-41350000,-0.15,-0.1,127.782,-9.892,STO,EQUITY,KDEV.ST,KDEV.ST,Karolinska Development AB ser.B,Karolinska Development AB (publ),1302850800,Europe/Stockholm,CEST,7200000,1.568,none,147716000,0.547,-27876000,370000,16.414,16.606,2158000,0.03,0.008,-0.014090001,-0.03289,2300000,-28666250,-26703000,-0.161,1.0,0.0,-13.24282,SEK,
3,Tomtebodavägen 23 A,Solna,17165,Sweden,46 8 52 48 60 70,https://www.karolinskadevelopment.com,Biotechnology,Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden.",8,"{'maxAge': 1, 'name': 'Mr. Per  Aniansson', 'age': 56, 'title': 'Investment Director', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,4,7,3,1693526400,1672444800,86400,4,1.578,1.578,1.546,1.598,1.578,1.578,1.546,1.598,0.0,0.349474,-15.679999,46102,46102,167350,128523,128523,1.558,1.568,0,0,437669568,1.418,2.5,202.81259,1.61312,1.732655,0.0,0.0,SEK,275752640,0.0,104055819,267278000,0.36995998,0.06004,4.583,0.34213394,1672444800,1703980800,1688083200,-41350000,-0.15,-0.1,127.782,-9.892,STO,EQUITY,KDEV.ST,KDEV.ST,Karolinska Development AB ser.B,Karolinska Development AB (publ),1302850800,Europe/Stockholm,CEST,7200000,1.568,none,147716000,0.547,-27876000,370000,16.414,16.606,2158000,0.03,0.008,-0.014090001,-0.03289,2300000,-28666250,-26703000,-0.161,1.0,0.0,-13.24282,SEK,
4,Tomtebodavägen 23 A,Solna,17165,Sweden,46 8 52 48 60 70,https://www.karolinskadevelopment.com,Biotechnology,Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden.",8,"{'maxAge': 1, 'name': 'Ms. Eva  Montgomerie', 'age': 64, 'title': 'Head of Accounting', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,4,7,3,1693526400,1672444800,86400,4,1.578,1.578,1.546,1.598,1.578,1.578,1.546,1.598,0.0,0.349474,-15.679999,46102,46102,167350,128523,128523,1.558,1.568,0,0,437669568,1.418,2.5,202.81259,1.61312,1.732655,0.0,0.0,SEK,275752640,0.0,104055819,267278000,0.36995998,0.06004,4.583,0.34213394,1672444800,1703980800,1688083200,-41350000,-0.15,-0.1,127.782,-9.892,STO,EQUITY,KDEV.ST,KDEV.ST,Karolinska Development AB ser.B,Karolinska Development AB (publ),1302850800,Europe/Stockholm,CEST,7200000,1.568,none,147716000,0.547,-27876000,370000,16.414,16.606,2158000,0.03,0.008,-0.014090001,-0.03289,2300000,-28666250,-26703000,-0.161,1.0,0.0,-13.24282,SEK,
5,Tomtebodavägen 23 A,Solna,17165,Sweden,46 8 52 48 60 70,https://www.karolinskadevelopment.com,Biotechnology,Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden.",8,"{'maxAge': 1, 'name': 'Dr. John  Öhd M.D., Ph.D.', 'age': 51, 'title': 'Chief Scientific Officer & Venture Partner', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,4,7,3,1693526400,1672444800,86400,4,1.578,1.578,1.546,1.598,1.578,1.578,1.546,1.598,0.0,0.349474,-15.679999,46102,46102,167350,128523,128523,1.558,1.568,0,0,437669568,1.418,2.5,202.81259,1.61312,1.732655,0.0,0.0,SEK,275752640,0.0,104055819,267278000,0.36995998,0.06004,4.583,0.34213394,1672444800,1703980800,1688083200,-41350000,-0.15,-0.1,127.782,-9.892,STO,EQUITY,KDEV.ST,KDEV.ST,Karolinska Development AB ser.B,Karolinska Development AB (publ),1302850800,Europe/Stockholm,CEST,7200000,1.568,none,147716000,0.547,-27876000,370000,16.414,16.606,2158000,0.03,0.008,-0.014090001,-0.03289,2300000,-28666250,-26703000,-0.161,1.0,0.0,-13.24282,SEK,
6,Tomtebodavägen 23 A,Solna,17165,Sweden,46 8 52 48 60 70,https://www.karolinskadevelopment.com,Biotechnology,Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden.",8,"{'maxAge': 1, 'name': 'Mr. Johan  Dighed', 'age': 49, 'title': 'Chief Legal Officer & Deputy CEO', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,4,7,3,1693526400,1672444800,86400,4,1.578,1.578,1.546,1.598,1.578,1.578,1.546,1.598,0.0,0.349474,-15.679999,46102,46102,167350,128523,128523,1.558,1.568,0,0,437669568,1.418,2.5,202.81259,1.61312,1.732655,0.0,0.0,SEK,275752640,0.0,104055819,267278000,0.36995998,0.06004,4.583,0.34213394,1672444800,1703980800,1688083200,-41350000,-0.15,-0.1,127.782,-9.892,STO,EQUITY,KDEV.ST,KDEV.ST,Karolinska Development AB ser.B,Karolinska Development AB (publ),1302850800,Europe/Stockholm,CEST,7200000,1.568,none,147716000,0.547,-27876000,370000,16.414,16.606,2158000,0.03,0.008,-0.014090001,-0.03289,2300000,-28666250,-26703000,-0.161,1.0,0.0,-13.24282,SEK,
7,Tomtebodavägen 23 A,Solna,17165,Sweden,46 8 52 48 60 70,https://www.karolinskadevelopment.com,Biotechnology,Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden.",8,"{'maxAge': 1, 'name': 'Mr. Yan  Cheng', 'age': 37, 'title': 'Pres of Asia', 'yearBorn': 1985, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,4,7,3,1693526400,1672444800,86400,4,1.578,1.578,1.546,1.598,1.578,1.578,1.546,1.598,0.0,0.349474,-15.679999,46102,46102,167350,128523,128523,1.558,1.568,0,0,437669568,1.418,2.5,202.81259,1.61312,1.732655,0.0,0.0,SEK,275752640,0.0,104055819,267278000,0.36995998,0.06004,4.583,0.34213394,1672444800,1703980800,1688083200,-41350000,-0.15,-0.1,127.782,-9.892,STO,EQUITY,KDEV.ST,KDEV.ST,Karolinska Development AB ser.B,Karolinska Development AB (publ),1302850800,Europe/Stockholm,CEST,7200000,1.568,none,147716000,0.547,-27876000,370000,16.414,16.606,2158000,0.03,0.008,-0.014090001,-0.03289,2300000,-28666250,-26703000,-0.161,1.0,0.0,-13.24282,SEK,
8,Tomtebodavägen 23 A,Solna,17165,Sweden,46 8 52 48 60 70,https://www.karolinskadevelopment.com,Biotechnology,Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden.",8,"{'maxAge': 1, 'name': 'Prof. Hans  Wigzell M.D., Ph.D.', 'age': 84, 'title': 'Sr. Strategic Advisor', 'yearBorn': 1938, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,4,7,3,1693526400,1672444800,86400,4,1.578,1.578,1.546,1.598,1.578,1.578,1.546,1.598,0.0,0.349474,-15.679999,46102,46102,167350,128523,128523,1.558,1.568,0,0,437669568,1.418,2.5,202.81259,1.61312,1.732655,0.0,0.0,SEK,275752640,0.0,104055819,267278000,0.36995998,0.06004,4.583,0.34213394,1672444800,1703980800,1688083200,-41350000,-0.15,-0.1,127.782,-9.892,STO,EQUITY,KDEV.ST,KDEV.ST,Karolinska Development AB ser.B,Karolinska Development AB (publ),1302850800,Europe/Stockholm,CEST,7200000,1.568,none,147716000,0.547,-27876000,370000,16.414,16.606,2158000,0.03,0.008,-0.014090001,-0.03289,2300000,-28666250,-26703000,-0.161,1.0,0.0,-13.24282,SEK,
9,Tomtebodavägen 23 A,Solna,17165,Sweden,46 8 52 48 60 70,https://www.karolinskadevelopment.com,Biotechnology,Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden.",8,"{'maxAge': 1, 'name': 'Ms. Linda  Spahiu', 'age': 37, 'title': 'Investment Mang.', 'yearBorn': 1985, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,4,7,3,1693526400,1672444800,86400,4,1.578,1.578,1.546,1.598,1.578,1.578,1.546,1.598,0.0,0.349474,-15.679999,46102,46102,167350,128523,128523,1.558,1.568,0,0,437669568,1.418,2.5,202.81259,1.61312,1.732655,0.0,0.0,SEK,275752640,0.0,104055819,267278000,0.36995998,0.06004,4.583,0.34213394,1672444800,1703980800,1688083200,-41350000,-0.15,-0.1,127.782,-9.892,STO,EQUITY,KDEV.ST,KDEV.ST,Karolinska Development AB ser.B,Karolinska Development AB (publ),1302850800,Europe/Stockholm,CEST,7200000,1.568,none,147716000,0.547,-27876000,370000,16.414,16.606,2158000,0.03,0.008,-0.014090001,-0.03289,2300000,-28666250,-26703000,-0.161,1.0,0.0,-13.24282,SEK,
