,address1,city,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,trailingEps,forwardEps,pegRatio,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Carrera 13 No. 36 - 24,Bogotá,Colombia,57 310 315 8600,https://www.ecopetrol.com.co,Oil & Gas Integrated,Energy,"Ecopetrol S.A. operates as an integrated energy company. The company operates through four segments: Exploration and Production; Transport and Logistics; Refining, Petrochemical and Biofuels; and Electric Power Transmission and Toll Roads Concessions. It engages in the exploration and production of oil and gas; transportation of crude oil, motor fuels, fuel oil, and other refined products, including diesel, jet, and biofuels; processing and refining crude oil; distribution of natural gas and LPG; sale of refined and petrochemical products; supplying of electric power transmission services; design, development, construction, operation, and maintenance of road and energy infrastructure projects; and supplying of information technology and telecommunications services. As of December 31, 2022, the company had approximately 9,127 kilometers of crude oil and multi-purpose pipelines. It also produces and commercializes polypropylene resins and compounds, and masterbatches; and offers industrial service sales to customers and specialized management services. It has operations in Colombia, the United States, Asia, Central America and the Caribbean, Europe, and South America. The company was formerly known as Empresa Colombiana de Petróleos and changed its name to Ecopetrol S.A. in June 2003. Ecopetrol S.A. was incorporated in 1948 and is headquartered in Bogotá, Colombia.",18903,"{'maxAge': 1, 'name': 'Mr. Ricardo Roa Barragan', 'title': 'Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.55,12.6,12.46,12.635,12.55,12.6,12.46,12.635,3.31,0.264,1695686400,0.39189997,6.61,0.812832,3.2913387,6.207921,3499575,3499575,1439048,1821770,1821770,12.53,12.49,900,1200,25780109312,8.59,12.64,11.3814,10.59195,0.0,0.0,USD,51560333312,0.15543,468195802,2055830016,6950928,7070645,1690761600,1693440000,0.0034,0.0,0.01679,4.64,8.82,1.4217688,1672444800,1703980800,1688083200,-0.61,3.81,2.02,-1.12,NYQ,EQUITY,EC,EC,Ecopetrol S.A.,Ecopetrol S.A.,1221744600,America/New_York,EDT,-14400000,12.54,23.25,10.0,12.96,12.0,3.0,hold,10,1.001,1.213,106.471,0.11988,0.29127002,-0.61,-0.218,0.41285,0.4275,0.0,COP,
1,Carrera 13 No. 36 - 24,Bogotá,Colombia,57 310 315 8600,https://www.ecopetrol.com.co,Oil & Gas Integrated,Energy,"Ecopetrol S.A. operates as an integrated energy company. The company operates through four segments: Exploration and Production; Transport and Logistics; Refining, Petrochemical and Biofuels; and Electric Power Transmission and Toll Roads Concessions. It engages in the exploration and production of oil and gas; transportation of crude oil, motor fuels, fuel oil, and other refined products, including diesel, jet, and biofuels; processing and refining crude oil; distribution of natural gas and LPG; sale of refined and petrochemical products; supplying of electric power transmission services; design, development, construction, operation, and maintenance of road and energy infrastructure projects; and supplying of information technology and telecommunications services. As of December 31, 2022, the company had approximately 9,127 kilometers of crude oil and multi-purpose pipelines. It also produces and commercializes polypropylene resins and compounds, and masterbatches; and offers industrial service sales to customers and specialized management services. It has operations in Colombia, the United States, Asia, Central America and the Caribbean, Europe, and South America. The company was formerly known as Empresa Colombiana de Petróleos and changed its name to Ecopetrol S.A. in June 2003. Ecopetrol S.A. was incorporated in 1948 and is headquartered in Bogotá, Colombia.",18903,"{'maxAge': 1, 'name': 'Maria  Catalina Escobar', 'title': 'Mang. of Value Maximization and Corp. VP of Fin. & Sustainable Value', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.55,12.6,12.46,12.635,12.55,12.6,12.46,12.635,3.31,0.264,1695686400,0.39189997,6.61,0.812832,3.2913387,6.207921,3499575,3499575,1439048,1821770,1821770,12.53,12.49,900,1200,25780109312,8.59,12.64,11.3814,10.59195,0.0,0.0,USD,51560333312,0.15543,468195802,2055830016,6950928,7070645,1690761600,1693440000,0.0034,0.0,0.01679,4.64,8.82,1.4217688,1672444800,1703980800,1688083200,-0.61,3.81,2.02,-1.12,NYQ,EQUITY,EC,EC,Ecopetrol S.A.,Ecopetrol S.A.,1221744600,America/New_York,EDT,-14400000,12.54,23.25,10.0,12.96,12.0,3.0,hold,10,1.001,1.213,106.471,0.11988,0.29127002,-0.61,-0.218,0.41285,0.4275,0.0,COP,
2,Carrera 13 No. 36 - 24,Bogotá,Colombia,57 310 315 8600,https://www.ecopetrol.com.co,Oil & Gas Integrated,Energy,"Ecopetrol S.A. operates as an integrated energy company. The company operates through four segments: Exploration and Production; Transport and Logistics; Refining, Petrochemical and Biofuels; and Electric Power Transmission and Toll Roads Concessions. It engages in the exploration and production of oil and gas; transportation of crude oil, motor fuels, fuel oil, and other refined products, including diesel, jet, and biofuels; processing and refining crude oil; distribution of natural gas and LPG; sale of refined and petrochemical products; supplying of electric power transmission services; design, development, construction, operation, and maintenance of road and energy infrastructure projects; and supplying of information technology and telecommunications services. As of December 31, 2022, the company had approximately 9,127 kilometers of crude oil and multi-purpose pipelines. It also produces and commercializes polypropylene resins and compounds, and masterbatches; and offers industrial service sales to customers and specialized management services. It has operations in Colombia, the United States, Asia, Central America and the Caribbean, Europe, and South America. The company was formerly known as Empresa Colombiana de Petróleos and changed its name to Ecopetrol S.A. in June 2003. Ecopetrol S.A. was incorporated in 1948 and is headquartered in Bogotá, Colombia.",18903,"{'maxAge': 1, 'name': 'Mr. Alberto  Consuegra Granger', 'age': 62, 'title': 'COO & Exec. VP of Operations', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.55,12.6,12.46,12.635,12.55,12.6,12.46,12.635,3.31,0.264,1695686400,0.39189997,6.61,0.812832,3.2913387,6.207921,3499575,3499575,1439048,1821770,1821770,12.53,12.49,900,1200,25780109312,8.59,12.64,11.3814,10.59195,0.0,0.0,USD,51560333312,0.15543,468195802,2055830016,6950928,7070645,1690761600,1693440000,0.0034,0.0,0.01679,4.64,8.82,1.4217688,1672444800,1703980800,1688083200,-0.61,3.81,2.02,-1.12,NYQ,EQUITY,EC,EC,Ecopetrol S.A.,Ecopetrol S.A.,1221744600,America/New_York,EDT,-14400000,12.54,23.25,10.0,12.96,12.0,3.0,hold,10,1.001,1.213,106.471,0.11988,0.29127002,-0.61,-0.218,0.41285,0.4275,0.0,COP,
3,Carrera 13 No. 36 - 24,Bogotá,Colombia,57 310 315 8600,https://www.ecopetrol.com.co,Oil & Gas Integrated,Energy,"Ecopetrol S.A. operates as an integrated energy company. The company operates through four segments: Exploration and Production; Transport and Logistics; Refining, Petrochemical and Biofuels; and Electric Power Transmission and Toll Roads Concessions. It engages in the exploration and production of oil and gas; transportation of crude oil, motor fuels, fuel oil, and other refined products, including diesel, jet, and biofuels; processing and refining crude oil; distribution of natural gas and LPG; sale of refined and petrochemical products; supplying of electric power transmission services; design, development, construction, operation, and maintenance of road and energy infrastructure projects; and supplying of information technology and telecommunications services. As of December 31, 2022, the company had approximately 9,127 kilometers of crude oil and multi-purpose pipelines. It also produces and commercializes polypropylene resins and compounds, and masterbatches; and offers industrial service sales to customers and specialized management services. It has operations in Colombia, the United States, Asia, Central America and the Caribbean, Europe, and South America. The company was formerly known as Empresa Colombiana de Petróleos and changed its name to Ecopetrol S.A. in June 2003. Ecopetrol S.A. was incorporated in 1948 and is headquartered in Bogotá, Colombia.",18903,"{'maxAge': 1, 'name': 'Juanita Quintana Valdivieso', 'title': 'Technology Commercialization Mang. and Interim VP of Science, Technology & Innovation', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.55,12.6,12.46,12.635,12.55,12.6,12.46,12.635,3.31,0.264,1695686400,0.39189997,6.61,0.812832,3.2913387,6.207921,3499575,3499575,1439048,1821770,1821770,12.53,12.49,900,1200,25780109312,8.59,12.64,11.3814,10.59195,0.0,0.0,USD,51560333312,0.15543,468195802,2055830016,6950928,7070645,1690761600,1693440000,0.0034,0.0,0.01679,4.64,8.82,1.4217688,1672444800,1703980800,1688083200,-0.61,3.81,2.02,-1.12,NYQ,EQUITY,EC,EC,Ecopetrol S.A.,Ecopetrol S.A.,1221744600,America/New_York,EDT,-14400000,12.54,23.25,10.0,12.96,12.0,3.0,hold,10,1.001,1.213,106.471,0.11988,0.29127002,-0.61,-0.218,0.41285,0.4275,0.0,COP,
4,Carrera 13 No. 36 - 24,Bogotá,Colombia,57 310 315 8600,https://www.ecopetrol.com.co,Oil & Gas Integrated,Energy,"Ecopetrol S.A. operates as an integrated energy company. The company operates through four segments: Exploration and Production; Transport and Logistics; Refining, Petrochemical and Biofuels; and Electric Power Transmission and Toll Roads Concessions. It engages in the exploration and production of oil and gas; transportation of crude oil, motor fuels, fuel oil, and other refined products, including diesel, jet, and biofuels; processing and refining crude oil; distribution of natural gas and LPG; sale of refined and petrochemical products; supplying of electric power transmission services; design, development, construction, operation, and maintenance of road and energy infrastructure projects; and supplying of information technology and telecommunications services. As of December 31, 2022, the company had approximately 9,127 kilometers of crude oil and multi-purpose pipelines. It also produces and commercializes polypropylene resins and compounds, and masterbatches; and offers industrial service sales to customers and specialized management services. It has operations in Colombia, the United States, Asia, Central America and the Caribbean, Europe, and South America. The company was formerly known as Empresa Colombiana de Petróleos and changed its name to Ecopetrol S.A. in June 2003. Ecopetrol S.A. was incorporated in 1948 and is headquartered in Bogotá, Colombia.",18903,"{'maxAge': 1, 'name': 'Mr. Fernán Ignacio Bejarano Arias', 'age': 66, 'title': 'Vice-Pres of Legal Affairs & Gen. Counsel', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.55,12.6,12.46,12.635,12.55,12.6,12.46,12.635,3.31,0.264,1695686400,0.39189997,6.61,0.812832,3.2913387,6.207921,3499575,3499575,1439048,1821770,1821770,12.53,12.49,900,1200,25780109312,8.59,12.64,11.3814,10.59195,0.0,0.0,USD,51560333312,0.15543,468195802,2055830016,6950928,7070645,1690761600,1693440000,0.0034,0.0,0.01679,4.64,8.82,1.4217688,1672444800,1703980800,1688083200,-0.61,3.81,2.02,-1.12,NYQ,EQUITY,EC,EC,Ecopetrol S.A.,Ecopetrol S.A.,1221744600,America/New_York,EDT,-14400000,12.54,23.25,10.0,12.96,12.0,3.0,hold,10,1.001,1.213,106.471,0.11988,0.29127002,-0.61,-0.218,0.41285,0.4275,0.0,COP,
5,Carrera 13 No. 36 - 24,Bogotá,Colombia,57 310 315 8600,https://www.ecopetrol.com.co,Oil & Gas Integrated,Energy,"Ecopetrol S.A. operates as an integrated energy company. The company operates through four segments: Exploration and Production; Transport and Logistics; Refining, Petrochemical and Biofuels; and Electric Power Transmission and Toll Roads Concessions. It engages in the exploration and production of oil and gas; transportation of crude oil, motor fuels, fuel oil, and other refined products, including diesel, jet, and biofuels; processing and refining crude oil; distribution of natural gas and LPG; sale of refined and petrochemical products; supplying of electric power transmission services; design, development, construction, operation, and maintenance of road and energy infrastructure projects; and supplying of information technology and telecommunications services. As of December 31, 2022, the company had approximately 9,127 kilometers of crude oil and multi-purpose pipelines. It also produces and commercializes polypropylene resins and compounds, and masterbatches; and offers industrial service sales to customers and specialized management services. It has operations in Colombia, the United States, Asia, Central America and the Caribbean, Europe, and South America. The company was formerly known as Empresa Colombiana de Petróleos and changed its name to Ecopetrol S.A. in June 2003. Ecopetrol S.A. was incorporated in 1948 and is headquartered in Bogotá, Colombia.",18903,"{'maxAge': 1, 'name': 'Ana Maria Silva Escobar', 'title': 'Corp. Mang. of Ethics & Compliance Affairs and Interim Corp. VP of Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.55,12.6,12.46,12.635,12.55,12.6,12.46,12.635,3.31,0.264,1695686400,0.39189997,6.61,0.812832,3.2913387,6.207921,3499575,3499575,1439048,1821770,1821770,12.53,12.49,900,1200,25780109312,8.59,12.64,11.3814,10.59195,0.0,0.0,USD,51560333312,0.15543,468195802,2055830016,6950928,7070645,1690761600,1693440000,0.0034,0.0,0.01679,4.64,8.82,1.4217688,1672444800,1703980800,1688083200,-0.61,3.81,2.02,-1.12,NYQ,EQUITY,EC,EC,Ecopetrol S.A.,Ecopetrol S.A.,1221744600,America/New_York,EDT,-14400000,12.54,23.25,10.0,12.96,12.0,3.0,hold,10,1.001,1.213,106.471,0.11988,0.29127002,-0.61,-0.218,0.41285,0.4275,0.0,COP,
6,Carrera 13 No. 36 - 24,Bogotá,Colombia,57 310 315 8600,https://www.ecopetrol.com.co,Oil & Gas Integrated,Energy,"Ecopetrol S.A. operates as an integrated energy company. The company operates through four segments: Exploration and Production; Transport and Logistics; Refining, Petrochemical and Biofuels; and Electric Power Transmission and Toll Roads Concessions. It engages in the exploration and production of oil and gas; transportation of crude oil, motor fuels, fuel oil, and other refined products, including diesel, jet, and biofuels; processing and refining crude oil; distribution of natural gas and LPG; sale of refined and petrochemical products; supplying of electric power transmission services; design, development, construction, operation, and maintenance of road and energy infrastructure projects; and supplying of information technology and telecommunications services. As of December 31, 2022, the company had approximately 9,127 kilometers of crude oil and multi-purpose pipelines. It also produces and commercializes polypropylene resins and compounds, and masterbatches; and offers industrial service sales to customers and specialized management services. It has operations in Colombia, the United States, Asia, Central America and the Caribbean, Europe, and South America. The company was formerly known as Empresa Colombiana de Petróleos and changed its name to Ecopetrol S.A. in June 2003. Ecopetrol S.A. was incorporated in 1948 and is headquartered in Bogotá, Colombia.",18903,"{'maxAge': 1, 'name': 'Marcela  Ulloa', 'title': 'Head of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.55,12.6,12.46,12.635,12.55,12.6,12.46,12.635,3.31,0.264,1695686400,0.39189997,6.61,0.812832,3.2913387,6.207921,3499575,3499575,1439048,1821770,1821770,12.53,12.49,900,1200,25780109312,8.59,12.64,11.3814,10.59195,0.0,0.0,USD,51560333312,0.15543,468195802,2055830016,6950928,7070645,1690761600,1693440000,0.0034,0.0,0.01679,4.64,8.82,1.4217688,1672444800,1703980800,1688083200,-0.61,3.81,2.02,-1.12,NYQ,EQUITY,EC,EC,Ecopetrol S.A.,Ecopetrol S.A.,1221744600,America/New_York,EDT,-14400000,12.54,23.25,10.0,12.96,12.0,3.0,hold,10,1.001,1.213,106.471,0.11988,0.29127002,-0.61,-0.218,0.41285,0.4275,0.0,COP,
7,Carrera 13 No. 36 - 24,Bogotá,Colombia,57 310 315 8600,https://www.ecopetrol.com.co,Oil & Gas Integrated,Energy,"Ecopetrol S.A. operates as an integrated energy company. The company operates through four segments: Exploration and Production; Transport and Logistics; Refining, Petrochemical and Biofuels; and Electric Power Transmission and Toll Roads Concessions. It engages in the exploration and production of oil and gas; transportation of crude oil, motor fuels, fuel oil, and other refined products, including diesel, jet, and biofuels; processing and refining crude oil; distribution of natural gas and LPG; sale of refined and petrochemical products; supplying of electric power transmission services; design, development, construction, operation, and maintenance of road and energy infrastructure projects; and supplying of information technology and telecommunications services. As of December 31, 2022, the company had approximately 9,127 kilometers of crude oil and multi-purpose pipelines. It also produces and commercializes polypropylene resins and compounds, and masterbatches; and offers industrial service sales to customers and specialized management services. It has operations in Colombia, the United States, Asia, Central America and the Caribbean, Europe, and South America. The company was formerly known as Empresa Colombiana de Petróleos and changed its name to Ecopetrol S.A. in June 2003. Ecopetrol S.A. was incorporated in 1948 and is headquartered in Bogotá, Colombia.",18903,"{'maxAge': 1, 'name': 'Mr. Pedro Fernando  Manrique Gutierrez', 'age': 57, 'title': 'VP of Commercial & Marketing', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.55,12.6,12.46,12.635,12.55,12.6,12.46,12.635,3.31,0.264,1695686400,0.39189997,6.61,0.812832,3.2913387,6.207921,3499575,3499575,1439048,1821770,1821770,12.53,12.49,900,1200,25780109312,8.59,12.64,11.3814,10.59195,0.0,0.0,USD,51560333312,0.15543,468195802,2055830016,6950928,7070645,1690761600,1693440000,0.0034,0.0,0.01679,4.64,8.82,1.4217688,1672444800,1703980800,1688083200,-0.61,3.81,2.02,-1.12,NYQ,EQUITY,EC,EC,Ecopetrol S.A.,Ecopetrol S.A.,1221744600,America/New_York,EDT,-14400000,12.54,23.25,10.0,12.96,12.0,3.0,hold,10,1.001,1.213,106.471,0.11988,0.29127002,-0.61,-0.218,0.41285,0.4275,0.0,COP,
8,Carrera 13 No. 36 - 24,Bogotá,Colombia,57 310 315 8600,https://www.ecopetrol.com.co,Oil & Gas Integrated,Energy,"Ecopetrol S.A. operates as an integrated energy company. The company operates through four segments: Exploration and Production; Transport and Logistics; Refining, Petrochemical and Biofuels; and Electric Power Transmission and Toll Roads Concessions. It engages in the exploration and production of oil and gas; transportation of crude oil, motor fuels, fuel oil, and other refined products, including diesel, jet, and biofuels; processing and refining crude oil; distribution of natural gas and LPG; sale of refined and petrochemical products; supplying of electric power transmission services; design, development, construction, operation, and maintenance of road and energy infrastructure projects; and supplying of information technology and telecommunications services. As of December 31, 2022, the company had approximately 9,127 kilometers of crude oil and multi-purpose pipelines. It also produces and commercializes polypropylene resins and compounds, and masterbatches; and offers industrial service sales to customers and specialized management services. It has operations in Colombia, the United States, Asia, Central America and the Caribbean, Europe, and South America. The company was formerly known as Empresa Colombiana de Petróleos and changed its name to Ecopetrol S.A. in June 2003. Ecopetrol S.A. was incorporated in 1948 and is headquartered in Bogotá, Colombia.",18903,"{'maxAge': 1, 'name': 'Mr. Alejandro  Arango Lopez', 'age': 62, 'title': 'Corp. VP of Human Talent', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.55,12.6,12.46,12.635,12.55,12.6,12.46,12.635,3.31,0.264,1695686400,0.39189997,6.61,0.812832,3.2913387,6.207921,3499575,3499575,1439048,1821770,1821770,12.53,12.49,900,1200,25780109312,8.59,12.64,11.3814,10.59195,0.0,0.0,USD,51560333312,0.15543,468195802,2055830016,6950928,7070645,1690761600,1693440000,0.0034,0.0,0.01679,4.64,8.82,1.4217688,1672444800,1703980800,1688083200,-0.61,3.81,2.02,-1.12,NYQ,EQUITY,EC,EC,Ecopetrol S.A.,Ecopetrol S.A.,1221744600,America/New_York,EDT,-14400000,12.54,23.25,10.0,12.96,12.0,3.0,hold,10,1.001,1.213,106.471,0.11988,0.29127002,-0.61,-0.218,0.41285,0.4275,0.0,COP,
9,Carrera 13 No. 36 - 24,Bogotá,Colombia,57 310 315 8600,https://www.ecopetrol.com.co,Oil & Gas Integrated,Energy,"Ecopetrol S.A. operates as an integrated energy company. The company operates through four segments: Exploration and Production; Transport and Logistics; Refining, Petrochemical and Biofuels; and Electric Power Transmission and Toll Roads Concessions. It engages in the exploration and production of oil and gas; transportation of crude oil, motor fuels, fuel oil, and other refined products, including diesel, jet, and biofuels; processing and refining crude oil; distribution of natural gas and LPG; sale of refined and petrochemical products; supplying of electric power transmission services; design, development, construction, operation, and maintenance of road and energy infrastructure projects; and supplying of information technology and telecommunications services. As of December 31, 2022, the company had approximately 9,127 kilometers of crude oil and multi-purpose pipelines. It also produces and commercializes polypropylene resins and compounds, and masterbatches; and offers industrial service sales to customers and specialized management services. It has operations in Colombia, the United States, Asia, Central America and the Caribbean, Europe, and South America. The company was formerly known as Empresa Colombiana de Petróleos and changed its name to Ecopetrol S.A. in June 2003. Ecopetrol S.A. was incorporated in 1948 and is headquartered in Bogotá, Colombia.",18903,"{'maxAge': 1, 'name': 'Tommaso  Giuseppe Mascarucci', 'title': 'Head of Capital Markets', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.55,12.6,12.46,12.635,12.55,12.6,12.46,12.635,3.31,0.264,1695686400,0.39189997,6.61,0.812832,3.2913387,6.207921,3499575,3499575,1439048,1821770,1821770,12.53,12.49,900,1200,25780109312,8.59,12.64,11.3814,10.59195,0.0,0.0,USD,51560333312,0.15543,468195802,2055830016,6950928,7070645,1690761600,1693440000,0.0034,0.0,0.01679,4.64,8.82,1.4217688,1672444800,1703980800,1688083200,-0.61,3.81,2.02,-1.12,NYQ,EQUITY,EC,EC,Ecopetrol S.A.,Ecopetrol S.A.,1221744600,America/New_York,EDT,-14400000,12.54,23.25,10.0,12.96,12.0,3.0,hold,10,1.001,1.213,106.471,0.11988,0.29127002,-0.61,-0.218,0.41285,0.4275,0.0,COP,
