,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,180 Dundas Street West,Suite 1100,Toronto,ON,M5G 1Z8,Canada,416 366 2000,416 366 2433,https://www.nwhreit.com,REIT—Healthcare Facilities,Real Estate,"Northwest Healthcare Properties Real Estate Investment Trust (TSX: NWH.UN) (Northwest) is an unincorporated, open-ended real estate investment trust established under the laws of the Province of Ontario. As at June 30, 2023, the REIT provides investors with access to a portfolio of high-quality international healthcare real estate infrastructure comprised of interests in a diversified portfolio of 231 income-producing properties and 18.5 million square feet of gross leasable area located throughout major markets in the Americas, Europe and Australasia. The REIT's portfolio of medical office buildings, clinics, and hospitals is characterized by long-term indexed leases and stable occupancies. With a fully integrated and aligned senior management team, the REIT leverages over 300 professionals in 11 offices in eight countries to serve as a long-term real estate partner to leading healthcare operators.","{'maxAge': 1, 'name': 'Mr. Craig Douglas Mitchell BComm, EMBA, FCPA', 'age': 54, 'title': 'Interim CEO & CEO of ANZ', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1227285, 'exercisedValue': 0, 'unexercisedValue': 0}",9,6,9,6,8,1693526400,1672444800,86400,2,6.96,6.97,6.85,7.03,6.96,6.97,6.85,7.03,0.8,0.1149,1693353600,7.24,0.845016,7.445652,4215551,4215551,1118927,1043780,1043780,6.86,6.87,0,0,1676092160,6.06,12.08,3.4590695,6.7684,8.26925,0.8,0.11494253,CAD,6695792640,-0.47812998,220849441,242975008,9573999,7690985,1690761600,1693440000,0.0394,0.0025799999,0.23981,9.19,9.22,0.7429501,1672444800,1703980800,1688083200,-231679008,-0.93,0.92,13.819,20.247,TOR,EQUITY,NWH-UN.TO,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT,NorthWest Healthcare Properties Real Estate Investment Trust,1271943000,America/Toronto,EDT,-14400000,6.85,10.5,6.5,8.29,8.0,2.7,hold,7,126032000,0.519,330708992,4016442880,0.157,0.396,484550016,118.79,1.994,0.02545,-0.08923,1270815488,174759008,-0.285,0.7565,0.68251,0.67994004,CAD,
1,180 Dundas Street West,Suite 1100,Toronto,ON,M5G 1Z8,Canada,416 366 2000,416 366 2433,https://www.nwhreit.com,REIT—Healthcare Facilities,Real Estate,"Northwest Healthcare Properties Real Estate Investment Trust (TSX: NWH.UN) (Northwest) is an unincorporated, open-ended real estate investment trust established under the laws of the Province of Ontario. As at June 30, 2023, the REIT provides investors with access to a portfolio of high-quality international healthcare real estate infrastructure comprised of interests in a diversified portfolio of 231 income-producing properties and 18.5 million square feet of gross leasable area located throughout major markets in the Americas, Europe and Australasia. The REIT's portfolio of medical office buildings, clinics, and hospitals is characterized by long-term indexed leases and stable occupancies. With a fully integrated and aligned senior management team, the REIT leverages over 300 professionals in 11 offices in eight countries to serve as a long-term real estate partner to leading healthcare operators.","{'maxAge': 1, 'name': 'Mr. Shailen  Chande CPA, CA', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 689346, 'exercisedValue': 0, 'unexercisedValue': 0}",9,6,9,6,8,1693526400,1672444800,86400,2,6.96,6.97,6.85,7.03,6.96,6.97,6.85,7.03,0.8,0.1149,1693353600,7.24,0.845016,7.445652,4215551,4215551,1118927,1043780,1043780,6.86,6.87,0,0,1676092160,6.06,12.08,3.4590695,6.7684,8.26925,0.8,0.11494253,CAD,6695792640,-0.47812998,220849441,242975008,9573999,7690985,1690761600,1693440000,0.0394,0.0025799999,0.23981,9.19,9.22,0.7429501,1672444800,1703980800,1688083200,-231679008,-0.93,0.92,13.819,20.247,TOR,EQUITY,NWH-UN.TO,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT,NorthWest Healthcare Properties Real Estate Investment Trust,1271943000,America/Toronto,EDT,-14400000,6.85,10.5,6.5,8.29,8.0,2.7,hold,7,126032000,0.519,330708992,4016442880,0.157,0.396,484550016,118.79,1.994,0.02545,-0.08923,1270815488,174759008,-0.285,0.7565,0.68251,0.67994004,CAD,
2,180 Dundas Street West,Suite 1100,Toronto,ON,M5G 1Z8,Canada,416 366 2000,416 366 2433,https://www.nwhreit.com,REIT—Healthcare Facilities,Real Estate,"Northwest Healthcare Properties Real Estate Investment Trust (TSX: NWH.UN) (Northwest) is an unincorporated, open-ended real estate investment trust established under the laws of the Province of Ontario. As at June 30, 2023, the REIT provides investors with access to a portfolio of high-quality international healthcare real estate infrastructure comprised of interests in a diversified portfolio of 231 income-producing properties and 18.5 million square feet of gross leasable area located throughout major markets in the Americas, Europe and Australasia. The REIT's portfolio of medical office buildings, clinics, and hospitals is characterized by long-term indexed leases and stable occupancies. With a fully integrated and aligned senior management team, the REIT leverages over 300 professionals in 11 offices in eight countries to serve as a long-term real estate partner to leading healthcare operators.","{'maxAge': 1, 'name': 'Mr. Peter  Riggin', 'age': 59, 'title': 'Chief Admin. Officer', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 558042, 'exercisedValue': 0, 'unexercisedValue': 0}",9,6,9,6,8,1693526400,1672444800,86400,2,6.96,6.97,6.85,7.03,6.96,6.97,6.85,7.03,0.8,0.1149,1693353600,7.24,0.845016,7.445652,4215551,4215551,1118927,1043780,1043780,6.86,6.87,0,0,1676092160,6.06,12.08,3.4590695,6.7684,8.26925,0.8,0.11494253,CAD,6695792640,-0.47812998,220849441,242975008,9573999,7690985,1690761600,1693440000,0.0394,0.0025799999,0.23981,9.19,9.22,0.7429501,1672444800,1703980800,1688083200,-231679008,-0.93,0.92,13.819,20.247,TOR,EQUITY,NWH-UN.TO,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT,NorthWest Healthcare Properties Real Estate Investment Trust,1271943000,America/Toronto,EDT,-14400000,6.85,10.5,6.5,8.29,8.0,2.7,hold,7,126032000,0.519,330708992,4016442880,0.157,0.396,484550016,118.79,1.994,0.02545,-0.08923,1270815488,174759008,-0.285,0.7565,0.68251,0.67994004,CAD,
3,180 Dundas Street West,Suite 1100,Toronto,ON,M5G 1Z8,Canada,416 366 2000,416 366 2433,https://www.nwhreit.com,REIT—Healthcare Facilities,Real Estate,"Northwest Healthcare Properties Real Estate Investment Trust (TSX: NWH.UN) (Northwest) is an unincorporated, open-ended real estate investment trust established under the laws of the Province of Ontario. As at June 30, 2023, the REIT provides investors with access to a portfolio of high-quality international healthcare real estate infrastructure comprised of interests in a diversified portfolio of 231 income-producing properties and 18.5 million square feet of gross leasable area located throughout major markets in the Americas, Europe and Australasia. The REIT's portfolio of medical office buildings, clinics, and hospitals is characterized by long-term indexed leases and stable occupancies. With a fully integrated and aligned senior management team, the REIT leverages over 300 professionals in 11 offices in eight countries to serve as a long-term real estate partner to leading healthcare operators.","{'maxAge': 1, 'name': 'Mr. Jan  Krizan C.F.A., CFA', 'age': 53, 'title': 'Global Head of Funds', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 719690, 'exercisedValue': 0, 'unexercisedValue': 0}",9,6,9,6,8,1693526400,1672444800,86400,2,6.96,6.97,6.85,7.03,6.96,6.97,6.85,7.03,0.8,0.1149,1693353600,7.24,0.845016,7.445652,4215551,4215551,1118927,1043780,1043780,6.86,6.87,0,0,1676092160,6.06,12.08,3.4590695,6.7684,8.26925,0.8,0.11494253,CAD,6695792640,-0.47812998,220849441,242975008,9573999,7690985,1690761600,1693440000,0.0394,0.0025799999,0.23981,9.19,9.22,0.7429501,1672444800,1703980800,1688083200,-231679008,-0.93,0.92,13.819,20.247,TOR,EQUITY,NWH-UN.TO,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT,NorthWest Healthcare Properties Real Estate Investment Trust,1271943000,America/Toronto,EDT,-14400000,6.85,10.5,6.5,8.29,8.0,2.7,hold,7,126032000,0.519,330708992,4016442880,0.157,0.396,484550016,118.79,1.994,0.02545,-0.08923,1270815488,174759008,-0.285,0.7565,0.68251,0.67994004,CAD,
4,180 Dundas Street West,Suite 1100,Toronto,ON,M5G 1Z8,Canada,416 366 2000,416 366 2433,https://www.nwhreit.com,REIT—Healthcare Facilities,Real Estate,"Northwest Healthcare Properties Real Estate Investment Trust (TSX: NWH.UN) (Northwest) is an unincorporated, open-ended real estate investment trust established under the laws of the Province of Ontario. As at June 30, 2023, the REIT provides investors with access to a portfolio of high-quality international healthcare real estate infrastructure comprised of interests in a diversified portfolio of 231 income-producing properties and 18.5 million square feet of gross leasable area located throughout major markets in the Americas, Europe and Australasia. The REIT's portfolio of medical office buildings, clinics, and hospitals is characterized by long-term indexed leases and stable occupancies. With a fully integrated and aligned senior management team, the REIT leverages over 300 professionals in 11 offices in eight countries to serve as a long-term real estate partner to leading healthcare operators.","{'maxAge': 1, 'name': 'Mr. Michael  Brady', 'age': 55, 'title': 'Pres', 'yearBorn': 1967, 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",9,6,9,6,8,1693526400,1672444800,86400,2,6.96,6.97,6.85,7.03,6.96,6.97,6.85,7.03,0.8,0.1149,1693353600,7.24,0.845016,7.445652,4215551,4215551,1118927,1043780,1043780,6.86,6.87,0,0,1676092160,6.06,12.08,3.4590695,6.7684,8.26925,0.8,0.11494253,CAD,6695792640,-0.47812998,220849441,242975008,9573999,7690985,1690761600,1693440000,0.0394,0.0025799999,0.23981,9.19,9.22,0.7429501,1672444800,1703980800,1688083200,-231679008,-0.93,0.92,13.819,20.247,TOR,EQUITY,NWH-UN.TO,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT,NorthWest Healthcare Properties Real Estate Investment Trust,1271943000,America/Toronto,EDT,-14400000,6.85,10.5,6.5,8.29,8.0,2.7,hold,7,126032000,0.519,330708992,4016442880,0.157,0.396,484550016,118.79,1.994,0.02545,-0.08923,1270815488,174759008,-0.285,0.7565,0.68251,0.67994004,CAD,
5,180 Dundas Street West,Suite 1100,Toronto,ON,M5G 1Z8,Canada,416 366 2000,416 366 2433,https://www.nwhreit.com,REIT—Healthcare Facilities,Real Estate,"Northwest Healthcare Properties Real Estate Investment Trust (TSX: NWH.UN) (Northwest) is an unincorporated, open-ended real estate investment trust established under the laws of the Province of Ontario. As at June 30, 2023, the REIT provides investors with access to a portfolio of high-quality international healthcare real estate infrastructure comprised of interests in a diversified portfolio of 231 income-producing properties and 18.5 million square feet of gross leasable area located throughout major markets in the Americas, Europe and Australasia. The REIT's portfolio of medical office buildings, clinics, and hospitals is characterized by long-term indexed leases and stable occupancies. With a fully integrated and aligned senior management team, the REIT leverages over 300 professionals in 11 offices in eight countries to serve as a long-term real estate partner to leading healthcare operators.","{'maxAge': 1, 'name': 'Mr. Gerson  Amado', 'title': 'Managing Director of Brazil', 'exercisedValue': 0, 'unexercisedValue': 0}",9,6,9,6,8,1693526400,1672444800,86400,2,6.96,6.97,6.85,7.03,6.96,6.97,6.85,7.03,0.8,0.1149,1693353600,7.24,0.845016,7.445652,4215551,4215551,1118927,1043780,1043780,6.86,6.87,0,0,1676092160,6.06,12.08,3.4590695,6.7684,8.26925,0.8,0.11494253,CAD,6695792640,-0.47812998,220849441,242975008,9573999,7690985,1690761600,1693440000,0.0394,0.0025799999,0.23981,9.19,9.22,0.7429501,1672444800,1703980800,1688083200,-231679008,-0.93,0.92,13.819,20.247,TOR,EQUITY,NWH-UN.TO,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT,NorthWest Healthcare Properties Real Estate Investment Trust,1271943000,America/Toronto,EDT,-14400000,6.85,10.5,6.5,8.29,8.0,2.7,hold,7,126032000,0.519,330708992,4016442880,0.157,0.396,484550016,118.79,1.994,0.02545,-0.08923,1270815488,174759008,-0.285,0.7565,0.68251,0.67994004,CAD,
6,180 Dundas Street West,Suite 1100,Toronto,ON,M5G 1Z8,Canada,416 366 2000,416 366 2433,https://www.nwhreit.com,REIT—Healthcare Facilities,Real Estate,"Northwest Healthcare Properties Real Estate Investment Trust (TSX: NWH.UN) (Northwest) is an unincorporated, open-ended real estate investment trust established under the laws of the Province of Ontario. As at June 30, 2023, the REIT provides investors with access to a portfolio of high-quality international healthcare real estate infrastructure comprised of interests in a diversified portfolio of 231 income-producing properties and 18.5 million square feet of gross leasable area located throughout major markets in the Americas, Europe and Australasia. The REIT's portfolio of medical office buildings, clinics, and hospitals is characterized by long-term indexed leases and stable occupancies. With a fully integrated and aligned senior management team, the REIT leverages over 300 professionals in 11 offices in eight countries to serve as a long-term real estate partner to leading healthcare operators.","{'maxAge': 1, 'name': 'Mr. Dave  Casimiro', 'title': 'Managing Director of Canada', 'exercisedValue': 0, 'unexercisedValue': 0}",9,6,9,6,8,1693526400,1672444800,86400,2,6.96,6.97,6.85,7.03,6.96,6.97,6.85,7.03,0.8,0.1149,1693353600,7.24,0.845016,7.445652,4215551,4215551,1118927,1043780,1043780,6.86,6.87,0,0,1676092160,6.06,12.08,3.4590695,6.7684,8.26925,0.8,0.11494253,CAD,6695792640,-0.47812998,220849441,242975008,9573999,7690985,1690761600,1693440000,0.0394,0.0025799999,0.23981,9.19,9.22,0.7429501,1672444800,1703980800,1688083200,-231679008,-0.93,0.92,13.819,20.247,TOR,EQUITY,NWH-UN.TO,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT,NorthWest Healthcare Properties Real Estate Investment Trust,1271943000,America/Toronto,EDT,-14400000,6.85,10.5,6.5,8.29,8.0,2.7,hold,7,126032000,0.519,330708992,4016442880,0.157,0.396,484550016,118.79,1.994,0.02545,-0.08923,1270815488,174759008,-0.285,0.7565,0.68251,0.67994004,CAD,
7,180 Dundas Street West,Suite 1100,Toronto,ON,M5G 1Z8,Canada,416 366 2000,416 366 2433,https://www.nwhreit.com,REIT—Healthcare Facilities,Real Estate,"Northwest Healthcare Properties Real Estate Investment Trust (TSX: NWH.UN) (Northwest) is an unincorporated, open-ended real estate investment trust established under the laws of the Province of Ontario. As at June 30, 2023, the REIT provides investors with access to a portfolio of high-quality international healthcare real estate infrastructure comprised of interests in a diversified portfolio of 231 income-producing properties and 18.5 million square feet of gross leasable area located throughout major markets in the Americas, Europe and Australasia. The REIT's portfolio of medical office buildings, clinics, and hospitals is characterized by long-term indexed leases and stable occupancies. With a fully integrated and aligned senior management team, the REIT leverages over 300 professionals in 11 offices in eight countries to serve as a long-term real estate partner to leading healthcare operators.","{'maxAge': 1, 'name': 'Mr. Timothy  Blackwell', 'title': 'Exec. VP of Funds Management', 'exercisedValue': 0, 'unexercisedValue': 0}",9,6,9,6,8,1693526400,1672444800,86400,2,6.96,6.97,6.85,7.03,6.96,6.97,6.85,7.03,0.8,0.1149,1693353600,7.24,0.845016,7.445652,4215551,4215551,1118927,1043780,1043780,6.86,6.87,0,0,1676092160,6.06,12.08,3.4590695,6.7684,8.26925,0.8,0.11494253,CAD,6695792640,-0.47812998,220849441,242975008,9573999,7690985,1690761600,1693440000,0.0394,0.0025799999,0.23981,9.19,9.22,0.7429501,1672444800,1703980800,1688083200,-231679008,-0.93,0.92,13.819,20.247,TOR,EQUITY,NWH-UN.TO,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT,NorthWest Healthcare Properties Real Estate Investment Trust,1271943000,America/Toronto,EDT,-14400000,6.85,10.5,6.5,8.29,8.0,2.7,hold,7,126032000,0.519,330708992,4016442880,0.157,0.396,484550016,118.79,1.994,0.02545,-0.08923,1270815488,174759008,-0.285,0.7565,0.68251,0.67994004,CAD,
8,180 Dundas Street West,Suite 1100,Toronto,ON,M5G 1Z8,Canada,416 366 2000,416 366 2433,https://www.nwhreit.com,REIT—Healthcare Facilities,Real Estate,"Northwest Healthcare Properties Real Estate Investment Trust (TSX: NWH.UN) (Northwest) is an unincorporated, open-ended real estate investment trust established under the laws of the Province of Ontario. As at June 30, 2023, the REIT provides investors with access to a portfolio of high-quality international healthcare real estate infrastructure comprised of interests in a diversified portfolio of 231 income-producing properties and 18.5 million square feet of gross leasable area located throughout major markets in the Americas, Europe and Australasia. The REIT's portfolio of medical office buildings, clinics, and hospitals is characterized by long-term indexed leases and stable occupancies. With a fully integrated and aligned senior management team, the REIT leverages over 300 professionals in 11 offices in eight countries to serve as a long-term real estate partner to leading healthcare operators.","{'maxAge': 1, 'name': 'Ms. Alex  Belcastro', 'age': 34, 'title': 'Sr. VP of Medical Precincts', 'yearBorn': 1988, 'exercisedValue': 0, 'unexercisedValue': 0}",9,6,9,6,8,1693526400,1672444800,86400,2,6.96,6.97,6.85,7.03,6.96,6.97,6.85,7.03,0.8,0.1149,1693353600,7.24,0.845016,7.445652,4215551,4215551,1118927,1043780,1043780,6.86,6.87,0,0,1676092160,6.06,12.08,3.4590695,6.7684,8.26925,0.8,0.11494253,CAD,6695792640,-0.47812998,220849441,242975008,9573999,7690985,1690761600,1693440000,0.0394,0.0025799999,0.23981,9.19,9.22,0.7429501,1672444800,1703980800,1688083200,-231679008,-0.93,0.92,13.819,20.247,TOR,EQUITY,NWH-UN.TO,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT,NorthWest Healthcare Properties Real Estate Investment Trust,1271943000,America/Toronto,EDT,-14400000,6.85,10.5,6.5,8.29,8.0,2.7,hold,7,126032000,0.519,330708992,4016442880,0.157,0.396,484550016,118.79,1.994,0.02545,-0.08923,1270815488,174759008,-0.285,0.7565,0.68251,0.67994004,CAD,
9,180 Dundas Street West,Suite 1100,Toronto,ON,M5G 1Z8,Canada,416 366 2000,416 366 2433,https://www.nwhreit.com,REIT—Healthcare Facilities,Real Estate,"Northwest Healthcare Properties Real Estate Investment Trust (TSX: NWH.UN) (Northwest) is an unincorporated, open-ended real estate investment trust established under the laws of the Province of Ontario. As at June 30, 2023, the REIT provides investors with access to a portfolio of high-quality international healthcare real estate infrastructure comprised of interests in a diversified portfolio of 231 income-producing properties and 18.5 million square feet of gross leasable area located throughout major markets in the Americas, Europe and Australasia. The REIT's portfolio of medical office buildings, clinics, and hospitals is characterized by long-term indexed leases and stable occupancies. With a fully integrated and aligned senior management team, the REIT leverages over 300 professionals in 11 offices in eight countries to serve as a long-term real estate partner to leading healthcare operators.","{'maxAge': 1, 'name': 'Mr. Michael  Groth B.Com., B.Sc., BCom, BSc, C.A., CA, DipIFR', 'age': 48, 'title': 'Chief Financial Officer of ANZ', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",9,6,9,6,8,1693526400,1672444800,86400,2,6.96,6.97,6.85,7.03,6.96,6.97,6.85,7.03,0.8,0.1149,1693353600,7.24,0.845016,7.445652,4215551,4215551,1118927,1043780,1043780,6.86,6.87,0,0,1676092160,6.06,12.08,3.4590695,6.7684,8.26925,0.8,0.11494253,CAD,6695792640,-0.47812998,220849441,242975008,9573999,7690985,1690761600,1693440000,0.0394,0.0025799999,0.23981,9.19,9.22,0.7429501,1672444800,1703980800,1688083200,-231679008,-0.93,0.92,13.819,20.247,TOR,EQUITY,NWH-UN.TO,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT,NorthWest Healthcare Properties Real Estate Investment Trust,1271943000,America/Toronto,EDT,-14400000,6.85,10.5,6.5,8.29,8.0,2.7,hold,7,126032000,0.519,330708992,4016442880,0.157,0.396,484550016,118.79,1.994,0.02545,-0.08923,1270815488,174759008,-0.285,0.7565,0.68251,0.67994004,CAD,
