,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Building C,Suite 310 345 Inverness Drive South,Englewood,CO,80112,United States,303 858 8358,https://gevo.com,Specialty Chemicals,Basic Materials,"Gevo, Inc. operates as a renewable fuels company. It operates through three segments: Gevo, Agri-Energy, and Renewable Natural Gas. The company offers renewable gasoline and diesel, isooctane, isobutanol, sustainable aviation fuel, renewable natural gas, isobutylene, ethanol, and animal feed and protein. The company was formerly known as Methanotech, Inc. and changed its name to Gevo, Inc. in March 2006. Gevo, Inc. was incorporated in 2005 and is headquartered in Englewood, Colorado.",87,"{'maxAge': 1, 'name': 'Dr. Patrick R. Gruber M.B.A., MBA, Ph.D.', 'age': 61, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 926155, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,8,7,1693526400,1672444800,86400,4,1.41,1.41,1.37,1.4242,1.41,1.41,1.37,1.4242,0.0,3.115145,-5.0,7856568,7856568,3914385,3856540,3856540,1.39,1.4,46000,3000,332364192,1.01,2.63,36.316017,1.5244,1.6101,0.0,0.0,USD,49051112,0.0,223093022,237403008,36253058,38430858,1690761600,1693440000,0.1527,0.02934,0.45686,10.41,0.2018,2.512,0.5573248,1672444800,1703980800,1688083200,-101211000,-0.44,-0.28,-0.23,1:20,1528070400,5.36,-0.692,NCM,EQUITY,GEVO,GEVO,"Gevo, Inc.","Gevo, Inc.",1297261800,America/New_York,EDT,-14400000,1.4,14.0,1.5,4.48,2.0,2.4,buy,5,347649984,1.5,-70840000,69813000,3.908,4.785,9152000,11.973,0.039,-0.07344,-0.16233999,-22183000,-145634256,-64791000,46.618,-2.20323,0.0,-9.30288,USD,
1,Building C,Suite 310 345 Inverness Drive South,Englewood,CO,80112,United States,303 858 8358,https://gevo.com,Specialty Chemicals,Basic Materials,"Gevo, Inc. operates as a renewable fuels company. It operates through three segments: Gevo, Agri-Energy, and Renewable Natural Gas. The company offers renewable gasoline and diesel, isooctane, isobutanol, sustainable aviation fuel, renewable natural gas, isobutylene, ethanol, and animal feed and protein. The company was formerly known as Methanotech, Inc. and changed its name to Gevo, Inc. in March 2006. Gevo, Inc. was incorporated in 2005 and is headquartered in Englewood, Colorado.",87,"{'maxAge': 1, 'name': 'Dr. Christopher M. Ryan', 'age': 61, 'title': 'Pres & COO', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 570625, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,8,7,1693526400,1672444800,86400,4,1.41,1.41,1.37,1.4242,1.41,1.41,1.37,1.4242,0.0,3.115145,-5.0,7856568,7856568,3914385,3856540,3856540,1.39,1.4,46000,3000,332364192,1.01,2.63,36.316017,1.5244,1.6101,0.0,0.0,USD,49051112,0.0,223093022,237403008,36253058,38430858,1690761600,1693440000,0.1527,0.02934,0.45686,10.41,0.2018,2.512,0.5573248,1672444800,1703980800,1688083200,-101211000,-0.44,-0.28,-0.23,1:20,1528070400,5.36,-0.692,NCM,EQUITY,GEVO,GEVO,"Gevo, Inc.","Gevo, Inc.",1297261800,America/New_York,EDT,-14400000,1.4,14.0,1.5,4.48,2.0,2.4,buy,5,347649984,1.5,-70840000,69813000,3.908,4.785,9152000,11.973,0.039,-0.07344,-0.16233999,-22183000,-145634256,-64791000,46.618,-2.20323,0.0,-9.30288,USD,
2,Building C,Suite 310 345 Inverness Drive South,Englewood,CO,80112,United States,303 858 8358,https://gevo.com,Specialty Chemicals,Basic Materials,"Gevo, Inc. operates as a renewable fuels company. It operates through three segments: Gevo, Agri-Energy, and Renewable Natural Gas. The company offers renewable gasoline and diesel, isooctane, isobutanol, sustainable aviation fuel, renewable natural gas, isobutylene, ethanol, and animal feed and protein. The company was formerly known as Methanotech, Inc. and changed its name to Gevo, Inc. in March 2006. Gevo, Inc. was incorporated in 2005 and is headquartered in Englewood, Colorado.",87,"{'maxAge': 1, 'name': 'Mr. L. Lynn Smull', 'age': 61, 'title': 'Chief Financial Officer', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 477000, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,8,7,1693526400,1672444800,86400,4,1.41,1.41,1.37,1.4242,1.41,1.41,1.37,1.4242,0.0,3.115145,-5.0,7856568,7856568,3914385,3856540,3856540,1.39,1.4,46000,3000,332364192,1.01,2.63,36.316017,1.5244,1.6101,0.0,0.0,USD,49051112,0.0,223093022,237403008,36253058,38430858,1690761600,1693440000,0.1527,0.02934,0.45686,10.41,0.2018,2.512,0.5573248,1672444800,1703980800,1688083200,-101211000,-0.44,-0.28,-0.23,1:20,1528070400,5.36,-0.692,NCM,EQUITY,GEVO,GEVO,"Gevo, Inc.","Gevo, Inc.",1297261800,America/New_York,EDT,-14400000,1.4,14.0,1.5,4.48,2.0,2.4,buy,5,347649984,1.5,-70840000,69813000,3.908,4.785,9152000,11.973,0.039,-0.07344,-0.16233999,-22183000,-145634256,-64791000,46.618,-2.20323,0.0,-9.30288,USD,
3,Building C,Suite 310 345 Inverness Drive South,Englewood,CO,80112,United States,303 858 8358,https://gevo.com,Specialty Chemicals,Basic Materials,"Gevo, Inc. operates as a renewable fuels company. It operates through three segments: Gevo, Agri-Energy, and Renewable Natural Gas. The company offers renewable gasoline and diesel, isooctane, isobutanol, sustainable aviation fuel, renewable natural gas, isobutylene, ethanol, and animal feed and protein. The company was formerly known as Methanotech, Inc. and changed its name to Gevo, Inc. in March 2006. Gevo, Inc. was incorporated in 2005 and is headquartered in Englewood, Colorado.",87,"{'maxAge': 1, 'name': 'Mr. Timothy J. Cesarek', 'age': 58, 'title': 'Chief Commercial Officer', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 477000, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,8,7,1693526400,1672444800,86400,4,1.41,1.41,1.37,1.4242,1.41,1.41,1.37,1.4242,0.0,3.115145,-5.0,7856568,7856568,3914385,3856540,3856540,1.39,1.4,46000,3000,332364192,1.01,2.63,36.316017,1.5244,1.6101,0.0,0.0,USD,49051112,0.0,223093022,237403008,36253058,38430858,1690761600,1693440000,0.1527,0.02934,0.45686,10.41,0.2018,2.512,0.5573248,1672444800,1703980800,1688083200,-101211000,-0.44,-0.28,-0.23,1:20,1528070400,5.36,-0.692,NCM,EQUITY,GEVO,GEVO,"Gevo, Inc.","Gevo, Inc.",1297261800,America/New_York,EDT,-14400000,1.4,14.0,1.5,4.48,2.0,2.4,buy,5,347649984,1.5,-70840000,69813000,3.908,4.785,9152000,11.973,0.039,-0.07344,-0.16233999,-22183000,-145634256,-64791000,46.618,-2.20323,0.0,-9.30288,USD,
4,Building C,Suite 310 345 Inverness Drive South,Englewood,CO,80112,United States,303 858 8358,https://gevo.com,Specialty Chemicals,Basic Materials,"Gevo, Inc. operates as a renewable fuels company. It operates through three segments: Gevo, Agri-Energy, and Renewable Natural Gas. The company offers renewable gasoline and diesel, isooctane, isobutanol, sustainable aviation fuel, renewable natural gas, isobutylene, ethanol, and animal feed and protein. The company was formerly known as Methanotech, Inc. and changed its name to Gevo, Inc. in March 2006. Gevo, Inc. was incorporated in 2005 and is headquartered in Englewood, Colorado.",87,"{'maxAge': 1, 'name': 'Dr. Paul D. Bloom', 'age': 48, 'title': 'Chief Carbon Officer & Chief Innovation Officer', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 432000, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,8,7,1693526400,1672444800,86400,4,1.41,1.41,1.37,1.4242,1.41,1.41,1.37,1.4242,0.0,3.115145,-5.0,7856568,7856568,3914385,3856540,3856540,1.39,1.4,46000,3000,332364192,1.01,2.63,36.316017,1.5244,1.6101,0.0,0.0,USD,49051112,0.0,223093022,237403008,36253058,38430858,1690761600,1693440000,0.1527,0.02934,0.45686,10.41,0.2018,2.512,0.5573248,1672444800,1703980800,1688083200,-101211000,-0.44,-0.28,-0.23,1:20,1528070400,5.36,-0.692,NCM,EQUITY,GEVO,GEVO,"Gevo, Inc.","Gevo, Inc.",1297261800,America/New_York,EDT,-14400000,1.4,14.0,1.5,4.48,2.0,2.4,buy,5,347649984,1.5,-70840000,69813000,3.908,4.785,9152000,11.973,0.039,-0.07344,-0.16233999,-22183000,-145634256,-64791000,46.618,-2.20323,0.0,-9.30288,USD,
5,Building C,Suite 310 345 Inverness Drive South,Englewood,CO,80112,United States,303 858 8358,https://gevo.com,Specialty Chemicals,Basic Materials,"Gevo, Inc. operates as a renewable fuels company. It operates through three segments: Gevo, Agri-Energy, and Renewable Natural Gas. The company offers renewable gasoline and diesel, isooctane, isobutanol, sustainable aviation fuel, renewable natural gas, isobutylene, ethanol, and animal feed and protein. The company was formerly known as Methanotech, Inc. and changed its name to Gevo, Inc. in March 2006. Gevo, Inc. was incorporated in 2005 and is headquartered in Englewood, Colorado.",87,"{'maxAge': 1, 'name': 'Prof. James C. Liao Ph.D.', 'title': 'Co-Founder', 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,8,7,1693526400,1672444800,86400,4,1.41,1.41,1.37,1.4242,1.41,1.41,1.37,1.4242,0.0,3.115145,-5.0,7856568,7856568,3914385,3856540,3856540,1.39,1.4,46000,3000,332364192,1.01,2.63,36.316017,1.5244,1.6101,0.0,0.0,USD,49051112,0.0,223093022,237403008,36253058,38430858,1690761600,1693440000,0.1527,0.02934,0.45686,10.41,0.2018,2.512,0.5573248,1672444800,1703980800,1688083200,-101211000,-0.44,-0.28,-0.23,1:20,1528070400,5.36,-0.692,NCM,EQUITY,GEVO,GEVO,"Gevo, Inc.","Gevo, Inc.",1297261800,America/New_York,EDT,-14400000,1.4,14.0,1.5,4.48,2.0,2.4,buy,5,347649984,1.5,-70840000,69813000,3.908,4.785,9152000,11.973,0.039,-0.07344,-0.16233999,-22183000,-145634256,-64791000,46.618,-2.20323,0.0,-9.30288,USD,
6,Building C,Suite 310 345 Inverness Drive South,Englewood,CO,80112,United States,303 858 8358,https://gevo.com,Specialty Chemicals,Basic Materials,"Gevo, Inc. operates as a renewable fuels company. It operates through three segments: Gevo, Agri-Energy, and Renewable Natural Gas. The company offers renewable gasoline and diesel, isooctane, isobutanol, sustainable aviation fuel, renewable natural gas, isobutylene, ethanol, and animal feed and protein. The company was formerly known as Methanotech, Inc. and changed its name to Gevo, Inc. in March 2006. Gevo, Inc. was incorporated in 2005 and is headquartered in Englewood, Colorado.",87,"{'maxAge': 1, 'name': 'Mr. Alisher  Nurmat CPA', 'age': 52, 'title': 'Principal Accounting Officer, VP & Controller', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,8,7,1693526400,1672444800,86400,4,1.41,1.41,1.37,1.4242,1.41,1.41,1.37,1.4242,0.0,3.115145,-5.0,7856568,7856568,3914385,3856540,3856540,1.39,1.4,46000,3000,332364192,1.01,2.63,36.316017,1.5244,1.6101,0.0,0.0,USD,49051112,0.0,223093022,237403008,36253058,38430858,1690761600,1693440000,0.1527,0.02934,0.45686,10.41,0.2018,2.512,0.5573248,1672444800,1703980800,1688083200,-101211000,-0.44,-0.28,-0.23,1:20,1528070400,5.36,-0.692,NCM,EQUITY,GEVO,GEVO,"Gevo, Inc.","Gevo, Inc.",1297261800,America/New_York,EDT,-14400000,1.4,14.0,1.5,4.48,2.0,2.4,buy,5,347649984,1.5,-70840000,69813000,3.908,4.785,9152000,11.973,0.039,-0.07344,-0.16233999,-22183000,-145634256,-64791000,46.618,-2.20323,0.0,-9.30288,USD,
7,Building C,Suite 310 345 Inverness Drive South,Englewood,CO,80112,United States,303 858 8358,https://gevo.com,Specialty Chemicals,Basic Materials,"Gevo, Inc. operates as a renewable fuels company. It operates through three segments: Gevo, Agri-Energy, and Renewable Natural Gas. The company offers renewable gasoline and diesel, isooctane, isobutanol, sustainable aviation fuel, renewable natural gas, isobutylene, ethanol, and animal feed and protein. The company was formerly known as Methanotech, Inc. and changed its name to Gevo, Inc. in March 2006. Gevo, Inc. was incorporated in 2005 and is headquartered in Englewood, Colorado.",87,"{'maxAge': 1, 'name': 'Ms. Heather L. Manuel', 'title': 'VP of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,8,7,1693526400,1672444800,86400,4,1.41,1.41,1.37,1.4242,1.41,1.41,1.37,1.4242,0.0,3.115145,-5.0,7856568,7856568,3914385,3856540,3856540,1.39,1.4,46000,3000,332364192,1.01,2.63,36.316017,1.5244,1.6101,0.0,0.0,USD,49051112,0.0,223093022,237403008,36253058,38430858,1690761600,1693440000,0.1527,0.02934,0.45686,10.41,0.2018,2.512,0.5573248,1672444800,1703980800,1688083200,-101211000,-0.44,-0.28,-0.23,1:20,1528070400,5.36,-0.692,NCM,EQUITY,GEVO,GEVO,"Gevo, Inc.","Gevo, Inc.",1297261800,America/New_York,EDT,-14400000,1.4,14.0,1.5,4.48,2.0,2.4,buy,5,347649984,1.5,-70840000,69813000,3.908,4.785,9152000,11.973,0.039,-0.07344,-0.16233999,-22183000,-145634256,-64791000,46.618,-2.20323,0.0,-9.30288,USD,
8,Building C,Suite 310 345 Inverness Drive South,Englewood,CO,80112,United States,303 858 8358,https://gevo.com,Specialty Chemicals,Basic Materials,"Gevo, Inc. operates as a renewable fuels company. It operates through three segments: Gevo, Agri-Energy, and Renewable Natural Gas. The company offers renewable gasoline and diesel, isooctane, isobutanol, sustainable aviation fuel, renewable natural gas, isobutylene, ethanol, and animal feed and protein. The company was formerly known as Methanotech, Inc. and changed its name to Gevo, Inc. in March 2006. Gevo, Inc. was incorporated in 2005 and is headquartered in Englewood, Colorado.",87,"{'maxAge': 1, 'name': 'Ms. Kimberly T. Bowron SPHR', 'age': 52, 'title': 'Chief People Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,8,7,1693526400,1672444800,86400,4,1.41,1.41,1.37,1.4242,1.41,1.41,1.37,1.4242,0.0,3.115145,-5.0,7856568,7856568,3914385,3856540,3856540,1.39,1.4,46000,3000,332364192,1.01,2.63,36.316017,1.5244,1.6101,0.0,0.0,USD,49051112,0.0,223093022,237403008,36253058,38430858,1690761600,1693440000,0.1527,0.02934,0.45686,10.41,0.2018,2.512,0.5573248,1672444800,1703980800,1688083200,-101211000,-0.44,-0.28,-0.23,1:20,1528070400,5.36,-0.692,NCM,EQUITY,GEVO,GEVO,"Gevo, Inc.","Gevo, Inc.",1297261800,America/New_York,EDT,-14400000,1.4,14.0,1.5,4.48,2.0,2.4,buy,5,347649984,1.5,-70840000,69813000,3.908,4.785,9152000,11.973,0.039,-0.07344,-0.16233999,-22183000,-145634256,-64791000,46.618,-2.20323,0.0,-9.30288,USD,
9,Building C,Suite 310 345 Inverness Drive South,Englewood,CO,80112,United States,303 858 8358,https://gevo.com,Specialty Chemicals,Basic Materials,"Gevo, Inc. operates as a renewable fuels company. It operates through three segments: Gevo, Agri-Energy, and Renewable Natural Gas. The company offers renewable gasoline and diesel, isooctane, isobutanol, sustainable aviation fuel, renewable natural gas, isobutylene, ethanol, and animal feed and protein. The company was formerly known as Methanotech, Inc. and changed its name to Gevo, Inc. in March 2006. Gevo, Inc. was incorporated in 2005 and is headquartered in Englewood, Colorado.",87,"{'maxAge': 1, 'name': 'Mr. David A. George', 'title': 'Sr. VP of Verity Tracking', 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,8,7,1693526400,1672444800,86400,4,1.41,1.41,1.37,1.4242,1.41,1.41,1.37,1.4242,0.0,3.115145,-5.0,7856568,7856568,3914385,3856540,3856540,1.39,1.4,46000,3000,332364192,1.01,2.63,36.316017,1.5244,1.6101,0.0,0.0,USD,49051112,0.0,223093022,237403008,36253058,38430858,1690761600,1693440000,0.1527,0.02934,0.45686,10.41,0.2018,2.512,0.5573248,1672444800,1703980800,1688083200,-101211000,-0.44,-0.28,-0.23,1:20,1528070400,5.36,-0.692,NCM,EQUITY,GEVO,GEVO,"Gevo, Inc.","Gevo, Inc.",1297261800,America/New_York,EDT,-14400000,1.4,14.0,1.5,4.48,2.0,2.4,buy,5,347649984,1.5,-70840000,69813000,3.908,4.785,9152000,11.973,0.039,-0.07344,-0.16233999,-22183000,-145634256,-64791000,46.618,-2.20323,0.0,-9.30288,USD,
