,address1,address2,city,state,zip,country,phone,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
0,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021,United States,516 466 3100,Real Estate—Diversified,Real Estate,"Gould Investors L.P. owns and operates a portfolio of real estate assets in the United States. Its real estate assets include office and professional buildings, apartment buildings, shopping centers, mixed-use properties, cooperative and condominium apartments, industrial facilities, and single tenant retail properties. The company has investments in publicly traded and private entities in related fields. It also provides various services that include locating and evaluating potential acquisitions, market area analyses and feasibility studies, renovation, leasing and/or repositioning of commercial and residential properties, property management, property and apartment sales, and formulating acquisition and disposition strategies. Gould Investors L.P. was incorporated in 1985 and is based in Great Neck, New York. The company has properties in Connecticut, District of Columbia, Florida, Iowa, Maryland, Massachusetts, New York, North Carolina, Pennsylvania, and Texas.","{'maxAge': 1, 'name': 'Mr. Matthew J. Gould J.D.', 'age': 62, 'title': 'Chairman & CEO of Georgetown Partners Inc.', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,9.0,0.0207,1692230400,25,25,2,2,2,459360000,300.0,435.0,435.0,393.0853,0.0,0.0,USD,0.0,1056000,0.0,0.0,PNK,EQUITY,GDVTZ,GDVTZ,GOULD INVESTORS L P,"Gould Investors, L.P.",1260369000,America/New_York,EDT,-14400000,435.0,none,0.0,0.0,0.0,
1,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021,United States,516 466 3100,Real Estate—Diversified,Real Estate,"Gould Investors L.P. owns and operates a portfolio of real estate assets in the United States. Its real estate assets include office and professional buildings, apartment buildings, shopping centers, mixed-use properties, cooperative and condominium apartments, industrial facilities, and single tenant retail properties. The company has investments in publicly traded and private entities in related fields. It also provides various services that include locating and evaluating potential acquisitions, market area analyses and feasibility studies, renovation, leasing and/or repositioning of commercial and residential properties, property management, property and apartment sales, and formulating acquisition and disposition strategies. Gould Investors L.P. was incorporated in 1985 and is based in Great Neck, New York. The company has properties in Connecticut, District of Columbia, Florida, Iowa, Maryland, Massachusetts, New York, North Carolina, Pennsylvania, and Texas.","{'maxAge': 1, 'name': 'Mr. Mark H. Lundy J.D.', 'age': 60, 'title': 'Pres & COO  of Georgetown Partners Inc.', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,9.0,0.0207,1692230400,25,25,2,2,2,459360000,300.0,435.0,435.0,393.0853,0.0,0.0,USD,0.0,1056000,0.0,0.0,PNK,EQUITY,GDVTZ,GDVTZ,GOULD INVESTORS L P,"Gould Investors, L.P.",1260369000,America/New_York,EDT,-14400000,435.0,none,0.0,0.0,0.0,
2,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021,United States,516 466 3100,Real Estate—Diversified,Real Estate,"Gould Investors L.P. owns and operates a portfolio of real estate assets in the United States. Its real estate assets include office and professional buildings, apartment buildings, shopping centers, mixed-use properties, cooperative and condominium apartments, industrial facilities, and single tenant retail properties. The company has investments in publicly traded and private entities in related fields. It also provides various services that include locating and evaluating potential acquisitions, market area analyses and feasibility studies, renovation, leasing and/or repositioning of commercial and residential properties, property management, property and apartment sales, and formulating acquisition and disposition strategies. Gould Investors L.P. was incorporated in 1985 and is based in Great Neck, New York. The company has properties in Connecticut, District of Columbia, Florida, Iowa, Maryland, Massachusetts, New York, North Carolina, Pennsylvania, and Texas.","{'maxAge': 1, 'name': 'Mr. Fredric H. Gould', 'age': 86, 'title': 'Founder & Chairman Emeritus of Georgetown Partners Inc', 'yearBorn': 1936, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,9.0,0.0207,1692230400,25,25,2,2,2,459360000,300.0,435.0,435.0,393.0853,0.0,0.0,USD,0.0,1056000,0.0,0.0,PNK,EQUITY,GDVTZ,GDVTZ,GOULD INVESTORS L P,"Gould Investors, L.P.",1260369000,America/New_York,EDT,-14400000,435.0,none,0.0,0.0,0.0,
3,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021,United States,516 466 3100,Real Estate—Diversified,Real Estate,"Gould Investors L.P. owns and operates a portfolio of real estate assets in the United States. Its real estate assets include office and professional buildings, apartment buildings, shopping centers, mixed-use properties, cooperative and condominium apartments, industrial facilities, and single tenant retail properties. The company has investments in publicly traded and private entities in related fields. It also provides various services that include locating and evaluating potential acquisitions, market area analyses and feasibility studies, renovation, leasing and/or repositioning of commercial and residential properties, property management, property and apartment sales, and formulating acquisition and disposition strategies. Gould Investors L.P. was incorporated in 1985 and is based in Great Neck, New York. The company has properties in Connecticut, District of Columbia, Florida, Iowa, Maryland, Massachusetts, New York, North Carolina, Pennsylvania, and Texas.","{'maxAge': 1, 'name': 'Mr. David W. Kalish', 'age': 75, 'title': 'CFO  & Sr. VP of Georgetown Partners Inc.', 'yearBorn': 1947, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,9.0,0.0207,1692230400,25,25,2,2,2,459360000,300.0,435.0,435.0,393.0853,0.0,0.0,USD,0.0,1056000,0.0,0.0,PNK,EQUITY,GDVTZ,GDVTZ,GOULD INVESTORS L P,"Gould Investors, L.P.",1260369000,America/New_York,EDT,-14400000,435.0,none,0.0,0.0,0.0,
4,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021,United States,516 466 3100,Real Estate—Diversified,Real Estate,"Gould Investors L.P. owns and operates a portfolio of real estate assets in the United States. Its real estate assets include office and professional buildings, apartment buildings, shopping centers, mixed-use properties, cooperative and condominium apartments, industrial facilities, and single tenant retail properties. The company has investments in publicly traded and private entities in related fields. It also provides various services that include locating and evaluating potential acquisitions, market area analyses and feasibility studies, renovation, leasing and/or repositioning of commercial and residential properties, property management, property and apartment sales, and formulating acquisition and disposition strategies. Gould Investors L.P. was incorporated in 1985 and is based in Great Neck, New York. The company has properties in Connecticut, District of Columbia, Florida, Iowa, Maryland, Massachusetts, New York, North Carolina, Pennsylvania, and Texas.","{'maxAge': 1, 'name': 'Mr. Jeffrey Alan Gould', 'age': 56, 'title': 'Sr. VP & Director of Georgetown Partners Inc.', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,9.0,0.0207,1692230400,25,25,2,2,2,459360000,300.0,435.0,435.0,393.0853,0.0,0.0,USD,0.0,1056000,0.0,0.0,PNK,EQUITY,GDVTZ,GDVTZ,GOULD INVESTORS L P,"Gould Investors, L.P.",1260369000,America/New_York,EDT,-14400000,435.0,none,0.0,0.0,0.0,
5,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021,United States,516 466 3100,Real Estate—Diversified,Real Estate,"Gould Investors L.P. owns and operates a portfolio of real estate assets in the United States. Its real estate assets include office and professional buildings, apartment buildings, shopping centers, mixed-use properties, cooperative and condominium apartments, industrial facilities, and single tenant retail properties. The company has investments in publicly traded and private entities in related fields. It also provides various services that include locating and evaluating potential acquisitions, market area analyses and feasibility studies, renovation, leasing and/or repositioning of commercial and residential properties, property management, property and apartment sales, and formulating acquisition and disposition strategies. Gould Investors L.P. was incorporated in 1985 and is based in Great Neck, New York. The company has properties in Connecticut, District of Columbia, Florida, Iowa, Maryland, Massachusetts, New York, North Carolina, Pennsylvania, and Texas.","{'maxAge': 1, 'name': 'Mr. Simeon  Brinberg', 'age': 88, 'title': 'Sr. VP of Georgetown Partners Inc', 'yearBorn': 1934, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,9.0,0.0207,1692230400,25,25,2,2,2,459360000,300.0,435.0,435.0,393.0853,0.0,0.0,USD,0.0,1056000,0.0,0.0,PNK,EQUITY,GDVTZ,GDVTZ,GOULD INVESTORS L P,"Gould Investors, L.P.",1260369000,America/New_York,EDT,-14400000,435.0,none,0.0,0.0,0.0,
6,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021,United States,516 466 3100,Real Estate—Diversified,Real Estate,"Gould Investors L.P. owns and operates a portfolio of real estate assets in the United States. Its real estate assets include office and professional buildings, apartment buildings, shopping centers, mixed-use properties, cooperative and condominium apartments, industrial facilities, and single tenant retail properties. The company has investments in publicly traded and private entities in related fields. It also provides various services that include locating and evaluating potential acquisitions, market area analyses and feasibility studies, renovation, leasing and/or repositioning of commercial and residential properties, property management, property and apartment sales, and formulating acquisition and disposition strategies. Gould Investors L.P. was incorporated in 1985 and is based in Great Neck, New York. The company has properties in Connecticut, District of Columbia, Florida, Iowa, Maryland, Massachusetts, New York, North Carolina, Pennsylvania, and Texas.","{'maxAge': 1, 'name': 'William A. Bouton', 'title': 'Sr. VP of Majestic Property Management Corp', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,9.0,0.0207,1692230400,25,25,2,2,2,459360000,300.0,435.0,435.0,393.0853,0.0,0.0,USD,0.0,1056000,0.0,0.0,PNK,EQUITY,GDVTZ,GDVTZ,GOULD INVESTORS L P,"Gould Investors, L.P.",1260369000,America/New_York,EDT,-14400000,435.0,none,0.0,0.0,0.0,
7,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021,United States,516 466 3100,Real Estate—Diversified,Real Estate,"Gould Investors L.P. owns and operates a portfolio of real estate assets in the United States. Its real estate assets include office and professional buildings, apartment buildings, shopping centers, mixed-use properties, cooperative and condominium apartments, industrial facilities, and single tenant retail properties. The company has investments in publicly traded and private entities in related fields. It also provides various services that include locating and evaluating potential acquisitions, market area analyses and feasibility studies, renovation, leasing and/or repositioning of commercial and residential properties, property management, property and apartment sales, and formulating acquisition and disposition strategies. Gould Investors L.P. was incorporated in 1985 and is based in Great Neck, New York. The company has properties in Connecticut, District of Columbia, Florida, Iowa, Maryland, Massachusetts, New York, North Carolina, Pennsylvania, and Texas.","{'maxAge': 1, 'name': 'Mr. Seth D. Kobay', 'age': 67, 'title': 'Pres of Majestic Property Management Corp', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,9.0,0.0207,1692230400,25,25,2,2,2,459360000,300.0,435.0,435.0,393.0853,0.0,0.0,USD,0.0,1056000,0.0,0.0,PNK,EQUITY,GDVTZ,GDVTZ,GOULD INVESTORS L P,"Gould Investors, L.P.",1260369000,America/New_York,EDT,-14400000,435.0,none,0.0,0.0,0.0,
8,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021,United States,516 466 3100,Real Estate—Diversified,Real Estate,"Gould Investors L.P. owns and operates a portfolio of real estate assets in the United States. Its real estate assets include office and professional buildings, apartment buildings, shopping centers, mixed-use properties, cooperative and condominium apartments, industrial facilities, and single tenant retail properties. The company has investments in publicly traded and private entities in related fields. It also provides various services that include locating and evaluating potential acquisitions, market area analyses and feasibility studies, renovation, leasing and/or repositioning of commercial and residential properties, property management, property and apartment sales, and formulating acquisition and disposition strategies. Gould Investors L.P. was incorporated in 1985 and is based in Great Neck, New York. The company has properties in Connecticut, District of Columbia, Florida, Iowa, Maryland, Massachusetts, New York, North Carolina, Pennsylvania, and Texas.","{'maxAge': 1, 'name': 'Ms. Alysa  Block', 'age': 61, 'title': 'Controller of Georgetown Partners Inc', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,9.0,0.0207,1692230400,25,25,2,2,2,459360000,300.0,435.0,435.0,393.0853,0.0,0.0,USD,0.0,1056000,0.0,0.0,PNK,EQUITY,GDVTZ,GDVTZ,GOULD INVESTORS L P,"Gould Investors, L.P.",1260369000,America/New_York,EDT,-14400000,435.0,none,0.0,0.0,0.0,
9,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021,United States,516 466 3100,Real Estate—Diversified,Real Estate,"Gould Investors L.P. owns and operates a portfolio of real estate assets in the United States. Its real estate assets include office and professional buildings, apartment buildings, shopping centers, mixed-use properties, cooperative and condominium apartments, industrial facilities, and single tenant retail properties. The company has investments in publicly traded and private entities in related fields. It also provides various services that include locating and evaluating potential acquisitions, market area analyses and feasibility studies, renovation, leasing and/or repositioning of commercial and residential properties, property management, property and apartment sales, and formulating acquisition and disposition strategies. Gould Investors L.P. was incorporated in 1985 and is based in Great Neck, New York. The company has properties in Connecticut, District of Columbia, Florida, Iowa, Maryland, Massachusetts, New York, North Carolina, Pennsylvania, and Texas.","{'maxAge': 1, 'name': 'Mr. Isaac David Kalish', 'age': 47, 'title': 'VP & Treasurer of Georgetown Partners Inc.', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,9.0,0.0207,1692230400,25,25,2,2,2,459360000,300.0,435.0,435.0,393.0853,0.0,0.0,USD,0.0,1056000,0.0,0.0,PNK,EQUITY,GDVTZ,GDVTZ,GOULD INVESTORS L P,"Gould Investors, L.P.",1260369000,America/New_York,EDT,-14400000,435.0,none,0.0,0.0,0.0,
