,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,655 Elizabeth Street,Melbourne,VIC,3000,Australia,61 3 9389 1911,61 3 9389 1434,https://www.csl.com.au,Biotechnology,Biotechnology,Healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia.",32065,"{'maxAge': 1, 'name': 'Dr. Paul F. McKenzie Ph.D.', 'age': 56, 'title': 'MD, CEO & Exec. Director', 'yearBorn': 1966, 'fiscalYear': 2023, 'totalPay': 2751667, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,5,1,3,1693526400,1703980800,86400,2,266.93,268.08,266.89,269.95,266.93,268.08,266.89,269.95,3.63,0.0136,1694390400,0.5065,1.08,0.199324,37.85856,24.222624,935662,935662,839316,619344,619344,267.66,267.82,0,0,129297178624,255.87,314.28,9.714289,266.7424,287.62045,2.36,0.008841269,AUD,141829963776,0.16484,481954423,483064992,0.00405,0.34629002,483064992,32.726,8.178818,1688083200,1719705600,1688083200,0.154,2193999872,7.07,11.05,0.81,3:1,1192665600,10.656,36.592,-0.054138124,0.14113986,2.007782,1694390400,ASX,EQUITY,CSL.AX,CSL.AX,CSL FPO,CSL Limited,770428800,Australia/Sydney,AEST,9a3996a4-16a4-3edf-aaf9-c1405a0ea0fc,finmb_881503,36000000,267.66,359.06,247.92,320.61,324.42,1.9,buy,16,1548000000,3.209,3876000000,12227000320,0.756,2.009,13310000128,68.591,27.604,0.06296,0.13851,6844000000,307875008,2600999936,0.138,0.355,0.5142,0.29121,0.24440001,USD,
1,655 Elizabeth Street,Melbourne,VIC,3000,Australia,61 3 9389 1911,61 3 9389 1434,https://www.csl.com.au,Biotechnology,Biotechnology,Healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia.",32065,"{'maxAge': 1, 'name': 'Ms. Joy Carolyn Linton B.Com., BComm, GAICD, Grad Dip AFI', 'age': 57, 'title': 'Chief Financial Officer', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 2047085, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,5,1,3,1693526400,1703980800,86400,2,266.93,268.08,266.89,269.95,266.93,268.08,266.89,269.95,3.63,0.0136,1694390400,0.5065,1.08,0.199324,37.85856,24.222624,935662,935662,839316,619344,619344,267.66,267.82,0,0,129297178624,255.87,314.28,9.714289,266.7424,287.62045,2.36,0.008841269,AUD,141829963776,0.16484,481954423,483064992,0.00405,0.34629002,483064992,32.726,8.178818,1688083200,1719705600,1688083200,0.154,2193999872,7.07,11.05,0.81,3:1,1192665600,10.656,36.592,-0.054138124,0.14113986,2.007782,1694390400,ASX,EQUITY,CSL.AX,CSL.AX,CSL FPO,CSL Limited,770428800,Australia/Sydney,AEST,9a3996a4-16a4-3edf-aaf9-c1405a0ea0fc,finmb_881503,36000000,267.66,359.06,247.92,320.61,324.42,1.9,buy,16,1548000000,3.209,3876000000,12227000320,0.756,2.009,13310000128,68.591,27.604,0.06296,0.13851,6844000000,307875008,2600999936,0.138,0.355,0.5142,0.29121,0.24440001,USD,
2,655 Elizabeth Street,Melbourne,VIC,3000,Australia,61 3 9389 1911,61 3 9389 1434,https://www.csl.com.au,Biotechnology,Biotechnology,Healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia.",32065,"{'maxAge': 1, 'name': 'Mr. Mark  Dehring', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,5,1,3,1693526400,1703980800,86400,2,266.93,268.08,266.89,269.95,266.93,268.08,266.89,269.95,3.63,0.0136,1694390400,0.5065,1.08,0.199324,37.85856,24.222624,935662,935662,839316,619344,619344,267.66,267.82,0,0,129297178624,255.87,314.28,9.714289,266.7424,287.62045,2.36,0.008841269,AUD,141829963776,0.16484,481954423,483064992,0.00405,0.34629002,483064992,32.726,8.178818,1688083200,1719705600,1688083200,0.154,2193999872,7.07,11.05,0.81,3:1,1192665600,10.656,36.592,-0.054138124,0.14113986,2.007782,1694390400,ASX,EQUITY,CSL.AX,CSL.AX,CSL FPO,CSL Limited,770428800,Australia/Sydney,AEST,9a3996a4-16a4-3edf-aaf9-c1405a0ea0fc,finmb_881503,36000000,267.66,359.06,247.92,320.61,324.42,1.9,buy,16,1548000000,3.209,3876000000,12227000320,0.756,2.009,13310000128,68.591,27.604,0.06296,0.13851,6844000000,307875008,2600999936,0.138,0.355,0.5142,0.29121,0.24440001,USD,
3,655 Elizabeth Street,Melbourne,VIC,3000,Australia,61 3 9389 1911,61 3 9389 1434,https://www.csl.com.au,Biotechnology,Biotechnology,Healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia.",32065,"{'maxAge': 1, 'name': 'Mr. Gregory  Boss B.S., BS(Hons), J.D.', 'age': 61, 'title': 'Exec. VP of Legal & Group Gen. Counsel', 'yearBorn': 1961, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,5,1,3,1693526400,1703980800,86400,2,266.93,268.08,266.89,269.95,266.93,268.08,266.89,269.95,3.63,0.0136,1694390400,0.5065,1.08,0.199324,37.85856,24.222624,935662,935662,839316,619344,619344,267.66,267.82,0,0,129297178624,255.87,314.28,9.714289,266.7424,287.62045,2.36,0.008841269,AUD,141829963776,0.16484,481954423,483064992,0.00405,0.34629002,483064992,32.726,8.178818,1688083200,1719705600,1688083200,0.154,2193999872,7.07,11.05,0.81,3:1,1192665600,10.656,36.592,-0.054138124,0.14113986,2.007782,1694390400,ASX,EQUITY,CSL.AX,CSL.AX,CSL FPO,CSL Limited,770428800,Australia/Sydney,AEST,9a3996a4-16a4-3edf-aaf9-c1405a0ea0fc,finmb_881503,36000000,267.66,359.06,247.92,320.61,324.42,1.9,buy,16,1548000000,3.209,3876000000,12227000320,0.756,2.009,13310000128,68.591,27.604,0.06296,0.13851,6844000000,307875008,2600999936,0.138,0.355,0.5142,0.29121,0.24440001,USD,
4,655 Elizabeth Street,Melbourne,VIC,3000,Australia,61 3 9389 1911,61 3 9389 1434,https://www.csl.com.au,Biotechnology,Biotechnology,Healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia.",32065,"{'maxAge': 1, 'name': 'Christina  Hickie', 'title': 'Sr. Mang. of Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,5,1,3,1693526400,1703980800,86400,2,266.93,268.08,266.89,269.95,266.93,268.08,266.89,269.95,3.63,0.0136,1694390400,0.5065,1.08,0.199324,37.85856,24.222624,935662,935662,839316,619344,619344,267.66,267.82,0,0,129297178624,255.87,314.28,9.714289,266.7424,287.62045,2.36,0.008841269,AUD,141829963776,0.16484,481954423,483064992,0.00405,0.34629002,483064992,32.726,8.178818,1688083200,1719705600,1688083200,0.154,2193999872,7.07,11.05,0.81,3:1,1192665600,10.656,36.592,-0.054138124,0.14113986,2.007782,1694390400,ASX,EQUITY,CSL.AX,CSL.AX,CSL FPO,CSL Limited,770428800,Australia/Sydney,AEST,9a3996a4-16a4-3edf-aaf9-c1405a0ea0fc,finmb_881503,36000000,267.66,359.06,247.92,320.61,324.42,1.9,buy,16,1548000000,3.209,3876000000,12227000320,0.756,2.009,13310000128,68.591,27.604,0.06296,0.13851,6844000000,307875008,2600999936,0.138,0.355,0.5142,0.29121,0.24440001,USD,
5,655 Elizabeth Street,Melbourne,VIC,3000,Australia,61 3 9389 1911,61 3 9389 1434,https://www.csl.com.au,Biotechnology,Biotechnology,Healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia.",32065,"{'maxAge': 1, 'name': 'Ms. Elizabeth  Walker B.A., M.S.', 'age': 52, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1970, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,5,1,3,1693526400,1703980800,86400,2,266.93,268.08,266.89,269.95,266.93,268.08,266.89,269.95,3.63,0.0136,1694390400,0.5065,1.08,0.199324,37.85856,24.222624,935662,935662,839316,619344,619344,267.66,267.82,0,0,129297178624,255.87,314.28,9.714289,266.7424,287.62045,2.36,0.008841269,AUD,141829963776,0.16484,481954423,483064992,0.00405,0.34629002,483064992,32.726,8.178818,1688083200,1719705600,1688083200,0.154,2193999872,7.07,11.05,0.81,3:1,1192665600,10.656,36.592,-0.054138124,0.14113986,2.007782,1694390400,ASX,EQUITY,CSL.AX,CSL.AX,CSL FPO,CSL Limited,770428800,Australia/Sydney,AEST,9a3996a4-16a4-3edf-aaf9-c1405a0ea0fc,finmb_881503,36000000,267.66,359.06,247.92,320.61,324.42,1.9,buy,16,1548000000,3.209,3876000000,12227000320,0.756,2.009,13310000128,68.591,27.604,0.06296,0.13851,6844000000,307875008,2600999936,0.138,0.355,0.5142,0.29121,0.24440001,USD,
6,655 Elizabeth Street,Melbourne,VIC,3000,Australia,61 3 9389 1911,61 3 9389 1434,https://www.csl.com.au,Biotechnology,Biotechnology,Healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia.",32065,"{'maxAge': 1, 'name': 'Dr. Karen  Etchberger', 'age': 64, 'title': 'Exec. VP of Quality & Bus. Services', 'yearBorn': 1958, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,5,1,3,1693526400,1703980800,86400,2,266.93,268.08,266.89,269.95,266.93,268.08,266.89,269.95,3.63,0.0136,1694390400,0.5065,1.08,0.199324,37.85856,24.222624,935662,935662,839316,619344,619344,267.66,267.82,0,0,129297178624,255.87,314.28,9.714289,266.7424,287.62045,2.36,0.008841269,AUD,141829963776,0.16484,481954423,483064992,0.00405,0.34629002,483064992,32.726,8.178818,1688083200,1719705600,1688083200,0.154,2193999872,7.07,11.05,0.81,3:1,1192665600,10.656,36.592,-0.054138124,0.14113986,2.007782,1694390400,ASX,EQUITY,CSL.AX,CSL.AX,CSL FPO,CSL Limited,770428800,Australia/Sydney,AEST,9a3996a4-16a4-3edf-aaf9-c1405a0ea0fc,finmb_881503,36000000,267.66,359.06,247.92,320.61,324.42,1.9,buy,16,1548000000,3.209,3876000000,12227000320,0.756,2.009,13310000128,68.591,27.604,0.06296,0.13851,6844000000,307875008,2600999936,0.138,0.355,0.5142,0.29121,0.24440001,USD,
7,655 Elizabeth Street,Melbourne,VIC,3000,Australia,61 3 9389 1911,61 3 9389 1434,https://www.csl.com.au,Biotechnology,Biotechnology,Healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia.",32065,"{'maxAge': 1, 'name': 'Ms. Jemimah  Brennan', 'title': 'Head of Communications - Asia Pacific', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,5,1,3,1693526400,1703980800,86400,2,266.93,268.08,266.89,269.95,266.93,268.08,266.89,269.95,3.63,0.0136,1694390400,0.5065,1.08,0.199324,37.85856,24.222624,935662,935662,839316,619344,619344,267.66,267.82,0,0,129297178624,255.87,314.28,9.714289,266.7424,287.62045,2.36,0.008841269,AUD,141829963776,0.16484,481954423,483064992,0.00405,0.34629002,483064992,32.726,8.178818,1688083200,1719705600,1688083200,0.154,2193999872,7.07,11.05,0.81,3:1,1192665600,10.656,36.592,-0.054138124,0.14113986,2.007782,1694390400,ASX,EQUITY,CSL.AX,CSL.AX,CSL FPO,CSL Limited,770428800,Australia/Sydney,AEST,9a3996a4-16a4-3edf-aaf9-c1405a0ea0fc,finmb_881503,36000000,267.66,359.06,247.92,320.61,324.42,1.9,buy,16,1548000000,3.209,3876000000,12227000320,0.756,2.009,13310000128,68.591,27.604,0.06296,0.13851,6844000000,307875008,2600999936,0.138,0.355,0.5142,0.29121,0.24440001,USD,
8,655 Elizabeth Street,Melbourne,VIC,3000,Australia,61 3 9389 1911,61 3 9389 1434,https://www.csl.com.au,Biotechnology,Biotechnology,Healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia.",32065,"{'maxAge': 1, 'name': 'Mr. William  Campbell B.S.', 'age': 62, 'title': 'Exec. VP & Chief Commercial Officer', 'yearBorn': 1960, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,5,1,3,1693526400,1703980800,86400,2,266.93,268.08,266.89,269.95,266.93,268.08,266.89,269.95,3.63,0.0136,1694390400,0.5065,1.08,0.199324,37.85856,24.222624,935662,935662,839316,619344,619344,267.66,267.82,0,0,129297178624,255.87,314.28,9.714289,266.7424,287.62045,2.36,0.008841269,AUD,141829963776,0.16484,481954423,483064992,0.00405,0.34629002,483064992,32.726,8.178818,1688083200,1719705600,1688083200,0.154,2193999872,7.07,11.05,0.81,3:1,1192665600,10.656,36.592,-0.054138124,0.14113986,2.007782,1694390400,ASX,EQUITY,CSL.AX,CSL.AX,CSL FPO,CSL Limited,770428800,Australia/Sydney,AEST,9a3996a4-16a4-3edf-aaf9-c1405a0ea0fc,finmb_881503,36000000,267.66,359.06,247.92,320.61,324.42,1.9,buy,16,1548000000,3.209,3876000000,12227000320,0.756,2.009,13310000128,68.591,27.604,0.06296,0.13851,6844000000,307875008,2600999936,0.138,0.355,0.5142,0.29121,0.24440001,USD,
9,655 Elizabeth Street,Melbourne,VIC,3000,Australia,61 3 9389 1911,61 3 9389 1434,https://www.csl.com.au,Biotechnology,Biotechnology,Healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia.",32065,"{'maxAge': 1, 'name': 'Dr. Andrew D. Nash', 'age': 60, 'title': 'Sr. VP of Research', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,5,1,3,1693526400,1703980800,86400,2,266.93,268.08,266.89,269.95,266.93,268.08,266.89,269.95,3.63,0.0136,1694390400,0.5065,1.08,0.199324,37.85856,24.222624,935662,935662,839316,619344,619344,267.66,267.82,0,0,129297178624,255.87,314.28,9.714289,266.7424,287.62045,2.36,0.008841269,AUD,141829963776,0.16484,481954423,483064992,0.00405,0.34629002,483064992,32.726,8.178818,1688083200,1719705600,1688083200,0.154,2193999872,7.07,11.05,0.81,3:1,1192665600,10.656,36.592,-0.054138124,0.14113986,2.007782,1694390400,ASX,EQUITY,CSL.AX,CSL.AX,CSL FPO,CSL Limited,770428800,Australia/Sydney,AEST,9a3996a4-16a4-3edf-aaf9-c1405a0ea0fc,finmb_881503,36000000,267.66,359.06,247.92,320.61,324.42,1.9,buy,16,1548000000,3.209,3876000000,12227000320,0.756,2.009,13310000128,68.591,27.604,0.06296,0.13851,6844000000,307875008,2600999936,0.138,0.355,0.5142,0.29121,0.24440001,USD,
