,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
0,655 Broad Street,17th Floor,Newark,NJ,07102,United States,973 802 9908,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-high-yield-bond-fund,Asset Management,Financial Services,"PGIM High Yield Bond Fund, Inc. is a close ended fixed income mutual fund launched and managed by Prudential Investments LLC. The fund is co-managed by Prudential Investment Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in a diversified portfolio of high yield fixed income instruments that are rated below investment grade (Ba1 or lower by Moody's Investors Service, Inc. or BB+ or lower by Standard & Poor's Ratings Services). It seeks to invest in securities across all maturities, while attempting to maintain a weighted average portfolio duration of three years or less. The fund employs fundamental analysis to make its investments. It does not invest in municipal debt obligations, asset backed securities, or mortgage backed securities. PGIM High Yield Bond Fund, Inc. was formed on April 30, 2012 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Stuart Sherman Parker', 'age': 60, 'title': 'Pres and Interested Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.08,12.06,12.02,12.12,12.08,12.06,12.02,12.12,1.26,0.103999995,1697068800,8.7,107255,107255,113006,106800,106800,12.01,12.21,900,900,402738624,11.22,13.3,12.2722,12.3437,0.0,0.0,USD,0.0,33256700,87599,83889,1690761600,1693440000,0.0026,0.000120000004,0.47111,0.78,-0.85,NYQ,EQUITY,ISD,ISD,PGIM Short Duration High Yield ,"PGIM High Yield Bond Fund, Inc.",1335533400,America/New_York,EDT,-14400000,12.11,none,0.0,0.0,0.0,
1,655 Broad Street,17th Floor,Newark,NJ,07102,United States,973 802 9908,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-high-yield-bond-fund,Asset Management,Financial Services,"PGIM High Yield Bond Fund, Inc. is a close ended fixed income mutual fund launched and managed by Prudential Investments LLC. The fund is co-managed by Prudential Investment Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in a diversified portfolio of high yield fixed income instruments that are rated below investment grade (Ba1 or lower by Moody's Investors Service, Inc. or BB+ or lower by Standard & Poor's Ratings Services). It seeks to invest in securities across all maturities, while attempting to maintain a weighted average portfolio duration of three years or less. The fund employs fundamental analysis to make its investments. It does not invest in municipal debt obligations, asset backed securities, or mortgage backed securities. PGIM High Yield Bond Fund, Inc. was formed on April 30, 2012 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Mohamed Sadiq Peshimam', 'age': 58, 'title': 'Principal Financial & Accounting Officer and Treasurer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.08,12.06,12.02,12.12,12.08,12.06,12.02,12.12,1.26,0.103999995,1697068800,8.7,107255,107255,113006,106800,106800,12.01,12.21,900,900,402738624,11.22,13.3,12.2722,12.3437,0.0,0.0,USD,0.0,33256700,87599,83889,1690761600,1693440000,0.0026,0.000120000004,0.47111,0.78,-0.85,NYQ,EQUITY,ISD,ISD,PGIM Short Duration High Yield ,"PGIM High Yield Bond Fund, Inc.",1335533400,America/New_York,EDT,-14400000,12.11,none,0.0,0.0,0.0,
2,655 Broad Street,17th Floor,Newark,NJ,07102,United States,973 802 9908,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-high-yield-bond-fund,Asset Management,Financial Services,"PGIM High Yield Bond Fund, Inc. is a close ended fixed income mutual fund launched and managed by Prudential Investments LLC. The fund is co-managed by Prudential Investment Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in a diversified portfolio of high yield fixed income instruments that are rated below investment grade (Ba1 or lower by Moody's Investors Service, Inc. or BB+ or lower by Standard & Poor's Ratings Services). It seeks to invest in securities across all maturities, while attempting to maintain a weighted average portfolio duration of three years or less. The fund employs fundamental analysis to make its investments. It does not invest in municipal debt obligations, asset backed securities, or mortgage backed securities. PGIM High Yield Bond Fund, Inc. was formed on April 30, 2012 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Chad Alan Earnst C.A.I.A.', 'age': 47, 'title': 'Chief Compliance Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.08,12.06,12.02,12.12,12.08,12.06,12.02,12.12,1.26,0.103999995,1697068800,8.7,107255,107255,113006,106800,106800,12.01,12.21,900,900,402738624,11.22,13.3,12.2722,12.3437,0.0,0.0,USD,0.0,33256700,87599,83889,1690761600,1693440000,0.0026,0.000120000004,0.47111,0.78,-0.85,NYQ,EQUITY,ISD,ISD,PGIM Short Duration High Yield ,"PGIM High Yield Bond Fund, Inc.",1335533400,America/New_York,EDT,-14400000,12.11,none,0.0,0.0,0.0,
3,655 Broad Street,17th Floor,Newark,NJ,07102,United States,973 802 9908,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-high-yield-bond-fund,Asset Management,Financial Services,"PGIM High Yield Bond Fund, Inc. is a close ended fixed income mutual fund launched and managed by Prudential Investments LLC. The fund is co-managed by Prudential Investment Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in a diversified portfolio of high yield fixed income instruments that are rated below investment grade (Ba1 or lower by Moody's Investors Service, Inc. or BB+ or lower by Standard & Poor's Ratings Services). It seeks to invest in securities across all maturities, while attempting to maintain a weighted average portfolio duration of three years or less. The fund employs fundamental analysis to make its investments. It does not invest in municipal debt obligations, asset backed securities, or mortgage backed securities. PGIM High Yield Bond Fund, Inc. was formed on April 30, 2012 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Theresa C. Thompson', 'age': 60, 'title': 'Deputy Chief Compliance Officer', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.08,12.06,12.02,12.12,12.08,12.06,12.02,12.12,1.26,0.103999995,1697068800,8.7,107255,107255,113006,106800,106800,12.01,12.21,900,900,402738624,11.22,13.3,12.2722,12.3437,0.0,0.0,USD,0.0,33256700,87599,83889,1690761600,1693440000,0.0026,0.000120000004,0.47111,0.78,-0.85,NYQ,EQUITY,ISD,ISD,PGIM Short Duration High Yield ,"PGIM High Yield Bond Fund, Inc.",1335533400,America/New_York,EDT,-14400000,12.11,none,0.0,0.0,0.0,
4,655 Broad Street,17th Floor,Newark,NJ,07102,United States,973 802 9908,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-high-yield-bond-fund,Asset Management,Financial Services,"PGIM High Yield Bond Fund, Inc. is a close ended fixed income mutual fund launched and managed by Prudential Investments LLC. The fund is co-managed by Prudential Investment Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in a diversified portfolio of high yield fixed income instruments that are rated below investment grade (Ba1 or lower by Moody's Investors Service, Inc. or BB+ or lower by Standard & Poor's Ratings Services). It seeks to invest in securities across all maturities, while attempting to maintain a weighted average portfolio duration of three years or less. The fund employs fundamental analysis to make its investments. It does not invest in municipal debt obligations, asset backed securities, or mortgage backed securities. PGIM High Yield Bond Fund, Inc. was formed on April 30, 2012 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Deborah A. Docs', 'age': 64, 'title': 'Sec.', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.08,12.06,12.02,12.12,12.08,12.06,12.02,12.12,1.26,0.103999995,1697068800,8.7,107255,107255,113006,106800,106800,12.01,12.21,900,900,402738624,11.22,13.3,12.2722,12.3437,0.0,0.0,USD,0.0,33256700,87599,83889,1690761600,1693440000,0.0026,0.000120000004,0.47111,0.78,-0.85,NYQ,EQUITY,ISD,ISD,PGIM Short Duration High Yield ,"PGIM High Yield Bond Fund, Inc.",1335533400,America/New_York,EDT,-14400000,12.11,none,0.0,0.0,0.0,
5,655 Broad Street,17th Floor,Newark,NJ,07102,United States,973 802 9908,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-high-yield-bond-fund,Asset Management,Financial Services,"PGIM High Yield Bond Fund, Inc. is a close ended fixed income mutual fund launched and managed by Prudential Investments LLC. The fund is co-managed by Prudential Investment Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in a diversified portfolio of high yield fixed income instruments that are rated below investment grade (Ba1 or lower by Moody's Investors Service, Inc. or BB+ or lower by Standard & Poor's Ratings Services). It seeks to invest in securities across all maturities, while attempting to maintain a weighted average portfolio duration of three years or less. The fund employs fundamental analysis to make its investments. It does not invest in municipal debt obligations, asset backed securities, or mortgage backed securities. PGIM High Yield Bond Fund, Inc. was formed on April 30, 2012 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Stephen  Haeckel', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.08,12.06,12.02,12.12,12.08,12.06,12.02,12.12,1.26,0.103999995,1697068800,8.7,107255,107255,113006,106800,106800,12.01,12.21,900,900,402738624,11.22,13.3,12.2722,12.3437,0.0,0.0,USD,0.0,33256700,87599,83889,1690761600,1693440000,0.0026,0.000120000004,0.47111,0.78,-0.85,NYQ,EQUITY,ISD,ISD,PGIM Short Duration High Yield ,"PGIM High Yield Bond Fund, Inc.",1335533400,America/New_York,EDT,-14400000,12.11,none,0.0,0.0,0.0,
6,655 Broad Street,17th Floor,Newark,NJ,07102,United States,973 802 9908,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-high-yield-bond-fund,Asset Management,Financial Services,"PGIM High Yield Bond Fund, Inc. is a close ended fixed income mutual fund launched and managed by Prudential Investments LLC. The fund is co-managed by Prudential Investment Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in a diversified portfolio of high yield fixed income instruments that are rated below investment grade (Ba1 or lower by Moody's Investors Service, Inc. or BB+ or lower by Standard & Poor's Ratings Services). It seeks to invest in securities across all maturities, while attempting to maintain a weighted average portfolio duration of three years or less. The fund employs fundamental analysis to make its investments. It does not invest in municipal debt obligations, asset backed securities, or mortgage backed securities. PGIM High Yield Bond Fund, Inc. was formed on April 30, 2012 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Scott Edward Benjamin', 'age': 49, 'title': 'VP and Interested Director', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.08,12.06,12.02,12.12,12.08,12.06,12.02,12.12,1.26,0.103999995,1697068800,8.7,107255,107255,113006,106800,106800,12.01,12.21,900,900,402738624,11.22,13.3,12.2722,12.3437,0.0,0.0,USD,0.0,33256700,87599,83889,1690761600,1693440000,0.0026,0.000120000004,0.47111,0.78,-0.85,NYQ,EQUITY,ISD,ISD,PGIM Short Duration High Yield ,"PGIM High Yield Bond Fund, Inc.",1335533400,America/New_York,EDT,-14400000,12.11,none,0.0,0.0,0.0,
7,655 Broad Street,17th Floor,Newark,NJ,07102,United States,973 802 9908,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-high-yield-bond-fund,Asset Management,Financial Services,"PGIM High Yield Bond Fund, Inc. is a close ended fixed income mutual fund launched and managed by Prudential Investments LLC. The fund is co-managed by Prudential Investment Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in a diversified portfolio of high yield fixed income instruments that are rated below investment grade (Ba1 or lower by Moody's Investors Service, Inc. or BB+ or lower by Standard & Poor's Ratings Services). It seeks to invest in securities across all maturities, while attempting to maintain a weighted average portfolio duration of three years or less. The fund employs fundamental analysis to make its investments. It does not invest in municipal debt obligations, asset backed securities, or mortgage backed securities. PGIM High Yield Bond Fund, Inc. was formed on April 30, 2012 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Jonathan D. Shain Esq.', 'age': 64, 'title': 'Assistant Sec.', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.08,12.06,12.02,12.12,12.08,12.06,12.02,12.12,1.26,0.103999995,1697068800,8.7,107255,107255,113006,106800,106800,12.01,12.21,900,900,402738624,11.22,13.3,12.2722,12.3437,0.0,0.0,USD,0.0,33256700,87599,83889,1690761600,1693440000,0.0026,0.000120000004,0.47111,0.78,-0.85,NYQ,EQUITY,ISD,ISD,PGIM Short Duration High Yield ,"PGIM High Yield Bond Fund, Inc.",1335533400,America/New_York,EDT,-14400000,12.11,none,0.0,0.0,0.0,
8,655 Broad Street,17th Floor,Newark,NJ,07102,United States,973 802 9908,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-high-yield-bond-fund,Asset Management,Financial Services,"PGIM High Yield Bond Fund, Inc. is a close ended fixed income mutual fund launched and managed by Prudential Investments LLC. The fund is co-managed by Prudential Investment Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in a diversified portfolio of high yield fixed income instruments that are rated below investment grade (Ba1 or lower by Moody's Investors Service, Inc. or BB+ or lower by Standard & Poor's Ratings Services). It seeks to invest in securities across all maturities, while attempting to maintain a weighted average portfolio duration of three years or less. The fund employs fundamental analysis to make its investments. It does not invest in municipal debt obligations, asset backed securities, or mortgage backed securities. PGIM High Yield Bond Fund, Inc. was formed on April 30, 2012 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Peter  Parrella', 'age': 63, 'title': 'Assistant Treasurer', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.08,12.06,12.02,12.12,12.08,12.06,12.02,12.12,1.26,0.103999995,1697068800,8.7,107255,107255,113006,106800,106800,12.01,12.21,900,900,402738624,11.22,13.3,12.2722,12.3437,0.0,0.0,USD,0.0,33256700,87599,83889,1690761600,1693440000,0.0026,0.000120000004,0.47111,0.78,-0.85,NYQ,EQUITY,ISD,ISD,PGIM Short Duration High Yield ,"PGIM High Yield Bond Fund, Inc.",1335533400,America/New_York,EDT,-14400000,12.11,none,0.0,0.0,0.0,
9,655 Broad Street,17th Floor,Newark,NJ,07102,United States,973 802 9908,https://www.pgim.com/pgim-investments/investments-products/closed-end-funds/fund-profile/pgim-high-yield-bond-fund,Asset Management,Financial Services,"PGIM High Yield Bond Fund, Inc. is a close ended fixed income mutual fund launched and managed by Prudential Investments LLC. The fund is co-managed by Prudential Investment Management, Inc. It invests in the fixed income markets of the United States. The fund primarily invests in a diversified portfolio of high yield fixed income instruments that are rated below investment grade (Ba1 or lower by Moody's Investors Service, Inc. or BB+ or lower by Standard & Poor's Ratings Services). It seeks to invest in securities across all maturities, while attempting to maintain a weighted average portfolio duration of three years or less. The fund employs fundamental analysis to make its investments. It does not invest in municipal debt obligations, asset backed securities, or mortgage backed securities. PGIM High Yield Bond Fund, Inc. was formed on April 30, 2012 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Amanda S. Ryan', 'age': 44, 'title': 'Assistant Sec.', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.08,12.06,12.02,12.12,12.08,12.06,12.02,12.12,1.26,0.103999995,1697068800,8.7,107255,107255,113006,106800,106800,12.01,12.21,900,900,402738624,11.22,13.3,12.2722,12.3437,0.0,0.0,USD,0.0,33256700,87599,83889,1690761600,1693440000,0.0026,0.000120000004,0.47111,0.78,-0.85,NYQ,EQUITY,ISD,ISD,PGIM Short Duration High Yield ,"PGIM High Yield Bond Fund, Inc.",1335533400,America/New_York,EDT,-14400000,12.11,none,0.0,0.0,0.0,
