,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Galen G. Weston B.A., M.B.A, M.B.A.', 'age': 49, 'title': 'Chairman & CEO', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 4907296, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,155.87,152.73,152.73,156.05,155.87,152.73,152.73,156.05,2.75,0.0178,1694649600,0.22540002,1.86,0.409155,12.938076,12.222135,659410,659410,153548,206780,206780,154.42,154.65,0,0,21320718336,138.77,183.92,0.36334494,152.4378,164.9229,2.693,0.017277218,CAD,47381110784,0.0297,59671760,137900000,734857,754839,1690761600,1693440000,0.0053,0.56667,0.15853,5.86,44.758,3.4543545,1672444800,1703980800,1686960000,-0.211,1699000064,11.95,12.65,2.54,3:1,895622400,0.807,7.538,TOR,EQUITY,WN.TO,WN.TO,WESTON GEORGE,George Weston Limited,789921000,America/Toronto,EDT,-14400000,154.61,215.0,172.0,193.14,193.0,2.3,buy,7,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
1,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Richard  Dufresne', 'title': 'Pres & CFO', 'fiscalYear': 2022, 'totalPay': 3128963, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,155.87,152.73,152.73,156.05,155.87,152.73,152.73,156.05,2.75,0.0178,1694649600,0.22540002,1.86,0.409155,12.938076,12.222135,659410,659410,153548,206780,206780,154.42,154.65,0,0,21320718336,138.77,183.92,0.36334494,152.4378,164.9229,2.693,0.017277218,CAD,47381110784,0.0297,59671760,137900000,734857,754839,1690761600,1693440000,0.0053,0.56667,0.15853,5.86,44.758,3.4543545,1672444800,1703980800,1686960000,-0.211,1699000064,11.95,12.65,2.54,3:1,895622400,0.807,7.538,TOR,EQUITY,WN.TO,WN.TO,WESTON GEORGE,George Weston Limited,789921000,America/Toronto,EDT,-14400000,154.61,215.0,172.0,193.14,193.0,2.3,buy,7,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
2,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Robert  Sawyer', 'age': 68, 'title': 'Chief Operating Officer of Loblaw', 'yearBorn': 1954, 'fiscalYear': 2022, 'totalPay': 5313460, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,155.87,152.73,152.73,156.05,155.87,152.73,152.73,156.05,2.75,0.0178,1694649600,0.22540002,1.86,0.409155,12.938076,12.222135,659410,659410,153548,206780,206780,154.42,154.65,0,0,21320718336,138.77,183.92,0.36334494,152.4378,164.9229,2.693,0.017277218,CAD,47381110784,0.0297,59671760,137900000,734857,754839,1690761600,1693440000,0.0053,0.56667,0.15853,5.86,44.758,3.4543545,1672444800,1703980800,1686960000,-0.211,1699000064,11.95,12.65,2.54,3:1,895622400,0.807,7.538,TOR,EQUITY,WN.TO,WN.TO,WESTON GEORGE,George Weston Limited,789921000,America/Toronto,EDT,-14400000,154.61,215.0,172.0,193.14,193.0,2.3,buy,7,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
3,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Barry Kieran Columb', 'age': 57, 'title': ""Exec. VP of Loblaw & Pres of Pres's Choice Financial"", 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 3593208, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,155.87,152.73,152.73,156.05,155.87,152.73,152.73,156.05,2.75,0.0178,1694649600,0.22540002,1.86,0.409155,12.938076,12.222135,659410,659410,153548,206780,206780,154.42,154.65,0,0,21320718336,138.77,183.92,0.36334494,152.4378,164.9229,2.693,0.017277218,CAD,47381110784,0.0297,59671760,137900000,734857,754839,1690761600,1693440000,0.0053,0.56667,0.15853,5.86,44.758,3.4543545,1672444800,1703980800,1686960000,-0.211,1699000064,11.95,12.65,2.54,3:1,895622400,0.807,7.538,TOR,EQUITY,WN.TO,WN.TO,WESTON GEORGE,George Weston Limited,789921000,America/Toronto,EDT,-14400000,154.61,215.0,172.0,193.14,193.0,2.3,buy,7,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
4,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Rael Lee Diamond CPA, CA', 'age': 45, 'title': 'Pres & CEO of Choice Properties', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1827250, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,155.87,152.73,152.73,156.05,155.87,152.73,152.73,156.05,2.75,0.0178,1694649600,0.22540002,1.86,0.409155,12.938076,12.222135,659410,659410,153548,206780,206780,154.42,154.65,0,0,21320718336,138.77,183.92,0.36334494,152.4378,164.9229,2.693,0.017277218,CAD,47381110784,0.0297,59671760,137900000,734857,754839,1690761600,1693440000,0.0053,0.56667,0.15853,5.86,44.758,3.4543545,1672444800,1703980800,1686960000,-0.211,1699000064,11.95,12.65,2.54,3:1,895622400,0.807,7.538,TOR,EQUITY,WN.TO,WN.TO,WESTON GEORGE,George Weston Limited,789921000,America/Toronto,EDT,-14400000,154.61,215.0,172.0,193.14,193.0,2.3,buy,7,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
5,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. John  Williams', 'age': 56, 'title': 'Group Treasurer & Head of Corp. Fin.', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,155.87,152.73,152.73,156.05,155.87,152.73,152.73,156.05,2.75,0.0178,1694649600,0.22540002,1.86,0.409155,12.938076,12.222135,659410,659410,153548,206780,206780,154.42,154.65,0,0,21320718336,138.77,183.92,0.36334494,152.4378,164.9229,2.693,0.017277218,CAD,47381110784,0.0297,59671760,137900000,734857,754839,1690761600,1693440000,0.0053,0.56667,0.15853,5.86,44.758,3.4543545,1672444800,1703980800,1686960000,-0.211,1699000064,11.95,12.65,2.54,3:1,895622400,0.807,7.538,TOR,EQUITY,WN.TO,WN.TO,WESTON GEORGE,George Weston Limited,789921000,America/Toronto,EDT,-14400000,154.61,215.0,172.0,193.14,193.0,2.3,buy,7,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
6,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Roy  MacDonald', 'title': 'Group VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,155.87,152.73,152.73,156.05,155.87,152.73,152.73,156.05,2.75,0.0178,1694649600,0.22540002,1.86,0.409155,12.938076,12.222135,659410,659410,153548,206780,206780,154.42,154.65,0,0,21320718336,138.77,183.92,0.36334494,152.4378,164.9229,2.693,0.017277218,CAD,47381110784,0.0297,59671760,137900000,734857,754839,1690761600,1693440000,0.0053,0.56667,0.15853,5.86,44.758,3.4543545,1672444800,1703980800,1686960000,-0.211,1699000064,11.95,12.65,2.54,3:1,895622400,0.807,7.538,TOR,EQUITY,WN.TO,WN.TO,WESTON GEORGE,George Weston Limited,789921000,America/Toronto,EDT,-14400000,154.61,215.0,172.0,193.14,193.0,2.3,buy,7,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
7,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Gordon Andrew McDonald Currie', 'age': 63, 'title': 'Exec. VP & Chief Legal Officer', 'yearBorn': 1959, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,155.87,152.73,152.73,156.05,155.87,152.73,152.73,156.05,2.75,0.0178,1694649600,0.22540002,1.86,0.409155,12.938076,12.222135,659410,659410,153548,206780,206780,154.42,154.65,0,0,21320718336,138.77,183.92,0.36334494,152.4378,164.9229,2.693,0.017277218,CAD,47381110784,0.0297,59671760,137900000,734857,754839,1690761600,1693440000,0.0053,0.56667,0.15853,5.86,44.758,3.4543545,1672444800,1703980800,1686960000,-0.211,1699000064,11.95,12.65,2.54,3:1,895622400,0.807,7.538,TOR,EQUITY,WN.TO,WN.TO,WESTON GEORGE,George Weston Limited,789921000,America/Toronto,EDT,-14400000,154.61,215.0,172.0,193.14,193.0,2.3,buy,7,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
8,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Ms. Jennifer  Maccarone', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,155.87,152.73,152.73,156.05,155.87,152.73,152.73,156.05,2.75,0.0178,1694649600,0.22540002,1.86,0.409155,12.938076,12.222135,659410,659410,153548,206780,206780,154.42,154.65,0,0,21320718336,138.77,183.92,0.36334494,152.4378,164.9229,2.693,0.017277218,CAD,47381110784,0.0297,59671760,137900000,734857,754839,1690761600,1693440000,0.0053,0.56667,0.15853,5.86,44.758,3.4543545,1672444800,1703980800,1686960000,-0.211,1699000064,11.95,12.65,2.54,3:1,895622400,0.807,7.538,TOR,EQUITY,WN.TO,WN.TO,WESTON GEORGE,George Weston Limited,789921000,America/Toronto,EDT,-14400000,154.61,215.0,172.0,193.14,193.0,2.3,buy,7,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
9,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Khush  Dadyburjor', 'age': 55, 'title': 'Chief Strategy Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,155.87,152.73,152.73,156.05,155.87,152.73,152.73,156.05,2.75,0.0178,1694649600,0.22540002,1.86,0.409155,12.938076,12.222135,659410,659410,153548,206780,206780,154.42,154.65,0,0,21320718336,138.77,183.92,0.36334494,152.4378,164.9229,2.693,0.017277218,CAD,47381110784,0.0297,59671760,137900000,734857,754839,1690761600,1693440000,0.0053,0.56667,0.15853,5.86,44.758,3.4543545,1672444800,1703980800,1686960000,-0.211,1699000064,11.95,12.65,2.54,3:1,895622400,0.807,7.538,TOR,EQUITY,WN.TO,WN.TO,WESTON GEORGE,George Weston Limited,789921000,America/Toronto,EDT,-14400000,154.61,215.0,172.0,193.14,193.0,2.3,buy,7,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
