,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,20 St. Andrew Street,London,EC4A 3AG,United Kingdom,44 20 3514 1800,https://www.netscientific.net,Biotechnology,Healthcare,"NetScientific plc is a venture capital firm specializing in seed, growth capital, early and mid stage investments. The firm focuses to invest in sustainability, life science, technology, transformative biomedical and healthcare technologies focusing on digital health, diagnostics, and therapeutics sectors. It also prefers to invest in companies that significantly improve the health and well-being of people with chronic diseases. Within digital health it focuses on data analytics, wearable technologies, and devices. The firm seeks to invest in companies based in European developed markets, United Kingdom and in the United States. It typically invests up to £15 million ($20.32 million), but may consider larger amounts. It prefers to hold a controlling interest in all principal subsidiaries. The firm prefers to invest through its balance sheet investments. NetScientific plc was founded in 2008 and is based in London, United Kingdom.",26,"{'maxAge': 1, 'name': 'Dr. Ilian Petkov Iliev Ph.D.', 'age': 46, 'title': 'CEO & Exec. Director', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 406000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,61.5,60.41,60.41,60.41,61.5,60.41,60.41,60.41,0.0,1.612612,-19.83871,1427,1427,22029,14809,14809,60.0,63.0,0,0,14469782,42.22,88.0,14.412133,60.37,67.595,0.0,0.0,GBp,14249211,0.0,14400349,23528100,0.39554,0.0442,1.1,55.90909,1672444800,1703980800,1672444800,-3094000,-0.14,-3.1,1:10,1598313600,14.192,-3.866,LSE,EQUITY,NSCI.L,NSCI.L,NETSCIENTIFIC PLC ORD 5P,NetScientific plc,1379314800,Europe/London,BST,3600000,61.5,none,852000,0.036,-3686000,1254000,0.515,0.582,1004000,4.968,0.045,-0.09822,-0.16795,782000,-212500,-3107000,-0.124,0.77888,0.0,-3.88546,GBP,
1,20 St. Andrew Street,London,EC4A 3AG,United Kingdom,44 20 3514 1800,https://www.netscientific.net,Biotechnology,Healthcare,"NetScientific plc is a venture capital firm specializing in seed, growth capital, early and mid stage investments. The firm focuses to invest in sustainability, life science, technology, transformative biomedical and healthcare technologies focusing on digital health, diagnostics, and therapeutics sectors. It also prefers to invest in companies that significantly improve the health and well-being of people with chronic diseases. Within digital health it focuses on data analytics, wearable technologies, and devices. The firm seeks to invest in companies based in European developed markets, United Kingdom and in the United States. It typically invests up to £15 million ($20.32 million), but may consider larger amounts. It prefers to hold a controlling interest in all principal subsidiaries. The firm prefers to invest through its balance sheet investments. NetScientific plc was founded in 2008 and is based in London, United Kingdom.",26,"{'maxAge': 1, 'name': 'Mr. Edward Benjamin Peter Hooper', 'age': 42, 'title': 'Gen. Counsel, Group Company Sec. & Exec. Director', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 255625, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,61.5,60.41,60.41,60.41,61.5,60.41,60.41,60.41,0.0,1.612612,-19.83871,1427,1427,22029,14809,14809,60.0,63.0,0,0,14469782,42.22,88.0,14.412133,60.37,67.595,0.0,0.0,GBp,14249211,0.0,14400349,23528100,0.39554,0.0442,1.1,55.90909,1672444800,1703980800,1672444800,-3094000,-0.14,-3.1,1:10,1598313600,14.192,-3.866,LSE,EQUITY,NSCI.L,NSCI.L,NETSCIENTIFIC PLC ORD 5P,NetScientific plc,1379314800,Europe/London,BST,3600000,61.5,none,852000,0.036,-3686000,1254000,0.515,0.582,1004000,4.968,0.045,-0.09822,-0.16795,782000,-212500,-3107000,-0.124,0.77888,0.0,-3.88546,GBP,
2,20 St. Andrew Street,London,EC4A 3AG,United Kingdom,44 20 3514 1800,https://www.netscientific.net,Biotechnology,Healthcare,"NetScientific plc is a venture capital firm specializing in seed, growth capital, early and mid stage investments. The firm focuses to invest in sustainability, life science, technology, transformative biomedical and healthcare technologies focusing on digital health, diagnostics, and therapeutics sectors. It also prefers to invest in companies that significantly improve the health and well-being of people with chronic diseases. Within digital health it focuses on data analytics, wearable technologies, and devices. The firm seeks to invest in companies based in European developed markets, United Kingdom and in the United States. It typically invests up to £15 million ($20.32 million), but may consider larger amounts. It prefers to hold a controlling interest in all principal subsidiaries. The firm prefers to invest through its balance sheet investments. NetScientific plc was founded in 2008 and is based in London, United Kingdom.",26,"{'maxAge': 1, 'name': 'Mr. John Eric Clarkson', 'age': 72, 'title': 'Advisor', 'yearBorn': 1950, 'fiscalYear': 2022, 'totalPay': 433000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,61.5,60.41,60.41,60.41,61.5,60.41,60.41,60.41,0.0,1.612612,-19.83871,1427,1427,22029,14809,14809,60.0,63.0,0,0,14469782,42.22,88.0,14.412133,60.37,67.595,0.0,0.0,GBp,14249211,0.0,14400349,23528100,0.39554,0.0442,1.1,55.90909,1672444800,1703980800,1672444800,-3094000,-0.14,-3.1,1:10,1598313600,14.192,-3.866,LSE,EQUITY,NSCI.L,NSCI.L,NETSCIENTIFIC PLC ORD 5P,NetScientific plc,1379314800,Europe/London,BST,3600000,61.5,none,852000,0.036,-3686000,1254000,0.515,0.582,1004000,4.968,0.045,-0.09822,-0.16795,782000,-212500,-3107000,-0.124,0.77888,0.0,-3.88546,GBP,
3,20 St. Andrew Street,London,EC4A 3AG,United Kingdom,44 20 3514 1800,https://www.netscientific.net,Biotechnology,Healthcare,"NetScientific plc is a venture capital firm specializing in seed, growth capital, early and mid stage investments. The firm focuses to invest in sustainability, life science, technology, transformative biomedical and healthcare technologies focusing on digital health, diagnostics, and therapeutics sectors. It also prefers to invest in companies that significantly improve the health and well-being of people with chronic diseases. Within digital health it focuses on data analytics, wearable technologies, and devices. The firm seeks to invest in companies based in European developed markets, United Kingdom and in the United States. It typically invests up to £15 million ($20.32 million), but may consider larger amounts. It prefers to hold a controlling interest in all principal subsidiaries. The firm prefers to invest through its balance sheet investments. NetScientific plc was founded in 2008 and is based in London, United Kingdom.",26,"{'maxAge': 1, 'name': 'Mr. Stephen Daniel Crowe', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,61.5,60.41,60.41,60.41,61.5,60.41,60.41,60.41,0.0,1.612612,-19.83871,1427,1427,22029,14809,14809,60.0,63.0,0,0,14469782,42.22,88.0,14.412133,60.37,67.595,0.0,0.0,GBp,14249211,0.0,14400349,23528100,0.39554,0.0442,1.1,55.90909,1672444800,1703980800,1672444800,-3094000,-0.14,-3.1,1:10,1598313600,14.192,-3.866,LSE,EQUITY,NSCI.L,NSCI.L,NETSCIENTIFIC PLC ORD 5P,NetScientific plc,1379314800,Europe/London,BST,3600000,61.5,none,852000,0.036,-3686000,1254000,0.515,0.582,1004000,4.968,0.045,-0.09822,-0.16795,782000,-212500,-3107000,-0.124,0.77888,0.0,-3.88546,GBP,
4,20 St. Andrew Street,London,EC4A 3AG,United Kingdom,44 20 3514 1800,https://www.netscientific.net,Biotechnology,Healthcare,"NetScientific plc is a venture capital firm specializing in seed, growth capital, early and mid stage investments. The firm focuses to invest in sustainability, life science, technology, transformative biomedical and healthcare technologies focusing on digital health, diagnostics, and therapeutics sectors. It also prefers to invest in companies that significantly improve the health and well-being of people with chronic diseases. Within digital health it focuses on data analytics, wearable technologies, and devices. The firm seeks to invest in companies based in European developed markets, United Kingdom and in the United States. It typically invests up to £15 million ($20.32 million), but may consider larger amounts. It prefers to hold a controlling interest in all principal subsidiaries. The firm prefers to invest through its balance sheet investments. NetScientific plc was founded in 2008 and is based in London, United Kingdom.",26,"{'maxAge': 1, 'name': 'Ms. Vyara  Stoycheva', 'title': 'Investment Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,61.5,60.41,60.41,60.41,61.5,60.41,60.41,60.41,0.0,1.612612,-19.83871,1427,1427,22029,14809,14809,60.0,63.0,0,0,14469782,42.22,88.0,14.412133,60.37,67.595,0.0,0.0,GBp,14249211,0.0,14400349,23528100,0.39554,0.0442,1.1,55.90909,1672444800,1703980800,1672444800,-3094000,-0.14,-3.1,1:10,1598313600,14.192,-3.866,LSE,EQUITY,NSCI.L,NSCI.L,NETSCIENTIFIC PLC ORD 5P,NetScientific plc,1379314800,Europe/London,BST,3600000,61.5,none,852000,0.036,-3686000,1254000,0.515,0.582,1004000,4.968,0.045,-0.09822,-0.16795,782000,-212500,-3107000,-0.124,0.77888,0.0,-3.88546,GBP,
5,20 St. Andrew Street,London,EC4A 3AG,United Kingdom,44 20 3514 1800,https://www.netscientific.net,Biotechnology,Healthcare,"NetScientific plc is a venture capital firm specializing in seed, growth capital, early and mid stage investments. The firm focuses to invest in sustainability, life science, technology, transformative biomedical and healthcare technologies focusing on digital health, diagnostics, and therapeutics sectors. It also prefers to invest in companies that significantly improve the health and well-being of people with chronic diseases. Within digital health it focuses on data analytics, wearable technologies, and devices. The firm seeks to invest in companies based in European developed markets, United Kingdom and in the United States. It typically invests up to £15 million ($20.32 million), but may consider larger amounts. It prefers to hold a controlling interest in all principal subsidiaries. The firm prefers to invest through its balance sheet investments. NetScientific plc was founded in 2008 and is based in London, United Kingdom.",26,"{'maxAge': 1, 'name': 'Ms. Anete  Merhele', 'title': 'Marketing Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,61.5,60.41,60.41,60.41,61.5,60.41,60.41,60.41,0.0,1.612612,-19.83871,1427,1427,22029,14809,14809,60.0,63.0,0,0,14469782,42.22,88.0,14.412133,60.37,67.595,0.0,0.0,GBp,14249211,0.0,14400349,23528100,0.39554,0.0442,1.1,55.90909,1672444800,1703980800,1672444800,-3094000,-0.14,-3.1,1:10,1598313600,14.192,-3.866,LSE,EQUITY,NSCI.L,NSCI.L,NETSCIENTIFIC PLC ORD 5P,NetScientific plc,1379314800,Europe/London,BST,3600000,61.5,none,852000,0.036,-3686000,1254000,0.515,0.582,1004000,4.968,0.045,-0.09822,-0.16795,782000,-212500,-3107000,-0.124,0.77888,0.0,-3.88546,GBP,
6,20 St. Andrew Street,London,EC4A 3AG,United Kingdom,44 20 3514 1800,https://www.netscientific.net,Biotechnology,Healthcare,"NetScientific plc is a venture capital firm specializing in seed, growth capital, early and mid stage investments. The firm focuses to invest in sustainability, life science, technology, transformative biomedical and healthcare technologies focusing on digital health, diagnostics, and therapeutics sectors. It also prefers to invest in companies that significantly improve the health and well-being of people with chronic diseases. Within digital health it focuses on data analytics, wearable technologies, and devices. The firm seeks to invest in companies based in European developed markets, United Kingdom and in the United States. It typically invests up to £15 million ($20.32 million), but may consider larger amounts. It prefers to hold a controlling interest in all principal subsidiaries. The firm prefers to invest through its balance sheet investments. NetScientific plc was founded in 2008 and is based in London, United Kingdom.",26,"{'maxAge': 1, 'name': 'Ms. Penny  Turner', 'title': 'Human Resource Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,61.5,60.41,60.41,60.41,61.5,60.41,60.41,60.41,0.0,1.612612,-19.83871,1427,1427,22029,14809,14809,60.0,63.0,0,0,14469782,42.22,88.0,14.412133,60.37,67.595,0.0,0.0,GBp,14249211,0.0,14400349,23528100,0.39554,0.0442,1.1,55.90909,1672444800,1703980800,1672444800,-3094000,-0.14,-3.1,1:10,1598313600,14.192,-3.866,LSE,EQUITY,NSCI.L,NSCI.L,NETSCIENTIFIC PLC ORD 5P,NetScientific plc,1379314800,Europe/London,BST,3600000,61.5,none,852000,0.036,-3686000,1254000,0.515,0.582,1004000,4.968,0.045,-0.09822,-0.16795,782000,-212500,-3107000,-0.124,0.77888,0.0,-3.88546,GBP,
7,20 St. Andrew Street,London,EC4A 3AG,United Kingdom,44 20 3514 1800,https://www.netscientific.net,Biotechnology,Healthcare,"NetScientific plc is a venture capital firm specializing in seed, growth capital, early and mid stage investments. The firm focuses to invest in sustainability, life science, technology, transformative biomedical and healthcare technologies focusing on digital health, diagnostics, and therapeutics sectors. It also prefers to invest in companies that significantly improve the health and well-being of people with chronic diseases. Within digital health it focuses on data analytics, wearable technologies, and devices. The firm seeks to invest in companies based in European developed markets, United Kingdom and in the United States. It typically invests up to £15 million ($20.32 million), but may consider larger amounts. It prefers to hold a controlling interest in all principal subsidiaries. The firm prefers to invest through its balance sheet investments. NetScientific plc was founded in 2008 and is based in London, United Kingdom.",26,"{'maxAge': 1, 'name': 'Mr. Nick  Salisbury', 'title': 'Head of Capital Raising & Co-Investment', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,61.5,60.41,60.41,60.41,61.5,60.41,60.41,60.41,0.0,1.612612,-19.83871,1427,1427,22029,14809,14809,60.0,63.0,0,0,14469782,42.22,88.0,14.412133,60.37,67.595,0.0,0.0,GBp,14249211,0.0,14400349,23528100,0.39554,0.0442,1.1,55.90909,1672444800,1703980800,1672444800,-3094000,-0.14,-3.1,1:10,1598313600,14.192,-3.866,LSE,EQUITY,NSCI.L,NSCI.L,NETSCIENTIFIC PLC ORD 5P,NetScientific plc,1379314800,Europe/London,BST,3600000,61.5,none,852000,0.036,-3686000,1254000,0.515,0.582,1004000,4.968,0.045,-0.09822,-0.16795,782000,-212500,-3107000,-0.124,0.77888,0.0,-3.88546,GBP,
8,20 St. Andrew Street,London,EC4A 3AG,United Kingdom,44 20 3514 1800,https://www.netscientific.net,Biotechnology,Healthcare,"NetScientific plc is a venture capital firm specializing in seed, growth capital, early and mid stage investments. The firm focuses to invest in sustainability, life science, technology, transformative biomedical and healthcare technologies focusing on digital health, diagnostics, and therapeutics sectors. It also prefers to invest in companies that significantly improve the health and well-being of people with chronic diseases. Within digital health it focuses on data analytics, wearable technologies, and devices. The firm seeks to invest in companies based in European developed markets, United Kingdom and in the United States. It typically invests up to £15 million ($20.32 million), but may consider larger amounts. It prefers to hold a controlling interest in all principal subsidiaries. The firm prefers to invest through its balance sheet investments. NetScientific plc was founded in 2008 and is based in London, United Kingdom.",26,"{'maxAge': 1, 'name': 'Dr. Frank K. Bedu-Addo Ph.D.', 'age': 57, 'title': 'Chief Exec. Officer of PDS Biotechnology', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,61.5,60.41,60.41,60.41,61.5,60.41,60.41,60.41,0.0,1.612612,-19.83871,1427,1427,22029,14809,14809,60.0,63.0,0,0,14469782,42.22,88.0,14.412133,60.37,67.595,0.0,0.0,GBp,14249211,0.0,14400349,23528100,0.39554,0.0442,1.1,55.90909,1672444800,1703980800,1672444800,-3094000,-0.14,-3.1,1:10,1598313600,14.192,-3.866,LSE,EQUITY,NSCI.L,NSCI.L,NETSCIENTIFIC PLC ORD 5P,NetScientific plc,1379314800,Europe/London,BST,3600000,61.5,none,852000,0.036,-3686000,1254000,0.515,0.582,1004000,4.968,0.045,-0.09822,-0.16795,782000,-212500,-3107000,-0.124,0.77888,0.0,-3.88546,GBP,
9,20 St. Andrew Street,London,EC4A 3AG,United Kingdom,44 20 3514 1800,https://www.netscientific.net,Biotechnology,Healthcare,"NetScientific plc is a venture capital firm specializing in seed, growth capital, early and mid stage investments. The firm focuses to invest in sustainability, life science, technology, transformative biomedical and healthcare technologies focusing on digital health, diagnostics, and therapeutics sectors. It also prefers to invest in companies that significantly improve the health and well-being of people with chronic diseases. Within digital health it focuses on data analytics, wearable technologies, and devices. The firm seeks to invest in companies based in European developed markets, United Kingdom and in the United States. It typically invests up to £15 million ($20.32 million), but may consider larger amounts. It prefers to hold a controlling interest in all principal subsidiaries. The firm prefers to invest through its balance sheet investments. NetScientific plc was founded in 2008 and is based in London, United Kingdom.",26,"{'maxAge': 1, 'name': 'Ms. Hannah  Jarvis', 'title': 'Financial Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,61.5,60.41,60.41,60.41,61.5,60.41,60.41,60.41,0.0,1.612612,-19.83871,1427,1427,22029,14809,14809,60.0,63.0,0,0,14469782,42.22,88.0,14.412133,60.37,67.595,0.0,0.0,GBp,14249211,0.0,14400349,23528100,0.39554,0.0442,1.1,55.90909,1672444800,1703980800,1672444800,-3094000,-0.14,-3.1,1:10,1598313600,14.192,-3.866,LSE,EQUITY,NSCI.L,NSCI.L,NETSCIENTIFIC PLC ORD 5P,NetScientific plc,1379314800,Europe/London,BST,3600000,61.5,none,852000,0.036,-3686000,1254000,0.515,0.582,1004000,4.968,0.045,-0.09822,-0.16795,782000,-212500,-3107000,-0.124,0.77888,0.0,-3.88546,GBP,
