,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1560 Trapelo Road,Waltham,MA,02451,United States,781 786 8230,781 786 8866,https://www.dyne-tx.com,Biotechnology,Healthcare,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapeutics. Dyne Therapeutics, Inc. was incorporated in 2017 and is headquartered in Waltham, Massachusetts.",134,"{'maxAge': 1, 'name': 'Mr. Joshua T. Brumm', 'age': 44, 'title': 'CEO, Pres & Director', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 946496, 'exercisedValue': 0, 'unexercisedValue': 5469602}",7,7,10,8,9,1693526400,1672444800,86400,2,9.34,9.48,8.59,9.5,9.34,9.48,8.59,9.5,0.0,0.157276,-2.967949,1191983,1191983,458619,584920,584920,3.7,9.31,800,800,565049856,8.04,15.6,11.0741,12.00905,0.0,0.0,USD,391234336,0.0,39818918,61020500,5628697,5190463,1690761600,1693440000,0.0922,0.013099999,1.04967,17.53,0.1258,3.391,2.730758,1672444800,1703980800,1688083200,-189300992,-3.22,-3.12,-2.027,NMS,EQUITY,DYN,DYN,"Dyne Therapeutics, Inc.","Dyne Therapeutics, Inc.",1600349400,America/New_York,EDT,-14400000,9.26,34.0,20.0,27.0,27.0,1.4,strong_buy,7,207732992,3.404,-192984000,29036000,10.273,10.542,14.035,-0.41132998,-0.7665,-108828624,-174547008,0.0,0.0,0.0,USD,
1,1560 Trapelo Road,Waltham,MA,02451,United States,781 786 8230,781 786 8866,https://www.dyne-tx.com,Biotechnology,Healthcare,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapeutics. Dyne Therapeutics, Inc. was incorporated in 2017 and is headquartered in Waltham, Massachusetts.",134,"{'maxAge': 1, 'name': 'Ms. Susanna Gatti High M.B.A.', 'age': 54, 'title': 'Chief Operating Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 655496, 'exercisedValue': 0, 'unexercisedValue': 1339234}",7,7,10,8,9,1693526400,1672444800,86400,2,9.34,9.48,8.59,9.5,9.34,9.48,8.59,9.5,0.0,0.157276,-2.967949,1191983,1191983,458619,584920,584920,3.7,9.31,800,800,565049856,8.04,15.6,11.0741,12.00905,0.0,0.0,USD,391234336,0.0,39818918,61020500,5628697,5190463,1690761600,1693440000,0.0922,0.013099999,1.04967,17.53,0.1258,3.391,2.730758,1672444800,1703980800,1688083200,-189300992,-3.22,-3.12,-2.027,NMS,EQUITY,DYN,DYN,"Dyne Therapeutics, Inc.","Dyne Therapeutics, Inc.",1600349400,America/New_York,EDT,-14400000,9.26,34.0,20.0,27.0,27.0,1.4,strong_buy,7,207732992,3.404,-192984000,29036000,10.273,10.542,14.035,-0.41132998,-0.7665,-108828624,-174547008,0.0,0.0,0.0,USD,
2,1560 Trapelo Road,Waltham,MA,02451,United States,781 786 8230,781 786 8866,https://www.dyne-tx.com,Biotechnology,Healthcare,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapeutics. Dyne Therapeutics, Inc. was incorporated in 2017 and is headquartered in Waltham, Massachusetts.",134,"{'maxAge': 1, 'name': 'Dr. Oxana  Beskrovnaya Ph.D.', 'age': 60, 'title': 'Chief Scientific Officer', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 631076, 'exercisedValue': 0, 'unexercisedValue': 1167727}",7,7,10,8,9,1693526400,1672444800,86400,2,9.34,9.48,8.59,9.5,9.34,9.48,8.59,9.5,0.0,0.157276,-2.967949,1191983,1191983,458619,584920,584920,3.7,9.31,800,800,565049856,8.04,15.6,11.0741,12.00905,0.0,0.0,USD,391234336,0.0,39818918,61020500,5628697,5190463,1690761600,1693440000,0.0922,0.013099999,1.04967,17.53,0.1258,3.391,2.730758,1672444800,1703980800,1688083200,-189300992,-3.22,-3.12,-2.027,NMS,EQUITY,DYN,DYN,"Dyne Therapeutics, Inc.","Dyne Therapeutics, Inc.",1600349400,America/New_York,EDT,-14400000,9.26,34.0,20.0,27.0,27.0,1.4,strong_buy,7,207732992,3.404,-192984000,29036000,10.273,10.542,14.035,-0.41132998,-0.7665,-108828624,-174547008,0.0,0.0,0.0,USD,
3,1560 Trapelo Road,Waltham,MA,02451,United States,781 786 8230,781 786 8866,https://www.dyne-tx.com,Biotechnology,Healthcare,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapeutics. Dyne Therapeutics, Inc. was incorporated in 2017 and is headquartered in Waltham, Massachusetts.",134,"{'maxAge': 1, 'name': 'Dr. Romesh  Subramanian Ph.D.', 'age': 57, 'title': 'Co-Founder & Advisor', 'yearBorn': 1965, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,10,8,9,1693526400,1672444800,86400,2,9.34,9.48,8.59,9.5,9.34,9.48,8.59,9.5,0.0,0.157276,-2.967949,1191983,1191983,458619,584920,584920,3.7,9.31,800,800,565049856,8.04,15.6,11.0741,12.00905,0.0,0.0,USD,391234336,0.0,39818918,61020500,5628697,5190463,1690761600,1693440000,0.0922,0.013099999,1.04967,17.53,0.1258,3.391,2.730758,1672444800,1703980800,1688083200,-189300992,-3.22,-3.12,-2.027,NMS,EQUITY,DYN,DYN,"Dyne Therapeutics, Inc.","Dyne Therapeutics, Inc.",1600349400,America/New_York,EDT,-14400000,9.26,34.0,20.0,27.0,27.0,1.4,strong_buy,7,207732992,3.404,-192984000,29036000,10.273,10.542,14.035,-0.41132998,-0.7665,-108828624,-174547008,0.0,0.0,0.0,USD,
4,1560 Trapelo Road,Waltham,MA,02451,United States,781 786 8230,781 786 8866,https://www.dyne-tx.com,Biotechnology,Healthcare,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapeutics. Dyne Therapeutics, Inc. was incorporated in 2017 and is headquartered in Waltham, Massachusetts.",134,"{'maxAge': 1, 'name': 'Mr. Richard William Scalzo M.B.A.', 'age': 35, 'title': 'Sr. VP and Head of Fin. & Admin.', 'yearBorn': 1987, 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,10,8,9,1693526400,1672444800,86400,2,9.34,9.48,8.59,9.5,9.34,9.48,8.59,9.5,0.0,0.157276,-2.967949,1191983,1191983,458619,584920,584920,3.7,9.31,800,800,565049856,8.04,15.6,11.0741,12.00905,0.0,0.0,USD,391234336,0.0,39818918,61020500,5628697,5190463,1690761600,1693440000,0.0922,0.013099999,1.04967,17.53,0.1258,3.391,2.730758,1672444800,1703980800,1688083200,-189300992,-3.22,-3.12,-2.027,NMS,EQUITY,DYN,DYN,"Dyne Therapeutics, Inc.","Dyne Therapeutics, Inc.",1600349400,America/New_York,EDT,-14400000,9.26,34.0,20.0,27.0,27.0,1.4,strong_buy,7,207732992,3.404,-192984000,29036000,10.273,10.542,14.035,-0.41132998,-0.7665,-108828624,-174547008,0.0,0.0,0.0,USD,
5,1560 Trapelo Road,Waltham,MA,02451,United States,781 786 8230,781 786 8866,https://www.dyne-tx.com,Biotechnology,Healthcare,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapeutics. Dyne Therapeutics, Inc. was incorporated in 2017 and is headquartered in Waltham, Massachusetts.",134,"{'maxAge': 1, 'name': 'Mr. John  Najim M.B.A.', 'title': 'Chief Technical Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,10,8,9,1693526400,1672444800,86400,2,9.34,9.48,8.59,9.5,9.34,9.48,8.59,9.5,0.0,0.157276,-2.967949,1191983,1191983,458619,584920,584920,3.7,9.31,800,800,565049856,8.04,15.6,11.0741,12.00905,0.0,0.0,USD,391234336,0.0,39818918,61020500,5628697,5190463,1690761600,1693440000,0.0922,0.013099999,1.04967,17.53,0.1258,3.391,2.730758,1672444800,1703980800,1688083200,-189300992,-3.22,-3.12,-2.027,NMS,EQUITY,DYN,DYN,"Dyne Therapeutics, Inc.","Dyne Therapeutics, Inc.",1600349400,America/New_York,EDT,-14400000,9.26,34.0,20.0,27.0,27.0,1.4,strong_buy,7,207732992,3.404,-192984000,29036000,10.273,10.542,14.035,-0.41132998,-0.7665,-108828624,-174547008,0.0,0.0,0.0,USD,
6,1560 Trapelo Road,Waltham,MA,02451,United States,781 786 8230,781 786 8866,https://www.dyne-tx.com,Biotechnology,Healthcare,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapeutics. Dyne Therapeutics, Inc. was incorporated in 2017 and is headquartered in Waltham, Massachusetts.",134,"{'maxAge': 1, 'name': 'Ms. Amy  Reilly', 'age': 48, 'title': 'Sr. VP and Head of Corp. Communications & Investor Relations', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,10,8,9,1693526400,1672444800,86400,2,9.34,9.48,8.59,9.5,9.34,9.48,8.59,9.5,0.0,0.157276,-2.967949,1191983,1191983,458619,584920,584920,3.7,9.31,800,800,565049856,8.04,15.6,11.0741,12.00905,0.0,0.0,USD,391234336,0.0,39818918,61020500,5628697,5190463,1690761600,1693440000,0.0922,0.013099999,1.04967,17.53,0.1258,3.391,2.730758,1672444800,1703980800,1688083200,-189300992,-3.22,-3.12,-2.027,NMS,EQUITY,DYN,DYN,"Dyne Therapeutics, Inc.","Dyne Therapeutics, Inc.",1600349400,America/New_York,EDT,-14400000,9.26,34.0,20.0,27.0,27.0,1.4,strong_buy,7,207732992,3.404,-192984000,29036000,10.273,10.542,14.035,-0.41132998,-0.7665,-108828624,-174547008,0.0,0.0,0.0,USD,
7,1560 Trapelo Road,Waltham,MA,02451,United States,781 786 8230,781 786 8866,https://www.dyne-tx.com,Biotechnology,Healthcare,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapeutics. Dyne Therapeutics, Inc. was incorporated in 2017 and is headquartered in Waltham, Massachusetts.",134,"{'maxAge': 1, 'name': 'Mr. Daniel  Wilson', 'age': 50, 'title': 'Sr. VP & Head of Legal', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,10,8,9,1693526400,1672444800,86400,2,9.34,9.48,8.59,9.5,9.34,9.48,8.59,9.5,0.0,0.157276,-2.967949,1191983,1191983,458619,584920,584920,3.7,9.31,800,800,565049856,8.04,15.6,11.0741,12.00905,0.0,0.0,USD,391234336,0.0,39818918,61020500,5628697,5190463,1690761600,1693440000,0.0922,0.013099999,1.04967,17.53,0.1258,3.391,2.730758,1672444800,1703980800,1688083200,-189300992,-3.22,-3.12,-2.027,NMS,EQUITY,DYN,DYN,"Dyne Therapeutics, Inc.","Dyne Therapeutics, Inc.",1600349400,America/New_York,EDT,-14400000,9.26,34.0,20.0,27.0,27.0,1.4,strong_buy,7,207732992,3.404,-192984000,29036000,10.273,10.542,14.035,-0.41132998,-0.7665,-108828624,-174547008,0.0,0.0,0.0,USD,
8,1560 Trapelo Road,Waltham,MA,02451,United States,781 786 8230,781 786 8866,https://www.dyne-tx.com,Biotechnology,Healthcare,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapeutics. Dyne Therapeutics, Inc. was incorporated in 2017 and is headquartered in Waltham, Massachusetts.",134,"{'maxAge': 1, 'name': 'Ms. Kate  Mitchell', 'title': 'VP & Head of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,10,8,9,1693526400,1672444800,86400,2,9.34,9.48,8.59,9.5,9.34,9.48,8.59,9.5,0.0,0.157276,-2.967949,1191983,1191983,458619,584920,584920,3.7,9.31,800,800,565049856,8.04,15.6,11.0741,12.00905,0.0,0.0,USD,391234336,0.0,39818918,61020500,5628697,5190463,1690761600,1693440000,0.0922,0.013099999,1.04967,17.53,0.1258,3.391,2.730758,1672444800,1703980800,1688083200,-189300992,-3.22,-3.12,-2.027,NMS,EQUITY,DYN,DYN,"Dyne Therapeutics, Inc.","Dyne Therapeutics, Inc.",1600349400,America/New_York,EDT,-14400000,9.26,34.0,20.0,27.0,27.0,1.4,strong_buy,7,207732992,3.404,-192984000,29036000,10.273,10.542,14.035,-0.41132998,-0.7665,-108828624,-174547008,0.0,0.0,0.0,USD,
9,1560 Trapelo Road,Waltham,MA,02451,United States,781 786 8230,781 786 8866,https://www.dyne-tx.com,Biotechnology,Healthcare,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapeutics. Dyne Therapeutics, Inc. was incorporated in 2017 and is headquartered in Waltham, Massachusetts.",134,"{'maxAge': 1, 'name': 'Ms. Debra  Feldman', 'age': 51, 'title': 'Chief Regulatory Affairs Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,10,8,9,1693526400,1672444800,86400,2,9.34,9.48,8.59,9.5,9.34,9.48,8.59,9.5,0.0,0.157276,-2.967949,1191983,1191983,458619,584920,584920,3.7,9.31,800,800,565049856,8.04,15.6,11.0741,12.00905,0.0,0.0,USD,391234336,0.0,39818918,61020500,5628697,5190463,1690761600,1693440000,0.0922,0.013099999,1.04967,17.53,0.1258,3.391,2.730758,1672444800,1703980800,1688083200,-189300992,-3.22,-3.12,-2.027,NMS,EQUITY,DYN,DYN,"Dyne Therapeutics, Inc.","Dyne Therapeutics, Inc.",1600349400,America/New_York,EDT,-14400000,9.26,34.0,20.0,27.0,27.0,1.4,strong_buy,7,207732992,3.404,-192984000,29036000,10.273,10.542,14.035,-0.41132998,-0.7665,-108828624,-174547008,0.0,0.0,0.0,USD,
