,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Vanderbilt Avenue,New York,NY,10017-3852,United States,212 594 2700,212 216 1790,https://www.slgreen.com,REIT—Office,Real Estate,"SL Green Realty Corp., Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of June 30, 2023, SL Green held interests in 60 buildings totaling 33.1 million square feet. This included ownership interests in 28.8 million square feet of Manhattan buildings and 3.4 million square feet securing debt and preferred equity investments.",1137,"{'maxAge': 1, 'name': 'Mr. Marc  Holliday', 'age': 56, 'title': 'Chairman & CEO', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 2376154, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,10,8,9,1693526400,1672444800,86400,2,40.42,40.03,39.68,41.345,40.42,40.03,39.68,41.345,3.25,0.0804,1693353600,6.31,1.558091,-75.145454,2442834,2442834,2250545,1664850,1664850,40.8,41.34,900,900,2673844480,19.06,47.32,3.348425,35.8912,31.48865,3.449,0.08532905,USD,7863218688,-0.54503,64133640,64388000,16885914,16085612,1690761600,1693440000,0.26229998,0.00399,0.88303,11.83,0.38009998,60.121,0.687447,1672444800,1703980800,1688083200,-458860992,-7.34,-0.55,0.94,1:1,1642982400,9.847,24.952,NYQ,EQUITY,SLG,SLG,SL Green Realty Corp,SL Green Realty Corp.,871651800,America/New_York,EDT,-14400000,41.33,70.0,17.0,34.86,33.0,3.1,hold,14,259039008,4.023,315136000,4809920000,1.321,1.611,798537984,105.002,12.483,0.00332,-0.09538999,424147000,197449648,197644992,0.011,0.52085,0.39464,0.06902,USD,
1,One Vanderbilt Avenue,New York,NY,10017-3852,United States,212 594 2700,212 216 1790,https://www.slgreen.com,REIT—Office,Real Estate,"SL Green Realty Corp., Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of June 30, 2023, SL Green held interests in 60 buildings totaling 33.1 million square feet. This included ownership interests in 28.8 million square feet of Manhattan buildings and 3.4 million square feet securing debt and preferred equity investments.",1137,"{'maxAge': 1, 'name': 'Mr. Andrew W. Mathias', 'age': 48, 'title': 'Pres & Director', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 1005570, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,10,8,9,1693526400,1672444800,86400,2,40.42,40.03,39.68,41.345,40.42,40.03,39.68,41.345,3.25,0.0804,1693353600,6.31,1.558091,-75.145454,2442834,2442834,2250545,1664850,1664850,40.8,41.34,900,900,2673844480,19.06,47.32,3.348425,35.8912,31.48865,3.449,0.08532905,USD,7863218688,-0.54503,64133640,64388000,16885914,16085612,1690761600,1693440000,0.26229998,0.00399,0.88303,11.83,0.38009998,60.121,0.687447,1672444800,1703980800,1688083200,-458860992,-7.34,-0.55,0.94,1:1,1642982400,9.847,24.952,NYQ,EQUITY,SLG,SLG,SL Green Realty Corp,SL Green Realty Corp.,871651800,America/New_York,EDT,-14400000,41.33,70.0,17.0,34.86,33.0,3.1,hold,14,259039008,4.023,315136000,4809920000,1.321,1.611,798537984,105.002,12.483,0.00332,-0.09538999,424147000,197449648,197644992,0.011,0.52085,0.39464,0.06902,USD,
2,One Vanderbilt Avenue,New York,NY,10017-3852,United States,212 594 2700,212 216 1790,https://www.slgreen.com,REIT—Office,Real Estate,"SL Green Realty Corp., Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of June 30, 2023, SL Green held interests in 60 buildings totaling 33.1 million square feet. This included ownership interests in 28.8 million square feet of Manhattan buildings and 3.4 million square feet securing debt and preferred equity investments.",1137,"{'maxAge': 1, 'name': 'Mr. Matthew J. DiLiberto', 'age': 48, 'title': 'Chief Financial Officer', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 1312200, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,10,8,9,1693526400,1672444800,86400,2,40.42,40.03,39.68,41.345,40.42,40.03,39.68,41.345,3.25,0.0804,1693353600,6.31,1.558091,-75.145454,2442834,2442834,2250545,1664850,1664850,40.8,41.34,900,900,2673844480,19.06,47.32,3.348425,35.8912,31.48865,3.449,0.08532905,USD,7863218688,-0.54503,64133640,64388000,16885914,16085612,1690761600,1693440000,0.26229998,0.00399,0.88303,11.83,0.38009998,60.121,0.687447,1672444800,1703980800,1688083200,-458860992,-7.34,-0.55,0.94,1:1,1642982400,9.847,24.952,NYQ,EQUITY,SLG,SLG,SL Green Realty Corp,SL Green Realty Corp.,871651800,America/New_York,EDT,-14400000,41.33,70.0,17.0,34.86,33.0,3.1,hold,14,259039008,4.023,315136000,4809920000,1.321,1.611,798537984,105.002,12.483,0.00332,-0.09538999,424147000,197449648,197644992,0.011,0.52085,0.39464,0.06902,USD,
3,One Vanderbilt Avenue,New York,NY,10017-3852,United States,212 594 2700,212 216 1790,https://www.slgreen.com,REIT—Office,Real Estate,"SL Green Realty Corp., Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of June 30, 2023, SL Green held interests in 60 buildings totaling 33.1 million square feet. This included ownership interests in 28.8 million square feet of Manhattan buildings and 3.4 million square feet securing debt and preferred equity investments.",1137,"{'maxAge': 1, 'name': 'Mr. Andrew S. Levine', 'age': 63, 'title': 'Chief Legal Officer, Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 592200, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,10,8,9,1693526400,1672444800,86400,2,40.42,40.03,39.68,41.345,40.42,40.03,39.68,41.345,3.25,0.0804,1693353600,6.31,1.558091,-75.145454,2442834,2442834,2250545,1664850,1664850,40.8,41.34,900,900,2673844480,19.06,47.32,3.348425,35.8912,31.48865,3.449,0.08532905,USD,7863218688,-0.54503,64133640,64388000,16885914,16085612,1690761600,1693440000,0.26229998,0.00399,0.88303,11.83,0.38009998,60.121,0.687447,1672444800,1703980800,1688083200,-458860992,-7.34,-0.55,0.94,1:1,1642982400,9.847,24.952,NYQ,EQUITY,SLG,SLG,SL Green Realty Corp,SL Green Realty Corp.,871651800,America/New_York,EDT,-14400000,41.33,70.0,17.0,34.86,33.0,3.1,hold,14,259039008,4.023,315136000,4809920000,1.321,1.611,798537984,105.002,12.483,0.00332,-0.09538999,424147000,197449648,197644992,0.011,0.52085,0.39464,0.06902,USD,
4,One Vanderbilt Avenue,New York,NY,10017-3852,United States,212 594 2700,212 216 1790,https://www.slgreen.com,REIT—Office,Real Estate,"SL Green Realty Corp., Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of June 30, 2023, SL Green held interests in 60 buildings totaling 33.1 million square feet. This included ownership interests in 28.8 million square feet of Manhattan buildings and 3.4 million square feet securing debt and preferred equity investments.",1137,"{'maxAge': 1, 'name': 'Mr. Edward V. Piccinich', 'age': 59, 'title': 'Chief Operating Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,10,8,9,1693526400,1672444800,86400,2,40.42,40.03,39.68,41.345,40.42,40.03,39.68,41.345,3.25,0.0804,1693353600,6.31,1.558091,-75.145454,2442834,2442834,2250545,1664850,1664850,40.8,41.34,900,900,2673844480,19.06,47.32,3.348425,35.8912,31.48865,3.449,0.08532905,USD,7863218688,-0.54503,64133640,64388000,16885914,16085612,1690761600,1693440000,0.26229998,0.00399,0.88303,11.83,0.38009998,60.121,0.687447,1672444800,1703980800,1688083200,-458860992,-7.34,-0.55,0.94,1:1,1642982400,9.847,24.952,NYQ,EQUITY,SLG,SLG,SL Green Realty Corp,SL Green Realty Corp.,871651800,America/New_York,EDT,-14400000,41.33,70.0,17.0,34.86,33.0,3.1,hold,14,259039008,4.023,315136000,4809920000,1.321,1.611,798537984,105.002,12.483,0.00332,-0.09538999,424147000,197449648,197644992,0.011,0.52085,0.39464,0.06902,USD,
5,One Vanderbilt Avenue,New York,NY,10017-3852,United States,212 594 2700,212 216 1790,https://www.slgreen.com,REIT—Office,Real Estate,"SL Green Realty Corp., Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of June 30, 2023, SL Green held interests in 60 buildings totaling 33.1 million square feet. This included ownership interests in 28.8 million square feet of Manhattan buildings and 3.4 million square feet securing debt and preferred equity investments.",1137,"{'maxAge': 1, 'name': 'Mr. Harrison  Sitomer', 'title': 'Chief Investment Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,10,8,9,1693526400,1672444800,86400,2,40.42,40.03,39.68,41.345,40.42,40.03,39.68,41.345,3.25,0.0804,1693353600,6.31,1.558091,-75.145454,2442834,2442834,2250545,1664850,1664850,40.8,41.34,900,900,2673844480,19.06,47.32,3.348425,35.8912,31.48865,3.449,0.08532905,USD,7863218688,-0.54503,64133640,64388000,16885914,16085612,1690761600,1693440000,0.26229998,0.00399,0.88303,11.83,0.38009998,60.121,0.687447,1672444800,1703980800,1688083200,-458860992,-7.34,-0.55,0.94,1:1,1642982400,9.847,24.952,NYQ,EQUITY,SLG,SLG,SL Green Realty Corp,SL Green Realty Corp.,871651800,America/New_York,EDT,-14400000,41.33,70.0,17.0,34.86,33.0,3.1,hold,14,259039008,4.023,315136000,4809920000,1.321,1.611,798537984,105.002,12.483,0.00332,-0.09538999,424147000,197449648,197644992,0.011,0.52085,0.39464,0.06902,USD,
6,One Vanderbilt Avenue,New York,NY,10017-3852,United States,212 594 2700,212 216 1790,https://www.slgreen.com,REIT—Office,Real Estate,"SL Green Realty Corp., Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of June 30, 2023, SL Green held interests in 60 buildings totaling 33.1 million square feet. This included ownership interests in 28.8 million square feet of Manhattan buildings and 3.4 million square feet securing debt and preferred equity investments.",1137,"{'maxAge': 1, 'name': 'Ms. Maggie  Hui', 'age': 58, 'title': 'Chief Accounting Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,10,8,9,1693526400,1672444800,86400,2,40.42,40.03,39.68,41.345,40.42,40.03,39.68,41.345,3.25,0.0804,1693353600,6.31,1.558091,-75.145454,2442834,2442834,2250545,1664850,1664850,40.8,41.34,900,900,2673844480,19.06,47.32,3.348425,35.8912,31.48865,3.449,0.08532905,USD,7863218688,-0.54503,64133640,64388000,16885914,16085612,1690761600,1693440000,0.26229998,0.00399,0.88303,11.83,0.38009998,60.121,0.687447,1672444800,1703980800,1688083200,-458860992,-7.34,-0.55,0.94,1:1,1642982400,9.847,24.952,NYQ,EQUITY,SLG,SLG,SL Green Realty Corp,SL Green Realty Corp.,871651800,America/New_York,EDT,-14400000,41.33,70.0,17.0,34.86,33.0,3.1,hold,14,259039008,4.023,315136000,4809920000,1.321,1.611,798537984,105.002,12.483,0.00332,-0.09538999,424147000,197449648,197644992,0.011,0.52085,0.39464,0.06902,USD,
7,One Vanderbilt Avenue,New York,NY,10017-3852,United States,212 594 2700,212 216 1790,https://www.slgreen.com,REIT—Office,Real Estate,"SL Green Realty Corp., Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of June 30, 2023, SL Green held interests in 60 buildings totaling 33.1 million square feet. This included ownership interests in 28.8 million square feet of Manhattan buildings and 3.4 million square feet securing debt and preferred equity investments.",1137,"{'maxAge': 1, 'name': 'Mr. Christopher  Gulden', 'title': 'Sr. VP of Leasing', 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,10,8,9,1693526400,1672444800,86400,2,40.42,40.03,39.68,41.345,40.42,40.03,39.68,41.345,3.25,0.0804,1693353600,6.31,1.558091,-75.145454,2442834,2442834,2250545,1664850,1664850,40.8,41.34,900,900,2673844480,19.06,47.32,3.348425,35.8912,31.48865,3.449,0.08532905,USD,7863218688,-0.54503,64133640,64388000,16885914,16085612,1690761600,1693440000,0.26229998,0.00399,0.88303,11.83,0.38009998,60.121,0.687447,1672444800,1703980800,1688083200,-458860992,-7.34,-0.55,0.94,1:1,1642982400,9.847,24.952,NYQ,EQUITY,SLG,SLG,SL Green Realty Corp,SL Green Realty Corp.,871651800,America/New_York,EDT,-14400000,41.33,70.0,17.0,34.86,33.0,3.1,hold,14,259039008,4.023,315136000,4809920000,1.321,1.611,798537984,105.002,12.483,0.00332,-0.09538999,424147000,197449648,197644992,0.011,0.52085,0.39464,0.06902,USD,
8,One Vanderbilt Avenue,New York,NY,10017-3852,United States,212 594 2700,212 216 1790,https://www.slgreen.com,REIT—Office,Real Estate,"SL Green Realty Corp., Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of June 30, 2023, SL Green held interests in 60 buildings totaling 33.1 million square feet. This included ownership interests in 28.8 million square feet of Manhattan buildings and 3.4 million square feet securing debt and preferred equity investments.",1137,"{'maxAge': 1, 'name': 'Mr. Steven M. Durels', 'age': 63, 'title': 'Exec. VP & Director of Leasing & Real Property', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,10,8,9,1693526400,1672444800,86400,2,40.42,40.03,39.68,41.345,40.42,40.03,39.68,41.345,3.25,0.0804,1693353600,6.31,1.558091,-75.145454,2442834,2442834,2250545,1664850,1664850,40.8,41.34,900,900,2673844480,19.06,47.32,3.348425,35.8912,31.48865,3.449,0.08532905,USD,7863218688,-0.54503,64133640,64388000,16885914,16085612,1690761600,1693440000,0.26229998,0.00399,0.88303,11.83,0.38009998,60.121,0.687447,1672444800,1703980800,1688083200,-458860992,-7.34,-0.55,0.94,1:1,1642982400,9.847,24.952,NYQ,EQUITY,SLG,SLG,SL Green Realty Corp,SL Green Realty Corp.,871651800,America/New_York,EDT,-14400000,41.33,70.0,17.0,34.86,33.0,3.1,hold,14,259039008,4.023,315136000,4809920000,1.321,1.611,798537984,105.002,12.483,0.00332,-0.09538999,424147000,197449648,197644992,0.011,0.52085,0.39464,0.06902,USD,
9,One Vanderbilt Avenue,New York,NY,10017-3852,United States,212 594 2700,212 216 1790,https://www.slgreen.com,REIT—Office,Real Estate,"SL Green Realty Corp., Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of June 30, 2023, SL Green held interests in 60 buildings totaling 33.1 million square feet. This included ownership interests in 28.8 million square feet of Manhattan buildings and 3.4 million square feet securing debt and preferred equity investments.",1137,"{'maxAge': 1, 'name': 'Mr. Neil H. Kessner', 'title': 'Exec. VP & Gen. Counsel of Real Property', 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,10,8,9,1693526400,1672444800,86400,2,40.42,40.03,39.68,41.345,40.42,40.03,39.68,41.345,3.25,0.0804,1693353600,6.31,1.558091,-75.145454,2442834,2442834,2250545,1664850,1664850,40.8,41.34,900,900,2673844480,19.06,47.32,3.348425,35.8912,31.48865,3.449,0.08532905,USD,7863218688,-0.54503,64133640,64388000,16885914,16085612,1690761600,1693440000,0.26229998,0.00399,0.88303,11.83,0.38009998,60.121,0.687447,1672444800,1703980800,1688083200,-458860992,-7.34,-0.55,0.94,1:1,1642982400,9.847,24.952,NYQ,EQUITY,SLG,SLG,SL Green Realty Corp,SL Green Realty Corp.,871651800,America/New_York,EDT,-14400000,41.33,70.0,17.0,34.86,33.0,3.1,hold,14,259039008,4.023,315136000,4809920000,1.321,1.611,798537984,105.002,12.483,0.00332,-0.09538999,424147000,197449648,197644992,0.011,0.52085,0.39464,0.06902,USD,
