,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1900 Market Street,Suite 200,Philadelphia,PA,19103,United States,215 405 5700,https://www.abrdnvfl.com/,Asset Management,Financial Services,"abrdn National Municipal Income Fund is a closed-ended fixed income mutual fund launched and managed by abrdn Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade municipal obligations, the income from which is exempt from federal income taxes. Its investments include airport revenue bonds, escrowed to maturity bonds, hospital revenue bonds, pre-refunded bonds, public power revenue bonds, school district general obligation bonds, and short term investments. The fund benchmarks the performance of its portfolio against the Barclays Municipal Bond Index and Lipper CE General & Insured Municipal Debt Funds (Leveraged) Average. abrdn National Municipal Income Fund was formed on February 26, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. John P. McCarthy Jr.', 'age': 60, 'title': 'VP', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.18,9.27,9.17,9.27,9.18,9.27,9.17,9.27,0.39,0.0423,1695254400,4.54,0.402835,20785,20785,37535,50630,50630,8.95,10.56,900,1200,113203160,9.17,11.86,7.449526,9.7046,10.34355,0.54,0.05882353,USD,212203184,-1.74657,12278000,7192,4496,1690761600,1693440000,0.00059999997,0.0,0.073979996,0.19,0.00059999997,11.785,0.7823505,1680220800,1711843200,1680220800,-26540964,-1.26,13.964,NYQ,EQUITY,VFL,VFL,3404,abrdn National Municipal Income Fund,730132200,America/New_York,EDT,-14400000,9.22,none,99000000,0.357,0.357,15196022,68.417,1.238,0.015319999,-0.12362,3924092,145442176,1.187,1.0,0.0,0.56986,USD,
1,1900 Market Street,Suite 200,Philadelphia,PA,19103,United States,215 405 5700,https://www.abrdnvfl.com/,Asset Management,Financial Services,"abrdn National Municipal Income Fund is a closed-ended fixed income mutual fund launched and managed by abrdn Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade municipal obligations, the income from which is exempt from federal income taxes. Its investments include airport revenue bonds, escrowed to maturity bonds, hospital revenue bonds, pre-refunded bonds, public power revenue bonds, school district general obligation bonds, and short term investments. The fund benchmarks the performance of its portfolio against the Barclays Municipal Bond Index and Lipper CE General & Insured Municipal Debt Funds (Leveraged) Average. abrdn National Municipal Income Fund was formed on February 26, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Kevin J. Brown', 'age': 60, 'title': 'VP', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.18,9.27,9.17,9.27,9.18,9.27,9.17,9.27,0.39,0.0423,1695254400,4.54,0.402835,20785,20785,37535,50630,50630,8.95,10.56,900,1200,113203160,9.17,11.86,7.449526,9.7046,10.34355,0.54,0.05882353,USD,212203184,-1.74657,12278000,7192,4496,1690761600,1693440000,0.00059999997,0.0,0.073979996,0.19,0.00059999997,11.785,0.7823505,1680220800,1711843200,1680220800,-26540964,-1.26,13.964,NYQ,EQUITY,VFL,VFL,3404,abrdn National Municipal Income Fund,730132200,America/New_York,EDT,-14400000,9.22,none,99000000,0.357,0.357,15196022,68.417,1.238,0.015319999,-0.12362,3924092,145442176,1.187,1.0,0.0,0.56986,USD,
2,1900 Market Street,Suite 200,Philadelphia,PA,19103,United States,215 405 5700,https://www.abrdnvfl.com/,Asset Management,Financial Services,"abrdn National Municipal Income Fund is a closed-ended fixed income mutual fund launched and managed by abrdn Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade municipal obligations, the income from which is exempt from federal income taxes. Its investments include airport revenue bonds, escrowed to maturity bonds, hospital revenue bonds, pre-refunded bonds, public power revenue bonds, school district general obligation bonds, and short term investments. The fund benchmarks the performance of its portfolio against the Barclays Municipal Bond Index and Lipper CE General & Insured Municipal Debt Funds (Leveraged) Average. abrdn National Municipal Income Fund was formed on February 26, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Joseph R. Baxter', 'title': 'Sr. VP, Head of Municipal Bond Department & Sr. Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.18,9.27,9.17,9.27,9.18,9.27,9.17,9.27,0.39,0.0423,1695254400,4.54,0.402835,20785,20785,37535,50630,50630,8.95,10.56,900,1200,113203160,9.17,11.86,7.449526,9.7046,10.34355,0.54,0.05882353,USD,212203184,-1.74657,12278000,7192,4496,1690761600,1693440000,0.00059999997,0.0,0.073979996,0.19,0.00059999997,11.785,0.7823505,1680220800,1711843200,1680220800,-26540964,-1.26,13.964,NYQ,EQUITY,VFL,VFL,3404,abrdn National Municipal Income Fund,730132200,America/New_York,EDT,-14400000,9.22,none,99000000,0.357,0.357,15196022,68.417,1.238,0.015319999,-0.12362,3924092,145442176,1.187,1.0,0.0,0.56986,USD,
3,1900 Market Street,Suite 200,Philadelphia,PA,19103,United States,215 405 5700,https://www.abrdnvfl.com/,Asset Management,Financial Services,"abrdn National Municipal Income Fund is a closed-ended fixed income mutual fund launched and managed by abrdn Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade municipal obligations, the income from which is exempt from federal income taxes. Its investments include airport revenue bonds, escrowed to maturity bonds, hospital revenue bonds, pre-refunded bonds, public power revenue bonds, school district general obligation bonds, and short term investments. The fund benchmarks the performance of its portfolio against the Barclays Municipal Bond Index and Lipper CE General & Insured Municipal Debt Funds (Leveraged) Average. abrdn National Municipal Income Fund was formed on February 26, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Denise A. Franchetti C.F.A., CFA', 'age': 59, 'title': 'Portfolio Mang.', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.18,9.27,9.17,9.27,9.18,9.27,9.17,9.27,0.39,0.0423,1695254400,4.54,0.402835,20785,20785,37535,50630,50630,8.95,10.56,900,1200,113203160,9.17,11.86,7.449526,9.7046,10.34355,0.54,0.05882353,USD,212203184,-1.74657,12278000,7192,4496,1690761600,1693440000,0.00059999997,0.0,0.073979996,0.19,0.00059999997,11.785,0.7823505,1680220800,1711843200,1680220800,-26540964,-1.26,13.964,NYQ,EQUITY,VFL,VFL,3404,abrdn National Municipal Income Fund,730132200,America/New_York,EDT,-14400000,9.22,none,99000000,0.357,0.357,15196022,68.417,1.238,0.015319999,-0.12362,3924092,145442176,1.187,1.0,0.0,0.56986,USD,
4,1900 Market Street,Suite 200,Philadelphia,PA,19103,United States,215 405 5700,https://www.abrdnvfl.com/,Asset Management,Financial Services,"abrdn National Municipal Income Fund is a closed-ended fixed income mutual fund launched and managed by abrdn Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade municipal obligations, the income from which is exempt from federal income taxes. Its investments include airport revenue bonds, escrowed to maturity bonds, hospital revenue bonds, pre-refunded bonds, public power revenue bonds, school district general obligation bonds, and short term investments. The fund benchmarks the performance of its portfolio against the Barclays Municipal Bond Index and Lipper CE General & Insured Municipal Debt Funds (Leveraged) Average. abrdn National Municipal Income Fund was formed on February 26, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Christopher S. Beck C.F.A., CFA', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.18,9.27,9.17,9.27,9.18,9.27,9.17,9.27,0.39,0.0423,1695254400,4.54,0.402835,20785,20785,37535,50630,50630,8.95,10.56,900,1200,113203160,9.17,11.86,7.449526,9.7046,10.34355,0.54,0.05882353,USD,212203184,-1.74657,12278000,7192,4496,1690761600,1693440000,0.00059999997,0.0,0.073979996,0.19,0.00059999997,11.785,0.7823505,1680220800,1711843200,1680220800,-26540964,-1.26,13.964,NYQ,EQUITY,VFL,VFL,3404,abrdn National Municipal Income Fund,730132200,America/New_York,EDT,-14400000,9.22,none,99000000,0.357,0.357,15196022,68.417,1.238,0.015319999,-0.12362,3924092,145442176,1.187,1.0,0.0,0.56986,USD,
5,1900 Market Street,Suite 200,Philadelphia,PA,19103,United States,215 405 5700,https://www.abrdnvfl.com/,Asset Management,Financial Services,"abrdn National Municipal Income Fund is a closed-ended fixed income mutual fund launched and managed by abrdn Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade municipal obligations, the income from which is exempt from federal income taxes. Its investments include airport revenue bonds, escrowed to maturity bonds, hospital revenue bonds, pre-refunded bonds, public power revenue bonds, school district general obligation bonds, and short term investments. The fund benchmarks the performance of its portfolio against the Barclays Municipal Bond Index and Lipper CE General & Insured Municipal Debt Funds (Leveraged) Average. abrdn National Municipal Income Fund was formed on February 26, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Stephen J. Czepiel', 'age': 65, 'title': 'Sr. VP & Sr. Portfolio Mang.', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.18,9.27,9.17,9.27,9.18,9.27,9.17,9.27,0.39,0.0423,1695254400,4.54,0.402835,20785,20785,37535,50630,50630,8.95,10.56,900,1200,113203160,9.17,11.86,7.449526,9.7046,10.34355,0.54,0.05882353,USD,212203184,-1.74657,12278000,7192,4496,1690761600,1693440000,0.00059999997,0.0,0.073979996,0.19,0.00059999997,11.785,0.7823505,1680220800,1711843200,1680220800,-26540964,-1.26,13.964,NYQ,EQUITY,VFL,VFL,3404,abrdn National Municipal Income Fund,730132200,America/New_York,EDT,-14400000,9.22,none,99000000,0.357,0.357,15196022,68.417,1.238,0.015319999,-0.12362,3924092,145442176,1.187,1.0,0.0,0.56986,USD,
6,1900 Market Street,Suite 200,Philadelphia,PA,19103,United States,215 405 5700,https://www.abrdnvfl.com/,Asset Management,Financial Services,"abrdn National Municipal Income Fund is a closed-ended fixed income mutual fund launched and managed by abrdn Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade municipal obligations, the income from which is exempt from federal income taxes. Its investments include airport revenue bonds, escrowed to maturity bonds, hospital revenue bonds, pre-refunded bonds, public power revenue bonds, school district general obligation bonds, and short term investments. The fund benchmarks the performance of its portfolio against the Barclays Municipal Bond Index and Lipper CE General & Insured Municipal Debt Funds (Leveraged) Average. abrdn National Municipal Income Fund was formed on February 26, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. D. Tysen Nutt Jr.', 'age': 70, 'title': 'Portfolio Mang.', 'yearBorn': 1952, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.18,9.27,9.17,9.27,9.18,9.27,9.17,9.27,0.39,0.0423,1695254400,4.54,0.402835,20785,20785,37535,50630,50630,8.95,10.56,900,1200,113203160,9.17,11.86,7.449526,9.7046,10.34355,0.54,0.05882353,USD,212203184,-1.74657,12278000,7192,4496,1690761600,1693440000,0.00059999997,0.0,0.073979996,0.19,0.00059999997,11.785,0.7823505,1680220800,1711843200,1680220800,-26540964,-1.26,13.964,NYQ,EQUITY,VFL,VFL,3404,abrdn National Municipal Income Fund,730132200,America/New_York,EDT,-14400000,9.22,none,99000000,0.357,0.357,15196022,68.417,1.238,0.015319999,-0.12362,3924092,145442176,1.187,1.0,0.0,0.56986,USD,
7,1900 Market Street,Suite 200,Philadelphia,PA,19103,United States,215 405 5700,https://www.abrdnvfl.com/,Asset Management,Financial Services,"abrdn National Municipal Income Fund is a closed-ended fixed income mutual fund launched and managed by abrdn Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade municipal obligations, the income from which is exempt from federal income taxes. Its investments include airport revenue bonds, escrowed to maturity bonds, hospital revenue bonds, pre-refunded bonds, public power revenue bonds, school district general obligation bonds, and short term investments. The fund benchmarks the performance of its portfolio against the Barclays Municipal Bond Index and Lipper CE General & Insured Municipal Debt Funds (Leveraged) Average. abrdn National Municipal Income Fund was formed on February 26, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Babak  Zenouzi', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.18,9.27,9.17,9.27,9.18,9.27,9.17,9.27,0.39,0.0423,1695254400,4.54,0.402835,20785,20785,37535,50630,50630,8.95,10.56,900,1200,113203160,9.17,11.86,7.449526,9.7046,10.34355,0.54,0.05882353,USD,212203184,-1.74657,12278000,7192,4496,1690761600,1693440000,0.00059999997,0.0,0.073979996,0.19,0.00059999997,11.785,0.7823505,1680220800,1711843200,1680220800,-26540964,-1.26,13.964,NYQ,EQUITY,VFL,VFL,3404,abrdn National Municipal Income Fund,730132200,America/New_York,EDT,-14400000,9.22,none,99000000,0.357,0.357,15196022,68.417,1.238,0.015319999,-0.12362,3924092,145442176,1.187,1.0,0.0,0.56986,USD,
8,1900 Market Street,Suite 200,Philadelphia,PA,19103,United States,215 405 5700,https://www.abrdnvfl.com/,Asset Management,Financial Services,"abrdn National Municipal Income Fund is a closed-ended fixed income mutual fund launched and managed by abrdn Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade municipal obligations, the income from which is exempt from federal income taxes. Its investments include airport revenue bonds, escrowed to maturity bonds, hospital revenue bonds, pre-refunded bonds, public power revenue bonds, school district general obligation bonds, and short term investments. The fund benchmarks the performance of its portfolio against the Barclays Municipal Bond Index and Lipper CE General & Insured Municipal Debt Funds (Leveraged) Average. abrdn National Municipal Income Fund was formed on February 26, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Francis X. Morris', 'age': 61, 'title': 'Portfolio Mang.', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.18,9.27,9.17,9.27,9.18,9.27,9.17,9.27,0.39,0.0423,1695254400,4.54,0.402835,20785,20785,37535,50630,50630,8.95,10.56,900,1200,113203160,9.17,11.86,7.449526,9.7046,10.34355,0.54,0.05882353,USD,212203184,-1.74657,12278000,7192,4496,1690761600,1693440000,0.00059999997,0.0,0.073979996,0.19,0.00059999997,11.785,0.7823505,1680220800,1711843200,1680220800,-26540964,-1.26,13.964,NYQ,EQUITY,VFL,VFL,3404,abrdn National Municipal Income Fund,730132200,America/New_York,EDT,-14400000,9.22,none,99000000,0.357,0.357,15196022,68.417,1.238,0.015319999,-0.12362,3924092,145442176,1.187,1.0,0.0,0.56986,USD,
9,1900 Market Street,Suite 200,Philadelphia,PA,19103,United States,215 405 5700,https://www.abrdnvfl.com/,Asset Management,Financial Services,"abrdn National Municipal Income Fund is a closed-ended fixed income mutual fund launched and managed by abrdn Inc. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade municipal obligations, the income from which is exempt from federal income taxes. Its investments include airport revenue bonds, escrowed to maturity bonds, hospital revenue bonds, pre-refunded bonds, public power revenue bonds, school district general obligation bonds, and short term investments. The fund benchmarks the performance of its portfolio against the Barclays Municipal Bond Index and Lipper CE General & Insured Municipal Debt Funds (Leveraged) Average. abrdn National Municipal Income Fund was formed on February 26, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Gregory A. Gizzi', 'age': 60, 'title': 'Portfolio Mang.', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,9.18,9.27,9.17,9.27,9.18,9.27,9.17,9.27,0.39,0.0423,1695254400,4.54,0.402835,20785,20785,37535,50630,50630,8.95,10.56,900,1200,113203160,9.17,11.86,7.449526,9.7046,10.34355,0.54,0.05882353,USD,212203184,-1.74657,12278000,7192,4496,1690761600,1693440000,0.00059999997,0.0,0.073979996,0.19,0.00059999997,11.785,0.7823505,1680220800,1711843200,1680220800,-26540964,-1.26,13.964,NYQ,EQUITY,VFL,VFL,3404,abrdn National Municipal Income Fund,730132200,America/New_York,EDT,-14400000,9.22,none,99000000,0.357,0.357,15196022,68.417,1.238,0.015319999,-0.12362,3924092,145442176,1.187,1.0,0.0,0.56986,USD,
