,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,6801 Brecksville Road,Door N. Independence,Cleveland,OH,44131,United States,216 447 9000,https://www.cbiz.com,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through three segments: Financial Services, Benefits and Insurance Services, and National Practices. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Cleveland, Ohio.",6500,"{'maxAge': 1, 'name': 'Mr. Jerome P. Grisko Jr.', 'age': 60, 'title': 'Pres, CEO & Director', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 2719301, 'exercisedValue': 8146812, 'unexercisedValue': 4932000}",1,3,3,2,1,1693526400,1672444800,86400,2,50.0,51.5,51.5,51.5,50.0,51.5,51.5,51.5,0.0,0.74585,23.40909,28.142076,205,205,4,0,0,50.5,51.0,300000,300000,2565848576,42.4,52.0,1.6976489,49.32,46.682,0.0,0.0,EUR,3169346048,0.07675,44487388,49822300,0.04636,0.90834,15.652,3.2903142,1672444800,1703980800,1688083200,-0.141,116013000,2.2,1.83,1.5,2.097,16.919,FRA,EQUITY,XC4.F,XC4.F,"CBIZ INC.  DL-,01","CBIZ, Inc.",1394002800,Europe/Berlin,CEST,7200000,51.5,43.0,36.0,39.5,39.5,1.3,strong_buy,2,3692000,0.074,187320000,619654016,0.918,1.37,1511412992,79.848,29.884,0.04711,0.15061,223367000,56284124,127353000,-0.117,0.101,0.14069,0.12394,0.10127,USD,
1,6801 Brecksville Road,Door N. Independence,Cleveland,OH,44131,United States,216 447 9000,https://www.cbiz.com,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through three segments: Financial Services, Benefits and Insurance Services, and National Practices. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Cleveland, Ohio.",6500,"{'maxAge': 1, 'name': 'Mr. Ware H. Grove', 'age': 71, 'title': 'Sr. VP & CFO', 'yearBorn': 1951, 'fiscalYear': 2022, 'totalPay': 1152587, 'exercisedValue': 2505373, 'unexercisedValue': 2055000}",1,3,3,2,1,1693526400,1672444800,86400,2,50.0,51.5,51.5,51.5,50.0,51.5,51.5,51.5,0.0,0.74585,23.40909,28.142076,205,205,4,0,0,50.5,51.0,300000,300000,2565848576,42.4,52.0,1.6976489,49.32,46.682,0.0,0.0,EUR,3169346048,0.07675,44487388,49822300,0.04636,0.90834,15.652,3.2903142,1672444800,1703980800,1688083200,-0.141,116013000,2.2,1.83,1.5,2.097,16.919,FRA,EQUITY,XC4.F,XC4.F,"CBIZ INC.  DL-,01","CBIZ, Inc.",1394002800,Europe/Berlin,CEST,7200000,51.5,43.0,36.0,39.5,39.5,1.3,strong_buy,2,3692000,0.074,187320000,619654016,0.918,1.37,1511412992,79.848,29.884,0.04711,0.15061,223367000,56284124,127353000,-0.117,0.101,0.14069,0.12394,0.10127,USD,
2,6801 Brecksville Road,Door N. Independence,Cleveland,OH,44131,United States,216 447 9000,https://www.cbiz.com,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through three segments: Financial Services, Benefits and Insurance Services, and National Practices. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Cleveland, Ohio.",6500,"{'maxAge': 1, 'name': 'Mr. Chris  Spurio', 'age': 56, 'title': 'Pres of Financial Services Group', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1196611, 'exercisedValue': 2251904, 'unexercisedValue': 2055000}",1,3,3,2,1,1693526400,1672444800,86400,2,50.0,51.5,51.5,51.5,50.0,51.5,51.5,51.5,0.0,0.74585,23.40909,28.142076,205,205,4,0,0,50.5,51.0,300000,300000,2565848576,42.4,52.0,1.6976489,49.32,46.682,0.0,0.0,EUR,3169346048,0.07675,44487388,49822300,0.04636,0.90834,15.652,3.2903142,1672444800,1703980800,1688083200,-0.141,116013000,2.2,1.83,1.5,2.097,16.919,FRA,EQUITY,XC4.F,XC4.F,"CBIZ INC.  DL-,01","CBIZ, Inc.",1394002800,Europe/Berlin,CEST,7200000,51.5,43.0,36.0,39.5,39.5,1.3,strong_buy,2,3692000,0.074,187320000,619654016,0.918,1.37,1511412992,79.848,29.884,0.04711,0.15061,223367000,56284124,127353000,-0.117,0.101,0.14069,0.12394,0.10127,USD,
3,6801 Brecksville Road,Door N. Independence,Cleveland,OH,44131,United States,216 447 9000,https://www.cbiz.com,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through three segments: Financial Services, Benefits and Insurance Services, and National Practices. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Cleveland, Ohio.",6500,"{'maxAge': 1, 'name': 'Mr. Michael P. Kouzelos', 'age': 53, 'title': 'Pres of Benefits & Insurance Services, Inc.', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1024642, 'exercisedValue': 1726452, 'unexercisedValue': 1972800}",1,3,3,2,1,1693526400,1672444800,86400,2,50.0,51.5,51.5,51.5,50.0,51.5,51.5,51.5,0.0,0.74585,23.40909,28.142076,205,205,4,0,0,50.5,51.0,300000,300000,2565848576,42.4,52.0,1.6976489,49.32,46.682,0.0,0.0,EUR,3169346048,0.07675,44487388,49822300,0.04636,0.90834,15.652,3.2903142,1672444800,1703980800,1688083200,-0.141,116013000,2.2,1.83,1.5,2.097,16.919,FRA,EQUITY,XC4.F,XC4.F,"CBIZ INC.  DL-,01","CBIZ, Inc.",1394002800,Europe/Berlin,CEST,7200000,51.5,43.0,36.0,39.5,39.5,1.3,strong_buy,2,3692000,0.074,187320000,619654016,0.918,1.37,1511412992,79.848,29.884,0.04711,0.15061,223367000,56284124,127353000,-0.117,0.101,0.14069,0.12394,0.10127,USD,
4,6801 Brecksville Road,Door N. Independence,Cleveland,OH,44131,United States,216 447 9000,https://www.cbiz.com,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through three segments: Financial Services, Benefits and Insurance Services, and National Practices. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Cleveland, Ohio.",6500,"{'maxAge': 1, 'name': 'Mr. John Aaron Fleischer', 'age': 60, 'title': 'Sr. VP & Chief Information Officer', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,2,1,1693526400,1672444800,86400,2,50.0,51.5,51.5,51.5,50.0,51.5,51.5,51.5,0.0,0.74585,23.40909,28.142076,205,205,4,0,0,50.5,51.0,300000,300000,2565848576,42.4,52.0,1.6976489,49.32,46.682,0.0,0.0,EUR,3169346048,0.07675,44487388,49822300,0.04636,0.90834,15.652,3.2903142,1672444800,1703980800,1688083200,-0.141,116013000,2.2,1.83,1.5,2.097,16.919,FRA,EQUITY,XC4.F,XC4.F,"CBIZ INC.  DL-,01","CBIZ, Inc.",1394002800,Europe/Berlin,CEST,7200000,51.5,43.0,36.0,39.5,39.5,1.3,strong_buy,2,3692000,0.074,187320000,619654016,0.918,1.37,1511412992,79.848,29.884,0.04711,0.15061,223367000,56284124,127353000,-0.117,0.101,0.14069,0.12394,0.10127,USD,
5,6801 Brecksville Road,Door N. Independence,Cleveland,OH,44131,United States,216 447 9000,https://www.cbiz.com,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through three segments: Financial Services, Benefits and Insurance Services, and National Practices. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Cleveland, Ohio.",6500,"{'maxAge': 1, 'name': 'Ms. Elizabeth  Newman', 'title': 'Chief HR & Admin. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,2,1,1693526400,1672444800,86400,2,50.0,51.5,51.5,51.5,50.0,51.5,51.5,51.5,0.0,0.74585,23.40909,28.142076,205,205,4,0,0,50.5,51.0,300000,300000,2565848576,42.4,52.0,1.6976489,49.32,46.682,0.0,0.0,EUR,3169346048,0.07675,44487388,49822300,0.04636,0.90834,15.652,3.2903142,1672444800,1703980800,1688083200,-0.141,116013000,2.2,1.83,1.5,2.097,16.919,FRA,EQUITY,XC4.F,XC4.F,"CBIZ INC.  DL-,01","CBIZ, Inc.",1394002800,Europe/Berlin,CEST,7200000,51.5,43.0,36.0,39.5,39.5,1.3,strong_buy,2,3692000,0.074,187320000,619654016,0.918,1.37,1511412992,79.848,29.884,0.04711,0.15061,223367000,56284124,127353000,-0.117,0.101,0.14069,0.12394,0.10127,USD,
6,6801 Brecksville Road,Door N. Independence,Cleveland,OH,44131,United States,216 447 9000,https://www.cbiz.com,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through three segments: Financial Services, Benefits and Insurance Services, and National Practices. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Cleveland, Ohio.",6500,"{'maxAge': 1, 'name': 'Mr. Mark M. Waxman', 'age': 65, 'title': 'Sr. VP & Chief Marketing Officer', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,2,1,1693526400,1672444800,86400,2,50.0,51.5,51.5,51.5,50.0,51.5,51.5,51.5,0.0,0.74585,23.40909,28.142076,205,205,4,0,0,50.5,51.0,300000,300000,2565848576,42.4,52.0,1.6976489,49.32,46.682,0.0,0.0,EUR,3169346048,0.07675,44487388,49822300,0.04636,0.90834,15.652,3.2903142,1672444800,1703980800,1688083200,-0.141,116013000,2.2,1.83,1.5,2.097,16.919,FRA,EQUITY,XC4.F,XC4.F,"CBIZ INC.  DL-,01","CBIZ, Inc.",1394002800,Europe/Berlin,CEST,7200000,51.5,43.0,36.0,39.5,39.5,1.3,strong_buy,2,3692000,0.074,187320000,619654016,0.918,1.37,1511412992,79.848,29.884,0.04711,0.15061,223367000,56284124,127353000,-0.117,0.101,0.14069,0.12394,0.10127,USD,
7,6801 Brecksville Road,Door N. Independence,Cleveland,OH,44131,United States,216 447 9000,https://www.cbiz.com,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through three segments: Financial Services, Benefits and Insurance Services, and National Practices. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Cleveland, Ohio.",6500,"{'maxAge': 1, 'name': 'Mr. Brian  Carey', 'title': 'VP of Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,2,1,1693526400,1672444800,86400,2,50.0,51.5,51.5,51.5,50.0,51.5,51.5,51.5,0.0,0.74585,23.40909,28.142076,205,205,4,0,0,50.5,51.0,300000,300000,2565848576,42.4,52.0,1.6976489,49.32,46.682,0.0,0.0,EUR,3169346048,0.07675,44487388,49822300,0.04636,0.90834,15.652,3.2903142,1672444800,1703980800,1688083200,-0.141,116013000,2.2,1.83,1.5,2.097,16.919,FRA,EQUITY,XC4.F,XC4.F,"CBIZ INC.  DL-,01","CBIZ, Inc.",1394002800,Europe/Berlin,CEST,7200000,51.5,43.0,36.0,39.5,39.5,1.3,strong_buy,2,3692000,0.074,187320000,619654016,0.918,1.37,1511412992,79.848,29.884,0.04711,0.15061,223367000,56284124,127353000,-0.117,0.101,0.14069,0.12394,0.10127,USD,
8,6801 Brecksville Road,Door N. Independence,Cleveland,OH,44131,United States,216 447 9000,https://www.cbiz.com,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through three segments: Financial Services, Benefits and Insurance Services, and National Practices. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Cleveland, Ohio.",6500,"{'maxAge': 1, 'name': 'Mr. Richard E. Mills', 'age': 66, 'title': 'Chief Operating Officer of Financial Services', 'yearBorn': 1956, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,2,1,1693526400,1672444800,86400,2,50.0,51.5,51.5,51.5,50.0,51.5,51.5,51.5,0.0,0.74585,23.40909,28.142076,205,205,4,0,0,50.5,51.0,300000,300000,2565848576,42.4,52.0,1.6976489,49.32,46.682,0.0,0.0,EUR,3169346048,0.07675,44487388,49822300,0.04636,0.90834,15.652,3.2903142,1672444800,1703980800,1688083200,-0.141,116013000,2.2,1.83,1.5,2.097,16.919,FRA,EQUITY,XC4.F,XC4.F,"CBIZ INC.  DL-,01","CBIZ, Inc.",1394002800,Europe/Berlin,CEST,7200000,51.5,43.0,36.0,39.5,39.5,1.3,strong_buy,2,3692000,0.074,187320000,619654016,0.918,1.37,1511412992,79.848,29.884,0.04711,0.15061,223367000,56284124,127353000,-0.117,0.101,0.14069,0.12394,0.10127,USD,
9,6801 Brecksville Road,Door N. Independence,Cleveland,OH,44131,United States,216 447 9000,https://www.cbiz.com,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through three segments: Financial Services, Benefits and Insurance Services, and National Practices. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Cleveland, Ohio.",6500,"{'maxAge': 1, 'name': 'Mr. John  Cook', 'title': 'Pres of Employee Benefits Service Line - Benefits & Insurance Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,3,2,1,1693526400,1672444800,86400,2,50.0,51.5,51.5,51.5,50.0,51.5,51.5,51.5,0.0,0.74585,23.40909,28.142076,205,205,4,0,0,50.5,51.0,300000,300000,2565848576,42.4,52.0,1.6976489,49.32,46.682,0.0,0.0,EUR,3169346048,0.07675,44487388,49822300,0.04636,0.90834,15.652,3.2903142,1672444800,1703980800,1688083200,-0.141,116013000,2.2,1.83,1.5,2.097,16.919,FRA,EQUITY,XC4.F,XC4.F,"CBIZ INC.  DL-,01","CBIZ, Inc.",1394002800,Europe/Berlin,CEST,7200000,51.5,43.0,36.0,39.5,39.5,1.3,strong_buy,2,3692000,0.074,187320000,619654016,0.918,1.37,1511412992,79.848,29.884,0.04711,0.15061,223367000,56284124,127353000,-0.117,0.101,0.14069,0.12394,0.10127,USD,
