,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1521 Westbranch Drive,Suite 100,McLean,VA,22102-3211,United States,703 287 5800,703 287 5801,https://www.gladstonecommercial.com,REIT—Diversified,Real Estate,"Gladstone Commercial Corporation is a real estate investment trust focused on acquiring, owning, and operating net leased industrial and office properties across the United States.","{'maxAge': 1, 'name': 'Mr. David John Gladstone', 'age': 80, 'title': 'Founder, Chairman & CEO', 'yearBorn': 1942, 'fiscalYear': 2005, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,9,6,8,1693526400,1167523200,86400,2,21.08,21.23,21.04,21.23,21.08,21.23,21.04,21.23,1.66,0.0792,1695168000,1.11307,7889,7889,9479,11520,11520,20.48,22.97,1200,1100,16.51,24.75,19.31404,19.91396,1.352,0.064136624,USD,1747310720,0.01891,39251764,1088,1109,1690761600,1693440000,0.0,0.11459,0.08,4.564,4.6472387,1672444800,1703980800,1688083200,-9609000,-0.034,11.476,16.88,NMS,EQUITY,GOODN,GOODN,Gladstone Commercial Corporatio,Gladstone Commercial Corporation,1569504600,America/New_York,EDT,-14400000,21.21,none,29962000,0.751,103513000,759046016,4.547,7.75,152263008,214.563,3.829,0.02476,0.00754,115818000,50757248,65257000,0.062,0.78239995,0.67983,0.30898002,USD,
1,1521 Westbranch Drive,Suite 100,McLean,VA,22102-3211,United States,703 287 5800,703 287 5801,https://www.gladstonecommercial.com,REIT—Diversified,Real Estate,"Gladstone Commercial Corporation is a real estate investment trust focused on acquiring, owning, and operating net leased industrial and office properties across the United States.","{'maxAge': 1, 'name': 'Mr. Arthur S. Cooper', 'age': 65, 'title': 'Pres', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,9,6,8,1693526400,1167523200,86400,2,21.08,21.23,21.04,21.23,21.08,21.23,21.04,21.23,1.66,0.0792,1695168000,1.11307,7889,7889,9479,11520,11520,20.48,22.97,1200,1100,16.51,24.75,19.31404,19.91396,1.352,0.064136624,USD,1747310720,0.01891,39251764,1088,1109,1690761600,1693440000,0.0,0.11459,0.08,4.564,4.6472387,1672444800,1703980800,1688083200,-9609000,-0.034,11.476,16.88,NMS,EQUITY,GOODN,GOODN,Gladstone Commercial Corporatio,Gladstone Commercial Corporation,1569504600,America/New_York,EDT,-14400000,21.21,none,29962000,0.751,103513000,759046016,4.547,7.75,152263008,214.563,3.829,0.02476,0.00754,115818000,50757248,65257000,0.062,0.78239995,0.67983,0.30898002,USD,
2,1521 Westbranch Drive,Suite 100,McLean,VA,22102-3211,United States,703 287 5800,703 287 5801,https://www.gladstonecommercial.com,REIT—Diversified,Real Estate,"Gladstone Commercial Corporation is a real estate investment trust focused on acquiring, owning, and operating net leased industrial and office properties across the United States.","{'maxAge': 1, 'name': 'Mr. Gary  Gerson CFA', 'age': 58, 'title': 'CFO & Assistant Treasurer', 'yearBorn': 1964, 'fiscalYear': 2006, 'totalPay': 129864, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,9,6,8,1693526400,1167523200,86400,2,21.08,21.23,21.04,21.23,21.08,21.23,21.04,21.23,1.66,0.0792,1695168000,1.11307,7889,7889,9479,11520,11520,20.48,22.97,1200,1100,16.51,24.75,19.31404,19.91396,1.352,0.064136624,USD,1747310720,0.01891,39251764,1088,1109,1690761600,1693440000,0.0,0.11459,0.08,4.564,4.6472387,1672444800,1703980800,1688083200,-9609000,-0.034,11.476,16.88,NMS,EQUITY,GOODN,GOODN,Gladstone Commercial Corporatio,Gladstone Commercial Corporation,1569504600,America/New_York,EDT,-14400000,21.21,none,29962000,0.751,103513000,759046016,4.547,7.75,152263008,214.563,3.829,0.02476,0.00754,115818000,50757248,65257000,0.062,0.78239995,0.67983,0.30898002,USD,
3,1521 Westbranch Drive,Suite 100,McLean,VA,22102-3211,United States,703 287 5800,703 287 5801,https://www.gladstonecommercial.com,REIT—Diversified,Real Estate,"Gladstone Commercial Corporation is a real estate investment trust focused on acquiring, owning, and operating net leased industrial and office properties across the United States.","{'maxAge': 1, 'name': 'Mr. Terry Lee Brubaker', 'age': 78, 'title': 'Chief Operating Officer', 'yearBorn': 1944, 'fiscalYear': 2005, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,9,6,8,1693526400,1167523200,86400,2,21.08,21.23,21.04,21.23,21.08,21.23,21.04,21.23,1.66,0.0792,1695168000,1.11307,7889,7889,9479,11520,11520,20.48,22.97,1200,1100,16.51,24.75,19.31404,19.91396,1.352,0.064136624,USD,1747310720,0.01891,39251764,1088,1109,1690761600,1693440000,0.0,0.11459,0.08,4.564,4.6472387,1672444800,1703980800,1688083200,-9609000,-0.034,11.476,16.88,NMS,EQUITY,GOODN,GOODN,Gladstone Commercial Corporatio,Gladstone Commercial Corporation,1569504600,America/New_York,EDT,-14400000,21.21,none,29962000,0.751,103513000,759046016,4.547,7.75,152263008,214.563,3.829,0.02476,0.00754,115818000,50757248,65257000,0.062,0.78239995,0.67983,0.30898002,USD,
4,1521 Westbranch Drive,Suite 100,McLean,VA,22102-3211,United States,703 287 5800,703 287 5801,https://www.gladstonecommercial.com,REIT—Diversified,Real Estate,"Gladstone Commercial Corporation is a real estate investment trust focused on acquiring, owning, and operating net leased industrial and office properties across the United States.","{'maxAge': 1, 'name': 'Mr. John Anthony Dellafiora Jr., CPA', 'title': 'Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,9,6,8,1693526400,1167523200,86400,2,21.08,21.23,21.04,21.23,21.08,21.23,21.04,21.23,1.66,0.0792,1695168000,1.11307,7889,7889,9479,11520,11520,20.48,22.97,1200,1100,16.51,24.75,19.31404,19.91396,1.352,0.064136624,USD,1747310720,0.01891,39251764,1088,1109,1690761600,1693440000,0.0,0.11459,0.08,4.564,4.6472387,1672444800,1703980800,1688083200,-9609000,-0.034,11.476,16.88,NMS,EQUITY,GOODN,GOODN,Gladstone Commercial Corporatio,Gladstone Commercial Corporation,1569504600,America/New_York,EDT,-14400000,21.21,none,29962000,0.751,103513000,759046016,4.547,7.75,152263008,214.563,3.829,0.02476,0.00754,115818000,50757248,65257000,0.062,0.78239995,0.67983,0.30898002,USD,
5,1521 Westbranch Drive,Suite 100,McLean,VA,22102-3211,United States,703 287 5800,703 287 5801,https://www.gladstonecommercial.com,REIT—Diversified,Real Estate,"Gladstone Commercial Corporation is a real estate investment trust focused on acquiring, owning, and operating net leased industrial and office properties across the United States.","{'maxAge': 1, 'name': 'Mr. Michael Bernard LiCalsi Esq., J.D.', 'age': 52, 'title': 'Gen. Counsel & Sec.', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,9,6,8,1693526400,1167523200,86400,2,21.08,21.23,21.04,21.23,21.08,21.23,21.04,21.23,1.66,0.0792,1695168000,1.11307,7889,7889,9479,11520,11520,20.48,22.97,1200,1100,16.51,24.75,19.31404,19.91396,1.352,0.064136624,USD,1747310720,0.01891,39251764,1088,1109,1690761600,1693440000,0.0,0.11459,0.08,4.564,4.6472387,1672444800,1703980800,1688083200,-9609000,-0.034,11.476,16.88,NMS,EQUITY,GOODN,GOODN,Gladstone Commercial Corporatio,Gladstone Commercial Corporation,1569504600,America/New_York,EDT,-14400000,21.21,none,29962000,0.751,103513000,759046016,4.547,7.75,152263008,214.563,3.829,0.02476,0.00754,115818000,50757248,65257000,0.062,0.78239995,0.67983,0.30898002,USD,
6,1521 Westbranch Drive,Suite 100,McLean,VA,22102-3211,United States,703 287 5800,703 287 5801,https://www.gladstonecommercial.com,REIT—Diversified,Real Estate,"Gladstone Commercial Corporation is a real estate investment trust focused on acquiring, owning, and operating net leased industrial and office properties across the United States.","{'maxAge': 1, 'name': 'Mr. Ryan  Carter', 'title': 'Exec. VP and Head of West & Midwest Region', 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,9,6,8,1693526400,1167523200,86400,2,21.08,21.23,21.04,21.23,21.08,21.23,21.04,21.23,1.66,0.0792,1695168000,1.11307,7889,7889,9479,11520,11520,20.48,22.97,1200,1100,16.51,24.75,19.31404,19.91396,1.352,0.064136624,USD,1747310720,0.01891,39251764,1088,1109,1690761600,1693440000,0.0,0.11459,0.08,4.564,4.6472387,1672444800,1703980800,1688083200,-9609000,-0.034,11.476,16.88,NMS,EQUITY,GOODN,GOODN,Gladstone Commercial Corporatio,Gladstone Commercial Corporation,1569504600,America/New_York,EDT,-14400000,21.21,none,29962000,0.751,103513000,759046016,4.547,7.75,152263008,214.563,3.829,0.02476,0.00754,115818000,50757248,65257000,0.062,0.78239995,0.67983,0.30898002,USD,
7,1521 Westbranch Drive,Suite 100,McLean,VA,22102-3211,United States,703 287 5800,703 287 5801,https://www.gladstonecommercial.com,REIT—Diversified,Real Estate,"Gladstone Commercial Corporation is a real estate investment trust focused on acquiring, owning, and operating net leased industrial and office properties across the United States.","{'maxAge': 1, 'name': 'Mr. EJ  Wislar', 'title': 'EVP & Head of Southeast and Northeast Regions', 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,9,6,8,1693526400,1167523200,86400,2,21.08,21.23,21.04,21.23,21.08,21.23,21.04,21.23,1.66,0.0792,1695168000,1.11307,7889,7889,9479,11520,11520,20.48,22.97,1200,1100,16.51,24.75,19.31404,19.91396,1.352,0.064136624,USD,1747310720,0.01891,39251764,1088,1109,1690761600,1693440000,0.0,0.11459,0.08,4.564,4.6472387,1672444800,1703980800,1688083200,-9609000,-0.034,11.476,16.88,NMS,EQUITY,GOODN,GOODN,Gladstone Commercial Corporatio,Gladstone Commercial Corporation,1569504600,America/New_York,EDT,-14400000,21.21,none,29962000,0.751,103513000,759046016,4.547,7.75,152263008,214.563,3.829,0.02476,0.00754,115818000,50757248,65257000,0.062,0.78239995,0.67983,0.30898002,USD,
8,1521 Westbranch Drive,Suite 100,McLean,VA,22102-3211,United States,703 287 5800,703 287 5801,https://www.gladstonecommercial.com,REIT—Diversified,Real Estate,"Gladstone Commercial Corporation is a real estate investment trust focused on acquiring, owning, and operating net leased industrial and office properties across the United States.","{'maxAge': 1, 'name': 'Mr. Todd Alan McDonald', 'title': 'Director & Head of South Central Region', 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,9,6,8,1693526400,1167523200,86400,2,21.08,21.23,21.04,21.23,21.08,21.23,21.04,21.23,1.66,0.0792,1695168000,1.11307,7889,7889,9479,11520,11520,20.48,22.97,1200,1100,16.51,24.75,19.31404,19.91396,1.352,0.064136624,USD,1747310720,0.01891,39251764,1088,1109,1690761600,1693440000,0.0,0.11459,0.08,4.564,4.6472387,1672444800,1703980800,1688083200,-9609000,-0.034,11.476,16.88,NMS,EQUITY,GOODN,GOODN,Gladstone Commercial Corporatio,Gladstone Commercial Corporation,1569504600,America/New_York,EDT,-14400000,21.21,none,29962000,0.751,103513000,759046016,4.547,7.75,152263008,214.563,3.829,0.02476,0.00754,115818000,50757248,65257000,0.062,0.78239995,0.67983,0.30898002,USD,
9,1521 Westbranch Drive,Suite 100,McLean,VA,22102-3211,United States,703 287 5800,703 287 5801,https://www.gladstonecommercial.com,REIT—Diversified,Real Estate,"Gladstone Commercial Corporation is a real estate investment trust focused on acquiring, owning, and operating net leased industrial and office properties across the United States.","{'maxAge': 1, 'name': 'Mr. Jay  Beckhorn', 'age': 60, 'title': 'Treasurer', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,9,6,8,1693526400,1167523200,86400,2,21.08,21.23,21.04,21.23,21.08,21.23,21.04,21.23,1.66,0.0792,1695168000,1.11307,7889,7889,9479,11520,11520,20.48,22.97,1200,1100,16.51,24.75,19.31404,19.91396,1.352,0.064136624,USD,1747310720,0.01891,39251764,1088,1109,1690761600,1693440000,0.0,0.11459,0.08,4.564,4.6472387,1672444800,1703980800,1688083200,-9609000,-0.034,11.476,16.88,NMS,EQUITY,GOODN,GOODN,Gladstone Commercial Corporatio,Gladstone Commercial Corporation,1569504600,America/New_York,EDT,-14400000,21.21,none,29962000,0.751,103513000,759046016,4.547,7.75,152263008,214.563,3.829,0.02476,0.00754,115818000,50757248,65257000,0.062,0.78239995,0.67983,0.30898002,USD,
