,address1,city,zip,country,phone,fax,website,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Bahnhofstrasse 36,Zurich,8010,Switzerland,41 58 888 1111,41 58 888 5517,https://www.juliusbaer.com,"Julius Bär Gruppe AG provides wealth management solutions in Switzerland, Europe, the Americas, Asia, and internationally. The company offers investment advisory mandates, discretionary mandates, securities execution and advisory, foreign exchange and precious metals, structured products, family office services, pension, asset servicing, real estate advisory and financing, wealth planning, structured Lombard and equity, and private debt solutions. It also operates an open product and service platform. Julius Bär Gruppe AG was founded in 1890 and is headquartered in Zurich, Switzerland.",6891,"{'maxAge': 1, 'name': 'Mr. Philipp  Rickenbacher', 'age': 51, 'title': 'CEO & Member of Exec. Board', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 6033000, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,2,1693526400,1672444800,86400,2,45.21484,45.28,45.13,45.33,45.21484,45.28,45.13,45.33,1.477477,8.926028,3395,3395,248446,232057,232057,0.0,0.0,0,0,9820739584,40.98,64.72,2.4443078,57.23744,57.31317,2.6,0.057503242,CHF,1201290112,0.25656,204813775,217548992,0.0052,0.66137004,30.359,1.4865444,1672444800,1703980800,1688083200,0.18,1030800000,5.056,0.299,LSE,EQUITY,0QO6.L,0QO6.L,JULIUS BAER GRUPPE AG JULIUS BA,Julius Bär Gruppe AG,1397199600,Europe/London,BST,3600000,45.13,none,33079599104,160.674,21884899328,4017799936,19.473,0.00954,0.16697,3853400000,-4152199936,0.202,0.088,0.0,0.0,0.35139,CHF,
1,Bahnhofstrasse 36,Zurich,8010,Switzerland,41 58 888 1111,41 58 888 5517,https://www.juliusbaer.com,"Julius Bär Gruppe AG provides wealth management solutions in Switzerland, Europe, the Americas, Asia, and internationally. The company offers investment advisory mandates, discretionary mandates, securities execution and advisory, foreign exchange and precious metals, structured products, family office services, pension, asset servicing, real estate advisory and financing, wealth planning, structured Lombard and equity, and private debt solutions. It also operates an open product and service platform. Julius Bär Gruppe AG was founded in 1890 and is headquartered in Zurich, Switzerland.",6891,"{'maxAge': 1, 'name': 'Ms. Evangelia  Kostakis', 'age': 46, 'title': 'CFO & Member of the Exec. Board', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,2,1693526400,1672444800,86400,2,45.21484,45.28,45.13,45.33,45.21484,45.28,45.13,45.33,1.477477,8.926028,3395,3395,248446,232057,232057,0.0,0.0,0,0,9820739584,40.98,64.72,2.4443078,57.23744,57.31317,2.6,0.057503242,CHF,1201290112,0.25656,204813775,217548992,0.0052,0.66137004,30.359,1.4865444,1672444800,1703980800,1688083200,0.18,1030800000,5.056,0.299,LSE,EQUITY,0QO6.L,0QO6.L,JULIUS BAER GRUPPE AG JULIUS BA,Julius Bär Gruppe AG,1397199600,Europe/London,BST,3600000,45.13,none,33079599104,160.674,21884899328,4017799936,19.473,0.00954,0.16697,3853400000,-4152199936,0.202,0.088,0.0,0.0,0.35139,CHF,
2,Bahnhofstrasse 36,Zurich,8010,Switzerland,41 58 888 1111,41 58 888 5517,https://www.juliusbaer.com,"Julius Bär Gruppe AG provides wealth management solutions in Switzerland, Europe, the Americas, Asia, and internationally. The company offers investment advisory mandates, discretionary mandates, securities execution and advisory, foreign exchange and precious metals, structured products, family office services, pension, asset servicing, real estate advisory and financing, wealth planning, structured Lombard and equity, and private debt solutions. It also operates an open product and service platform. Julius Bär Gruppe AG was founded in 1890 and is headquartered in Zurich, Switzerland.",6891,"{'maxAge': 1, 'name': 'Mr. Nic  Dreckmann', 'age': 48, 'title': 'COO, Head of Intermediaries & Member of Exec. Board', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,2,1693526400,1672444800,86400,2,45.21484,45.28,45.13,45.33,45.21484,45.28,45.13,45.33,1.477477,8.926028,3395,3395,248446,232057,232057,0.0,0.0,0,0,9820739584,40.98,64.72,2.4443078,57.23744,57.31317,2.6,0.057503242,CHF,1201290112,0.25656,204813775,217548992,0.0052,0.66137004,30.359,1.4865444,1672444800,1703980800,1688083200,0.18,1030800000,5.056,0.299,LSE,EQUITY,0QO6.L,0QO6.L,JULIUS BAER GRUPPE AG JULIUS BA,Julius Bär Gruppe AG,1397199600,Europe/London,BST,3600000,45.13,none,33079599104,160.674,21884899328,4017799936,19.473,0.00954,0.16697,3853400000,-4152199936,0.202,0.088,0.0,0.0,0.35139,CHF,
3,Bahnhofstrasse 36,Zurich,8010,Switzerland,41 58 888 1111,41 58 888 5517,https://www.juliusbaer.com,"Julius Bär Gruppe AG provides wealth management solutions in Switzerland, Europe, the Americas, Asia, and internationally. The company offers investment advisory mandates, discretionary mandates, securities execution and advisory, foreign exchange and precious metals, structured products, family office services, pension, asset servicing, real estate advisory and financing, wealth planning, structured Lombard and equity, and private debt solutions. It also operates an open product and service platform. Julius Bär Gruppe AG was founded in 1890 and is headquartered in Zurich, Switzerland.",6891,"{'maxAge': 1, 'name': 'Mr. Oliver  Bartholet', 'age': 56, 'title': 'Chief Risk Officer & Member of Exec. Board', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,2,1693526400,1672444800,86400,2,45.21484,45.28,45.13,45.33,45.21484,45.28,45.13,45.33,1.477477,8.926028,3395,3395,248446,232057,232057,0.0,0.0,0,0,9820739584,40.98,64.72,2.4443078,57.23744,57.31317,2.6,0.057503242,CHF,1201290112,0.25656,204813775,217548992,0.0052,0.66137004,30.359,1.4865444,1672444800,1703980800,1688083200,0.18,1030800000,5.056,0.299,LSE,EQUITY,0QO6.L,0QO6.L,JULIUS BAER GRUPPE AG JULIUS BA,Julius Bär Gruppe AG,1397199600,Europe/London,BST,3600000,45.13,none,33079599104,160.674,21884899328,4017799936,19.473,0.00954,0.16697,3853400000,-4152199936,0.202,0.088,0.0,0.0,0.35139,CHF,
4,Bahnhofstrasse 36,Zurich,8010,Switzerland,41 58 888 1111,41 58 888 5517,https://www.juliusbaer.com,"Julius Bär Gruppe AG provides wealth management solutions in Switzerland, Europe, the Americas, Asia, and internationally. The company offers investment advisory mandates, discretionary mandates, securities execution and advisory, foreign exchange and precious metals, structured products, family office services, pension, asset servicing, real estate advisory and financing, wealth planning, structured Lombard and equity, and private debt solutions. It also operates an open product and service platform. Julius Bär Gruppe AG was founded in 1890 and is headquartered in Zurich, Switzerland.",6891,"{'maxAge': 1, 'name': 'Mr. Kong Eng Lee', 'age': 60, 'title': 'Member of the Exec. Board & Head of Asia Pacific', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,2,1693526400,1672444800,86400,2,45.21484,45.28,45.13,45.33,45.21484,45.28,45.13,45.33,1.477477,8.926028,3395,3395,248446,232057,232057,0.0,0.0,0,0,9820739584,40.98,64.72,2.4443078,57.23744,57.31317,2.6,0.057503242,CHF,1201290112,0.25656,204813775,217548992,0.0052,0.66137004,30.359,1.4865444,1672444800,1703980800,1688083200,0.18,1030800000,5.056,0.299,LSE,EQUITY,0QO6.L,0QO6.L,JULIUS BAER GRUPPE AG JULIUS BA,Julius Bär Gruppe AG,1397199600,Europe/London,BST,3600000,45.13,none,33079599104,160.674,21884899328,4017799936,19.473,0.00954,0.16697,3853400000,-4152199936,0.202,0.088,0.0,0.0,0.35139,CHF,
5,Bahnhofstrasse 36,Zurich,8010,Switzerland,41 58 888 1111,41 58 888 5517,https://www.juliusbaer.com,"Julius Bär Gruppe AG provides wealth management solutions in Switzerland, Europe, the Americas, Asia, and internationally. The company offers investment advisory mandates, discretionary mandates, securities execution and advisory, foreign exchange and precious metals, structured products, family office services, pension, asset servicing, real estate advisory and financing, wealth planning, structured Lombard and equity, and private debt solutions. It also operates an open product and service platform. Julius Bär Gruppe AG was founded in 1890 and is headquartered in Zurich, Switzerland.",6891,"{'maxAge': 1, 'name': 'Mr. Yves  Robert-Charrue', 'age': 49, 'title': 'Head of Switzerland, Europe, Middle East & Africa and Member of Exec. Board', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,2,1693526400,1672444800,86400,2,45.21484,45.28,45.13,45.33,45.21484,45.28,45.13,45.33,1.477477,8.926028,3395,3395,248446,232057,232057,0.0,0.0,0,0,9820739584,40.98,64.72,2.4443078,57.23744,57.31317,2.6,0.057503242,CHF,1201290112,0.25656,204813775,217548992,0.0052,0.66137004,30.359,1.4865444,1672444800,1703980800,1688083200,0.18,1030800000,5.056,0.299,LSE,EQUITY,0QO6.L,0QO6.L,JULIUS BAER GRUPPE AG JULIUS BA,Julius Bär Gruppe AG,1397199600,Europe/London,BST,3600000,45.13,none,33079599104,160.674,21884899328,4017799936,19.473,0.00954,0.16697,3853400000,-4152199936,0.202,0.088,0.0,0.0,0.35139,CHF,
6,Bahnhofstrasse 36,Zurich,8010,Switzerland,41 58 888 1111,41 58 888 5517,https://www.juliusbaer.com,"Julius Bär Gruppe AG provides wealth management solutions in Switzerland, Europe, the Americas, Asia, and internationally. The company offers investment advisory mandates, discretionary mandates, securities execution and advisory, foreign exchange and precious metals, structured products, family office services, pension, asset servicing, real estate advisory and financing, wealth planning, structured Lombard and equity, and private debt solutions. It also operates an open product and service platform. Julius Bär Gruppe AG was founded in 1890 and is headquartered in Zurich, Switzerland.",6891,"{'maxAge': 1, 'name': 'Mr. Yves Henri Bonzon', 'age': 57, 'title': 'Co-Head of IWMS, Chief Investment Officer & Member of Exec. Board', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,2,1693526400,1672444800,86400,2,45.21484,45.28,45.13,45.33,45.21484,45.28,45.13,45.33,1.477477,8.926028,3395,3395,248446,232057,232057,0.0,0.0,0,0,9820739584,40.98,64.72,2.4443078,57.23744,57.31317,2.6,0.057503242,CHF,1201290112,0.25656,204813775,217548992,0.0052,0.66137004,30.359,1.4865444,1672444800,1703980800,1688083200,0.18,1030800000,5.056,0.299,LSE,EQUITY,0QO6.L,0QO6.L,JULIUS BAER GRUPPE AG JULIUS BA,Julius Bär Gruppe AG,1397199600,Europe/London,BST,3600000,45.13,none,33079599104,160.674,21884899328,4017799936,19.473,0.00954,0.16697,3853400000,-4152199936,0.202,0.088,0.0,0.0,0.35139,CHF,
7,Bahnhofstrasse 36,Zurich,8010,Switzerland,41 58 888 1111,41 58 888 5517,https://www.juliusbaer.com,"Julius Bär Gruppe AG provides wealth management solutions in Switzerland, Europe, the Americas, Asia, and internationally. The company offers investment advisory mandates, discretionary mandates, securities execution and advisory, foreign exchange and precious metals, structured products, family office services, pension, asset servicing, real estate advisory and financing, wealth planning, structured Lombard and equity, and private debt solutions. It also operates an open product and service platform. Julius Bär Gruppe AG was founded in 1890 and is headquartered in Zurich, Switzerland.",6891,"{'maxAge': 1, 'name': 'Mr. Nicolas  de Skowronski', 'age': 49, 'title': 'Co-Head of IWMS, Head Wealth Management Solutions & Member of Exec. Board', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,2,1693526400,1672444800,86400,2,45.21484,45.28,45.13,45.33,45.21484,45.28,45.13,45.33,1.477477,8.926028,3395,3395,248446,232057,232057,0.0,0.0,0,0,9820739584,40.98,64.72,2.4443078,57.23744,57.31317,2.6,0.057503242,CHF,1201290112,0.25656,204813775,217548992,0.0052,0.66137004,30.359,1.4865444,1672444800,1703980800,1688083200,0.18,1030800000,5.056,0.299,LSE,EQUITY,0QO6.L,0QO6.L,JULIUS BAER GRUPPE AG JULIUS BA,Julius Bär Gruppe AG,1397199600,Europe/London,BST,3600000,45.13,none,33079599104,160.674,21884899328,4017799936,19.473,0.00954,0.16697,3853400000,-4152199936,0.202,0.088,0.0,0.0,0.35139,CHF,
8,Bahnhofstrasse 36,Zurich,8010,Switzerland,41 58 888 1111,41 58 888 5517,https://www.juliusbaer.com,"Julius Bär Gruppe AG provides wealth management solutions in Switzerland, Europe, the Americas, Asia, and internationally. The company offers investment advisory mandates, discretionary mandates, securities execution and advisory, foreign exchange and precious metals, structured products, family office services, pension, asset servicing, real estate advisory and financing, wealth planning, structured Lombard and equity, and private debt solutions. It also operates an open product and service platform. Julius Bär Gruppe AG was founded in 1890 and is headquartered in Zurich, Switzerland.",6891,"{'maxAge': 1, 'name': 'Mr. Luigi  Vignola', 'age': 52, 'title': 'Head of Markets & Member of Exec. Board', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,2,1693526400,1672444800,86400,2,45.21484,45.28,45.13,45.33,45.21484,45.28,45.13,45.33,1.477477,8.926028,3395,3395,248446,232057,232057,0.0,0.0,0,0,9820739584,40.98,64.72,2.4443078,57.23744,57.31317,2.6,0.057503242,CHF,1201290112,0.25656,204813775,217548992,0.0052,0.66137004,30.359,1.4865444,1672444800,1703980800,1688083200,0.18,1030800000,5.056,0.299,LSE,EQUITY,0QO6.L,0QO6.L,JULIUS BAER GRUPPE AG JULIUS BA,Julius Bär Gruppe AG,1397199600,Europe/London,BST,3600000,45.13,none,33079599104,160.674,21884899328,4017799936,19.473,0.00954,0.16697,3853400000,-4152199936,0.202,0.088,0.0,0.0,0.35139,CHF,
9,Bahnhofstrasse 36,Zurich,8010,Switzerland,41 58 888 1111,41 58 888 5517,https://www.juliusbaer.com,"Julius Bär Gruppe AG provides wealth management solutions in Switzerland, Europe, the Americas, Asia, and internationally. The company offers investment advisory mandates, discretionary mandates, securities execution and advisory, foreign exchange and precious metals, structured products, family office services, pension, asset servicing, real estate advisory and financing, wealth planning, structured Lombard and equity, and private debt solutions. It also operates an open product and service platform. Julius Bär Gruppe AG was founded in 1890 and is headquartered in Zurich, Switzerland.",6891,"{'maxAge': 1, 'name': 'Ms. Beatriz  Sanchez', 'age': 66, 'title': 'Head of Americas & Member of Exec. Board', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,2,1693526400,1672444800,86400,2,45.21484,45.28,45.13,45.33,45.21484,45.28,45.13,45.33,1.477477,8.926028,3395,3395,248446,232057,232057,0.0,0.0,0,0,9820739584,40.98,64.72,2.4443078,57.23744,57.31317,2.6,0.057503242,CHF,1201290112,0.25656,204813775,217548992,0.0052,0.66137004,30.359,1.4865444,1672444800,1703980800,1688083200,0.18,1030800000,5.056,0.299,LSE,EQUITY,0QO6.L,0QO6.L,JULIUS BAER GRUPPE AG JULIUS BA,Julius Bär Gruppe AG,1397199600,Europe/London,BST,3600000,45.13,none,33079599104,160.674,21884899328,4017799936,19.473,0.00954,0.16697,3853400000,-4152199936,0.202,0.088,0.0,0.0,0.35139,CHF,
